ПОУЧЕНЬЕ	ПОУЧЕНИЕ
И на весну посади мя отець в Переяславли передъ братьею, и ходихом за Супой.[56] И ѣдучи к Прилуку[57] городу, и срѣтоша ны внезапу половечьскыѣ князи, 8 тысячь, и хотѣхом с ними ради битися, но оружье бяхомъ услали напередъ на повозѣхъ, и внидохом в городъ; толко семцю яша одиного живого,[58] ти смердъ нѣколико, а наши онѣхъ боле избиша и изьимаша, и не смѣша ни коня пояти в руцѣ, и бѣжаша на Сулу тое ночи. И заутра, на Госпожинъ день, идохом к Бѣлѣ Вежи,[59] и Богь ны поможе и святая Богородица: избихом 900 половець, и два князя яхом, Багубарсова брата, Асиня и Сакзя, а два мужа толко утекоста.	И на весну посадил меня отец в Переяславле выше всей братии, и ходили за Супой. И по пути к Прилуку городу встретили нас внезапно половецкие князья, с восьмью тысячами, и хотели было с ними сразиться, но оружие было отослано вперед на возах, и мы вошли в город; только семца одного живым захватили да смердов несколько, а наши половцев больше убили и захватили, и половцы, не смея сойти с коней, побежали к Суле в ту же ночь. И на следующий день, на Успение, пошли мы к Белой Веже, Бог нам помог и святая Богородица: перебили девятьсот половцев и двух князей взяли, Багубарсовых братьев, Осеня и Сакзя, и только два мужа убежали.
И потомь на Святославль[60] гонихом по половцих, и потомь на Торческый городъ, и потомь на Гюргевъ[61] по половцих. И пакы на той же сторонѣ у Красна половци побѣдихом; и потомь с Ростиславом[62] же у Варина[63] вежѣ взяхом. И потом ходивъ Володимерю,[64] паки Ярополка посадих, и Ярополкъ умре.[65]	И потом на Святославль гнались за половцами, и затем на Торческ город, и потом на Юрьев за половцами. И снова на той же стороне, у Красна, половцев победили, и потом с Ростиславом же у Варина вежи взяли. И затем ходил во Владимир опять, Ярополка там посадил, и Ярополк умер.
И пакы по отни смерти[66] и при Святополцѣ, на Стугнѣ бившеся съ половци до вечера, бихом — у Халѣпа,[67] и потом миръ створихом с Тугорканомъ и со инѣми князи половечьскими; и у Глѣбовы чади[68] пояхом дружину свою всю.	И снова, по смерти отца и при Святополке, на Стугне бились мы с половцами до вечера, бились у Халепа, и потом мир сотворили с Тугорканом и с другими князьями половецкими, и у Глебовой чади отняли дружину свою всю.
И потом Олегъ на мя приде с Половьчьскою землею к Чернигову, и бишася дружина моя с нимь 8 дний о малу греблю, и не вдадуче внити имъ въ острогъ; съжаливъси хрестьяных душь и селъ горящих и манастырь, и рѣхъ: «Не хвалитися поганым!» И вдахъ брату отца его мѣсто, а самъ идох на отця своего мѣсто Переяславлю. И выидохом на святаго Бориса день[69] ис Чернигова, и ѣхахом сквозѣ полкы половьчскиѣ, не въ 100 дружинѣ, и с дѣтми и с женами. И облизахутся на нас акы волци стояще, и от перевоза и з горъ, Богъ и святый Борисъ не да имъ мене в користь, — неврежени доидохом Переяславлю.	И потом Олег на меня пришел со всею Половецкою землею к Чернигову, и билась дружина моя с ними восемь дней за малый вал и не дала им войти в острог; пожалел я христианских душ, и сел горящих, и монастырей и сказал: «Пусть не похваляются язычники». И отдал брату отца его стол, а сам пошел на стол отца своего в Переяславль. И вышли мы на святого Бориса день из Чернигова и ехали сквозь полки половецкие, около ста человек, с детьми и женами. И облизывались на нас половцы точно волки, стоя у перевоза и на горах, — Бог и святой Борис не выдали меня им на поживу, невредимы дошли мы до Переяславля.
И сѣдѣхъ в Переяславли 3 лѣта и 3 зимы, и с дружиною своею, и многы бѣды прияхом от рати и от голода. И идохом на вои ихъ за Римовъ,[70] и Богъ ны поможе — избихом ̀я, а другия поимахом.	И сидел я в Переяславле три лета и три зимы с дружиною своею, и много бед приняли мы от войны и голода. И ходили на воинов их за Римов, и Бог нам помог, перебили их, а других захватили.
И пакы Итлареву чадь избиша, и вежи ихъ взяхом шедше за Голтавомь[71].	И вновь Итлареву чадь перебили, и вежи их взяли, идя за Голтав.
И Стародубу идохом на Олга, зане ся бяше приложилъ к полоцем. И на Богъ идохом, с Святополком на Боняка за Рось.	И к Стародубу ходили на Олега, потому что он сдружился с половцами. И на Буг ходили со Святополком на Боняка, за Рось.
И Смолиньску идохом, с Давыдомь смирившеся. Паки идохом другое с Вороницѣ[72].	И в Смоленск пошли, с Давыдом помирившись. Вновь ходили во второй раз с Вороницы.
Тогда же и торци придоша ко мнѣ, и с половець читѣевичи, идохом противу имъ на Сулу.	Тогда же и торки пришли ко мне с половцами-читеевичами, и ходили мы им навстречу на Сулу.
И потомь паки идохом к Ростову на зиму, и по 3 зимы ходихом Смолинску. И-Смолиньска идох Ростову.	И потом снова ходили к Ростову на зиму, и три зимы ходили к Смоленску. Из Смоленска пошел я в Ростов.
И пакы с Святополком гонихом по Боняцѣ, но ли оли... убиша,[73] и не постигохом ихъ. И потом по Боняцѣ же гонихом за Рось, и не постигохом его.	И опять со Святополком гнались за Боняком, но... убили, и не настигли их. И потом за Боняком гнались за Рось, и снова не настигли его.
И на зиму Смолинску идохъ, и-Смоленска по Велицѣ дни выидох; и Гюргева мати умре.[74]	И на зиму в Смоленск пошел; из Смоленска после Пасхи вышел; и Юрьева мать умерла.
Переяславлю пришедъ на лѣто, собрах братью.	В Переяславль вернувшись к лету, собрал братьев.
И Бонякъ приде со всѣми половци къ Кснятиню,[75] идохом за не ис Переяславля за Сулу, и Богъ ны поможе, и полъкы ихъ побѣдихом, и князи изьимахом лѣпшии, и по Рожествѣ створихом миръ съ Аепою, и поимъ у него дчерь, идохом Смоленьску. И потом идох Ростову.	И Боняк пришел со всеми половцами к Кснятину; мы пошли за ними из Переяславля за Сулу, и Бог нам помог, и полки их победили, и князей захватили лучших, и по Рождестве заключили мир с Аепою, и, взяв у него дочь, пошли к Смоленску. И потом пошел к Ростову.
Пришед из Ростова, паки идох на половци на Урусобу[76] с Святополком, и Богъ ны поможе.	Придя из Ростова, вновь пошел на половцев на Урусову со Святополком, и Бог нам помог.
И потом паки на Боняка к Лубьну, и Богъ ны поможе.	И потом опять ходили на Боняка к Лубну, и Бог нам помог.
И потом ходихом к Воиню[77] с Святополком; и потом пакы на Донъ идохом с Святополком и с Давыдомъ, и Богъ ны поможе.	И потом ходили к Воиню со Святополком, и потом снова на Дон ходили со Святополком и с Давыдом, и Бог нам помог.
И к Выреви[78] бяху пришли Аепа и Бонякъ, хотѣша взяти и́, ко Ромну[79] идох со Олгомь и з дѣтми на нь, и они, очутивше, бѣжаша.	И к Вырю пришли было Аепа и Боняк, хотели взять его; к Ромну пошли мы с Олегом и с детьми на них, и они, узнав, убежали.
И потом к Мѣньску ходихом на Глѣба, оже ны бяше люди заялъ, и Богь ны поможе, и створихом свое мышленое.	И потом к Минску ходили на Глеба, который наших людей захватил, и Бог нам помог, и сделали то, что задумали.
И потом ходихом къ Володимерю на Ярославця,[80] не терпяче злобъ его.	И потом ходили к Владимиру на Ярославца, не стерпев злодеяний его.
А и-Щернигова до Кыева нестишьды ѣздих ко отцю, днемъ есмъ переѣздилъ до вечерни. А всѣх путий 80 и 3 великих,[81] а прока не испомню менших. И мировъ есмъ створилъ с половечьскыми князи безъ одиного 20, и при отци и кромѣ отца, а дая скота много и многы порты своѣ. И пустилъ есмъ половечскых князь лѣпших изъ оковъ толико: Шаруканя 2 брата, Багубарсовы 3, Осеня братьѣ 4, а всѣх лѣпших князий инѣхъ 100. А самы князи Богъ живы в руцѣ дава: Коксусь с сыномь, Акланъ, Бурчевичь, Таревьскый князь Азгулуй,[82] и инѣхъ кметий молодых 15, то тѣхъ живы ведъ, исѣкъ, вметах в ту рѣчку въ Салню. По чередам избьено не съ 200 в то время лѣпших.	А из Чернигова в Киев около ста раз ездил к отцу, за один день проезжая, до вечерни. А всего походов было восемьдесят и три великих, а остальных и не упомню меньших. И миров заключил с половецкими князьями без одного двадцать, и при отце и без отца, а раздаривал много скота и много одежды своей. И отпустил из оков лучших князей половецких столько: Шаруканевых двух братьев, Багубарсовых трех, Осеневых братьев четырех, а всего других лучших князей сто. А самих князей Бог живыми в руки давал: Коксусь с сыном, Аклан Бурчевич, таревский князь Азгулуй и иных витязей молодых пятнадцать, этих я, приведя живых, иссек и бросил в ту речку Сальню. А врозь перебил их в то время около двух сот лучших мужей.
А се тружахъся ловы дѣя: понеже сѣдох в Черниговѣ, а и-Щернигова вышед, и до сего лѣта по сту уганивал и имь даром всею силою кромѣ иного лова, кромѣ Турова, идѣже со отцемь ловилъ есмъ всякъ звѣрь.	А вот как я трудился, охотясь, пока сидел в Чернигове; а из Чернигова выйдя и до этого года по сту уганивал и брал без трудов, не считая другой охоты, вне Турова, где с отцом охотился на всякого зверя.
А се в Черниговѣ дѣялъ есмъ: конь диких своима руками связалъ есмь въ пушах 10 и 20 живых конь, а кромѣ того же по ровни ѣздя ималъ есмъ своима рукама тѣ же кони дикиѣ. Тура мя 2 метала на розѣх и с конемъ, олень мя одинъ болъ, а 2 лоси, одинъ ногами топталъ, а другый рогома болъ, вепрь ми на бедрѣ мечь оттялъ, медвѣдь ми у колѣна подъклада укусилъ, лютый звѣрь[83] скочилъ ко мнѣ на бедры и конь со мною поверже. И Богъ неврежена мя съблюде. И с коня много падах, голову си розбих дважды, и руцѣ и нозѣ свои вередих, въ уности своей вередих, не блюда живота своего, ни щадя гоовы своея.	А вот что я в Чернигове делал: коней диких своими руками связал я в пущах десять и двадцать, живых коней, помимо того, что, разъезжая по равнине, ловил своими руками тех же коней диких. Два тура метали меня рогами вместе с конем, олень меня один бодал, а из двух лосей один ногами топтал, другой рогами бодал; вепрь у меня на бедре меч оторвал, медведь мне у колена потник укусил, лютый зверь вскочил ко мне на бедра и коня со мною опрокинул. И Бог сохранил меня невредимым. И с коня много падал, голову себе дважды разбивал и руки и ноги свои повреждал — в юности своей повреждал, не дорожа жизнью своею, не щадя головы своей.
Еже было творити отроку моему, то сам есмь створилъ, дѣла на войнѣ и на ловѣхъ, ночь и день, на зною и на зимѣ, не дая собѣ упокоя. На посадники не зря, ни на биричи,[84] сам творилъ, что было надобѣ, весь нарядъ, и в дому своемь то я творилъ есмь. И в ловчих ловчий нарядъ сам есмь держалъ, и в конюсѣх, и о соколѣхъ и о ястребѣх.	Что надлежало делать отроку моему, то сам делал — на войне и на охотах, ночью и днем, в жару и стужу, не давая себе покоя. На посадников не полагаясь, ни на биричей, сам делал, что было надо; весь распорядок и в доме у себя также сам устанавливал. И у ловчих охотничий распорядок сам устанавливал, и у конюхов, и о соколах и о ястребах заботился.
Тоже и худаго смерда и убогыѣ вдовицѣ не далъ есмъ силным обидѣти, и церковнаго наряда и службы сам есмъ призиралъ.	Также и бедного смерда и убогую вдовицу не давал в обиду сильным и за церковным порядком и за службой сам наблюдал.
Да не зазрите ми, дѣти мои, ни инъ кто, прочетъ, не хвалю бо ся ни дерзости своея, но хвалю Бога и прославьляю милость его, иже мя грѣшнаго и худаго селико лѣт сблюд от тѣхъ часъ смертныхъ, и не лѣнива мя былъ створилъ, худаго, на вся дѣла человѣчьская потребна. Да сю грамотицю прочитаючи, потъснѣтеся на вся дѣла добрая, славяще Бога с святыми его. Смерти бо ся, дѣти, не боячи, ни рати, ни от звѣри, но мужьское дѣло творите, како вы Богь подасть. Оже бо язъ от рати, и от звѣри и от воды, от коня спадаяся, то никтоже вас не можеть вредитися и убити, понеже не будет от Бога повелѣно. А иже от Бога будет смерть, то ни отець, ни мати, ни братья не могуть отьяти, но аче добро есть блюсти, Божие блюденье лѣплѣѣ есть человѣчьскаго.	Не осуждайте меня, дети мои или другой, кто прочтет: не хвалю ведь я ни себя, ни смелости своей, но хвалю Бога и прославляю милость его за то, что он меня, грешного и худого, столько лет оберегал от тех смертных опасностей, и не ленивым меня, дурного, создал, на всякие дела человеческие годным. Прочитав эту грамотку, постарайтесь на всякие добрые дела, славя Бога со святыми его. Смерти ведь, дети, не боясь, ни войны, ни зверя, дело исполняйте мужское, как вам Бог пошлет. Ибо, если я от войны, и от зверя, и от воды, и от падения с коня уберегся, то никто из вас не может повредить себя или быть убитым, пока не будет от Бога повелено. А если случится от Бога смерть, то ни отец, ни мать, ни братья не могут вас отнять от нее, но если и хорошее дело — остерегаться самому, то Божие сбережение лучше человеческого.
 	ПИСЬМО МОНОМАХА К ОЛЕГУ СВЯТОСЛАВИЧУ
О многострастный[85] и печалны азъ! Много борешися сердцемь, и одолѣвши, душе, сердцю моему, зане, тлѣньнѣ сущи, помышляю, како стати пред страшным судьею, каянья и смѣренья не приимшим межю собою.	О я, многострадальный и печальный! Много борешься, душа, с сердцем и одолеваешь сердце мое; все мы тленны, и потому помышляю, как бы не предстать перед страшным судьею, не покаявшись и не помирившись между собою.
Молвить бо иже: «Бога люблю, а брата своего не люблю», — ложь есть.[86] И пакы: «Аще не отпустите прегрѣшений брату, ни вам отпустить Отець вашь небесный».[87] Пророкъ глаголеть: «Не ревнуй лукавнующим, ни завиди творящим безаконье».[88] «Что есть добро и красно, но еже жити братья вкупѣ!»[89] Но все дьяволе наученье! то бо были рати при умных дѣдѣх наших, при добрых и при блаженыхъ отцихъ наших. Дьяволъ бо не хочет добра роду человѣчскому, сваживает ны. Да се ти написах, зане принуди мя сынъ мой, егоже еси хрстилъ, иже то сѣдить близь тобе, прислалъ ко мнѣ мужь свой и грамоту, река: «Ладимъся и смѣримся, а братцю моему судъ пришелъ. А вѣ ему не будевѣ местника, но възложивѣ на Бога, а станутъ си пред Богомь; а Русьскы земли не погубим». И азъ видѣх смѣренье сына своего, сжалихси, и Бога устрашихся, рекох: онъ въ уности своей и в безумьи сице смѣряеться — на Бога укладаеть; азъ человѣкъ грѣшенъ есмь паче всѣх человѣкъ.	Ибо кто молвит: «Бога люблю, а брата своего не люблю», — ложь это. И еще: «Если не простите прегрешений брату, то и вам не простит Отец ваш небесный». Пророк говорит: «Не соревнуйся лукавствующим, не завидуй творящим беззаконие». «Что лучше и прекраснее, чем жить братьям вместе». Но все наущение дьявола! Были ведь войны при умных дедах наших, при добрых и при блаженных отцах наших. Дьявол ведь ссорит нас, ибо не хочет добра роду человеческому. Это я тебе написал, потому что понудил меня сын мой, крещенный тобою, что сидит близко от тебя; прислал он ко мне мужа своего и грамоту, говоря в ней так: «Договоримся и помиримся, а братцу моему Божий суд пришел. А мы не будем за него мстителями, но положим то на Бога, когда предстанут перед Богом; а Русскую землю не погубим». И я видел смирение сына моего, сжалился и, Бога устрашившись, сказал: «Он по молодости своей и неразумению так смиряется, на Бога возлагает; я же — человек, грешнее всех людей».
Послушах сына своего, написах ти грамоту: аще ю приимеши с добромь, ли с поруганьемь, свое же узрю на твоем писаньи. Сими бо словесы варих тя переди, егоже почаяхъ от тебе, смѣреньем и покаяньем, хотя от Бога ветхыхъ своихъ грѣховъ оставления. Господь бо нашь не человѣкъ есть, но Богъ всей вселенѣи, иже хощеть, в мегновеньи ока вся створити хощеть, то сам претерпѣ хуленье, и оплеванье, и ударенье, и на смерть вдася, животом владѣя и смертью. А мы что есмы, человѣци грѣшни и лиси? — днесь живи, а утро мертви, днесь в славѣ и въ чти, а заутра в гробѣ и бес памяти, ини собранье наше раздѣлять.	Послушал я сына своего, написал тебе грамоту: примешь ли ты ее по-доброму или с поруганием, то и другое увижу из твоей грамоты. Этими ведь словами я предупредил тебя, чего я ждал от тебя, смирением и покаянием желая от Бога отпущения прошлых своих грехов. Господь наш не человек, но Бог всей вселенной, — что захочет, во мгновение ока все сотворит, — и все же сам претерпел хулу, и оплевание, и удары и на смерть отдал себя, владея жизнью и смертью. А мы что такое, люди грешные и худые? — сегодня живы, а завтра мертвы, сегодня в славе и чести, а завтра в гробу и забыты, — другие собранное нами разделят.
Зри, брате, отца наю: что взяста, или чим има порты? но токмо оже еста створила души своей. Но да сими словесы, пославше бяше переди, брат, ко мнѣ варити мене. Егда же убиша дѣтя мое и твое[90] пред тобою, и бяше тебѣ, узрѣвше кровь его и тѣло увянувшю, яко цвѣту нову процветшю, якоже агньцю заколену, и рещи бяше, стояще над ним, вникнущи въ помыслы души своей: «Увы мнѣ! что створихъ? И пождавъ его безумья, свѣта сего мечетнаго кривости ради налѣзох грѣх собѣ, отцю и матери слезы».	Посмотри, брат, на отцов наших: что они скопили и на что им одежды? Только и есть у них, что сделали душе своей. С этими словами тебе первому, брат, надлежало послать ко мне и предупредить меня. Когда же убили дитя, мое и твое, перед тобою, следовало бы тебе, увидев кровь его и тело его, увянувшее подобно цветку, впервые распустившемуся, подобно агнцу заколотому, сказать, стоя над ним, вдумавшись в помыслы души своей: «Увы мне, что я сделал! И, воспользовавшись его неразумием, ради неправды света сего суетного нажил я грех себе, а отцу и матери его принес слезы!»
И рещи бяше Давыдскы: «Азъ знаю, грѣх мой предо мною есть воину»[91]. Не крове дѣля пролиться, — помазаникъ Божий Давыдъ, прелюбодѣянье створивъ, посыпа главу свою и плакася горко; во тъ час отда ему согрѣшенья его Богъ. А к Богу бяше покаятися, а ко мнѣ бяше грамоту утѣшеную, а сноху мою послати ко мнѣ,[92] зане нѣсть в ней ни зла, ни добра, да бых, обуимъ, оплакалъ мужа ея и оны сватбы ею въ пѣсний мѣсто: не видѣхъ бо ею первѣе радости, ни вѣнчанья ею, за грѣхы своя! А Бога дѣля пусти ю ко мнѣ вборзѣ с первым сломь, да с нею кончавъ слезы, посажю на мѣстѣ, и сядет акы горлица на сусѣ древѣ желѣючи, а язъ утѣшюся о Бозѣ.	Надо было бы сказать тебе словами Давида: «Знаю, грех мой всегда передо мной». Не из-за пролития крови, а свершив прелюбодеяние, помазанник Божий Давид посыпал главу свою и плакал горько, — в тот час отпустил ему согрешенья его Бог. Богу бы тебе покаяться, а ко мне написать грамоту утешительную да сноху мою послать ко мне, — ибо нет в ней ни зла, ни добра, — чтобы я, обняв ее, оплакал мужа ее и ту свадьбу их, вместо песен: ибо не видел я их первой радости, ни венчания их, за грехи мои. Ради Бога, пусти ее ко мне поскорее с первым послом, чтобы, поплакав с нею, поселил у себя, и села бы она как горлица на сухом дереве, горюя, а сам бы я утешился в Боге.
Тѣм бо путем шли дѣди и отци наши: судъ от Бога ему пришелъ, а не от тебе. Аще бы тогда свою волю створилъ, и Муромъ налѣзлъ, а Ростова бы не заималъ, а послалъ ко мнѣ, отсюда ся быхом уладили. Но сам разумѣй, мнѣ ли бы послати к тебѣ достойно, ци ли тобѣ ко мнѣ? Даже еси велѣлъ дѣтяти: «Слися къ отцю», десятью я есмъ послалъ.	Тем ведь путем шли деды и отцы наши: суд от Бога пришел ему, а не от тебя. Если бы тогда ты свою волю сотворил и Муром добыл, а Ростова бы не занимал и послал бы ко мне, то мы бы отсюда и уладились. Но сам рассуди, мне ли было достойно послать к тебе или тебе ко мне? Если бы ты велел сыну моему: «Сошлись с отцом», десять раз я бы послал.
Дивно ли, оже мужь умерлъ в полку ти? Лѣпше суть измерли и роди наши. Да не выискывати было чюжего, — ни мене в соромъ, ни в печаль ввести. Научиша бо и́ паропци, да быша собѣ налѣзли, но оному налѣзоша зло. Да еже начнеши каятися Богу, и мнѣ добро сердце створиши, пославъ солъ свой, или пископа, и грамоту напиши с правдою, то и волость възмешь с добромъ, и наю сердце обратиши к собѣ, и лѣпше будемъ яко и преже; нѣсмъ ти ворожбитъ, ни местьникъ. Не хотѣхъ бо крови твоея видѣти у Стародуба: но не дай ми Богъ крови от руку твоею видѣти, ни от повелѣнья твоего, ни котораго же брата. Аще ли лжю, а Богъ мя вѣдаеть и крестъ честный. Оли то буду грѣх створилъ, оже на тя шедъ к Чернигову, поганых дѣля, а того ся каю; да то языком братьи пожаловахъ, и пакы е повѣдах, зане человѣкъ есмь.	Дивно ли, если муж пал на войне? Умирали так лучшие из предков наших. Но не следовало ему искать чужого и меня в позор и в печаль вводить. Подучили ведь его слуги, чтобы себе что-нибудь добыть, а для него добыли зла. И если начнешь каяться Богу и ко мне будешь добр сердцем, послав посла своего или епископа, то напиши грамоту с правдою, тогда и волость получишь добром, и наше сердце обратишь к себе, и лучше будем, чем прежде: ни враг я тебе, ни мститель. Не хотел ведь я видеть крови твоей у Стародуба; но не дай мне Бог видеть кровь ни от руки твоей, ни от повеления твоего, ни от кого-либо из братьев. Если же я лгу, то Бог мне судья и крест честной! Если же в том состоит грех мой, что на тебя пошел к Чернигову из-за язычников, я в том каюсь, о том я не раз братии своей говорил и еще им поведал, потому что я человек.
Аще ти добро, да с тѣмь... али ти лихо е, да то ти сѣдить сынъ твой хрестьный с малым братомъ своимь,[93] хлѣбъ ѣдучи дѣдень,[94] а ты сѣдиши в своемъ[95] — а о се ся ряди; али хочеши тою убити, а то ти еста, понеже не хочю я лиха, но добра хочю братьи и Русьскѣй земли. А егоже то и хощеши насильем, тако вѣ даяла и у Стародуба и милосердуюча по тебѣ, очину твою. Али Богъ послух тому, с братом твоимъ рядилися есвѣ, а не поможеть рядитися бес тебе. И не створила есвѣ лиха ничтоже, ни рекла есвѣ: сли к брату, дондеже уладимся. Оже ли кто вас не хочеть добра, ни мира хрестьяном, а не буди ему от Бога мира узрѣти на оном свѣтѣ души его!	Если тебе хорошо, то... если тебе плохо, то вот сидит подле тебя сын твой крестный с малым братом своим и хлеб едят дедовский, а ты сидишь на своем хлебе, об этом и рядись; если же хочешь их убить, то вот они у тебя оба. Ибо не хочу я зла, но добра хочу братии и Русской земле. А что ты хочешь добыть насильем, то мы, заботясь о тебе, давали тебе и в Стародубе отчину твою. Бог свидетель, что мы с братом твоим рядились, если он не сможет рядиться без тебя. И мы не сделали ничего дурного, не сказали: пересылайся с братом до тех пор, пока не уладимся. Если же кто из вас не хочет добра и мира христианам, пусть тому от Бога мира не видать душе своей на том свете!
Не по нужи ти молвлю, ни бѣда ми которая по Бозѣ, сам услышишь; но душа ми своя лутши всего свѣта сего.	Не от нужды говорю я это, ни от беды какой-нибудь, посланной Богом, сам поймешь, но душа своя мне дороже всего света сего.
На Страшнѣй при бе-суперник обличаюся. И прочее.[96]	На Страшном суде без обвинителей сам себя обличаю. И прочее.
