МЕСЯЦА НОЕВРИА 5 ДЕНЬ.	МЕСЯЦА НОЯБРЯ В ПЯТЫЙ ДЕНЬ.
Пришедъ же отъ Москвы абие чюдесному Сергию отцу завѣщание исполняет: храмъ каменъ внутрь епископиа во имя его созда.[32] И всею лѣпотою утвори и образ его постави в ней, яко много любя преподобнаго, часто въ храмъ его приходя молитвы творяше священныя. Не по мнозѣ же посолъ борзоходный отъ митрополита Ионы прииде къ архиепископу Ионѣ, книги нося повѣдающая постигшую болѣхнь святителя и ожидание блаженныя кончины его. И того ради моляшеся насладитися видѣниа его и утѣшитися о семъ, еще же да произбереть достойнаго на высокий престолъ митрополии епископа, да нѣкое лукавьство предваритъ, вмѣсто достойнаго нетакова. Самого же честныма си рукама гробу предасть и рукуположит митрополии епископа. Сиа книги митрополича прочет архиепископъ, проплакавъ на мнозѣ, рече: «Великиа благоты отщетевается Москва нынѣ и с нею вся Руская, таковую доброту мирови скрывая под землю». Абие же Иона архиепископъ митрополиту Ионѣ вписа книги, повѣдующая окрочение и самому старостию, яко болѣзнени нозѣ имѣя. Обѣща же ся ему насладитися видѣниа его по отложении телесе на воскресение общее святыхъ: «Болши ми тогда срадоватися ему въсприимающи мзду трудов своих, от началника пастыремъ». О произведении же епископа в митрополию, его же духъ его произбереть и благословить, самъ того готовъ приати.	Вернувшись из Москвы, он тотчас исполнил обет, данный чудотворцу отцу Сергию: построил в епископии каменный храм в честь его имени. Храм он всячески украсил и поставил его образ в нем, ибо очень любил преподобного и, часто приходя в храм, молился. Вскоре же быстроходный посол от митрополита Ионы прибыл к архиепископу Ионе с грамотами, в которых сообщалось о болезни святителя и об ожидании им блаженной кончины. Поэтому тот умолял Иону, чтобы он доставил ему радость увидеться с ним и успокоиться тем, что он укажет на епископа, достойного занять высокое место митрополита, да будет этим предупреждено возможное коварство и недостойный не займет этого места. Просил он, чтобы Иона сам, пречистыми своими руками, предал его земле и рукоположил епископа митрополии. Архиепископ прочел это послание митрополита и, горько заплакав, сказал: «Большой благодати лишается ныне Москва и с нею вся Русская земля, хороня такую доброту мира». Тотчас же архиепископ Иона написал митрополиту Ионе послание, поведав о том, что сам он объят старостью, к тому же и ноги больные. И обещал Иона, что порадуется встрече с ним после смерти, в день всеобщего воскресения святых: «Еще больше я порадуюсь с ним, получая награду от начальника пастырей». О поставлении же епископа на митрополию писал, что, кого Иона в душе изберет и благословит, того и он готов принять.
По успении же преподобнаго святителя митропольскаго Ионы архиепископъ Иона понудивше помяновеннаго Пахомиа иже от Святыя Горы мниха попа списати последование «памяти» его и службы канонъ священному Ионѣ митрополиту, вѣдяше бо его добродѣтели. Сего ради и память его каноны почте, равно со святыми. Много же понужаше Пахомиа Иона, утѣшая его и златомъ и соболми, да спишеть ему и еще канонъ преподобному Сергию, да уяснитъ память въ храмѣ его. Пахомие же не рачи послушати архиепископа, но готовяшеся самъ ити в Московскиа страны. Повнегда бо списати ему канонъ блаженному Ионѣ митрополиту, в немже и назнамена в краех тропарем[33] яко повелѣнием архиепископа Ионы списа каноны митрополиту Ионѣ. Самъ тои к тому невозможе его принудити писати или житиа или канонъ: ни Михаилу Клопскому, ни иному, ни единому же, емуже хотяше память уяснити архиепископъ. Излиха бо Божиим угодником теплъ бѣаше Иона, якоже и предварше сказахомъ.	После смерти преподобного святителя, митрополита Ионы, архиепископ Иона просил упомянутого попа Пахомия, монаха из Святой горы, составить «память» и канон службы священному Ионе-митрополиту, зная о его добродетелях, и память о нем он почтил канонами, наравне со святыми. Много уговаривал Пахомия Иона, соблазняя его золотом и соболями, чтобы написал он для него еще и канон преподобному Сергию, дабы сохранилась память о нем в храме его. Пахомий же не очень внимал архиепископу, готовясь сам идти в московские пределы. Но пришлось ему составить канон блаженному митрополиту Ионе, а в нем указать в конце тропарей, что по повелению архиепископа Ионы написал он каноны митрополиту Ионе. Но не смог Иона заставить его написать ни жития, ни канона Михаилу Клопскому и никому другому, ни одному из тех святых, чью память хотел бы отметить архиепископ, Иона ведь очень заботился о Божьих угодниках, как уже говорилось прежде.
По преставлении же великого князя Василиа сынъ его Иванъ княжениа хоругви приемъ, абие посылаеть ко блаженному Ионѣ архиепископу в Великий Новъград, моля его молитвовати за нь ко всесилному Богови, якоже преже обещася, въ еже утвердити княжение его и възвысити десницу его надъ врагы его и во всемъ поспешитися. Еще же и освобожении и мучительства отъ ординских царей и татаръ. Архиепископъ же Иона възда ему нарѣчие, яко не погрѣшитъ надежа да помнить же несумнѣние отца своего, како вѣровавъ и в духовной своей вписа и заповѣда не истязати ему дани и по изведении Орды на братии его. И яко Господь не презрит скорбящихъ слезъ и молитвъ многых, и имѣ же вѣсть судбами, проженет Орду, точию самъ да честиво поживет и тихима очима власть свою правити. Прочее же и паки воспоминает о монастыри своемъ о Отни пустыни, да дарует и той грамоту свободную и суд свой утвердить по отца его грамотѣ монастырю, и печатию да утвердить. Таковое нарѣчие князь Иван от архиепископа слышавъ и прошение его внявъ с радостию, еже о монастыри его исполняетъ даровавъ имъ грамоту и свою по отца своего грамотѣ. И съ свободою суд свои утвердивъ имъ, якоже и преже в грамотѣ отца его князя Василиа. И изваянемъ позлащеномъ воображениемъ князя печать грамотѣ надставив да не колѣбимо в вѣкы повелѣние его пребудеть.	После смерти великого князя Василия сын его Иван принял княжеское знамя и сразу же отослал послов к блаженному Ионе-архиепископу в Великий Новгород, прося молиться за него всесильному Богу, как обещал раньше, чтобы утвердить его княжескую власть, и покорились бы враги под его руку, и все бы удавалось ему. Еще просил он молиться об освобождении от мучительств ордынских царей и татар. Архиепископ же Иона наказал ему, — чтобы не обмануться в надежде, — помнить, как твердо обещал его отец и в духовной своей записал и завещал: не мучить данью братию свою и после уничтожения Орды. И так как Господь Бог не оставит без ответа слезы скорбящих и моления многих, то как вершащий судьбами мира изведет он Орду, только сам князь пусть живет честно и спокойно правит своей вотчиной. И пусть в будущем также помнит князь о монастыре своем — об Отенской пустыни, и дарует ей грамоту свободную, и суд свой установит по грамоте, данной монастырю его отцом, и печатью скрепит. Услышав такое наказание от архиепископа и вняв с радостью его просьбе о монастыре, князь Иван исполняет ее, даруя и собственную грамоту монастырю вслед за грамотой отца. Утвердил он свободу и суд свой монастырю, как и прежде в грамоте отца его, князя Василия, было. И скрепили грамоту позолоченною печатью с изображением князя, дабы повеление его было непоколебимо.
Не точию же московьстии князи велиции к сему преподобнику многою любовию упространишася, но и тверьстии, и литовьстии, и смоленьстии, и полотстии, и нѣмецстии, и вси, и вси округъ сѣдящии страны во вся лѣта епископьства его тверду любовь имѣяху к нему, и миръ великъ к Великому Новуграду имѣяху такоже и ко всѣмъ предѣломъ его. И глубоку тишину вся страна та приятъ и не бѣяше слышаниа рати во вся дни его.	И не только московские великие князья питали сильную любовь к этому преподобному, но и тверские, и литовские, и смоленские, и полоцкие, и немецкие, и другие все, и все соседние земли во все время его епископства крепко любили его, и в мире жили с Великим Новгородом и со всеми его пределами. А земля Новгородская пребывала в полной тишине, и не слышно было войн во все дни архиепископства его.
И гражане любовъ зѣло между собою поучениемъ его имуще, никако же николиже усобныя брани воздвигоша между собою. Благоплодны же земля зѣло паче первых лѣтъ и гобизнено по всеи земли Ноугородцкои и Псковскои и плодовито всѣми овощми бысть зѣло.	И новгородцы по наставлению Ионы жили в любви между собой, никогда не затевали междоусобных распрей друг с другом. А земля плодоносила больше, чем в другие годы, и во всех новгородских и псковских пределах было изобилие всяких плодов.
Такова благослвениа обилна молитвами его Господь Богъ дарова граду нашему, и многоя благодаты вси насладишася, радость и веселие всѣмъ бѣяше, и не бяше вражды ни мятежа, но тихость и миръ и любы во вся лѣта епископьства его.	Таково было благословение, дарованное Господом Богом городу нашему по его молитвам, и все наслаждались многочисленными благами, веселье и радость настали всюду, и не было ни вражды, ни мятежа, но тишина, мир и любовь — во все годы епископства его.
Единою при немъ нападе на град смертоносие. Той же утѣшаше люди отъ Златаустовѣх словесъ, яко: «Сего ради язвими бываемъ им же согрѣшивше к Богови, покаяниа не взыскахомъ о грѣсех своих. В тишинѣ и пространствѣ упитавшеся аки человецы отъ веселиа забвение страха Божиа приемше прегрѣшиша, и сего ради язву смертную граду наведе. Но и се многиа милости и человеколюбиа есть Его дѣло, не подвиже бо языки ни страны приведе на распленение и расхищение предая грѣх ради. Аще бо кто и азвенъ бысть, но обаче в дому своемъ есть, и вси свои изболѣзнующе ему суть. Аще и умрет кто, ближникъ своих руками съ священническами молитвами погребается, и священными службами помяновенъ бывает, и покаянным грѣхом милость от Бога отлучает. И нынѣ к покаянию прибѣгше, милостива Господа Бога сотворите, унша дѣла своя творяще, и со здравиемъ спасение восприимете себѣ». Тогда же молитвовавше людие вси и храм въ имя святаго Сумеона в Зверинцах создаша.[34] И тако язвѣ смертнѣи погыбши, и Божиа милость паки людемъ многа бысть. И паки радости людие о Божиих дарованиих исполняхуся, безъ возмущениа и без скорби выну пребывающе, веселяхуся.	Однажды при нем охватила город моровая язва. Он же утешал людей словами Златоуста: «Потому наказывает нас Бог, что согрешили против него, не покаялись в грехах своих. В мире и покое, насытившись всем, согрешили мы, как люди, забывшие за весельем о страхе Божием, и за это Бог навел на город наш смертоносную язву. Но и так много милости и человеколюбия оказывает он, не пустив за грехи наши другие народы и страны пленить и разорить нас. Если кто и заболел, то ведь в доме своем, и все родные ухаживают за ним. Если же кто и умрет, то руками своих близких, с молитвами священника будет погребен и поминают его во время церковной службы, и с покаянием получает он милость от Бога. И теперь, к покаянию прибегнув, умилостивите Господа Бога, делайте свои дела лучше и, выздоровев, получите спасение свое». Тогда все начали молиться и поставили храм во имя святого Симеона в Зверинцах. Так утихла смертоносная язва, и снова была дарована людям Божья милость. И снова радовались люди Божьим дарам, без тревог и печалей жили, веселясь.
Блаженный же архиепископъ Иона състарѣвся бѣяше, и нозѣ ему тяжестнѣ быша зѣло, и ко блаженнѣй кончинѣ зряше, завѣтъ своею рукою списа о монастыри своемъ, яко не насиловати ему, снабдѣти же братии своей, иже бывающим по нем архиепископом поручи самъ, якоже Иаковъ, прострѣ нозѣ свои на ложи своем[35] и скончася во блаженную кончину праведных.	Блаженный же архиепископ Иона состарился, тяжко заболели ноги его, и, предвидя блаженную кончину, своей рукой он составил завещание о монастыре своем, чтобы не притесняли его, а охранять братию свою поручил он архиепископам, что будут после него, и, словно Иаков, вытянул ноги на ложе своем и скончался блаженной смертью преподобных.
Подобающая о немъ пѣниа сотворше, вложиша на то устроеных ему ковчегъ дубовъ, честное тѣло его покрывше дъскою в ковчезѣ, на нейже назнаменаша лѣто и месяць и день преставлениа его. Поставиша той въ гробѣ въ церкви славнаго Предтечы и крестителя Иоана, еюже самъ созда. Землею же того не посыпаша до четыредесяти дний, елико днии панахиды пѣвахуся. И понеже тѣло его и по четыредесятихъ днех не издасть воня, и по сихъ землею засыпати гроба его не произволиша, но верху гроба его дъсками древяными вышши лакти покрыша, аки вѣровавше добрѣй жизни его ради телеси его не смердѣти уповавше, якоже и прочим мертвецемъ. И второму лѣту уже исходящу по успении его и никтоже до днесь смрад обонявъ явися от гроба его. Въ церкви той присно людем поющим ту и у гроба его стоящим и мѣсту мокру сущу и водну и лѣтомъ теплым бывшимъ, обаче преподобнаго святителя тѣло не издастъ воня и до днесь. И многа исцѣлениа бываху от телеси святаго отца даже и до днесь, с вѣрою приходящим человекомъ яцѣмже недугомъ кто одержимъ бываше.	Сотворили подобающее пение над ним, положили честное тело его в устроенный для этого дубовый ковчег, покрыли доскою в ковчеге, а на ней отметили год, месяц и день кончины его. Поставили этот ковчег в гробнице, в церкви преславного Предтечи и крестителя Иоанна, которую Иона сам построил. Землею его не засыпали сорок дней, пока совершались панихиды. А поскольку тело его и после сорока дней не издавало запаха, то решили и тогда не засыпать его гробницу, но верх гроба его покрыли деревянными досками на высоту в локоть, так как верили в его добрую жизнь, надеялись, что не будет смрада от тела его, как бывает с другими мертвецами. И вот уже прошел второй год после успения его, а до сих пор никто в этой церкви не почувствовал запаха тления на его гробнице. В церкви этой всегда стояли поющие над гробом его, а место мокрое, и водное, и летом теплое, однако тело преподобного святителя не издает запаха до сих пор. И от тела святого отца совершалось и до сих пор совершается много исцелений людей, страдающих каким-либо недугом и с верой приходящих сюда.
Сиа ми воспомянушася о приснопамятнемъ семъ архиепископѣ Ионѣ, малая, иже инии оставиша иже болшая памети писавшеи, и елика ти оставиша аки мала и не вписаша к прочимъ своимъ писменомъ, мы приложихом воспомянути по блаженнем Еуфимии о священнемъ Ионѣ. Да дасть же Господь и нынѣ молитвами его благословение, якоже и при немъ: земли обилие и любов и тишину странамъ и миръ граду и людемъ его. Богу нашему слава нынѣ и присно и в вѣкы вѣкомъ. Аминь.	Все это вспомнилось мне о приснопамятном этом архиепископе Ионе, малое, потому что другие о нем не писали, писавшие большие воспоминания, и поскольку те пренебрегли им как чем-то малым и ничего не сказали о нем в прочих своих писаниях, мы постарались вспомнить после блаженного Евфимия о святом Ионе. Да подаст же Господь и ныне по молитвам его благословение — как и при жизни его: земле обилие, и любовь и тишину странам, и мир городу и людям его. Богу нашему слава ныне, и присно, и во веки веков. Аминь.
