СУД ЯРОСЛАВЛЬ ВОЛОДИМѢРИЧЬ.	СУД ЯРОСЛАВА ВЛАДИМИРОВИЧА.
72. Аже межю перетнеть бортьную, или ролеиную разореть, или дворную тыномь перегородить межю, то 12 гривенъ продажи.	72. Если межу порубит бортную или пашенную распашет или забором перегородит дворовую межу, то 12 гривен штрафа князю.
73. Аже дубъ подотнеть знаменьныи или межьныи, то 12 гривенъ продажѣ.	73. Если подрубит дуб со знаком собственности или межевой, то 12 гривен штрафа князю.
74. А се наклади.[31] А се наклады 12 гривенъ: отроку[32] 2 гривны и 20 кунъ, а самому ѣхати со отрокомь на дву коню, сути же на ротъ овесъ, а мясо дати овенъ любо полоть, а инѣмь кормомь, что има черево возметь, писцю 10 кунъ, перекладнаго[33] 5 кунъ, за мѣхъ[34] двѣ ногатѣ.	74. А это дополнительные пошлины. А это дополнительные пошлины к штрафу в 12 гривен: отроку — 2 гривны и 20 кун, а самому <судебному исполнителю> ехать с отроком на двух конях, и давать им на каждого овса, а мяса дать — барана или полтуши говядины, а остального корма — сколько эти двое съедят, а писцу — 10 кун, перекладного — 5 кун, за мех две ногаты.
75. А се о борти. Аже борть подътнеть, то 3 гривны продажѣ, а за дерево пол гривны.	75. А это о борти. Если борть подрубит, то 3 гривны штрафа князю, а за дерево — полгривны.
76. Аже пчелы выдереть, то 3 гривны продажи; а за медъ, аже будеть пчелы не лажены, то 10 кунъ; будеть ли олѣкъ, то 5 кунъ.[35]	76. Если украдет рой пчел, то 3 гривны штрафа князю; а за мед, если пчелы не приготовлены на зимовку, то 10 кун, если подготовлены, то 5 кун.
77. Не будеть ли татя, то по слѣду женуть; аже будеть слѣдъ ли к селу или к товару, а не отсочать от собе слѣда, ни ѣдуть на слѣдъ или отбьють, то тѣмь платити татбу и продажю; а слѣдъ гнати с чюжими людми а с послухи; аже погубять слѣдъ на гостиныцѣ на велицѣ, а села не будеть, или на пустѣ, кдѣ же не будеть ни села, ни людии, то не платити ни продажи, ни татбы.[36]	77. Если вор не будет обнаружен, то пусть ищут по следу; если след будет к селу или к торговому стану, а люди не отведут от себя следа, не поедут вести расследование или силой откажутся, то им платить украденное и штраф князю; а вести расследование с другими людьми и со свидетелями; если след потеряется на большой торговой дороге, а рядом не будет села или будет незаселенная местность, где нет ни села, ни людей, то не оплачивать ни штрафа князю, ни украденного.
78. О смердѣ. Аже смердъ мучить смерда безъ княжа слова, то 3 гривны продажи, а за муку гривна кунъ; аже огнищанина мучить, то 12 гривенъ продажѣ, а за муку гривна.	78. О смерде. Если смерд мучает смерда без княжеского повеления, то 3 гривны штрафа князю, а за муку <пострадавшему> гривна кун; если кто будет мучить огнищанина, то 12 гривен штрафа князю, а за муку <пострадавшему> гривна.
79. Аже лодью украдеть, то 60 кунъ продажѣ, а лодию лицемь воротити; а за морьскую лодью 3 гривны, а за набоиную лодью[37] 2 гривны, за челнъ 20 кунъ, а за стругъ гривна.	79. Если кто украдет ладью, то 60 кун штрафа князю, а саму эту ладью вернуть; а за морскую ладью — 3 гривны, а за набойную ладью — 2 гривны, за челн — 20 кун, а за струг — гривна.
80. О перевѣсѣхъ. Аже кто подотнеть вервь в перевѣсѣ, то 3 гривны продажи, а господину за вервь гривна кунъ.	80. О сетях для ловли птиц. Если кто подрежет веревку в сети для ловли птиц, то 3 гривны штрафа князю, а владельцу за веревку гривна кун.
81. Аже кто украдеть въ чьемь перевѣсѣ ястрябъ или соколъ, то продажѣ 3 гривны, а господину гривна; а за голубь 9 кунъ, а за куря 9 кунъ, а за утовь 30 кунъ, а за густь 30 кунъ, а за лебедь 30 кунъ, а за жеравль 30 кунъ.	81. Если <кто> украдет в чьей-нибудь сети для ловли птиц ястреба или сокола, то штрафа князю — 3 гривны, а господину — гривна, а за голубя — 9 кун, а за куропатку (?) — 9 кун, а за утку — 30 кун, а за гуся — 30 кун, а за лебедя — 30 кун, а за журавля — 30 кун.
82. А в сѣнѣ и въ дровѣхъ 9 кунъ, а господину колико будеть возъ украдено, то имати ему за возъ по 2 ногатѣ.	82. А за сено и за дрова — 9 кун, а сколько возов украдено, то владельцу получить за каждый воз по 2 ногаты.
83. О гумнѣ. Аже зажьжеть гумно, то на потокъ и на грабежь домъ его, переди пагубу исплатившю, а въ процѣ князю поточити и. Тако же аже кто дворъ зажьжеть.	83. О гумне. Если кто подожжет гумно, то на изгнание и разграбление весь его дом, но сначала он должен выплатить за погубленное, а остальное его хозяйство князь конфискует. Такое же наказание, если кто подожжет двор.
84. А кто пакощами конь порѣжеть или скотину, то продажѣ 12 гривенъ, а за пагубу господину урокъ платити.	84. Если кто злонамеренно зарежет коня или скотину, то князю штраф 12 гривен, а за ущерб господину платить назначенное возмещение.
85. Ты тяжѣ всѣ судять послухи свободыми; будеть ли послухъ холопъ, то холопу на правду не вылазити; но оже хощеть истець, или иметь и, а река тако: «По сего рѣчи емлю тя, но язъ емлю тя, а не холопъ», и емѣти и на желѣзо; аже обинити и, то емлеть на немь свое; не обинить ли его, а платити ему гривна за муку, зане по холопьи рѣчи яли.	85. Эти все тяжбы судят при свободных свидетелях; если будет свидетель холопом, то холопу на суд не являться; но если хочет истец использовать его свидетелем, то пусть скажет так: «Я привлекаю тебя по показаниям этого <холопа>, но привлекаю тебя я, а не холоп», и может взять его <ответчика> на испытание железом; если тот будет осужден, то он возьмет свое по суду, если же тот не будет осужден, то <истцу> заплатить ему гривну за муку, ибо брали его по показаниям холопа.
86. А желѣзного платити 40 кунъ, а мечнику 5 кунъ, а пол гривны дѣтьскому;[38] то ти желѣзныи урокъ, кто си в чемь емлеть.	86. А при испытании железом платить <в суд> 40 кун, а мечнику 5 кун, а детскому полгривны; это плата за испытание железом, кто за что получает.
87. Аже иметь на желѣзо по свободныхъ людии рѣчи, либо ли запа на нь будеть, любо прохожение нощное, или кимь любо образомь аже не ожьжеть, то про муки не платити ему, но одино желѣзное, кто и будеть ялъ.	87. А если привлекают на испытание железом по показаниям свободных людей, или подозрение на нем будет, либо ночью проходил <у места преступления>, то если <обвиняемый> каким-либо образом не обожжется, то за муки ему не платят, но только судебную пошлину за испытание железом платит тот, кто вызывал на суд.
88. О женѣ. Аже кто убиеть жену, то тѣм же судомь судити, яко же и мужа; аже будеть виноватъ, то пол виры 20 гривенъ.	88. О женщине. Если кто убьет женщину, то судить, таким же судом, что и за убийство мужчины; если же <убитый>будет виноват, то платить полвиры 20 гривен.
89. А в холопѣ и в робѣ виры нѣтуть; но оже будеть без вины убиенъ, то за холопъ урокъ платити или за робу, а князю 12 гривенъ продажѣ.	89. А за убийство холопа или робы виру не платят; но если кто-нибудь из них будет убит без вины, то за холопа или за робу платят назначенные судом деньги, а князю 12 гривен штрафа.
90. Аже умреть смердъ. Аже смердъ умреть, то задница князю;[39] аже будуть дщери у него дома, то даяти часть на нѣ; аже будуть за мужемь, то не даяти части имъ.	90. Если умрет смерд. Если смерд умрет, то наследство князю; если будут у него дома дочери, то выделить им часть <наследства>; если они будут замужем, то части им не давать.
91. О задницѣ боярьстѣи и о дружиннѣи. Аже в боярехъ любо въ дружинѣ, то за князя задниця не идеть; но оже не будеть сыновъ, а дчери возмуть.	91. О наследстве боярина и дружинника. Если умрет боярин или дружинник, то наследство князю не отходит; а если не будет сыновей, то возьмут дочери.
92. Аже кто умирая раздѣлить домъ свои дѣтемъ, на том же стояти; паки ли безъ ряду умреть, то всѣмъ детѣмъ, а на самого часть дати души.	92. Если кто, умирая, разделит хозяйство свое между детьми, то так тому и быть; если же умрет без завещания, то разделить на всех детей, а на самого <покойного> отдать часть на помин души.
93. Аже жена сядеть по мужи, то на ню часть дати, а что на ню мужь възложить, тому же есть госпожа, а задниця еи мужня не надобѣ.	93. Если после смерти мужа жена останется вдовой, то детям на нее выделить часть, а что ей завещал муж, тому она госпожа, а наследство мужа ей не следует.
94. Будуть ли дѣти, то что первоѣ жены, то то возмуть дѣти матере своея; любо си на жену будеть възложилъ, обаче матери своеи возмуть.	94. Если будут дети от первой жены, то дети возьмут наследство своей матери; если же муж завещал это второй жене, все равно они получат наследство своей матери.
95. Аже будеть сестра в дому, то тои задницѣ не имати, но отдадять ю за мужь братия, како си могуть.	95. Если в доме будет сестра, то ей <отцовского> наследства не брать, но братьям следует отдать ее замуж, как они смогут.
96. А се закладаюче городъ. А се уроци городнику: закладаюче городню,[40] куну взяти, а кончавше ногата; а за кормъ, и за вологу, и за мяса, и за рыбы 7 кунъ на недѣлю, 7 хлѣбовъ, 7 уборковъ пшена, 7 луконъ овса на 4 кони; имати же ему, донелѣ городъ срубять; а солоду одину дадять 10 луконъ.	96. А это <пошлины> при закладке городских укреплений. А это пошлины строителю городских укреплений: при закладке городни взять куну, а при окончании — ногату; а на корм, и питье, и мясо, и рыбу — 7 кун на неделю, 7 хлебов, 7 уборков пшена, 7 лукон овса на 4 коней; брать же ему столько, пока не будут построены городские укрепления; солода пусть дают 10 лукон один раз <на все время работы>.
97. О мостницѣхъ. А се мостнику уроци: помостивше мостъ, взяти от 10 локотъ по ногатѣ; аже починить моста ветхаго, то колико городнѣ починить, то взяти ему по кунѣ от городнѣ; а мостнику самому ѣхати со отрокомь на дву коню, 4 лукна овса на недѣлю, а ѣсть, что можеть.	97. О строителях мостов. А это пошлины строителю мостов: когда он построит мост, пусть возьмет по ногате за 10 локтей <моста>; если будет чинить старый мост, то сколько починит пролетов, взять ему от пролета по куне; а ехать строителю мостов самому с отроком на двух конях, <брать> 4 лукна овса на неделю, а есть — сколько хочет.
98. А се о задницѣ. Аже будуть робьи дѣти у мужа, то задници имъ не имати, но свобода имъ с матерью.	98. А это о наследстве. Если были у человека дети от робы, то наследства им не иметь, но предоставить свободу им с матерью.
99. Аже будуть в дому дѣти мали, а не джи ся будуть сами собою печаловати, а мати имъ поидеть за мужь, то кто имъ ближии будеть, тому же дати на руцѣ и с добыткомь и с домомь, донелѣ же возмогуть; а товаръ дати перед людми; а что срѣзить товаромь тѣмь ли пригостить, то то ему собѣ, а истыи товаръ воротить имъ, а прикупъ ему собѣ, зане кормилъ и печаловалъся ими; яже от челяди плод или от скота, то то все поимати лицемь; что ли будеть ростерялъ, то то все ему платити дѣтемъ тѣм; аче же и отчимъ прииметь дѣти съ задницею, то тако же есть рядъ.	99. Если будут в доме дети малые, и не смогут они сами о себе позаботиться, а мать их пойдет замуж, то тому, кто им будет близкий родственник, дать их на руки с приобретениями и с основным хозяйством, пока не смогут сами заботиться о себе; а товар передать перед людьми, а что этим товаром он наживет передачей его под проценты или торговлей, то это ему <опекуну>, а первоначальный товар воротить им <детям>, а доход ему себе, поскольку кормил и заботился о них; если же будет от челяди приплод или от скота, то все это <детям> получить наличием; если что растратит, то за все это тем детям заплатить; если же и отчим <при женитьбе> возьмет детей с наследством, то такое же условие.
100. А дворъ без дѣла отень всякъ меншему сынови.	100. А отчий двор без раздела всегда младшему сыну.
101. О женѣ, аже ворчетъ сѣдѣти. Аже жена ворчеть сѣдѣти по мужи, а ростеряеть добытокъ и поидеть за мужь, то платити еи все дѣтемъ.	101. О жене, если она собралась остаться вдовой. Если жена собралась остаться вдовой, но растратит имущество и выйдет замуж, то она должна оплатить все <утраты> детям.
102. Не хотѣти ли начнуть дѣти еи ни на дворѣ, а она начнеть всяко хотѣти и сѣдѣти, то творити всяко волю, а дѣтемъ не дати воли; но что еи далъ мужь, с тѣм же еи сѣдѣти или, свою часть взѣмше, сѣдѣти же.	102. Если дети не захотят ее проживания на дворе, а она поступит по своей воле и останется, то любым образом исполнить <ее> волю, а детям воли не давать; а что ей дал муж, с тем ей и остаться <на дворе невыделенно> или, взяв свою часть, остаться <на дворе выделение>.
103. А матерня часть не надобѣ дѣтемъ, но кому мати дасть, тому же взяти; дасть ли всѣмъ, а вси роздѣлять; безъ языка ли умреть, то у кого будеть на дворѣ была и кто ю кормилъ, то тому взяти.	103. А на <выделенную> часть материнского имущества дети прав не имеют, но кому мать отдаст, тому взять; если отдаст всем, то пусть все разделят; если умрет без завещания, то у кого на дворе она находилась и кто ее кормил, то тому взять <ее имущество>.
104. Аже будуть двою мужю дѣти, а одиноѣ матери, то онѣмъ своего отця задниця, а онѣмъ своего.	104. Если у одной матери будут дети от двух мужей, то одним идет наследство своего отца, а другим — своего.
105. Будеть ли потерялъ своего иночима что, а онѣхъ отця, а умреть, то възворотить брату, на не же и людье вылѣзуть, что будеть отець его истерялъ иночимля; а что ему своего отця, то держить.	105. Если отчим растратит что из имущества отца пасынков и умрет, то вернуть <утраченное> брату <сводному>, на это и люди <свидетелями> станут, что отец его растратил, будучи отчимом; а что касается <имущества> его отца, то пусть он им владеет.
106. А матери, которыи сын добръ, перваго ли мужа, другаго ли, тому же дасть свое; аче и вси сынове еи будуть лиси, а дчери можеть дати, кто ю кормить.	106: А мать пусть даст свое <имущество> тому сыну, который был <к ней> добр, от первого ли мужа или от второго; если же все сыновья будут к ней плохи, то она может отдать <имущество> дочери, которая ее кормит.
107. А се уроци судебнии. А се уроци судебнии: от виры 9 кунъ, а метелнику 9 вѣкошь, а от бортноѣ земли 30 кунъ, а от инѣхъ от всѣхъ тяжь, кому помогуть, по 4 куны, а метелнику 6 вѣкошь.	107. А это пошлины судебные. А это пошлины судебные: от виры — 9 кун, а метельнику — 9 векш, а от <тяжбы> о бортном участке — 30 кун, а от всех иных тяжб, кому помогут <судебные исполнители> — по 4 куны, а метельнику — 6 векш.
108. О задницѣ. Аже братья ростяжють перед княземь о задницю, то которыи дѣтьскии идѣть ихъ дѣлить, то тому взяти гривна кунъ.	108. О наследстве. Если братья будут судиться перед князем о наследстве, то детскому, который идет их делить, взять гривну кун.
109. Уроци ротнии. А се уроци ротнии: от головы 30 кунъ, а от бортьноѣ земли 30 кунъ бес трии кунъ; тако же и от ролеиноѣ земли. А от свободы 9 кунъ.	109. Пошлины за исполнение судебной клятвы. А это пошлины за исполнение судебной присяги: от тяжбы по убийству — 30 кун, а от тяжбы о бортном участке — 30 кун без трех кун; столько же и в тяжбе о пахотной земле. А от тяжбы о свободе — 9 кун.
110. О холопьствѣ. Холопьство обелное трое: оже кто хотя купить до полу гривны, а послухи поставить, а ногату дасть перед самѣмъ холопомь; а второе холопьство: поиметь робу без ряду, поиметь ли с рядомь, то како ся будеть рядилъ, на том же стоить; а се третьее холопьство: тивуньство без ряду или привяжеть ключь к собѣ без ряду,[41] с рядомь ли, то како ся будеть рядилъ, на том же стоить.	110. О холопстве. Полное холопство трех видов: если кто купит хотя бы до полугривны, представит свидетелей и ногату даст перед самим холопом; второй вид холопства: женитьба на робе без договора, если с договором, то как договорились, так на том и стоять; а это третий вид холопства: служба тиуном без договора или если <кто> привяжет себе ключ без договора, если же с договором, то как договорятся, на том и стоять.
111. А въ дачѣ[42] не холопъ, ни по хлѣбѣ роботять, ни по придатъцѣ; но оже не доходять года, то ворочати ему милость; отходить ли, то не виноватъ есть.	111. А за дачу не холоп, ни за хлеб не превращают в холопы, ни за то, что дается сверх того <дачи или хлеба>; но если <кто> не отработает установленный срок, то вернуть ему, что получено; если отработает, то ничем более не обязан.
112. Аже холопъ бѣжить, а заповѣсть господинъ, аже слышавъ кто или зная и вѣдая, оже есть холопъ, а дасть ему хлѣба или укажеть ему путь, то платити ему за холопъ 5 гривенъ, а за робу 6 гривенъ.	112. Если холоп бежит, а господин объявит об этом, если кто, услышав об этом или зная о том, что он холоп, даст ему хлеба или укажет ему путь, то платить ему за холопа 5 гривен, а за робу 6 гривен.
113. Аже кто переиметь чюжь холопъ и дасть вѣсть господину его, то имати ему переемъ гривна; не ублюдеть ли, то платити ему 4 гривны, а пятая переемная ему, а будеть роба, то 5 гривенъ, а шестая на переемъ отходить.	113. Если кто поймает чужого холопа и даст знать его господину, то получить ему за поимку гривну; если не устережет его, то платить ему 4 гривны, а пятая за поимку засчитывается ему, а если будет роба, то <платить> 5 гривен, а шестая за поимку засчитывается ему.
114. Аже кто своего холопа самъ досочиться въ чьемь любо городѣ, а будеть посадникъ не вѣдалъ его, то, повѣдавше ему, пояти же ему отрокъ от него, и шедше увязати и, и дати ему вязебную 10 кунъ, а переима нетуть; аче упустить и гоня, а собѣ ему пагуба, а не платить в то никто же, тѣм же и переима нѣтуть.	114. Если кто сам разыщет своего холопа в каком-либо городе, а посадник о том <холопе> не знал, то, когда <господин> расскажет ему, тому <господину> следует взять у посадника отрока, пойти и связать этого холопа и дать отроку вязебную пошлину в 10 кун, а вознаграждения за поимку холопа нет; если же упустит <господин>, преследуя холопа, то ему самому утрата, а за это никто не платит, и вознаграждения за поимку тоже нет.
115. Аже кто не вѣдая чюжь холопъ усрячеть и, или повѣсти дѣеть, любо держить и у собе, а идеть от него, то ити ему ротѣ, яко не вѣдалъ есмь, оже есть холопъ, а платежа в томь нѣтуть.	115. Если кто, не ведая, что <некто> является чужим холопом, спрячет его, или сообщает ему вести, или содержит его у себя, а тот от него уходит, то идти ему на судебную клятву, <утверждая>, что не знал <того>, что он холоп, а платежа в этом нет.
116. Аче же холопъ кдѣ куны вылжеть, а онъ будеть не вѣдая вдалъ, то господину выкупати али лишитися его; вѣдая ли будеть далъ, а кунъ ему лишитися.	116. Если холоп где-либо получил обманом деньги, а тот <человек> дал деньги, не ведая того, то господину либо выкупать, либо лишиться этого холопа; если же <тот человек> дал <деньги>, зная, <что тот являлся холопом>, то денег ему лишиться.
117. Аже кто пустить холопа в торгь, а одолжаеть, то выкупати его господину и не лишитися его.	117. Если кто пустит своего холопа в торговые дела, а тот одолжает, то господину следует выкупить его и не лишаться его.
118. Аже кто кренеть чюжь холопъ, не вѣдая, то первому господину холопъ поняти, а оному куны имати, ротѣ ходивше, яко не вѣдая есмь купил, ведая ли будеть купилъ, то кунъ ему лиху быти.	118. Если кто купит чужого холопа, не ведая <того>, то первому господину взять холопа, а тому, <кто купил>, взять деньги <обратно>, поклясться, что купил по неведению, если же он купил, зная это, то деньги его пропадут.
119. Аже холопъ бѣгая будеть добудеть товара, то господину долгъ, господину же и товаръ, а не лишатися его.	119. Если холоп, убежав <от господина>, приобретет товар, то господину <платить> долг, господину же <принадлежит> и товар, но холопа не лишаться.
120. Аже кто бѣжа, а поиметь сусѣдне что или товаръ, то господину платити за нь урокъ, что будеть взялъ.	120. Если кто бежал <от господина >, а украдет у соседей что-либо или товар, то господину следует платить за него то, что полагается за то, что взял.
121. Аже холопъ крадеть кого любо, то господину выкупати и любо выдати и, с кимь будеть кралъ, а женѣ и дѣтемъ не надобѣ; но оже будуть с нимь крали и хоронили, то всѣхъ выдати, паки ли а выкупаеть господинъ; аже будуть свободнии с нимь крали или хоронили, то князю въ продажѣ.	121. Если холоп обкрадет кого-либо, то господину его выкупать или выдать с тем, с кем он крал, а жене и детям <отвечать> не надо; но если они с ним крали и прятали, то всех <их> выдать или снова их выкупает господин; если же с ним свободные крали и прятали, то они платят князю судебный штраф.
