 	О ДВУХ БЛУДНИЦАХ
И рече Соломон: «Сказах вамъ дѣвку сию и отрока. Повежте ми вы, трие мужи, изгубившеи чересы своя: и кто есть лѣплий — отрок ли, или дѣвка, или разбойник?» Отвѣщавъ единъ и рече: «Дѣвка добра, оже повѣдала обручение свое». Другый рече: «Отрок добръ, оже терпѣл до повѣлѣниа». Третий рече: «Разбойникъ добръ лучи обою, оже възвратил дѣвку, а самого пустилъ. А добытка было не дать». Тогда отвѣща Соломон: «Друже, охвотивъ еси на чюжий добыток. Ты еси взял чересы всѣ». Он же рече: «Царю господине, въистину тако есть. Не потаю тебе».	И сказал Соломон: «Я рассказал вам про этих девушку и юношу. Скажите теперь мне вы, люди, потерявшие свои пояса: кто лучше — юноша ли, или девушка, или разбойник?» Один в ответ сказал: «Девушка хороша, потому что рассказала о своем обручении». Другой сказал: «Юноша хорош, потому что подождал до разрешения». Третий сказал: «Разбойник лучше всех, потому что возвратил девушку и самого отпустил. А добра не надо было отдавать». Тогда сказал в ответ Соломон: «Друг, ты охоч на чужое добро. Ты взял все пояса». Тот же сказал: «Царь-господин, воистину так и есть. Не утаюсь от тебя».
 	О СМЫСЛЕ ЖЕНСКОМ
По семь же Соломон премудрый, хотя испытати смыслъ женьскый, призва боярина своего, имя ему Декиръ, и рече ему: «Милъ ми еси муж велми. И еще възлюблю тя паче, аще створиши волю мою: убий жену свою, и дамъ за тя дщерь свою лучшюю». Того же молви ему нѣпоколико дний. И не хотяше сего створити Декиръ. И пакы рече: «Створю волю твою, царю». Царь же вдасть ему меч свой, глаголя: «Егда уснет жена твоя, усѣкни ей главу, да не обласкаетъ тебе языкомь своимь». Шед же онъ, обрѣте жену свою спящу, и по сторон ей двое отрочят. Он же, видѣвь жену свою и дѣти своа спяща, и рече на сердци своемь: «Тако ударю в подружие мое мечемь, и разцвѣлю дѣти моя». Царь же възва и к собѣ и въпроси и, глаголя: «Створил ли еси волю мою еже ти бѣх сказал уне жены?» Рече же: «Не могох, господи мой царю, створити».	А потом Соломон премудрый, желая испытать смысл женский, призвал боярина своего, по имени Декир, и сказал ему: «Ты мне очень нравишься. И еще больше полюблю тебя, если ты выполнишь мое желание: убей жену свою, и я отдам за тебя дочь свою лучшую». То же самое сказал ему через несколько дней. И не хотел сделать это Декир. И наконец сказал: «Я выполню волю твою, царь». Царь же дал ему меч свой со словами: «Отруби голову жене своей, когда она уснет, чтобы не отговорила она тебя речами своими». Тот пошел, нашел жену свою спящей, а по сторонам ее двое детей. И он, посмотрев на жену свою и на своих детей спящих, сказал в сердце своем: «Если так ударю подругу мою мечом, то огорчу детей моих». Царь же позвал его к себе и спросил его, говоря: «Выполнил ли ты волю мою относительно твоей жены?» Тот ответил: «Не смог я, господин мой царь, выполнить».
Посла же его царь на посолъ въ инъ град и, призвавъ жену его, и рече ей: «Любима ми еси въ всѣхъ женах велми. Оже ми створиши еже ти повелю, поставлю тя царицею. Заколи мужа своего спяща на постели, а се ти меч». Отвѣщавши жена и рече: «Рада, царю, како велиши». Соломонъ же, разумѣвь мудростию своею мужа ея, яко не хощет убити жены своеа, вдасть ему мечь остръ; и разумѣвь жену его, яко хощеть убити мужа своего, вда ен мечь прудянъ, зрящи, яко остр есть, глаголя: «Мечемь симь заколи мужа своего, на постели спяща ти». Она же положи на грудех мужю своему и потре и по горлу, мнящи, яко остръ есть. Он же ся въсхопи вборзѣ, мня, яко врази нѣкотории, и видѣвь, яко жена его держить меч. «Почто, — рече, — подружие мое, подума на мя убити мя?» Отвѣщавши жена мужю своему, рече: «Языкъ человѣческъ обласка мя, яко убити тя». Он же хотѣ съзвати люди, и разумѣ, яко научение Соломоне.	Царь же отправил его послом в другой город и, призвав жену его, сказал ей: «Ты нравишься мне гораздо больше всех женщин. Если ты сделаешь, что я тебе повелю, поставлю тебя царицею. Заколи мужа своего, спящего на постели, а это тебе — меч». В ответ жена сказала: «Я рада, царь, что ты так велишь». Соломон же, понимая мудростью своею ее мужа, — что тот не хочет убить жену свою, — давал ему меч острый; и понимая жену его, — что она хочет убить мужа своего, дал ей меч тупой, сделав вид, что он острый, говоря: «Мечом этим заколи мужа своего, спящего на постели твоей». Она же положила меч на грудь мужу своему и стала водить им по его горлу, думая, что он острый. А тот быстро вскочил, полагая, что напали какие-то враги, и увидев, что жена его держит меч, «почему, — сказал, — подруга моя, ты надумала убить меня?» В ответ мужу своему жена сказала: «Язык человеческий убедил меня, чтобы я убила тебя». Он же хотел позвать людей и тут понял, что научил ее Соломон.
Соломонъ, слышавь, вписа въ Изборникъ стих сьй и рече: «Человѣка обрѣтох в тысящах, а жены въ свѣтѣ въ всѣмь не обрѣтох».[12]	Соломон, услышав об этом, вписал в Сборник этот стих, сказав: «Человека нашел одного среди тысяч, а женщины во всем свете не нашел».
 	О СЛУГЕ И СЫНЕ
Въ дни Соломоня бысть мужь богат въ Вавилонѣ, и не имяше дѣтей. Ужившю же ему половину дний своих, постави собѣ паробка въ сына мѣсто. И въскрутивь и с добыткомь, посла из Вавилона въ куплю. Он же, пришед въ Иерусалимь, ожирися ту. И бысть ту в боярех у Соломона, въсѣдающих на обѣдѣ у царя.	В дни Соломона был в Вавилоне богатый человек, но не было у него детей. Прожив половину дней своих, он усыновил мальчика-слугу. И, снарядив, послал его с добром из Вавилона по торговым делам. Тот же, придя в Иерусалим, там разжился. И попал в число бояр Соломона, восседающих на обеде у царя.
В то же время у господина его родися сынъ дома. И бысть отрочя 13 лѣт, и преставися отець его. И рече ему мати его: «Сыну, слышах о холопѣ отца твоего, яко ожирился есть въ Иерусалимѣ. Иди и взищи его». И прииде въ Иерусалимъ, и въпраша о имени мужа, холопа оного. А бяше нарочитъ велми. И повѣдаша ему, яко у Соломона на обѣдѣ. И внидѣ отрочя в полату цареву, и рече: «Кто есть онсий бояринъ?» И отвѣща онъ, и рече: «Азъ есмь». Приступив же, отрочя удари и по лицю и рече: «Холопъ еси мой! Не бояри, сѣдя, но поиди работати! И вдаж ми добытокъ!» И разгнѣвася царь, и бысть ему жаль. Отвѣща отрочя к Соломону и рече: «Аще не будеть, царю, сей холопъ отца моего и мой, да за ударение руку моею вдасть ми ся мечь потяти мя». Отвѣща удареный и рече: «Азъ есмь господичичь, а се паробокь отца моего и мой. Имам послухы в Вавилонѣ». И рече царь: «Не имамъ вѣры яти послухомь, но да послю посол мой въ Вавилон, и тамо да възмет кость плесную от гроба его, и та ми повѣсть, кое будеть сынъ, кое ли паробокъ. А вы стоита сдѣ». Посла же царь посолъ свой вѣрный, и принесе кость плечную. По мудрости же своей царь повелѣ измыти кость чисто, посади же боярина своего пред собою и вси мудреци, бояре и книжници, глаголаху умѣющему кровь пущати: «Пусти кровь боярину сему». И створи ему тако. И повѣлѣ царь вложити кость в теплу кровь. Раздрѣшение рѣчи повѣдаа бояромь своимь и рече: «Аще будеть сынъ его, и прилнеть кровь его къ кости отни. Аще ли не прилнеть, то рабъ». И выняша кость из крови, и бѣ кость бѣла, якоже и первое. Повелѣ же царь кровь пустити отрочятѣ въ инъ съсуд. И, измывьше кость, вложиша въ кровь отрочате. И наяся кость крови. И рече царь бояромь своимь: «Видите своима очима, яко повѣдаетъ кость си: “Сей есть сынъ мой, а оно — рабъ”». И тако разсуди а царь.	А тем временем у господина его дома родился сын. И когда исполнилось отроку тринадцать лет, отец его умер. И сказала ему его мать: «Сын, я слышала о холопе отца твоего, что он разжился в Иерусалиме. Пойди и найди его». Тот пришел в Иерусалим и спросил о человеке по имени, какое было у этого слуги. А тот был очень известен. Ему сказали, что он у Соломона на обеде. И вошел отрок в царский зал, и спросил: «Кто здесь такой-то боярин?» Тот в ответ сказал: «Это я». Подойдя, отрок ударил его по лицу и сказал: «Ты — мой холоп! Не боярствуй, сидя, а иди работать! И отдай мне мое добро!» И разгневался царь, и стало ему досадно. Обратившись к Соломону, отрок сказал: «Если не будет, царь, этот холоп отца моего моим, то за то, что я ударил его своей рукой, я получу удар мечом, который меня убьет». Ударенный в свою очередь сказал: «Я — господский сын, а это — слуга отца моего и мой. У меня есть свидетели в Вавилоне». Царь сказал: «Я не поверю свидетелям, лучше отправлю посла моего в Вавилон — пусть он там возьмет плечевую кость из гроба отца, и та мне поведает, кто из вас сын, а кто слуга. А вы будьте тут». И царь послал своего доверенного посла, и тот принес плечевую кость. По мудрости своей царь повелел чисто вымыть кость, посадил боярина своего и всех мудрецов, бояр и книжников перед собой и сказал человеку, умеющему пускать кровь: «Пусти кровь этому боярину». Тот это сделал. Тогда царь велел положить кость в теплую кровь. Смысл повеления он объяснил своим боярам, сказав: «Если это его сын, то кровь его прильнет к кости отца. Если же не прильнет, то — раб». И вынули кость из крови, и была кость белой, как и прежде. Тогда повелел царь в другой сосуд пустить кровь отрока. И, вымыв кость, положили ее в кровь юноши. И напиталась кость кровью. И сказал царь своим боярам: «Видите своими глазами, что говорит эта кость: “Вот этот — мой сын, а тот — раб”». Так рассудил их царь.
 	О ЦАРЕ АДАРИАНЕ
По семь же нача молвити Соломон бояромь своимь: «Бысть Адарианъ царь, и повелѣ бояромь своимъ звати ся Богомь. И не въсхотѣвше, бояре его рѣша: “Царь нашь! Мниши ли въ сердци своемь, яко не было Бога преже тебе? Аще прозовем тя вышнимь царемь въ царихь, егдаже примеши вышний Иерусалимъ и Святая святых”. Он же, причинився с вои многыми, и, шед, прия Иерусалимъ, и възвратився вспять, рече имъ: “Якоже Богъ велить и речеть, такоже и створить, такоже и азъ створих. Нынѣ взовите мя Богомъ”. Имяше же три философы. Отвѣща ему первый, рече: “Аще хощеши възватися Богомь, да нѣсть възватися боярину въ царевѣ полатѣ царемь, а не выступить вонъ. Тако и ты, аще хощеши възватися Богомь, да выступи изъ всея вселеныя и тамо взовися Богомь”.	После этого начал Соломон говорить боярам своим: «Был Адариан-царь, и он повелел боярам своим звать его Богом. И, не захотев, бояре его сказали: “Царь наш! Думаешь ли ты в сердце своем, что не было Бога прежде тебя? Мы будем звать тебя высшим царем среди царей, если ты возьмешь вышний Иерусалим и Святая Святых”. Он же, собравшись с воинами многими, пошел, и взял Иерусалим, и возвратился назад, и сказал им: “Подобно тому как Бог, что повелит и скажет, то и сделает, — так и я сделал. Теперь называйте меня Богом”. Было же у него три философа. Ответил ему первый, сказав: “Если хочешь зваться Богом, учти: не может боярин называться царем, находясь в царском дворце, — пока не выйдет наружу. Так и ты, если хочешь зваться Богом, выйди из всей вселенной и там называйся Богом”.
И рече другый: “Не можеши ты възватися Богомь”. И рече царь: “Чему?” Он же рече: “Глаголеть Иеремѣя пророкъ: «Бози, не створше небесе и земля, да погыбнуть».[13] Аще хощеши погыбнути, царю, то взовися Богомъ”.	А другой сказал: “Не можешь ты называться Богом”. Царь спросил: “Почему?” Тот ответил: “Говорит Иеремия-пророк: «Боги, не сотворившие неба и земли, да погибнут». Если хочешь погибнуть, царь, называйся Богом”.
И рече третий: “Господине мой царю! Помози ми в часъ сий въскорѣ!” И рече царь: “Что ти есть?” И рече философ, яко: “Лодья моя за треми верстами хощеть погрязнути, а все имѣние мое в ней”. И рече царь: “Не бойся. Послю люди, и приведуть ю”. И рече философ: “Чему, царю, трудиши люди своя? Посли вѣтръ тих, да спасеть ю”. Он же, разумѣвъ, помолче нелюбиемь и иде в полату къ царици своей.	А третий сказал: “Господин мой царь! Помоги мне скорее!” Царь спросил: “Что с тобой?” И сказал философ: “Лодка моя в трех верстах отсюда готова потонуть, а все добро мое в ней”. И царь сказал: “Не бойся. Пошлю людей, и они приведут ее”. А философ сказал: “Зачем тебе, царь, утруждать людей своих? Пошли тихий ветер, пусть он спасет ее”. Тот же, поняв, промолчал недовольно и пошел в покой к своей царице.
И рече царица: “Философи съблазниша тя, царю: рѣша ти, яко не можеши зватися Богомь”. Хотѣвши же ему утѣшение дати по печали той, рече: “Ты еси царь, ты еси богат, ты достоинъ чести великиа. Створи, — рече, — едино, и тогда взовися Богомь”. И рече царь: “Которую?” И рече царица: “Поклад Божий, еже имаши у себе, възврати”. Он же рече: “Который поклад?” Царица же рече: “Възврати душю твою, юже ти дал Богъ в тѣло твое, и тогда взовися Богомъ”. Он же рече: “Аще не будеть души въ мнѣ и в тѣлѣ моемь, како взовуся Богомъ?” Царица же рече ему: “Да аще душею своею не обладаеши, то ни Богомь можеши ся прозвати”».	И сказала царица: “Философы обманули тебя, царь, сказав тебе, что не можешь зваться Богом”. Желая же утешить его в той печали, она сказала: “Ты — царь, ты богат, ты достоин великой чести. Сделай, — сказала, — одну вещь, и тогда зовись Богом”. Царь спросил: “Какую же?” И царица ответила: “Имущество Божие, которое у тебя, возврати”. Он спросил: “Какое имущество?” Царица же сказала: “Возврати душу твою, которую вложил Бог в тело твое, и тогда зовись Богом”. Он возразил: “Если не будет души во мне, в теле моем, как назовусь я Богом?” Царица же сказала ему: “Если ты душой своей не владеешь, то и Богом не можешь прозываться”».
 	О ПОХИЩЕННОЙ ЦАРЕВНЕ
И царь Соломон поча просити царевны за себе. И не даша за него. И рече Соломон бѣсом: «Идите и възмите царицу ту, и приведите ю къ мнѣ». Бѣси же, шедше, похытиша ю на переходѣ, идущу ис полаты от матери, и всадиша ю в сандалъ, и помчаша ю по морю.	Царь Соломон просил царевну за себя. И не отдали ее за него. Тогда Соломон сказал бесам: «Идите, и возьмите царевну ту, и приведите ее ко мне». И бесы, пойдя, похитили ее на переходе, когда она шла из покоев матери, посадили ее в судно и помчали по морю.
И видѣ царица, оже мужь воду пиетъ, а из тыла ему вода опять идеть вонъ. Она же рече: «Повѣжте ми, что се есть». Они же рѣша: «Тотъ ти повѣсть, къ кому тя ведемь». И переѣхаша голомя, оже мужь, въ водѣ бродя, воды просит, а волны пошибают и. И рече царица: «Немилыи мои просатаеве, а се ми повѣжте: мужь сьй, въ водѣ бродя, воды просит?» Они же рѣша: «Тотъ ти повѣсть, къ кому тя ведемь». И переѣхаша зрѣмя, оже мужь сѣно жать течеть, а два козла, за нимь ходя, поядають траву: он же что усѣчеть, а они поядять. И рече царица: «Повѣжте ми, немилыи мои просатаеве, повѣжте ми: жаль ли тѣма козлома ѣсти траву, в сѣно не сѣчену?» Рѣша же ей бѣси: «Тотъ ти повѣсть, къ кому тя ведемь».	И вот увидела царевна, что человек воду пьет, а сзади у него вода выходит вон. Она попросила: «Объясните мне, что это такое». А бесы сказали: «Тот тебе объяснит, к кому тебя везем». Едут дальше и видят — человек, в воде бродя, воды просит, а волны его сбивают. И сказала царевна: «Немилые мои сваты, а это мне объясните: почему тот человек, в воде бродя, воды просит?» А они сказали: «Тот тебе объяснит, к кому тебя везем». И еще проехали, и видят — человек жнет сено, идет, а два козла, за ним идя, траву поедают: что он срежет, то они съедают. И сказала царевна: «Объясните мне, немилые мои сваты, объясните мне: почему бы тем козлам не есть траву несрезанную?» А бесы ей сказали: «Тот тебе объяснит, к кому тебя везем».
И примчаша ю под град. И пришед, единъ бѣсъ повѣда Соломону царю: «Привели есме невѣсту тобѣ». И царь, всѣд на конь, выѣха на брегъ. И рече ему царевна: «Уже твоа есмь, царю. Но се ми повѣжь: оже мужь пьяша воду, а из тыла ему опять идет вонъ». Он же рече: «Но чему ты ся сему дивиши? То ти есть домъ царевъ: сюда внидет, а сюда изыдет». И рече царица: «И се ми еще повѣжь, что се есть: мужь единъ, въ воде бродя, воды просит, а волны пошибають и?» И рече Соломонъ: «О невѣсто! Чему ся ты сему дивиши, невѣсто? То ти есть тиунъ царевъ: тяжу судить, а другой ищеть, абы ему чимь царю добро сердце створити». — «Но се ми еще повѣж: муж сѣно жати сѣчет, а что усѣчеть, и два козла, за ним ходяща, поѣдають. Жаль ми бяше тѣма козлома влѣзши же в сѣно, ѣсти траву несѣчену». И рече царь: «Невѣсто! Чему ты ся дивиши! Оже мужь поиметь другую жену съ чюжими дѣтми, то что устражеть, а они снѣдять. А собѣ ему нѣсть ничтоже. Нынѣ же поиди, невѣсто, в мою полату».	И примчали ее к городу. Один бес пошел и поведал Соломону-царю: «Привели невесту тебе». Царь же, сев на коня, выехал на берег. И сказала ему царевна: «Нынче я твоя, царь. Но вот что мне объясни: человек пил воду, а сзади у него она выходила вон». Царь сказал: «Почему ты этому удивляешься? Ведь это дом царский: сюда входит, отсюда выходит». И спросила царевна: «И вот еще объясни мне, что это такое: один человек, в воде бродя, воды просит, а волны сбивают его?» Соломон ответил: «О невеста! Почему ты этому удивляешься, невеста? Это ведь слуга царев: он одну тяжбу судит, а другой тяжбы ищет, чтобы царево сердце сделать добрым». — «И вот что мне еще объясни: человек траву срезает, а что срежет, то два козла, за ним идя, поедают. Почему бы тем козлам, влезшим в сено, не есть траву несрезанную?» И сказал царь: «Невеста! Чему ты удивляешься! Если человек возьмет другую жену с чужими детьми, то что он наработает, то они съедят. А для себя у него ничего нет. А теперь иди, невеста, в мой покой».
И тако бысть ему жена.	Так она и стала его женой.
