ПОСЛАНИЕ ВАССИАНУ ПАТРИКЕЕВУ	ПОСЛАНИЕ ВАССИАНУ ПАТРИКЕЕВУ
Аз убо не творю что без свѣдѣтельства божественыхь писаний, но по святых писаний послѣдуя, творю елико по силѣ. Егда бо сътворити ми что, испытую прежде божественаа писаниа. И аще не обрящу съгласующа моему разуму в начинание дѣла, отлагаю то, донѣжѣ обрящу. Егда же обрящу благодатию Божиею, творю благодръзностно яко извѣстно. От себе же не смѣю творити, понеже невѣжда и поселянинъ есмь.	Я ведь ничего не делаю без свидетельства божественных писаний, но святым писаниям следуя, делаю сколько по силам. Когда мне нужно что-либо сделать, я прежде всего вопрошаю божественные писания. И если не найду согласное с моим соображением о начинании дела, откладываю его, пока не найду. Когда же найду благодатью Божией, делаю в благой уверенности как одобренное.
Сище и ты, аще хощеши, сътворяй по святых писаниих и по сих разуму тщися дѣлати заповѣди Божиа и преданиа святых отецъ. И аще влънениа житейскых вещей каа подвижут сердце твое, не ужасайся, утверждаем на недвижимѣмь камени заповѣдей Господних и ограждаемь преданми святыхь отецъ. И о всемь буди ревнитель тѣм, ихже зриши и слышиши от святых писаний, имущихь свѣдетельствованно житие и мудрование. Сих бо право есть шествование пути. И сиа написуа в сердци своемь, поиди неуклонно в путь Божий и не заблудиши благодатию Божиею от истины. Писано бо есть, яко невъзможно правѣ мудрьствующему и благочестнѣ живущу погыбнути. Но елици растлѣннѣмь разумомь творять дѣло Божие, сии погрѣшають от праваго пути.	Так и ты, если хочешь, поступай по святым писаниям и согласно их смыслу старайся осуществлять заповеди Божий и предания святых отцов. И если какие-нибудь волнения, связанные с житейскими делами, подвигнут сердце твое, не пугайся, утверждаясь на недвижимом камне заповедей Господних и ограждаясь преданиями святых отцов. И во всем будь ревностным подражателем тем, кого видишь и о ком слышишь из святых писаний, что они имеют засвидетельствованное житие и мышление. Ибо их движение по пути правое. И записывая это в сердце своем, пойди неуклонно в путь Божий, и не собьешься благодатью Божиею в сторону от истины. Ибо написано, что невозможно правильно мыслящему и благочестиво живущему погибнуть. А кто с растленным разумом делает дело Божие, те уклоняются от правого пути.
Шествуй же невъзвратно, положивь руку на рало Господне и не зря въспять, да управлен будетши в царство Божие.[12] И потщися, приемь сѣмя слова Божиа, не обрѣстися сердцу твоему путь, ни камень, ни терние, но благаа земля, сътворяа многосугубенъ плодъ, в спасение душа своеа. Да и азъ, разумное твое въ услышании слова Божиа разсмотривь и яже достойная похваламь въ исправлении добродѣтелемь в тебѣ обрѣтъ, възрадуюся, благодаря Бога, увѣдѣвь тебе слышавша слово Божие и храняща е. Молю же тя Господа ради молити за мя грѣшника, глаголюща ти доброе, а не творяща никакоже.	И шествуй, не возвращаясь, возложив руку на плуг Господен и не озираясь назад, да пригоден будешь для царства Божия. И постарайся, приняв семя слова Божия, чтобы не оказалось сердце твое ни путем, ни камнем, ни тернием, но — благой землей, творящей множество плодов во спасение своей души. Да и я, усмотрев твою разумность при слышании слова Божия и обретя в тебе то, что достойно похвал, в деле осуществления добродетелей, возрадуюсь, благодаря Бога, — увидав, что ты и услышал слово Божие, и сохраняешь его. Молю же тебя Господа ради молиться за меня, грешника, говорящего тебе хорошее, а никак не делающего.
Богь же, творяй преславная и подаваа всяко даание благо творящим волю Его, да подасть ти разумъ и утверждение творити волю Его святую молитвами Пречистыа Владычица нашеа Богородица и всѣхь святых, яко благословень в вѣкы. Аминь.	Бог же, творящий преславное и подающий всякое благое даяние исполняющим волю Его, да подаст тебе разум и уверенность, чтобы творить волю Его святую молитвами Пречистой Владычицы нашей Богородицы и всех святых, ибо благословен вовеки. Аминь.
ПОСЛАНИЕ ГЕРМАНУ ПОДОЛЬНОМУ	ПОСЛАНИЕ ГЕРМАНУ ПОДОЛЬНОМУ
ПОСЛАНИЕ ТОГОЖЕ ВЕЛИКАГО СТАРЦА КЪ БРАТУ, ПРОСИВШУ ОТ НЕГО НАПИСАТИ ЕМУ ЕЖЕ НА ПОЛЗУ ДУШИ	ПОСЛАНИЕ ТОГО ЖЕ ВЕЛИКОГО СТАРЦА К БРАТУ, ПРОСИВШЕМУ У НЕГО НАПИСАТЬ ЕМУ ДЛЯ ПОЛЬЗЫ ДУШИ
Писаниице твое, отче, еже писалъ еси къ мнѣ, — просиши у мене отписати ми к тебѣ, еже на пользу и извѣстити ми тебѣ о себѣ, — что мниши скорбь мнѣ на тебя тѣх ради рѣчей, что бесѣдовали есмя с тобою, коли еси былъ здѣ. И о том прости мя. Съвѣтовалъ есмь, въспоминаа себѣ и тебѣ, яко присному своему любимому, якоже и писано есть: «Таиньство Моа Моимь и сыновомь дому Моего открываю»,[13] — что не просто или якоже прилучися подобаеть намь творити дѣланиа каа, но по божественыхь писаниихь и по преданию святыхъ отець, прежде изшествие из монастыря. Точию не ползы ли ради душевныа, а не за ино что? Занеже не видятся нынѣ хранима жительства законъ Божиих по святых писаниих и по преданию святых отецъ, но по своих волях и умышлениих человѣчьскых. И въ мнозѣх обретается се, что и самое то развращеное творимь, и сие мномь добродѣтель проходити. Се же случается от еже невѣдети нам святая писаниа, понеже не тщимся съ страхом Божиимь и съ смирениемь испытовати сиа, но небрежемь о них и въ человѣчьская упраждняемся.	В письмеце твоем, отец, которое ты написал мне, ты просишь меня написать тебе что-то полезное и известить тебя о себе, — тебе кажется, что я обижен на тебя из-за тех речей, что были сказаны, когда мы с тобою беседовали, когда ты был здесь. И за то прости меня. Я высказывал мнение, имея в виду себя и тебя, как всегда мною любимого, — согласно написанному: «Тайны Мои Моим и сыновьям дома Моего открываю», — что не просто так и не как случится подобает нам осуществлять какие-либо дела, но по божественным писаниям и по преданию святых отцов, прежде всего — уход из монастыря. Только — не пользы ли это ради душевной, а не ради чего-то иного? Потому что не видно ныне общежительства по законам Божиим, по святым писаниям и по преданию святых отцов, но только — по своим волям и умышлениям человеческим. И во многих из них оказывается, что и самые развратные дела мы творим, и полагаем, что это — осуществление добродетели. Случается же это от нашего неведения святых писаний, потому что мы не стараемся со страхом Божиим и со смирением вопрошать их, но пренебрегаем ими и занимаемся человеческими делами.
Аз же того ради тако бесѣдовах ти, понеже истинно, а не притворено хощеши слово Божие слышати и творити е. И аз, не ласкаа тя, ни съкрываа жостоту тѣснаго и прискорбнаго пути, предложих ти. Инѣм же противу мѣрѣ комуждо бесѣдую. Ты же вѣси мою худость изначала, яко присный духовнѣ любимый мой. Сего ради и нынѣ пишу тебѣ, явлено о себѣ творя, понеже по Бозѣ любовь твоа понуждает мя и безумна мя творить — еже писати к тебѣ о себѣ.	Я же потому так говорил с тобой, что ты истинно, а не притворно хочешь слышать слово Божие и осуществлять его. И не льстя тебе, не скрывая трудность тесного и прискорбного пути, предложил я это тебе. С иными же соответственно мере каждого беседую. Ты ведь знаешь мою худость с самого начала, как всегда мною духовно любимый. Из-за этого и ныне пишу я тебе, объявляя о себе, поскольку по Боге любовь твоя понуждает меня к тому и делает меня безумцем, — заставляя писать тебе о себе.
Егда въ монастыри купно жили есмы, сам вѣси, яко съплетений мирскых удаляюся и творю, елико по силѣ, по божественых писаний, аще и невъзмогаю тако ради лѣности моеа и небрежениа. Таже по ошествии странничьства моего пришед в монастырь, вънѣ близь монастыря сътворих себѣ келию и такоже живях, елико по силѣ моей.	Когда в монастыре мы жили вместе, ты сам видел, что от мирских сплетен я удаляюсь и поступаю, насколько есть силы, по божественным писаниям, хотя и не справляюсь из-за моей лености и небрежности. Затем, по завершении странничества моего придя в монастырь, я построил себе келью вне, поблизости от монастыря и так жил, насколько было силы моей.
Нынѣ же в далѣе от манастыря преселихся, понеже благодатию Божиею обрѣтох мѣсто угодно моему разуму, занеже мирской чяди маловходно, якоже и самъ видѣлъ еси.	Ныне же подальше от монастыря я переселился, так как благодатью Божией нашел место, угодное моему разуму, потому что мирским людям оно труднодоступно, как ты и сам видел.
И наипаче испытую божественаа писаниа: прежде заповѣди Господня и толкованиа ихь и апостольская преданиа, таже и житиа и учениа святыхъ отецъ — и тѣмь вънимаю. И яже съгласна моему разуму къ благоугождению Божию и к ползѣ души преписую себѣ и тѣми поучаюся, и въ томь живот и дыхание мое имѣю. А немощь мою и лѣность и нерадѣние на Бога и на Пречистую Богородицу възложих.	И больше всего я вникаю в божественные писания: прежде всего — в заповеди Господни и их толкования и апостольские предания, затем — в жития и учения святых отцов, — и им я внимаю. И что согласуется с моим представлением о благоугождении Богу и о пользе для души, переписываю себе и тем поучаюсь, и в том жизнь и дыхание мое имею. А немощь мою, леность и нерадение я возложил на Бога и на Пречистую Богородицу.
И аще что лучится творити ми, аще не обрящу то в святых писаниихь, отлагаю се на время, дондеже обрящу. Понеже по своей волѣ и по своему разуму не смѣю что творити. И аще кто любовию духовною прилѣпляется мнѣ, такоже съвѣтую дѣлати, наипаче же тебѣ, занеже изначала духовною любовию усвоаемь еси мнѣ. Сего ради и слово подвигохь к тебѣ, съвѣтуа въ благо, яко своей души: како самъ тщуся дѣлати, тако и тебѣ бесѣдовах.	И когда случается мне что-то предпринять, если не нахожу того в святых писаниях, то откладываю это на время, пока не найду. Потому что по своей воле и по своему разуму я не смею ничего делать. И если кто-то по любви духовной прилепляется ко мне, советую так же поступать, особенно тебе, потому что с самого начала духовная любовь сделала тебя своим для меня. Оттого и обратил я к тебе слово, советуя во благо, как своей душе: как сам стараюсь делать, так и тебе говорил.
Нынѣ же, аще и разнѣ тѣлом есмы, но духовною любовию съпряжени и съвокуплени. И устава ради сеа божественыа любве бесѣдовах ти тогда и нынѣ пишу призывающаа в спасение души. И ты яже слыша от мене и написанна видѣвь, аще угодно ти есть, подражай сиа. Желаа сынъ и наслѣдникь быти святых отецъ, твори заповѣди Господня и преданиа святых отецъ и сущимь с тобою братиамь глаголи.	Ныне же, хоть и порознь мы телами, но духовной любовью сопряжены и совокуплены. И по закону этой божественной любви и тогда я беседовал с тобой, и ныне пишу, призывая к спасению души. И тому, что ты слышал от меня и написанным увидел — если это тебе угодно, подражай этому. Желая быть сыном и наследником святых отцов, твори заповеди Господни и предания святых отцов и живущим с тобой братьям то же говори.
И аще особнѣ вселение твое есть или в монастыри съ братиами еси, вънимай святымь писаниемь и по стопамь святых отецъ шествуй. Занеже божественая писаниа намь тако повелѣвают: или повинутися таковому человѣку, кто будеть свѣдѣтельствованъ в дѣлании словомь и разумомь духовнѣ, — якова же пишеть Великый Василие[14] въ словѣ, емуже начало: «Придете къ Мнѣ вси тружающеися».[15] Аще ли не обрящется таковь, ино повинутися Богу по божественыхь писаниихь, а не так безсловесно, якоже нѣции. И егда в монастырѣ съ братиами, мнящеся в повиновании, самоволием безсловесно пасутся и ошельствие такоже творять неразумно, волею плотскою ведущеся и разумомь неразсудном невѣдуще ни яже творять, ни о нихже утверждаются. О таковых Иоаннъ Лѣствичный, разсуждаа въ иже о различии безмолвиа словѣ, глаголеть: «Самочиниемь паче, неже наставлениемь, от мнѣниа плавати изволиша». Еже да не будеть намь. Ты же, творя по святыхъ писаниих и по жительству святыхъ отецъ, благодатию Христовою не погрѣшиши.	И живешь ли ты особо, или в монастыре с братьями пребываешь, внимай святым писаниям и шествуй по стопам святых отцов. Потому что божественные писания нам так повелевают: или повиноваться такому человеку, который будет засвидетельствован в духовном делании словом и разумом, как пишет Василий Великий в слове, у которого начало: «Придите ко Мне все труждающиеся». Если же не найдется таковой, тогда — повиноваться Богу с помощью божественных писаний, а не так без смысла жить, как некоторые. Они и в монастыре с братьями, будто бы в повиновении, в самоволии без смысла пасутся, и отшельничество также осуществляют неразумно, плотской волей ведомые и не понимая неразмышляющим разумом ни того, что делают, ни того, в чем утверждаются. О таковых рассуждая, Иоанн Лествичник в Слове о различии безмолвия говорит: «Самочинно скорее, нежели согласно наставлению, следуя своему мнению, плавать они захотели». Да не будет этого с нами! Ты же, поступая по святым писаниям и по житиям святых отцов, благодатью Христовой не погрешишь.
Нынѣ же и азъ оскорбихся о томь, что ты скорбенъ. Того ради понудихся и писати к тебѣ, — чтобы еси не скорбенъ был. Богъ же всякыа радости и утѣхы да утѣшить сердце твое и извѣстить о нашей любви еже к тебѣ.	А теперь и я стал скорбеть из-за того, что ты скорбен. Из-за этого-то и заставил себя написать тебе, — чтобы ты не скорбел. Бог же всякой радости и утехи да утешит сердце твое и известит о нашей любви к тебе.
Аще и грубо написах ти что, но не иному кому, но тебѣ — присному възлюбленному моему, не хотя презрѣти прошение твое. Надѣю бо ся, яко съ любовию приимеши и не позазриши неразумию моему.	Хоть и грубо я написал, но — ведь не кому-то иному, но тебе, постоянному возлюбленному моему, чтобы не презреть твою просьбу. Надеюсь ведь, что с любовью примешь ты это и не осудишь мое неразумие.
А о вещехь нашихь, о нихже молих святыню твою, та добрѣ потщался еси устроити, о томь челомь бию. Богъ да въздасть ти мьзду противу твоему труду.	А что касается наших дел, о которых я просил твою святыню, — ты хорошо постарался их устроить, за то челом бью. Бог да воздаст тебе по твоему труду.
К тому же еще молю твою святыню, да не положиши словеса она скорбь, яже глаголахомь тогда. Аще бо и по внѣшнему мнятся жостока, внутрь же исполнь ползы. Понеже не своя глаголахь, но от святых писаний. Жостъка убо поистинѣ онѣм,иже не хотять истинно смиритися въ страсѣ Господни и плотьскыхъ мудрований отступити, но по своих воляхь страстних жити, а не по святыхь писаниихъ. Таковии бо не испытуют святая писаниа съ смирениемь духовнѣ. Нѣции же от нихь не хотять и слышати нынѣ еже по святыхь писаний жити, якоже бы рещи: не намь писана суть и не подлежить еже въ нынѣшнем родѣ хранити та.	Сверх того, и еще молю святыню твою: да не сочтешь обидными те слова, что мы говорили тогда. Хотя внешне они кажутся жесткими, внутри же наполнены пользой. Потому что не свое я говорил, но — из святых писаний. Жестки они поистине для тех, кто не хочет истинно смириться в страхе Господнем и отступить от плотских мудрований, но хочет согласно своим страстным волям жить, а не по святым писаниям. Такие люди не вникают ведь со смирением, духовно в святые писания. Некоторые из них ныне не хотят и слышать о том, чтобы жить по святым писаниям, как бы говоря: не для нас они писаны и не надо людям нынешнего рода их хранить.
Истинным же дѣлателем и древле, и нынѣ, и до вѣка словеса Господня чиста, яко сребро ражжено и очищенно седмерицею, и заповѣди Его свѣтлы, и въжделѣнны имь паче злата и камениа честна, и услаждають ихь паче меда и сота, и хранять я. И вънегда съхранять та, въсприимуть въздааниа многа.	Для делателей же истины и в древности, и ныне, и до скончания века слова Господни чисты, как серебро, расплавленное и очищенное семикратно, и заповеди Его светлы и вожделенны для них больше золота и драгоценных камней, и услаждают они их больше меда и сотов, и они их соблюдают. И если они сохранят их, то воспримут многие воздаяния.
Здравьствуй о Господѣ, господине отче, и моли о нас грѣшныхь, а мы святыни твоей велми челом бием.	Здравствуй о Господе, господин отец, и молись о нас, грешных, а мы святыне твоей весьма бьем челом.
ПОСЛАНИЕ БРАТУ, ПРИШЕДШЕМУ С ВОСТОЧНОЙ СТОРОНЫ	ПОСЛАНИЕ БРАТУ, ПРИШЕДШЕМУ С ВОСТОЧНОЙ СТОРОНЫ
ТОГО ЖЕ СТАРЦА ПОСЛАНЕИЦЕ ПРОСИВШЕМУ У НЕГО БРАТУ С ВЪСТОЧНЫА СТРАНЫ НА ПОЛЗУ ДУШИ	ТОГО ЖЕ СТАРЦА ПОСЛАНЬИЦЕ БРАТУ, <ПРИШЕДШЕМУ> С ВОСТОЧНОЙ СТОРОНЫ, ПРОСИВШЕМУ У НЕГО НАПИСАТЬ ПОЛЕЗНОЕ ДЛЯ ДУШИ
Так ся, господине, нам мнить полезно тебе окормлятися: правило в телесных деланиих по силе, а не выше меры, а в писаниих божественых поучатися, и в рукоделиих себе обучати, и безмолвие любити. А коли, Богу хотящу, друг друга узрим, тогда пространнее будет беседа о всем, про все.	Так, господин, нам кажется полезно тебе руководствоваться: в телесных занятиях правилом по силе, а не выше меры, а в писаниях божественных поучаться, и какой-то ручной работе обучаться, и безмолвие любить. А когда, если Бог захочет, друг друга увидим, тогда пространнее будет беседа обо всем, про все.
ЗАВЕЩАНИЕ	ЗАВЕЩАНИЕ
Во имя Отца, и Сына и Святаго Духа. Завѣщаваю яже о себе моимъ приснымъ господиямъ и братиям, яже суть моего нрава: молю вас, повергните тѣло мое в пустыни сей, да изъядятъ е звѣрие и птица, понеже съгрѣшило есть къ Богу много и недостойно есть погребения. Аще ли сице не сътворите, и вы, ископавше ровъ на мѣстѣ, идѣже живемъ,съ всякимъ безчестиемь погребите мя. Бойте же ся слова,иже великий Арсений[16] завѣща своимь учеником, глаголя: на судѣ стану с вами, аще кому дадите тѣло мое. Мнѣ потщание, елико по силе моей, что бых не сподобленъ чести и славы вѣка сего никоторые — якоже в жити семъ, тако и по смерти. Молю же всѣх, да помолятся о души моей грѣшней, и прощения прошу от всѣх, и от мене прощение: Бог да простит всѣх.	Во имя Отца и Сына и Святого Духа. Завещаю о себе моим вечным господам и братьям, людям моего нрава: молю вас, бросьте тело мое в этой глуши, чтобы съели его звери и птицы, потому что грешило оно перед Богом много и недостойно погребения. Если же этого не сделаете, тогда, выкопав яму глубокую на месте, на котором живем, со всяким бесчестием погребите меня. Бойтесь же слова, которое Арсений Великий завещал своим ученикам, говоря: на суде стану с вами, если кому-нибудь отдадите тело мое. Я стараюсь, насколько в моих силах, не быть сподобленным чести и славы века сего никакой — как в жизни этой, так и по смерти. Молю же всех, да помолятся о душе моей грешной, и прощения прошу у всех, и от меня прощение: Бог да простит всех.
Крестъ болшей, что в нем камень страстей Господних, такоже и что писал есми сам книжки,[17] то — господѣ моей и братии, кто учнетъ тръпѣти на мѣстѣ семъ. Аще бы потщалися по мнѣ службу священную сотворити до 40 дней, отомвелми челомъ бью. Малые книжицы Иоаннъ Дамаскинъ, Потребникъ, и Ермолой такоже здѣ, Псалтирь в четверть Игнатиева писма, — къ Кириловъ монастырь. И прочие книги и вещи Кирилова монастыря, что мнѣ давали за любовь Божию — чие что есть, тому и отдати; или нищим, или монастыря коего, или отъинуду христолюбца коего, что въ лицѣх, — тому и отдати.	Крест большой, в котором камень страстей Господних, а также книжки, которые я сам писал, то — господам моим и братьям, кто начнет терпеть на этом месте. И чтобы постарались по мне службу священную совершать в течение сорока дней, — об этом очень прошу. Маленькие книжицы, Иоанн Дамаскин, Потребник, и Ирмологий здесь также, Псалтирь в четверть, Игнатьева письма — в Кириллов монастырь. И прочие книги и вещи Кириллова монастыря, что мне давали по любви Божией, — чье что есть, тому и отдать; или нищим, или монастыря какого-нибудь, или откуда-то христолюбца какого-то лицевую книгу — тем и отдать.
