ПОВЕСТЬ О ПЕТРЕ И ФЕВРОНИИ МУРОМСКИХ	ПОВЕСТЬ О ПЕТРЕ И ФЕВРОНИИ МУРОМСКИХ
И паки возвратися на готовое исцеление к девицы. И якоже приспѣ в дом ея, с студом посла к ней, прося врачевания. Она же, нимало гнѣву подержав, рече: «Аще будет ми супружник, да будет уврачеван». Он же с твердостию слово дасть ей, яко имат пояти ю жену себѣ. Сия же паки, яко и преже, то же врачевание даст ему, еже предписах. Он же вскоре исцѣление получив, поят ю жену себѣ. Такою же виною бысть Феврония княгини.	И опять возвратился князь на испытанное лечение к девушке. И когда пришел к дому ее, то со стыдом послал к ней, прося исцеления. Она же, нимало не гневаясь, сказала: «Если станет мне супругом, то исцелится». Он же твердое слово дал ей, что возьмет ее в жены. И она снова, как и прежде, то же самое лечение определила ему, о каком я уже писал раньше. Он же, быстро исцелившись, взял ее себе в жены. Таким-то вот образом стала Феврония княгиней.
Приидоста же во отчину свою, град Муром, и живяста во всяком благочестии, ничтоже от Божиих заповѣдей оставляюще.	И прибыли они в вотчину свою, город Муром, и начали жить благочестиво, ни в чем не преступая Божиих заповедей.
III	III
По мале же дний предреченный князь Павел отходит жития сего. Благовѣрный же князь Петръ по брате своем един самодержец бывает граду своему.	По прошествии недолгого времени князь Павел скончался. Благоверный же князь Петр после брата своего стал самодержцем в городе своем.
Княгини же его Февронии боляре его не любяху жен ради своих, яко бысть княгини не отечества ради ея; Богу же прославляющу ю добраго ради жития ея.	Бояре, по наущению жен своих, не любили княгиню Февронию, потому что стала она княгиней не по происхождению своему; Бог же прославил ее ради доброго ее жития.
Нѣкогда бо нѣкто от предстоящих ей прииде ко благовѣрному князю Петрови навадити на ню, яко: «От коегождо, — рече, — стола своего без чину исходит: внегда бо встати ей, взимает в руку свою крохи, яко гладна!» Благовѣрный же князь Петръ, хотя ю искусити, повелѣ да обѣдует с ним за единым столом. И яко убо скончавшуся обѣду, она же, якоже обычай имѣяше, взем от стола крохи в руку свою. Князь же Петръ приим ю за руку и, развед, видѣ ливан добровонный и фимиян. И от того дни остави ю к тому не искушати.	Однажды кто-то из прислуживающих ей пришел к благоверному князю Петру и наговорил на нее: «Каждый раз, — говорил он, — окончив трапезу, не по чину из-за стола выходит: перед тем, как встать, собирает в руку крошки, будто голодная!» И вот благоверный князь Петр, желая ее испытать, повелел, чтобы она пообедала с ним за одним столом. И когда кончился обед, она, по обычаю своему, собрала крошки в руку свою. Тогда князь Петр взял Февронию за руку и, разжав ее, увидел ладан благоухающий и фимиам. И с того дня он ее больше никогда не испытывал.
И по мнозе же времени приидоша к нему сь яростию боляре его, ркуще: «Хощем вси, княже, праведно служити тебѣ и самодержцем имѣти тя, но княгини Февронии не хощем, да господьствует женами нашими. Аще хощеши самодержцем быти, да будет ти ина княгини. Феврония же, взем богатество доволно себѣ, отоидет, аможе хощет!» Блаженный же Петръ, якоже бѣ ему обычей, ни о чесомже ярости имѣя, со смирением отвеща: «Да глаголита к Февронии, и якоже рчет, тогда слышим».	Минуло немалое время, и вот однажды пришли к князю бояре его во гневе и говорят: «Княже, готовы мы все верно служить тебе и тебя самодержцем иметь, но не хотим, чтобы княгиня Феврония повелевала женами нашими. Если хочешь оставаться самодержцем, путь будет у тебя другая княгиня. Феврония же, взяв богатства, сколько пожелает, пусть уходит, куда захочет!» Блаженный же Петр, в обычае которого было ни на что не гневаться, с кротостью ответил: «Скажите об этом Февронии, послушаем, что она скажет».
Они же, неистовии, наполнившеся безстудия, умыслиша, да учредят пиръ. И сотвориша, и егдаже быша весели, начаша простирати безстудныя своя гласы, аки пси лающе, отнемлюще у святыя Божий даръ, егоже ей Богъ и по смерти неразлучна обещал есть. И глаголаху: «Госпоже княгини Феврония! Весь град и боляре глаголють тебѣ: дай же нам, егоже мы у тебе просим!» Она же рече: «Да возмета, егоже просита!» Они же, яко единеми усты, ркоша: «Мы убо, госпоже, вси князя Петра хощем, да самодержьствует над нами. Тебе же жены наши не хотяхут, яко господьствуеши над ними. Взем богатество доволно себѣ, отоидеши, аможе хощеши!» Она же рече: «Обещахся вам, яко елика аще просите — приимете. Аз же вам глаголю: дадите мнѣ егоже, аще аз воспрошу у ваю». Они же, злии, ради быша, не вѣдуще будущаго, и глаголаша с клятвою, яко: «Аще рчеши, единою без прекословия возмеши». Она же рече: «Ничтоже ино прошу, токмо супруга моего, князя Петра!» Рѣша же они: «Аще сам восхощет, ни о том тебѣ глаголем». Враг бо наполни их мыслей, яко аще не будет князь Петръ, да поставят себѣ инаго самодержьцем: кииждо бо от боляръ во умѣ своем держаше, яко сам хощет самодержец быти.	Неистовые же бояре, потеряв стыд, задумали устроить пир. Стали пировать, и вот, когда опьянели, начали вести свои бесстыдные речи, словно псы лающие, лишая святую Божьего дара, который Бог обещал ей сохранить и после смерти. И говорят они: «Госпожа княгиня Феврония! Весь город и бояре просят у тебя: дай нам, кого мы у тебя попросим!» Она же в ответ: «Возьмите, кого просите!» Они же, как едиными устами, промолвили: «Мы, госпожа, все хотим, чтобы князь Петр властвовал над нами, а жены наши не хотят, чтобы ты господствовала над ними. Взяв сколько тебе нужно богатств, уходи, куда пожелаешь!» Тогда она сказала: «Обещала я вам, что чего ни попросите — получите. Теперь я вам говорю: обещайте мне дать, кого я попрошу у вас». Они же, злодеи, обрадовались, не зная, что их ждет, и поклялись: «Что ни назовешь, то сразу беспрекословно получишь». Тогда она говорит: «Ничего иного не прошу, только супруга моего, князя Петра!» Они же ответили: «Если сам захочет, ни слова тебе не скажем». Враг помутил их разум — каждый подумал, что если не будет князя Петра, то поставят другого самодержца: а ведь в душе каждый из бояр надеялся самодержцем стать.
Блаженный же князь Петръ не возлюби временнаго самодержавьства кромѣ Божиих заповѣдей, но по заповѣдем его шествуя, держашеся сих, якоже богогласный Матфѣй в своем Благовѣстии вещает.[8] Рече бо, яко иже аще пустит жену свою, развие словеси прелюбодѣйнаго, и оженится иною, прелюбы творит. Сей же блаженный князь по Еуангеллию сотвори: одержание свое, яко уметы вмени, да заповѣди Божия не разрушит.	Блаженный же князь Петр не захотел нарушить Божиих заповедей ради царствования в жизни этой, он по Божьим заповедям жил, соблюдая их, как богогласный Матфей в своем Благовествовании вещает. Ведь сказано, что, если кто прогонит жену свою, не обвиненную в прелюбодеянии, и женится на другой, тот сам прелюбодействует. Сей же блаженный князь по Евангелию поступил: достояние свое к навозу приравнял, чтобы заповеди Божьей не нарушить.
Они же, злочестивии боляря, даша им суды на рѣцѣ — бяше бо под градом тѣм рѣка, глаголемая Ока. Они же пловуще по рѣцѣ в судѣх. Нѣкто же бѣ человекъ у блаженныя княгини Февронии в судне, егоже и жена в томже судне бысть. Той же человекъ, приим помыслъ от лукаваго бѣса, возрѣв на святую с помыслом. Она же, разумѣв злый помыслъ его вскоре, обличи и, рече ему: «Почерпи убо воды из руки сия с сю страну судна сего». Он же почерпе. И повелѣ ему испити. Он же пит. Рече же паки она: «Почерпи убо воды з другую страну судна сего». Он же почерпе. И повелѣ ему паки испити. Он же питъ. Она же рече: «Равна ли убо си вода есть, или едина слажеши?» Он же рече: «Едина есть, госпоже, вода». Паки же она рече сице: «И едино естество женское есть. Почто убо, свою жену оставя, чюжиа мыслиши? Той же человекъ, уведѣ, яко в ней есть прозрѣния даръ, бояся к тому таковая помышляти.	Злочестивые же бояре эти приготовили для них суда на реке — под этим городом протекает река, называемая Окой. И вот поплыли они по реке в судах. В одном судне с Февронией плыл некий человек, жена которого была на этом же судне. И человек этот, искушаемый лукавым бесом, посмотрел на святую с вожделением. Она же, сразу угадав его дурные мысли, обличила его, сказав ему: «Зачерпни воды из реки сей с этой стороны судна сего». Он почерпнул. И повелела ему испить. Он выпил. Тогда сказала она снова: «Теперь зачерпни воды с другой стороны судна сего». Он почерпнул. И повелела ему снова испить. Он выпил. Тогда она спросила: «Одинакова вода или одна слаще другой?» Он же ответил: «Одинаковая, госпожа, вода». После этого она промолвила: «Так и естество женское одинаково. Почему же ты, забыв о своей жене, о чужой помышляешь?» И человек этот, поняв, что она обладает даром прозорливости, не посмел больше предаваться таким мыслям.
Вечеру же приспѣвшу, начаша ставитися на брезѣ. Блаженный же князь Петръ яко помышляти начат: «Како будетъ, понеже волею самодержьства гонзнув?» Предивная же Феврониа глагола ему: «Не скорби, княже, милостивый Богъ, творец и промысленник всему, не оставит нас в низшетѣ быти!»	Когда приспел вечер, пристали они к берегу и начали устраиваться на ночлег. Блаженный же князь Петр задумался: «Что теперь будет, коль скоро я по своей воле от княженья отказался?» Предивная же Феврония говорит ему: «Не скорби, княже, милостивый Бог, творец и заступник всех, не оставит нас в беде!»
На брезе же том блаженному князю Петру на вечерю его ядь готовляху. И потче поваръ его древца малы, на нихже котлы висяху. По вечери же святая княгини Феврониа, ходящи по брегу и видѣвши древца тыя, благослови, рекши: «Да будут сия на утрии древие велико, имущи вѣтви и листвие». Еже и бысть: вставши бо утре, обретоша тыя древца велико древие имуще вѣтви и листвие.	На берегу тем временем на ужин князю Петру готовили еду. И повар его воткнул маленькие колья, чтобы повесить на них котлы. А когда закончился ужин, святая княгиня Феврония, ходившая по берегу и увидевшая обрубки эти, благословила их, сказав: «Да будут они утром большими деревьями с ветвями и листвой». Так и было: встали утром и нашли вместо обрубков большие деревья с ветвями и листвой.
И яко уже хотяху людие их рухло вметати в суды со брега, приидоша же велможа от града Мурома, ркуще: «Господи княже! От всѣх велмож и ото всего града приидохом к тебѣ, да не оставиши нас сирых, но возвратишися на свое отечествие. Мнози бо велможа во градѣ погибоша от меча. Кииждо их хотя державствовати, сами ся изгубиша. А оставшии вси со всѣм народом молят тя, глаголюще: господи княже, аще и прогнѣвахом тя и раздражихом тя, не хотяще, да княгини Феврония господьствует женами нашими, нынѣ же, со всѣми домы своими, раби ваю есмы, и хощем, и любим, и молим, да не оставита нас, раб своих!»	И вот, когда люди собрались грузить с берега на суда пожитки, то пришли вельможи из города Мурома, говоря: «Господин наш князь! От всех вельмож и от жителей всего города пришли мы к тебе, не оставь нас, сирот твоих, вернись на свое княжение. Ведь много вельмож погибло в городе от меча. Каждый из них хотел властвовать, и в распре друг друга перебили. И все уцелевшие вместе со всем народом молят тебя: господин наш князь, хотя и прогневали и обидели мы тебя тем, что не захотели, чтобы княгиня Феврония повелевала женами нашими, но теперь, со всеми домочадцами своими, мы рабы ваши и хотим, чтобы были вы, и любим вас, и молим, чтобы не оставили вы нас, рабов своих!»
Блаженный же князь Петръ и блаженная княгини Феврония возвратишася во град свой. И бѣху державстсвующе во градѣ том, ходяще во всѣх заповѣдех и оправданиих Господних бес порока, в молбах непрестанных и милостынях и ко всѣм людем, под ихъ властию сущим, аки чадолюбивии отецъ и мати. Бѣста бо ко всѣм любовь равну имуще, не любяще гордости, ни грабления, ни богатества тлѣннаго щадяще, но в Богь богатѣюще. Бѣста бо своему граду истинна пастыря, а не яко наимника.[9] Град бо свой истинною и кротостию, а не яростию правяще. Странныя приемлюще, алчьныя насыщающе, нагия одевающе, бѣдныя от напасти избавляюще.	Блаженный князь Петр и блаженная княгиня Феврония возвратились в город свой. И правили они в городе том, соблюдая все заповеди и наставления Господние безупречно, молясь беспрестанно и милостыню творя всем людям, находившимся под их властью, как чадолюбивые отец и мать. Ко всем питали они равную любовь, не любили жестокости и стяжательства, не жалели тленного богатства, но богатели Божьим богатством. И были они для своего города истинными пастырями, а не как наемники. А городом своим управляли со справедливостью и кротостью, а не с яростью. Странников принимали, голодных насыщали, нагих одевали, бедных от напастей избавляли.
IV	IV
Егда же приспѣ благочестное преставление ею, умолиша Бога, да во един час будет преставление ею. И совѣт сотворше, да будут положена оба вь едином гробѣ, и повелѣша учредити себѣ вь едином камени два гроба, едину токмо преграду имущи межу собою. Сами же вь едино время облекошася во мнишеския ризы. И наречен бысть блаженный князь Петръ во иноческом чину Давидъ, преподобная же Феврония наречена бысть во иноческом чину Еуфросиния.	Когда приспело время благочестивого преставления их, умолили они Бога, чтобы в одно время умереть им. И завещали, чтобы их обоих положили в одну гробницу, и велели сделать из одного камня два гроба, имеющих меж собою тонкую перегородку. В одно время приняли они монашество и облачились в иноческие одежды. И назван был в иноческом чину блаженный князь Петр Давидом, а преподобная Феврония в иноческом чину была названа Ефросинией.
В то же время преподобная и блаженная Феврония, нареченная Еуфросиниа, во храм Пречистыя соборныя церкви[10] своима рукама шияше воздух,[11] на немже бѣ лики святых. Преподобный же и блаженный князь Петръ, нареченный Давидъ, прислав к ней, глаголя: «О сестро Еуфросиния! Хощу уже отоитти от тѣла, но жду тебе, яко да купно отоидем». Она же отрече: «Пожди, господине, яко дошию воздух во святую церковь». Он же вторицею послав к ней, глаголя: «Уже бо мало пожду тебе». И яко же третицею присла, глаголя: «Уже хощу преставитися и не жду тебе!» Она же остаточное дѣло воздуха того святаго шияше, уже бо единого святаго риз еще не шив, лице же нашив; и преста, и вотче иглу свою в воздух, и превертѣ нитью, еюже шияше. И послав ко блаженному Петру, нареченному Давиду, о преставлении купнѣм. И, помолився, предаста святая своя душа в руцѣ Божии месяца июня в два десять пятый день.	В то время, когда преподобная и блаженная Феврония, нареченная Ефросинией, вышивала лики святых на воздухе для соборного храма пречистой Богородицы, преподобный и блаженный князь Петр, нареченный Давидом, послал к ней сказать: «О сестра Ефросиния! Пришло время кончины, но жду тебя, чтобы вместе отойти к Богу». Она же ответила: «Подожди, господин, пока дошью воздух во святую церковь». Он во второй раз послал сказать: «Не долго могу ждать тебя». И в третий раз прислал сказать: «Уже умираю и не могу больше ждать!» Она же в это время заканчивала вышивание того святого воздуха: только у одного святого мантию еще не докончила, лицо уже вышила; и остановилась, и воткнула иглу свою в воздух, и замотала вокруг нее нитку, которой вышивала. И послала сказать блаженному Петру, нареченному Давидом, что умирает вместе с ним. И, помолившись, отдали они оба святые свои души в руки Божий в двадцать пятый день месяца июня.
По преставлении же ею хотѣста людие, яко да положен будет блаженный князь Петръ внутрь града, у соборныя церкви пречистыя Богородицы, Феврония же внѣ града в женстем манастыри, у церкви Воздвижения честнаго и животворящаго креста, ркуще, яко во мнишестем образѣ неугодно есть положити святых вь едином гробѣ. И учредиша им гроби особны и вложиша телеса их в ня: святаго Петра, нареченнаго Давида, тѣло вложиша во особный гроб и поставиша внутрь града в церкви святыя Богородицы до утриа, святыя же Февронии, нареченныя Еуфросинии, тѣло вложиша во особный гроб и поставиша внѣ града в церкви Воздвижения честнаго и животворящаго креста. Общий же гроб, егоже сами повелѣша истесати себѣ вь едином камени, оста тощ в том же храмѣ Пречистыя соборныя церкви, иже внутрь града. На утрии же, вставше, людие обрѣтоша гроби их особныя тщи, в няже их вложиста. Святая же телеса их обретоста внутрь града в соборней церкви пречистыя Богородицы вь едином гробѣ, егоже сами себѣ повелѣша сотворити. Людие же неразумнии, якоже в животѣ о них мятущеся, тако и по честнѣм ею преставлении: паки преложиша я во особныя гробы и паки разнесоша. И паки же на утрии обрѣтошася святии вь едином гробѣ. И ктому не смѣяху прикоснутися святѣм их телесем и положиша я во едином гробѣ, в немже сами повелѣста, у соборныя церкви Рождества пресвятыя Богородица внутрь града, еже есть дал Богъ на просвѣщение и на спасение граду тому: иже бо с вѣрою пририщуще к раце мощей ихъ, неоскудно исцеление приемлют.	После преставления их решили люди тело блаженного князя Петра похоронить в городе, у соборной церкви пречистой Богородицы, Февронию же похоронить в загородном женском монастыре, у церкви Воздвижения честного и животворящего креста, говоря, что, так как они стали иноками, нельзя положить их в один гроб. И сделали им отдельные гробы, в которые положили тела их: тело святого Петра, нареченного Давидом, положили в его гроб и поставили до утра в городской церкви святой Богородицы, а тело святой Февронии, нареченной Ефросинией, положили в ее гроб и поставили в загородной церкви Воздвижения честного и животворящего креста. Общий же их гроб, который они сами повелели высечь себе из одного камня, остался пустым в том же городском соборном храме пречистой Богородицы. Но на другой день утром люди увидели, что отдельные гробы, в которые они их положили, пусты, а святые тела их нашли в городской соборной церкви пречистой Богородицы в общем их гробе, который они велели сделать для себя еще при жизни. Неразумные же люди как при жизни, так и после честного преставления Петра и Февронии, пытались разлучить их: опять переложили их в отдельные гробы и снова разъединили. И снова утром оказались святые в едином гробе. И после этого уже не смели трогать их святые тела и погребли их возле городской соборной церкви Рождества святой Богородицы, как повелели они сами — в едином гробе, который Бог даровал на просвещение и на спасение города того: припадающие с верой к раке с мощами их щедро обретают исцеление.
Мы же по силе нашей да приложим хваление има.	Мы же по силе нашей да воздадим похвалу им.
Радуйся, Петре, яко дана ти бысть от Бога власть убити летящаго свирѣпаго змия! Радуйся, Февроние, яко в женстей главѣ святых муж мудрость имѣла еси! Радуйся, Петре, яко струпы и язвы на теле своем нося, доблествене скорби претерпѣл еси! Радуйся, Февроние, яко от Бога имѣла еси даръ в девьственней юности недуги целити! Радуйся, славный Петре, яко заповѣди ради Божия самодержьства волею отступи, еже не остати супруги своея! Радуйся, дивная Февроние: яко твоим благословением во едину нощь малое древие велико возрасте и изнесоша вѣтви и листие! Радуйтася, честная главо, яко во одержании ваю в смирении, и молитвах, и в милостыни без гордости пожиста; тѣмже и Христосъ дасть вам благодать, яко и по смерти телеса ваю неразлучно во гробѣ лежаще, духом же предстоита владыце Христу! Радуйтася, преподобная и преблаженная, яко и по смерти исцеление с вѣрою к вам приходящим невидимо подаете!	Радуйся, Петр, ибо дана тебе была от Бога сила убить летающего свирепого змея! Радуйся, Феврония, ибо в женской голове твоей мудрость святых мужей заключалась! Радуйся, Петр, ибо, струпья и язвы нося на теле своем, мужественно все мучения претерпел! Радуйся, Феврония, ибо уже в девичестве владела данным тебе от Бога даром исцелять недуги! Радуйся, прославленный Петр, ибо, ради заповеди Божьей не оставлять супруги своей, добровольно отрекся от власти! Радуйся, дивная Феврония, ибо по твоему благословению за одну ночь маленькие деревца выросли большими и покрытыми ветвями и листьями! Радуйтесь, честные предводители, ибо в княжении своем со смирением, в молитвах, творя милостыню, не возносясь прожили; за это и Христос осенил вас своей благодатью, так что и после смерти тела ваши неразлучно в одной гробнице лежат, а духом предстоите вы перед владыкой Христом! Радуйтесь, преподобные и преблаженные, ибо и после смерти незримо исцеляете тех, кто с верой к вам приходит!
Но молим вы, о преблаженная супруга, да помолитеся о нас, творящих вѣрою память вашу!	Мы же молим вас, о преблаженные супруги, да помолитесь и о нас, с верою чтущих вашу память!
Да помянете же и мене прегрѣшнаго, списавшаго сие, елико слышах, невѣдыи, аще инии суть написали, вѣдуще выше мене. Аще убо грѣшен есмь и груб, но на Божию благодать и на щедроты его уповая и на ваше моление ко Христу надѣяся, трудихся мыслми. Хотя вы на земли хвалами почтити, и не у хвалы коснухся. Хотѣх вама ради вашего смиреннаго самодержьства и преподобьства по преставлении вашем венца плести, и не уплетения коснухся. Прославлени бо есте и венчани на небесѣх истинными нетлѣнными венцы ото общаго всѣхъ владыки Христа, емуже подобает со безначалным его Отцем купно и с пресвятымъ, благим и животворящим Духом всяка слава, честь и поклонение нынѣ и присно и въ вѣки вѣкомъ. Аминь.	Помяните же и меня, прегрешного, написавшего все то, что я слышал о вас, не ведая — писали о вас другие, сведущие более меня, или нет. Хотя и грешен я, и невежда, но на Божию благодать и на щедроты его уповая и на ваши молитвы к Христу надеясь, работал я над трудом своим. Желая вам на земле хвалу воздать, настоящей хвалы еще и не коснулся. Хотел вам ради вашего кроткого правления и праведной жизни сплести венки похвальные после преставления вашего, но по-настоящему еще и не коснулся этого. Ибо прославлены и увенчаны вы на небесах истинными нетленными венками общим владыкой всех Христом, которому подобает вместе с безначальным его Отцом и с пресвятым, благим и животворящим Духом вся слава, честь и поклонение ныне и всегда, и во веки веков. Аминь.
ПОВЕСТЬ О РЯЗАНСКОМ ЕПИСКОПЕ ВАСИЛИИ	ПОВЕСТЬ О РЯЗАНСКОМ ЕПИСКОПЕ ВАСИЛИИ
О ГРАДѢ МУРАМѢ И О ЕПИСКОПЬИ ЕГО, КАКО ПРЕИДЕ НА РЯЗАНЬ	О ГОРОДЕ МУРОМЕ И О ЕПИСКОПИИ ЕГО, КАК ПЕРЕШЛА ОНА В РЯЗАНЬ
Слышах убо нѣкиа глаголющих древняя сказаниа о градѣ Мурамѣ, яко в прежняя лѣта бысть создан не на том мѣсте, идѣже нынѣ есть, но бѣяше нѣгдѣ в той же области, отстояние же имѣя немало от нынѣшняго града. Сказание же о нем, яко преславен град бяше в Росийстей земли во дни древняя. Многим же лѣтом прешедшим, разорися нѣкако и запустѣ, и потом по многих лѣтех пренесен бысть на ино мѣсто вскраи тояже области и ту поставлен бысть, идѣже и нынѣ есть.	Слышал я от неких, рассказывавших древние сказания о городе Муроме, что в стародавние времена был он основан не там, где ныне стоит, но находился в ином месте в той же области, на расстоянии от нынешнего города немалом. Сказание же о нем говорит, что был это преславный город в Российской земле в древние времена. По прошествии же многих лет пришел он в разорение и запустение, потом минуло еще много времени, и был он перенесен на иное место, на окраину той же области, и поставлен там, где и ныне стоит.
Егда же бысть в Киеве и во всей Русии держава превеликаго князя и святаго равна апостолом Владимира,[12] и внегда ему дѣти своя раздѣлити во одержание градов, предасть сынови своему, рку же святому Борису, в Росийстей земли град Росьтов, и сынови же своему, рку же святому Глѣбу град Мурам. Ис тѣх градов бысть по Христѣ и страдание ею,[13] и якоже святыня ею познана бысть от вѣрных и прославися во святых церквах. И бѣяху в тѣх градѣх одержания их епископи, и нарицахуся тии епископи домовнии святых страстотерпец Бориса и Глѣба. Потом же два князи от тогова же сродства святого превеликаго князя Владимира, присная суще себѣ братиа, начаша державствовати: вящешии во градѣ Мурамѣ, мнии же в Рязани.	Во времена правления в Киеве и во всей Русской земле превеликого, святого и равноапостольного князя Владимира, когда пришло ему время разделить между детьми своими города — кому каким владеть, то одному из сыновей своих, святому Борису, передал он город в Российской земле Ростов, а другому сыну, святому Глебу, — город Муром. Из этих городов и пошли они на страдание ради Христа, и святость их познана была праведными людьми, и стали прославляться они во святых церквах. И в тех городах, где княжили они, были поставлены епископы, и назывались те епископы местными епископами святых страстотерпцев Бориса и Глеба. Со временем два князя, родные братья, из того же рода святого превеликого князя Владимира начали управлять городами: старший — городом Муромом, младший же — Рязанью.
Нѣ в колика же времена бысть во градѣ Мурамѣ епископъ праведенъ, именем Василие.[14] Сего же добляго жития не терпя враг, иже древний душам разбойник, нача на нь спону творити, яко да прилична его блудному дѣлу сотворити. И воображаяся в девицу, и показуя себе из храмины епископа овогда во оконце его, иногда же преход творя из храмины его. Видѣвши же се, мног народ соблазнися, такоже и велможа. И приидоша кь епископу в домъ, да сея ради вины изгонят и сь епископии.	В некие времена был в городе Муроме епископом праведный Василий. Дьявол же, древний погубитель душ человеческих, не в силах терпеть праведной жизни этого епископа, начал ему вредить так, чтобы представить его блудником. И вот, преображаясь в девицу, показывался он из дома епископа — то выглядывал в окно, то выходил из епископского дома. Видя такое, многие жители города и городские вельможи впали в обман — поверили этому. И вот пришли в дом епископа, чтобы ради вины такой прогнать его из епископии.
Епископъ же, приимъ икону образа Божиа превѣчнаго младенца и Богородична, на нюже имѣяше надежу о всяцем спасении своем, и поиде из епископии. Проводиша же его до реки, нарицаемыя Оки, и хотяху дати ему отплути судно мало. Сий же, стоя на брезѣ, снем мантию и, простре на воду и вступи на ню, нося Божий и Богородичный образы, и абие духом бурным несен бысть со образы противу струям, отнюдуже река течаше. Повѣдаху же, яко бысть се в третий час дне, и того же дни в девятый час примчан бысть в мѣсто, еже нынѣ зовомо Старая Рязань;[15] ту бо тогда пребываху и князи рязанстии. Князь же рязанский Олег[16] срѣте и со кресты; и тако пребысть мурамская епископья в Рязани; нарицает же ся и по днесь Борисоглѣбская.[17]	Тогда епископ взял икону с изображением предвечного младенца Христа с Богородицей — на икону же эту имел он великую надежду о спасении своем — и пошел с епископского двора. Его проводили до реки Оки и хотели дать ему небольшую ладью, чтобы он мог уплыть. Он же, стоя на берегу, снял мантию и, разостлав ее по воде, встал на нее, держа в руках образ с Христом и Богородицей, и сразу же бурным порывом ветра понесло его против течения, вверх по реке. Рассказывают, что случилось это на третьем часу дня, а в девятом часу того же дня примчало его в то место, которое ныне зовется Старой Рязанью, тогда ведь здесь жили рязанские князья. Князь же рязанский Олег встретил его с крестами; так и перешла в Рязань муромская епископия; и до сих пор называется она Борисоглебской.
По сих же паки прият бысть Мурам от рязанских епископов. Сами же к тому в Мурам не возвратишася и нарицахуся епископи преже рязанстии и потом мурамстии. Егда же посѣщениа ради во град Мурам епископи приход творяху, тогда нарицахуся преже мурамстии и потом рязанстии. Чюдесная же та икона, иже епископа пренесе, и донынѣ в Рязани есть. Он бо вѣрою упова на ню, сия же милостию удиви, хотя явити без порока своего раба, и вь едину шесть часовъ премча вверхъ по рѣцѣ множае дву сот поприщъ.[18]	После этого Муром стал входить в епархию рязанских епископов. И епископы с тех пор в Муром больше не возвратились и стали именоваться епископами, на первом месте — рязанскими, а на втором — муромскими. Когда же епископы посещали город Муром, то именовались на первом месте — муромскими, а на втором — рязанскими. Чудесная же та икона, которая епископа Василия перенесла, и ныне находится в Рязани. Он с верою уповал на нее, она же милостью своей прославила его, желая показать беспорочность святого раба, и всего за шесть часов домчала его вверх по реке на расстояние, больше двухсот поприщ.
О Пречистая Божиа мати, кий языкъ исповѣсть твоя чюдеса или кий смыслъ по достоянию похвалит твоя благодѣяниа, како молиши Сына си со Отцем и со Святым Духом о наших согрѣшениихъ! Се бо слыша — не самого зрака твоего, но образа написаннаго каки силы сотвори, ужасает ми ся ум! Хотѣх бо распространити и не свѣм, како написати, понеже оттуду уже многа лѣта преидоша, и аз о сем не добре свѣдѣ и боюся, да не явлюся о сем глаголяи ложь. Якоже слышах, тако и написах; аще же нѣчто и не до конца свѣдѣ написах, но имѣя в помощь исправляющу владычицу всѣх — Богоматерь, еяже достоит всему християнству безпрестани молити, да избавит ны от навѣт вражиих всегда, нынѣ и присно и в вѣки вѣком. Аминь.	О Пречистая Божия Матерь, какой язык расскажет о твоих чудесах, или какой ум по достоинству восхвалит твои благодеяния, когда ты молишь Сына с Отцом и со Святым Духом о наших согрешениях! Слыша о том, что не ты сама, а написанный образ твой такие чудеса свершил, поражаюсь я в уме своем! Хотел бы подробнее о всем рассказать, но не знаю, что писать, ибо с тех пор прошло много лет, и многое мне осталось неизвестным, и я боюсь, чтобы, рассказывая об этом, не оказаться мне лжецом. Как слышал, так и написал; если же о чем-то, и не до конца разузнав, написал, то уповаю на милостивую помощь владычицы всех — Богоматери, которую следует всем христианам молить, чтобы избавила нас от наветов вражьих всегда, ныне, и присно, и во веки веков. Аминь.
ПРАВИТЕЛЬНИЦА	ПРАВИТЕЛЬНИЦА
АЩЕ ВОСХОТЯТ, ЦАРЕМ ПРАВИТЕЛНИЦА И ЗЕМЛЕМѢРИЕ	НАСТАВЛЕНИЕ В ЗЕМЛЕМЕРИИ ЦАРЯМ, ЕСЛИ ИМ УГОДНО
