ПЯТЫЙ СТЕПЕНЬ, И ДВА МИТРОПОЛИТЫ, КЛИМЕНТЪ, КОСТЯНТИН, И ГРАН 5 <...>	ПЯТАЯ СТУПЕНЬ, И ДВА МИТРОПОЛИТА, КЛИМЕНТ И КОНСТАНТИН, ГРАНЬ 5 <...>
И потом блаженная Еуфросиния заложи церковь камену Святаго Спаса;[23] от начатка же Святаго Спаса до совершения церкви — 30 недѣль. И се хощу вам, братие, чюдо сказати. Бѣ муж, именем Иван, приставник над дѣлатели церковными, к немуже прихожаше глас многажды, свитающи дни, глаголя: «О, Иоанне, востани, поиди на дѣло Вседержителя Спаса!» И во един от дний, востав, прииде ко блаженной Еуфросинии и рече ей. «Ты ли, госпоже, присылаеши понужати меня на дѣло?» Она же рече: «Ни». И паки, разсмотривши, премудрая жена рече ему: «Аще не аз тя возбужаю, а кто тя позывает на таковое дѣло, того послушай сприлѣжно с потщанием».	И потом блаженная Евфросиния заложила каменную церковь Святого Спаса, от начала <закладки> Святого Спаса до завершения церкви — 30 недель. И вот, братья, хочу я рассказать вам о чуде. Был человек, по имени Иван, начальник над церковными строителями, которому много раз на рассвете дня слышался голос, говорящий: «Вставай, Иван, иди на стройку Спаса-Вседержителя!» И в один из дней, встав, пришел он к блаженной Евфросинии и сказал ей: «Это ты, госпожа, присылаешь понуждать меня к работе?» И сказала она: «Нет». И еще, поразмыслив, сказала ему премудрая жена: «Хоть и не я тебя бужу, но ты того, кто призывает тебя к таковому делу, слушайся с тщанием и усердием».
И паки другое чюдо скажю вам, добрии послушницы. Уже скончаней бывши церкви, и мала недоставшимъ плитам, нѣчимъ бяше верха совершити. И поискавше и не обрѣтоша ничтоже. И печаловашеся о том и воздыхающи и рече: «Слава тебѣ, Владыко, вседерьжителю и человѣколюбче, даровавый нам сия болшая! Дай намъ и меншая, имже свершится церковь твоя!» И тако ей помолшися, заутра по строению Божию обрѣтошася плиты в пещи.[24] И в том дни совершиша церковь и поставиша крестъ. Преподобная же Еуфросиния, видѣвше совершену церковь, возрадовася душею. И бысть священие и велия радость всѣм крестияном. И собравшися князи, и силнии мужи, и черноризцы, и простии людие, и бысть радость, и празноваша дни многи, разыдошася кождо их во свояси.	И еще другое расскажу вам чудо, добрые слушатели. Когда окончена была уж церковь, не хватило немного кирпичей и нечем было довести до конца главу. Искали их и ничего не нашли. И опечалилась из-за этого <Евфросиния> и со вздохом сказала: «Слава тебе, Владыка, вседержитель и человеколюбец, даровавший нам сие великое! Дай же нам и малое, чем завершится твоя церковь!» И вслед за тем, как она так помолилась, нашлись на утро кирпичи в печи по Божьему устроению. И в тот день закончили строить церковь и поставили крест. А преподобная Евфросиния, видя церковь законченной, возрадовалась душой. И было освящение и великая радость всем христианам. И собрались князья, и знатные люди, и чернецы, и простые люди, и была радость, и праздновали много дней, и разошлись каждый восвояси.
Видѣв же преподобная, яко исполнил Богъ желание сердца ея, и вшедши в церковь, паде ницъ на земли, и воздохнувши со слезами, и нача глаголати: «Ты, Господи, сердцевидче, благодателю, Боже богом! Милостивый Господи, призри на храм свой, яже создах во имя твое, — якоже рече Соломон: „Вышний в нерукотвореннах церквах живет".[25] Ты же, Господи, призри на мя, недостойную рабу твою Еуфросинию, и на рабы твоя сия, яже собрах во имя твое: да приимши иго твое легкое[26] на выя своя и поидут во слѣд тебе. И сотвори я овца двора твоего, и буди им пастух и дверник, да ни един от них не будет восхищен волкомъ губителя диявола. И буди им, Господи, оружие и забрало, да не приидет на ны зло и рана не подвигнется к телесем нашим.[27] И не погуби нас со безаконии нашими, и на тя упование наше положихом, яко ты еси Бог знающим тя, и тебѣ хвалу воздаю до послѣдняго ми издыхания в вѣки. Амикь».	А преподобная, увидав, что Бог исполнил желание ее сердца, войдя в церковь, пала ниц на землю и, испустив слезное воздыхание, стала говорить: «Ты, Господи, сердцеведец и благ податель, Бог богов! Милостивый Господи, призри на храм свой, что создала я во имя твое, — как сказал Соломон: «Вышний в нерукотворных церквах живет». Ты, Господи, окажи мне милость, недостойной рабе твоей Евфросинии, и сим рабам твоим, что собрала я во имя твое: да, приняв легкое твое бремя на свои выи, последуют они за тобой. И сотвори их овцами твоего двора, и будь им пастух и вратарь, чтобы никто из них не был похищен волком губителя-дьявола. И будь им, Господи, оружием и забралом, чтобы не пала на нас беда и язва не обрушилась на тела наши. И не погуби нас со беззакониями нашими, на тебя упование наше возлагаем, ибо ты Бог знающих тебя, и тебе буду воздавать хвалу до последнего моего издыхания во веки. Аминь».
Сестры же учаше, сице глаголющи: «Се собрах вы, яко кокошъ птенца своя под крылѣ, в паствину свою яко овцы, да пасетася в заповѣдехъ Божиих, да яз веселым сердцемъ подвизаюся учити вас, видящи плоды ваша трудныя. И толик дождь проливаю к вам учением, а нивы ваша во единой мѣре стоят, не ратующе, ни поступающе горе, а год приспѣвает во свершение, и лопата на гумнѣ лежит.[28] Но боюсь, егда будет плевел в вас, и предани будете огню неугасимому. Потщитеся, чадо мое, убѣжате того всего, но сотворитеся пшеницы и смелетеся в жерновах смирением и молитвами и постомъ, да хлѣб чистъ принесетеся на трапезу Христову». Сице же и всегда учаше беспрестани, яко мати чадолюбивая, к дѣтем своим любовь показующи.	И поучала она сестер, говоря так: «Для того собрала я вас, как наседка птенцов своих под крылья, как овец в свою паству, чтобы паслись вы в заповедях Божиих, чтобы мне с радостным сердцем подвизаться в вашем учении, видя плоды вашего труда. И такой дождь проливаю я на вас ученьем, а <сердечные> ваши нивы остаются в том же состоянии, не вспаханные и не возвышающиеся горе, а ведь время приближается к свершению, и лопата на гумне лежит. И боюсь я, как бы не было в вас плевелов и не были бы вы преданы неугасимому огню. Постарайтесь, чада мои, избежать всего этого, сделайтесь пшеницей и смелитесь в жерновах смирения, молитвы и поста, чтобы принесены вы были чистым хлебом для трапезы Христовой». И так всегда поучала она их беспрестанно, как чадолюбивая мать, проявляя любовь к своим детям.
Мы же, братие, на предлежашее возвратимся. Видевши же преподобная Еуфросиния монастырь свой украшен и всего блага исполнен, умысли создати вторую церковь камену, Святыя Богородица.[29] И ту свершивши, и иконами украси и, светив, дасть ю мнихом,[30] и бысть монастырь велик. И видѣвши монастыря два, превелика зело, пребогата, и рече в себѣ: «Слава тебѣ, Владыко! Благодарю тя, Святый! Что есми восхотѣла, то еси дал и скончал еси желание сердца моего, Господи!» И рече: «Господи, помилуй мя и скончай прошение мое, — да бых видѣла Пречистую Богородицу Одигитрию в сей церкви». И посла слугу своего Михаила в Царьград к цареви, нарицаемому Мануилу, и к патриарху Луцѣ з дары многоцѣнными, просящи от нею образа Святыя Богородицы, еже бѣ евангелистъ Лука написал[31] три иконы, и еще в жизни сей сущии Святой Богородицы, и постави едину во Иеросалимѣ, а другую в Царѣграде, а третию въ Ефесе. Она же с прилежанием прошаше Ефеской иконы Святой Богородицы. Видѣв же царь любовь ея, и посла в Ефес семсот оружников своих и принесе икону Святыя Богородица в Царьград. Патриархъ же Лука собра епископы и соборы вси Святыя София,[32] и благослови, и дасть образ Святыя Богородица слузѣ преподобныя. Он же с радостию прият и принесе госпоже своей Еуфросинии.	Мы же, братья, возвратимся к прежнему. Преподобная Евфросиния, видя свой монастырь украшенным и исполненным всяческих благ, задумала создать вторую каменную церковь, Святой Богородицы. И, завершив ее, украсила ее иконами, и, освятив, отдала ее монахам, и сделался большой монастырь. И, видя два столь больших и богатых монастыря, сказала она в уме: «Слава тебе, Владыка! Благодарю тебя, Святый! Что пожелала я, то ты дал и исполнил желание сердца моего, Господи!» Сказала она: «Господи, помилуй меня и исполни прошение мое, — чтобы мне видеть Пречистую Богородицу Одигитрию в этой церкви». И послала она слугу своего Михаила в Царьград к царю, именем Мануил, и к патриарху Луке с драгоценными дарами, прося у них образа Святой Богородицы, <из тех> трех икон, что написал евангелист Лука еще при земной жизни Святой Богородицы и поставил одну в Иерусалиме, другую в Царьграде, а третью в Эфесе. Она же с усердием просила Эфесской иконы святой Богородицы. И царь, видя ее любовь, послал в Эфес семьсот своих воинов и принес икону Святой Богородицы в Царьград. А патриарх Лука собрал епископов и весь соборный причт Святой Софии, и благословил, и дал образ Святой Богородицы слуге преподобной. И он принял его с радостью и принес своей госпоже Евфросинии.
Она же, внесши в церковь Святые Богородицы и поставивши ю и воздѣвши руцѣ, и рече: «Слава тебѣ, Господи! Слава тебѣ, Владыко, сподобивый мя видѣти во днешний день образ Матере твоея!» И сия рекши, украси ю златом и камением многоцѣнным, и устави в вся вторники носити ю по святым церквам, украсивши всю землю полотскую своимъ боголѣпнымъ монастырем.	И внесла она ее в церковь Святой Богородицы, поставила <там> и, воздевши руки, сказала: «Слава тебе, Господи! Слава тебе, Владыка, сподобивший меня сегодня видеть образ Матери твоей!» И, сказав это, украсила она ее золотом и драгоценными камнями и постановила всегда по вторникам носить ее по святым церквам, украшая <так> всю полоцкую землю своим богоблаголепным монастырем.
И видѣвши, яко посѣти Богъ монастырь ея, и вожделѣ доити святаго града Иеросалима и поклонитися Гробу Господню и всѣм святым мѣстомъ, — и видѣти, и целовати, и тамо живот скончати. Видѣвши же стадо божественых овец совокуплено множество, радовашеся им, яко своему спасению; на всякъ день учаше терпѣнию, воздержанию; уныя же учаше душевней чистотѣ и бестрастию телесному, говѣнию благообразну, ступанию кротку, гласу смиренну, слову благочинну, ядению и питию безмолвну, при старѣйших — молчати, мудрѣйших — послушати, ко старѣйшим — покорени, к точным и меньшим — любовь без лицемѣрия, мало вѣщати, а множайшее разумѣти. Тако бо бяше дан дар сей блаженей Еуфросинии от Бога: аще кто ея вопрошаше о которой вещи, она же ему разрешаше то, — и добро получаше. Но всѣх хотяше имѣти яко единодушно.	И, видя, что посетил Бог ее монастырь, возымела она сильное желание дойти до святого града Иерусалима и поклониться Гробу Господню и всем святым местам — видеть их, и целовать, и закончить там жизнь. Видя собранным в стадо множество Божиих овец, радовалась она о них, как о своем спасении; всякий день учила она их терпению и воздержанию; юных учила душевной чистоте и телесному бесстрастию, благопристойному благоговению, кроткому поведению, чтобы говорили они смиренно, чтобы слова их были благочинны, чтобы ели они и пили в безмолвии, при старших чтоб молчали, мудрых бы слушали, старшим покорялись, к равным и меньшим нелицемерную любовь имели, <учила> меньше говорить, а больше думать. Таков дан был дар сей блаженной Евфросинии от Бога: если кто спрашивал ее о каком-то деле и она ему это разрешала, — то получалось во благо. Она хотела, чтоб у ней все были как одна душа.
И посла по всей братии своей, повѣда им мысль свою, яко она восхотѣ ити во Иерусалимъ. Они же, слышавше вѣсть сию, з жалостию многою сьѣхашеся отвсюду ко блаженней Еуфросинии и моляху ея со слезами, да бых не оставила сирых. Она же утѣшаше благим своим смыслом, яко мати дѣти своя любящи. И любимый ей брат, нарицаемый во святемъ крещении имянем Вячиславъ,[33] и приѣхавъ к сестрѣ своей Еуфросинии со княгинею и з детми своими, и пришед, и поклонися ей, глаголя: «Госпожа моя мати и сестро! Что оставляеши мя, правителю души моей и свѣте очию моею?» И горко ему плачющеся, блаженная же Еуфросиния повелѣ ему ити, гдѣ бы обитал. Дѣти же его повелѣ оставити о сестрѣ своей Евдокѣи. Дан же бѣ дар блаженней Еуфросинии от Бога: аще кого озряше очима своима, то разумѣяше, в коем человѣцѣ сосуд будет избран Богови. Тогда же блаженная, видѣвши братаннѣ свои, и рече има: «Хощу ваю обручати жениху безсмертному и ввести ваю в чертог Царства его». Онѣма же послушающа, усладися душа их паче сота медвена словесем преблаженныя; падшима на ногу ея и глаголаста к ней: «Воля Господня да будет и твоя святая молитва. Якоже хощеши, и сотвори нама, госпоже». Преподобная же, с радостию и с поспѣшением призвавши брата своего, и рече ему: «Аз хощу пострищи Кираанну и Олгу», — тако бо ю бяста нарекая родителя. Смяте же ся отецъ ею о словеси семъ и рече: «Госпожа моя, что ми хощеши творити? Два плача прилагаеши души моей: да плачюся отхода твоего ради, и зсѣтую чаду дѣля своею». Мати же ею жалостию терзашеся. Блаженная же Еуфросиния пославши призва епископа тогда престолъ правящи Святой Софии, нарицаемаго Дионисия,[34] и введше ю въ церковь, и повелѣ острищи ея и нарече Кираанне Агафия, а Олгѣ Евфимия, — и благословивши ею благословением святых отецъ.	И послала она ко всей своей братии и сообщила им о своем решении, что хочет она идти в Иерусалим. И, услыхав такое известие, в большой горести отовсюду съехались они к блаженной Евфросинии и со слезами молили ее, чтобы не оставляла их она в сиротстве. А она утешала их благими своими доводами, будто любящая мать своих детей. И любимый брат ее, во святом крещении названный именем Вячеслав, приехавший к сестре своей Евфросинии с княгинею и детьми своими, пришел, поклонился ей и сказал: «Госпожа моя матушка и сестра! Зачем ты оставляешь меня, наставница души моей и свет очей моих?» И горько он плакал, а блаженная Евфросиния велела ему идти туда, где он остановился. Детей же его велела она оставить на сестру свою Евдокию. Дан был блаженной Евфросинии дар от Бога: если на кого взглядывала она своими очами, то понимала, кто из людей станет избранным Божиим сосудом. Тогда же, увидев своих племянниц, сказала им блаженная: «Хочу обручить вас с бессмертным женихом и ввести вас в чертог его Царства». И когда услышали они ее, усладились души их больше, чем медвяным сотом, речью преблаженной; пали они к ее ногам и сказали ей: «Да будет воля Господня по твоей святой молитве. Как хочешь, так и сделай с нами, госпожа». И преподобная, радостно и поспешно призвавши брата своего, сказала ему: «Хочу я постричь Кириоанну и Ольгу», — так наречены они были родителями. И отец их пришел в смятение от этих слов и сказал: «Госпожа моя, что ты хочешь со мною сделать? Две скорби ты возлагаешь на мою душу: чтоб плакал я из-за твоего ухода и одновременно скорбел из-за чад своих». Мать же их истерзалась горем. А блаженная Евфросиния послала призвать епископа, правящего тогда престолом Святой Софии, по имени Дионисий, и привела их в церковь, и повелела постричь их, и нарекла имя Кириоанне Агафья, а Ольге — Евфимия, и благословила их благословением святых отцов.
Сама же блаженная Еуфросиния, положивши великий свой наряд обѣма монастырема, з братиею и сестрама, и дасть держати сестрѣ своей Евдокѣе и оба монастыря, сама же поклонившися Святому Спасу и Святѣй Богородицы, и рече: «Господи сердцевидче! Се оставляю дом незатворен никомуже, — и ты, Господи, не затвори от нас твоего Царства!» И тако поиде во Иерусалимъ, поемши брата своего Давыда[35] и сестру свою Еупраксию.	И блаженная Евфросиния, положивши великий свой устав обоим монастырям, братскому и сестринскому, поручила править обоими монастырями сестре своей Евдокии, а сама, поклонившись Святому Спасу и Святой Богородице, сказала: «Господи сердцеведче! Вот оставляю я ни для кого не затворенным дом <твой>, — и ты, Господи, не затвори пред нами твоего Царства!» И отправилась в Иерусалим, взяв с собой брата своего Давыда и сестру свою Евпраксию.
Вси же братия ея горко плакахуся отхода ради госпожи своея. И вси гражане выидоша проводити ея. Старии плакахуся, яко дщери, рекуще: «Увы нам, уже старости нашея, просвѣщение души нашей!» Уныя же глаголаху: «Како зайде свѣте очию нашею! Кто нашу уность восхластит? Вздержание юности нашея, не оставляй нас сирых, но в молитвах своих не забывай нас, госпоже, яже к Богу!»	И вся братия ее горько плакала из-за ухода госпожи своей. И все жители города вышли проводить ее. Старые плакали, как по дочери, и говорили: «Увы нам, опора нашей старости, просвещение душ наших!» А молодые говорили: «Как это закатился свет очей наших! Кто обуздает нашу юность? Юности нашей укрощение, не оставляй нас сирых и не забывай нас, госпожа, в своих молитвах к Богу!»
Она же, целовавши всѣх и благословивши, и возрѣвши на небо, и рече: «Ты, Господи сердцевидче, ходивый со Авраамом, иди и с нами и с рабы твоими, со Еуфросиниею, и з Давыдомъ, и со Евпраксиею!» И тако поидоша сущии с нею.	И она, дав всем целование и благословление, воззрев на небо, сказала: «Ты, Господи сердцеведец, ходивший вместе с Авраамом, иди и с нами, рабами твоими, с Евфросинией, Давыдом и Евпраксией!» И так пошли в путь все, кто был с нею.
О, страшное чюдо! Не бывши ни в коей странѣ, ни во граде, ни в селѣ, нынѣ же, вземши мужскую крѣпость, премину вся грады и власти, приимающе от всѣх честь велику князей. И тако и срѣте ю царь, идый на угры,[36] и послав ю в Царьград с великою честию. Она же пришедши, поклонилася святым церквам и ту сущей великой церкви Святой Софии. И поклонившися, и благословившуся от патриарха и покупивши различныя потребы, темиян и кацию злату, и иде во Иерусалимъ.	О, страшное чудо! Не бывавшая прежде никогда ни в какой стране, ни в селе, ни в городе, теперь прошла она с мужскою твердостью все города и государства, принимая от всех великие княжеские почести. Так и повстречал ее царь, шедший <тогда> на венгров, и с великими почестями направил ее в Царьград. И, придя <туда>, поклонилась она святым церквам и великой тамошней церкви Святой Софии. И, поклонившись и благословившись у патриарха, купив кое-какие необходимые вещи, золотую кадильницу и ладан, пошла она в Иерусалим.
И пришедши во Иерусалимъ, и посла слугу своего Михаила к сущему тамо патриарху, глаголющи: «Владыко святый, сотвори милость на мнѣ: повели ми, да отворят ми ся врата Христова».[37] Он же повелѣ прошению ея быти отворими. И пришедши ко вратом, и паде на земли, глаголюще: «Господи Исусе Христе! Не вмени ми сего во грѣх, занеже изволих изследити по стопам твоим и внидох во святый град сей». И иде ко Гробу Господню,[38] и пришедши и поклонившися, целовавши Гроб Господень, и сущии с нею. И покадивши Гроб Господень златою кадилницею и многоразличными фимияны, и изыде. Обита въ Святѣй Богородицы в Руском монастыри.[39] И во утрии день иде второе ко Гробу Господню и такожде сотвори; и в третий день тожде сотвори. И давши злата много, и воставивши кацию златую на Гробѣ и многоразличныя фимияны, и ставши у Гроба Господня и воздѣвши руцѣ свои, и возрѣвши на небо, со слезами, воздохнувши из глубины сердца, глаголаше: «Господи Исусе Христе, Сыне Божий, рождейся от Приснодѣвы Мария спасения ради нашего, реклъ еси: „Просите, — и приимѣте".[40] Аз же грѣшная, егоже просих, и получих от тебе, Владыко. Се же еще прошу у тебе, милостиве, да скончаю мѣсто прошения моего: приими духъ мой от мене во святем граде твоем Иерусалиме! Пресели мя в вышний град твой Иерусалимъ! Покой мя на лонѣ патриарха Авраама со всѣми угождьшими ти! Аминь». Сице глаголюще, изыде во иже реченную церковь святыя Богородицы, идѣже обитала, ту же, посѣщением Божиим, впаде в недуг и нача болѣти. И лежащи на ложи своем, глаголюще: «Слава тебѣ, Владыко, яко восхотѣ и сотвори мнѣ, рабѣ твоей!»	И, придя в Иерусалим, послала она слугу своего Михаила к тамошнему патриарху со словами: «Святой владыка, окажи мне милость: повели, чтобы отворились мне врата Христовы». И повелел он, чтобы по ее прошению были они отворены. И, придя к вратам, пала она на землю со словами: «Господи Исусе Христе! Не вмени мне это за грех, что возжелала я пройти по твоим стопам и вошла <по твоим следам> во святой сей град». И пошла она ко Гробу Господню, и, придя и поклонившись, целовала она Гроб Господень, также и бывшие с нею. И, покадив Гроб Господень золотой кадильницей и всевозможными фимиамами, ушла. Остановилась она в Русском монастыре у Святой Богородицы. И на другой день во второй раз пошла она ко Гробу Господню и сотворила так же; и на третий день так же сделала. И, подав много злата и водрузив золотую кадильницу с множеством благовоний на Гробе, встала она у Гроба Господня и, воздев руки свои, глядя на небо и вздыхая из глубины сердца, сказала со слезами: «Господи Исусе Христе, Сыне Божий, родившийся ради нашего спасения от Приснодевы Марии, ты сказал: «Просите, — и получите». И я, грешная, что просила, получила от тебя, Владыка. И вот прошу еще у тебя я, милостивый, чтобы исполнилась последняя моя просьба: прими мой дух от меня во святом граде твоем Иерусалиме! Пересели меня в вышний град твой Иерусалим! Упокой меня в лоне патриарха Авраама вместе со всеми угодившими тебе! Аминь». Сказав это, пошла она в упомянутую церковь Святой Богородицы, где остановилась, и тут по воле Божией впала в недуг и разболелась. И лежала она на ложе своем и говорила: «Слава тебе, Владыка, что захотел ты это сотворить мне, рабе твоей!»
И тоя же ради болѣзни не може ити на Иердан.[41] И иде брат ея Давыдъ и сестра ея Еупраксия и сущии с нею. Она же лежаще на ложи своем, хваляще Бога, глаголющи: «Господи! Призри на рабу твою Еуфросинию и помилуй мя!» И приидоша бывшеи на Иерданѣ; она же, с радостию воставше и приимше от них ерданскую воду, и пив, облияся по всему тѣлу своему и, возлегши, рече: «Благословен Богъ, просвѣщая всякого человѣка, грядущаго в мир,[42] в вѣки! Молюся человѣколюбивому Богу, ревнующе Петрову покаянию по отвержении, и не отчая себе, но плакася горко:[43] приим того покаяние, и приими и мене, недостойную рабу твою Еуфросинию, молящуся на противнаго своего врага диявола, — да не возглаголет ми на Страшнемъ твоем Судищи ничтоже пред тобою, Господи, злый враг! Воступих ногама своима на змиеву его главу и супротивихся дерзости его окаянней, надѣющеся на твое человѣколюбие, Господи!»	И из-за той болезни не смогла она пойти на Иордан. И пошел брат ее Давыд и сестра ее Евпраксия и те, кто был с нею. А она лежала на своем ложе, возносила хвалу Богу и говорила: «Господи! Подай помощь рабе твоей Евфросинии и помилуй меня!» И пришли те, кто был на Иордане; и она, с радостью поднявшись и приняв от них иорданскую воду, напилась ее и облилась ею <с ног до головы> — все тело свое и, возлегши, сказала: «Во веки благословен Бог, просвещающий всякого человека, грядущего в мир! Молю человеколюбивого Бога, ревнуя покаянию Петрову после отвержения, когда не отчаялся он, а горько плакал: приняв покаяние его, прими и меня, недостойную рабу твою Евфросинию, молящуюся о супостате своем, враге дьяволе, — да не проговорит злой враг обо мне ничего пред тобою на Страшном Суде твоем, Господи! Я наступила своими ногами на змиеву его главу и противилась дерзости его окаянной, надеясь на человеколюбие твое, Господи!»
И услыша Богъ молитву ея. И посла Господь ангела своего к ней глаголя: «О, блаженная ты еси в женах, и благословен труд твой! Се же отверзоша ти ся двери породныя, и вси анггели собрашася, держаще свѣща, чающе твоего срѣтения, а дар, егоже просиши у Бога, дасть ти ся». И се рек аггелъ, и отиде от нея.	И услышал Бог ее молитву. И послал Господь ангела своего к ней со словами: «Блаженна ты среди жен, и благословен твой труд! Вот открываются тебе двери райские, и собрались все ангелы со свечами, ожидая встречи с тобой, дар, которого просишь ты у Бога, дастся тебе». И, сказав это, ангел отошел от нее.
Блаженная же Еуфросиния возрадовася душею и вскоре посла в Лавру глаголюще: «Се уже приспѣ ми время, да же ми Богъ покоить; а приимите ли мя, что бых легла в церкви Святаго Савы?»[44] Они же обѣщашася к ней, ту сущии черньцы: «Имѣем запрещение от святаго Савы, иже жены не приимати ни коеяже, но се ти есть монастырь Святые Богородицы, Феодосиево общее,[45] в немже лежат жены святыя: мати святаго Савы, мати святаго Феодосия, мати святых безмѣзднику Козмы и Демияна, именем Феодотия,[46] и инии мнози святии. Ту ти подобает лечи».	И блаженная Евфросиния возрадовалась душой и послала спешно сказать в Лавру: «Вот уж приспело мое время, чтобы упокоил меня Бог; примете ли меня, чтобы мне лечь в церкви Святого Саввы?» И бывшие там чернецы пообещали ей: «Есть у нас запрещение святого Саввы — не принимать никого из жен, но вот тебе монастырь Святой Богородицы, общежительный Феодосиев, где лежат святые жены: мать святого Саввы, мать святого Феодосия, мать святых бессребреников Козьмы и Дамиана, именем Феодотия, и многие другие святые. Там тебе подобает лечь».
И приѣхавъ посол ея, возвести Еуфросинии. Она же всѣм тѣм похвали Бога и пославши купи себѣ гроб в комаре Святой Богородицы.[47] И лежа 24 дний, и позна ся во скончании, рече: «Призовите ми прозвитера, и да ми дастъ причащения. Уже бо зватой близ предстоит, ждый повелѣния Владычня». И прииде прозвитер, несый причащения. Она же воставши и поклонися 3-жды, и приимши Пречистое Тѣло, и тако возлеже и предасть душу свою в руцѣ Бога жива, мѣсяца мая въ 24 день иде в покой небесный.	И приехавший <от них> ее посланник передал <это> Евфросинии. И за все это воздала она хвалу Богу и послала купить себе место для погребения в доме Святой Богородицы. И лежала она 24 дня, и, поняв, что приближается ее кончина, сказала: «Позовите ко мне пресвитера, чтобы он дал мне причастие. Ибо уже близко стоит зватай, ожидающий повеления Владыки». И пришел пресвитер, и принес причастие. И она, поднявшись, трижды поклонилась и, приняв Пречистое Тело, легла и предала свою душу в руки Бога живого, месяца мая в 24-й день отошла в покой небесный.
Ким убо языком, братия, достоит нам похвалити свѣтозарную память преблаженныя невѣсты Христовы Еуфросинии? Бѣаше бо помощница обидимым, скорбящим утѣшение, нагим одѣяние, болным посѣщение и, спроста рещи, — всѣм всяка бысть. Еуфросиния убо сердце свое напаяше Божия премудрости! Еуфросиния — неувѣдающи цвѣт райскаго сада! Еуфросиния — небопарный орел, попаривши от запада до востока, яко луча солнечная просвѣтивши всю землю полотскую! Тѣмже, братия, хвалится Селун о Дмитрии,[48] Вышегород — мученикома Борисом и Глѣбом,[49] аз же хвалю блаженый сей град Полотцкий, такову лѣторасль возрастивши, преподобную Еуфросинию. Блажени людие, живуще во градѣ том! Блажени родители твои! Блажена утроба, от неяже изыде преподобная госпожа Еуфросиния! Блажено рожество ея! Блажен возрастъ твой, Еуфросиния достохвалная! Блажен труд твой и подвизи твои! Блажены и монастыри твои! Блажени людие, живущеи в монастырех Святаго Спаса и Святой Богородицы! Блажени людие, послуживши преблаженныя невѣсты Христа Бога нашего! Молися к Богу о стадѣ своем, еже совокупи к Богу, яко тому подобает всяка слава, честь и покланяние, Отцу и Сыну и Святому Духу, нынѣ и присно и во вѣки вѣкомъ. Аминь.	И каким, братия, языком подобает нам вознести хвалу светозарной памяти преблаженной невесты Христовой Евфросинии? Ведь была она помощницей обиженных, утешительницей скорбящих, одеянием для нагих, посетительницей больных и, сказать просто, — была для всех всем. Евфросиния сердце свое напоила Божьей премудростью! Евфросиния — неувядающий цветок райского сада! Евфросиния — в небесах парящий орел, пролетевший с запада до востока; будто солнечный луч, просветившая всю полоцкую землю! Так что, братия, восхваляется <город> Селунь благодаря Димитрию, Вышгород — благодаря мученикам Борису и Глебу, я же восхваляю блаженный град сей Полоцк, взрастивший такой живой побег, преподобную Евфросинию. Блаженны люди, которые живут в том граде! Блаженны твои родители! Блаженна утроба, из которой вышла преподобная госпожа Евфросиния! Блаженно рождение ее! Блаженно возрастание твое, достохвальная Евфросиния! Блажен труд твой и подвиги твои! Блаженны и монастыри твои! Блаженны люди, живущие в монастырях Святого Спаса и Святой Богородицы! Блаженны люди, служившие преблаженной невесте Христа Бога нашего! Молись пред Богом о стаде своем, которое привела ты к Богу, ибо подобает Ему всяческая слава, честь и поклонение, Отцу и Сыну и Святому Духу, ныне и присно и во веки веков. Аминь.
Сице совершися пятый степень. Здѣ же и конецъ грани пятыя.	Так завершилась пятая ступень. И здесь же конец пятой грани.
