ИЗ ГЛАВЫ 197	ИЗ ГЛАВЫ 197
Сынъ же первый великаго князя Лазаря, князь великий Стефанъ,[36] остася с материю своею еще сый мълад и с братом своимъ Волком. И не точию ото изьмаилтъ, но и окрестънии и единовѣрнии на брань вооружишася. Потом же присылаетъ гордый онъ царь Баозит, сынъ Омуратовъ, въ Серпьскую землю, прося покорениа и службы, занеже многы страны приатъ и покори царя Срацимира болгарьскаго,[37] и обранашьскыя, и басаньскыя держателя. Приатъ же и Селунь[38] и ины грады у греческаго царя. К ним же просить у великиа княгини серпьскыя меншую дщерь ея Оливеру въ жену,[39] и сего ради обѣщавается сына еа, великаго князя Стефана, имѣти въ сына мѣсто и землю не воевати, но соблюдати. Они же с совѣтом патриарха и всего священаго собора и всего синьглита въдають сию въ жену великому амирѣ Баозиту, яко да спасено будеть христоименитое стадо от волкъ, губящих е. И оттуле порабощена бысть Серпьская земля измаильтьскому царю Баозиту, и на всяко лѣто самому Стефану и з братомъ Волком и со всѣми своими въ служение приходити ему.	Старший сын великого князя Лазаря, князь великий Стефан, остался еще малолетним с матерью своею и с братом своим Вуком. И не только измаилтяне, но и соседи его единоверные пошли на него войной. Потом же присылает гордый тот царь Баязид, сын Мурадов, в Сербскую землю, требуя покорности и служения себе, ибо многие страны завоевал и подчинил себе Срацимира, царя болгарского, и властителей албанского и боснийского. Захватил же и Солунь и другие города греческие. Затем попросил у великой княгини сербской младшую дочь ее Оливеру себе в жены, и за это пообещал сына ее, великого князя Стефана, считать своим сыном и землю их не разорять, а беречь. Она же, посоветовавшись с патриархом, и со всем священным клиром, и со всеми вельможами, отдала ее в жены великому эмиру Баязиду, чтобы было спасено христоименитое стадо от волков, его губящих. И с той поры оказалась Сербская земля в подчинении у измаилского царя Баязида и ежегодно сам Стефан с братом своим Вуком и со всеми подданными приходил к нему на службу.
О БРАНИ ВОЛОХИ И УГРЫ СЪ БАОЗИТОМ	О БИТВЕ ВАЛАХОВ И УГРОВ С БАЯЗИДОМ
По сих же гордый онъ царь Баозитъ, с ним же и великий князь серпьский Стефанъ неволею, поиде и прешед Дунавъ реку, умышляеть брань на угры и волохи.[40] И брани бывъши с самодръжавным великим воеводою волошьскым Иваном Мирчомъ, и множество неизреченно кровемъ излитие, идѣже краль Марко[41] и Коньстянтинъ погибаютъ. Глаголютъ же, яко блаженый Марко рече Коньстяньтину: «Азъ молю Бога, еже христианом быти помощникъ и первый мервець на рати сей буду». Потом же царь Баозитъ смирение сотвори с ними и отоиде во своя. И убо царь Баозитъ многы страны повоева, приходит и на царствующий град.[42] Слышав же царь угорьский, иже и немеческый нарицается, и сарматийский, и германийскый, и вретанийский, и угорьский, со множеством вои преиде Дунавъ и борет Никополь.[43] Слышав же царь Баозитъ, оставль царствующий град и съ яростию устремися на нь. И сражению бывшу, пръвѣе убо краль воспящаеть агарянъ, потом же царь Баозитъ, вся скипетры обътекъ, утвержаеть молениемъ и учением: «Аще, — рече, — нас побѣдять, будемъ мы и чада наша во острии меча. Уне есть нам единою умрети или, побѣдивше, великая благая приобрѣсти». Они же, от сих глаголъ укрепившеся, побѣдиша кралево воиньство безчисленое: ови изсѣчени, ови въ Дунавѣ истопишася, инии же въ царствующий град бѣжаша. Баозит же приходить на Угры и много поплени и грады приатъ многи.	После этого гордый царь Баязид, а с ним, по принуждению, и великий князь сербский Стефан двинулись в поход и перешли реку Дунай, ибо задумал он войну с уграми и валахами. И во время битвы с самодержавным великим воеводой валашским Иоанном Мирчем пролилось несказанно великое множество крови, тогда краль Марко и Константин погибли. Говорят же, что блаженный Марко сказал Константину: «Я молю Бога, чтобы явиться защитником христиан и первым пасть в этой битве». Потом же царь Баязид заключил с ними мир и ушел восвояси. И многие страны царь Баязид завоевал, подошел он и под стены царствующего града. Узнав об этом, король угорский, который и немецким именуется, и сарматским, и германским, и британским, и угорским, со множеством воинов перешел Дунай и занял Никополь. Услышав это, царь Баязид снял осаду царствующего града и с яростью устремился на того. И в разгоревшейся битве сначала король обратил вспять агарян, но потом царь Баязид обошел всех военачальников своих, укрепляя дух их просьбами и наставлениями: «Если, — говорил, — нас победят, будем и мы, и дети наши на острие меча. Лучше нам сейчас единожды умереть или, победив, великие блага приобрести». Они же от этих слов воспрянули духом и одолели бесчисленное королевское войско: одни были изрублены, другие утонули в Дунае, иные бежали в царствующий град. Баязид же двинулся на угров, и большой полон взял, и многие города захватил.
ГЛАВА 203	ГЛАВА 203
ЦАРСТВО ГРЕЧЕСКОЕ	ЦАРСТВО ГРЕЧЕСКОЕ
В лѣто 6899 по Иване Палеолозѣ нача царствовати сынъ его Мануилъ[44] въ Цариградѣ и царствова 33 лѣта. Утѣсняемомъ же скипетромъ греческым ото агарянъ предреченным турьскым царемъ Баозитом, царь Мануилъ остави въ Цариградѣ благочестиваго царя Ивана, анепсея своего, сам в Римъ отоиде, еже соединити церковъ и заедино подвизатися на агаряне, занеже многа тогда лютая содръжаху царствующий град, и отовсюду пути удержаваху агаряне и изгономъ и безвѣстно нахожаху. Благочестивыи же народи, повсегда затворени во градѣ, гладом погибаху, нищии же ко агареном нощию бѣгаху. Таковыа ради нужа сущю в Римѣ Мануилу, царю греческому, прииде перскый царь Темирь,[45] якоже левъ яростию дыша и, побѣдивъ, ят царя Баозита, хвалящагося расхитити царствующий град.	В 6899 (1391) году после Иоанна Палеолога начал царствовать в Царьграде сын его Мануил и царствовал тридцать три года. Так как государство греческое притесняли агаряне — упомянутый турецкий царь Баязид, царь Мануил оставил в Царьграде благочестивого царя Иоанна, племянника своего, а сам отправился в Рим, чтобы восстановить единство церкви и всем вместе выступить против агарян, ибо многие беды обрушились на царствующий град, и все пути в него были заняты агарянами, и город подвергался неожиданным набегам. Благочестивый же народ из-за длительной осады города страдал от голода, и неимущие по ночам перебегали к агарянам. В то время, когда Мануил, царь греческий, из-за всех бед этих находился в Риме, пришел персидский царь Тимур, словно лев, распаленный яростью, и, победив, взял в плен царя Баязида, похвалявшегося, что разорит царствующий град.
О ТЕМИРѢ, ИЖЕ ПОБѢДИ ЦАРЯ БАОЗИТА. ПОВѢМ ЖЕ, ОТКУДА ЕСТЬ СЕЙ ТЕМИРЬ	О ТИМУРЕ, ПОБЕДИВШЕМ ЦАРЯ БАЯЗИДА. ПОВЕДАЮ, ОТКУДА ПРОИЗОШЕЛ ЭТОТ ТИМУР
Страна нѣкая есть между яко быти Индѣи къ северным странам и восточным, именем Арарь, нарицаеть же ся Междорѣчие, занеже двоим источником окружающимь ю. В той странѣ сынъ нѣкоего мѣста старѣйшины именем Темирь, свѣрѣпъ зѣло, иже шедъ разбойническы, порази нѣкиа пастыря и взят овца их, идѣже устреленъ бысть в ногу и от того хром бяше и сего ради Аксакъ нарицаемъ. И от сего приобрѣте имѣние, стяжа же и тысящу мужей и с тѣми изгоном устремися на нѣкоего началника мѣсту, емуже имя Камарадинъ, иже имяше под собою десять тысящь мужей. Темирь же побѣдивъ и сего, приатъ страну ту, и с тѣми десятью тысящь ополчися такоже изгоном на самаго началника перъсом и, вшедъ в Персиду,[46] ятъ и самаго началника, и всѣми персы облада, и бысть вой его сто и пятьдесятъ тысящь. По сих же окрестьныа страны вся покори, и стяжа множество богатства, и вся погубляа восточная, мало не всю Елладу[47] обтече и о западѣ хваляшеся. Царь же Баозит восточна и западная поядая и царьствующий град хваляся восхитити. Темирь же посылаеть к нему, дани и послушная от него прося. Царь же Баозитъ вознеистовися, на брань готовляшеся. Ожесточи бо его Богъ, якоже фараона,[48] и совѣтникы своа не послуша; избраный бо его рече к нему: «Послушай мене, господи: елика требуеть, дажь въскоре, убо сей инуду уклонится». Он же рече: «Уне ми есть, побѣдивъ, вся приобрѣсти или въ мужествѣ умрети». Рече же ему совѣтникъ его: «Еда, господи мой, нѣкоим образомъ обое погрешиши?» Баозитъ же не послуша его. И убо персинъ возъярися, покрываа горы и поля воиньствы. Баозитъ же собра воя восточныя и западныя и серпьскаго князя Стефана, поиде противу Темиря. И сражению бывшу, побѣжаеть Темирь,[49] и ухващенъ бываеть турьскый царь Баозитъ, егоже в желѣзной клѣтке с собою возяше. И пришед совѣтникъ его, идеже держимъ бѣ Баозить, рече ему: «Вижь, господи, глаголы моа не збыша ли ся?» И плакася несовѣтиа своего горко. Бысть же сиа брань в лѣто 6911.	Есть страна некая к северо-востоку от Индии, называемая Арарь, именуется же она и Междуречье, ибо две реки обтекают ее. В той стране и явился Тимур, сын старейшины некоего селения, жестокий нравом; он, напав по-разбойничьи, перебил некиих пастухов и забрал овец их, и тогда ранили его стрелой в ногу, и от этого остался он хромым и получил прозвище Аксак. С той поры, разбогатев, собрал он тысячу мужей и с ними неожиданно напал на наместника, по имени Камарадин, командовавшего десятью тысячами воинов. Победив его, Тимур захватил страну ту, и с теми десятью тысячами напал, также внезапно, на самого властителя персов, и, вступив в Персию, пленил того властителя, и всеми персами стал повелевать, и было у него воинов сто и пятьдесят тысяч. После этого покорил он все окрестные страны, и захватил несметные богатства, и, все страны восточные разгромив, едва ли не всю Элладу обошел, и хвастался, что покорит Запад. Царь же Баязид, покоряя себе восточные и западные земли, похвалялся захватить и царствующий город. Посылает к нему Тимур, дани и покорности от него требуя. Пришел в ярость царь Баязид и стал готовиться к войне. Ожесточил Бог его, как фараона, и советников своих не послушал, хотя наперсник его и говорил ему: «Послушай меня, господин, что требует — отдай, скоро он в иную страну уйдет». Но тот сказал: «По мне лучше так — или все приобрести, или мужественно умереть». Возразил ему советник его: «А что, если, господин мой, ни того ни другого не достигнешь?» Баязид же не послушал его. И разъярился персиянин, и по всем полям и горам двинулись его войска. Баязид же собрал воинов с востока и с запада, и сербского князя Стефана к себе призвал, и двинулся на Тимура. И одолел Тимур в битве, и был схвачен турецкий царь Баязид, и Тимур стал возить его с собою в железной клетке. Пришел советник Баязида туда, где находился пленный, и сказал ему: «Видишь, господин, разве не сбылись мои слова?» И горько оплакал тот свое упрямство. Случилась же битва эта в 6911 (1403) году.
Темирь же къ югу и Египту странами и мало не всю Елладу обътекъ, егда же стѣну Дамаска низложи,[50] восхотѣ и на Иерусалимъ ити. Рѣша же ему, яко всякъ от вѣка озлобивый Иерусалима от Бога казнимъ бываше, сего ради кь Иерусалиму шествие оставляет, но обаче по востоку прошед. И колика злая от него приаша жителие странъ тѣх, иже не покоряхуся ему: въ ровы съ женами и дѣтми повелѣваше засыпывати, и звѣремъ въдаваша, и иныа различныя казни. Видѣ же много отрочатъ пометнуто и плачющихся, еда како на милость преложится, безбожный же Темирь множество отрочат узрѣвъ, повелѣ конми сих попирати; «Таковѣми, — рече, — свободих их от злобы и труда мира сего». И ина подобна симъ многа сътвори.	Тимур же двинулся на юг, в сторону Египта, и едва не всю Элладу обошел, а когда и стены Дамаска сокрушил, то собрался пойти на Иерусалим. Но сказали ему, что с давних пор всякий, кто зло причинит Иерусалиму, Богом наказан бывает, и поэтому не решился он идти к Иерусалиму, а снова двинулся на восточные страны. И сколько зла претерпели от него жители тех стран, которые не покорились ему: приказывал закапывать их во рвах вместе с женами и детьми, отдавал на растерзание зверям и на иные муки. Повсюду было много детей осиротевших и молящих о пощаде, безбожный же Тимур, толпы детей увидев, приказал растоптать их конскими копытами: «Этим, — говорил, — освободил я их от горя и бед мира сего». И многое совершал тому подобное.
И нѣкое царствие въскрай моря непроходимо высоких ради горъ, приити к нему единою стезею, и на той стези столпъ крѣпокъ създанъ есть, соблюдая стезю ту, и врата желѣзна. Приидоша же к нему послы от царя того. Темирь же питъ крови много зѣло. И пришедшим послом к нему, сътворися пред ними, яко боленъ зѣло до смерти, и творяше по воли их и глаголя с ними, нача кровъ ону блевати, яко уже умирая. По мале повелѣ послы отпустити, глаголюще, яко умре Темиръ. Они же с радостию поидоша возвѣстити царю своему. Темирь же, въставъ нощию, устремися и обрѣте столпъ онъ неуторженъ и того взят. Во утрие же постигъ, и страну разрушивъ, и началника ея ем.	Было некое царство на берегу моря, недоступное из-за окружавших его высоких гор, и вела к нему единственная дорога, и на дороге той была построена для ее охраны крепкая башня с железными воротами. Пришли к Тимуру послы от царя той страны. Тимур же выпил много крови. И когда явились послы, притворился перед ними тяжело больным, будто находится при смерти и готов сделать все по воле их, и во время беседы с ними начал кровью той блевать, словно бы уже умирает. Через некоторое время приказал послов тех отпустить, велев сказать им, что умер Тимур. Они пошли радостные и рассказали об этом своему царю. Тимур же, поднявшись ночью, напал на них и застал ту башню неготовой к обороне и захватил ее. Наутро же достиг и страны той, и ее разорил, и властителя ее полонил.
И таковая творя, всюду обтече, якоже крилат, и держателя и царя нигдѣже оставляше, но вся изсѣцая и потребляа, и похваляяся, глаголаше: «Александръ Макидоньскый яко на поругание себѣ всю землю обтече, малы дары и поклонениа тому подаяху, он же и болша тѣх подаяше». Паки же Темирь глаголаше: «Сѣверьскыми странами на запад приити, Индѣю же з западом и амазоны и вся конца воевати и тамо таковая сотворити», — не вѣдый, яко изыдеть духъ его, и възъвратится в землю свою, в той день погибнуть вся помышлениа его. Възвращаеть же ся Темирь въ Персиду, приятъ же и Асирию, и Вавилоньское царьство,[51] и Севастию, и Армению, и вси Орды поплени и прият и Синюю Орду, еже есть близ Индѣи, и Сарай Велики, и Чегадай, Тевризи, и Горзустани, Обези, и Гурзи, и оттуда поиде во Охтой, приатъ и Шамахию, и Китай, и Крим[52] и, ополчися, поиде къ Великой Ордѣ. И сѣяше просо за шесть мѣсяць, еже прекормити толикое множество воиньства его по тѣх пустынях до преднихъ странъ мира, бяше бо болши четырех сотъ тысящь.	И так поступая, все страны словно на крыльях облетал, и нигде не оставлял властителей и царей, но всех убивал и истреблял, и говорил, похваляясь: «Александр Македонский себе на посмешище всю землю обошел: мало даров ему несли и мало почестей оказывали, он сам больше одаривал». И еще Тимур говорил: «Северными странами следует на запад пройти, Индию же, и западные страны, и амазонок, и все концы земные нужно покорить и там свершить то же, что и везде», — не ведая, что покинет его душа и возвратится в землю свою, и в тот же день рухнут все замыслы его. Вернулся Тимур в Персию, завоевав Ассирию, и Вавилонское царство, и Себастию, и Армению, и все Орды пленил, завоевал Синюю Орду, расположенную близ Индии, и Сарай Великий, и Чегатай, Тевриз, и Гурзустан, и Абхазию, и Гурзов, и оттуда пошел в Охтой, захватил и Шамахию, и Китай, и Крым и, ополчившись, двинулся к Великой Орде. И сеял просо на шесть месяцев, чтобы прокормить такое множество воинов в пустынях, простирающихся до края мира, было же воинов у него более четырехсот тысяч.
И пришед в Великую Орду и царя Тахтамыша, побѣдивъ, прогна.[53] И оттуле возгорѣся акаянный яростию на Русь поити. И царя турьска Баозита в желѣзной клѣтькѣ с собою вожаше. И прииде близ предѣлъ Рязаньскиа земля[54] во дни благочестиваго великаго князя Василиа Димитреевича и взя град Елечь и князя Елеческаго поималъ. Бѣ же страх на всей земли Руской. Князь же велики Василие Димитреевичь стояше на брезѣ Окы рѣкы, посла в Володимерь по икону пречистыя Богородица, еяже, глаголють, Лука еваньгилистъ написа. Принесоша же ея с Пирогощею во едином корабли из Царяграда. Князь же Андрей Боголюбьский принесе ея с Киева в Володимерь и вкова на ней злата болѣ 30 гривенъ наших рускых, и камениемъ и бесером украси. И егда прииде образ Пречистыа, усрѣтають ея святители со всѣм народом, молящеся со слезами. Темирь же, стояше 15 день на едином мѣсте, и егда прииде образъ пречистыа Богородица, прииде на него страх и трепетъ, и, гонимъ гнѣвом Божиимъ, отоиде. Великий же князь и вси людие праздникъ свѣтелъ сотвориша, и церковъ воздвигоша, и празновати предаша чюдо пречистыа Богородица.	И пришел Тимур в Великую Орду и царя Тохтамыша, победив, прогнал. И там загорелся, окаянный, желанием пойти на Русь. И царя турецкого Баязида в железной клетке с собою возил. И пришел к пределам земли Рязанской в дни благочестивого великого князя Василия Дмитриевича, и захватил город Елец, и князя елецкого полонил. Охватил страх всю землю Русскую. Князь же великий Василий Дмитриевич стал на берегу реки Оки и послал во Владимир за иконой Пречистой Богородицы, которую, говорят, написал Лука-евангелист. Привезли ту икону с Пирогощею в одном корабле из Царьграда. Князь же Андрей Боголюбский перенес ее из Киева во Владимир и оковал ее золотом более чем на тридцать гривен наших русских и камнями драгоценными и жемчугом ее украсил. И когда прибыл образ Пречистой, встретили его священники со всем народом, молясь со слезами. Тимур же простоял пятнадцать дней на одном месте, и когда прибыл образ пречистой Богородицы, то напал на него страх и трепет, и отступил он, гоним Божьим гневом. Великий же князь и все люди устроили праздник светлый, и церковь воздвигли, и заповедовали праздновать чудо пречистой Богородицы.
Темирь же во отечество свое возвратися, Орарь глаголемое. Таже паки воздвигся со всѣми воиньствы, прииде во Охтой, помысли паки ити ко Ординьским странам и к Руси, и в сихъ предѣлех озимъ, и ото многиа зимы множество вой его изомроша. И возвѣстиша ему, яко 118 шатров осташа пусти, он же, 20-ю кожюхи одѣвся, иде сам видѣти. И не возможе видѣти всѣх студени ради и возвратися въ станъ. И от таковыа студени вредишася внутренеа его. Онь же, собравъ врачевъ, они же даша ему месть варенъ, и пивъ, расторже ютробу его. И шесть дни лежавъ, и потом кровъ поиде усты его и афедроном, и по трех днех умре. Воиньство уже его разыдеся кождо во своя. Сынъ же сего Темиря удръжавъ персы, внукь же его и нынѣ обладаяй персы, именем Шарухъ.[55]	Тимур же в отечество свое возвратился, Арарь именуемое. Затем снова отправился в путь со всем своим войском, пришел в Охтой и задумал снова пойти в земли Орды и на Русь, а пока остался зимовать в этой стране, и от лютых морозов погибло множество его воинов. Поведали ему, что сто восемнадцать шатров осталось пустыми, он же, двадцать шуб на себя напялив, пошел сам, чтобы в этом убедиться. Но из-за мороза не смог всего увидеть и возвратился в свой стан. И от такого холода повредились внутренности его. Собрал он врачей, и они дали ему мед вареный, но когда выпил он его, то разорвало ему утробу. И пролежал он шесть дней, и потом кровь пошла у него горлом и задним проходом, и три дня спустя он умер. Воины же его разошлись каждый в свою землю. Сын же этого Тимура остался править персами, внук же его, по имени Шарух, и доныне обладает персами.
О МУСУЛМАНѢ	О СУЛЕЙМАНЕ
Пленену же бывшу турскому царю Баозиту, дѣти его удръжаша восточнаа: первый сынъ — Мусулманъ[56] — утвердися в западных; 2 — Мисиа,[57] иже прибѣгъ в Туркы; 3 — Асбѣгъ нача жити во Анаталии, дондеже и Мусолманом убиенъ бысть; четвертый — Махамет[58] султанъ — в горней земли, иже после всѣх царствовати начатъ.	Когда попал в плен турецкий царь Баязид, сыновья его удержали за собой земли восточные: старший сын его Сулейман остался в западных землях, второй — Муса бежал в Турцию, третий — Асбег поселился в Анатолии, пока не был убит Сулейманом, четвертый — Мехмед-султан — в горной стране, он после всех стал царствовать.
ЦАРСТВО ГРЕЧЕСКОЕ	ЦАРСТВО ГРЕЧЕСКОЕ
По той же брани случися и греческому царю Мануилу от Рима приити к Калиполю, идѣже больший сынъ царя Баозита прииде от востока, царь Мусулманъ. И ту убо царь греческый Мануилъ с ним друголюбие сотвори крѣпко, якоже отець с сыном. Тогда убо Мусулманъ и Селунь возврати в рукы греком. Сему же Мусулману вся дѣла блага бяху, точию виномъ порабощенъ бѣ, имьже не по мънозѣ животъ и царство погуби. Приходит убо царь греческый Мануилъ въ Царьград, емуже яко отцу повинуся царь Иванъ, анепсей его, аще и понужаем от нѣкых, но не восхотѣ на блаженаго Мануила руки подвигнути, в Селунь уклоняеться, того бо тому дастъ тогда во окоръмление. Распространи же ся тогда власть греческаго скипетра дажь до Визы и по морю Черьмному выше, о Силивриской же странѣ и прочее, еще же и Ахайскыми с Селуньскими. Царь же Мануилъ сѣде на престолѣ своем, благодаря Бога, изводящего въсквозѣ огнь и воду в покой.	После той брани пришлось греческому царю Мануилу прибыть из Рима в Галлиполи, куда с востока пришел царь Сулейман, старший сын царя Баязида, и тут царь греческий Мануил договорился жить с ним в дружбе и любви, как отец с сыном. Тогда Сулейман и Солунь возвратил грекам. Сулейман тот во всем был благоразумен, только к вину был пристрастен, из-за чего в скором времени и погубил жизнь свою и царство. Прибыл царь греческий Мануил в Царьград, и ему, словно отцу, повиновался царь Иоанн, племянник его, хотя и подстрекали его некие, но не захотел поднять он руки на блаженного Мануила и уехал в Солунь, которую тот дал ему в управление. Распространились тогда греческие владения даже до Визы и выше по берегу Черного моря, на окрестности Силимврии, на Ахайю и Солунь. Царь же Мануил сел на престоле своем, благодаря Бога, проводящего сквозь огонь и воду.
Потом же царь Мануилъ присла к великому князю Василию Димитреевичю, прося у него за себе тщерь Анну,[59] еюже и отпусти со многою честию. И сотвори бракъ любочестенъ и всенароденъ на многи дни царь Мануилъ въ царьствующемъ градѣ и своим и посланьным пирьшество велико, и многотолъстотъны трапезы, и гостьбу велику. И посланных отпущает со многими дарми и поминки. Царствова же Мануилъ 33 лѣта и роди ото Анны царици сыновъ 6: Калуяна, Андроника, Феодора, Коньстянтина, Димитриа, Фому.[60] ...	Потом же царь Мануил послал к великому князю Василию Дмитриевичу, прося у него за себя дочь его Анну, которую тот отпустил с великой честью. И устроен был царем Мануилом многодневный брачный пир, любочестный и всенародный, в царствующем граде и для своих и для приехавших — пиршество великое, и обильные трапезы, и обед пышный. И послов отпустил с большими дарами и с подарками. Царствовал же Мануил тридцать три года, и родила ему Анна-царица шесть сыновей: Калуяна, Андроника, Федора, Константина, Димитрия и Фому. ...
ГЛАВА 204	ГЛАВА 204
ВЕЛИКОЕ КНЯЖЕНИЕ СЕРПЬСКОЕ	ВЕЛИКОЕ КНЯЖЕНИЕ СЕРБСКОЕ
По Анкирьской убо брани, егда Темирь побѣди и ятъ и отведе царя Баозита и вся его поплени, и сестру Стефанову, великаго князя серпьскаго, иже бѣ за Баозитомъ. Князь же велики Стефанъ посылает къ Темирю послы и изводит ея от пленениа, сам же въ царствующий град приходить и с братом своим Волком и тамо от царя греческаго Мануила, еще живу ему сущю, деспотскый санъ приемлеть, и, много почтивъ его, отпусти.	После Анкарской битвы, в которой Тимур победил, и пленил, и увел с собою царя Баязида, и все принадлежащее ему захватил, и сестру Стефанову, великого князя сербского, бывшую за Баязидом. Князь же великий Стефан посылает к Тимуру послов и выводит ее из плена, сам же с братом своим Буком приходит в царствующий град и там от царя Мануила — еще был он в живых — удостаивается сана деспота, и многие почести воздал ему царь и отпустил его.
Приходить же деспот Стефанъ и с братом своимъ во свой град Новоброд, град сребреный,[61] воистину и златый. По убьении же Баозита царя свободися Серпьскаа земля[62] от ярма и покорениа бесерменьска, и оттуле деспот Стефанъ самовластець и господарь всей земли Серпьской бысть Божиею милостию. И объходя землю отечества своего, инѣх смири, иная же себѣ покори, и елици въ прежнея времена гради и мѣста восхищени быша от серпьскиа власти, сих к себѣ приторже. Также преходя, обрѣте Бѣлъград,[63] егоже преже угри восхитиша, егоже ото Угорьскиа земля по смирению взят. Сей бо Бѣлъград аще и въ предѣлех серпьскых лежим есть, но яко на сердци и плещах Угорьскиа земля ляжа бяше. Таже и прочая грады своя, елици турки восхитиша самовластьно, взят.	Пришел же Стефан с братом своим в город свой Новоброд, город серебряный, а по правде сказать — золотой. После убийства царя Баязида освободилась Сербская земля от ярма и подчинения басурманам, и с той поры деспот Стефан стал милостью Божьей самодержавным господином всей земли Сербской. И, обойдя землю отечества своего, иных смирил, иных себе подчинил, а те города и селения, которые в прежние времена были отторгнуты от Сербской земли, себе возвратил. Приступив, возвратил и Белград, который прежде отторгли угры, и с миром получил его от Угорской земли. Этот Белград, хотя и лежит в пределах сербских, но словно бы на сердце и на плечах земли Угорской. Также и остальные города свои вернул, которые были дерзко захвачены турками.
Начат же множае пребывати въ Бѣлѣградѣ, занеже мѣсто града того зѣло красно, и морем, и реками, и пристанищи украшено, и отовсюду корабли к нему яко крилати со множеством благых прилетаху. Сего убо Стефанъ украсивъ стенами и царскыми полатами, паче же церковъю соборною, и архиепископию създа, и всѣми потребами удовли, и в ней жилище иноком сотвори. Архиепископъ же той бѣлоградскый, екъсархъ всей Серпьской земли. Създа же и церковъ во имя чюдотворца Николы, и яко манастырь всѣми добрыми храминами и одры, и всѣми потребными удовливъ. И собра в ню множество болных и прокаженых, насади же и сады многы на прохлажение тѣм. Потом же изообрѣт мѣсто красно, пустынно и потребно млъчанию и созидаеть храм во имя Живоначалныа Троица, и всякими добрыми украсивъ и живописателным художеством, и град около и въ стенах келиа. Собра же и множество инокъ боголюбезных и всеми ту, и всякими потребными удовли и сокровище день ото дни пологаше ту. Сътвори же себѣ и гробницу ту, идѣже малом последи положися. Дасть же и иконы ту, златом и бесерием украшены, и множество книгъ, и сосуды, и ризы съ великим бесериемь и златом украшены, яко превосходити и Святыя Горы великую Лавру,[64] и свѣтилники златыа. Призываетъ же и патриарха Кирила со всѣм Серпьскыя земля собором и сътворяеть освящениа храма въ день святыа Пятница. Нача же здати обитель в лѣто 6915. Приходит же и нищих множество, им же доволно милостыню подастъ, и повсегда сам нощию, по улицам града ходя, нищим одежа и златица подавая. И нѣхто единъ, многажды зашед, милостыню взят и, паки пришед, просяше. Он же давъ ему и рече: «Возми, татю и хищниче!» Он же отвѣща ему: «Не азъ, но ты тать и хищникъ, со здешним царством и будущее царство крадеши и восхищаеши».	И стал подолгу жить в Белграде, ибо место, где стоит тот город, очень красиво, и морем, и реками, и пристанями украшено, и отовсюду к нему корабли со множеством благ всяких словно на крыльях летят. Украсил Стефан город этот крепостными стенами и палатами царскими, а кроме того, и церковью соборной, и архиепископию создал, и всем необходимым ее снабдил, и в ней жилище инокам устроил. Архиепископ же тот белградский был экзархом всей Сербской земли. Построил же Стефан и церковь во имя чудотворца Николы, и, как монастырь, обстроил ее красивыми зданиями и постройками, и всем необходимым обеспечил. И собрал при ней множество больных и прокаженных, и насадил вокруг множество деревьев для прохлады. Потом обрел место красивое, пустынное и пригодное для пребывания в молчании, и создал там храм во имя живоначальной Троицы, и всем лучшим его украсил и живописью, и стену вокруг возвел, а в стене — кельи. Собрал же множество иноков, любезных Богу, и поселил их тут, и всем потребным обеспечил, и изо дня в день привозил сюда сокровища. Соорудил же здесь и гробницу себе, в которой в скором времени и был положен. Даровал сюда и иконы, украшенные золотом и жемчугом и множество книг, и сосуды, и ризы, крупным жемчугом и золотом украшенные, каких не было и в великой Лавре Святой Горы, и светильники золотые. Призывает же и патриарха Кирилла со всеми святителями Сербской земли и освящает храм в день святой Пятницы. Начал же строить обитель в 6915 (1407) году. Собралось сюда множество нищих, которым он раздал щедрую милостыню. И постоянно сам ходил по ночам по улицам города и раздавал нищим одежду и золотые монеты. И один из них несколько раз подходил и получал милостыню и вновь подошел просить. Он же, дав ему, сказал: «Возьми, вор и хищник!» Тот же ответил ему: «Не я, а ты вор и хищник: владея здешним царством, и будущее крадешь и похищаешь».
О МУСУЛМАНЕ	СУЛЕЙМАНЕ
