СТЕПЕНЬ 15, И ЧЕТЫРЕ МИТРОПОЛИТЫ ФИЛИПП, ГЕРОНТИЙ, ЗОСИМА, СИМОН, И ГРАНЬ 15, В НЕЙЖЕ ГЛАВ 33	СТУПЕНЬ 15, И ЧЕТЫРЕ МИТРОПОЛИТА, ФИЛИПП, ГЕРОНТИЙ, ЗОСИМА, СИМОН, ГРАНЬ 15, В КОТОРОЙ 33 ГЛАВЫ
Пленение земли Новоградстей. Преже посланныи воеводы, князь Данило Дмитреевич Холмский и Феодор Давыдович, идуще по новгородским мѣстом, идѣже им повелѣно бяше, распустиша воя своя на многия мѣста, поплениша и пожгоша и казниша без милости за их неисправление ко своему государю великому князю. И поидоша близ к Новуграду к рецѣ к Шелонѣ.[51] Бяше же земля новоградская озеры и болоты велми наводнена, и того ради в лѣтняя времена рать конная не бывала на них никогдаже, ни от которыхъ великих князей прежних. И того ради лукавии навыкоша преже измѣняти и, пролыгающеся, жили от осени и до зимы, таже и до весны; в лѣте же безо опасения пребываху наводнения ради земли их. Нынѣ же Божиим промысломъ их ради наказания и исправления тако изсше земля их, яко ни крапля дождя с небеси на землю их не бысть во все лѣто оно от мѣсяца маия и до мѣсяца септеврия, и от солнечнаго зноя вся земля их и блата иресхоша. Такову благодать дарова Богъ свыше благочестивому си слузѣ великому князю Ивану Василевичю всеа Русии, смиряя враги его под крѣпкую его руку, всуду бо вездѣ ратнии полцы его ничимже неудержимо ганяху по всей земли новоградстей и воеваху невозбранно и скоты гнаху отвсюду непроходимыми мѣсты и блаты, а все посуху.	Пленение Новгородской земли. Посланные вперед воеводы, князь Данила Дмитриевич Холмский и Федор Давыдович, идя по новгородским местам, где повелено им было, разослали все войско свое по множеству мест, брали в плен, жгли и казнили без милости <новгородцев> за неподчинение их своему государю великому князю. И подошли они близко к Новгороду, к реке Шелони. А в земле новгородской было много очень озер и болот, и потому в летние времена там не бывало никогда конное войско, ни при ком из прежних великих князей. И потому лукавые новгородцы издавна привыкли к измене и, изворачиваясь во лжи, жили от осени до зимы, а затем и до весны; летом же жили, <ничего> не опасаясь, благодаря большой воде в их землях. Ныне же Божьим промыслом для их наказанья и исправления сделалась такая засуха в их земле, что ни капли дождя не выпало с небес на землю их во все то лето, с мая месяца до месяца сентября, и от солнцепека вся земля их и болота пересохли. Таковую благодать даровал свыше Бог благочестивому своему слуге великому князю Ивану Васильевичу, приводя в усмирение его врагов под крепкую его руку, ведь везде и повсюду ратные его полки, ничем не сдерживаемые, наступали по всей земле новгородской и беспрепятственно воевали, и гнали скот отовсюду через непроходимые места и болота, и все посуху.
Титла 7. Побѣда на новоградцы у Коростыни,[52] и в Руси, ина Шелонѣ. Егда же услышаша людие новоградстии, яко сам великий князь грядет на них со многими силами, заняв всю их силу новоградскую от края до края, с великою и страшною грозою своего меча и огня, якоже древле речено бысть Иеремием о Навходоносорѣ, Вавилонстѣм цари:[53] «От яждения грома колесниц его и от терзания кон его потрясеся земля»,[54] такоже и здѣ показа Господь страсть и грозу великаго князя над лукавыми новогородцы, они же лестию послаша к немъ с молениему, еще себѣ опасения просяще. А все лжуще и неправду дѣюще: и в то же время послаша рать свою в судѣх езером Илмерем на предния полки, на воеводы великаго князя, иже бяху пришли на Коростыню и стояху на брезе у езера Илмеря, и бишася с ними. И поможе Богъ воеводам великаго князя: многих избиша, а инии в водѣ истопоша, а иных руками живых поимаша и самѣм им межь себя повелѣша носы, и губы, и уши рѣзати и отпущати их к Новуграду. И в той же день в Русѣ иная рать, пѣшая, множае первыя и сугубѣйши, приидоша рекою полою Илменем. Воеводы же великаго князя, и на тѣх пришед, побиша их.	Раздел 7. Победа над новгородцами у Коростеня, и в Русе, и на Шелони. И когда услышали люди новгородские, что идет на них сам великий князь со многими силами, покорив всю их силу новгородскую от края и до края, с великой и страшной угрозою своего меча и огня, как в старые времена Иеремией было сказано о Навуходоносоре, царе Вавилонском: «От грохота движущихся его колесниц и от топота коней тряслась земля», так и здесь явил Господь лукавым новгородцам страх и грозу пред великим князем, и послали они к нему со лживой мольбою, прося снова себе защиты. А все лгали и неправду творили: в то же время послали рать свою на судах озером Ильменем на передовые полки воевод великого князя, что пришли на Коростень и стояли на берегу озера Ильменя, и стали биться с ними. И помог Бог воеводам великого князя: многих они разбили, а иные в воде утонули, а кого взяли живыми в плен, тем самим меж собой приказали носы, и губы, и уши резать и отпускать их в Новгород. В тот же день пришло другое, пешее, войско в Русу, вдвое больше первого, пришли полою рекой Ильменем. И воеводы великого князя, и на тех пойдя, побили их.
О побѣде на новоградцы на Шелонѣ. Сами же воеводы поидоша к Дѣмону граду. К ним же присла великий князь с Колма-езера, веля им ити за реку Шелоню сниматися со псковичи. А под Дѣмоном стояти повелѣ князю Михаилу Андрѣевичю с сыном, князем Василемъ, и со всѣми вои своими.[55] Воеводы же великаго князя, яко приидоша к Шелонѣ-рецѣ на брег, идѣже брести ея, и тогда со другия страны реки тоя противу их прииде рать новоградская, многое множество, яко и ужаснутися полком великаго князя, понеже в мале бяху; прочая же, иже с ними воинства, не вѣдуще того, пленяху окрестная мѣста Новаграда. А окаяннии измѣнницы новогородские — посадницы, и тысящские, и боляре, и купцы, и всякие ремесленицы, и весь народ гражан, совокупившеся всея их рати, якоже сами глаголют, четыредесят тысящ, и поидоша скоро многими силами на тѣх же воевод великаго князя на передовый полк — на князя Данила Голмскаго и на Федора Давыдовича. Воеводы же великаго князя, ихже в мале бяше, яко тысящ пять, супротивных же аще и многое множество видѣвше, не устрашишася, но надѣющеся на Господа Бога и на Пречистую Его Матерь и на правду государя своего, поидоша скороустремително противу их, яко лви рыкающе, через реку ону великую, еяже сами новоградцы глаголют никогдаже тамо броду имущи, а сии не ищуще броду вси цѣли и здрави преидоша ея. Видѣв же сие новоградцы возмятошася и восколебашася, яко пьяни, а сии ускориша приити и стрѣляху их. И возмятошася под ними кони их и начаша бити их с себе. И тако вскоре побегоша, гоними гнѣвом Божиим за свою их неправду и за отступление не токмо от великаго князя, но и от самого Господа Бога. Полцы же великаго князя погнаша по них яко 20 поприщ,[56] колюще и секуще их. А инии бѣжаще и сами друг друга убивающе, кто кого можаше. Избиено же бысть их тогда по сказанию их яко 12 тысящ, живых же, изыманых руками, боле двою тысящ.	О победе над новгородцами на Шелони. Сами же воеводы пошли ко граду Демону. И великий князь послал к ним с Кольм-озера, веля идти им за реку Шелонь на встречу с псковичами. А под Демоном велел стоять князю Михаилу Андреевичу с сыном, князем Василием, и со всем своим войском. И когда пришли воеводы великого князя на берег реки Шелони, чтобы перейти ее вброд, тогда с другой стороны той реки напротив них пришло новгородское войско, многое множество, так что ужаснулись полки великого князя, ибо было их мало; другая же часть их войска, не ведая о том, завоевывала окрестности Новгорода. А окаянные новгородские изменники — посадские, тысяцкие, бояре, и купцы, и разные ремесленники, и весь городской народ, собрав всю их силу, как сами говорят, сорок тысяч, пошли спешно со многой силою на передовой полк тех воевод великого князя — на князя Даниила Холмского и на Федора Давыдовича. Но воеводы великого князя, которые были в меньшинстве, около пяти тысяч <войска>, не испугались, увидев многое множество врагов, нет, надеясь на Господа Бога и на Пречистую Его Мать и на правоту своего государя, рыча как львы, стремительно бросились им навстречу через широкую ту реку, которая, как говорят сами новгородцы, никогда броду там не имела, а они без броду перешли ее целы и невредимы. Увидавши это, новгородцы пришли в смятение и зашатались, будто пьяные, а они быстро перешли и стали стрелять в них. И метаться стали под ними их кони и бросать их стали с себя. И так вскоре бросились они бежать, гонимые Божьим гневом за свою неправду и за отступление не от великого только князя, но и от самого Господа Бога. А полки великого князя преследовали их около 20 поприщ, рубя и сеча их. А иные из них и сами друг друга на бегу убивали, кто кого. Тогда убито было их около 12 тысяч по их сведениям, а живыми взято в плен более двух тысяч.
Изымании же посадницы их сии: Василий Казимир, Дмитрий Исаков Борецкой, Козма Григорьевъ, Яков Федоров, Матфей да Василей Селезневы, два сестричича Казимировы, Павел Телятев, Козма Грузов и прочих множество, на нихже збыстся пророческое слово, реченное, яко «пять поженет сто, а сто подвигнета тмы».[57] Бежащим же им надолзѣ, и кони их под ними одхошася и метахуся с коней своих в воды и в болота и в лѣсы: ослепи бо их Господь, яко и земли своея не познаша, ниже пути ко граду своему вѣдуще, от негоже приидоша. Но блудяху по лесом, и идѣжѣ выходящим им из лѣса, и тако имаху их ратнии. А инии, ранении, по лесом блудяще, изомроша; а инии в водах истопоша. А котории с коней не сметашася, тѣх кони их ко граду принесоша, яко пьяных или яко спящих. А инии в оторопе град свой пробегоша, мняще, яко взят уже град их.	Взятые посадники их: Василий Казимир, Дмитрий Исаков Борецкий, Козьма Григорьев, Яков Федоров, Матфей да Василий Селезневы, двое Казимировых племянников, Павел Телятьев, Козьма Грузов и множество других, на которых сбылось пророческое слово, гласящее, что «пятеро прогонят сотню, а сотня победит десятки тысяч». Бежали они долго, и кони под ними издыхали, и падали они с коней своих в воды и болота и по лесам: ибо ослепил их Господь, так что и земли своей они не узнавали, и пути в свой город, откуда они пришли, не ведали. И блуждали они в лесах, а когда выходили из леса, ловили их ратники. А иные, раненые, блуждая по лесам, перемерли; другие же в воде утонули. А тех, что с коней не свалились, тех кони их принесли в город, будто пьяных или будто спящих. А иные в оторопи пробегали мимо своего города, полагая, что взят уже их город.
Воеводы же, князь Данило и Феодор, сождавшеся с воинством своим и ставше на костѣх, вострубиша, благодарение Богу и Пречистой его Матери приносяще, яко видѣша вся воя своя здравы. И начаша воеводы глаголати поиманым у них новогородцем: «Что ради вы с толиким множеством вой своих нимало не постоясте, а наше мало воинство видяще?» Чюдо. Они же рекоша к ним: «Мы убо видѣхом вас бесчисленное множество грядуще на нас; еще же и иныя полки вѣдѣхом в тыл по нас прешедших; знамена же имут желты и болшие стяги, скипетры, и говор людский многъ и топот конский страшен. И тако ужас нападе на ны, и страх обят ны, и трепет вниде в сердца наша».	И воеводы, князь Данило и Федор, дождавшись, когда соберется их войско, и ставши на поле брани, вострубили <победу>, принося благодарение Богу и Пречистой его Матери, ибо увидали войско свое все живым и здоровым. И стали говорить воеводы пойманным новгородцам: «Почему вы с таким множеством своих воинов нисколько не продержались, при том, что видели, как мало наше войско?» Чудо. И отвечали они им: «Мы видели, что бесчисленное вас множество идет на нас; да еще видели и другие полки, к нам в тыл пришедшие; знамена у них желтые и большие стяги и скипетры, и шум людских голосов и конский топот страшный. И так ужас напал на нас, и объял нас страх, и вошел трепет в сердца наши».
Бысть же сие мѣсяца июля 14, в день недѣлный по рану, на памят святаго апостола Акилы.[58] И по преславной той побѣде то же воинство великаго князя повоеваша много посад новогородский и многия власти и до немецково рубежа по реку по Неву.	Было же это 14 числа месяца июля, в день воскресный утром, на память святого апостола Акилы. И после преславной той победы повоевало то же войско великого князя посад новгородский и множество волостей вплоть до немецких рубежей по реке Неве.
И послаша к великому князю въ Яжолобицы, возвѣщающе такову преславну свыше от Бога дарованную им побѣду и вся подробну вышеписанныя мужества и храбрьства богохранимаго воинства его. О таковых писание глаголет: «Воин на брани за благочестие аще убиет, то не убийство вмѣняется».[59] От святых отецъ, великаго Афонасия, якоже великий Афонасий ко Аммону-мниху в послании глаголет: «Чествований великих достойни суть, иже во брани храбръствовавшеи, и образы подобия их поставляти лѣпо есть, проповѣдающих храбръство их, яко убивают противныя им за целомудрие и за благовѣрие».[60] Егда же сия слыша благочестивый великий князь Иванъ Василевич всеа Русии, возрадовася зѣло, хвалу воздая всесилному Богу и Пречистой его Матере, Пресвятѣй Богородице, и всѣм святым. У него же бяху тогда царевич Даняр и братия его, князи Георгий, Андрей, Борис Василевичи, и боляре их, и все воинство их. И бысть радость велия во всѣх. И тогда великий князь обѣщася поставити на Москвѣ церковь во имя святаго апостола Акилы, еже и бысть, воеводы же, князь Данило и Феодор, — другую церковь, во имя Христова Воскресения.[61] Из Нова же града тогда бяше у великого князя Лука Клементиев о опасѣ. Великий же князь дал им опас и отпусти его[62] с Селищъ против Дѣмона.	И послали к великому князю в Яжелбицы с возвещением о таковой преславной дарованной свыше от Бога победе и о всех описанных выше <подвигах> мужества и храбрости богохранимого его войска. О таких писано: «Если воин в бою за благочестие убьет <кого-нибудь>, не вменяется <ему> это за убийство». Из святых отцов, из великого Афонасия, как говорит великий Афонасий в послании к Аммону-монаху: «Достойны почестей великих те, кто храбро воевали, и подобает памятники им ставить, возвещающие об их храбрости, ибо убивают они своих врагов ради целомудрия и благоверия». И когда услыхал об этом благочестивый великий князь всея Руси Иван Васильевич, сильно он обрадовался и воздал хвалу всесильному Богу и Пречистой его Матери, Пресвятой Богородице, и всем святым. А у него в то время были царевич Данияр и его братья, князья Георгий, Андрей, Борис Васильевичи, и их бояре, и все их войско. И сильно все возрадовались. И обещался тогда великий князь поставить в Москве церковь во имя святого апостола Акилы, что и сбылось, а воеводы, князь Данило и Федор, — другую церковь, во имя Воскресения Христова. А из Новгорода был тогда у великого князя Лука Климентиев ради охранной грамоты. И великий князь дал им охранную грамоту и отпустил его из Селищ у Демона.
Князю же Михаилу Ондрѣевичю Верейскому и сыну его, князю Василю, стоящу тогда у Великаго Новаграда, им же воеводы новогородские и иже в Новѣградѣ во осадѣ седящии сами с великим молением и поклонением предашася, не радяше ни о чем, но токмо единаго живота себѣ просяще, всего своего имѣния уступающеся; гражане же даша ему со града окупу сто рублев[63] новоградскую. И тогда же к великому князю в Ыгнатичи прииде от пскович посадник Никита с Козмою с Корбьиным и сказаша, яко псковичи со всею землею своею изыдоша на его службу своего государя с воеводою со князем Василемъ Федоровичемъ и мѣста новогородския пограбиша[64] и пожгоша и многих людей новогородских овых оружию предаша, овых же огню.	Князь же Михаил Андреевич Верейский и сын его, князь Василий, стояли тогда под Великим Новгородом, и новгородские воеводы и те, кто сидел в осаде в Новгороде, предались им сами с великим молением и поклонением, ни о чем не радея, прося себе только одной жизни, уступая все, что имели; а горожане дали ему с города сто рублей выкупа новгородского. Тогда же к великому князю в Игнатичи пришли от псковичей посадник Никита с Козьмою Коробьиным и сказали, что псковичи со всеми жителями своей земли выступили на службу своему государю с воеводой князем Василием Федоровичем и пограбили и пожгли места новгородские, и многих новгородских людей кого оружию, а кого огню предали.
Титла 8. Збытие пророчества преподобнаго Изосимы Соловецкаго.[65] И того же мѣсяца 24, на памятьсвятых мученикъ Бориса и Глѣба, великий князь прииде в Русу и тамо посадников новогородских за их измѣну и отступление повелѣл казнити[66] главною казнию: Дмитрия Исакова Борецкаго, и Василия Селезенева, и Еремия Сухощекова, и Киприяна Арзубьева, о нихже преже сего прорече преподобный Зосима, началникъ Соловецкий, якоже в житии его пишет. Бысть бо нѣкогда обѣдовавшу ему у них, и видѣ их седящих на трапезе их во время обѣда, а глав на плещу их не видѣ. И сия зря преподобный плакашеся и не ядяше, и учеником своим извести, яко за гордыню их отсѣчени имут быти главы их, еже и збыстся. Инии же мнози на Москву послани быша в темницу. Прочии же, не от славных рода, к Новуграду отпущени быша. Василия же Казимира, и Козму Григорева, и Якова Федорова, и Матфея Селезенева, и Козму Грузова, и Федота Базина и инѣх посла великий князь на Коломну и оковы повелѣ обложити их. Сам же великий князь поиде оттуда ко Илмерю езеру и прииде на мѣсто, зовомое Межу Берег и Коростын, въ 27 день того же июля мѣсяца.	Раздел 8. О том как сбылось пророчество преподобного Зосимы Соловецкого. И в том же месяце, 24 числа, на память святых мучеников Бориса и Глеба, пришел великий князь в Русу и повелел казнить там через отсечение главы посадников новгородских за их измену и отступление: Дмитрия Исакова Борецкого, Василия Селезнева, Еремея Сухощекова, Киприана Арзубьева, о которых прежде того предрек преподобный Зосима, основатель Соловецкий, как в житии его писано. Некогда обедал он у них и увидал, что сидят они за трапезой во время обеда, а голов на плечах их не видно. И увидавши это, преподобный заплакал и не стал есть, и сообщил своим ученикам, что за их гордыню отсекут им головы, что и сбылось. Многие же другие посланы были в Москву в темницу. Прочие же, из безвестных родов, были отпущены в Новгород. Василия же Казимира, Козьму Григорьева, Якова Федорова, Матфея Селезнева, Козьму Грузова, Федота Базина и других послал великий князь в Коломну и велел заковать их в оковы. Сам же великий князь пошел оттуда к Ильмень-озеру, и пришел на место, прозванное Между Брегом и Коростенем, 27 числа того же месяца июля.
О брани на Двинѣ.[67] И в той день поможе Богъ воеводам великаго князя Василию Федоровичю Образцу да Борису Сдѣпцу, с нимиже быша устюженя и вятчане, всея же их рати токмо 4000 без тритцати человѣкъ, им же бой был на Двинѣ со князем Василемъ Шуйским, с нимиже бысть рати 12 тысящ. Бысть же вышедшимъ имъ из суд, обои пѣши, и начашася бити в третий час дни. Биша же ся и до захожения солнечнаго, и за руки емлюще сѣчахуся, и знамя у двинян выбиша, под нимже и триех знаменщиков убиша, и тако двиняне возмятошася. И бысть уже к вечеру, одолѣша полки великаго князя и избиша множество двинян и заволочан, а инии истопоша. Князь же их ранен утече в ладицу и убѣжа на Колмогоры. Многих же живых руками яша, потом же и градки их поимаша. Великаго же князя рати убьено бысть ту 10 человѣкъ, прочии же вси Богом сохранени быша.	О битве на Двине. И в тот день помог Бог воеводам великого князя Василию Федоровичу Образцу и Борису Слепцу, с которыми были устюжане и вятичи, всего их войска только 4000 человек, без тридцати, у них же бой был на Двине с князем Василием Шуйским, у которого войска было 12 тысяч. Выйдя из судов, те и другие пешие, начали биться в третий час дня. Бились они до захода солнца, и в рукопашную бились, и отбили знамя у двинян, под которым и трех знаменосцев убили, и пришли так в смятение двиняне. И уже к вечеру одолели полки великого князя и разбили множество двинян и заволочан, а иные <из них> утонули. Раненый же их князь скрылся в лодку и убежал в Холмогоры. И многих в плен взяли живыми, а потом и крепости их взяли. А из великого князя войск убито было там 10 человек, а все другие Богом сохранены были.
Титла 9. О нареченном владыцѣ Феофиле и о новогородцѣх, како приходили к великому князю с челобитьемъ.[68] В той же день приидоша из Новаграда на усть Шелони в судѣх езером Илмерем нареченный на архиепископьство Феофил с посадники и с тысящскими и с прочими градскими людми изо всѣх концовъ. И преже начаша бити челом боляром и воеводам великаго князя, да быша печаловалися братии великаго князя, а они бы печаловалися великому князю, с ними же бы вкупѣ и сами боляре печаловалися. Боляре же, шедше с ними, биша челом братии великаго князя. Братия же валикаго князя, князь Юри, и князь Андрей, и князь Борис, и князь Михаил Андрѣевич с сыном, и боляре их биша челом о них великому князю. Великий же князь прият моление их ради братии своея и боляр своих, умилосердися о них и повелѣ им приити к себѣ, очи свои видѣти. Они же, пришедше пред него, и ударяхуся о землю, молящеся и милости просяще о своем преступлении, яко безъ ума противишася ему, — да бы явил имъ милость свою, много пред нимъ согрѣшшим, и гнѣв бы свой возвратил от них, и да бы престал казнити их, не велѣл бы паче того грабити их и жещи и пленити. Благосердый же самодержец, великий князь, милосердова у них, показа им милость свою, прият моление их и утоли гнѣв свой, и в той часъ повелѣ престати жещи и пленити, и плѣн весь повелѣ собрати и отдати. Даша же тогда великому князю сребра 16 тысящ рублев новогородских числом, кромѣ братии великаго князя и князей и прочих боляръ и воевод всѣх. Земля же их вся пленена и пожжена и до моря, яко такова война не бѣ была на них от начала. Тогда же и Псковская вся земля от себе их же воевали. И посла великий князь по всѣх воевод своих, и по все воинство свое, и по пскович, идѣже кто послан пленити земли новоградския, всѣм повелѣ к себѣ возвратитися. И мнози приидоша к нему на усть Шелони июля 30. И потом стоя ту на едином мѣсте 11 день, управляя новогородцевъ; и дав им мир и любовь и милосердие и нареченнаго на архиепископьство Феофила почтив, отпусти во свой им град, с нимже и посадников, и тысящских, и прочих, иже с ним приходили. За ними же посла в Новград болярина своего Феодора Давыдовича привести весь Великий Новград к цѣлованию от мала же и до велика и сребро на них имати. Он же, шед в Новград, сотвори тако, якоже повелѣно бысть ему.	Раздел 9. Об нареченном во владыки Феофиле и о новгородцах, как приходили они к великому князю с челобитьем. В тот же день пришли из Новгорода в Усть-Шелонь на судах по Ильмень-озеру избранный на архиепископство Феофил с посадскими и тысяцкими и прочими городскими жителями со всех <городских> концов. И сразу стали быть челом боярам и воеводам великого князя, чтобы похлопотали они пред братьями великого князя, а они бы похлопотали перед самим великим князем, да вместе с ними и бояре бы сами похлопотали. И бояре, пойдя с ними, били челом братьям великого князя. Братья же великого князя, князь Юрий, князь Андрей, князь Борис, и князь Михаил Андреевич с сыном, и их бояре били о них челом великому князю. И великий князь принял их мольбу ради своих братьев и своих бояр, сжалился над ними и велел им прийти к себе, пред свои очи. И они, представши пред ним, били в землю челом, молились и милостивого прощения просили за свое преступление, что, обезумев, противились ему, — чтобы явил им милость свою, много пред ним согрешившим, чтоб перестал гневаться на них и чтобы перестал их наказывать, больше бы не велел грабить, жечь и брать их в плен. Добрый же сердцем самодержец, великий князь, умилосердился над ними, явил им милость свою, принял мольбу их и утолил гнев свой, в тот же час приказал перестать их жечь и брать в плен, и всех пленных велел собрать и отдать <им>. Дали же тогда великому князю 16 тысяч рублей серебра новгородских, помимо братьев великого князя, князей и всех прочих бояр и воевод. А земля их вся пленена и выжжена до моря, ибо таковой войны испокон веков у них не бывало. Тогда ведь и Псковская земля со своей стороны с ними же воевала. И послал великий князь за всеми воеводами своими, и за всем своим войском, и за псковичами, кто куда послан был воевать на земли новгородские, и повелел всем к себе возвратиться. И пришли многие к нему в Усть-Шелонь 30 июля. И потом стоял он там на одном месте 11 дней, разбираясь с новгородцами; и подав им мир, любовь и милосердие и почтив избранного на архиепископство Феофила, отпустил его в собственный их город, а вместе с ним и посадников, и тысяцких, и других, кто с ним приходил. А вслед за ними послал он в Новгород своего боярина Федора Давыдовича привести весь Великий Новгород к крестоцелованию от мала до велика и взять с них деньги. И он, придя в Новгород, сделал так, как было ему велено.
Титла 10. О пришествии великаго князя от Новаграда на Москву. Богомудрый же благочестия ревнител, достохвалный супостатом побѣдител и собрател Богом дарованнаго ему отечества началнѣйшаго, великий князь Иван Василевич, Владимерский, Новгородский и всея Росии самодержец, возвратися оттуду к Москвѣ с великою побѣдою мѣсяца августа 13, такоже и вся братия его, и князи, и боляре, и вси воеводы, и все воинство их, со многою корыстию. В лѣта же 6980, мѣсяца септеврия 1, великий князь прииде во славный свой град Москву,[69] побѣдивъ супостаты своя, казнив противящихся ему и не хотящих повинутися ему жестоких отступников-новоградцев, ихже всѣх помощию Божиею приведе во всю свою волю, и многое богатство получи, и велику славу приобрѣте; егоже похвалами срѣтаху многобесчислении народи московстии, славнии и безславнии. Благородный убо сынъ его великий князь Иван и брат его князь Андрей Менший и прочии князи и боляре, и велможи, и гости, и купцы, и лучшии людие сретоша его мѣсяца августа 31 день, идѣже обнощевъствовати ему. Прочии же народи — овии за семь верстъ сретоша его, пѣшии же — ближе. Святѣйший же Филип, митрополит всеа Русии, срѣте его со кресты со всѣм освященным собором близ Великия церкви на площади града. И бысть радость велия всѣмъ людем державы его. (...)	Раздел 10. О приходе великого князя из Новгорода в Москву. А богомудрый ревнитель благочестия, достохвальный победитель врагов и собиратель дарованного ему Богом изначального отечества, великий князь Иван Васильевич, Владимирский, Новгородский и всея России самодержец, возвратился оттуда в Москву с великой победой 13-го числа месяца августа, а также и все его братья, князья, и бояре, и все воеводы, и все их войско, со многим прибытком. И в 6980 (1471) году, 1 числа сентября месяца, пришел великий князь в свой славный град Москву, победив своих врагов, наказав выступавших против него и не хотевших ему повиноваться жестоких отступников-новгородцев, которых он всех привел с Божьей помощью под полную свою власть, и получил многое богатство, и приобрел великую славу; и встречали его хвалой бесчисленное множество московского народа, славные и неславные. Благородный же сын его великий князь Иван и брат его князь Андрей Меньшой и прочие князья и бояре, вельможи, и гости, и купцы, и лучшие люди встретили его 31-го числа августа месяца там, где он останавливался на ночлег. Прочие же люди встретили его, кто — за семь верст, те же, кто был пеш, — ближе. Святейший же Филипп, митрополит всея Руси, встретил его с крестами вместе со всем освященным собором близ Великой церкви на площади кремля. И была великая радость всему народу его державы. <...>
Глава 15. О чюдесном зачатии и рождении великаго князя Василия Ивановича,[70] всеа Русии самодержца. И тако ему от Бога прославлену и благоденствено царствующу; дарова же ему Богъ и чадородие доволно, — от первыя ему сожитницы, от великия княгини Марии, дщери великаго князя тверскаго, родися ему сынъ, великий князь, тезоименитый Иван, зовомый Младый, и от вторыя же сожитницы его, великия княгини царевны Софии,[71] родишася ему три дщери, изрядна сына бо тогда не успѣ родити ни единого. Великий же князь Иван и его великая княгини София о сем не малу скорбь имяху и Бога моляху, дабы даровал им сынове родити в наслѣдие царствию своему, еже и получиша. И сего ради нѣкогда сия христолюбивая великая княгини Софья, от великия вѣры и от сердечнаго желания, по благому совѣщанию благочестиваго си супруга, самодержавнаго великаго князя Ивана Василевича всеа Русии, трудолюбно потщася пѣша шествовати с Москвы во преименитую великую обител Пресвятыя и Живоначалныя Троицы и великаго свѣтилника, преподобнаго чюдотворца Сергия, помолитися о чадородии сынов. Идуще же ей и доиде монастырьскаго села, Клементиева зовома. Оттуду же исходящу ей во удол, иже близ самые обители, и внезапу зрит очивѣсть во стрѣтение градуща священнолѣпна инока, егоже позна по образу быти преподобнаго чюдотворца Сергия, имуща в руцѣ отроча младо, мужеск пол, егоже напрасно вверже в нѣдра великой княгине, и абие невидим бысть. Она же от такова необычна видѣния вострепета и начат изнемогати и к земли прекланятися. Сущии же с нею жены велможския рукама поддержаша ю и сами велми ужасошася, не вѣдуще, что случися ей. Она же, сѣдши и рукама в пазусѣ своей ища вверженаго ей отрочати, его не ощути. И абие уразумѣша посѣщению быти великаго чюдотворца Сергия. И укрѣпися на нозѣ свои, и благонадежно и здраво прииде в монастырь, и доволно молитвова и целбоносныя мощи преподобнаго Сергия любезно целова, умильно припадая к честнѣй рацѣ его, надежу имѣя получити егоже прошаше; и братию любочестными брашны учреди, и с радостию возратися, отнюдуже прииде.	Глава 15. О чуде зачатия и рождения великого князя Василия Ивановича, самодержца всея Руси. И так был прославлен он Богом и благоденственно царствовал; и даровал ему Бог достаточно потомства, — от первой его супруги, великой княгини Марии, дочери великого князя тверского, родился у него сын, великий князь, тезоименный Иван, прозванный Молодым, и от второй его супруги, великой княгини царевны Софьи, родились у него три дочери, сына же тогда ни одного не смог родить. И великий князь Иван, и его великая княгиня Софья немало о том скорбели и молили Бога, чтобы даровал он им родить сыновей, дабы передать в наследие свое царство, что они и получили. И для того однажды христолюбивая сия великая княгиня Софья, по великой вере и по сердечному желанию, по доброму совету благочестивого своего супруга, самодержавного великого князя всея Руси Ивана Васильевича, усердно потрудилась пройти пешком от Москвы в знаменитую великую обитель Пресвятой и Живоначальной Троицы и великого светильника, преподобного чудотворца Сергия, помолиться о рождении сыновей. Шла она и дошла до монастырского села, называемого Климентьевым. И когда пошла она оттуда в долину, что близ самой обители, внезапно видит она воочию идущего ей навстречу священнолепного инока, в котором по виду узнала преподобного чудотворца Сергия, державшего в руках малое дитя мужского пола, которое он внезапно кинул за пазуху великой княгине, и тотчас стал невидим. И от такового необычайного видения затрепетала она и стала терять силы и к земле клониться. Бывшие же с ней вельможные жены руками поддерживали ее, а сами ужасались, не ведая, что с ней случилось. Она же села и стала искать у себя за пазухой брошенное ей дитя, и не нашла. И внезапно <все> уразумели, что было посещение великого чудотворца Сергия. И крепко встала она на ноги свои, и благополучно и во здравии пришла в монастырь, и молилась много, и цельбоносные мощи преподобного Сергия целовала с любовью, припадая с умилением к честной его раке, в надежде получить то, о чем просила; и потчевала она братию честными яствами, и радостно возвратилась туда, откуда пришла.
