СМИРЕННАГО ИНОКА ФОМЫ СЛОВО ПОХВАЛНОЕ[1] О БЛАГОВѢРНОМ ВЕЛИКОМЪ КНЯЗИ БОРИСѢ АЛЕКСАНДРОВИЧЕ	СМИРЕННОГО ИНОКА ФОМЫ СЛОВО ПОХВАЛЬНОЕ О БЛАГОВЕРНОМ ВЕЛИКОМ КНЯЗЕ БОРИСЕ АЛЕКСАНДРОВИЧЕ
Или Моисѣя великого нареку его, иже ветхаго законодавца, еже проведе израиля немокреными стопами сквозѣ Черьмное море?[50] Великий же кнзь Борисъ Александровичь новый есть Моисѣй человѣколюбивый, но и когожедо насъ преводя от убожества и от скорбнаго житиа въ свое радостное и Богомъ обѣтованное царство.	Или уподоблю его великому Моисею, законодателю древних, проведшему народ израильский неомоченными стопами чрез Красное море? Великий же князь Борис Александрович, новый Моисей человеколюбивый, каждого из нас привел от ничтожества и многотрудной жизни в свое радостное и Богом обетованное царство.
Или Иосифа его нареку, и егоже постави Богъ господина надо всѣмъ Егыптомъ? Но той толико пшеницею препиталъ градъ Егыпет,[51] и елико си новый намъ Иосифъ, великий князь Борисъ Александровичь но препиталъ есть многыя области и веси.	Или уподоблю его Иосифу, которого поставил Бог властителем над всем Египтом? Но тот пшеницею напитал так город Египет, как сей новый наш Иосиф, великий князь Борис Александрович, напитал многие местности и села.
Но и что тя нареку, великий князь Борисе Александрович и христолюбче! Но, воистину, еси другъ правдѣ и мыслу мѣсто, а милостыни гнѣздо. Шестословенъ еси именемъ, а седмотысещенъ еси смысломъ. Хвала еси и слава въ всѣхъ языцех седмьдесятых, еже на земли.	Кому же тебя уподоблю, великий князь Борис Александрович, христолюбец! Воистину ты — друг правды, вместилище разума, гнездо милосердия. В твоем имени только шесть букв, но семь тысяч раз велик твой разум. Хвала и слава ты среди всех семидесяти языков, сущих на земле.
И искахъ много и в толъкованныхъ и въ царствиихъ, не обрѣтохъ таковаго ни въ царѣхъ царя, ни въ князѣхъ князя, но якоже сего великого князя Бориса Александровича.	Много искал я в премудрых книгах и среди царств, но не нашел ни среди царей царя, ни среди князей князя, кто бы был подобен сему великому князю Борису Александровичу.
Но и что же реку, но не довлѣет ми вся лѣта живота моего тоя похвалы писати. Но занеже поучаетъ мя Григорей Богослов[52] глаголя: «Но никоеже добро можетъ величати человѣка, якоже любиваго доброта». Но еще же Иаковъ, братъ Божий,[53] учит ны: и иже кто слыша честь государя своего веселиться, тъй съвершенъ есть. Но, воистину, подобаетъ намъ веселитися, видѣвъ его честное княжение, великого князя Бориса Александровича, и много бо показуеться самовластно, покоривым бо от него честь, а непокоривым казнь.	И что бы я ни сказал, не хватит мне всей моей жизни, чтобы написать все похвалы; но поучает меня Григорий Богослов, говоря: «Никто не может так восхвалить человека, как любящий его». Еще же и Иаков, брат Божий, учит нас, говоря, что тот совершенен, кто радуется славе господина своего. И воистину подобает нам радоваться, видя его, великого князя Бориса Александровича, славное княжение, исполненное многого самовластия, ибо покоряющимся — от него честь, а непокоряющимся — казнь.
И мнози бо преже нас бывшю но желааху видѣти таковаго государя и яже мы видимъ, но не видѣша, но и слышати не сподобишася.	Многие, жившие прежде нас, желали видеть такого государя и все, что мы видим, но не увидели, и даже слышать не сподобились.
Но о Христе самодержавный государь, милосердуй о всѣх по обычаю доброму, и нашеа худости писаниа приими, но якоже оноя вдовици двѣ лѣпте,[54] на похваление твоея добродители. Но понеже, господине, от дѣлъ твоихъ притчу приведох ти. Но от днесь бо мнози боголюбци, сынове твѣрскии, въ слѣдъ тебе текутъ, но обретъше тя проводника, и якоже Моисий новыя израиль. Но и отселе ти пою пѣснь побѣдную, якоже и Мариамъ древле,[55] но и отвсюду себѣ честь и веселие привлачающи твоимъ здравиемъ. И еще же, господине и присный нашь государю, но надѣемься и мы не забытнии познани тобою быти, и жаждуще от тебе милости, и якоже и еленъ воды. Но и Богъ милости, и Отець щедроты, и любы единороднаго его Сына и пресвятого его и животворящаго Духа, и пречистии его Богоматери и да будетъ с великимъ ти господствомъ но вкупѣ и с любящими тя и с любимыми тобою, но буди покрываемъ и съхраняемъ от вышняго рукы нынѣ, и присно, и в вѣкы вѣкомъ. Аминь.[56]	О ты, самодержствующий во Христе государь, пекись обо всех по обычаю доброму, прими от нашего смирения писание, подобно двум лептам той вдовицы, на похвалу твоей добродетели. Ибо привел я, господин, здесь примеры дел твоих. Но теперь многие боголюбцы, сыновья тверской земли, идут вслед за тобой, видя в тебе праведника, как новый Израиль за Моисеем. И за это я, как в древности Мариам, пою тебе песнь победную, приобретая себе твоими заботами отовсюду честь и веселие. И еще, господин наш и государь наш навеки, имеем мы надежду не быть тобою забытыми, а быть приближенными к тебе, и жаждем твоей милости, как олень воды. И пусть Бог милости и Отец щедрот и любовь единородного его Сына, и пресвятого его животворящего Духа, и пречистой его Богоматери пребудет с великой твоей властью в соединении с любящими тебя и любимыми тобою, да будешь сохраняем и покрываем рукою всевышнего ныне, и присно, и во веки веков. Аминь.
Иже по благодати Божии даннаго намъ Исус Христомъ на утверждение земъли, и на крѣпость, и на устроение человѣчьскому роду, и якоже боголюбивымъ и богоугоднымъ, хощу вамъ внести Слово. Но и молю вы, да протягнете ми своя слухы и способьствуйте ми истиннѣ. Но понеже бо велику радость дарова Богъ человѣчьскому роду, и якоже бо неизмѣримая глубина точимъ беззавистии источникы воды, и источници пакы пущаютъ неудержимыя, и рѣкы проливающеся и всю землю напаяютъ. И земля творитъ плоды. Писано бо есть: «Глаголи въ уши слышащимъ».	О том, кто Божией благодатью дан нам Исусом Христом на укрепление (нашей) земли и на укрепление и на устроение человеческого рода, вам, как боголюбивым и богоугодным (христианам), хочу предложить я Слово. Однако прошу вас, приклоните уши ваши ко мне и чистосердечно помогите. Ибо великую радость даровал Бог человеческому роду, источая, как неизмеримая глубина, свободные источники вод, а источники сами испускают неудержимые (потоки), и реки, проливаясь, землю всю напояют. И земля родит плоды. Сказано: «Говори в уши слышащим».
Но хощу вам повѣдати повѣсть дивну о великомъ князѣ Борисе Александровиче, но и всяко бисера честнѣйши. Но и сотворите убо себѣ достойны бисеру приатиа, но послушайте истины. И нѣсть бо се, еже вамъ невѣдомо, но посреди вас преддержана стоитъ.	Хочу вам поведать я дивную повесть о великом князе Борисе Александровиче, более драгоценную, чем всякий жемчуг. Но сотворите и себя достойными воспринять жемчуг и узнайте истину. Речь ведь пойдет не о том, что вам неведомо, но о том, что среди вас возвышается.
И сий убо славноименитый, иже въ Христа благочестивый, и благородный, и Богомъ вѣнчаный, самодержавный и Богомъ възлюбленный и великий князь Борисъ Александровичь но всея державы тфѣрьскыя и еще сый из млада и добрѣ наказанъ бысть родители страху Божию, и Святая Писаниа добрѣ вѣдый, и имиже на всякъ день поучашеся и праотеческымъ тщаниемъ путемъ шествовати. Но понеже бо Царскый градъ Констянтиномъ хвалиться, а Кыевъ же Владимеромъ, а Тфѣрьская же земля, тѣхъ ублажающе, Михаилом хвалящеся,[57] но того бо ради Богъ не инъ коренъ въстави, но Михаиловъ, великого князя Бориса Александровича. Но и мнѣт ми ся, Богъ тамо преводя оного, а здѣ се предводитъ плодъ его. Но князь же великий Борисъ Александровичь, стяжая Констянтинову доблесть, а Владимерову вѣру, и Ярославово мужество, а Михаиловъ разумъ, и о человечьскои богобоязнество, но и надо всими же си миръ и святыню гоняще. И миръ убо реку, еже ко странамъ и в мирная всегда готовляяшеся, а святыню же, еже преже всего церкви Божии любляяше и о тыхъ попечениемъ сердце свое боляяше всегда. И еще же и всѣмъ доброприступенъ и от далече сущихъ близъ себе сътворяетъ.	Сей славноименитый, по-христиански благочестивый, благородный, Богом возлюбленный и Богом венчанный самодержавный великий князь всей тверской державы Борис Александрович еще измлада был хорошо воспитан родителями в страхе Божием и хорошо знал Святые Книги, по которым всякий день поучался шествовать путем праотеческого благочестия. И так как Царьград славен Константином, Киев — Владимиром, а Тверская земля, почитающая их обоих, Михаилом прославлена, то поэтому Бог вывел великого князя Бориса Александровича не от какого-то другого корня, но от Михайлова. И мнится мне, что Бог, направляя в том мире одного, направляет в этом мире и потомка его. Ибо великий князь Борис Александрович стяжал Константинову доблесть и Владимирову веру, Ярославово мужество и Михаилов разум, и еще, как всякий человек, — богобоязненность, но выше всего этого поставил мир и святость. Мир, говорю, потому что всегда стремился к миру со странами, а святость, потому что прежде всего любил церкви Божий и о них всегда болел сердцем своим. И еще — всем он доступен и издалека пришедших к себе приближает.
Но понеже въ дни Августа царя рожешуся Господу нашему Исусу Христу. И въ днии же благочестиваго великого князя Бориса Александровича многы церкви поставлены бысть и въ имя Господа нашего Исуса Христа, и иже просвѣщают всякого человека, грядущаго в миръ.[58] Августу бо власть приимъшу, но мъногыя власти престаша. А князю же великому Борису Александровичу власть приимше тфѣрскаго чиноначальства, гордыя съ власти сверже, а смиренныя на престолѣ со собою посади,[59] но и еще же и иныя власти, не покоряящаяся ему, но покорны сътвори.	Во времена царя Августа родился Господь наш Исус Христос. А во времена благочестивого великого князя Бориса Александровича поставлено было множество церквей во имя Господа нашего Исуса Христа, просвещающих всякого человека, грядущего в мир. И когда Август стал править, прекратилось правление многих других властителей. Так же и когда великий князь Борис Александрович принял правление над Тверью, отторг он гордых от правления, а смиренных посадил с собою рядом на престоле, а иных непокорных властителей покорными себе сотворил.
Но якоже бысть въ дни Авраама, егда бѣ плененъ бысть Лотъ, сынъ брата его, и погна Авраамъ въ слѣд ихъ до Дана с треми сты и 18, и порази ихъ, и отъятъ вся стада ихъ, и възврати сыновца своего.[60] И тако же бысть и въ дни великаго князя Бориса Александровича. И нѣкто от предѣлъ московскихъ, именемъ Колычевъ, и тъй прииде в силѣ тяжцѣ, хотя пленити сына брата его, князя Юрия Александровичя.[61] И сие же слышавъ князь великий Борисъ Александровичь, но якоже пленитъ Колычевъ сына брата его, и посла своихъ воеводъ крѣпчайшихъ. И биаша ихъ, и гнаша ихъ до Сижешкы, и еже есть ошуюю Ржевы.[62] И якоже бо онъ побѣди ошую у Дамаска, но тако же великий князь Борисъ Александровичь побѣди москвичь ошуюю Ржевы. И възврати вся стада ихъ и вся имениа ихъ обо с треми сты и 18, а воеводы же великого князя Бориса Александровичя — съ единымъ стомъ. И приведоша к великому князю Борису Алексанъдровичю боле 500 человѣкъ, кроме мертвыхъ и язвенныхъ. И иная же его мужества кто изочтетъ.	И как было во дни Авраама, когда пленен был Лот, сын брата его, и преследовал Авраам (пленивших Лота) до Дана с тремястами восемнадцатью (своими воинами), и победил их, и отнял все стада их, и вернул племянника своего, — так же было и во дни великого князя Бориса Александровича. Некто из московских пределов, именем Колычев, пришел в силе тяжкой, желая пленить сына брата его, князя Юрия Александровича. Услышав о том, что пленил Колычев сына брата его, великий князь Борис Александрович послал своих сильнейших воевод. И побили они (москвичей), и преследовали их до Сижешки, что находится слева у Ржева. И как тот победил слева у Дамаска, так и великий князь Борис Александрович победил москвичей слева у Ржева. И (тот) возвратил все стада их и имение с тремястами и восемнадцатью (воинами), а воеводы великого князя Бориса Александровича — с одной сотней. И привели к великому князю Борису Александровичу больше пятисот человек, не считая убитых и раненых. А прочие его мужественные деяния кто перечислит?
Но еще же созидаетъ церкви, и смышляетъ грады, и ихъже не лет хитрости ихъ никомуже глаголати, и веси строитъ. Но аще кто обиленъ будетъ человѣчьскою мудростию и ограждену имат душу мысльми человѣчьскыми, а чти и славы великого государя не повѣдаетъ, тъ ни въ чтоже вмѣниться мудрость его.	И еще он созидает церкви и основывает города, мудрого устройства которых ни у кого нет слов описать, и строит села. И какою бы кто ни был преисполнен человеческою мудростью и какую бы ни имел душу, укрепленную человеческим разумом, но если он не постигнет чести и славы великого государя, то ни к чему будет мудрость его.
Но и мнози у цвѣти разлѣчны, но единъ же держай цвѣты. Но и мнозии убо есть велицни князи, но не сутъ таци, но якоже государь нашь великий князь Борисъ Александровичь. И сей бо есть по Бозѣ нашему граду держава и утвержение.	Много есть цветов различных, но один среди них державный. Много есть великих князей, но нет такого, как государь наш великий князь Борис Александрович. И сей по милости Божией есть держава и опора нашему городу.
Но аще ли кто речетъ, но что же сиа лаская написахъ, то неси ли слышали прежних литописцевъ, но да коиждо ихъ величал своего царя? И тъ колми паче и мы должнии величати своего государя, великого князя Бориса Александровича, но сей бо есть нашего града похвала. И нѣсть ли чли писаннаго, и еже рече: «Бога бойтеся, а князя чтите»? И азъ же иного не имамъ чимъ чтити его, но развѣе пишу добрая его дѣяния. Но понеже обличает мя нѣкий ратай. И никогда бо Дионисию царю гонящю путемъ, и видѣв его ратай, и не имѣя чимъ царя почтити, но въскочивъ в рѣку, и почерпе воды обѣма рукама, и принесе царю. И царь же приа, и разсмѣяся, и въ честь ему вмѣни. Но и сами вѣсте, не мощно есть, рукама почерпши воды, даръ принести самодерьцю. Но царь приа за бодрость принесшаго и. И нѣсть ли слышали Павла, глаголюща: «И никтоже бо своего ищетъ, но дружняго».[63] Но аще ли другу си велитъ честь творити, но тои колма паче дожнии есмы государевы чести искатъ.	И если кто из вас скажет, что все это написал я из лести, то разве не слыхали вы о летописцах прежних времен, как каждый из них возвеличивал своего царя? Но сколь же более должны мы возвеличивать своего государя, великого князя Бориса Александровича, ведь он — слава нашего города. И разве не читали вы, что сказано: «Бога бойтесь, а князя чтите»? А я не имею ничего другого, чем бы мог почтить его, кроме как описанием добрых его деяний. Так служит мне укором некий землепашец. Ибо в некие времена, когда царь Дионисий шествовал путем своим, увидал его один землепашец, и не имея ничего, чем бы можно было почтить царя, бросился в реку, почерпнул обеими руками воды и принес царю. И царь принял, и улыбнулся, и поставил ему это в заслугу. Сами понимаете, — нельзя, почерпнув руками воды, дар принести самодержцу. Но царь принял дар ради усердия того, кто принес его. И разве не слыхали вы, как Павел говорит: «Никто не ищи своего, но каждый пользы ближнего»? И если ближнему полагается честь творить, то сколь более нам полагается искать, чем почтить государя своего.
Но дивлюся вашей любьви! Тъи почто не писасте преже мене о таковомъ государи, но съй бо есть земъли вашей честь? Но и о томъ не творю вас виноватыхъ, ни укоряю вас и еже вы не писасте. Но понеже бо коиждо васъ жену иматъ, а инъ дѣти питаетъ, и инъ о дому печеться, а инии въ въинствѣ ходятъ, но и коижедо вас на поручную службу отходитъ. Но и о семь не хулны естѣ, но хвалими. Но понеже бо мы ни дѣтей имѣемъ, ни домовъ, ни полат, но то есть наше дѣло, иже писати честь государя нашего великого князя Бориса Александровича. И того бо ради почтени быхомъ от него, и якоже хотимъ слово имѣти и слова желати. И иже аще ли человѣкъ слова не желаетъ, но тъи паче безсловеснаго скота.	И дивлюсь любви вашей! Почему до меня не писали о таковом государе, что является славой вашей земли? Впрочем, в том не виню вас, не укоряю, что не писали. Ибо каждый из вас имеет жену, а кто и детей воспитывает, один о хозяйстве печется, а другие в воинстве ходят, и всякий из вас отправляется на порученную ему службу. И за то не хула вам, а хвала. Ну, а мы ни детей не имеем, ни домов, ни палат, и потому это наше дело — писать о славе государя нашего, великого князя Бориса Александровича. Потому и в чести ходим у него, что печемся о слове. Ибо тот человек, который не печется о слове, хуже бессловесного скота.
Но должникъ бо есмь, тъ сладцѣ отдаю долгъ, ни бо нищету приносит, но богатство ми приноситъ. Но понеже словесное убожество то богатство ражаетъ. Но и слово аще ли отдамъ, и тои вси имате его, и съ всѣми вами плодъ принесутъ.	И так как я — должник, то с радостью отдаю долг, не нищету мне это приносит, но богатство. Ведь отданное слово рождает это богатство. Ибо если я отдам слово, то оно будет принадлежать всем вам, и все вместе мы обретем прибыток.
И сия же азъ написахъ не к вамъ, но вы бо добрѣ вѣдаете его и извѣстно знаете его, таковаго государя, и иже в земляхъ пресловущаго. Но вы бо моего писаниа не требуете, но понеже бо есте всегда с нимъ. Но написахъ сиа новорожнымъ младенцемъ, но да и тии нѣкогда възрастутъ, и възмужаютъ, и доидутъ в мѣру мужъства своего, и достигнут в разумъ свершенъ, и другъ другу почетше наше писание, и възвѣстятъ княжение великого князя Бориса Александровича. Но якоже и въ Писании речеся: «Въспроси отца своего, и възвѣстит ти, и старци твои рекут тебѣ, елико видѣша и слышаша».[64]	Но все это написал я не для вас, ибо вы хорошо знаете его и ведаете, что он — государь, знаменитый в разных странах. И вам не требуется мое писание, ибо вы всегда находитесь с ним рядом. Я написал это для новорожденных младенцев, чтобы и те, когда повзрослеют, и возмужают, и достигнут зрелости, и обретут совершенный разум, прочли друг другу наше писание и рассказали о княжении великого князя Бориса Александровича. Ведь как сказано в Писании: «Вопроси отца своего, и возвестит тебе, и старцы твои рекут тебе, что видели и слышали».
О ТОМЪ ЖЕ ВЕЛИКОМЪ КНЯЗѣ БОРИСѣ АЛЕКСАНЪДРОВИЧЕ	О ТОМ ЖЕ ВЕЛИКОМ КНЯЗЕ БОРИСЕ АЛЕКСАНДРОВИЧЕ
Милость Божию, и человѣколюбиемъ Господа нашего Исуса Христа, и благодать Святого Духа, дарованную обилно, сказаю вамъ, братие, сынове рода тферскаго, и причастници трапезе великого князя Бориса Александровича, велико и ветхо съкровище и неудобъ знаемо человѣкы, но обаче дивъству и радости откровение, добро и силно богатство, но еще же и неоскудѣваему, ближнимъ и далнымъ велици дарове даеми. Но славенъ зѣло и честенъ и истинный строитель Богомъ спасенаго града Тфѣри самодержавный государь великий князь Борисъ Александровичь. Но, воистинну, царьскаа ядь, и от негоже мнози препитаеми бываютъ. И понеже не от своего произволениа хотимъ сказати, но от многа мало нѣчто о великомъ томъ государѣ и от дѣлъ того государя. Якоже бо ритори и философи, си рече и лѣтописци но велми прикланяютъ своя слухи о бывшихъ межи царей ратий ополчениа и вельми слушаютъ, но и да кождо възвеличитъ своего государя, мужесътвовавша крѣпко, но и колми паче есть намъ лѣпно похвалити своего государя, великого князя Бориса Александровича. Но понеже вдохну в него Богъ мысль благу, и еже наполняти миру отець своихъ. Но не токмо наполни, но и усугуби, но ревнуя по своемъ праотцѣ, великомъ князе Борисе Александровиче.[65] Но си бо преже его благодатию Божиею но вся благая о Бозѣ дѣлааше. Но тако же и сий великий, естественый, изрядный в добродѣтелѣхъ великий князь Борисъ Александровичь но тая же дѣла дѣлааше, еже о Бозѣ. И въ Книгахъ писано есть, и иже сынъ не можетъ творити, и аще ли не видитъ отца творяща. Но сий же великий князь Борисъ, и еже что видѣ у праотець своихъ, и то все творяше, но еще и наполъняяше, но пребываетъ выше власти.	Милость Божию, и человеколюбие Господа нашего Исуса Христа, и благодать Святого Духа, дарованную обильно, поведаю вам, братья, сыновья рода тверского и причастники трапезы великого князя Бориса Александровича, великое и старинное сокровище, недоступное пониманию людей, но удивляющее и радующее (их) откровение, обильное, знатное и неоскудевающее богатство, подающее ближним и дальним великие дары. Достоин славы и чести истинный правитель Богом спасаемого города Твери самодержавный государь, великий князь Борис Александрович. Воистину, он сам — царская трапеза, от которого насыщаются многие. И мы будем говорить не свои измышления, но из многого малое скажем о великом том государе и его делах. Ибо если риторы и философы, а также и летописцы весьма усердно приклоняют слух (к известиям) о бывших между царями битвах и весьма (усердно) слушают, чтобы каждому возвеличить своего государя, смело сражавшегося, то сколь более достойно нам прославить своего государя, великого князя Бориса Александровича. Ибо вдохнул в него Бог мысль благую — исполнить меру отцов своих. И не только исполнил, но и усугубил ее, ревнуя своему праотцу, великому князю Борису Александровичу. Сей прежде него благодатью Божией творил всяческие благие дела по милости Божией. Так же и сей великий, и изрядный в добродетелях прирожденный великий князь Борис Александрович такие же дела творил по милости Божией. Ведь и в Книгах записано, что сын не может делать (того), (чего) не видит делающим отца. А сей великий князь Борис, что видел у праотцев своих, то все делал, да еще с избытком, превосходя могущество (предков своих).
Но кто ли его исповѣдати можетъ строениа! Но смышляетъ грады, и строитъ монастыри, а дѣлаетъ веси, но всяко художьство и хитрость управляетъ. Но еще же чресъ предѣлы и книгами гораздъ и х комуже хощетъ, к тому бесѣдуетъ, и никтоже отвѣщати ему можетъ, но всѣми владѣетъ. И всѣх питаетъ, но и всѣхъ даруетъ, и от всѣхъ дары приемлетъ. Но того бо ради сугуба радость бываетъ всѣмъ крестианомъ и веселие неизреченное. Но и вси людие радостию ликоствуютъ, видяще Богомъ спасеный градъ Тфѣрь добрѣ стоитъ и красящеся великимъ княземь Борисомъ Александровичемъ.	И кто может описать его дела! Замышляет строительство городов и строит монастыри, возводит деревни и руководит всяким ремеслом и художеством. И при этом беспредельно сведущ в книгах и с кем захочет — с каждым может вести беседу, и никто не может с ним спорить, но всех переубеждает. И всех насыщает, и всех одаряет, и от всех дары приемлет. И через все это бывает сугубая радость и веселье несказанное всем христианам. И все люди радостно ликуют, видя, как славно стоит и красуется великим князем Борисом Александровичем богоспасаемый город Тверь.
И ни что же о немъ начнемъ глаголати, от ниска но и до высока доидемъ. И понеже от праотечества его начати, но даже до днесь. Но праотци бо великого князя Бориса Александровича преже его великиа манастыри съградиша и множество мниховъ совокупиша, но и, еще же и выши того, грады содѣяша нѣкиа.	И что бы мы ни стали о нем говорить, (всегда), начав с малого, дойдем до великого. Ибо, если с праотцев его начнем, (все равно дойдем) до нынешних дней. Ведь праотцы великого князя Бориса Александровича раньше него создали великие монастыри и собрали множество монахов и, больше того, построили разные города.
Но отселе же начнемъ глаголати строение великого князя Ивана Михайловича.[66] И съй убо устрои манастырь близу Богомъ спасенаго града Тфѣри на рѣцѣ Тмацѣ и нарѣкова церковъ 3-ю святители,[67] молебници Спасу, но якоже столпи твердии и непоколебими моляться неотступно Христу за православныи князи и за все христианство. А князь же великий Александръ Ивановичь[68] и иный манастырь устрои на рѣцѣ Перемере и нарече Благовещение пресвятыя Богородици,[69] но еже есть начатокъ спасению.	Отсюда начнем говорить о строительстве великого князя Ивана Михайловича. Сей устроил монастырь близ Богом спасаемого города Твери на реке Тьмаке и назвал церковь в честь Трех святителей, спасителевых богомольцев, твердых и непоколебимых столпов, которые неотступно молятся Христу за православных князей и за все христианство. А великий князь Александр Иванович другой монастырь создал, на реке Перемере, и назвал (в честь) Благовещения пресвятой Богородицы, которое есть начало спасению.
А князь же великий Борисъ Александровичь, ревнуя праотцемъ своимъ, и устрои манастырь на рѣцѣ Въръщинѣ и нарѣковахъ церковь самого творьца, начатку тому спасеному, Господа нашего Исуса Христа, но и еже ему на небеса Възнесению.[70] Но и от сего же разумѣйтѣ, яко от ниска начахом и до высока доидохомъ. Но понеже князь великий Иванъ Михайловичь устроилъ церковь молебници, ходатайци о нашемъ спасении, а князь же великий Борис Александровичь но вышша того устрои церковь избавление и оцѣщение еже от грѣхъ и на небеса въсшествие, но радость, и утѣшение, и обѣщание о послании Святого Духа, еже и бысть. Но къто сихъ премудрие явиться! Онъ бо устрои мание, а другий же начаток спасению, а съи иже въ совершение дѣла приидеть, но устрои церьковь избавление от грѣхъ и обѣщание о радости, еже и бысть.	Великий же князь Борис Александрович, соревнуясь со своими праотцами, устроил монастырь на реке Ворщине и назвал церковь в честь самого творца и совершителя того спасения, Господа нашего Исуса Христа, в честь его на небеса Вознесения. И по сему убедитесь, что, начав с малого, дошли мы до великого. Ведь великий князь Иван Михайлович создал церковь в честь богомольцев и ходатаев о нашем спасении, а великий князь Борис Александрович — больше того: создал церковь в честь избавления и очищения от грехов и на небеса восшествия, в честь радости и утешения, и обещания о ниспослании Святого Духа, что и сбылось. Кто же из них более премудр? Один устроил предвестие спасения, другой — начало спасения, а сей завершил дело, построив церковь в честь избавления от грехов и обетования (совершенной) радости, что и сбылось.
