ЖИТЬЕ И ХОЖЕНЬЕ ДАНИЛА РУСЬСКЫЯ ЗЕМЛИ ИГУМЕНА	ЖИТИЕ И ХОЖДЕНИЕ ИГУМЕНА ДАНИИЛА ИЗ РУССКОЙ ЗЕМЛИ
Есть же церковь та Въскресение образомъ кругла, всямокачна: и в длѣ и въ преки имать же сажень 30. Суть же в ней полати пространьны, и тамо горѣ живет патриархъ. И есть же отъ дверей Гробных до стены великого олтаря саженъ 12. Ту есть внъ стѣны за олтаремъ Пупъ земли,[58] и создана над нимъ комарка, и горѣ написан Христос мусию, и глаголеть грамота: «Се пядию моею измѣрих небо и землю».	Церковь же Воскресения по форме круглая, а в длину и в ширину равно имеет тридцать саженей. В ней устроены просторные помещения, и там наверху живет патриарх. Расстояние же от дверей Гроба до стены великого алтаря двенадцать саженей. Здесь же, за стеной, вне алтаря, находится Пуп земли; над ним сделан свод, и сверху мозаикой изображен Христос, и надпись гласит: «Вот пядью моей я измерил небо и землю».
О МѢСТѢ СРЕДИ ЗЕМЛЯ, ИДѢЖѢ РАСПЯТЬСЯ ХРИСТОС	О МЕСТЕ СРЕДИ ЗЕМЛИ, ГДЕ БЫЛ РАСПЯТ ХРИСТОС
А отъ Пупа земнаго до Распятия Господня[59] и до Края[60] есть саженъ 12. Есть же Распятие Господне къ встоку лиць, есть же на камени, высоко было, яко стружия выше. Камень же тый был круголъ, яко горка мала. А посреди камени того, на самом врьху, высѣчена есть скважня лакти воглубле, а вширѣ мний пяди кругъ; и ту был въдруженъ крестъ Господень. Исподи же под тѣмъ каменемь лежить прьвозданаго Адама глава.[61] И в распятие Господне, егда на крестѣ Господь нашь Исус Христос предасть духъ свой, и тогда раздрася церковная катапетазма, и камение распадеся; тогда же и тъ камень просѣдеся над главою Адамлею, и тою разсѣлиною сниде кровь и вода изъ ребръ Владычень на главу Адамову и омы вся грѣхы рода человѣча. И есть разсѣлина та на камени том и до днешняго дне. Знати есть на деснѣй странѣ Распятиа Господня знамение то честное.	А от Пупа земного до Распятия Господня и до Края двенадцать саженей. Распятие Господне находится с восточной стороны на камне, оно было высоко, выше копья. Камень же тот был круглый, вроде маленькой горки. А посреди того камня, на самом верху, высечена скважина локтя два глубиной, в ширину меньше пяди, круглая, тут был водружен крест Господен. В земле же под этим камнем лежит голова первозданного Адама. А во время распятия Господня, когда Господь наш Иисус Христос предал свой дух на кресте, тогда разорвалась церковная завеса, и камень тогда же распался; и разошелся тот камень над головой Адама; и через ту расселину кровь и вода из ребер Владыки сошли на голову Адама и омыли все грехи рода человеческого. И есть расселина эта на камне том и до сегодняшнего дня. С правой стороны Распятия Господня можно видеть знамение то честное.
О МѢСТѢ ЛОБНѢМ	О ЛОБНОМ МЕСТЕ
Есть Распятие Господне и камен-ет святый озданъ стѣною все. Горѣ над распятиемъ создана комара хитро, исписана мусиею дивно. И от встока лиць на стѣнѣ написано есть мусиею — Христос на крестѣ распят — хитро и дивно, прям яко живъ, и вболѣ и възвыше, якоже был тогда. А полудне лиць написано есть снятие такоже дивно. Двери же имат двои. Възлѣсти же есть горѣ по степенемь: до дверей 7 степеней, а въ двери вшед 7 степеней. Помощено же есть мраморными дъсками красными.	Распятие Господне и тот святой камень кругом обнесены стеной. Сверху над Распятием создан замысловатый свод, чудесно украшенный мозаикой. И с восточной стороны на стене мозаикой изображен Христос, на кресте распятый, искусно и удивительно, прямо как живой, и по величине и в высоту — каким был тогда. А с южной стороны написано снятие со креста, так же чудесно. Дверей же две. Входить надо вверх по ступенькам: до дверей семь ступеней, и в двери войдя семь ступеней. Пол вымощен красными мраморными плитами.
Споди же под Распятиемъ, идѣже есть глава, такоже приздано есть яко церквица мала, и красно исписана есть мусиею и помощена есть красным мрамором. Да то зовется Крайниево мѣсто, еже есть Лобное мѣсто. А горѣ, идѣже есть Распятие,— то зоветь Голгофа. А отъ Распятия Господня до Снятия есть сажень 5. И ту есть у Распятия Господня близь мѣсто къ полунощию лиц, идѣже раздѣлиша ризы его.[62] И ту другое мѣсто, идеже възложиша вѣнець трьновъ на главу Господню и в багряницу поругания облекоша.[63]	Снизу под Распятием, где лежит голова Адама, тоже пристроена как бы церковка маленькая, красиво украшенная мозаикой и вымощенная красным мрамором. Это и называется Краниево место, что значит Лобное место. А выше, где Распятие, — то зовется Голгофой. А от Распятия Господня до Снятия Господня расстояние пять саженей. И есть там, близко от Распятия Господня, место с северной стороны, где разделили ризы его. Там и другое место, где возложили венец терновый на голову Господа и в багряницу поругания облекли его.
О ЖЕРТВЕНИЦѢ АВРАМОВѢ	О ЖЕРТВЕННИКЕ АВРААМА
И ту есть близ жрьтвенник Авраамовъ, идеже положи жрьтву Богови Авраамъ и закла овенъ въ Исаака мѣсто.[64] На то же бо мѣсто възведен бысть Исаакъ, идеже Христосъ възведен бысть на жертву и закланъ бысть нас ради грѣшных.[65] А оттолѣ есть близь мѣсто, яко двою сажень далее, идеже заушен бысть Христос Богъ нашь. А оттолѣ есть далѣе 10 сажень святая Темница, идеже всаженъ бысть Христос, и ту посидѣл мало, дондеже приспѣють июдѣи и поставять крестъ, да распнуть и. И та святаа мѣста вся под одиным покровом суть, по ряду вся к полунощию лиць. А отъ Темници Христовы до мѣста, идеже святаа Елена налѣзла честный крестъ, гвоздия, и вѣнець, и копие, и губу, и трость, есть сажень 20 и 5. Есть же Гроб Господень, и Распятие, и та святаа мѣста вся на удолнѣмъ мѣстѣ суть; и есть вгорие от запад лиць над Гробом и над Распятием.	И там поблизости находится жертвенник Авраамов, где Авраам положил жертву Богу и заклал барана вместо Исаака. Ведь Исаак был возведен на то самое место, куда возведен был Христос закланным быть нас ради, грешных. А оттуда близко место — примерно на две сажени дальше — где заушен был Христос Бог наш. А дальше через десять саженей — святая Темница, куда был посажен Христос и где посидел немного, пока иудеи успеют поставить крест, чтобы его распять. Все же эти святые места находятся под одним покрытием, все стоят в ряд по направлению к югу. И от Темницы Христовой до места, где святая Елена нашла честной крест, гвозди, венец, копье, губку и трость, саженей двадцать пять. Гроб Господен, Распятие и все эти святые места расположены на ровном месте; взгорье же подымается над Гробом и над Распятием с западной стороны.
И ту есть мѣсто на пригории; на то мѣсто притече скоро святая Богородица. Тщаше бо ся, текущи вслѣд Христа, и глаголаше, в болѣзни сердца своего слезящи: «Камо идеши, чадо мое? Что ради течение се скорое твориши? Еда другий бракъ в Кана Галилеи,[66] да тамо тщишися, сыну и Боже мой? Не молча отъиди мене, рожшаа тя, дажь ми слово, рабѣ своей».[67] И пришедше на мѣсто то святаа Богородица, и узрѣ с горы тоя сына своего распинаема на крестѣ, и видѣвши, ужасеся, и согнуся, и сѣде, печалию и рыданиемъ одръжима бѣаше. И зде събысться пророчество Симеоне, яко прежь рече святѣй Богородици: «И се лежит на встание и на падение многим въ Израили, и тебѣ же самой оружие душу проидет, егда же узриши сына своего закалаема».[68] Ту же стояху мнози на мѣстѣ том, друзи и знаниа его, издалеча зряще. Мария Магдалыни и Мария Ияковля и Саломии,— идѣже стояху вси, иже от Галилея пришедше и съ Ианном и съ материю Исусовою. Стояху же вси знаемии друзи Исусови, зряще издалеча, якоже пророкъ глаголеть о том: «Друзи же мои и ближники моя издалеча мене сташа».[69] И то мѣсто есть подаль от Распятия Христова, яко полутораста сажень есть на запад лиць мѣсто то от Распятия Христова. Имя мѣсту тому Спудий,[70] иже ся протолкуеть Тщание Богородично. И есть на мѣстѣ томъ нынѣ манастырь, церкви Святаа Богородица клѣтьски верхъ въсперенъ.	И есть там на склоне место, на которое прибежала святая Богородица. Она торопилась следом за Христом и говорила в болезни сердца своего сквозь слезы: «Куда идешь ты, дитя мое? Чего ради движение твое так быстро? Или снова брак в Кане Галилейской, и туда торопишься, сын и Бог мой? Молча не уходи от меня, родившей тебя, промолви мне слово, рабе своей». И придя на то место, святая Богородица увидела с горы той сына своего, распинаемого на кресте, и, видев, ужаснулась, и согнулась, и села, одержимая печалью и рыданием. И здесь сбылось пророчество Симеона, как он прежде сказал святой Богородице: «Этот лежит на востание и на падение многим в Израиле. И тебе же самой оружие душу пронзит, когда увидишь сына своего, убиваемого». Тут же стояли многие, на месте том, друзья и знавшие его, издали смотря: Мария Магдалина, и Мария Иаковля, и Саломия, — где стояли все из Галилеи пришедшие с Иоанном и с матерью Иисусовой. Стояли же все знакомые и друзья Иисуса, смотря издали, как пророк говорит о том: «Друзья же мои и близкие мои вдали от меня стали». И расположено то место поодаль от Распятия Христова; примерно полтораста саженей на запад это место от Распятия Христова. Называется то место Спудий, что переводится как «Поспешание Богородицы». А ныне на том месте стоит монастырь и церковь Святой Богородицы с поднятым клетью верхом.
О СТОЛПѢ ДАВЫДОВѢ	О СТОЛПЕ ДАВИДА
А оттуда есть до столпа Давыдова и до дому 200 сажень. Столпъ же то есть святаго пророка Давыда; ту есть и дом его был. В том столпѣ Давыд пророкъ и Псалтырю сставил и написал. Дивен есть столпъ тъ, великим камениемъ сдѣлан высоко вельми, на 4 углы созданъ, и весь есть черствъ и днероден; и камень уродился. Посредѣ его воды в немъ многи. Двери же имать 5-ры желѣзны и степеней имать 200, по нима же взити горѣ. И жита в нем бес числа лежитъ. И есть много твердъ ко взятию, и то есть глава всему граду тому; и блюдуть его велми и не дадять влѣсти никомуже во нь лапь. Мнѣ же, худому, недостойному, пригоди Богъ в столп-от святый, одва могох ввести с собою единого Издеслава.[71]	А оттуда до столпа Давидова и до дома двести саженей. Столп этот святого пророка Давида; тут же и дом его был. В том столпе пророк Давид составил и написал Псалтырь. Чудесен этот столп, из больших камней сложен, очень высок, сделан о четырех углах, и весь крепок и прочен, и камень отборный. Внутри в нем воды много. Дверей же у него пять железных, а ступеней двести, по которым поднимаются наверх. И зерна в нем бесчисленное множество лежит. Очень он труден для взятия и главенствует над всем тем городом, и охраняют его очень, и не дают никому войти в него просто так. Мне же, дурному и недостойному, дал Бог возможность войти в тот святой столп; с собой я смог ввести одного только Изяслава.
О ДОМУ УРИЕВѢ	О ДОМЕ УРИИ
А от столпа того близь был домъ Уриевъ, егоже Урию уби Давыд и поя жену его, видѣвъ ю мыющюся в бани.[72] И ту есть новѣ метохия Святаго Савы,[73] и есть же близь от столпа, яко можеть доверечи. Есть знати, гдѣ же была баня та до днесь: есть же, идеже святаа Елена крестъ честный налѣзла, близ Распятиа Господня къ встоку лиць сажень 20 вдалѣе. И ту есть была на мѣстѣ том церкви создана клѣтски велика велми, нынѣ же мала церквица. Ту суть двери великия къ встоку лиць: к тѣмъ дверем прииде святаа Мария Египтянына, и хотѣ влѣсти; и цѣловати хотѣ, и не впусти ея сила Святаго Духа в церковь. И потом помолися святѣй Богородицѣ, то бо стоаше икона Святая Богородица въ притворѣ том, близь дверий тѣх, и потомъ возможе ити въ церковь и цѣловати честный крестъ.[74] Тѣми же пакы дверми изыдохъ въ пустыну Иорданскую.	А от столпа того близко был дом Урии — того Урии, которого убил Давид и взял жену его, увидев ее моющейся в бане. Там сейчас метох монастыря святого Саввы; близко он от столпа, можно до него добросить. А где баня та была, известно доныне: от того места, где святая Елена нашла честной крест — вблизи Распятия Господня — двенадцать саженей на восток. Здесь, на том месте, была построена клетская церковь очень большая, а теперь — маленькая церковка. Там стоят большие двери, обращенные на восток: к тем дверям пришла святая Мария Египетская, и хотела войти в церковь, и хотела поцеловать крест, но не впустила ее сила Святого Духа. И тогда она помолилась святой Богородице, ибо здесь, в притворе у этих дверей, стояла икона святой Богородицы, и после этого смогла войти и целовать честной крест. Этими же дверьми вышла она потом в пустыню Иорданскую.
А отъ тѣхъ дверей близь мѣсто, идѣже искуси святаа Елена крестъ Господень честный, абие вста мертваа дѣвица.[75] А оттуду есть, поидучи мало ко востоку лиць, Притории, идѣже воини приведоша Христа къ Пилату. И ту руцѣ свои умывъ Пилатъ и рече: «Чистъ есть отъ крове сего праведника». И бивъ Исуса и предасть июдеомъ.[76] Тужь есть темница июдейска; ис тоя темници изведе ангелъ святаго апостола Петра в нощи.[77] И то есть былъ дворъ Июдинъ, предателя Христова. Есть пусто и нынѣ дворище то проклятое: никтоже не смѣетъ на мѣстѣ томъ сѣсти клятвы ради. А оттуда мало придучи ко встоку лиць, есть мѣсто, идѣже Христось кровоточивую исцѣли.[78] И ту есть ровъ близь, идѣже вверженъ бысть Еремиа пророкъ,[79] ту и домъ его былъ. Тужь и Павла апостола дворъ был прежь, егда бяше вх жидовствѣ. А оттуды мало поидучи ко востоку лиць, уступить мало съ того пути: ту есть домъ был святаго Иоакима и Анны.[80]	А от тех дверей близко место, где святая Елена проверяла крест Господен честной: тотчас встала мертвая дева. А если оттуда пойти немного к востоку — Претория, куда воины привели Христа к Пилату. И здесь, руки свои умыв, Пилат и сказал: «Чист я от крови этого праведника». И, бив Иисуса, передал его иудеям. Тут находится темница иудейская; из этой темницы ангел вывел святого апостола Петра среди ночи. И тут же был двор Иуды, предателя Христова. Стоит пустым и ныне дворище то проклятое: никто не смеет на месте том поселиться из-за проклятия. А если оттуда немного пойти к востоку, будет место, где Христос кровоточивую исцелил. И тут поблизости ров, куда брошен был Иеремия-пророк; там и дом его был. Там же и Павла-апостола двор был прежде, когда он был в иудействе. А если оттуда немного пойти к востоку и чуть сойти с той дороги, то там есть дом, который принадлежал святому Иоакиму и Анне.
Ту есть печера мало исподи подъ олтаремъ въ камени: въ той печерѣ родилася святая Богородица, въ тойже печерѣ есть гроб святаго Акима и Анны.	Там есть пещера немного ниже алтаря, в камне: в той пещере родилась святая Богородица; в той же пещере находится гроб святого Акима и Анны.
О ОВЧИИ КУПѢЛИ	ОБ ОВЧЕЙ КУПЕЛИ
А оттуду есть близь приторъ Соломонь, идѣже есть Овча купѣль, идѣже Христосъ разслабленного исцѣли.[81] И есть мѣсто то къ западу лиць о Акима и Анны, близь яко довержет человѣк. Оттуду на востокъ лиць близъ суть ворота городнаа, теми вороты исходятъ къ Гепсимании.[82]	А оттуда близок притвор Соломонов, где Овчая купель, где Христос расслабленного исцелил. Место то к западу от Акима и Анны, — ближе, чем может бросить человек. Оттуда на восток близко ворота городские; теми воротами выходят, идя к Гефсимании.
О ЦЕРКВИ СВЯТАА СВЯТЫХ	О ЦЕРКВИ СВЯТАЯ СВЯТЫХ
А отъ Въскресениа Христова до Святаа Святыхъ есть вдалѣе яко дважди дострѣлити можеть. Есть церкви Святаа Святых дивно и хитро создана моисиею издну, и красота ея несказанна есть. Кругла образом создана; извну написана хитро и несказанна; стѣны ей избьены дъсками мраморными другаго мрамора; и помощена есть красно мраморными дъсками. Столпов же имать под верхом, кругом стоящих, облых 12, а зданых столповъ 8, двери же имат 4-рь; мѣдию позлащеною покованы суть двери ты. И връх исписанъ издну мусеию хитро и несказанно, а звну врьхъ побиенъ есть былъ мѣдию позлащеною. Под верхом же тѣм самѣм есть пещера, в камени изсѣчена, и в той пещерѣ убиенъ есть Захария пророкъ;[83] туже и гробъ его был, и кровь его ту же есть была, нынѣ же нѣсть ту. И есть ту камень внѣ пещеры тоя под верхом же, и на том камени Ияковъ сон видѣл: и се лѣствиця бяше до небеси и аггели Божии всхожаху и низъхожаху по ней. И ту бралься съ аггелом Ияковъ, и вста от сна Ияковъ, и рече: «Се мѣсто домъ Божий, и се врата небеснаа суть».[84] И на том же камени пророкъ Давыдъ видѣ аггела, стояща съ оружием нагим и сѣкуща люди Израилевы, и влѣзъ в ту же пещеру плакаше, моляся Богу, и рече: «Господи, не овца согрѣшиша, но азъ согрѣших».[85] Есть же церкви та всямокачна, сажень 30 и в преки, и в длѣ; всходы же 4-ри. Ветхая же церкви Святая Святыхъ рена есть, и нѣсть ничтоже от прьваго здания Соломоня знати, и токмо знати насопъ церковный, еже Давыдъ пророкъ начал здати. И печера та днѣ въ церкви и камен-еть, иже то есть под врьхом, то есть ветхаго здания толко. А сиа церкви нынѣшняя создана есть от старѣйшины страциньскаго именемъ Аморъ.[86]	А от Воскресения Христова до Святая Святых расстояние подальше, чем можно два раза дострелить. Церковь Святая Святых чудесно и искусно построена, украшена изнутри мозаикой, и красота ее непередаваема словами. Построена она круглой по форме, снаружи расписана изображениями искусно и несказанно, стены ее облицованы мраморными плитами другого мрамора; и вымощена она красиво мраморными плитами. Столпов же в ней под крышей, кругом стоящих, круглых цельных двенадцать, а квадратных сложенных столпов восемь. Дверей же у нее четыре; окованы позолоченной медью те двери. И купол покрыт изнутри мозаикой искусно и непередаваемо в словах, а снаружи, сверху, был обит позолоченной медью. Под самым же куполом тем — высеченная в камне пещера, а в пещере той был убит Захария-пророк, тут же был он и погребен, и кровь его тут была, теперь же ее здесь нет. И есть там вне той пещеры под куполом же камень, на котором Иаков видел сон: лестница, достигающая неба, а ангелы Божий восходят по ней и нисходят. Здесь же боролся Иаков с ангелом; встал от сна Иаков и сказал: «Это место — дом Божий, и это — врата небесные». На том же месте и пророк Давид видел ангела, стоящего с обнаженным оружием и поражающего людей Израилевых, и он вошел в ту пещеру с плачем, молясь Богу, и сказал: «Господи, не овцы согрешили, но я согрешил». Церковь же та тридцать саженей равно вдоль и поперек; входов же у нее четыре. Старая же церковь Святая Святых разрушена, и ничего не осталось от первого здания Соломонова, что можно видеть, и только видна насыпь под церковь, что начал делать пророк Давид. И пещера та теперь в церкви, и камень тот; это теперь под крышей, и это все, что осталось от старого здания. А эта нынешняя церковь построена старейшиной сарацинским по имени Амор.
О ДОМУ СОЛОМОНѢ	О ДОМЕ СОЛОМОНА
Туже был домъ Соломонь, и силно было здание его, и велико велми, и зѣло красно. Мощенъ был весь мраморными дъсками и есть на комарах утверженъ, и воды исполнен весь дом-отъ был. Храми же создани были красни зѣло, и хитро мусиею украшено изрядно и столпи мраморяни драгаго мрамора и красно поставлени стоят по ряду; и комары на столпѣх тѣхъ создани суть хитро, и покрыт оловом весь. И ту суть врата дому того, красно зѣло и хитро покрыта оловом, мусею исписана и покована мѣдию позлащеною. И та врата зовуться Красная, идеже Петръ и Иоаннъ исцѣлиста хромца одного,[87] и есть мѣсто то у врат тѣхъ и донынѣ.	Там же был дом Соломона. Крепким было это здание, велико весьма и очень красиво. Весь он был вымощен мраморными плитами, утвержден на сводах, и весь дом был снабжен водой. Были сделаны прекрасные помещения и искусно украшены мозаикой, и мраморные столпы из дорогого мрамора были красиво поставлены в ряд, а на тех столпах искусно возведены своды, и весь дом был покрыт оловом. Там есть ворота того дома, очень красиво и искусно облицованные оловом, покрытые мозаикой и окованные позолоченной медью. А называются те ворота Красные, где Петр и Иоанн исцелили одного хромого. И доныне известно место это у тех ворот.
А иныя врата суть троя кромѣ тѣх, а 5-я врата суть Апостольская. Та бо врата Давыдъ пророкъ създалъ есть. Твердо и дивно хитростию врата суть сдѣлана: мѣдию позлащеною покована была издну, исписана хитро была по мѣди, а извну желѣзы поковна была твордо. И суть 4-ры двери у вратъ тѣх. И та бо суть врата осталася толко ветхаго здания, ти и столпъ Давыдовъ, а ино здание все ново есть. Ветхий бо град Иерусалимъ разоренъ есть весь не единою. И тѣми враты вшелъ есть Христос в Иерусалимъ от Вифаниа с Лазаремъ, егда въскресилъ Лазаря Христос.[88] Вифаниа на всток лиць противу Елеоньстѣй горѣ. И есть отъ тѣх вратъ до церкви Святаа Святыхъ сажень 100 и 50.	И трое других ворот есть, кроме тех, а пятые ворота — Апостольские. Те ворота построил пророк Давид. Крепко и удивительно искусно сделаны ворота: они были окованы изнутри позолоченной медью и искусно расписаны по меди, а снаружи крепко окованы железом. Четверо дверей у тех ворот. Только те ворота и остались от древних строений — они и столп Давидов, а иные постройки все новые. Ведь древний город Иерусалим неоднократно был разорен. Теми воротами и вошел Христос в Иерусалим с Лазарем со стороны Вифании, когда воскресил Христос Лазаря. Вифания с восточной стороны от города, напротив Елеонской горы. Расстояние же от тех ворот до церкви Святая Святых сто пятьдесят саженей.
О ВЕСИ ВИФАИНѢ	О СЕЛЕ ВИФАНИЯ
Вифаниа же от града Иерусалима вдалѣе двою версту, за горою во удолнѣ мѣстѣ. И есть Вифаниа градок малъ к полуденью лиць от Иерусалима. И влѣзучи есть во врата градка того, на деснѣй руцѣ есть пещера, и в той пещерѣ есть гробъ святаго Лазаря. И в той келии Лазарь болѣлъ, ту же и умерлъ был. И есть посрѣдѣ градка того церкви велика, создана вверхъ и исписана добрѣ была вся. И есть от церкви тоя до гроба Лазарева сажен 12; и есть гробъ Лазаревъ от церкви к западу лиць, а церковь къ встоку лиць. И пред градом к западу лиць есть вода добра зѣло, и есть глубоко в земли, по степенемъ влѣсти къ ней. А оттуда есть къ Иерусалиму лиць столпъ от Вифаниа вдалѣ версты; и на том мѣстѣ усрѣла Марфа Исуса; ту паки на осля всѣл Христос, егда Лазаря въскресивъ.	Вифания же находится от города Иерусалима на расстоянии двух верст за горою на ровном месте. Вифания — это городок небольшой к югу от Иерусалима. Когда входишь в ворота того городка, то по правую руку пещера, а в той пещере гроб святого Лазаря. В той самой келье Лазарь болел, тут же и умер. Посреди того городка большая церковь, вытянутая вверх и вся хорошо расписанная. От той церкви до гроба Лазаря двенадцать саженей; Лазарев гроб от церкви — по направлению к западу, а церковь от гроба — к востоку. И есть с запада перед городом очень хорошая вода глубоко в земле; спускаются к ней по ступенькам. А по направлению оттуда к Иерусалиму — от Вифании побольше версты — стоит столп; на том месте Марфа встретила Иисуса, и тут снова сел Христос на осла по воскрешении Лазаря.
О ВЕСИ ГЕПСИМАИНѢ	О СЕЛЕ ГЕФСИМАНИЯ
Фепсиманиа же есть село, идѣже есть гробъ святыя Богородица, близь града Иерусалима на потоцѣ Кидардьстѣмъ въ Удолѣ плачевнѣм, и есть отъ Иерусалима межи встока лиць лѣтнимъ и зимным.	Гефсимания же, село, где находится гроб святой Богородицы, близко от Иерусалима, на потоке Кедронском, в Долине плача, и расположено от Иерусалима в среднем направлении между юго- и северо-востоком.
О ВРАТѢХѢ ГРАДНЫХ	О ГОРОДСКИХ ВОРОТАХ
И есть от врат градных сажень 8 до мѣста, идеже Охония жидовинъ хотѣ сврещи тѣло со одра святыя Богородица, егда несяхуть е погребать апостоли в Гепсиманию. И утя ему аггелъ обѣ руцѣ мечем, и положи я на нем.[89] И есть на мѣстѣ том был монастырь женьскый, и нынѣ же разорено есть от поганых.	От городских ворот восемь саженей до места, где Охония-еврей хотел стащить с постели тело святой Богородицы, когда несли ее погребать апостолы в Гефсиманию. И отсек ему ангел обе руки мечом, и положил их на нем. Был на том месте монастырь женский, а теперь оно разорено погаными.
О МѢСТѢ ГРОБА СВЯТЫА БОГОРОДИЦА	О МЕСТЕ ПОГРЕБЕНИЯ СВЯТОЙ БОГОРОДИЦЫ
И оттуда до гроба святыя Богородица есть сажен 100. И есть гробъ Святыя Богородица въ удолнѣ мѣстѣ: пещерка была мала в камени изсѣчена, дверци имущи малы, яко можеть человѣкъ влѣсти наклонься; и во днѣ в пещерѣ той противу дверцам яко лавица засѣчена в томже камени пещернѣмъ, и на той лавици положено бысть тѣло честьное Пречистыя Владычица нашеа Богородица, и оттуда же взято бысть въ рай, нетлѣнно суще. И есть пещерка та днѣ мужа възвыше, а вширѣ 4 лакоть всямокачна, а около теремцем одѣлана красно мраморными дъсками. А врьху, над гробом святыя Богородица, создана была церкви велика велми клѣтьски, во имя святыя Богородица Успения; нынѣ же разорено есть от поганых мѣсто то. И есть гробъ святыя Богородица исподи под великим олтаремъ тоа церкви.	И оттуда до гроба святой Богородицы саженей сто. Расположен гроб святой Богородицы на ровном месте: была высечена в камне небольшая пещерка с маленькими дверьми, чтобы мог, наклонясь, войти человек; а в глубине той пещеры, напротив дверец, как бы скамья высечена в том же пещерном камне, — на той скамье и было положено тело Пречистой Владычицы нашей Богородицы, и оттуда же взято было в рай, оставаясь нетленным. По высоте пещерка та повыше человеческого роста, а в ширину четыре локтя и так и так; снаружи она, как терем, красиво отделана мраморными плитами. А сверху над гробом святой Богородицы была выстроена очень большая клетская церковь во имя святой Богородицы Успения; ныне же разорено погаными то место. Расположен гроб святой Богородицы внизу под великим алтарем этой церкви.
О ПЕЩЕРѢ, ИДѢЖЕ ПРЕДАН БЫСТЬ ХРИСТОС	О ПЕЩЕРЕ, ГДЕ БЫЛ ПРЕДАН ХРИСТОС
А от гроба святыя Богородица есть сажень 10 до пещеры, идеже преданъ бысть от Июды жидом на 30 сребреницѣх.[90] И есть пещера та об онъ пол потока Кѣдарьскаго при горѣ Елеоньстѣй.	А от гроба святой Богородицы десять саженей до пещеры, где предан был Христос Иудой евреям за тридцать сребреников. Находится же та пещера по другую сторону потока Кедронского при горе Елеонской.
