СЛОВО О ПЛЪКУ ИГОРЕВѢ, ИГОРЯ, СЫНА СВЯТЪСЛАВЛЯ, ВНУКА ОЛЬГОВА[1]	СЛОВО О ПОХОДЕ ИГОРЕВОМ, ИГОРЯ, СЫНА СВЯТОСЛАВОВА, ВНУКА ОЛЕГОВА
На Немизѣ снопы стелютъ головами, молотятъ чепи харалужными, на тоцѣ животъ кладутъ, вѣютъ душу отъ тѣла. Немизѣ кровави брезѣ не бологомъ бяхуть посѣяни, посѣяни костьми рускихъ сыновъ.	На Немиге снопы стелют из голов, молотят цепами булатными, на току жизнь кладут, веют душу от тела. Немиги кровавые берега не добрым засеяны, засеяны костями русских сынов.
Всеславъ князь людемъ судяше, княземъ грады рядяше, а самъ въ ночь влъкомъ рыскаше; изъ Кыева дорискаше до куръ Тмутороканя, великому Хръсови[83] влъкомъ путь прерыскаше. Тому въ Полотскѣ позвониша заутренюю рано у святыя Софеи[84] въ колоколы, а онъ въ Киевѣ звонъ слыша. Аще и вѣща душа въ дръзѣ тѣлѣ,[85] нъ часто бѣды страдаше. Тому вѣщей Боянъ и пръвое припѣвку, смысленый, рече: «Ни хытру, ни горазду, ни птицю горазду[86] суда Божиа не минути!»	Всеслав-князь людям суд правил, князьям города рядил, а сам ночью волком рыскал: из Киева до рассвета дорыскивал до Тмутаракани, великому Хорсу волком путь перебегал. Ему в Полоцке позвонили к заутрене рано у святой Софии в колокола, а он в Киеве звон тот слышал. Хотя и вещая душа была у него в дерзком теле, но часто от бед страдал. Ему вещий Боян еще давно припевку молвил, мудрый: «Ни хитрому, ни удачливому ...суда Божьего не избежать!».
О, стонати Руской земли, помянувше пръвую годину и пръвыхъ князей! Того стараго Владимира[87] нельзѣ бѣ пригвоздити къ горамъ киевскимъ; сего бо нынѣ сташа стязи Рюриковы, а друзии — Давидовы, нъ розно ся имъ хоботы пашутъ.[88] Копиа поютъ.[89]	О, печалиться Русской земле, вспоминая первые времена и первых князей! Того старого Владимира нельзя было пригвоздить к горам киевским; а ныне одни стяги Рюриковы, а другие — Давыдовы, и порознь их хоругви развеваются. Копья поют...
На Дунаи[90] Ярославнынъ гласъ[91] слышитъ, зегзицею незнаема рано кычеть.[92] «Полечю, — рече, — зегзицею по Дунаеви, омочю бебрянъ рукавъ[93] въ Каялѣ рѣцѣ, утру князю кровавыя его раны на жестоцѣмъ его тѣлѣ».	На Дунае Ярославнин голос слышится, одна-одинешенька спозаранку как чайка кличет. «Полечу, — говорит, — чайкою по Дунаю, омочу шелковый рукав в Каяле-реке, оботру князю кровавые его раны на горячем его теле».
Ярославна рано плачетъ въ Путивлѣ на забралѣ, аркучи: «О вѣтре вѣтрило! Чему, господине, насильно вѣеши? Чему мычеши хиновьскыя стрѣлкы на своею нетрудною крилцю на моея лады вои? Мало ли ти бяшетъ горѣ подъ облакы вѣяти, лелѣючи корабли на синѣ морѣ? Чему, господине, мое веселие по ковылию развѣя?»	Ярославна с утра плачет на стене Путивля, причитая: «О ветер, ветрило! Зачем, господин, так сильно веешь? Зачем мечешь хиновские стрелы на своих легких крыльях на воинов моего лады? Разве мало тебе под облаками веять, лелея корабли на синем море? Зачем, господин, мое веселье по ковылю развеял?»
Ярославна рано плачеть Путивлю городу на заборолѣ, аркучи: «О Днепре Словутицю! Ты пробилъ еси каменныя горы сквозѣ землю Половецкую. Ты лелѣялъ еси на себѣ Святославли носады до плъку Кобякова.[94] Възлелѣй, господине, мою ладу къ мнѣ, а быхъ не слала къ нему слезъ на море рано».	Ярославна с утра плачет на стене города Путивля, причитая: «О Днепр Словутич! Ты пробил каменные горы сквозь землю Половецкую. Ты лелеял на себе ладьи Святославовы до стана Кобякова. Возлелей, господин, моего ладу ко мне, чтобы не слала я спозаранку к нему слез на море».
Ярославна рано плачетъ въ Путивлѣ на забралѣ, аркучи: «Свѣтлое и тресвѣтлое слънце! Всѣмъ тепло и красно еси! Чему, господине, простре горячюю свою лучю на ладѣ вои? Въ полѣ безводнѣ жаждею имь лучи съпря-же, тугою имъ тули затче».	Ярославна с утра плачет в Путивле на стене, причитая: «Светлое и тресветлое солнце! Для всех ты тепло и прекрасно! Почему же, владыка, простерло горячие свои лучи на воинов лады? В поле безводном жаждой им луки расслабило, горем им колчаны заткнуло».
Прысну море полунощи; идутъ сморци мьглами. Игореви князю Богъ путь кажетъ изъ земли Половецкой на землю Рускую, къ отню злату столу. Погасоша вечеру зари. Игорь спитъ, Игорь бдитъ, Игорь мыслию поля мѣритъ отъ Великаго Дону до Малаго Донца.[95] Комонь въ полуночи Овлуръ[96] свисну за рѣкою — велить князю разумѣти: князю Игорю не быть! Кликну, стукну земля, въшумѣ трава, вежи ся половецкии подвизаша. А Игорь князь поскочи горнастаемъ къ тростию, и бѣлымъ гоголемъ на воду, възвръжеся на бръзъ комонь, и скочи съ него босымъ влъкомъ, и потече къ лугу Донца, и полетѣ соколомъ подъ мьглами, избивая гуси и лебеди завтроку, и обѣду, и ужинѣ. Коли Игорь соколомъ полетѣ, тогда Влуръ влъкомъ потече, труся собою студеную росу: претръгоста бо своя бръзая комоня.	Вспенилось море в полуночи, в тучах движутся вихри. Игорю-князю Бог путь указывает из земли Половецкой на землю Русскую, к отчему золотому престолу. Погасла вечерняя заря. Игорь спит и не спит: Игорь мыслию поля мерит от великого Дона до малого Донца. В полночь свистнул Овлур коня за рекой — велит князю разуметь: не быть князю Игорю! Кликнул, стукнула земля, зашумела трава, задвигались вежи половецкие. А Игорь-князь горностаем прыгнул в тростники, белым гоголем — на воду, вскочил на борзого коня, соскочил с него босым волком, и помчался к лугу Донца, и полетел соколом под облаками, избивая гусей и лебедей к завтраку, и к обеду, и к ужину. Когда Игорь соколом полетел, то Овлур волком побежал, отряхивая с себя студеную росу: загнали они своих быстрых коней.
Донецъ рече: «Княже Игорю! Не мало ти величия, а Кончаку нелюбия, а Руской земли веселиа!» Игорь рече: «О, Донче! Не мало ти величия, лелѣявшу князя на влънахъ, стлавшу ему зелѣну траву на своихъ сребреныхъ брезѣхъ, одѣвавшу его теплыми мъглами подъ сѣнию зелену древу. Стрежаше его гоголемъ на водѣ, чайцами на струяхъ, чрьнядьми на ветрѣхъ». Не тако ли, рече, рѣка Стугна: худу струя имѣя, пожръши чужи ручьи и стругы, рострена к усту, уношу князя Ростислава затвори днѣ при темнѣ березѣ.[97] Плачется мати Ростиславля по уноши князи Ростиславѣ. Уныша цвѣты жалобою, и древо с тугою къ земли прѣклонилося.	Донец сказал: «Князь Игорь! Разве не мало тебе славы, а Кончаку досады, а Русской земле веселья!» Игорь сказал: «О Донец! Разве не мало тебе славы, что лелеял ты князя на волнах, расстилал ему зеленую траву на своих серебряных берегах, укрывал его теплыми туманами под сенью зеленого дерева. Стерег ты его гоголем на воде, чайками на струях, чернядями в ветрах» Не такая, говорят, река Стугна: бедна водою, но, поглотив чужие ручьи и потоки, расширилась к устью и юношу князя Ростислава скрыла на дне у темного берега. Плачется мать Ростиславова по юноше князе Ростиславе. Уныли цветы от жалости, а дерево в тоске к земле приклонилось.
А не сорокы втроскоташа — на слѣду Игоревѣ ѣздитъ Гзакъ съ Кончакомъ. Тогда врани не граахуть, галици помлъкоша, сорокы не троскоташа, полозие[98] ползоша только. Дятлове тектомъ путь къ рѣцѣ кажутъ, соловии веселыми пѣсньми свѣтъ повѣдаютъ. Млъвитъ Гзакъ Кончакови: «Аже соколъ къ гнѣзду летитъ, — соколича рострѣляевѣ своими злачеными стрѣлами». Рече Кончакъ ко Гзѣ: «Аже соколъ къ гнѣзду летитъ, а вѣ соколца опутаевѣ красною дивицею».[99] И рече Гзакъ къ Кончакови: «Аще его опутаевѣ красною дѣвицею, ни нама будетъ сокольца, ни нама красны дѣвице, то почнутъ наю птици бити въ полѣ Половецкомъ».	То не сороки застрекотали — по следу Игоря рыщут Гзак с Кончаком. Тогда вороны не каркали, галки примолкли, сороки не стрекотали, только полозы ползали. Дятлы стуком путь к реке указывают, соловьи веселыми песнями рассвет предвещают. Говорит Гзак Кончаку: «Если сокол к гнезду летит, — расстреляем соколенка своими злачеными стрелами». Говорит Кончак Гзе: «Если сокол к гнезду летит, то опутаем мы соколенка красной девицей». И сказал Гзак Кончаку: «Если опутаем его красной девицей, не будет у нас ни соколенка, ни красной девицы, и станут нас птицы бить в поле Половецком».
Рекъ Боянъ и Ходына[100] Святъславля, пѣснотворца стараго времени Ярославля: «Ольгова коганя хоти! Тяжко ти головы кромѣ плечю, зло и тѣлу кромѣ головы», — Руской земли безъ Игоря!	Сказали Боян и Ходына Святославовы, песнотворцы старого времени Ярославова: «Олега кагана жена! Тяжко ведь голове без плеч, горе и телу без головы». Так и Русской земле без Игоря.
Солнце свѣтится на небесѣ — Игорь князь въ Руской земли. Дѣвици поютъ на Дунаи — вьются голоси чрезъ море до Киева. Игорь ѣдетъ по Боричеву къ святѣй Богородици Пирогощей.[101] Страны ради, гради весели.	Солнце светит на небе — Игорь-князь в Русской земле. Девицы поют на Дунае — вьются голоса через море до Киева. Игорь едет по Боричеву к святой Богородице Пирогощей. Страны рады, города веселы.
Пѣвше пѣснь старымъ княземъ, а потомъ молодымъ пѣти! Слава Игорю Святъславличю, Буй Туру Всеволоду, Владимиру Игоревичу! Здрави, князи и дружина, побарая за христьяны на поганыя плъки! Княземъ слава а дружинѣ!	Спев песнь старым князьям, потом — молодым петь! Слава Игорю Святославичу, Буй-Тур Всеволоду, Владимиру Игоревичу! Здравы будьте, князья и дружина, выступая за христиан против полков поганых! Князьям слава и дружине!
Аминь.	Аминь.
