ИЗ СКИТСКОГО ПАТЕРИКА	ИЗ СКИТСКОГО ПАТЕРИКА
Си же суть носящеи, — яко правдѣ его с гордынею, и не сѣмиришася исправити себе и ходити со смѣреньемь в путехъ Христосовѣхъ, тѣмъже и стають вънѣюду Царствия Божия. Сѣкыи же дрова человекъ во мнозѣхъ грѣсѣхъ есть, и в покаянья мѣсто ина безаконье, прилагаеть верху безаконий своихъ, а чрепляй воду добра дѣла творя, но понеже имѣяше въ нихъ зла смиренья, о семь губить добрая своя дѣла».	Те, что несли дерево, — это правда с гордостью; не пожелали они смириться друг с другом и ходить со смирением по пути Христа, поэтому и останутся за пределами Царства Божьего. Тот, кто рубит дрова, — это человек, который имеет много грехов и, вместо покаяния, другое беззаконие прибавляет сверху беззаконий своих. А черпающий воду — это тот, кто творит добрые дела, но, поскольку не противится злу, тем самым губит свои добрые дела».
Достоить убо всякому человѣку бодру быти въ дѣлѣхъ своихъ, да не въ грѣхъ трудиться.	Следует любому человеку быть осмотрительным в своих поступках, чтобы не во грех трудиться.
<...> Повѣдаше единъ от старець, глаголя, яко: «Ошелникъ в пустыни Нильскаго града, и служаше ему простъ людинъ вѣренъ. Бѣ же и въ градѣ человѣкъ богатъ и нечьстивъ. Прилучися ему умрети, и проважаху тьи вси гражане и епископъ съ свѣщами. Изиде же служай ошелнику по обычаю нести ему хлѣбы, и обрѣте и́. изъѣдена уеною, и паде ниць предъ Богомъ, глаголя: “Не въстану, доньдѣже извѣстиши ми, что се есть, — яко онъ нечьстивыи толико имѣ провоженье, се же, работая ти день и нощь, како умре?” И приде ангелъ и рече ему: “Онъ же нечьстивыи имѣяше мало добро дѣло и приятъ сде, да тамо ни единого покоя прииметь. Се же ошелникъ, понеже бѣ человѣкъ устроенъ всякою благодатью, имѣяше и тъ яко человѣкъ мало соблазнъ, въсприятъ же сде, тамо обрящеться чистъ предъ Богомъ”. И въста си извѣщениемь, славя Бога, яко истови суть».	<...> Рассказывал один старец, говоря: «<Жил> в пустыни отшельник около города вблизи реки Нил, и прислуживал ему один преданный мирянин. А в городе жил один богатый и бесчестный человек. Случилось так, что он умер, и провожали его все горожане и епископ со свечами. Отправился, как обычно, тот, кто служил отшельнику, отнести ему хлеб, и нашел его изъеденным гиеной, и упал он ниц, взывая к Богу: “Я не поднимусь до тех пор, пока Ты не объяснишь мне, почему это так, — что тот нечестивец имел такие проводы, а этот, который служил тебе день и ночь, так умер?” И пришел ангел и сказал ему: “Тот нечестивец сделал мало добрых дел, но принял здесь <покой>, чтобы не иметь там никакого покоя. Этот же отшельник, поскольку был человеком, исполненным всяческой благодати и имел <в этом мире> мало соблазнов, получив <это> здесь, там будет чист перед Богом”. И встал <слуга>, просвещенный, прославляя Бога, потому что истина есть».
ИЗ ЕГИПЕТСКОГО ПАТЕРИКА	ИЗ ЕГИПЕТСКОГО ПАТЕРИКА
О черноризце Иоанне[18]	О черноризце Иоанне
Есть, рече, в пустыни сеи братъ нашь Иоаннъ, юнъ же тѣломъ, всѣхъ же нынѣшнихъ черноризець добротами преходя. Его же никтоже въскорѣ обрѣсти можеть, понеже преходить присно отъ мѣста до мѣста въ пустыняхъ. Тъи заперва стоялъ на камени по три лѣта, въину молитву творя пребываше, никакоже сѣдъ, ни спавъ елико стоя, сна мало взимааше. В недѣлю точию комкание взимая, прозвутеру ему приносящу, иного же ничсо не ядяше.	Есть, говорят, в этой пустыни брат наш Иоанн, юный телом, всех нынешних черноризцев добродетелями превосходящий. Его никто быстро найти не может, поскольку он всегда ходит с места на место в пустынях. Сначала он стоял на скале три года, постоянно пребывая в молитве, никогда не садился и спал даже стоя, да и то немного. В воскресенье только принимал Святые Дары, которые приносил ему пресвитер, а другого ничего не ел.
Въ единъ же от дний преобразився сатона въ прозвутера, рано к нему прииде, хотя ему комкание дати. Познав же его, блаженый Иоанъ рече к нему: «О, всему лукавьству и всеи прелести отець, враже всей правдѣ! Не останеши ли ся прелщая человѣча христьяньския душа, но дръзаеши и к самому прѣчистому комканию!» Онъ же к нему отвѣща: «Мало тебе не низложихъ, приобрѣтъ тя, тако бо и другаго отъ твоея братия прельстихъ, и безъ ума и сътворихъ, и бѣсенъ бысть. За него же мнози святии молитву сътвориша и одва възмогоша его умна сътворити». И се рекъ, бѣсъ отъиде от него.	Однажды преобразился сатана в пресвитера, придя к нему утром, хотел причастить его. Распознав его, блаженный Иоанн обратился к нему: «О отец всякого лукавства и всяческой лжи, враг всяческой истины! <Ты> не прекращаешь совращать христианские души людей, но ты дерзаешь <покушаться> на самое пречистое причастие». Тот же ему отвечал: «Чуть было я тебя не уловил, ну так я обманул другого из твоей братии и лишил его рассудка, и он стал бесноватым. И многие святые за него молились, но едва смогли возвратить ему рассудок». И, сказав это, бес отошел от него.
Рассѣдшемася его ногамъ от многаго стояния, и гною текущу от нихъ, пришедъ ангелъ, присягну ко устомъ его, глаголя: «Христос будет ти истинная ядь, и Дух Святый — истиное питие, и доволно да ти будеть духовная пища, да не, насытився, изблюеши». И исцѣливъ его, престави и́ от того мѣста.	Когда ноги его потрескались от долгого стояния, и из них потек гной, явился ангел, прикоснулся к его устам, говоря: «Христос будет тебе истинной пищей, а Дух Святой — истинным питьем, и да будет тебе достаточно духовной пищи, чтобы ты не изверг ее <никогда>, насытившись». И, исцелив его, он перенес его с того места.
Живяше же, по пустыни ходя, яды былия, в недѣлю же на томъ мѣстѣ ся обретааше, комкание възимаа. Фуничьное же листвие мало от прозвутера испросивъ, попругы плетяше. Хотящу же приити к нему хромцю нѣкоему исцѣления ради, и всяде тъчию на осля, тъгда же и ногама присягъ къ попругу, иже бяше плетенъ от святаго мужа, абие исцѣлѣ. Иногда же благословление къ болемъ пославъ, абие избыша недуга.	Так он жил, по пустыни ходя, ел траву, но в воскресенье на то же место возвращался и принимал причастие. Попросив у пресвитера немного пальмовых листьев, плел он подпруги. Когда один хромой захотел придти к нему, чтобы исцелиться, то как только сел он на осла и ногами коснулся подпруги, которая была сплетена святым человеком, сразу выздоровел.
Яви же ся ему иногда о своихъ монастырехъ, яко нѣции от нихъ неправедно житие имуть. Пишеть ко всѣмъ послание прозвутеромъ, яко некотории лѣнятся, друзии же подвизаються на добродѣяние, и обрѣтеся истина, тако ищуще. Пишеть же и ко отцемъ, яко отци отъ нихъ лѣнятся о спасении братии, и друзии же доволно я молять. И обоимъ честь и мукы исповѣдаше. И пакы инѣхъ ко свершенному устроению призывая, воспоминаше отъ видимыя на невидимыя отътити. «Время бо уже жития того показати, не бо дѣти, — рече, — или младенцы всегда хощема пребывати, но пакы къ свершеныимъ разумомъ преити и къ великимъ дѣломъ наступити».	Ему открылось некогда, что в его монастырях некоторые живут неправедно. Пишет он ко всем пресвитерам послание о том, что одни ленятся, другие же стремятся <совершать> добрые дела и так обретают истину, которую ищут. Пишет он и к отцам, что некоторые из них ленятся <заботиться> о спасении братии, а другие же много о нем молятся. И тем и другим честь и муки предсказывал. И еще, иных к совершенству духовному призывая, убеждал, чтобы возвысились они от видимых предметов к невидимым. «Пора показать при жизни, что мы — не детьми, — говорил, — или младенцами хотим оставаться, но к более высокой степени разумения перейти и к великим делам приступить».
Се и ина намъ и множаишая отець о святѣмъ мужѣ исповѣда, яже множества ихъ ради чюдесъ всѣхъ не писахомъ, не яко не суть не истинна, но инѣхъ ради невѣрьства. Мы же извѣсто вѣмъ, многи бо велиции мужи то же сповѣдаша, та же яже и очима видѣша.	Так и другое нам и многое отец о святом муже рассказывал, но мы из-за большого числа чудес обо всех их не писали, не потому, что они не правдивы, а потому, что некоторые не поверили бы. Мы же твердо знаем <об этом>, ибо многие великие подвижники то же рассказывали, все то, что своими глазами они видели.
О черноризцѣ Пафнотѣ	О черноризце Пафнутии
Видѣхомъ и мѣсто Пафнотово, мужа велика и добра дѣла исполненъ, иже преже малымъ временемъ скончася въ странахъ Ираклиовах Фиваиды. О нем же мнози многа сповѣдаху.	Видели мы и <монастырь> Пафнутия, человека великого и добродетельного, который недавно скончался в окрестности Гераклеополя в Фиваиде. О нем многие много рассказывали.
И по многых трудѣх моляше Бога: «кыих святыхъ подобенъ есмь». Аньгил же явився ему, рече: «Подобенъ еси того свирца, иже во градѣ живеть». Он же съ тъщаниемъ устремився к нему, вопрошаше от него жизни его и дѣла ему испыташе. Он же рече к нему, еже и бѣаше истинна, грѣшника и пияницу и блудника сам ся повѣдаше, но зѣло давно от разбойничества на се пришедше. Пытающу же от него, что доброе си когда управилъ, рече к нему: «Ничтоже добра себѣ свѣдѣ. Развѣ, яко иногда в разбойничестѣмъ дѣлѣ сыи, дѣву Христову хотящемъ разбойникомъ оплазити, отъях и нощию до веси проводих. Иногда же пакы жену обрѣтох зело лѣпу, блудящу по пустыни, гониму от княжь мужь долга ради мужа своего. И плачющуся обрѣтъ, вопрошах от неа плачю тому вины. Она же рече: “Ничтоже мене ни въпрашаи, владыко, не пытаи мене, окаану, но аки рабу свою поим, аможе хощеши, веди. Мужу моему многажды биену бывшю по двѣ лѣтѣ времени долга ради златникъ 300 и в темници затворену, и любыя моя дѣти тремъ проданомъ бывшемъ, азъ воставши бѣжахъ, мѣсто отъ мѣста преходяще. Нынѣ же по пустыни плаваю, многажды бо обрѣтена бывши и часто биена бывши, и 3 днии имамъ в пустыни не ядущи пребываю˝. Азъ же миловавъ ю, веде в пещеру, давъ еи 300 златникъ, до града проводихъ, свободивъ с дѣтми мужа еи».	После многих трудов он попросил Бога <указать>: «кому из святых я подобен». Ангел явился ему и сказал: «Подобен ты тому свирельнику, который в городе живет». Поспешно он отправился к нему, расспрашивал его о его жизни и какие он сделал дела. Тот же сказал ему, что и было правдой, что он грешник, пьяница и блудник, — так о себе рассказывал, — не так давно пришел на это из разбойничества. На расспросы о том, сделал ли он когда что-нибудь доброе, он ответил ему: «Никакого добра за собой не знаю. Кроме как, когда я был разбойником, тогда монахиню хотели разбойники оскорбить, я отнял <ее> и ночью до села проводил. Однажды еще женщину встретил очень красивую, бродившую по пустыни, преследуемую людьми сановника из-за долга мужа своего. Найдя ее в слезах, спросил я у нее о причине тех слез. И она ответила: “Не расспрашивай ни о чем меня, господин, не спрашивай, окаянную, но, как рабу свою возьми и куда хочешь уведи. После того как мужа моего много били в течение двух лет из-за долга в триста златников и посадили в тюрьму, а любимых моих троих детей продали в рабство, я встала и убежала, скитаясь с места на место. Теперь по пустыни брожу, много раз я была схвачена, часто меня били, а <последние> три дня хожу по пустыни голодная”. Я пожалел ее, привел в пещеру, дав ей триста златников, до города проводил, освободив мужа с детьми ее»>.
К тому отвѣща Пафънотъ: «Аз же себе не свѣдѣ ничьтоже от сих управиша, нъ о трудѣхъ черноризских, обаче слышалъ мя еси славна суща, не бо лѣностию свою жизнь проводихомъ. Мне убо о тебѣ Богъ откры, яко ничим же хуже еси мене о управлениих. И аще убо немало слово, брате, о тебе Божеству бываеть, не преобиди душа своея».	Ему отвечал Пафнутий: «Я за собой не знаю ничего, что было бы подобно <этим делам>, но в трудах черноризческих, — полагаю, ты слышал как славно мое имя, — ибо не в лености жизнь свою проводим. Однако Бог открыл мне о тебе, что ты ничем не хуже меня по <своим> заслугам. И, если великое слово за тебя, брат, сказано Богом, не забывай о душе своей».
Он же повергъ абие свирѣли и, пѣсни свирѣлныя на духовныя пѣсни преложивъ, въ слѣдъ его в пустыню поиде. Три же лѣта бывъ, трудився, и въ пѣснех и въ молитвах свою жизнь скончавъ. К небесному житию слашеся, святых лик и чинов праведных въчтенъ бывъ, почи.	Тот же бросил тотчас свирель и, песни свирельные на духовные заменив, вслед за ним в пустыню отправился. В течение трех лет трудился и в песнопениях и молитвах закончил свою жизнь. К небесному житию отправленный, он почил и был причтен к сонму святых и чинам праведных.
Да яко убо оного трудившася добрѣ къ Богу препроводи, преложе себѣ болша жития, паче первыих. И вопрошаше Бога паки явити ему, кыихъ святых есть подобенъ. И пакы глас Божий бысть к нему, глаголя: «Подобенъ еси ближняя веси старѣишине». Он же вскорѣ к нему прииде и абие ударившу ему во врата, изиде онъ, по обычаю своему странныя приемля. Измыв же нозѣ ему и поставивъ трапезу, повелѣ ему вкусити. Въпрашающу же дѣла ему и глаголющу: «Человѣче, свою жизнь исповежь ми, много бо черноризець, якоже ми обличилъ Богъ, прѣходиши». Он же глаголаше грѣшьна себе суща, не достоина имене черноризъскоу. Да якоже пребываше онъ вопрошая, отвѣща человѣкъ, глаголя: «Азъ же не имѣхъ нужею своя дѣло исповѣдати, елмаже от Бога глаголеши пришедшю ти, еже при мнѣ исповѣдаю ти.	После того как <Пафнутий> этого достойно трудившегося к Богу препроводил, он предался еще большим подвигам, чем прежде. И снова спросил он Бога явить ему, кому из святых он подобен. И опять голос Божий был к нему, произнесший: «Подобен ты старейшине ближайшего селения». Он же сразу пришел к нему и, как только постучал в ворота, вышел тот, чтобы по своему обыкновению принять странников. Омыв ноги ему и поставив <перед ним> трапезу, предложил он ему попробовать. Когда <Пафнутий> стал расспрашивать о его делах, говоря: «Человек, расскажи о своей мне жизни, ибо ты многих черноризцев, как мне открыл Бог, превосходишь». Он же назвал себя грешником, недостойным имени черноризца. Но, поскольку тот продолжал расспрашивать, человек ответил: «Я бы не хотел о себе рассказывать, но, если, как ты говоришь, пришел <по велению> Бога, я тебе расскажу о себе.
Мнѣ же уже тридесяте си есть лѣто, отколѣ сам ся от подружия отлучих. Четыри точию лѣта с нею живъ и три от нея сыны сътворивъ иже на потребу мою служать ми. Не престах любя странникы до днешняаго. Не имать похвалитися кто, токмо самъ преже мене, странникы примъ тщама рукама из моего двора. Не презрѣхъ убога отпадша, не подавъ ему доволна утѣшения. Не лицемѣръ бых чаду своему в судѣ. Не влѣзоша в домъ мои плоди туждии. Не бысть сваръ, егоже не умирихъ. Не похули ничтоже презрѣ дѣлъ дѣтей моих. Не прикоснушася туждиихъ плодовъ моя стада. Не осѣяхъ преже своих нивъ, но всѣмъ я обща положих останкы осѣях. Не дахъ силному нища обидѣти. Ни опечалих никогоже въ жизни своеи, ни суть кривины на когождо когда изнесох. Сия Богу хотящу, се вѣдѣ себе сътворена».	Вот уже тридцать лет, как я сам отказался от жены, четыре только года с нею прожив и поимев от нее троих сыновей, которые по необходимости помогают мне. Не переставал любить странников и до сегодняшнего дня. Никто не похвалится, что только он <и> раньше меня странников принимал заботливыми руками из моего двора. Я не отверг падшего убогого, не подав ему необходимого утешения. Не взирая на лицо, не нарушал правосудия <даже> ради сына своего. Не проникали в мой дом плоды чужих трудов. Не было ссоры, которую бы я ни усмирил. Никто не бранил <или> презирал труды детей моих. Не прикоснулись к чужим посевам мои стада. Не засевал я свои поля прежде, чем другие, но засевал оставшиеся земли. Не давал обидеть сильному бедного. Никого не огорчил в жизни своей, никогда не возводил неправду на кого-либо. Коли Бог этого хочет, рассказал я <тебе>, что я это делал».
Слышавъ же Пафнотъ мужа сего добродѣяние, главу лобызааше, глаголя ему: «Благовѣстить тя Господь от Сиона и удивиша благая Иерусалима.[19] Добрѣ бо се управи, едина ти недостала есть добрыхъ дѣлесъ главизна — премудры о Бозѣ разум. Егоже не имаши мощи без болѣзни стяжати, аще не себе с миромъ отмѣта вся, вземъ крестъ, въслѣдъ Спасителя поидеши». Он же се яко услыша, абие ни къ своимъ ся съвѣща, идяше въслѣдъ мужа под гору.	Услышав о добрых делах этого человека, Пафнутий поцеловал его в голову, говоря ему: «Благовестит о тебе Господь с Сиона и узришь благое Иерусалима. Ибо ты хорошо все это делал, но тебе недостает одной от хороших дел части — глубокого познания Бога. Этого не сможешь безболезненно достигнуть, если не отметешь от себя все мирское и, взяв крест, не пойдешь вслед за Спасителем». Тот, как это услышал, сразу, не посоветовавшись с близкими, ушел за <Пафнутием> под гору.
ИЗ СИНАЙСКОГО ПАТЕРИКА	ИЗ СИНАЙСКОГО ПАТЕРИКА
Слово 55	Слово 55
Единъ отьць повѣда шьдъшемъ намъ въ Фиваиду,[20] яко старьць сѣдяше вънѣ града Антинъ Великый, сътворивъ въ клѣтъцѣ своей лѣтъ 60. И имяше же ученикъ 10 и единого же имяше зѣло лѣнящася. Старьць же многашьды учаше и, глаголя и моляше и: «Брате, съмотри своей души, умерети имаши и въ муку ити!» Братъ же въину прѣслушаше старьца, не приемля глаголемыихъ от него. Прилучи же ся нѣ по комь лѣтѣ умерети брату. Мъного же печалова о немь старьць, вѣдяше бо, яко въ мнозѣ унынии и лѣности изиде отъ мира сего. И нача старьць молити и глаголати: «Господи Исусе Христе истиньный Боже нашь! Яви ми яже о души братьни». И се узьрѣ въ мьчьтѣ и яко въ стързѣ бывъ, видѣ рѣку огньну и множьство въ томь огни, и посредѣ брата, погружена до выя. Тогда глагола ему старьць: «Не сея ли мукы дѣля моляхъ тя, да посмотриши своей души, чадо?» Отъвѣща братъ и рече старьцю: «Благодарьствую Бога, отче, яко понѣ глава ми отъраду имать: тако ми молитвы твоея на врьсѣ епискупу стою!»	Когда мы шли в Фиваиду, один святой отец рассказал нам о старце Антине Великом, который, сделав маленькую келью, жил в ней за городом шестьдесят лет. Было у него десять учеников, а один из них — очень ленивый. Много раз старец выговаривал ему, и поучал его, и умолял: «Брат, позаботься о своей душе, ведь умрешь — и на мучение идти!» Брат же всегда ослушивался старца, не принимая сказанного им. Случилось же в каком-то году умереть брату. Много печалился о нем старец, зная, что в великой беспечности и лености ушел тот из мира сего. И начал старец молиться и проситъ: «Господи, Иисус Христос, истинный Бог наш! Дай мне увидеть душу брата». И вот взглянул в воображении, как будто в забытьи будучи, и увидел реку огненную, и много в ней пламени, а посредине брата, погруженного по шею. Тогда сказал ему старец: «Не этой ли муки ради молил я тебя позаботиться о душе своей, чадо?» Отвечал брат, сказав старцу: «Слава Богу, отче, что, по крайней мере, голова моя в покое находится: так по молитвам твоим на голове епископа стою!»
Слово 98	Слово 98
И се съказа нъ тъ же Паладий глаголя, яко: Слышахъ повѣдающю нѣкому кораблю старѣйшинѣ таково, яко «единою пловущю мнѣ, имѣх въсядьникы мужя и жены. И пришьдъше на пучину, — и вьсѣмъ добрѣ пловущемѣ: овѣмъ въ Костянтинъ градъ, овѣмъ въ Алексаньдрию,[21] другымъ же другоямо, вѣтру же не напокось сущю имъ плути. И прѣбыхомъ дьний пять, не поступяще от мѣста идеже бѣхомъ. Бѣхомъ же въ мънозѣ сътужении и недомышлении: чьто се убо есть. Азъ же, яко въ снѣ, навъклиръ, имы печаль о корабли, и иже, суть въ немь вьси, начяхъ ся молити Богу о томь. И единою приде ми гласъ невидимо глаголя: “Съврьзии Марию долу, да и стройно ти ся попловеть!˝ Азъ же помышляхъ, рекы: ”Чьто се си убо будеть? Кто есть Мария?˝ Ти, якожесебе недомышляхъ о семь, пакы приде ми гласъ, рекы: “Глаголахъ ти, съврьзи Марию долу, и гонезнете!” Тогда азъ умыслихъ сице и възъвахъ напрасно, вельми рекы: “Мария!” Она же възлежаше на постели своей, да и озъва ся рекущи: “Чьто велиши, господи?” Тогда рѣхъ ей: “Сътвори любъвь, доиди сьде”. Она же въставъши приде, и яко приде, поимъ ю и отведохъ одину и рѣхъ ей: “Видиши ли, сестро Марие, какы грѣхы имамь азъ, и мене ради вьси имате погыбнути”. Она же, вельми въздъхнувъши, рече: “По истинѣ, господи науклире, азъ есмь грѣшьница”. Пакы же азъ къ ней рѣхъ: “Жено, кыя грѣхы имаши?” Она же рече: “Лютѣ мнѣ, яко нѣсть грѣха, егоже нѣсмъ не сътворила; и моихъ ради грѣхъ вьси имате погыбнути”. Таче по томь рече, съповѣда ми жена, сице рекущи: “По истинѣ, господи науклире, азъ оканьна и зълогрѣшьна! Мужа имѣхъ и дъва дѣтища, пьрвый девяти лѣть, а другы — пятию. Таче по томь умьре мужь мой. Живяше же въскрай мене воинъ, да хотѣхъ да бы мя поялъ женѣ, и посълахъ къ нему нѣкого. Воинъ же рече: «Не поиму жены, имуща дѣтий отъ иного мужа!» Тогда азъ яко то слышахъ, яко не хощеть меня пояти дѣтий дѣля, къ тому же и любящи и, заклахъ дѣтища своя оба, оканьная, и вѣсть ему посълахъ рекущи: «Не имамь уже дѣтища, ни единого». Яко то слыша воинъ тъ, о дѣтищю тою, еже есмь сътворила, рече: «Живъ Господь, живый на небеси! — яко не поиму ея». Да тѣмь убоявъшися, еда се увѣдять и уморять мя, да тѣмь бѣжахъ”. Се слышавъ азъ отъ жены тоя, и тако не рачихъ ея въврещи въ пучину морьскую, нъ сице умыслихъ рече и рѣхъ ей: “Се азъ прѣбываю въ корабли, да вѣси убо жено: аще не пойдеть корабль, — то мои грѣси дрьжять корабль”, — таче възъвахъ корабльникы утрьнии корабль. Яко же сънидохъ въ кораблиць, то не бы ничьсоже не поступи, ни великый корабль не поступи. Тогда вълѣзъ въ великый корабль, глаголахъ женѣ: “Съниди ты въ кораблиць”, она же съниде.	И вот рассказал нам тот же Палладий, говоря: Слышал я, как поведал начальник одного корабля следующее: «Когда плыл я однажды, были со мною спутники, мужчины и женщины. Как вышли в открытое море — все благополучно плыли: те в Константинополь, те в Александрию, другие же в иное место, хотя ветер и не был им благоприятен. Мы же простояли дней пять, не сходя с места, где были. Впали мы в большую скорбь и в недоумение: что же это такое? Я же, начальник, как в сновидении, озабоченный кораблем и теми, кто на нем, начал молиться Богу об этом. И однажды раздался голос, невидимо говорящий: “Сбрось Марию в море, и свободно тебе поплывется!” Я же поразмыслил, сказав: “Так что же это будет? Кто такая Мария?” И, так как я не понял этого, снова раздался голос, говоривший: “Сказал я тебе: сбрось Марию в море, и спасетесь!” Тогда понял я наконец и воскликнул внезапно, громко сказав: “Мария!” Она же лежала на постели своей, да и откликнулась, говоря: “Что хочешь, господин?” Тогда сказал я ей: “Сделай милость, подойди сюда”. Она же, встав, подошла, а как подошла, взял ее, и отвел одну в сторону, и сказал ей: “Видишь ли, сестра Мария, какие на мне грехи, из-за меня и все можете погибнуть”. Она же, сильно вздохнув, сказала: “Действительно, господин кормчий, я грешница”. И снова я ей сказал: “Женщина, какие на тебе грехи?” Она же ответила: “Горе мне, ибо нет греха, которого я бы не сотворила; и моих ради грехов все вы погибнете”. И после этого раскрыла и поведала мне женщина, так говоря: “Действительно, господин кормчий, я несчастная и злогрешная! Был у меня муж и двое детей, первый девяти лет, а второй — около пяти. А потом умер муж мой. Жил же по соседству со мною воин, и захотела я, чтобы взял он меня в жены, и послала к нему кое-кого. Воин же сказал: «Не возьму женщину, у которой дети от другого мужа!» Тогда я как услышала, что не хочет меня брать из-за детей, да к тому же и любя его, убила детей своих обоих, несчастная, и сообщила ему, говоря: «Нет у меня больше ребенка, ни единого». Как услышал то солдат, о детях-то, что я наделала, воскликнул: «Жив Господь, живущий в небесах! — ибо не возьму ее». Потому испугалась я, что узнают и умертвят меня, да так и убежала”. Такое услышав от женщины той, не решился я ввергнуть ее в пучину морскую, но так надумал и сказал ей: “Вот я спускаюсь в лодку, так знай же, женщина: если не тронется корабль, значит — не мои грехи держат его”, то же сказал и корабельщикам на корабле. Когда же сошел я в лодку, ничего не случилось, корабль не тронулся с места. Поднялся я тогда на корабль, сказал женщине: “Спустись и ты в лодку”, и она спустилась.
И егда же тъчию съниде та, абие кораблиць нѣ до пятишьды обрьтѣвъ ся, стрьмо дьну иде и погрязе; великый же корабль поплу стройно, и трьми дьньми по немь прѣидохомъ пловуще, еже быхомъ прѣшли и 15 дьний».	И как только она спустилась, тотчас лодка, раз пять перевернувшись, стремительно пошла ко дну и затонула, корабль же поплыл быстро, и за три дня пришли мы, плывя на нем, куда нужно было бы плыть пятнадцать дней!»
Слово 99	Слово 99
