О Господи, спаси же! О Господи, поспѣши же!	О Господи, спаси! О Господи, помоги!
Таже отпустивъ братию, к тому ничтоже бесѣдуя, понеже на всенощное пѣние с братиею готовяшеся, рече бо: «К тому прочее не мощно ми будеть напред свершити». Мы же мнѣхом: изнеможения ради телеснаго сия глаголеть, — послѣжде разумѣхомъ, яко отшествие свое назнаменаше намъ не явѣ, но яко да не оскоръбит нас. Таже повелѣ мнѣ у себе Святыя Троица канон проговорити, сам же бѣ во мнозѣ подвизѣ.	После этого отпустил он братию, не сделав никакого наставления, так как приготовился пойти на всенощное бдение вместе со всей братией, сказав: «Впредь больше я уже не смогу этого совершить». Мы же тогда подумали: из-за немощи своей так говорит, — и лишь потом уразумели, что уход свой из жизни так, намеком, предсказал нам, чтобы не огорчать нас. Потом повелел мне прочесть у него в келье канон Святой Троице и сам усердно молился.
Мало по захожении солнца сам воздвиже братию на всенощное бдѣние, понеже на се много усерден бѣ. Братиам же дивящимся многому его тщанию, никакоже ослабѣ, дондеже свершися всенощное правило. Уже дни освитающу умаления ради нощнаго, тогда повелѣ Иосифу крилошанину[22] правило ему обычное свершати. Таже и к святому причащению молитвы изглаголавъ, старець же начат поспѣшати, со многымъ тщаниемъ шествуя во святую церковь, священнику же повелѣ свершати святую литургию, сам же пребысть вь святѣмъ жрьтвеницѣ до причащениа божественаго тѣла и крове Христа, Бога нашего.	Вскоре же после захода солнца сам поднял братию на всенощное бдение, потому что с большим усердием относился к этому. Братия же дивилась его великому усердию, которое не ослабело до окончания всенощной службы. Когда забрезжил рассвет и пошла ночь на убыль, тогда повелел он клирошанину Иосифу читать положенную службу. Когда прочитал он молитвы, к святому причащению относящиеся, старец стал поспешать, со многим старанием шествуя в святую церковь, а священнику повелел совершать святую литургию, сам же пребывал в святом жертвеннике до причащения телу и крови Христа, Бога нашего.
Егда же свершися божественая служба, старець прииде вь свою кѣлью, братьи провожающим его. Мнѣ же мало нѣчто уготовльшу, аще пищи причаститися восхощеть: отнелиже разболѣся, ничтоже вкуси. Братьям же понудившим на се. Старець же не восхотѣ нас оскрбити: не естеству желающу, мало нѣчто вкуси, паче же братию понуди ясти отъ уготованых ему. Он же от многаго труда упокоися мало.	Когда же завершилось богослужение, старец пришел в свою келью в сопровождении братьи. Я же приготовил немного пищи — вдруг захочет поесть что-нибудь: с тех пор, как разболелся, ничего не ел. Братья стали уговаривать его поесть. Старец же не захотел нас огорчать: против желания своего немного кое-что поел, больше же братию заставил есть то, что было для него приготовлено. И от многих трудов отдохнул немного.
Въ то же время от великого князя Ивана Васильевича[23] скоро достигоша послания, понеже нѣкоимъ мановениемъ, или от Бога, или отъ скоропришедших человекъ возвѣщено бысть ему. Посланный же Федя Викентиев приходить ко мнѣ и рече ми слово великого князя: «Доведи мя до старца до Пафнотья, князь великий послалъ к нему грамоту свою». Аз же рѣх ему: «Никтоже от мирянъ входить кь старцу, ниже самый князь, аще ли же истинну ти реку — ни пославый тя внидет». Он же рече ми: «И ты донеси послание и возвѣсти ему».	А в это время от великого князя Ивана Васильевича прибыло послание, потому что то ли каким-то мановением, или же от Бога, или от быстрых гонцов пришло к нему известие о происходящем. Посланный великим князем Федя Викентьев приходит ко мне и передает мне повеление великого князя: «Проводи меня к старцу Пафнутию, князь великий прислал ему грамоту свою». Я же сказал ему: «Никто из мирян не смеет входить к старцу, даже сам князь, и если правду тебе сказать, то и пославший тебя не посмеет войти». Он же ответил мне: «А ты отнеси послание и извести его».
Аз же, взем запечатано послание, принесох кь старцу и сказах ему вся подробну реченная посланым. Старец же ми рече: «Отдай то послание пакы принесшему, да отнесеть пославшему: уже к тому ничтоже требую отъ мира сего, ниже чести желаю, ниже страха от мира сего боюся». Аз же рѣх ему: «Вѣмъ и азъ о тебѣ сия тако суть, но Бога ради намъ полезное сотвори, понеже хощет князь великий; о сем оскръбитися, не разгнѣви его!» Старець же паки рече ми: «Истину вам глаголю — не разгнѣвите Единого, ничтоже вам успѣеть гнѣвъ человѣчьскый. Аще ли же Единого разгнѣвите, еже есть Христосъ, никтоже вам помощи может. А человекъ, аще и разгнѣвается, пакы смирится». Аз же не смѣях ничтоже рещи, точью изшед рѣх ему вся предреченая и послание отдах; он же, и не хотя, скоро изыде изъ монастыря и с посланием.	Я же, взяв запечатанное послание, принес его к старцу и подробно передал ему все, сказанное посланцем. Старец же мне сказал: «Отдай снова это послание принесшему, пусть отнесет его пославшему: уже ничего не хочу от мира сего, и почестей не желаю, и ничто уже не страшит меня в мире этом». Я же сказал ему: «Знаю и я о тебе, что так это, но, Бога ради, о нашей участи подумай: ведь того желает князь великий; осердится он за это, не разгневай его!» Старец же снова сказал мне: «Истинно говорю вам — если не прогневаете Единого, ничего не причинит вам гнев человеческий. Если же Единого прогневаете, Христа, никто вам помочь не сможет. А человек, если и прогневается, то снова смирится». Я же не посмел больше ничего сказать, только вышел и передал посланцу все, о чем уже сказано выше, и послание отдал; тот же, против желания своего, быстро ушел из монастыря, с посланием.
Въ то же время приспѣ посланый от матери великого князя, христолюбивые и благочестивые великие княгини Марии,[24] понеже велику вѣру имѣше кь Пречистые монастырю и любовь кь своему богомольцу, старцу Пафнотью, якоже инъ никтоже. Аще и не бѣ преже такова, но добродѣтелию старцевою усугуби сторицею преложение свое на благое къ старцу со истинным покаянием. Таже и от великие княгини Софьи грекини[25] приспѣ посланый с посланиемъ, еще же и деньги златые приносить.	В это же время приспел посланец от матери великого князя, христолюбивой и благочестивой великой княгини Марии; ведь великую веру имела она к монастырю Пречистой и питала любовь к своему богомольцу, старцу Пафнутию, как никто другой. Прежде она не была такой, но добродетель старца изменила ее отношение к нему, и она стала по-доброму относиться к старцу, с истинным покаянием. Потом и от великой княгини Софьи-гречанки приспел посланец с посланием, еще и деньги золотые принес.
Мнѣ же старьцу возвѣстившу, старець же никако от принесеных взяти повелѣ, паче же оскорбися многаго ради стужения. Множае же азъ оскорбихся, молву творя старцу, пришедшимъ на се нудящим мя по слову посылающих. Аз же, изшед от старца, отпустих ихъ и со златом. Не токмо же от князя и от княгини, но и от прочего народа, отъ боляр же и от простых, со всѣх странъ приходящих, мы же о сих ничтоже старцу рещи смѣяхом, понеже искусихомся от предиреченных.	И когда я известил об этом старца, старец ничего из принесенного брать не велел и сильно огорчился из-за того, что так досаждают ему. Еще более же я сам огорчился, обо всем говоря старцу, ибо приходящие понуждали меня к этому по приказанию посылавших их. И, выйдя от старца, я отпустил их с их золотом. И не только от князей и от княгинь приходили, но и от других: от бояр и от простых людей из разных мест стали приходить, мы же о них старцу и сказать не смели, потому что видели, что было с ранее названными посланцами.
Пакы же приидох кь старцу, тогда рѣх ему: «Добрѣ неможешь, государь Пафнотей?» Старець же рече ми: «Ни так ни сякъ, видиши, брате, сам; болѣ не могу, понеже изнеможение телесное приде, а выше силы ничтоже ощущаю от болѣзний».	И вот когда снова вернулся я к старцу, то спросил его: «Очень тебе неможется, государь Пафнутий?» Старец же ответил мне: «Ни то ни се, видишь, брат, сам: не могу больше, потому что немощь охватила меня, а кроме этого, ничего не ощущаю от болезни».
От пищи же ничтоже вкушааше: питаем бо бѣ Божиею благодатию. Аще и повелить что устроити на въкушение, егда же принесена будуть, тогда сладцѣ похваляше и глаголаше братии: «Ядите, а я съ вами, понеже добра суть», — видящим, яко бы рещи по Лѣствичнику,[26] чрѣвообьястна себе показоваше.	Из пищи же ничего не ел: питался Божьей благодатью. Если и повелит что-нибудь приготовить из еды, то, когда принесут, тогда похвалит ее и говорит братии: «Ешьте, а я с вами — уж очень хороша», — так что видящим, если сказать по Лествичнику, любителем полакомиться себя выказывал.
Пища же его бѣ всегда братнее угожение, сам же всегда худѣйшая избираше. Не ткъмо о пищи, но и келейное устроение вся непотребна. Еще же и ризы его, мантия, ряска, овчая кожа, сандалия ни единому от просящих потребна быша.	Пищу же всегда просил такую, чтобы братии угодить, а сам всегда худшее выбирал. И не только в пище, но и во всем келейном устроении довольствовался самым малым. И одежды его — мантия, ряса, кожух, обувь — были такими, что ни одному из нищих не годились бы.
Бесѣда же его вся проста, сладцѣ бесѣдоваше не токмо братиям, но и мирьскымъ и странным. Не по человекоугодию, но по Божию закону вся глаголаше, паче же дѣлы творяше. Не устыдѣся никогдаже лица княжска или болярска, ни приносом богатых умягчися когда, но сильным крѣпко закону соблюдение глаголаше и заповѣдем Божиимъ. Простым же тако же бесѣдоваше, братию нарицаше. Никтоже от бесѣды его изыде скорбенъ когда, многымъ же и сердечьныя тайны бесѣдою отвръзаше, они же отходяще, чюдящеся, славляху Бога, прославляющаго своя угодникы.	Беседа же его была проста, усладительно беседовать с ним было не только инокам, но и мирянам и странникам. Не ради человеческого угождения, но по Божьему закону говорил он о всем, а более того в делах своих поступал так. Не робел он никогда ни перед лицом княжеским, ни перед боярским, дары богатых не могли улестить его, и сильным мира сего он повелевал неукоснительно соблюдать законы и заповеди Божий. С простыми людьми так же, как и с великими, беседовал и братьями их называл. И никто после беседы с ним никогда не уходил от него неутешенным, многим он своей беседой сердечные тайны раскрывал, и они уходили от него, удивляясь и славя Бога, прославляющего своих угодников.
И что много глаголю? Аще сия вся по единому начьну изчитати, не довлѣеть ми все время живота моего, но сиа вся совокупивъ, вькратцѣ реку: ничимже скуден бѣ в добродѣтелех дивный сей муж древних святыхъ, глаголю же Феодосиа, Савы и прочих святыхъ.[27]	Да что много говорю? Если все подряд начну перечислять, то не хватит мне всей жизни моей на это, но, объединив все вместе, вкратце скажу: ничем не уступал в добродетелях дивный сей старец древним святым, разумею Феодосия, Савву и прочих святых.
Пакы же нощи наставши, прежереченный братъ Варсонофье вжизаеть по обычаю свѣщникъ, старцу же сего не требующу, якоже преже рѣх, но намъ не терпящим свѣтило душь наших во тмѣ оставити. Мнѣ же малаго ради покоя отшедшу въ кѣлью, пакы помалѣ възвратихся кь старцу, обрѣтох его неспяща, Иисусову молитву глаголюща, брата же сѣдяща и дрѣмлюща. Аз же възвѣстих старцу часъ утрени, он же братиям въ соборѣ по обычаю вся повелѣ сверьшати, мнѣ же повелѣ у себе обычьная правити, якоже всегда обычай ему бѣше.	И вот снова наступила ночь, упомянутый уже ранее брат Варсонофий возжег, как обычно, светильник, не потому, как я уже говорил прежде, что этого требовал старец, но потому, что мы не в силах были светило душ наших во тьме оставить. Я же, уйдя в свою келью, чтобы немного отдохнуть, снова вскоре возвратился к старцу и застал его неспящим, творящим Иисусову молитву, брат же дремал сидя. Я возвестил старцу, что наступило время утрени, он же повелел братии, по обычаю, совершать богослужение в соборе, мне же велел у него в келий, как им было уже давно принято, читать, что полагалось.
Понедѣлнику же наставшу, во время божественыя службы, пакы старець въ святую Божию церковь шествуя со многым трудом, братиям помогающимъ. По свершении божественыя службы братьям вьпрашающим, аще что похощеть вкусити. Старцу же не хотящу, токмо мало исьпиваше сыти, якоже преже рѣх.	И когда наступил понедельник, во время литургии опять старец, с великим трудом, с помощью братии, пошел в святую Божию церковь. По завершении богослужения стали братья спрашивать — не хочет ли он что-нибудь поесть. Старец же ничего не хотел, только немного испил сыты, как я уже и раньше рассказывал.
Егда же упокоися мало старець, аз же от многых помыслъ борим, како хощеть после старца быти строение монастырьское, понеже старець ничтоже о сих глаголеть, аще вопрошю его о семъ или ни, таже сотворих молитву, ему же отвѣщавшу «Аминь». Тогда начах со умилениемъ глаголати.	Когда же старец немного отдохнул, я, охваченный тревожными мыслями о том, каким хочет старец, чтобы было после его смерти устроение монастырское, — ибо старец ничего не говорил об этом ни в ответ на мои вопросы, ни просто так, — сотворил молитву, а он ответил: «Аминь». Тогда начал я в волнении говорить.
Въспросъ Инокентиев: «Государь Пафнотей! Повели при своемъ животѣ написати завѣщание о монастырьском строении: какъ братии по тебѣ жити и кому игумену быти повелиши?»	Вопрос Иннокентиев: Государь Пафнутий! Прикажи при своей жизни написать завещание о монастырском устроении: как жить после тебя братии и кому повелишь быть игуменом?
Старцу же молчащу.	Старец же молчал.
Отвѣт Пафнотиа старца. Таже по малѣ часѣ начатъ глаголати старець, слезам изо очию текущимъ: «Блюдите убо сами себе, братие, как чинъ церковный и строение монастырю хощете имѣти: пѣсньнаго правила никогдаже преставляйте; свѣщамъ вжизания просвѣщайте; священници держите честно, якоже и азъ, оброка их не лишайте; божественыя службы да не оскудѣвають, тѣми бо вся поспѣются; трапезы от любостранна не затворите; о милостыни попецѣтеся; просяща потребная, тща не отпустите; от мира приходящих бесѣд удаляйтеся; в ручнѣмъ дѣлѣ тружающеся; сердце свое хранѣте всяцѣм трезвѣнием от помыслъ лукавых; по павечернѣмъ правилѣ бесѣдъ не творите другъ со другом, кождо въ своей кѣльи да безмолъствуеть; соборныя молитвы не отлучайтеся никакою нужею, развѣ немощи; весь уставъ и правило церьковное кротко и немятежно, и молчаливо, и просто рещи, яко же мене видите творяща, и вы творите. Аще бо тѣх, заповѣданнаа мною, не презрите, вѣрую Богови Вседрьжителю и того всенепорочнѣй Матере свѣту, не лишить Господь всѣх благыхъ ему своихъ мѣста сего. Но вѣм, яко по отшествии моем Пречистые монастырю будеть мятежникъ много, мню, душю мою смути и въ братии мятежь сотвори. Но пречистая Царица мятежникы утолить, и бурю мимо ведеть, и своему дому и в немъ живущей братии тишину подасть».	Ответ старца Пафнутия. Потом, спустя немного времени, начал говорить старец, проливая из глаз слезы: «Блюдите сами себя, братья, если чин церковный и монастырские порядки хотите сохранить: церковного пения никогда не оставляйте; свечи возжигайте; священников держите честно, как и я, не лишайте их положенного им; пусть не оскудевают божественные службы — ведь ими все держится; трапезную от странников не затворяйте; о милостыне пекитесь; просящего с пустыми руками не отпускайте; бесед с приходящими мирянами избегайте; в рукоделье трудитесь; храните сердце свое с неизменным усердием от лукавых помыслов; после повечерницы в разговоры друг с другом не вступайте — пусть каждый в своей келье безмолвствует; от общей молитвы ни по какой причине, кроме болезни, не уклоняйтесь; весь устав монастырский и правило церковное блюдите со смирением, и покорностью, и молчаливостью, и, попросту сказать, поступайте так, как видите меня поступающим. Если всем этим, заповеданным мною, не будете пренебрегать, верую я Богу Вседержителю и его всенепорочной и пресветлой Матери, — не лишит Господь места сего всех благостей своих. Но знаю я, что по отшествии моем в монастыре Пречистой будет смутьянов много, чувствую — душу мою смутят и среди братии раздор поднимут. Но пречистая Царица мятежников усмирит, и бурю отвратит, и своему дому и в нем живущей братии успокоение подаст».
Аще ли же реченная вамъ, братие, не вѣрна мнятся, не буди мнѣ лгати на преподобнаго, понеже и свѣдѣтелие суть неложнии: приидоша тогда братиа на посѣщение старца — Иосиф, Арсеней и Варсанофей и келейникъ старцевъ. Сия слышаще, дивляхуся, что хотят сия быти.	Если все это рассказанное вам, братья, кажется неправдой, то ведь нельзя мне ложь возводить на преподобного, тем более что и свидетели есть истинные: пришли тогда братья навестить старца, Иосиф, Арсений и Варсонофий, келейник старцев. Слышав это, дивились они тому, что должно случиться.
Отци и братие! Господа ради простите ми сие, понеже написах сия, не судя братии своей — не буди то! Но почюдихся стареву проречению, понеже сия вскорѣ в дѣло произыдоша: единъ день, пятокъ, безмолъствова, въ он же день старца въ гробѣ положихом. Прочая же напреди явлена будуть.	Отцы и братья! Господа ради простите мне сие, ибо написал я это, не осуждая братию свою — ни в коем случае! Но изумился я пророчеству старца, потому что все это вскоре в действительности произошло: один день, пятницу, безмолвствовали только, в тот день, когда старца в могилу положили. Об остальном впереди рассказано будет.
Егда же старець сия изглагола, таже умолче изнеможения ради телеснаго, дни уже скончавающуся. Таже нощь препроводи в обычных правилѣхъ.	Когда старец все это проговорил, то замолчал из-за немощи своей, а день уже подходил к концу. После этого провел он ночь в обычных молитвах.
Третьему дни седмици наставшу вторнику, таже пакы от утра начинаеть безмолвие, не повелѣ себѣ стужати ни единому от братии, желаше паки причастникъ быти тѣлу и крови Христовѣ, понеже празднику наставшу Преполовение пятьдесятници.[28] Мнѣ же с молчанием сѣдящу у старца со учеником его, старець же глаголаше псалмы Давидовы[29] со гласомъ не от единого ни от двою, но от многых избрание творя, таже премѣняя, пояше молебны, Пречистой похвалный канон, таже и Одигитрие,[30] еще же и «Многими съдръжим напастьми», таже и по Евангелии стих Богородици «Не остави мене въ человеческое предстоя». Се же беспрестани творяше, не единою, ни дващи, но и множицею паки то же начинаше. Нам же дивящимся необычному его гранесословию, но понеже не смѣяхом ни о чем же подвигнути слова, токмо ужасохомся, что хощеть сие быти. Еще же, и яко же преже рѣхъ, заповѣда не стужати ему.	Наступил третий день недели — вторник, старец с утра стал безмолвствовать и не велел себя беспокоить ни одному из братии, желая причаститься тела и крови Христовой, ибо наступил праздник Преполовения пятидесятницы. Я же молча сидел у старца с учеником его, старец же пел псалмы Давидовы, — не из одного или двух псалмов, но из многих стихи избирая, вместе с псалмами пел молитвы, канон похвальный Пречистой, и канон Одигитрии, еще и — «Многими одержим напастьми», а по прочтении Евангелия стих Богородице — «Не оставь меня в человеческом предстоянии». И все это он беспрестанно повторял, и не один или два раза, но много раз снова начинал те же песнопения. Мы же дивились необычным его стихословиям, но ни о чем не смели спросить, а только удивлялись — чем это все завершится. К тому же, как я уже сказал прежде, велел он никому не тревожить его.
Дни же прешедшу, ничтоже ино не глаголаше, точью псалмы и прочаа. Нощи же наставши, мнѣ ему обычное правило изглаголавшу. Всю же ону нощь безъ сна препроводи въ велицѣ трудѣ, мало сѣдааше, а множае стояше.	Прошел целый день, и ничего не произнес, но только пел псалмы и другие песнопения. Когда настала ночь, я прочел старцу обычное правило. Всю же ту ночь провел он без сна, в беспрерывной молитве, ненадолго присаживаясь, а больше стоял.
Егда же бысть день, паки Иосифъ сверши ему причастное правило. Старцу же спѣшно готовящуся, таже понужаше насъ кь церкви; мы же с ним шествующе, спомогахом ему мало, таже въ святемъ жрьтвеницѣ сѣдалище уготовихом ему. Божественѣй же службѣ свершившися, пакы причастник бываеть тѣлу и крове Христовѣ. По отпущении же службы изыде из церкве. Се же бѣ ему обычай многолѣтны: не преже священник служивы излѣзе от олтаря, никогдаже изыде из церкве, не прием благословения от служащаго священника.	Когда же наступил день, снова Иосиф прочел старцу правило к причастию. Старец же поспешно стал готовиться, поторапливая и нас идти в церковь; мы пошли вместе с ним, помогая ему немного, и в жертвеннике приготовили ему место для сидения. После окончания литургии снова причастился он тела и крови Христовой. После же того, как служба завершилась, вышел он из церкви. И был у него давний обычай: прежде чем священник, свершавший богослужение, не выйдет из алтаря, не покидал он церковь, не приняв благословения от служащего священника.
Егда же бысть въ кѣльи, таже ставъ в сѣнех, братьи со обою страну стоящим, въззрѣ душевным оком на братию, а чювьственым на образ Владычень и пречистые Богоматере, двѣ святѣи иконѣ имѣя, таже исполни очи слез, въздохнувъ, глаголаше. Молитва: «Господи вседръжителю, ты вѣси вся, испытаяй сердца и помыслы! Аще кто поскорбит мене ради грѣшнаго, въздажь ему, Господи, сторицею в се время и въ будущий вѣкъ живот вѣчный. Аще ли кто порадуется о моей смерти, грѣшна человека, не постави ему, Господи, грѣха».	Когда же подошли к келии, то, остановившись в сенях, — а братия стояла по обеим сторонам от него, — воззрил он в душе своей на братию, а очами телесными на образа Владыки и пречистой Богоматери — две этих святых иконы были у него — с очами, полными слез, вздохнув, стал говорить. Молитва: «Господь вседержитель, ты все знаешь, испытывающий сердца и помыслы! Если кто поскорбит обо мне, грешном, воздай ему, Господи, сторицей в этой жизни, а в будущем веке даруй жизнь вечную. Если же кто и порадуется моей, грешного человека, смерти, не поставь ему, Господи, это во грех».
Зрить бо сия обоя въ братии.	Предвидел ведь и то, и другое в братии.
Мы же, слышаще сия, ужасохомся — кождо свою съвѣсть въ себѣ судию имать, паче же азъ окаанный!	Мы же, слышав это, ужаснулись — каждый свою совесть своим судьей имеет, больше же всех я, окаянный!
Сия изъглаголавъ, таже ж повелѣ себе въ кѣлью вьвести. Пакы начатъ утѣшителна словеса глаголати братии и радостнымъ лицемъ, яко же забыти нам прежереченных глаголъ, комуждо по своей совѣсти, яко же преже рѣх, себѣ зазрѣвшу. Глаголаше бо не ощущати выше силы болѣзни. Мы же, сия видяще, мнѣхом — хощет легчае ему быти. Братия же понуждаху его и пищи причаститися, старець же не хотяше, токмо мало вкушаше нужа ради сыты, яко же множицею преже рѣх. Таже братии подоваше, глаголя: «Пийти чашю сию, чада, пийти аки послѣднее благословение, аз бо к сему не еще от сея пию или вкушу». И еще к сему многа утѣшителна словеса изьглагола, таже вьзлеже на обычномъ своемъ мѣстѣ, на немже и к Господу по едином дни отъиде.	Произнеся это, повелел он ввести себя в келью. После этого начал с радостным лицом утешительные слова говорить братии, чтобы забыли мы прежде сказанное им, ведь каждый, как я уже сказал выше, почувствовал укоры совести. И говорил он так, что казалось — не ощущает сверх силы болезнь свою. Мы же, увидев это, подумали — становится ему легче. Братья уговаривали его поесть что-нибудь, старец же ничего не хотел, только вкушал по нужде немного сыты, как я уже не раз говорил раньше. Братию же стал угощать, говоря: «Пейте чашу сию, чада, пейте, как последнее благословение, ведь я уже больше от сей не изопью и не вкушу». И к этому еще многие утешительные слова проговорил, а потом лег на обычное свое место, на котором через один день и к Господу отошел.
Отци и братие! Да никтоже ми зазрит, понеже множицею себе именую. Увы моему окааньству! Аще ли себе умлъчю, вся имам ложна писати.	Отцы и братья! Пусть никто не осудит меня за то, что часто себя называю. Увы моему окаянству! Но если про себя умолчу, то ложь напишу.
Таже рече ми старець: «Инокентей!» Аз же прилѣжно зрѣхъ на священную его главу, что хощеть рещи? И глагола: «Есть у мене сосудъ меда, прислали ми поминка, не помню, какъ его наричють». — Братья же рекоша: «Кузня». — «Возми себѣ, благословляю тя, понеже нужу мою исполнялъ еси». Мнѣ же о сем много почюдившуся, что мене, грѣшнаго, и в таковѣй немощи благословения своего сподоби. Таже братию со многым обрадованием отпусти, паче же понуди ити въ трапезу, понеже обѣду вход.	Потом позвал меня старец: «Иннокентий!» Я же со вниманием посмотрел на священный его лик — что скажет? А он говорит: «Есть у меня сосуд меда, прислали мне на поминанье, а как поминаемого зовут — не помню». Братья же сказали: «Кузня». «Возьми себе, благословляю тебя, потому что все нужное для меня делал ты». Я же сильно подивился тому, что меня, грешного, в такой немощи своего благословения сподобил. Потом братию со многими подарками отпустил, заставив всех идти в трапезу, так как наступило время обеда.
Аз же, не терпях нимало отлучитися старца, паки вьзвратихся скоро, обрѣтох его по обычаю лежаща на своем мѣстѣ, молитву творяща, аз же с молчаниемъ стоях. Таже по малѣ часѣ сотворь молитву, глаголах ему: «Государь Пафнотей! Не лучшаеть тебѣ, понеже всю неделю ничтоже вкусилъ еси пищи. Чему, господине, молчиши? Что еси здумалъ, кому приказываеши монастырь, братии ли или великому князю? О чемъ не глаголеши?» Ему же рекшу: «Пречистой». Таже по малѣ глагола ми: «Брате Инокентей! Правду ли се ты глаголеши?» Мнѣ же молчащу, еда како смутихъ старца.	Я же, не в силах и ненадолго оставить старца, снова возвратился поспешно и нашел его лежащим на своем обычном месте и молящимся, и остановился я в молчании. Потом, немного подождав, сотворил молитву и сказал ему: «Государь Пафнутий! Не легчает тебе, потому что целую неделю ничего не ел ты. Почему, господин, молчишь? Что надумал, кому поручишь монастырь — братии ли или великому князю? Отчего не говоришь?» Он же ответил: «Пречистой». Потом, немного погодя, говорит мне: «Брат Иннокентий! Взаправду ли ты это говоришь?» Я же молчал, думая, что расстроил старца.
«Мнѣ, брате, кто приказывалъ? Пречистая сама царица изволила, паче же возлюбила на семъ мѣстѣ прославити свое имя, и храм свой воздвигла, и братью совокупила, и мене, нищаго, много время питала и покоила и съ братьею. И мнѣ, пакы въ гроб зрящу смертну человеку, себѣ не могущу помощи; сама Царица какъ начала, такъ и устроити имат полезное своему дому. Вѣси самъ, не княжьскою властию, ни богатством силных, ни златомъ, ни сребром воздвижеся мѣсто сие, но изволениемъ Божиимъ и пречистыя его Матери хотѣниемъ. Не требовах от земных князь даровъ, кыихъ приати или приложити здѣ, и хотящимъ тѣмъ даяти та, но всю надежю и упование положих о всем на пречистую Царицу до сего дни и часа, в он же разлучити имать Содѣтель и Творець душю от телесе, и по отсюду отшествии пречистаа же Царица покрыеть своею милостию от насилия мрачных и лукавых духовъ, и въ страшный день праведнаго суда вѣчныя мя избавить мукы и со избранными причтеть. Аще ли и я нѣку благодать получю, не премолчю, о вас молитву творя к Господу. Сице убо поспѣшите: чисте живете, ни якоже при мнѣ точию, но велми паче по отшествии моем, со страхом и трепетом сдѣ спасение содѣловающе, да добрых ради ваших дѣлъ и азъ почию и по мнѣ пришедшеи вселятся добрѣ, и по скончании вашем покой обрящете, и кождо, в немже званъ бысть, в том да пребываеть. Своихъ мѣръ, братие, не преходите, не полезно бо вамъ се, но и душевредно. Над немощными братьями чювьством, или паче рещи, и обычаемъ не возноситеся, но дълготрьпите о нихъ, якоже своим удовом. Ей, чада, поспѣшите добродѣтельми!» Сиа и ина полезнаа глаголавъ, умолче изнеможения ради.	«Мне, брат, кто монастырь поручал? Сама пречистая Царица так решила, и, более того, пожелала на этом месте прославить свое имя, и храм свой воздвигла, и братию собрала, и меня, нищего, долгое время питала и охраняла вместе с братиею. А я, смертный человек, в могилу смотрящий, себе помочь не могу; так пусть, как Царица начала, так сама и устроит на благо дома своего. Сам знаешь — не княжеской властью, не богатством сильных, не золотом и не серебром создавалось место сие, но волею Божьей и помощью пречистой Матери его. Не просил я от земных князей никаких даров для монастыря и не принимал от тех, кто хотел принести их сюда, но всю надежду и упование о всем возложил на пречистую Царицу до сего дня и часа, в который разлучит Создатель и Творец мою душу с телом, и по отшествии из этого мира пречистая Царица да защитит своей милостью от насилия темных и лукавых духов, и в страшный день праведного суда избавит меня от вечной муки и причтет к избранным. Если же и я некоей благодати сподоблюсь, то неумолчно буду молиться за вас Господу. Вот чему следуйте: живите в чистоте, не только пока я с вами, но тем более по отшествии моем, со страхом и трепетом спасаясь здесь, чтобы ради добрых ваших дел и я почил с миром, и после меня приходящие поселялись бы здесь хорошо, тогда по скончании своем покой обрящете, и пусть каждый, к чему призван он, в том и пребывает. Выше своих возможностей, братья, на себя не берите — это не только не на пользу, но и во вред душе. Над немощными братьями в мыслях, а более того сказать — в поступках, не возноситесь, но будьте милосердны к ним, как к собственной плоти своей. Призываю вас, чада, спешите делать добро!» Это и много другого полезного сказав, умолк он в изнеможении.
По малѣ часѣ скоро приходить посланный от содержащаго в то время престолъ русьския митрополия Горонтиа[31] пресвященнаго посѣщения ради, нося миръ и благословение старцу. Таже паки от великаго князя Ивана Васильевича скоро приходить в монастырь Феодоръ, протопопъ его благовѣщеньскый,[32] также и от предреченных княгинь, от великие княгини, грекини, Юрьи грекъ.[33] О всем приходят ко мнѣ, понеже кь старцу не получиша входа, глаголюще ми слово великаго князя, чтобы навсяко видѣти старца и бесѣды от него сподобитися, понеже много оскорбишася, не приемше извѣщения от преже посланных.	По прошествии недолгого времени приходит поспешно посланец от занимавшего тогда престол русской митрополии преосвященного Геронтия, чтобы навестить старца и передать ему мир и благословение. Потом скоро приходит еще в монастырь от великого князя Ивана Васильевича его благовещенский протопоп Феодор, потом и от прежденазванных княгинь, от великой княгини, гречанки, Юрий-грек. И со всем приходят ко мне, потому что к старцу не могли войти, передавая мне повеление великого князя, чтобы обязательно повидать старца и беседы его сподобиться, ибо сильно огорчились все, не получив никакого известия от ранее приходивших посланцев.
