ХОЖДЕНИЕ НА ВОСТОК ГОСТЯ ВАСИЛИЯ ПОЗНЯКОВА С ТОВАРИЩИ[1]	ХОЖДЕНИЕ НА ВОСТОК ГОСТЯ ВАСИЛИЯ ПОЗНЯКОВА С ТОВАРИЩИ
О горѣ Сионѣ	О горе Сионе
На полуденную страну нынѣшнего града за стеною, а внутре нынѣ стараго града, стоитъ гора Сионская, велика. Святый Сион, мати церквамъ, Божие жилище. На той же горѣ былъ домъ — монастырь Виноцейского царя. А живѣтъ в нем игуменъ и мнихи, а держатъ ту церковъ виноцеенѣ; а нынѣ ту церковь держатъ турки.	С южной стороны нынешнего города за стеною, внутри старого города, стоит высокая гора Сионская. Святой Сион — мать церквам, Божие жилище. На этой горе был дом — монастырь венецианского государя. А живут в нем игумен и монахи; содержали эту церковь венецианцы, а теперь этой церковью владеют турки.
На той же горѣ был домъ Зеведеовъ, отца Иванна Богослова. В томъ дому тайную вечерю сотвори Исусъ со ученики своими и нозѣ имъ ум̀ы, а окаяннаго Июды[144] не презрѣ. В томъ же дому Иванна Богослова возляже[145] на перси Христу. В том же дому Иванна Богослова жила по распятии Господа нашего Исуса Христа мати пречистая Богородица. Егда Исусъ Христосъ стоя на крестѣ, глагола матери своей: «Жено, се сын твой», и потом глагола ученику: «Се мати твоя»,[146] от того часа поят в той домъ.	На этой же горе был дом Зеведеев — отца Иоанна Богослова. В этом доме Иисус Христос сотворил тайную вечерю со своими учениками, и омыл им ноги, и окаянного Иуду не презрел. В том же доме Иоанн Богослов возлег на грудь Христа. В том же доме Иоанна Богослова по распятии Господа нашего Иисуса Христа жила мать пречистая Богородица. Когда Иисус Христос висел на кресте, сказал он своей матери: «Жена, это сын твой», а потом сказал ученику: «Это мать твоя», — с этого времени приняли ее в тот дом.
На той же горѣ прииде Исусъ Христосъ по воскресении своем ко ученикомъ,[147] дверем затворенным, и ребра своя показа и Фому увѣривъ.[148] На той же горѣ в том же дому бысть сшествие Святого Духа[149] на святыя ученики и апостолы. На той же горѣ собрашася апостоли на преставление Божия Матери. На той же горѣ гроб святого первомученика Стефанна.[150] На том же Сионѣ есть пещера, гдѣ царь Давидъ псалтырь сложил, от того мѣста вержениемъ каменя, на том же Сионѣ, — гдѣ отсекл аггелъ Господень руцѣ жидовину,[151] прикоснувыйся ко гробу пречистыя Богородица. А от великия церкви святого Сиона на лѣвую стърану вержениемъ от лука стрѣлы Галилѣя Малая.[152] Тамо первое явися Христосъ, по воскресении своем воста из мертвых. И та вся святая мѣста на Сионской горѣ.	На этой же горе явился Иисус Христос по воскресении своем ученикам, в то время как двери были закрыты, и показал свои ребра и Фому уверил. На этой же горе в том же доме было сошествие Святого Духа на святых учеников и апостолов. На той же горе собрались апостолы на преставление Божией матери. На той же горе гроб святого первомученика Стефана. На том же Сионе есть пещера, где царь Давид Псалтырь сложил, от этого места, на расстоянии брошенного камня, на том же Сионе, — отсек ангел Господень руки иудею, прикоснувшемуся ко гробу Пречистой Богородицы. А налево от великой церкви святого Сиона, на расстоянии пущенной из лука стрелы, Малая Галилея. Там впервые явился Христос по воскресении своем, восстав из мертвых. И те все святые места на Сионской горе.
О монастырех	О монастырях
Внутрь святого града Иерусалима семнадцать монастырей стоитъ[153] и донынѣ. А пѣние в них божественное совершается не во всѣх, многие пусты стоятъ от поганых турковъ. Первый монастырь пречистыя Богородицы честнаго ея Одегитрия.[154] Вторый монастырь святого Иванна Предотечи. Третьи монастырь святого великомученика Георгия. Четвертый монастырь святого великомученика Димитрия.[155] Пятый монастырь святого архистратига Михаила,[156] в томъ монастыре живутъ старцы Савина монастыря. И в том монастыре трапеза была каменна велика и высока, погании же турки разбиша верьхъ у тое трапезы и много лѣтъ стояше без верьха. Старцы же Савина монастыря, Моисѣй да Кестодий, приидоша в Московское царство[157] ко царю и великому князю Ивану Васильевичю всеа Русии и ко святейшему митрополиту Макарию и молиша царя, дабы имъ что дал, убогимъ, на соружение трапезы. Царь же и митрополитъ не презре моления их и повелѣ дати имъ на соружение трапезы их. Они же приемше от православного царя милостыню и отоидоша радующесь во Царьград. И вдаша турскому царю злата много, дабы имъ повелел, убогимъ, у трапезы верхъ здѣлати. Он же злата ради повелел имъ у трапезы верьх здѣлати. И дал имъ грамоту к саньчаку. Санчакъ же повелѣ имъ у трапезы верьх здѣлати. Они же великъ труд подъяша своима рукама здѣлаша верхъ у трапезы. Санчакъ же прииде, да видит трапезу их и дьявольскимъ навожениемъ разъярися яростию великою на старцовъ. И повелѣ имъ верьх у трапезы разбить опять. Они же, убогие, плакахусь горце и приидоша к великому архистратигу Михаилу со слезами и сотвориша пѣние всеношное во храмѣ его.	Внутри святого города Иерусалима семнадцать монастырей, стоят и до сих пор. А служба в них божественная совершается не во всех: многие опустошены погаными турками. Первый монастырь Пречистой Богородицы, честной ее Одигитрии. Второй монастырь святого Иоанна Предтечи. Третий монастырь святого великомученика Георгия. Четвертый монастырь святого великомученика Димитрия. Пятый монастырь святого архистратига Михаила, в том монастыре живут старцы Саввина монастыря. В том монастыре была трапезная каменная, большая и высокая, а поганые турки у этой трапезной разбили верх, и много лет она стояла без верха. Старцы же Саввина монастыря, Моисей и Кестодий, пришли в Московское царство к царю и великому князю всея Руси Ивану Васильевичу и к святейшему митрополиту Макарию и молили царя, чтобы он дал им, убогим, <помощь> на сооружение трапезной. Царь же и митрополит не отвергли их моления и приказали дать им средства на сооружение их трапезной. Они приняли милостыню от православного царя и удалились в радости в Царь-град. Отдали они турецкому царю много золота, чтобы повелел для них, убогих, у трапезной починить верх. И он, за золото, повелел им у трапезной верх заделать. И дал он им грамоту к санджаку. Санджак же приказал им у трапезной верх починить. Они же, большой труд приложив, своими руками починили верх у трапезной. Пришел санджак, и увидел их трапезную, и дьявольским наваждением распалился великой яростью на старцев. И повелел он им верх у трапезной опять разбить. Они же, убогие, заплакали горько, пришли к великому архистратигу Михаилу, со слезами, и отпели всенощную в его храме.
В ту же нощь прииде к санчаку во храмину, гдѣ он почиваетъ со женою своею, человекъ незнаемъ, и взя его от ложа и поиде с нимъ. Стражие же и людие его санчаковы не видѣша того человека во дворъ входяща и из двора исходяща с ним. И наутрие обрѣтоша санчака пред враты мертва лежаща и избодена мечемъ. И испыташа извѣстно, како изыде санчакъ из двора в нощи, а не веде его никто же. И нападе на них страхъ, и рѣша в собѣ: «Оные калугеры за трапезу пришед убиша его. Да идемъ х калугеромъ и аще обрящемъ у них оружия что желѣзно, то побиемъ мниховъ всѣх». И приидоша в монастырь святого архистратига Михаила и обретоша калугеровъ во церкви стояща молящесь, и искаше у них оружия и не обрѣтоша ничто же и не сотвориша калугеромъ зла. И Божиею милостию не смеяше ко трапезе прикоснутися, стоитъ цела и донынѣ.	В ту же ночь неизвестный человек пришел к санджаку в палату, где он почивал с женой своей, и, подняв его с постели, пошел с ним. А сторожа и люди санджаковы не видели того человека, ни когда он входил во двор, ни когда он выходил с санджаком. И наутро нашли санджака, лежащего у ворот, мертвого, убитого мечом. И узнали доподлинно, как вышел санджак со двора ночью, а никто его при этом не видел. И напал на них страх, стали думать: «Это монахи пришли и убили его за трапезную. Пойдем-ка к монахам и, если найдем у них оружие или что-нибудь железное, тогда убьем всех монахов». Пришли они в монастырь святого архистратига Михаила, нашли монахов, молившихся в церкви, искали у них оружие, но не нашли ничего и не причинили монахам никакого зла. Так, Божией милостью, не посмели к трапезной прикоснуться, и она стоит цела и поныне.
Шестый монастырь святыя великомученицы Екатерины. Седьмый монастырь святыя Анны, матере святые Богородицы. Восмыи монастырь преподобнаго отца нашего Еуфимия Великого.[158] Девятый монастырь святыя великомученицы Феклы. Десятый монастырь святого отца Харитона.[159] 11 монастырь Воскресения. Вторыйнадесять монастырь святых мученикъ, иже в Севастии. Третьинадесят монастырь святого Иякова брата Господня по плоти.	Шестой монастырь святой великомученицы Екатерины. Седьмой монастырь святой Анны, матери святой Богородицы. Восьмой монастырь преподобного отца нашего Евфимия Великого. Девятый монастырь святой великомученицы Феклы. Десятый монастырь святого отца Харитона. Одиннадцатый монастырь Воскресения. Двенадцатый монастырь святых мучеников севастийских. Тринадцатый монастырь святого Иакова, брата Господня по плоти.
Стена старого града Иерусалима, округ было шесть поприщь, разбита вся до основания, а кругь нынѣшнего града Иерусалима — три поприща. На полуношную страну стоит монастырь Воздвижение Честнаго Креста,[160] на нем же Христосъ распятся. А от того монастыря на полуношную страну пять верстъ, тамо есть гора, а в ней пещера, коли бежала Елисавефъ, жена Захариина, со Предтечею, ото Ирода царя.[161] А в той пещере источникъ, от того источника питалася Елисавефъ; сотворенъ Божиимъ повелѣниемъ, не копан никимъ. Да восточнымъ граднымъ угломъ того же града Иерусалима стоятъ два дрѣва смоковныхъ, а стоятъ и до сего дни зелены. А сказывали, под темь дрѣвамъ спали два пророка.[162]	Стена старого города Иерусалима в окружности шесть поприщ, разбита вся до основания, а вокруг нынешнего города Иерусалима <стена> — три поприща. На северной стороне стоит монастырь Воздвижения Честного Креста, на нем был распят Христос. А от того монастыря на север, в пяти верстах, есть гора, а в ней пещера, куда бежала от Ирода царя Елизавета, жена Захарии, с Предтечею. А в той пещере источник, из него питалась Елизавета; он был сотворен Божьим повелением, а никем не выкопан. Да у восточного угла того же города Иерусалима стоят два дерева смоковницы, они стоят и до сего дня зеленые. Говорили,что под теми деревьями спали два пророка.
О селѣ Скудельниче[163]	О селе Скудельничем
От града же поприще на западную страну над Удолию Плачевною на горе стоитъ село Скудельниче в погрѣбение страннымъ,[164] что откуплено кровию Господа нашего Исуса Христа. О томъ бо глаголетъ Писание: «Егда преда Июда Господа нашего Исуса Христа пребеззаконнымъ июдѣемъ на тридесятих сребреницех, и тогда Господь нашь Исусъ Христосъ вольную страсть подьят нашего ради спасения от беззаконых июдѣй. Тогда завеса церковная раздрася надвое,[165] и солнце померче, и камение распадеся. И нападе страх на беззаконнаго Июду и рече в собе Июда: «Согрѣших, продах кровь неповиную». И шедъ в церьковь поверже сребряники и шед удавися. Пребеззаконнии же июдѣи рѣша: «К собе недостоитъ намъ техъ сребрениковъ положити в корнаву, сиирѣчь в казну, но понеже цена крове есть». И купиша ими село Скудельниче в погребѣние страннымъ. А которые правоверные християне приходят от всѣх странъ, от востока и до запада поклонитися гробу Господа нашего Исуса Христа и святымъ мѣстомъ; и которому пришельцу иных странъ лучитца отоити к Господу, и тѣх християнъ кладутъ в том сѣле Скудельниче. Аще ли будетъ инок в которомъ монастыре пришелецъ со иные страны, а лучитца отоити к Богу, и ис того монастыря приносятъ в то же село. А ерусалимца в томъ селѣ не положатъ никого. В томъ селѣ ископанъ погреб каменной в горѣ, кабы пещера, и дверцы малы ученены. И в томъ погребѣ предѣлана кабы закрома два, а кладутся християне в томъ погребѣ без гробовъ на земли. И егда положатъ християнина праведнаго или грѣшнаго, и лежит то тѣло его 40 дней цело и мяхко, а смрада от него нетъ. И егда исполнится 40 дней, то об одну нощь тѣло его земля будетъ, а кости наги станут. И пришед тотъ человекъ, которой в томъ селѣ живетъ, землю ту зберѣтъ лопатою во единъ закромъ, а въ другой закромъ кости.[166] А кости целы и до сего дни; а земля аки голуба. И егда кто от православных приидет помолитися и не велятъ никому ис того села мощи имати ничто же. Аще который человекъ возьметъ втай от мощей тѣх и егда приидетъ в корабль на морѣ, тогда корабль на море ити не можетъ. И учнутъ турки обыскивати християнъ и аще что найдутъ от тѣх костей, и ввергутъ того в морѣ совсем, а корабль его пойдетъ своим путемъ. И того ради не взимаютъ то того села ничто же, понеже не повѣлено бѣ.	На запад от города, в одном поприще, над Юдолью Плачевною, на горе стоит село Скудельниче, где погребают странников, что было откуплено кровью Господа нашего Иисуса Христа. О том же глаголет Писание: «Когда предал Иуда Господа нашего Иисуса Христа беззаконнейшим иудеям за тридцать сребреников, тогда Господь наш Иисус Христос добровольно мучение принял ради нашего спасения от беззаконных иудеев. Тогда завеса церковная разорвалась на две части, и солнце померкло, и камни распались. И напал страх на беззаконного Иуду, и сказал он себе: «Согрешил я, продал кровь невинную». Пришел он в церковь, бросил сребреники, пошел и удавился. Беззаконнейшие же иудеи сказали себе: «Нельзя нам эти сребреники класть в казну, так как это цена крови». Вот и купили на них село Скудельниче для погребения странников. И правоверные христиане приходят изо всех стран с востока до запада, чтобы поклониться гробу Господа нашего Иисуса Христа и святым местам; и если какому-либо пришельцу из чужих стран случается отойти к Богу, того христианина хоронят в этом селе Скудельничем. Или если будет в каком-либо монастыре пришлый монах из чужой страны и отойдет к Богу, тогда его из того монастыря приносят в это же село. А иерусалимца никакого в этом селе не похоронят. В этом селе в каменной горе выкопан погреб, вроде пещеры, и приделаны малые дверцы. В погребе этом находятся две как бы кладовые, и кладут христиан в погребе без гробов на землю. Когда положат христианина праведного или грешного, то лежит тело его 40 дней целое и мягкое, и смрада от него нет. А когда исполнится 40 дней, то за одну ночь тело его превратится в землю, а кости обнажатся. Приходит тогда человек, который живет в этом селе, соберет ту землю на лопату и помещает в одну кладовую, а кости — в другую кладовую. Кости целы и доныне; а земля словно голубая. Когда кто из православных придет помолиться, то не велят никому брать никаких мощей из того села. Если же какой-нибудь человек возьмет потихоньку часть тех мощей, то когда он сядет на корабль в море, тогда этот корабль по морю не может плыть. И начнут турки обыскивать христиан, и если найдут у кого что-то из тех костей, того выбросят в море, а корабль пойдет своим путем. Поэтому и не берут ничего из того села, поскольку не позволено это.
А от Ерусалима до того села поприще едино, а от Скудельнича села близь того иже Удоль Плачевная течетъ на полуденную страну, тотъ стоитъ домъ пустъ святого праведнаго Иева,[167] и до сего дни, да кладезь его же, камен, предѣланъ надвое. А воды в нем нетъ нынѣ. И пошла та Удоль под лавру святого Савы Освещеннаго и в Содомское морѣ.[168] И тою Удолию, сказываютъ, хощетъ течи рѣка огняна в день Страшного Суда. Да на томъ же потокѣ Силуямля купель, гдѣ слепецъ умывся и прозрѣ, а Силуямля купель под горою под каменною. А вход к ней — учинена лѣстьвица каменна велика, какъ в походной погребъ, а ступеней 50, а по конецъ лѣствицы самая купѣль Силуямля, аки кладязь, в груди человеку глубина. И приходятъ многие люди, одержими всякими недуги различными и погружаются в той купѣли и здрави бываютъ.[169] А идетъ ис тое купели вода сквозе каменную гору разсѣлиною каменною. А за горою ручей воды великъ, а на томъ ручью платье моютъ. А от града Иерусалима до купели поприще едино. Мы же воспросихомъ: «От коей купели, откуду есть?» И повѣдаша намъ людие: «Егда возврати Господь от Вавилона пленение сыновъ иизраилевъ и плен Сион, прииде Иеремѣия пророкъ, весь плѣнъ с нимъ онъ на тот потокъ, и жаден бысть Иеремѣия и весь плѣнъ. И помолися Иеремѣия Богу и дастъ ему Господь в той купели воду».[170] А рекъ и кладезей во Иерусалиме не бысть, бѣ бо мѣсто безводно, токмо едина купель Силуямля. А воду ис той купели арапи возятъ во град Иерусалимъ на верьблюдах, да продаютъ. А которые люди убогие, и тѣ питаются дождевою водою. А дождь во Иерусалиме приходитъ с Семена дни[171] септеврия месяца и до Рожества Христова, а зимою и лѣтомъ дождя не бываетъ. А егда падетъ дождь на храмѣх ихъ, а храмины у них учинены плоские верьхи, и со всѣх храминъ в коемждо дому приведены застрѣхи в кладязь. А кладязи высѣчены в каменней земли, а земля каменна. И в тѣх кладязях стоитъ вода во весь год, а вода не портится. А вода у них бѣла дождевая, а не желта.	А от Иерусалима до того села одно поприще; а от Скудельничего села близ того места, где Юдоль Плачевная течет на юг, до сего дня стоит пустой дом святого Иова праведного, да колодец его же, каменный, разделенный надвое. А воды в нем теперь нет. А Юдоль эта пролегает подле лавры святого Саввы Освященного к Мертвому морю. И тою Юдолью, говорят, будет течь река огненная в день страшного Суда. Да на том же потоке купель Силоамская, где слепой умылся и прозрел, а купель Силоамская под горою под каменною. А для входа в нее устроена большая каменная лестница, как в походный погреб, ступеней в пятьдесят, а в конце лестницы сама купель Силоамская, как колодец, глубиной по грудь человеку. И приходят многие люди, одержимые всякими разными недугами, и погружаются в ту купель, и становятся здоровыми. Из той купели вода идет сквозь каменную гору расселиною каменною. А за горою большой ручей, в том ручье стирают одежду. А от града Иерусалима до купели одно поприще. Мы спросили: «Почему здесь купель, откуда она?» И поведали нам люди: «Когда Господь возвратил из Вавилона плененных сынов израилевых и сынов из Сиона, пришел Иеремия пророк и все же плененные с ним на тот поток, и изнывали от жажды Иеремия и все пленники. Помолился Иеремия Богу, и дал ему Господь воду в той купели». А рек и колодцев в Иерусалиме нет, место это безводное, только одна купель Силоамская. И воду из этой купели арабы возят в город Иерусалим на верблюдах да продают. А убогие люди пьют дождевую воду. А дождь в Иерусалиме идет с Семенова дня в сентябре месяце и до Рождества Христова, а зимою и летом дождя не бывает. Собирают воду во время дождя: дома у них построены с плоскими крышами и со всех строений в каждом доме проведены желобы в колодец. Колодцы же высечены в каменной почве — и почва каменная. В тех колодцах вода стоит весь год и не портится. И вода у них дождевая белая, а не желтая.
А вышед из града во врата и мало пошед от воротъ, что к селу Гепсимании, и в полугорѣ лежитъ камень. На томъ камени изсядеся на камени потоки тое крови, знать и до сего дни, на память православию; а емлютъ тое крови и с каменемъ на мощи християне для благословения.	При выходе из города на малом расстоянии от ворот, ведущих к селу Гефсимании, на середине горы лежит камень. До сего дня из того камня выступает кровь, в память православию; ту кровь с кусочками камня собирают христиане как мощи для благословения.
О селѣ Гепсимании[172]	О селе Гефсимании
На том же потокѣ мало повыше града, какъ мочно из лука стрелити, по конецъ Удоли Плачевныя село Гепсимании и святых преподобныхъ Богоотецъ Иакима и Анны, иже нарицается Богородичен дом. А в томъ селѣ церковь стоитъ равна со землею, камена, во имя святых праведныхъ Богоотець Иакима и Анны, а вход внутрь в церковь издолу учинена лѣствица, стоитъ гробъ святых преподобныхъ Богоотець Иакима и Анны. А внутрѣ церкви посреди стоитъ пределецъ невеликъ каменной, а в немъ гроб святыя Богородица изсѣченъ от камени мрамора бѣлого, а над гробомъ три кадила горятъ день и ношь. А входятъ в тотъ пределѣць и поклоняются святому гробу и цѣлуют человекъ по пяти и по шести. А от того мѣста, гдѣ служба совершается, 5 сажень, и над тѣмъ престоломъ у верху церковнаго окно велико кругло. И про то окно сказывал намъ патриярхъ иерусалимской Софроние, что тѣмъ окномъ, по Господню велению, взято тѣло Богородицыно из гроба,[173] идѣже Богь весть. И вышед из церькви на правой рукѣ близь церкви пещера велика, подписана была вся, а над дверьми написан Спасов образ.[174] В той пещере предал Июда Христа пребеззаконным июдѣем. И оттолѣ пойдохомъ на другую страну Удоли Плачевныя а на Елеонскую гору; прямо от тое пещеры вержением каменя стоитъ дрѣво зелѣно и до сего дни, а имя ему маслина. Тамо Христосъ творяше молитву в тайнѣ.[175] На том же потокѣ есть доль, на том долу творяше Христос молитву, якоже рѣче Божественное Писание:[176] «Во Удоли Плачевне на мѣсте, идѣже положи и бо благословение, дастъ законъ дая». И паки Христосъ в ту же пещеру прииде ко учеником своим и обретѣ их спяща; и пришед, рече имъ: «Понеже обѣщаете со мною умрети, и нынѣ не возмогосте единаго часа побдѣти со мною. Единъ бо от вас спешитъ и бдитъ, — хощет мя предати беззаконным июдѣемъ». И отоиде от них в другое мѣсто помолитися, — на доль, идѣже есть Удоль Плачевна. И помолився, паки прииде в ту же пещеру, ко ученикомъ своимъ. И обрѣте их спяща и рече имъ: «Спите, протчее, и почивайте, духъ бо бодръ, плоть же немошна».	На том же потоке, немного выше города, на расстоянии выстрела из лука, в конце Юдоли Плачевной, находятся село Гефсимания и <дом> святых праведных родителей Богородицы Иоакима и Анны, который называется Богородичный дом. В том селе стоит церковь каменная, наравне с землею, во имя святых праведных родителей Богородицы Иоакима и Анны, а вход внутрь церкви снизу, по лестнице, там стоит гроб святых преподобных родителей Богородицы Иоакима и Анны. Внутри, в середине церкви, стоит небольшой придел каменный, а в нем гроб святой Богородицы, высеченный из камня — белого мрамора, а над гробом три лампады горят день и ночь. Входят в тот придел, и поклоняются святому гробу, и целуют его человек по пять и по шесть. А от того места в пяти саженях — где служба совершается, а над тем престолом у верха церковного — большое круглое окно. Про это окно говорил нам патриарх иерусалимский Софроний, что через него, по Господню повелению, взято было тело Богородицы из гроба, Бог знает куда. По выходе из церкви справа, около церкви, большая пещера, вся была расписана, над дверьми написан Спасов образ. В этой пещере Иуда предал Христа беззаконным иудеям. А оттуда мы пошли в другую сторону от Юдоли Плачевной на Елеонскую гору; прямо у той пещеры на расстоянии брошенного камня стоит дерево, зеленое и до сего дня, а называется маслина. Там Христос совершал молитву втайне. У того же потока есть долина, в этой долине совершал Христос молитву, как гласит Священное Писание: «В Юдоли Плачевной, на месте, где Бог положил благословение и дал закон». И снова Христос пришел в эту пещеру к ученикам своим, и нашел их спящими, и сказал им: «Вы обещали умереть со мною, а вот не можете и часу пободрствовать со мною. Один из вас спешит и бодрствует, — хочет меня предать беззаконным иудеям». И ушел он от них в другое место, чтобы помолиться, — в долину, где находится Юдоль Плачевная. А помолившись, он опять пришел в ту же пещеру к ученикам своим. И нашел их спящими и сказал им: «Спите и так далее, и почивайте, дух ведь бодр, а плоть немощна».
И оттолѣ мало идохомъ на Елеонскую гору, туто же лежитъ камень, с него же Христос на жребя всяде.[177] Оттоле поидохом на верхъ святыя горы Елеонския. От Гепсимания до верху горы Елеонския якобы полторы версты, а от Иерусалима верста едина. На самом на святомъ верху есть мѣсто, гдѣ Христосъ стоял со ученики своими. И вопросиша его ученицы о кончинѣ вѣка сего. Он же рече: «Не может того вѣдати ни Сынъ, ни ктоже, токмо Отецъ един».[178]	Пройдя немного оттуда, мы попали на Елеонскую гору; тут лежит камень, с него Христос сел на осла. Оттуда мы пошли на вершину святой горы Елеонской. От Гефсимании до вершины Елеонской горы почти полторы версты, а от Иерусалима одна верста. На самой святой вершине место, где Христос стоял со своими учениками. И спросили его ученики о конце света. Он ответил: «Не может того знать ни Сын, ни кто другой, только один Отец».
На том верху стоит великая церковъ Вознесение Христово пуста, от беззаконных турокъ запечатлѣнна. В той церкви учинена малая церковъ, в малой же церкви пред царскими дверми лежит камень. С того камени вознесеся Христосъ пред ученики своими на небеса;[179] и на томъ камени вообразишася стопы Христовы, и нынѣ лежит одна стопа Христова, знать и донынѣ. Мы же, грешнии, целовахом ее.	На той вершине стоит большая церковь Вознесения Христова, пустая и запечатанная беззаконнейшими турками. В этой церкви устроен малый храм, а в малом храме перед царскими вратами лежит камень. С этого камня Христос вознесся на небо на глазах своих учеников; на камне этом отпечатались стопы Христа, и теперь лежит одна стопа Христова, видна и по сей день. Мы же, грешные, целовали ее.
От святаго же града Иерусалима до реки Иордана поприщь,[180] идѣже крестися Господъ наш Исусъ Христосъ от Предтечи Иоанна. И ту на брегу великая церковъ Богоявление Христа Бога нашего[181] стоит пуста. От тое же церкви яко полверсты стоит монастырь Иванна Предотечи на том мѣсте, идѣже крещаше Иоаннъ Предтеча неверныя июдѣя. И в том манастыри игумен и братия. И на празник в навечерии святых Богоявлений приходит игуменъ и священницы ис того монастыря в церковъ святых Богоявлений и служат святую службу вечернюю, и всенощное, и утреню, и божественную литоргию и паки отходят во свой монастырь. Тамо же монастырь преподобнаго и святаго отца Герасима, ему же левъ поработа,[182] зело красенъ.	От святого города Иерусалима до реки Иордана ... поприщ, здесь крестил Господа нашего Иисуса Христа Иоанн Предтеча. И тут на берегу большая церковь Богоявления Христа Бога нашего стоит пустая. С полверсты от этой церкви стоит монастырь Иоанна Предтечи, на том месте, где Иоанн Предтеча крестил неверных иудеев. В этом монастыре есть игумен и монахи. На праздник к вечерней службе игумен и священник этого монастыря приходят в церковь святого Богоявления и служат святую вечернюю службу, и всенощную, и заутреню, и обедню и снова уходят в свой монастырь. Там же весьма красивый монастырь преподобного и святого отца Герасима, которому служил лев.
