ЖИТИЕ ПРЕПОДОБНААГО ОТЬЦА НАШЕГО ФЕОДОСИЯ, ИГУМЕНА ПЕЧЕРЬСКАГО	ЖИТИЕ ПРЕПОДОБНОГО ОТЦА НАШЕГО ФЕОДОСИЯ, ИГУМЕНА ПЕЧЕРСКОГО
Сицево же чюдо о цьркви той и инъгда пакы видѣ единъ от боляръ христолюбьця Изяслава. Яздящю тому нѣколи въ нощи на поли, яко 15 попьрищь от манастыря блаженааго. И се видѣ цьркъвь у облака сущу. И въ ужасти бывъ, погъна съ отрокы, хотя видѣти, кая то есть цьркы. И се яко доиде манастыря блаженааго Феодосия, тъгда же, оному зьрящю, съступи цьркы и ста на своемь мѣстѣ. Оному же тълъкнувъшю въ врата, и вратарю отвьрьзъшю ему врата, въниде и повѣда блаженому бывъшее. И оттолѣ часто приходяше къ нему и насыщаяся от него духовьныихъ тѣхъ словесъ, подаваше же и от имѣния своего на състроение манастырю.	Такое же чудо с той же церковью видел потом и один из бояр христолюбца Изяслава. Как-то ночью ехал он по полю в 15 поприщах от монастыря блаженного Феодосия. И вдруг увидел церковь под самыми облаками. В страхе поскакал он со своими отроками, желая посмотреть, что это за церковь. И когда доскакал до монастыря блаженного Феодосия, то прямо на его глазах опустилась церковь и стала на своем месте. Боярин же постучал в ворота, и, когда отпер ему привратник, вошел, и рассказал о виденном блаженному. И с тех пор часто приходил к нему, и насыщался духовной беседой с ним, и жертвовал от своего богатства на нужды монастыря.
И се же пакы инъ боляринъ того же христолюбьця идый нѣколи съ князьмь своимь христолюбьцьмь на ратьныя, хотящемъ имъ брань сътворити, обѣщася въ умѣ своемь, глаголя, яко «аще възвращюся съдравъ въ домъ свой, то дамь святѣй Богородици въ манастырь блаженааго Феодосия 2 гривьнѣ золота, еще же и на икону святыя Богородиця вѣньць окую». Таче бывъшю сънятию и многомъ от бою оружиемь падъшемъ. Послѣже побѣжени бывъше ратьнии, си же спасени възъвратишася въ домы своя. Боляринъ же забысть еже дасть святѣй Богородици. И се по дьньхъ нѣколицѣхъ, съпящю ему въ полудьне въ храминѣ своей, и се приде ему глас страшьнъ, именьмь того зовущь его: «Клименте!» Онъ же въспрянувъ и сѣде на ложи. Ти видѣ икону святыя Богородиця, иже бѣ въ манастыри блаженаго, прѣдъ одръмь его стоящю. И глас от нея исхожааше сице: «Почто се, Клименте, еже обѣща ми ся дати, и нѣси ми далъ? Нъ се нынѣ глаголю ти: потъщися съвьрьшити обѣщание свое!» Си же рекъши, икона святыя Богородиця невидима бысть от него. Тъгда же боляринъ тъ, въ страсѣ бывъ, таче възьмъ, имь же бѣ обѣщалъся, несъ въ манастырь, блаженому Феодосию въдасть, такоже и вѣньць святыя Богородиця на иконѣ окова. И се же пакы по дьньхъ немнозѣхъ умысли тъ же боляринъ дати Еваньгелие въ манастырь блаженааго. Таче, яко приде къ великууму Феодосию въ манастырь, имый подъ пазухою съкръвено святое Евангелие, и по молитвѣ хотящема има сѣсти, оному не у еще явивъшю Еуангелия, глагола тому блаженый: «Пьрьвѣе, брате Клименте, изнеси си святое Еуангелие, еже имаши въ пазусѣ своей и еже обѣщалъ еси дати святѣй Богородици, ти тъгда сядемъ». Се слышавъ, онъ ужасеся о проповѣдании преподобьнааго, не бѣ бо никомуже о томь възвѣстилъ. И тако изнесъ святое то Еваньгелие, въдасть блаженому на руцѣ, и тако сѣдъ и духовьныя тоя бесѣды насытивъся, възвратися въ домъ свой. И оттолѣ велику любъвь имяаше къ блаженому Феодосию и часто прихожааше къ нему, и велику пользу приимаше от него.	А некий другой боярин того же христолюбца Изяслава как-то, отправляясь с князем своим христолюбцем против вражеской рати, уже изготовившейся к битве, пообещал в мыслях своих: «Если вернусь домой невредимым, то пожертвую святой Богородице в монастырь блаженного Феодосия две гривны золота и оклад прикажу сковать на икону святой Богородицы». Потом была битва, и многие пали в бою. Но все же враги были побеждены, а наши благополучно вернулись домой. И забыл боярин об обещанном в дар святой Богородице. И вот несколько дней спустя, когда спал он днем в своем доме, вдруг раздался страшный голос, зовущий его по имени: «Климент!» Он же вскочил и сел на ложе. И увидел перед ложем своим икону святой Богородицы, бывшую в монастыре блаженного. И голос от иконы исходил: «Почему же, Климент, не даровал ты мне того, что обещал? Но вот теперь говорю тебе: поспеши выполнить свое обещание!» Изрекла это икона святой Богородицы и исчезла. Тогда тот боярин, испугавшись, взял, что было им обещано, понес в монастырь и отдал блаженному Феодосию, а также и оклад сковал для иконы святой Богородицы. И вот некоторое время спустя задумал тот же боярин принести в дар монастырю блаженного Евангелие. Пришел он к великому Феодосию, спрятав Евангелие за пазухой, и после молитвы собрались они сесть, и тот еще не достал Евангелия, как вдруг сказал ему блаженный: «Прежде всего, брат Климент, достань святое Евангелие, которое держишь у себя за пазухой и которое пообещал ты в дар святой Богородице, тогда и сядем». Услышав это, ужаснулся боярин прозорливости преподобного, ибо никому не говорил о своем намерении. И достал то святое Евангелие и отдал блаженному в руки, затем сели они, и, насытившись духовной беседой, возвратился боярин домой. И с той поры полюбил он блаженного Феодосия, и часто приходил к нему, и немалую пользу получал от бесед с ним.
И егда же сии прихожааху къ нему, то же си и тако по божьствьнѣмь томь учении прѣдъставляаше тѣмъ тряпезу от брашьнъ тѣхъ манастырьскыихъ: хлѣбъ, сочиво и мало рыбъ. Мъногашьды же и христолюбьцю Изяславу и таковыихъ брашьнъ въкушающю, якоже и веселяся, глаголаше блаженому Феодосию: «Се, якоже вѣси, отьче, вьсѣхъ благыихъ мира сего испълънися домъ мой, то же нѣсмь тако сладъка брашьна въкушалъ, якоже нынѣ сьде. Многашьды бо рабомъ моимъ устроившим различьная и многоцѣньная брашьна, ти не суть така сладъка. Нъ молю ти ся, отьче, повѣжь ми, откуду есть сладость си въ брашьнѣ вашемь?» Тъгда же богодъхновеный отьць Феодосий, хотя увѣрити того на любъвь Божию, глагола ему: «То аще, благый владыко, сия увѣдѣти хощеши, послушай насъ, и повѣдѣ ти. Егда бо братии манастыря сего хотящемъ варити, или хлѣбы пещи, или кую ину служьбу творити, тъгда же пьрьвое шьдъ единъ от нихъ възьметь благословление отъ игумена, таче по сихъ поклониться прѣдъ святыимь олътарьмь три краты до земля, ти тако свѣщю въжьжеть от святаго олътаря и отъ того огнь възгнѣтить. И егда пакы воду въливая въ котьлъ, глаголеть старѣйшинѣ: “Благослови, отьче!” И оному рекущю: “Богъ да благословить тя, брате!” И тако вься служьба ихъ съ благословлениемь съвьрьшаеться. Твои же раби, и якоже рече, дѣлають сварящеся и шегающе и кльнуще другъ друга, многашьды же и биеми суть от приставьникъ. И тако же вься служьба ихъ съ грѣхъмь сътваряеться». То же слышавъ, христолюбьць глагола: «Поистинѣ, отьче, тако есть, якоже глагола».	И когда приходил кто-нибудь к Феодосию, то после духовной беседы угощал он пришедших обедом из монастырских припасов: подавали хлеб, чечевицу и немного рыбы. Не раз вот так же обедал и христолюбец Изяслав и, радуясь душой, говорил блаженному Феодосию: «Вот, отче, ты же знаешь, что всех благ мира полон дом мой, но никогда я не ел таких вкусных яств, как у тебя сегодня. Слуги мои постоянно готовят разнообразные и дорогие кушанья, и все же не так они вкусны. И прошу тебя, отче, поведай мне, отчего так вкусны яства ваши?» Тогда боговдохновенный отец Феодосии, желая укрепить благочестие князя, сказал ему: «Если хочешь узнать это, добрый владыка, так послушай, что расскажу тебе. Когда братия монастырская хочет варить, или хлебы печь, или другое что-либо делать, то прежде всего идет один из них за благословением игумена, после этого трижды поклонится перед святым алтарем до земли, и зажжет свечу от святого алтаря, и уже от той свечи разжигает огонь. И потом, когда воду наливает в котел, говорит старшему: “Благослови, отче!” И тот отвечает: “Бог да благословит тебя, брат!” И так все дела их совершаются с благословением. А твои слуги, как известно, делают все ссорясь, подсмеиваясь, переругиваясь друг с другом, и не раз бывают побиты старшими. И так вся служба их в грехах проходит». Выслушав его, христолюбец промолвил: «Поистине так, отче, как ты сказал».
А иже преподобьный отьць нашь Феодосий, иже поистинѣ испълъненъ Духа Святааго, тѣмьже и Божия таланта умъноживъ, иже населивъ мѣсто множьствъмь чьрьноризьць, иже пусто суще, манастырь славьнъ сътвори. Тѣмьже не хотяше никакоже прилога творити въ немь, нъ бѣ вѣрою и надежею къ Богу въскланяяся, якоже паче не имѣти упования имѣнием. Тѣмьже и тако сего ради многашьды хожаше по келиямъ ученикъ своихъ, и аще чьто обрящааше у кого, ли брашьно сънѣдьно, ли одежею лише уставьныя одежа, или от имѣния чьто, сия възьмъ, въ пещь въмѣташе, якоже вражию часть сущю и прѣслушание грѣху. И сице же глаголаше имъ: «Нѣсть лѣпо намъ, братие, мьнихомъ сущемъ и отвьрьгъшемъся мирьскыихъ, събьрание пакы творити имѣнию въ келию свою. Како же можемъ молитву чисту приносити къ Богу, съкровища имѣнию дьрьжаще въ келии своей? О семь слыша Господа рекуща, яко “иде съкровища ваша, ту и сьрьдьця ваша”,[47] и пакы о събирающиихъ: “Безумьне, въ сию нощь душю твою изьму, а яже събьра — кому будуть?”.[48] Тѣмьже, братие, довъльни будѣмъ о уставьныихъ одежахъ нашихъ и о брашьнѣ прѣдъложенѣмь на трапезьници от келаря, а въ келии от сицевыихъ не имуще ничьтоже, да тако съ вьсякыимь усьрьдиемь и вьсею мыслию молитву свою чисту приносимъ къ Богу». И се же и ина многа увѣщавааше я съ вьсякыимь съмѣрениемь и съ сльзами учаше вься. Не бо николиже бѣ напраснъ, ни гнѣвьливъ, ни яръ очима, нъ милосьръдъ и тихъ, и милость имѣя къ вьсѣмъ. Тѣмьже и аще къто от святааго стада раслабѣлъ бѣ сьрьдцьмь, отидяше от манастыря, то же блаженый его ради въ велицѣ печали и скърби будяше и моляся къ Богу, дабы отблудивъшееся овьча от стада его възвратилъ въспять. И такоже по вься дьни прѣбываше плача и моля Бога его ради, донъдеже братъ тъ възвратяшеся въспять. То же того блаженый съ радостию приимъ учаше и́ никакоже раслабѣти вражиями къзньми, ни попустити имъ на ся, нъ крѣпѣ стати. Се бо глаголааше яко «не мужьскыя есть душа, еже раслабѣти печальныими сими напастьми». Си и ина многа глаголавъ, утѣшивъ того, отпустяаше въ келию его съ миръмь.	Преподобный отец наш Феодосии поистине был исполнен Святого Духа, потому и смог умножить божественное богатство и, населив прежде пустое место множеством черноризцев, создал славный монастырь. Но никоим образом не хотел собирать в нем сокровищ, но с верою и с надеждой уповал на Бога и никогда не придавал значения богатству. Именно поэтому постоянно обходил он кельи учеников своих, и если что-либо находил у кого — или пищу какую, или одежду, помимо предписанной уставом, или имущество какое, то изымал это и бросал в печь, считая за дело рук дьявольских и за повод для греха. И так говорил им: «Не следует, братия, нам, монахам, отвергшимся всего мирского, держать имущество в кельях своих. Как же можем мы с чистой молитвой обращаться к Богу, имея в кельях своих сокровища? Послушайте, что об этом говорит Господь: “Где сокровища ваши, там и сердца ваши”; и еще о тех, кто собирает их: “Безумный, в эту ночь душу твою возьму, а собранное тобой кому достанется?” Поэтому же, братия, будем довольствоваться одеждами, разрешенными уставом, и пищей, что получаем в трапезной от келаря, а в кельях ничего подобного не будем хранить, и тогда со всем усердием и всей душой устремимся на чистую молитву к Богу». И такими и иными словами постоянно убеждал их и поучал их со всем смирением и со слезами. И никогда не бывал он несправедлив, или гневен, не посмотрел ни на кого сердито, но был всегда милосерд, и тих, и жалостлив ко всем. Поэтому, если даже кто-либо из святого стада, ослабев душой, покидал монастырь, блаженный печалился и скорбел о нем и молился Богу, чтобы заблудшая овца его стада возвратилась бы назад. И так все дни плакал и молил за него Бога, пока тот брат не возвращался обратно. Тогда блаженный, с радостью приняв его, наставлял никогда впредь не поддаваться дьявольским козням, не давать им возобладать над собою, но держаться крепко. И говорил, что «не мужская та душа, которая может ослабеть от печальных этих напастей». Такими и иными словами утешив брата, отпускал его с миром в келью.
Бѣ же ту единъ братъ слабъ сы, иже и часто отбѣгаше от блаженаго манастыря, и егда пакы приидяше, то же блаженый съ радостию его приимаше, глаголаше бо, яко не имать бо его оставити тако, да кромѣ манастыря сего съконьчаеться. Се бо аще и многашьды отходя есть от насъ, нъ сь имать въ манастыри семь коньць житию прияти. И моляше съ плачьмь Бога о немь, прося тьрьпѣния ему. Таче по мнозѣмь исхожении ему, приде единою къ манастырю, моляся великому Феодосию, дабы приятъ былъ. То же, иже поистинѣ милостивый и, яко овьча от заблужения пришьдъшее, тако того съ радостию приятъ и причьте къ стаду своему. Тъгдаже чьрьноризьць тъ, иже бѣ своима рукама дѣлая, сътяжалъ имѣния мало, бѣ бо платьна дѣлая, сия принесъ, прѣдъ блаженыимь положи. То же святый глагола ему: «Аще хощеши чьрноризьць съвьрьшенъ быти, възьмъ сия, яко ослушания дѣло есть, въвьрьзи въ пещь горущу». Онъ же, иже теплъ сый на вѣру, несъ, по повелѣнию блаженаго въвьрьже въ пещь, и тако изгорѣ. Самъ же оттолѣ живяше въ манастыри томь, прочая дьни своя проводя, и тако ту по проречению блаженаго усъпе съ миръмь. Сицева ти бѣ любы блаженаго, и сицево милосьрьдие къ ученикомъ своимъ имяше, дабы ни единъ от стада его отлучилъся, нъ вься въкупѣ, яко пастухъ добрый, пакы пасяше, уча и утѣшая и словесы увѣщавая душа ихъ, къръмляше и напаяя не престаяше. Тѣмьже и мъногы на Божий разумъ наводяше и къ небесьному царствию направляше. Нъ се пакы на прокое отселѣ съповѣдание отьца нашего Феодосия поидемъ.	Был же там один брат, слабый духом, который часто покидал монастырь блаженного, а когда снова возвращался, то блаженный встречал его с радостью, говоря при этом, что не может допустить, чтобы тот скончался где-то вне стен монастырских. Хотя и много раз уходил он от нас, но суждено ему было в этом монастыре встретить свой последний час. И с плачем молил за него Бога, прося снисхождения. И вот как-то, после того как уже не раз покидал монастырь, вернулся тот, умоляя великого Феодосия принять его, Феодосии же — поистине милосердный — словно овцу, заблудшую и вернувшуюся, принял того с радостью и вновь ввел в свое стадо. Тот черноризец своими трудами накопил небольшой достаток, ибо ткал полотно, и тут принес все это и положил перед блаженным. А святой сказал ему: «Если хочешь быть беспорочным черноризцем, возьми все, ибо все это — плод твоего ослушания, и брось в горящую печь». Тот же, горячо веруя в Бога, по повелению блаженного отнес и бросил в печь, где все и сгорело. Сам же с тех пор жил в монастыре, все оставшиеся дни свои в нем провел и тут же, как и предвещал ему блаженный, почил с миром. Такова была любовь блаженного, и таково милосердие его к ученикам своим, и забота, чтобы ни один от стада его не отбился, но всех вместе, словно хороший пастух, пас, учил и утешал, успокаивая души их и насыщая и утоляя духовную жажду. И этим многих приводил к осознанию мудрости Божьей и указывал им путь в небесное царство. Но сейчас снова обратимся к дальнейшему рассказу об отце нашем Феодосии.
Се бо въ единъ от дний приде келарь къ сему блаженому глаголя, яко въ сий дьнь не имамъ, что прѣдъложити на ядь, се бо ни съварити чьто имамъ. Глагола тому блаженый: «Иди, потьрьпи мало, моля Бога, некъли тъ попечеться нами. Аще ли же, то да съваривъше пьшеницу, ти ту, съмятъ съ медъмь, прѣдъставиши на тряпезѣ братии, да ѣдять. Обаче же надѣюся на Бога, иже въ пустыни людьмъ непокоривыимъ хлѣбъ небесьный одъжди и источи крастѣли.[49] Тъ и намъ дьньсь мощьнъ есть пищю подати». То слышавъ, келарь отиде. И блаженый моляше Бога о сихъ. И се прѣжереченый онъ боляринъ, Богу ему възложьшю на умъ, се бо напълнивъ три возы брашьна: хлѣбъ, и сыръ, и рыбъ, сочиво же и пьшено, еще же и медъ, и то посъла къ блаженому въ манастырь. И еже видѣвъ, блаженый прослави Бога и глагола келарю: «Видиши ли, брате Феодоре, яко не имать насъ Богъ оставити, аще надѣемъся на нь вьсѣмь сьрьдцьмь. Нъ иди и сътвори обѣдъ братии великъ въ сий дьнь, се бо посѣщение Божие есть». И тако блаженый възвеселися съ братиею на обѣдѣ веселиемь духовьныимь, бѣ же самъ ѣда хлѣбъ сухъ и зелие варено без масла и воду пия — се же ѣдь его бѣ вьсегда. И николиже его бѣ видѣти дряхла или съньзъшася на обѣдѣ сѣдяща съ братиею, нъ вьсегда весело лице имуща и благодатию Божиею бѣ утѣшаяся.	Как-то в один из дней пришел келарь к блаженному, говоря: «Сегодня нет у меня никакой еды для братии и нечего мне для нее сварить». Отвечал тому блаженный: «Иди, подожди немного, моля Бога, чтобы позаботился о нас. Или же, на крайний случай, свари пшеницу и, смешав кашу с медом, предложи братии на трапезе, пусть едят. Но надеюсь я, однако, на Бога, который в пустыне на него ропщущим людям хлеб небесный низвел дождем и одарил их перепелами. Тот Бог и нам ныне может пищу подать». Услышав это, келарь ушел. И блаженный стал молиться Богу о братии. И тут помянутый нами боярин, по наставлению Божию, нагрузил три телеги съестным: хлебом и сыром, и рыбой, чечевицей и пшеном, и медом к тому же, и все то послал блаженному в монастырь. И, увидев это, блаженный прославил Бога и обратился к келарю: «Вот видишь, брат Феодор, что не оставляет нас Бог, если надеемся на него всем сердцем. Так иди же и приготовь для братии обед обильный в этот день, ибо это посещение Божье». И так блаженный радовался с братией на обеде весельем духовным, сам же ел только хлеб сухой и овощи вареные без масла, запивая водой, — такова была его ежедневная еда. Но никогда не видели его унылым или понурым на трапезе с братией, но всегда сидел с лицом радостным и утешался благодатью Божьей.
Къ сему же блаженому нѣколи приведоша разбойникы съвязаны, ихъ же бѣша яли въ единомь селѣ манастырьскѣ, хотяща красти. Блаженый же, видѣвъ я съвязаны и въ такой скърби суща, съжалиси зѣло и, просльзивъся, повелѣ раздрѣшити я и дати же тѣмъ ѣсти и пити. И тако пакы тѣхъ учаше мъного, еже никогоже прѣобидѣти и никомуже зъла сътворити. Подасть же тѣмъ от имѣния довъльное, еже на потрѣбу, и тако тѣхъ съ миръмъ отпусти, славяща Бога, якоже оттолѣ тѣмъ умилитися и никомуже зъла сътворити, нъ своими дѣлы довъльномъ быти.	К тому блаженному как-то привели связанных разбойников, схваченных в одном из сел монастырских, когда они собирались там красть. Блаженный же, увидев их связанными и в унынии, сжалился над ними и, прослезившись, приказал развязать их и дать им еды и питья. А затем долго поучал их, чтобы никому не причиняли зла. Дал им и немало денег на все необходимое и отпустил их с миром, славящих Бога; и с тех пор они раскаялись и никому больше не причиняли зла, но жили своим трудом.
Таково бо бѣ милосьрьдие великааго отьца нашего Феодосия, аще бо видяше нища или убога, въ скърьби суща и въ одежи худѣ, жаляашеси его ради и вельми тужаше о семь и съ плачьмь того миновааше. И сего ради сътвори дворъ близь манастыря своего и цьркъвь възгради въ немь святааго пьрьвомученика Стефана,[50] ту же повелѣ прѣбывати нищимъ и слѣпыимъ и хромыимъ и трудоватыимъ, и от манастыря подавааше имъ еже на потрѣбу и от вьсего сущаго манастырьскааго десятую часть даяше имъ. И еще же и по вься суботы посылаше въ потребу возъ хлѣбъ сущиимъ въ узахъ.	Таково было милосердие великого отца нашего Феодосия, что, когда видел нищего, или калеку, или скорбящего, или бедно одетого, жалел его, и очень печалился о нем, и со слезами проходил мимо. И поэтому построил двор около своего монастыря и церковь там во имя святого первомученика Стефана, и тут велел находиться нищим, и слепым, и хромым, и больным, из монастыря велел приносить им все необходимое — от всего имущества монастырского десятую часть отдавал им. И еще каждую субботу посылал воз хлеба узникам.
Въ единъ же от дьнии приде къ преподобьнуму Феодосию прозвутеръ от града, прося вина на служьбу святыя литурьгия. И ту абие блаженый, призъвавъ строителя цьркъвьнаго, повелѣ налияти вина, юже ношаше викию, и дати ему. Онъ же глагола, яко «мало имамъ вина, еже тъкъмо довълѣеть на 3, или на 4 дьни святѣй литурьгии». Блаженый же отвѣща ему: «Излѣй вьсе человѣку сему, и нами Богъ да попечеться». Онъ же отшьдъ и прѣобидѣвъ святааго повелѣния, вълия ему въ викию мало вина, оставивъ на утрия цьркъвьнѣй служьбѣ. Прозвутеръ же, несъ, еже мало ему въда, показа блаженому Феодосию. И пакы призъвавъ пономонаря, глагола ему: «Рѣхъ ти, излѣй вьсе и о утрѣйшьниимь дьне не пьцися, не бо имать Богъ оставити цьркве сея въ утрий дьнь бе-служьбы, нъ се въ сий дьнь подасть намъ вина до избытъка». Тъгда же, шьдъ, пономонарь излия вьсе вино прозвутерови и тако и́ отъпусти. Таче по отъѣдении къ вечеру сѣдящемъ имъ, и се по проречению блаженаго привезоша 3 возы пълъны суще къръчагъ съ винъмь, ихъ же посъла жена нѣкая, иже бѣ прѣдьрьжащи вься въ дому благовѣрьнааго князя Вьсеволода. Си же видѣвъ, парамонарь прослави Бога, чюдяся проповѣданию блаженаго Феодосия, еже якоже рече: «Въ сий дьнь вина до избытъка Богь подасть намъ», — такоже и бысть.	В один из дней пришел к преподобному Феодосию священник из города, прося дать вина для служения святой литургии. Блаженный тут же, призвав пономаря, велел налить вина в принесенный тем сосуд и отдать ему. Но пономарь сказал, что мало у него вина и хватит его только на три или четыре дня святой литургии. Блаженный же отвечал ему: «Налей все, что есть, человеку этому, а о нас Бог позаботится». Тот ушел, но, нарушив повеление святого, налил в сосуд немного вина, оставив для утреннего богослужения. Священник же, ибо мало ему дали, принес и показал блаженному Феодосию. Тот снова призвал пономаря и сказал ему: «Говорил тебе, вылей все и о завтрашнем дне не заботься, не оставит Бог церкви этой завтра без службы, но сегодня же подаст нам вина в избытке». Тогда пошел пономарь, налил все вино в сосуд священнику и так отпустил его. После ужина вечером сидели они, и вдруг, как и было предсказано блаженным, привезли три воза, наполненных корчагами с вином, которые послала некая женщина, ведшая все хозяйство в доме благоверного князя Всеволода. Увидев это, пономарь прославил Бога, удивляясь предвидению блаженного Феодосия, ибо как сказал тот: «В этот день подаст нам Бог вина до избытка», — так и случилось.
Бывъшю же нѣколи дьни святаго и великаго Димитрия[51], въ нь же Христа ради мучению коньць приятъ, преподобьному же Феодосию съ братиею идущу вь манастырь святаго Димитрия, и се принесоша ему хлѣбьцѣ нѣ от кыихъ зѣло чисты, ихъ же повелѣ келарю прѣдъложити на ядь оставъшии ту братии. И то же онъ, прѣслушавъся того, помысли въ себѣ, глаголя, яко «въ утрѣй дьнь, пришьдъши вьсей братии, прѣдъложю сия хлѣбы на ѣдь имъ; нынѣ же манастырьскый хлѣбъ и да прѣдъложю сей братии». Якоже помысли, такоже и сътвори. И въ утрѣй дьнь сѣдъшемъ имъ на обѣдѣ, хлѣбомъ же тѣмъ издрѣзаномъ сущемъ, таче блаженый прѣзьрѣвъ и видѣ хлебы такы суща, и, пригласивъ келаря, въпрашаше его, откуду си суть хлѣби. Онъ же отвѣщева, яко «вьчера принесени суть, нъ сего ради вьчера малу сущю братии, помыслихъ въ сий дьнь вьсей братии прѣдъложити на ядь». Тъгда же блаженый глагола ему: «Лѣпо бѣ не пещися о приходящимь дьни, нъ по повелѣнию моему сътворити. И нынѣ бы Господь нашь и присно печеться нами, большими попеклъся и подалъ намъ еже на потрѣбу». Таче поведѣ единому от братиѣ събьрати въ кошь укрухы ты и, несъше, посрѣдѣ рѣкы въсыпати ѣ, оного же епитимиею утвьрьди,[52] якоже прѣслушание сътворьша.	Как-то в день святого и великого Димитрия, в который пришел конец мучениям его за Христа, преподобный Феодосии с братией отправились в монастырь святого Димитрия, а тут принесли от кого-то белые хлебцы, и Феодосии повелел келарю подать их на стол оставшейся братии. Тот же не послушался, решив так: «Завтра, когда придет вся братия, подам им на обед эти хлебы, а сейчас монастырский хлеб предложу братьям». Как решил, так и сделал. И на другой день, когда сели все обедать и те принесенные хлебы были нарезаны, блаженный посмотрел на стол и увидел хлебцы, и, позвав келаря, спросил его, откуда они. Он же отвечал, что они вчера принесены, но из-за того, что вчера оставалось мало братьев, решил он сегодня всей братии подать их на стол. Тогда блаженный сказал ему: «Следовало бы не заботиться о будущем дне, а сделать так, как я повелел. И сегодня бы Господь наш, постоянно о нас заботящийся, еще больше бы позаботился и подал бы нам, что потребно». Тут же повелел одному из братии собрать в корзину ломти те и высыпать их в реку, а того келаря наказал епитимьею за непослушание.
