ФИЛОСОФСКИЕ СТАТЬИ	ФИЛОСОФСКИЕ СТАТЬИ
Нарицають обо суштее пачеродьный родъ. Родъ бо наричуть еже можеть по различьныимъ глаголатися видомъ, видъ же есть подъчиняемое по<д> родъ. Родъ убо пачеродьный есть въ нихъ суштие, имьже то вьсѣхъ родовъ родъ есть, се же е<сть> родъ прѣродьный. Нъ родъ на трое ся речеть: по единому убо образу отъ рожденааго, якоже отъ Издраиля издраилите наричуться; по иному же образу — отъ отьчьства, якоже и отъ Иерусалима иерусалимляне наричуться; по третьему же образу родъ наричуть раздѣляемое въ виды, еже и уставляюште глаголють: родъ есть еже о многыихъ и подобьныихъ въ виду въ томь, въ немьже чьто есть оглаголаемое.	Сущее называют высшей степенью рода. Ибо родом называют то, о чем говорится применительно к разным видам, видом же — стоящее под родом. Высшей среди степеней рода является у них сущее, поскольку оно — род всех родов, и как таковое — высший род. Но о роде говорится в трех смыслах: во-первых, как о потомках родоначальника, как потомков Израиля называют израилитами; во-вторых, — от отечества, как жителей Иерусалима называют иерусалимлянами; в-третьих, говорят о роде как о разделяющемся на виды, определяя каковой, и говорят: род есть то, что обнаруживается по многому подобному видом, — при определении, что это такое.
И «видъ» же дъвое назнаменуемое имать. Наричеть бо ся видъ и очрьтение и образъ, якоже се кумирьное. Глаголеть же ся пакы видъ подъчиняемое подъ родъ, рекъше отъ рода роздѣляемое. Да тѣмь родъ убо есть еже ся роздѣляеть въ виды, видъ же еже отъ рода, рекъше суштия роздѣляеться, еже есть непрѣрѣзаемое. Непрѣрѣзаемое же наричеться, имьже не можеть ся на много раздѣляти, рекъше Петръ единъ сы, не можете мнози Петри быти или въ многыихъ розумѣватися. Есть убо прѣродьный родъ, рекъше суштие, обьште, сирѣчь обьште о многыихъ глаголемое, неотърѣзаемо же своитьно, рекъше вь себѣ състояся и о многыихъ рештися не могы. Сего убо ради и Великый Василий се рече, суште различие сущю къ собьству, еже имать обьштее къ своитьнууму, ельма же обьштее на многы, своитьное же ни на когоже глаголеться.	И «вид» имеет два значения. Ибо видом называется образ и форма в смысле, например, образа статуи. Видом также называется стоящее под родом, иначе говоря, нечто от рода отделяемое. Так что род разделяется на виды, вид же есть отделяемое от рода, т. е. от сущности, и таковым является индивидуум. Индивидуумом он называется потому, что не может разделиться на многое; так, Петр является одним, и не может быть много Петров, и он не может быть усматриваемым во многих. Существует, таким образом, высшая степень рода, или общая, т. е. называемая общей для многих, сущность, тогда как индивидуум есть нечто частное, т. е. ограниченное собой, о чем совершенно невозможно сказать как о многом. Потому и Василий Великий сказал, что разница между сущностью и ипостасью такая же, как между общим и частным, поскольку «общее» говорится о многом, а «частное» о чем-то <одном>.
Да по вънѣшьниимъ убо раздѣлъ сицъ. Наши же наставьници, оставивъше многословие се, добросъмотрьное же и доброразумньно състроиша, якоже съкраштенааго Еуаггелия сушта слоужителю. Близное бо и ужичьное неотърѣзаемыихъ оглаголаемо, еже своитьнѣй видъ вънѣшьнии нарекоша, се божьствьнии отьци суштие рекъше естьство нарекоша, нерасѣкаемое же собьство, рекъше лице нарекоша. Собьство же и лице суштее чястьно есть. Чястьно же рѣхомъ, имьже не обьште, нъ своитьно, и единого тъчью оньсицу указая, и сущие имушта что нарицатися и быти. Такожде суштиемь и собьствомь и съ своитьныимь обьштее имы имя же и вещь. Рекъше Петръ собьство есть, нъ и суштие нѣчто: человѣкъ бо оньсица, рекъше отъдѣляемый, а не просто человѣкъ. Да васнь убо собьство суштие есть, нъ суштие нѣкое.	Таково, согласно внешним мудрецам, это разделение. Наши же учителя как служители краткого Евангелия, оставив это многословие, создали легко воспринимаемое и постигаемое учение. То, подлежащее определению, смежное и соседствующее с индивидуумами, что внешние мудрецы назвали особым видом, божественные отцы нарекли сущностью, или природой, а индивидуум наименовали ипостасью, или лицом. Ипостась и лицо есть частичная сущность. Частичной мы ее называем потому, что она не общая, но частная, и указывает на одного лишь такого-то, и чем-то осуществляемым и называется и является. И ипостась подобно сущности наряду с частным имеет общее и по имени, и на деле. Так, Петр есть ипостась, но — и некая сущность, ибо он — такой-то, т. е. определенный человек, а не человек вообще. Итак, ипостась есть сущность, но сущность некая.
Знаменати же есть, яко не възвраштаеться слово: не бо ельмаже собьство суштее, то да и суштее собьство будеть, ни ельмаже Петръ человѣкъ, да и Петрово имя всякъ человѣкъ прииметь. Есть бо Петръ Симонъ сынъ Ионинъ отъ Витъсавиды Галилѣйскыя, Христосовъ апостолъ; да сице убо и всякъ человѣкъ будеть, ельмаже человѣкъ Петръ. Да васнь убо не съвраштаеться слово еже яко «Петръ — человѣкъ» и «человѣкъ — Петръ», да тѣмь ни «собьство — сущие» и «суштие — собьство». Тѣмьже и имя «суштия» съ вештьми приметь и собьство, суштие же кичтоже отъ собьства не прииметь. Да се убо, якоже и мнѣти е<сть>, по святууму Василию, имать различье суштие къ собьству, еже има обьштина къ своитинууму, имьже суштие подълежаштемъ собьствомь нарицаеться, собьство же ни на когоже.	Следует заметить, что <это> утверждение не имеет обратной силы: ведь оттого, что ипостась есть сущность, сущность не становится ипостасью; и оттого что Петр — человек, имя Петра не распространяется на человека вообще. Есть ведь Петр-Симон, сын Ионы из Вифсаиды Галилейской, Христов апостол; именно таким окажется и человек вообще, если человек — это Петр. Но утверждения «Петр — это человек» и «человек — это Петр» необратимы; равно как и «ипостась — это сущностъ» и «сущность — это ипостась». А потому название «сущность» наряду с вещами получает и ипостась, сущность же от ипостаси не получает ничего. Отличие сущности от ипостаси, как представляется, по божественному Василию, таково же, каково — общего от частного, поскольку сущность упоминается при определении находящихся под ней ипостасей, а ипостась — ни при чем.
Суштие же разумъмь погубляемо, съпогубляеться уто и собьство: не сушту бо съпроста человѣку, ни Петра ни Павьла не будеть. Погубляемо же собьство не погубляе уто и суштия: не бо погублену Петру, погубленъ буде съпроста и человѣкъ. Пакы въводимо собьство въводить уто и суштие: иже бо и помыслихомъ Петра, туижде и того суштие, яко человѣкъ есть. Суштие же въводимо не въводи вьсяко вьсѣхъ собьствъ, надъ нимиже нарицаеться: сушту бо простууму человѣку, нѣ нужда и Петру быти, дондеже и Павьлѣ и въ Иоаннѣ без нестатъка человѣкъ разумѣваеться.	Если мысленно убрать сущность, совершенно исчезнет вместе с ней и ипостась, ибо тогда не будет человека вообще, ни Петра, ни Павла. А при исчезновении ипостаси сущность вовсе не исчезает: при исчезновении Петра не исчезает ведь человек вообще. Опять же, при появлении ипостаси обязательно появляется и сущность, ибо, подумав о Петре, мы думаем и о его сущности, — что он человек. Когда же появляется сущность, не обязательно появляются все ипостаси, в связи с которыми о ней говорится: ведь при существовании человека вообще не необходимо быть Петру, пока человек полностью усматриваем в Павле и Иоанне.
Да суштие убо моштьно разлучениеемь тъкмо указати. Аште мене упрашаеши, что есть человѣче суштие, отъвѣштаю ти абье того уставъ, яко: человѣкъ е<сть> животъ словесьмь съмрьтьнъ и супротивьныихъ особь приимъ, — нъ и отълучениемь симь укажу ти до коньца человѣче естьство. Собьство же немоштьно е<сть> отълучениемь указати, нъ тъчью подъписаниемь. Аште бо въсхошту указати ти оньсицу человѣка, рекъше Иоанна Прѣдътечу, то нужда ми е<сть> подъписати сице, якоже: Иоаннъ, сынъ Захаринъ и Елисавинъ, въ пустыняхъ въскръмленъ, бѣлъм образъмь, чрьны власы, высокъ, облѣченъ въ вельблужя власы и поясъ имы язьнѣнъ о чрѣслѣхъ своихъ, ядый пругы и дивий медъ, пророкъ же и крьститель, и усѣченъ отъ Ирода. Се убо все и подобьное сему назнаменуеть собьство, и отъ сего собьство подъчрьтаеться.	Сущее может быть представлено только определением. Ведь если ты спросишь меня, что такое сущность человека, я тут же скажу тебе его определение: человек есть словесное смертное животное, отчасти воспринявшее противоположности, — и этим определением я полностью представлю тебе сущность человека. Ипостась же невозможно представить определением, но только — описанием. Если я захочу представить тебе какого-то человека, например Иоанна Предтечу, мне необходимо будет описать его таким образом: Иоанн, сын Захарии и Елизаветы, вскормленный в пустынях, лицом белый, черноволосый, высокий, одетый в верблюжью шерсть и имеющий на бедрах кожаный пояс, питающийся акридами и медом диких пчел, пророк и креститель, обезглавленный Иродом. Все это и тому подобное характеризует ипостась, и тем самым ипостась описывается.
Сущие же къ суштию не всяко имя тежьства, нъ разньство; собьство же къ собьству всяко има тожьство и разньство.	Сущность с сущностью не обязательно имеют совпадения, но обязательно — различия; ипостась же с ипостасью обязательно имеют и совпадения и различия.
И сущие же къ суштию съходиться по сълогу; собьство же съ собьствъмь не сълагаеться, нъ прѣмѣняеться.	Сущность с сущностью соединяются в синтезе, ипостась же с ипостасью не соединяются, но сопоставляются.
И суштие же съ суштиемь сълагаемо едино собьство твори; собьство же съ собьствомь прѣмѣняемо ни суштия, ни собьства, нъ домыслимую нѣкою вещь творить, якоже се народъ и ликъ, или съборъ, и ино такожде, якоже е<сть> глаголано въ Писании: «собьство»[35] и «съборъ»[36] иноплеменьникъ; по прѣмѣну же прилога сице бы избесѣдование: въ негоже бы мѣста «сусь» решти «подъ» лагаеть ся, рекъше «собьство», «съборъ», рекъше «съставление»,[37] «състояние».[38]	Сущность, соединенная с другой сущностью, образует единую ипостась; ипостась же, приставленная к ипостаси, образует не сущность и не ипостась, но нечто умозрительное, как то народ, хор, толпу и тому подобное — вроде того, о чем говорится в Писании как об «ипостаси» и «ипостеме» иноплеменников: такого же рода выражения мы получаем, меняя предлог, ибо «ипо» ставится на место «сис», например: «ипостась», «ипостема», — вместо «систасис», «система».
Да естьства убо дѣломь и вештью сълагаема помыслъмь раздѣляються тъчью, собьства же прѣдълагаема въспять пакы помышлениемь бо съкупляються тъчью, дѣломь же и вештью отъ себе растояться.	На деле, в действительности, соединенные природы разделяются только мысленно; соединенные же ипостаси, напротив, объединяются только мысленно, на деле же, в действительности, друг от друга отделены.
Суштие же убо николиже отъ себе не различуеть, собьство же мънога има къ себѣ различия.	Сущность никогда от себя не отличается, ипостась же имеет много отличий от самой себя.
О различии	О различии
Различие же есть еже о многыихъ и различьныихъ видомъ, еже въ коемь что есть оглаголаемо. И различье есть вешть, еже прѣмѣняеть другь отъ друга, о нихъже сама оглаголаема есть. На трое же ся рече различье: обьште, и особь, и своитьнѣе. Не моштьно бо е<сть> обрѣсти двое чьто, не различьно къ себе нѣ по чьсому. Инѣмь убо различьно е<сть> видъ отъ вида, и другымъ собьство от единовидьнааго и единосуштьнааго собьства, и другыимъ собьство въ себѣ. Различьнъ бо видъ человѣчьскъ отъ виду коньска по словесьнууму и несловесьнууму. Наричеть ся словесьное и несловесьное суштно различье. Такожде и вся, имиже различуе видъ отъ вида, естьствьное и сущьное и съставьное и видотвореное различье и качьство наричеться, еже наричеться отъ вънѣшьнихъ своитьнѣе различье, акы ближе естьству указание, якоже се «словесьное» и «чувьствьное». Пакы, различь е<сть> человѣкъ отъ человѣка и конь отъ коня, по немуже овъ есть высокъ, а другый низъкъ, овъ же старъ, а другый юнъ, единъ человѣкъ мудръ, а другый юродивъ. Се все осуштьна различьи и качьства наричуться, еже есть сълучай.	Различие есть то, что усматривают у многого, различающегося видом, решая, что это такое. Различие есть то, что отличает вещи друг от друга, благодаря чему они и определяются. Говорят о трех видах различия: общем, особенном и в высшей степени особенном. Невозможно ведь найти два какие-либо объекта, не отличающиеся в чем-то друг от друга. Одни различаются видом, другие ипостасью — от единовидной и единосущной ипостаси, третьи — ипостасью от самой себя. Вид человека отличается ведь от вида лошади, как словесный от бессловесного. Отличие же словесного и бессловесного называется сущностным. Подобным образом все, чем отличается вид от вида, называется или природным, или сущностным, или относящимся к составу, или видотворящим отличием, или качеством, каковое внешние мудрецы называют в высшей степени особенным отличием, как нечто более собственное и представляющее природу, например: «словесное» и «воспринимаемое чувствами». И опять же, человек отличается от человека и лошадь от лошади, ибо один высок — другой низок, один стар — другой молод, один человек мудр, а другой глуп. Все это называется присущими различиями и качествами, зависящими от случая.
О сълучании	О случайном
Сълучай же есть, еже быва и отъбыва кромѣ подълежаштааго тьла, рекъше не сушьно есть, нъ въ подълежаштиимь суштиимь състоиться. И есть льзѣ тому же быти и не быти нѣкому: небонъ есть льзѣ человѣку бѣлу быти и не быти бѣлу, такожде же и высоку и мудру и иному такомужде.	Случайным является то, что возникает и исчезает без какого-либо вреда субъекту, т. е. не является сущностным, но состоится в подлежащей сущности. И это может быть или не быть с кем-либо: может ведь человек быть белым и не быть белым, а также быть <или не быть> высоким и мудрым и другим подобным.
Сълучай же раздѣляеться на дъвое: въ обьщее различье и въ своитьное. Обьштее убо различье есть разлученый сълучай, рекъше сѣдить нѣкто, а другый стоить; есть же льзѣ, ижде въстанеть сѣдяй и сядеть стояй, разлучиться различию ею и прияти въ иного мѣсто ино. И въ собѣ же кто наричеться различьствуя по разлученууму сълучяю: различьствуеть бо въ себѣ еже сѣдѣти и въстати и еже юну быти и старѣтися и еже болѣти и съдраву быти и инѣми сицѣми же. Своитьнѣ же различье есть неотълучаемый сълучай, рекъше есть нѣкто изѣкръ и смаглъ и подобьна симъ: да нѣ моштьно отълучитися его сициимъ. Да по симъ убо неразлучьныимь сълучаимь собьство отъ собьства различьствуе, само же отъ себе николиже.	Случайное разделяется надвое: на общие и на частные отличия. Общее отличие есть отличие отделяемое, например один сидит, а другой стоит; но возможно ведь, если сидящий встанет, а стоящий сядет, что их отличительные свойства от них отделятся и они ими поменяются. От себя, говорят, человек отличается отделяемым случайным свойством: ведь он отличается от себя, сидя или стоя, будучи молодым или старым, болея или здравствуя, и так далее, Отличие же в собственном смысле слова есть неотделимое случайное свойство, например кто-то светлоглаз и темнокож и тому подобное: отделиться от этого ему ведь невозможно. Именно неотделимыми свойствами ипостась отличается от ипостаси, но ни в коем случае не сама от себя.
О своитьнѣѣмь	Об особенном
Своитьное же есть еже вьсему и единому виду и присно сы. И своитьно есть въ немьже есть, не съврьшая ему суштиа или съпроста въ естьствьный его разумъ приемлемо. Се же да наричеться убо своить и своитьная. Своитьно человѣку еже просто ходити и еже смьятися. Да се убо и своитьно наричеться человѣку, нъ не въ сущия его разумъ прѣемлеться. Се бо отълучая, чьто есть человѣкъ, реку, яко: животъ словесьнь, съмрьтьнъ — и до коньца и укажу, чьто есть; не бы ми нужда повѣдати, яко просто ходить и смѣеться. Да то убо своитьна истовое да наричуться, елико же прилагаема не суть лиха, не прилагаема же нестатъка не творять.	Особенное есть то, что принадлежит всему и только одному виду и существует всегда. Особенное есть то, что не составляет сущности того, в чем существует, и не полностью воспринимает смысл его природы. Можно сказать, что особенное и своеобразное суть одно и то же. Так, своеобразием человека является способность ходить, держась вертикально, и смеяться. Хоть это и называется особенностью человека, но не входит в определение его сущности. Определяя здесь, что такое человек, скажу: животное словесное и смертное, — и полностью представлю, что он такое, не имея нужды говорить, что он прямоходящий и способен смеяться. Особенным должно называться главным образом то, что, будучи добавляемо, не оказывается избыточным, а не будучи добавляемо, не создает недостатка.
Раздѣлять же ся своитьно на четворо. Прьвое, еже едино есть въ виду, не всему же, якоже еже землю мѣрити человѣку: единъ бо человѣкъ земемѣрьць, нъ не вьсякъ человѣкъ землемѣрьць. Въторое же, еже вьсѣмъ убо, а не единому, якоже дъвоножьну: вьсякъ бо человѣкъ дъвоножьнъ, нъ не всякъ дъвоножьць человѣкъ: есть бо и голуби и подобьная си. Третье же, еже вьсякому человѣку и единому, нъ не присно, якоже осѣдѣти человѣку: се бо всему убо и единому строиться человѣку, не присно же, нъ въ старость. Четвьрътое же, прѣдьниихъ трии сходяшться, рекъше вьсему и единому и присно, еже и възвраштаеться, якоже се: смѣхъливое человѣку и хрепетивое коню, — еже своитьно насуштьно глаголеться, своитьно бо есть еже единому естьству строиться и възвраштаеться на уставьное.	Особенное разделяется на четыре вида. Во-первых, это то, что присуще одному виду, но не каждому его представителю, как, например, измерение земли человеку, ибо лишь человек измеряет землю, но не всякий человек землемер. Во-вторых, это то, что свойственно каждому, но не только, как, например, двуножие, ибо всякий человек двуног, но не всякий двуногий — человек: существуют ведь и голуби и тому подобные. В-третьих, это то, что свойственно всякому человеку и только <ему>, но не всегда, как способность седеть, ибо это приложимо к каждому и только к человеку но не всегда, а в старости. В-четвертых, это то, что получается при объединении трех первых, т. е. свойственно каждому, только и всегда, и что служит признаком, как, например, способность смеяться — признаком человека, а способность ржать — лошади, — о чем говорится как о свойстве присущем, ибо это особенность одной природы и она указывает на определяемое.
О имѣнии и нестатъцѣ	О свойстве и недостатке
Имение же есть еже по суштию комужьдо дѣйство и цѣлое, якоже се о души цѣломудрьство, доблесть, мудрость, правьда, при тѣлеси же съврьшеное удовъ и равьное и съдравие. Тѣхъ же неполучение и погрѣшение и съпроста погыбение глаголеться нестатъкъ. Различьное же имѣние есть съ любъвью, имьже имѣние убо неудобопрѣмѣньно есть, любы же отъпрятаюштияся отъ имѣния, удобопрѣмѣньно есть. Имѣние бо есть качьство нѣкое бѣдьнопоступьно и неудобопрѣмѣньно, любы же яже по сълучаю когожьдо качьство. Глаголемъ бо, яко которьнѣ ли, или любъвьнѣ усрьдье има оньсица къ оному, или оньсица человѣкъ съдравѣи прѣбываа къ себе нынѣ, неже прѣжде.	Свойство — это соответствующие природе каждого действие и целостность, например для души это — целомудрие, мужество, мудрость, справедливость; для тела — исправность, пропорциональность членов и здоровье. Неполучение же, недостижение и полное уничтожение этого называются недостатком. Свойство отличается от состояния, потому что свойство изменяется с трудом, а состояние, в отличие от свойства, изменяется легко. Ибо свойство есть некое трудноподвижное и с трудом изменяемое качество, состояние же — качество, зависящее от конкретного случая. Ведь мы говорим, что такой-то враждебно или дружески относится к такому-то или что такой-то человек теперь здоровее, чем был прежде.
О количьствѣ и о мѣремыихъ	О величине и о количестве
Количьство убо есть сама та мѣра мѣряштия и чьтуштия, колико же еже подъ чисменьмь и мѣрою подъложить, рекъше мѣримая и чьтомая. Количьства же ова суть разлучяема, ова же съдрьжима. Разлучаемая же суть яже ся отъ себе разлучають, якоже се три десяти камыкъ или о десяти фуникий: та бо разлучена суть отъ себе и чьтома наричуться, аште не мальствомь и множъствъ<м> мѣрима будуть спудъмь[39] или инѣмь тацѣмьжде, акы пшеница и прокое. Съдрьжаштая же ся, егда есть мѣримое, якоже се едино дрѣво обрѣтаеться дъвою локѣту или трии локътъ, или камыкъ, или чьто такыихъ, и едино сы мѣриться, да сего дѣля наричеться съдрьжимая мѣра.	Количество есть мера <и число>, измеряющие и исчисляющие, а величина — подлежащее числу и мере, т. е. измеряемое и исчисляемое. Из величин же одни делимы, а другие непрерывны. Делимые — это отделяемые друг от друга, как тридцать камней или десять фиников, ибо они отделимы друг от друга и называются исчислимыми, если только по причине малости и множества не будут измеряемы сосудом или чем-то в этом роде, как пшеница и тому подобное. Непрерывное же — это когда измеряемое является единым подобно единому дереву, которое оказывается длиной в два или три локтя, или же камню, или чему-то в этом роде, что измеряется как единое, и потому говорится о величине измеряемого.
Число же наричеться, рекъше разночьтомое, и множьство, и врѣмя, и растояния. Число убо, рекъше единьница, дъвоица, троица и прокая числа. Мѣра же, рекъше малъ, великъ, статирь, талантъ и такаяжде. Врѣмя же, рекъше чясъ, дьнь и мѣсяць и лѣто. Дальство же, рекъше длъгота, широта, глубыни.	Итак, о величине, или количестве, говорят применительно к числу, значению, времени и размерам. Пример числа: один, два, три и так далее. Пример значения: малое, большое, статир, талант и тому подобное. Пример времени: час, день, месяц, год. Пример измерения: длина, ширина, глубина.
О качьствѣ и о творитвьнѣѣмъ	О качестве и о качественной определенности
Качьство есть въсущьная сила, рекъше о родѣхъ убо съставьная розличья, рекъше словесьное, съмрьтьное, бесъмрьтье и прокая. О бесплътьныихъ же словесьныихъ — разумьное, самовластьное, присношьстьное. О тѣлесехъ же — тварь, рекъше бѣлота, чрьнота, русость и такая; и видъ, рекъше обьло, право, прѣведено, на четвьрьти и подобьная си. И пакы: мокрота, сухота, теплота, студено, мякота, жестокое, рѣдъко, чястое. И глѣни, рекъше гнѣвьное, сладъкое, бридъкое и подобьная. Качьство убо есть, по немуже каци друзии наричуться съ имене, якоже приемлюште отъ него: отъ мудрости бо мудръ наричеться, якоже имы мудрость, и теплъ иже имать топлоту. Наричеть же ся многашьды и само то качьство «какое», якоже и мѣра «число».	Качество есть способность, свойственная сущности, например, если говорить о родах, то это различия, свойственные их существу, как то способность к слову, смертность, бессмертие и тому подобные. Применительно же к бестелесным словесным существам это разумность, свобода воли, вечное движение. А применительно к телам это цвет, например белый, черный, желтый и тому подобные; и форма, как то круглая, прямая, кривая, четырехугольная и им подобные. И опять же: влажность, сухость, теплота, холодность, мягкость, твердость, рыхлость, плотность. И вкусовые ощущения, например острота, сладость, пряность и тому подобные. Таким образом, качество есть то, соответственно чему некоторые вещи получают прозвания как им обладающие: ведь от мудрости обладающий мудростью называется мудрецом и горячим называется то, что имеет жар. Часто и о самом качестве говорят «какое», как о количестве — «величина».
Качьству же видъ есть и сила и дѣйство; яже не суть убо дѣйство, имуть же устрой и силу естьствьную. Наричеть бо ся ова «по устроению», ово «по нраву», рекъше по дѣйству. «По покошьнууму» же, како се егда речемъ дѣтишту силою кънижьникъ быти има, имьже има покошьное, якоже быти кънихъчий. «По нраву» же, якоже егда речемъ млъчаштууму кънигъчию можеть по млъчании хытрость показати. Или якоже о зрьнѣ пьшеничьнѣ: се бо овогда класъ есть, егда створи класъ зьрѣя, дѣиствъмь же нѣсть класъ, нъ пьшеница. И топлое дѣйствъмь убо ни е топло, ни е горяште. Силою же всяко, по немуже можеть, студеное убо студимо, тепло же грѣемо. И пакы дѣтишть ни доброты имы, ни злобы, силою же вьсяко, по нейже имѣти. Нарицаеться сила и мошть и вои.	Видом качества являются сила и энергия; то, что не является энергией, обладает природными способностями и силой. Говорится ведь об одном — «по способности», а о другом — «по свойству», т. е. по действию. «По способности» — когда речь идет о том, что ребенок в состоянии быть грамотным, поскольку у него есть способность стать грамотным. «По свойству» же — когда речь идет о пребывающем в покое грамматике: отдохнув, он может показать свое искусство. Это схоже с пшеничным зерном, ибо оно некоторым образом представляет собой колос, поскольку, будучи посеяно, производит колос, но по действию оно является не колосом, но хлебом. И теплое по действию не является ни холодным, ни горячим; в потенции же холодное обязательно — в той мере, в какой способно осуществиться, — холодит, а горячее греет. И опять же, ребенок не имеет ни добродетели, ни порочности, в потенции же он есть полностью то, чем он может стать. Потенцией <силой> называется и мощь, и войско.
О томь, еже къ кому	О том, что к чему-то относится
Къ кому же суть, елико же само еже есть инѣхъ сы нарицаеться, купно же и възвраштааться къ себѣ. Акыже суть нарицаемыя любъви, акы отьца къ сыну, и друга къ другу, и ученику къ учителю, и владыцѣ къ робу: се бо имать и дрьжиться отъ другъ друга, тѣмьже и «любъви» нарицаються. Къ нѣ къ кому же суть и по притъчи нарицаемая, рекъше «более», «сугубое», «унее», «острѣее». Се бо по прѣдъложению инѣхъ нарицаеться сы сице, рекъше вяштее худааго есть вяштее, и сугубое половьнааго есть сугубое, и прока такожде. Есть же и се того еже къ кому, рекъше художьство и охудожьное, чувьство и чуемое, положение <и полагаемое>. Си убо, якоже глаголахъ, еже къ кому суть, елико же сама, яже суть, инѣхъ наричуться сушта или якоже како инако имуть къ иному.	Относящимся к чему-то является то, что, существуя, называется принадлежащим другому, поскольку они указывают друг на друга. Таковы, например, так называемые отношения отца к сыну, друга к другу, ученика к учителю и хозяина к рабу: ведь одни имеют отношение к другим и другие к ним имеют отношение, почему это и именуют «отношениями». Отношением к чему-то является и то, что говорится при сопоставлении, например: «большее», «двойное», «лучшее», «более острое». Это ведь говорится при сравнении с другим; так, большее является большим относительно меньшего, а двойное двойным относительно того, что составляет его половину, и прочее так же. К имеющему отношение к чему-то относятся также познание и познаваемое, разумение и уразумеваемое, причиняющее и причиняемое, чувство и воспринимаемое чувством, утверждение и утверждаемое. Такого рода определения, как сказано, обозначают отношение к чему-то, поскольку то, что существует, говорит о существовании другого или же имеет какое-то другое отношение к другому.
О супротивьныихъ	О противоположностях
Супротивь яже истовая суть еликоже ихъ погублениемь супротивьныихъ съставяються, рекъше доброта и злоба, видѣние и слѣпоту, и творить по нестатъку и по имѣнию супротивьная: имѣние бо есть видѣние акы отъ имѣния, лишение же имѣния, рекъше видѣния, слѣпота — и повѣштание и отъвѣштание. Повѣштание же есть, рекъше: «Павьлъ апостолъ есть», отъвѣштание же супротивьно, рекъше: «Паулъ нѣсть апостолъ». Глаголеть же ся обое отъвѣтъ и обличение. Да ельма убо вьсему наповѣштанию супротивъ е<сть> отъвѣтъ и всему отъвѣту супротиви е наповѣштение, да отъвѣтъ, супротивънъ сы наповѣштанию, и повѣштание супротивьно сы отъвѣту супротиворѣчие ся наричеть, да нужда е<сть> единому лъгати, а другому истину вѣштати. Да погубениемь убо единого друга оставляеться: погубляему бо наповѣштанию, отъвѣштание съставляеться, и погубляемѣ злобѣ съставляеться доброта, и погубляемѣ слѣпотѣ, видѣние съставляеться. Да сицая убо супротивьна наричеться, еликоже въкупѣ съставитися не могуть, нъ всяко погубляемо единому, есть другое.	По-настоящему противоположным является то, что появляется при устранении обратного, как то добродетель и порочность, зрение и слепота, и создает противоположности в смысле лишенности и обладания свойством. Зрение является ведь свойством, как происходящее от обладания, лишение же свойства, т. е. зрения, есть слепота, тут — утверждение и отрицание. Пример утверждения: «Павел — апостол»; а отрицание, наоборот: «Павел не апостол». А вместе они называются утверждением и отрицанием. И поскольку на всякое утверждение есть отрицание, а на всякое отрицание утверждение, то отрицание, противоположное утверждению, и утверждение, противоположное отрицанию, называются противоречиями, и по-необходимости одно ложно, а другое истинно. При устранении одного появляется другое: когда устраняется утверждение, появляется отрицание, и когда устраняется порочность, появляется добродетель, а когда устраняется слепота появляется зрение. Таковое называется противоположным, существовать одновременно неспособным; и только при полном устранении одного существует другое.
О оглаголемыихъ	Об используемых определениях
Вьсе оглаголаниемь или и о мнозѣ глаголеться и бывае или о равьнъихъ, о мьньши же николиже. И о больши же, егда вьсячьская оглаголаються чястьныихъ; вьсячьская убо суть сущая выше, чястънѣиша. В яже ниже. И всячьское же убо вьсѣхъ есть сяе, тѣмьже и вьсѣхъ оглаголание имать: небонъ и суштие сяе наричеться и сълучай сяе глаголеться. Не можемы же решти, яко сяе суштие есть: не бо тъчью суштие есть сяе, нъ и сълучай.	При всяких определениях произносится и присутствует либо большее, либо равное, а меньшее — никогда. Большее — когда более общее служит для определения более частного. Ведь более общее находится выше, более частное ниже. Самым общим из всего является сущее, почему оно используется для определения всего. Ведь и сущность называется сущей, и случайность называется сущей. Но мы не можем сказать, что сущее является сущностью, ибо не только сущность является сущим, но и случайность.
Такожде же и родове оглаголаються видовъ: видове бо чястьнѣйше су<ть> родовъ. Оглаголаеться убо суштие живота и животъ человѣка; небонъ животъ суштие есть, и человѣкъ животъ есть. Не обраштаеть же ся въспять: вьсь бо человѣкъ животъ, нъ не вьсь человѣкъ животъ. И конь бо и пьсъ животи суть; такожде же и всякъ животъ суштие есть, нъ не все суштие животъ есть: и камыкъ бо и дрѣво суштие есть, яже не суть животи.	Подобным образом используют роды для определения видов, ибо виды более частны по сравнению с родами. Таким образом, сущность используется для определения животного, а животное для определения человека, ибо и животное является сущностью, и человек животным. Но это необратимо: ибо всякий человек животное, но не всякое животное человек. И лошадь ведь, и собака являются животными; и подобным образом всякое животное есть сущность, но не всякая сущностъ есть животное: ведь и камень, и дерево представляют собой сущность, но не являются животными.
