МѢСЯЦА ДЕКЯМБРЯ ВЪ 6 ДЬНЬ.	МЕСЯЦА ДЕКАБРЯ В 6-Й ДЕНЬ.
Въ едино же лѣто на прѣславьную его память и вьсѣмъ людьмъ идущемъ на святый тъ съборъ, онъ же благовѣрьный мужь, приготовавъ свѣща, и масло, и тьмьянъ, и еже на потрѣбу на канонъ и на утрьнюю, таже пусти сына своего единочадаго именьмь Василия съ отрокы и рече: «Иди, чадо мое, къ святому и великому господину нашему и теплому заступьнику, и сътвори служьбу, и канонъ, и утрьнюю, и литургию. Таже придеши на обѣдъ; азъ и мати ти, сьде оставъша да учинивѣ, еже на потрѣбу братии Божии, гостьмъ и вься, яже суть на пользу». И то слышавъ, Василий радъ бывъ и веселъ, и поклонивъся отьцю и матери, отиде къ святому Николѣ.	В один год, на преславную его память, когда шли все люди на святое то собрание, тот благоверный муж, приготовив свечи, масло, фимиам и <все другое>, необходимое для канона и утрени, послал затем с отроками своего единственного сына Василия и сказал ему: «Иди, чадо мое, к святому и великому господину нашему и теплому заступнику и сотвори службу, и канон, и утреню, и литургию. После этого придешь на обед; я и мать твоя, оставшись здесь, устроим все, что надобно братии Божией, гостям, и все, что во благо». И слыша это, Василий рад был и весел и, поклонившись отцу и матери, пошел к святому Николе.
И дошьдъшю ему къ святому, и вечеръ и канонъ пѣвъшю, и утрьнюю поюще наполы, рано вънезапу придоша срацини и сташа около цьркъве и пояша вься люди, и оного сына Василия благовѣрьнааго оного мужа именьмь Агрика. И ведоша и въ срачины, и ту приведъше я въ островъ Критьскый. Сына же Агрикова Василия избьравъше, понеже бяше добръ и лѣпъ, даша и´ кънязу сорочиньскому Амирѣ.[22] Видѣвъ же и´ Амира вельми красьна, въздрадовася и рече: «Сь уноша рода велика есть былъ. Достоинъ есть да будеть прѣдъ лицьмь моимь». А другыя продаша, а другыя же въ тьмьници затвориша.	И когда пришел он к святому, и спели уже вечерню и канон, и уже наполовину спели утреню, на рассвете внезапно появились сарацины, окружили церковь и пленили всех людей, и <с ними> того Василия, сына того благочестивого мужа по имени Агрик. И повели его в <землю> сарацин, и привели их на остров Критский. Сына же Агрикова, Василия, избрав, потому что был хорош собой и красив, отдали князю сарацинскому Амире. Князь Амира, видя его, очень красивого, обрадовался и сказал: «Этот юноша знатного рода был. Достоин он прислуживать мне». Других же продали, а иных в темницу заключили.
Родителя же Василиева, отьць и мати, слышавъша бѣду бывъшую и великую печаль, многъ плачь бы и велико рыдание въ дому ихъ. И въ печали за дъвѣ лѣтѣ святому Николѣ не сътвориста памяти, ни свѣщь, ни масла пустиста; нъ паче егда память святому придяше, то поминающа чадо свое, въ свѣщь мѣсто и масла сльзы многы, и рыдание, и кричание пущаста.	Родители же Василия, отец и мать, узнали о случившейся беде и великом горе, и был у них в доме сильный плач и великое рыдание. И в печали два года не праздновали они память святого Николы и не посылали ни свечей, ни масла; и больше того, когда наступал праздник святого, то они, вспоминая чадо свое, вместо свечей и масла испускали обильные слезы, и рыдание, и громкий плач.
Чьто ли реку, любъвьници? Къто ли можеть та вься исповѣдати, или къто я можеть утѣшити? Или къто можеть стенания или въздыхания матерьня издрещи, яже стенаше и въздыхаше от сьрдьца, или огньныихъ сльзъ отьчь, тьрзание же власъ матере, тако бяше положила на земли, якоже и на мнозѣ вълнѣ сѣдяше, а глаголющи: «Сыну мой драгый иночадый, да быхъ тебе не породила, ни познала! Како тебе не узьру съ дѣтьми, иже ти суть были съвьрстьници? Како ли тебе не прихващю рукама своима или усты своими цѣлую или по пути или по двору ходяща тя? Добрѣе ми бы да тя быхъ видѣла на одрѣ лежаща въ болѣзни, да тя быхъ подъвигнула, и положила, и послужила, неже бы да въпалъ въ сквьрньнѣи руцѣ. Или от Бога да пришелъ ангелъ, таже душю твою приялъ, то съ радостию ти быхъ тѣло твое съкутала, а моя чрѣсла и сьрдьце не бы ся ръвало, — абы въ чюжю землю не заведенъ!»	Что же скажу, возлюбленные? Может ли кто рассказать обо всем этом, и может ли кто их утешить? И может ли кто передать стенания и воздыхания матери, которая стенала и воздыхала всем сердцем, или горючие слезы отца, или как мать рвала на себе волосы и так покрыла ими землю, что словно на большом руне сидела и причитала: «Сыночек мой дорогой, единственный, лучше бы я не родила и не узнала тебя! Неужели не увижу тебя с детьми, которые были твоими сверстниками? Неужели не ухвачу тебя руками своими, идущего по дороге или по двору, и не поцелую губами своими? Лучше бы мне видеть тебя на постели, в болезни лежащего; я бы тебя и подняла, и положила, и ухаживала бы за тобой, и не оказался бы ты в скверных руках. Или придет пусть от Бога ангел и примет твою душу; то с радостью бы тело твое обрядила, и не надрывалось бы мое сердце и утроба; лишь бы не был ты уведен в чужую землю!»
Събираху же ся къ нима от инѣхъ градъ и от вьсии ближикы и друзи, и увѣщавахуся, и чюдяхуся вънезапу бывъшю полону. И бывъше въ радости мѣсто плачь, и въ пѣнии мѣсто на святаго Николы дьнь рыдание въ нихъ и сѣтование. И тако я утѣшающе, глаголааху. «Чьто естьчюдьнѣе святаго Николы или сильнѣе? Разумѣйте въ чюдесьхъ его, колико створи: из дьна моря чловѣкы избавивъ, и от меча избави, и ис тьмьниця, и егда хотяше посѣщи три оны мужа безъ грѣха. И съ вечера нощию цѣсарь Костянтинъ възъва епарха и рече: “Утро изведи три муже ты ис тьмьницѣ посѣци”. Тъгда слышавъ епархъ отъ цѣсаря, пусти къ мужемъ тѣмъ тако и рече: “Покайтеся нощь су да будете готови; утро бо, ми реклъ цѣсарь, еже усвьнеть, тоже вы хощю посѣщи”. И то слышавъше, ти мужи начаша плакати, глаголюще и Бога моляще: “Святый Николае, помози ны, избави ны горькыя сея съмьрти!” И той нощи полунощи явися святый Николае цѣсарю Костянтину въ полатѣ и глагола: “Аще не пустиши мужь тѣхъ, то пожьгу домъ твой и тебе”. И то слышавъ цѣсарь и рече къ епарху: “Приведи мужа ты”. И приведоша я, и рече имъ: “Знаете ли Николу от Миры?” Они же рекоша: “Знаемъ, господинъ бо то нашь и митрополитъ”. И рече имъ цѣсарь: “Идѣте, Богъ вы и святый Николае прощаеть”. И одаривъ я, пусти домови. И въставъше, идоша съ великою радостию домови, хваляще и славяще Бога и святаго Николу, избавльшаго я от горькыя съмьрти».	Приходили к ним из других городов и сел родственники и друзья, и увещевали их, и удивлялись внезапному пленению. И вместо радости был плач, а вместо пения на день святого Николы — рыдание их и печаль. И так, утешая их, говорили: «Есть ли кто чудодейственнее святого Николы или сильнее? Вспомните о чудесах его, сколько он их сотворил: со дна моря человека спас, и от меча избавил, и из темницы, и когда хотели казнить тех трех мужей невинных. Призвал тогда цесарь Константин поздно вечером судью и сказал: “Утром выведи тех трех мужей из темницы и убей”. Тогда судья, услышав это от цесаря, послал к мужам тем так сказать: “Покайтесь этой ночью, чтобы вы были готовы, потому что утром, как приказал мне цесарь, когда рассветет, тогда я должен вас убить”. Услышав это, мужи те начали плакать, причитая и моля Бога: “Святой Никола, помоги нам, избавь нас от горькой этой смерти!” И той же ночью, в полночь, явился святой Никола цесарю Константину в палате и сказал: “Если не отпустишь тех мужей, то сожгу твой дом и тебя”. И услышав это, цесарь сказал судье: “Приведи тех мужей”. И привели их, и спросил он: “Знаете ли Николу из Мир?” Они же ответили: “Знаем, ведь это господин наш и митрополит”. И сказал им цесарь: “Идите, Бог и святой Никола прощают вас”. И одарив их, отпустил домой. И встав, пошли они с огромной радостью домой, хваля и славя Бога и святого Николу, избавившего их от горькой смерти».
Та же вься слышавъ Агрикъ от сусѣдъ и от другъ своихъ, утѣшися и, въставъ, иде къ женѣ своей и рече: «Воле ты жено, е ли ныне нама польза, оже вѣ се плачевѣ дьнь и нощь третиее лѣто, и святаго забыховѣ, и не идоховѣ къ нему. Нъ ныне уже, жено, послушай мене, и съ великою вѣрою поидивѣ къ святому и да ся помоливѣ; и вѣдѣ, яко велико утѣшение прияти имавѣ, и съ надѣжею доброю и великою възвратитися; и тако имавѣ улучити, яко въ наю руцѣ въдати имать святый наю чадо или проявити нама имать: живо ли будеть тамо, въ работѣ ли, или мьртвъ». И та вься слышавъши отъ мужа своего, рада бывъши, рече къ мужеви своему: «Да възьмъша свѣща и масла доидивѣ». Бѣ бо приспѣлъ праздьникъ святаго Николы. И пакы рече къ мужеви своему: «Господи мой, поидивѣ къ святому. Ныне бо ми душа радуеться, ныне бо ангели съ земьныими чловѣкы радуються».	Услышав все это от соседей и друзей своих, Агрик утешился и, встав, пошел к жене своей и сказал: «О жена, что пользы нам в том, что плачем мы день и ночь третий год, и святого забыли, и не ходили к нему. Но ныне, жена, послушайся меня, и с великой верой пойдем к святому и помолимся; и знай, что получим великое утешение и возвратимся с большой и доброй надеждой; может так случиться, что святой прямо в наши руки передаст нам нашего сына, либо откроет нам: жив ли он там, в рабстве ли он, или умер». И она, услышав это все от мужа своего, обрадовавшись, сказала мужу своему: «Возьмем свечей и масла и пойдем». Настал же праздник святого Николы — и вновь обратилась она к мужу своему: «Господин мой, пойдем к святому. Ныне ведь душа моя радуется, ныне ведь ангелы с земными людьми радуются».
И въставъша идоста, и инѣхъ людии мъножьство. И створиша вечеръ канонъ святому, пѣснь мъногу пѣвъше, възвратишася домови. И пояша сусѣды и сьрдоболя на вечеру, и сѣдоша на тряпезѣ. Начаша ясти и пити, славяще Бога и святаго Николу и поминающе дѣтища своего и святаго чюдеса.	И встав, пошли они; и много других людей <шло>. И сотворили на вечерней канон святому, и, спев много песнопений, возвратилисъ домой. И собрали соседей и родственников на ужин, и сели за трапезу. И начали есть и пить, славя Бога и святого Николу, вспоминая сына своего и чудеса святого.
И начаша пьси лаяти; бяху бо пьси мнози у него, и заячии, и овьчии. Начаша прилѣжьно пьси лаяти, и рече господарь къ отрокомъ: «Видите, чьто притужають пьси, или звѣрие пришьли?» Рѣша отроци: «Нѣсть ничьтоже». Пьси же боле того притужати начаша ему. И ту рече господарь къ гостьмь: «Поидѣмъ да видимъ съ свѣщами, звѣрь ли е вълѣзлъ въ дворъ». И поидоша съ свѣщами многами, и видѣша чловѣка, посредѣ двора стояща въ свитахъ срациньскаахъ и въ ушьвѣ, и ужасошася. И пакы приступиша ближе къ нему съ свѣщами, зьряху отрока уна стояща и въ руцѣ дьржаща стькляницю пълну вина.	И начали псы лаять; их было много у него, и для охоты на зайцев, и для пастьбы овец. Начали усердно псы лаять, и хозяин сказал слугам: «Посмотрите, почему беспокоятся псы, может, волки пришли?» Ответили слуги: «Никого нет». Псы же еще сильнее начали беспокоить его. И тогда хозяин сказал гостям: «Пойдем и посмотрим со свечами, не волк ли влез во двор?» И пошли они со многими свечами, и увидели человека, стоящего посреди двора в сарацинской одежде с покрывалом на голове, и ужаснулись. И еще ближе подошли к нему со свечами и увидели стоящего юного отрока, держащего в руке чашу, полную вина.
О страшьно и дивьно чюдо! От безбожьныихъ срачинъ единомь часѣ примъченъ бысть и поставлено на дворѣ отьчи посредѣ.	О страшное и дивное чудо! От безбожных сарацин в один час был он принесен и поставлен посреди отчего двора.
Отьць же его зьря стояше. Онъ же стояше, акы бълванъ, дьржя стькляницю съ винъмь и ничьтоже бесѣдоваше. Отьць же много зьрѣвъ и чюдивъся, и хотя познати и´, страхъмь и радостию объдьржимъ, и рече великъмь гласъмь сице: «Чадо Василю, се ныне на тя зьрю, въ истину ты ли еси, сладъкый мой сынъ? Или стѣнь ми ся нына кажеть тобою?» И дѣтищь скоро отвѣща: «Азъ есмь единочадый твой сынъ Василь, егоже безбожьнии срацини полониша и ведоша въ Критъ, от твоею пазуху и от матеру оттъргъше». И та вься послушавъ, отьць простьръ руцѣ свои, нача и´ цѣловати по очима, по главѣ и по ушима, по руцѣ и вьсуду, а въпрашая: «Рьци ми, драгое мое чадо, како еси от безбожьныихъ рукъ убѣжалъ, или съ кымь, чадо мое, или съ дружиною съвѣщавъся еси прибѣглъ? Не мози, чадо мое, утаити мене, нъ повѣжь родителю своему бывъшая си». И сынъ нача отьцю отвѣщати: «О вьсемь семь, еже мя въпрашаеши, не вѣдѣ ничьсоже. Нъ се ныне въ Критѣ на вечери прѣстоялъ есмь князу срачиньскому, — якоже мя полониша въ Критъ, и тако мя даша князу своему, да от того дьне князь пристави мя себе чьрпати, — да ныне рече ми князь и господинъ мой: “Чрѣпли”. И чьрпавъ, и хотѣхъ ему дати въ руку стькляницю сию. Не вѣдѣ, къто мя сильнъ вънезапу похыти и стькляницю пълну сию, якоже се и еще дьржю, и постави мя сьде. И не вѣдяхъ, яко на земли ли стою. Тако бо мьняхъся, яко бо вѣтръмь носимъ бѣхъ. И ту ми приде глас, глаголя ми: “Видиши ли чьто?" И азъ въ ужасти велицѣ бывъ, видѣхъ поставляюща мя великааго Божия Николу».	Отец его стоял и смотрел. А он стоял, как идол, держа чашу с вином, и ничего не говорил. Отец же долго смотрел и дивился, желая узнать его, охваченный страхом и радостью, и громко воскликнул: «Чадо <мое> Василий, на тебя ли я сейчас смотрю, на самом ли деле это ты, сладкий мой сын? Или призрак мне ныне представляется тобою?» И сын тотчас ответил: «Я это, единственный сын твой Василь, которого безбожные сарацины пленили и увели на Крит, оторвав от твоей и материнской груди». И отец, услышав все это, протянул к нему руки, начал целовать его в глаза, в голову, в уши, в руки и всюду и спрашивал: «Скажи мне, дорогое мое чадо, как убежал ты от рук безбожников, с кем, чадо мое? Со спутниками своими сговорившись, прибежал? Не утаи от меня, чадо мое, поведай родителю своему, как это было?» И стал сын отвечать отцу: «Обо всем том, о чем ты меня спрашиваешь, я ничего не знаю. Но ныне на Крите прислуживал я за ужином сарацинскому князю — ведь когда привели меня в плен на Крит, то отдали их князю, и с того дня приставил он меня к себе виночерпием — и вот ныне говорит мне князь и господин мой: “Черпай”; и я, зачерпнув, хотел дать ему в руки вот эту чашу. И не знаю я, кто, сильный, внезапно похитил меня с этой чашей полной, которую и сейчас еще держу, и поставил меня здесь. И не понимал я, на земле ли стою. Ведь мне казалось, что ветром меня носило. И тут я услышал глас, говорящий мне: “Видишь ли ты что-нибудь?” И я, охваченный ужасом великим, увидел ставившего меня <на землю> великого Божьего Николу».
То слышавъ, отьць радости великы напълнивъся о велицѣмь томь чюдѣ, и приимъ за руку сына съ великою и славьною радостию възведе и´ горѣ, и прѣда и´ матери, и рече: «Жено, вижь наю заступьника, коль велика слава его и сила? Вижь, како на скоро услыша на помощь наю и утѣши на, яко помолиховѣся. Онъ же скоро поможе нама, теплый заступьникъ. Вижь, жено, наю спасения скора!»	Услышав это, отец преисполнился огромной радостью от великого этого чуда и, взяв сына за руку, с великой и благодарной радостью поднялся с ним наверх, и передал его матери, и сказал: «Жена, зри нашего заступника, как велика слава его и сила. Смотри, как быстро пришел он нам на помощь и утешил нас. Как только мы помолились — он тут же помог нам, теплый заступник. Смотри, жена, как скоро пришло нам спасение!»
То же глаголющю Агрику къ женѣ своеи, мати прѣхватящи и´ рукама своима, облобызавъши все тѣло его, глаголющи: «Уже тя имамъ въ руку своею, чадо мое драгое! Съ Божиею помощию имамъ тя, единочадый сыну мой, утѣху души моей! Имамъ тя и дьржю тя въ руку своею ныне, егоже азъ мьняхъ въ поганьскахъ странахъ умьрша».	И когда сказал Агрик это своей жене, мать обхватила сына руками своими и, облобызав все его тело, проговорила: «Наконец-то я держу тебя в руках своих, чадо мое дорогое! С Божьей помощью обрела я тебя, сын мой единственный, утеха души моей! Обрела тебя, и держу ныне в руках своих тебя, которого считала умершим в землях неверных».
Тако и инако много глаголющи матери къ сыну, събьрашася сусѣди и сьрдоболя, и бы радость велика, и праздьникъ святаго дъвоици створиша къ святѣи цьркъви его. И течаху вьси чловѣци на чюдо видѣть отрока. И зьряше его, чюдяхуся и славляху Бога и святаго Николу, избраника Божия и заступьника теплаго.	<В то время как> это, так и многое другое говорила мать сыну, собрались соседи и родственники, и радость их была огромной, и второй раз отслужили праздничную службу святому в святой церкви его. И стекались все люди на чудо: видеть отрока. И видя его, удивлялись и славили Бога и святого Николу, избранника Божия и заступника теплого.
Чюдо 5. Другое да вы съкажю чюдо.	Чудо пятое. Поведаю вам еще одно чудо.
Уноша бѣ нѣкъто именьмь Никола, дѣмоньскъмь мучениемъ объдьржимъ, лежаше мѣсяць шесть, огньмь великъмь объдьржимъ. И не та едина бяше ему бѣда, нъ и нозѣ ему бяшета ся съкърчилѣ, яко нимало не можаше ходити, ни простерети, нъ пълзаше на лядвияхъ. Просто же да реку, яко всѣми съставы не можаше гъбати. Огнь бо тъ великый жьгыи и удъ, глъбяше сьрдьце ему, и от пламене огньна тѣло бяше ему вьсе распалено. Неже то едино, нъ вси уди исъхли ему бяху. И врачеве же, приходяще, не можаху никоеяже пользы створити. И тако пришьдъ въ велику бѣду, яко ни врачемъ имяше чьто дати, ни самому о чемь прѣбывати.	Был некий юноша, по имени Никола, демонским мучением одержим; лежал он месяцев шесть, огнем сильным одержимый. И не одна эта была у него беда, еще и ноги у него были скрючены, так что совсем не мог он ни вытянуть их, ни ходить, а ползал на ягодицах. Или проще скажу: не сгибались у него все суставы. Огонь тот сильный, жгущий его члены, терзал ему сердце, и от жара огненного все тело у него было распалено. Мало того, и все члены его иссохли. И врачи, приходя, ничем не могли ему помочь. И так попал он в большую беду, потому что уже не имел ни врачам что дать, ни самому на что жить.
И видѣ чловѣкы си на святаго Николы праздьньство идуща мъногы съ свѣщами въ цьркъвь къ святому Николѣ на канонъ. Да и онъ купи свѣщю противу убожьству своему, бѣ бо убогъ вельми, и нача ползати по земли, ити къ святому. Идущю же ему, явися прѣсвятый и великый помошьникъ Никола на пути и рече: «Къто ты еси? И откуду идеши, и къ кому идеши? Что ли трѣбуеши или что ти бѣды есть? И чьто ради ныня сиць трудъ приемлеши?» Онъ же, объдьржимъ страхъмь великъмь и отъ труда велика многапутьнаго сѣдъ на единомь мѣстѣ, исповѣда ему вьсю бѣду свою и болѣзнь. И ту рече ему явивыйся: «Аще хощеши цѣлъ быти, поиди въ слѣдъ мене». И приведе и´ святый до святыя цьркъве своея, и ту ищезе. И онъ иного не видѣ, развѣ еже поидоша чловѣци съ свѣщами въ цьркъвь на литургию. Да и оно видѣвъ въждьгъ свѣщю свою, ту же пълзати нача.	И увидел он людей многих, идущих со свечами на праздник святого Николы в церковь святого Николы на канон. И он тоже купил свечу, несмотря на свою бедность, а был он очень беден, и начал по земле ползти, идти к святому. И когда он шел, явился ему на пути пресвятой и великий помощник Никола и сказал: «Кто ты? И откуда идешь и к кому идешь? Или в чем нуждаешься, или какая беда у тебя? И чего ради ныне этот труд совершаешь?» Он же, охваченный страхом великим, и от долгого трудного пути сидя <неподвижно> на одном месте, поведал ему всю беду свою и болезнь. И тогда сказал ему явившийся: «Если хочешь здоровым быть, иди вслед за мной». И привел его святой к святой церкви своей и исчез. И он <ничего> другого не видел, только то, что пошли люди со свечами в.церковь на литургию. И он, видя это, зажег свечу свою и туда же начал ползти.
И пакы съ ними възвратися къ святуму, и ту видѣ икону. И припълза, въсѣде у нея; и ту видѣвъ образъ на иконѣ святѣй святаго Николы, позна и´, яко бѣ явилъся ему на пути, и възъпи великъмь гласъмь, глаголя: «Святый Николае, якоже ми ся еси обѣщалъ на пути и рече ми: “Аще хощеши цѣлъ быти, поиди въ цьркъвь мою”, и доселѣ самъ мя еси привелъ. И ныне помилуй мя, дължьнъ бо ми еси, ицѣли мя и отдай дългъ свой мънѣ ныне».	И опять с ними возвратился к святому и увидел там икону. И подползши, сел около нее; и увидел там на святой иконе образ святого Николы, узнал его, что это он явился ему в пути, и громким голосом завопил, говоря: «Святой Никола, коли уж ты обещал мне в пути и сказал: “Если хочешь здоровым быть, иди в церковь мою”, и сам меня сюда привел, — то помилуй же меня ныне, ведь должен ты мне, исцели меня и отдай мне ныне свой долг».
И та глаголавъ вься, възьрѣвъ на икону святаго и видѣ пакы явѣ святаго Николу, якоже и на пути. И въскрича великъмь гласъмь и рече: «Двигнѣте мя!» И ту стоящии двигоша и´. И объимъ икону святаго Николу обѣма рукама своима, и лобызая глаголаше: «Теплый заступьниче, помилуй мя!» Начаша же ему жилы простирати и кости, и ста простъ на земли, и прѣкрьсти рукама своима тѣло свое тришьды, и помаза ся святьшмь маслъмь от святаго Николы кандила. И излѣзе иж него дѣмонъ; и исцѣлѣ, и стояше простъ. И потомь пакы приимъ святую икону, цѣловаше святаго. И бывъ съдравъ Божиею радостию и святаго Николы. И видѣвъше вьси дивьное чюдо милосьрда и чловѣколюбьца Бога, дающаго благая рабомъ своимъ молитвами святаго Николы. Славу и пѣснь да въсълемъ.	И сказав все это, посмотрел он на икону святого и опять увидел явно святого Николу, как и в пути. И вскричал он громким голосом, и сказал: «Подвиньте меня!» И стоявшие там пододвинули его. И обнял он обеими своими руками икону святого Николы, и, целуя, сказал: «Усердный заступник, помилуй меня!» И начали расправляться у него жилы и кости, и он встал, выпрямившись, на земле, и трижды перекрестил руками своими тело свое, и помазал себя святым маслом от лампады святого Николы. И вышел из него демон; и исцелился он и стоял прямо. И потом опять, взяв святую икону, целовал святого. И был здоров благодатью Бога и святого Николы. И видели все дивное это чудо милосердца и человеколюбца Бога, дающего благо рабам своим молитвами святого Николы. Станем же воссылать ему славу и песнь.
Чюдо 6. Азъ же вамъ другое чюдо да повѣдѣ, да не мозѣте лѣнитися, нъ ясно послушайте.	Чудо шестое. Поведаю я вам еще одно чудо, вы же не ленитесь, а внимательно послушайте.
Попъ нѣкъто именьмь Хрьстофоръ от града Тухина[23] тако имяше обычай по вься лѣта ходити на праздьникъ святаго Николы въ градъ Муры, къде лежить святый Николае. И ту покланявъся, приходяше домови. И от святаго тѣла его миро въземля, приносяше въ домъ свой на освящение вьсему дому своему.	Поп некий, именем Христофор, из города Тухина также имел обычай каждый год ходить на праздник святого Николы в город Миры, где лежит святой Никола. И поклонившись ему там, возвращался домой. И от святого тела его взявши миро, приносил в дом свой на освящение всего дома.
Въ едино же лѣто приготовися ити съ дружиною къ святуму. Идущемъ имъ къ святуму близъ, и ту я сърѣтоша аравити и, поимъше я, ведоша на свою землю. Бѣ же ихъ вьсѣхъ полонено тридесяте мужь. И ведоша я домови, поставиша я натрое: едину часть подъ мечь, а другую продати, а третиюю въ тьмьници затвориша. Попа же Хрьстофора на посѣчение отълучиша. И приведъше я на мѣсто, начаша сѣчи по единому. И доиде до попа. И ту стоя, попъ Христофоръ призываше святаго Николу, глаголя: «Избави мя от меча сего и помози ми, теплый помощьниче!»	В один год приготовился он идти со спутниками к святому. И когда они были уже недалеко от святого, встретили их тут арабы и, пленив, повели в свою землю. Всего же было их пленено тридцать мужей. И привели они их <к себе> домой, разделили их натрое: одну часть — под меч, другую — продать, а третью заключили в темницу. Попа же Христофора на посечение <мечом> отделили. И приведя их к месту <казни>, начали казнить по одному. И дошли до попа. И стоя там, поп Христофор призывал святого Николу, говоря: «Избавь меня от меча сего и помоги мне, усердный помощник!»
И ту абие ста святый Николае, акы на дъсцѣ писанъ въ ризахъ прѣдъ нимь, и рече ему: «Не бойся, брате, азъ бо есмь съ тобою».	И тут вдруг предстал перед ним святой Никола в том же облачении, в котором на иконе писан, и сказал ему: «Не бойся, брат, ибо я с тобой».
И ту пришьдъ мечьникъ, и поя попа да и´ посѣчеть. И святый въ слѣдъ идяшеть. И къде и´ доведоша до мѣста, къде сѣчаху, рече мечьникъ попу: «Поклони главу». И поклони ту. И рече святый Никола къ нему: «Не бойся». И яко хотѣ посѣщи, и ту тако святый изд рукы изя ему мечь. И ста мечьникъ, забывъся, и рече къ попу: «Къде мой мечь?» Рече попъ: «Никола ти възя». Мечьникъ рече: «Да къде е?» Попъ рече: «Отъстои у тебе». И рече мечьникъ: «Пожиди ту».	И тут пришел палач и взял попа, чтобы его казнить. А святой шел за ним следом. И когда довели его до места, где казнили, палач сказал попу: «Склони голову». И он тотчас склонил. И сказал ему святой Никола: «Не бойся». И когда палач собрался отсечь ему голову, тогда святой выхватил у него меч из рук. И стал палач, недоумевая, и обратился к попу. «Где мой меч?» Поп ответил: «Никола то взял». Палач спросил: «А где он?» Поп ответил: «Далеко от тебя». И сказал палач: «Подожди здесь».
Попъ же стояше съвязанъ опакы. Святы же Никола рече къ попу: «Не бойся». Шьдъ, мечьникъ принесе другый мечь и рече попу: «Поклони главу». И хотѣ ударити. И ту простьръ руку святый Никола, изя мечь. И ражнѣвася аравитъ на попа и рече: «Вълхъвъ ли еси? Къде мечь?» Рече попъ: «Никола възя». И онъ пакы третий възя. И сърѣте и´ святый, исхыти изд рукы. И приде къ попу тъщь, и рече: «Повѣжь ми, кый то Никола». И рече попъ: «Иже въ Мурѣхъ Ликионѣ». Рече аравитъ: «Аще то есть, тъ великъ тъ мужь и добръ. Много бо есмь то слышалъ, еже твори добра чловѣкомъ». И раздрѣши попа и ины три мужа, имъже посѣченомъ быти съ попъмь.	Поп стоял, связанный сзади. Святой же Никола <опять> сказал попу: «Не бойся». Придя, палач принес другой меч и сказал попу: «Склони голову». И собирался ударить. И тут святой Никола протянул руку и взял меч. И рассердился араб на попа и спросил: «Не волхв ли ты? Где меч?» Сказал поп: «Никола взял». И он снова, третий <меч> взял. И встретил его святой, выхватил <меч> из рук. И пришел палач к попу с пустыми руками и сказал: «Поведай мне, кто этот Никола?» И сказал поп: «Который в Мирах Ликийских». Сказал араб: «Если так, то велик этот муж и добр. Ибо много я слышал о том, что творит он добро людям». И развязал попа и других трехмужей, которых должны были казнить вместе с попом.
И приведъ я вься четыри и прѣдъ поставль, въпрашаше попа о святѣмь, како и´ видѣлъ. И попъ съказаше ему вься та по ряду: и како ся ему являлъ, и како ему изималъ изд рукы мечь. И слышавъ то аравитинъ от попа, велми почюдивъся, рече: «Великъ Богъ крьстьяньскъ». И рече къ мужемъ: «Азъ васъ даю тому Николѣ дьньшьнии дьнь». И поимъ я’, изведе и-своея земля. И настави я’ на путь, рекъ имъ: «Идѣте къ святуму Николѣ»; бѣ бо оттуда близъ. И аравитинъ възвратися въ домъ свой, а си славяще хваляху Бога, поюще, и святаго Николы, иже я избави от горкаго меча и лютыя съмьрти.	И приведя их всех четверых и поставив пред собой, стал он расспрашивать попа о святом, — как он его видел. И поп рассказал ему все то по порядку: и как ему являлся, и как у него выхватывал из рук меч. И слыша это от попа, араб сильно удивился и сказал: «Велик Бог христианский». И обратился к мужам: «Вручаю я вас сегодня тому Николе». И взяв их с собой, вывел из своей земли. И указал им путь, сказав им: «Идите к святому Николе»; было же это недалеко оттуда. И араб возвратился в дом свой, а они, славя, восхваляли в песнопениях Бога и святого Николу, который избавил их от горького меча и лютой смерти.
<...>	<...>
Чюдо святаго Николы. Петръ рекомый, въ благыхъ памятьнъ чьрньцъ, от воискаго бывъ участия, ту бо бяше учетанъ в пятѣмъ полцѣ старѣйшина[24] Съ вои пустиша и´ срацинъ воеватъ. Сълучися, якоже и многашды бываеть въ чловѣцѣхъ, побѣжену быти от поганъ; и избьеномъ бывъшемъ, а другымъ изманомъ. Такоже и того Петра яша. И приведъша я къ князу срациньску, показаша. И повелѣ князь пустити я въ градъ Самарѣискъ[25] предати я старѣишинѣ, иже ту въ градѣ. Того же Петра повелѣ въ твьрду тьмьницю въсадити и´, и нозѣ оковати дъвоими оковы, и уже на шию възложити, понеже бѣ воемъ староста. И бы тако повелѣние.	Чудо святого Николы. Петр, доброй памяти монах, был некогда на воинской службе и там числился старейшиной пятого полка. Отправили его с воинами воевать против сарацин. И случилось <им>, как это часто бывает среди людей, потерпеть поражение от неверных; и <одни> убиты были, а другие пленены. Также и того Петра взяли. И приведя их к сарацинскому князю, показали <ему>. И повелел князь отправить их в город Самарию, передать старейшине этого города. Того же Петра повелел посадить в крепкую темницу, и сковать ноги ему двойными оковами, и вериги на шею возложить, ибо был он старейшиной воинов. И было исполнено повеление.
