ИЗ ЛАВРЕНТЬЕВСКОЙ ЛЕТОПИСИ	ИЗ ЛАВРЕНТЬЕВСКОЙ ЛЕТОПИСИ
Начаша вои пристраивати, кождо свою власть: князь великий Мьстиславъ Романовичь Ростиславича Киевский, и Мьстиславъ Святославичь Черниговский Всеволодича Козельский, и Мстиславь Мьстиславичь Галичьский, сии бо старѣйшии земли Руской; съ ними же и младии князи: Данило Романовичь Мьстиславича, и князь Михайло Всеволодичь Черниговский, и князь Всеволодъ Мьстиславичь Киевьского сынь, и инии князи мнози. Бывшу же съвѣту ихъ въ Киевѣ всѣхъ князей, послаша къ Володимеру къ великому князю Юрию Всеволодичу на помочь; онъ же посла имъ Василка Ростовскаго. Съвѣщаша же князи, яко срѣсти ихъ на чюжой земли (тогда же половецкий князь крестыся Бастый), и съвъкупивше всю землю Рускую, поидоша противу татаромъ. Пришедши же имъ кь Днѣпру на Зарубъ, къ острову Варяжскому,[41] то же слышавше татарове, оже идутъ князи рустии противу имъ, послаша къ нимъ послы своа, глаголюще: «Се слышахомъ, оже идете противъ насъ, послушающе половецъ. А мы вашеа земли не заяхомъ, ни городовъ вашихъ, ни селъ вашихъ, ни на васъ приидохомъ. Но приидохомъ, Богомъ пущони, на конюхи и на холопы свои, на поганыа половци, а вы възмѣте съ нами миръ. А половци, аще прибѣжатъ къ вамъ, то не приимайте ихъ, и бийте ихъ отъ себе, а товаръ ихъ възмите къ собѣ. Зане же слышахомъ, яко и вамъ много зла творятъ, того ради и мы биемъ». Князи же русстии того не послушаша, по послы изъ избыша, а сами поидоша противу имъ. И не дошедше Олѣшиа,[42] и сташа на Днѣпрѣ. И прислаша къ нимъ татарове второе послы, ркуще тако: «Аще есте послушали половець, а послы наши избыли, а идѣте противу насъ, то вы поидите. А мы васъ ничимъ не заимали, а всѣмъ намъ Богь». Они же отпустиша послы ихъ.	И начали князья собирать воинов каждый в своей области: великий князь Мстислав Романович Киевский, внук Ростислава, и Мстислав Свято-славич Козельский, внук Всеволода Черниговского, и Мстислав Мстиславич Галицкий — эти старшие князья в Русской земле; а с ними и младшие князья: Даниил Романович, внук Мстислава, и князь Михаил Всеволодович Черниговский, и князь Всеволод Мстиславич, сын киевского князя, и многие другие князья. Когда все князья собрались на совет в Киеве, они послали во Владимир к великому князю Юрию Всеволодовичу за помощью, а он отправил к ним Василька Ростовского. Посоветовавшись, князья решили встретить врага на чужой земле (тогда же крестился половецкий князь Бастый) и, собрав всех русских воинов, выступили в поход против татар. Когда они пришли к Днепру на Заруб, к острову Варяжскому, услышали татары, что русские князья идут против них, и прислали своих послов, говоря: «Слышали мы, что идете вы против нас, послушавшись половцев. А мы вашей земли не занимали, ни городов ваших, ни сел ваших, и пришли не на вас. Но пришли мы, посланные Богом, на конюхов и холопов своих, на поганых половцев, а вы заключите с нами мир. И если прибегут половцы к вам, вы не принимайте их, и прогоняйте от себя, а добро их берите себе. Ведь мы слышали, что и вам они много зла приносят, поэтому мы их также бьем». Князья же русские не стали слушать этого, но послов татарских перебили, а сами пошли против татар. Не доходя до Олешья, остановились они на Днепре. И прислали татары вторично послов, говоря: «Если вы послушались половцев, послов наших перебили и идете против нас, то идите. А мы вас не трогали, и пусть рассудит нас Бог». Князья отпустили этих послов.
Ту прииде къ нимъ вся земля Половецкаа и съ князи своими. Тогда же Мъстиславъ Мъстиславичь Галичский, въ тысячи войска, перебродися рѣку Днѣпръ на сторожи татарскиа, и побѣди ихъ. А останокъ ихъ въбѣже въ курганъ Половецкий съ своимъ воеводою Гемябѣкомъ, и ту имъ не бысть помочи. И погребоша воеводу своего Гемябѣка живого въ землю, хотяще его ублюсти. И ту его налѣзоша, испросивше его половци у Мстислава, и убиша его. То же слышавше князи рустии, поидоша за Днѣпрь на множествѣ людей: Мъстиславь князь великий Романовычь съ кианы, Володимерь Руриковичь съ смолняны, черниговьстии князи, галичане, и волинцы, и куряне, и трубчане, и путивльци, и вся страны руския, и вси князи и множество вой. Приидоша же выгонцы галичьские[43] въ лодиахь по Днѣстру въ море, бѣ же тысяща лодей. Изъ моря выидоша въ Днѣпрь, и възведше порогы, сташа у рѣки Хортици,[44] на бродѣ у Протолчии; воевода же у нихь Юрий Домарѣчичь, а другой Держикрай Водиславича.	И пришли к Олешью все половцы со своими князьями. Тогда князь Мстислав Мстиславич Галицкий с тысячью воинов перешел Днепр вброд, ударил по татарским сторожевым полкам и победил их. А оставшиеся татары убежали на курган Половецкий с воеводой Гемябеком, и не было им здесь помощи. И зарыли они своего воеводу Гемябека живым в землю, желая его уберечь. Но здесь его нашли половцы и, выпросив его у князя Мстислава, убили. Услышав это, князья русские стали переправляться через Днепр на множестве ладей: великий князь Мстислав Романович с киевлянами, Владимир Рюрикович со смольнянами, черниговские князья, галичане, и волынцы, и куряне, и трубчане, и путивличи, все земли русские, все князья и множество воинов. А выгнанные галичане спустились на ладьях по Днестру в море, и была у них тысяча ладей. Из моря вышли они в Днепр и, пройдя пороги, остановились у реки Хортицы на броде у Протолочи; а воеводой у них был Юрий Домамерич, а другим воеводой Держикрай Володиславич.
Приидоша же имъ вѣсти, яко татарове приидоша къ нимъ посмотрити рускыхъ полковъ; Данило же Романовичь и инии князи, всѣдше на коня, погнаша видѣти рати татарскиа. И видѣвше послаша къ великому князю ко Мстиславу Романовичу, рекуще: «Мьстиславе и Мстиславь! Не стойте, поидемъ противу имъ». И поидоша въ поле, и срѣтоша ихъ татарове, и ту стрѣлци русстии погнаша ихъ въ поле далече, ихъ сѣкуще; и взяша скоты ихъ, и съ стаду утекоша. И оттуду идоша по нихъ осмь дний до рѣки Калка,[45] и послаша въ сторожехъ Яруна съ половци, а сами станомъ сташа ту. И ту срѣтошася съ сторожи, и убиша Ивана Дмитриевича и ина два съ нимъ; а татарове възвратишася. Князь же Мьстиславъ Мьстиславичь Галицкий повелѣ Данилу Романовичу перейти рѣку Калку съ полкы, а самъ по нихъ прииде; перешедъ сташа станомъ. Поиха же и самъ на сторожи Мьстиславъ, и видѣвь полки татарьские, прииха и повелѣ въоружатися воемъ своимъ. А два Мьстислава въ стану бяху, того не вѣдающе: не повѣда бо имъ зависти ради, бѣ бо межи ихъ пря велика.	Пришла весть русским, что пришли татары осматривать русские полки; тогда Даниил Романович и другие князья сели на коней и погнались, чтобы увидеть татарские войска. И, увидев их, послали к великому князю Мстиславу Романовичу, призывая: «Мстислав и другой Мстислав! Не стойте, пойдем против них». И вышли в поле, и встретились с татарами, и тут русские стрелки погнали их далеко в поле, рубя их; взяли они их скот и вернулись назад со стадами. И оттуда шли русские полки за ними восемь дней до реки Калки, и отправили со сторожевым отрядом Яруна с половцами, а сами разбили здесь лагерь. И здесь они встретились с татарскими дозорами, и убили татары Ивана Дмитриевича и с ним еще двоих; а татары поворотили назад. Князь же Мстислав Мстиславич Галицкий повелел Даниилу Романовичу перейти реку Калку с полками, а сам отправился вслед за ними; переправившись, стали они станом. Тогда Мстислав сам поехал в дозор, и, увидев татарские полки, вернулся, и повелел воинам своим вооружаться. А оба Мстислава оставались в стане, не зная об этом: Мстислав Галицкий не сказал им ничего из зависти, ибо между ними была великая распря.
Тако съступишася полкы, и напередъ иха на татарове и Данило Романовичь, и Семень Олюевичь, и Василко Гавриловичь. Ту Василка събодоша, а Данилу убодену бывшу въ перси, но не чюяше, буести ради и мужества; бѣ бо младъ, осминадесяти лѣть, но крѣпокь бяше на брань, избиваше татаръ мужественѣ полкомъ своимъ. Тако же и Мьстиславь Нѣмый потече на нихъ, и той бѣ крѣпокъ, и видѣвь яко събодоша Данила. Бѣ бо ужика отцу его, любовь имѣа къ нему, ему же и власть по себѣ обѣща. Тако же и Олгу Курскому крѣпко биющюся; тако же и Ярунь съ половци прииде, съступыся съ татары, хотя съ ними бытися. Но пакы половци въскорѣ побѣгоша назадъ, не успѣвше ничто же, и потопташа бѣжучи станы рускыхъ князей. А князи не успѣша исполчитися против имъ; и тако смятошася полци рустии, и бысть сѣча зла, грѣхъ ради нашихъ. И бысть побѣда на князи рускиа, яко же не бывала отъ начала Руские земли.	И так встретились полки, а выехали вперед против татар Даниил Романович, и Семен Олюевич, и Василек Гаврилович. Тут Василька поразили копьем, а Даниил был ранен в грудь, но он не ощутил раны из-за смелости и мужества; ведь он был молод, восемнадцати лет, но силен был в сражении и мужественно избивал татар со своим полком. Мстислав Немой также вступил в бой с татарами, и был он также силен, особенно когда увидел, что Даниила ранили копьем. Был ведь Даниил родственником его отца, и Мстислав очень любил его и завещал ему свои владения. Также и Олег Курский мужественно сражался; также и Ярун с половцами подоспел и напал на татар, желая с ними сразиться. Но вскоре половцы обратились в бегство, ничего не достигнув, и во время бегства потоптали станы русских князей. А князья не успели вооружиться против них; и пришли в смятение русские полки, и было сражение гибельным, грехов наших ради. И были побеждены русские князья, и не бывало такого от начала Русской земли.
Князь великий же Мьстиславъ Романовичь Киевьский, внукъ Ростиславль Мьстиславича, сына Владимерова Манамахова, и князь Андрѣй, зять его, и Александрь Дубровский, видѣвше се зло, не двигошася никамо же съ мѣста. Стали бо на горѣ надъ рѣкою Калкою, бѣ бо мѣсто то каменно, и учиниша себѣ городъ колиемъ. И бишася съ ними изъ города того по 3 дни. Татарове же поидоша по рускыхъ князехъ, гониша ихъ биюще до Днѣпра. А у города того осташася два воеводи, Чегыркань и Тешукань, на Мьстислава Романовича, и на зятя его Андрея, и на Александра на Дубровского; тии бо два князя съ Мьстиславомъ. Быша же съ татары и бродницы,[46] а воевода у нихъ Плоскиня. И той окаянный воевода цѣлова кресть къ великому князю Мьстиславу, и кь обѣма князема, и кь всѣмъ сущимъ съ нимъ, яко не збыти ихъ, но окупь взяти на нихъ, и солгавь окаянный, предасть ихъ татаромъ, связавь. А городъ вземъ людей изсѣкоша, и ту костию падоша. А князей издавиша, подкладше подъ дощки, а сами на верху сѣдоша обѣдати; и тако издохошася и животъ свой скончаша.	Князь же великий Мстислав Романович Киевский, внук Ростислава, правнук Мстислава, который был сыном Владимира Мономаха, и князь Андрей, зять Мстислава, и Александр Дубровский, видя это несчастье, никуда не двинулись с места. Разбили они стан на горе над рекой Калкой, так как место было каменистое, и устроили они ограду из кольев. И сражались из-за этой ограды с татарами три дня. А татары наступали на русских князей и преследовали их, избивая, до Днепра. А около ограды остались два воеводы, Чегирхан и Тешухан, против Мстислава Романовича, и его зятя Андрея, и Александра Дубровского; с Мстиславом были только эти два князя. Были вместе с татарами и бродники, а воеводой у них Плоскиня. Этот окаянный воевода целовал крест великому князю Мстиславу, и двум другим князьям, и всем, кто был с ними, что татары не убьют их, а возьмут за них выкуп, но солгал окаянный: передал их, связав, татарам. Татары взяли укрепление и людей перебили, все полегли они здесь костьми. А князей придавили, положив их под доски, а татары наверху сели обедать; так задохнулись князья и окончили свою жизнь.
А иныхъ князей, опроче того, до Днѣпра гоняще, избиша 6: князя Святослава Каневского, Изяслава Иньгваревича, Святослава Шумского, Мьстислава Черниговского съ сыномъ, Юриа Несвѣжского, а вой толко десятый прииде. И Александрь Поповичь ту убиенъ бысть съ инѣми седмидесятию храбрыхъ. Князь же Мьстиславъ Мьстиславичь Галичский переже всѣхъ пребѣгь за Днѣпръ, повелѣ лодии пережечь, а иныя отъ берега отрѣа, боячися погони; а самъ едва убѣже въ Галичь. А Володимеръ Руриковичь, братаничь Романовь, внукъ Ростиславль Мьстиславича, сѣде в Киевѣ, мъсяца июня 16 день. А злоба случилася мѣсяца маа 30, на память святаго мученика Еремеа. Войска же остатокъ десятый прииде кождо во своа, а иныхъ половци избыша ис коня, а иныхъ ис порта. И тако за грѣхы наша Богъ вложи недоумѣние въ насъ, и погыбе множество бес числа людий. Татарове же гнашася по Руси до Новагорода Святополчего.[47] Христиане же, не вѣдуще лести татарскыя, выидоша противу ихъ съ кресты, и тако избыша ихъ. Глаголаху же, яко единѣхъ же киань изгыбе тогда 30 тысячь.	А других князей, которых татары преследовали до Днепра, было убито шесть: князь Святослав Каневский, Изяслав Ингваревич, Святослав Шуйский, Мстислав Черниговский с сыном, Юрий Несвижский, а из воинов только десятый вернулся домой. И Александр Попович тут был убит вместе с другими семьюдесятью богатырями. Князь же Мстислав Мстиславич Галицкий раньше всех переправился через Днепр, велел сжечь ладьи, а другие оттолкнуть от берега, боясь погони; а сам он едва убежал в Галич. А Владимир Рюрикович, племянник Романа, внук Ростислава Мстиславича, сел на престоле в Киеве месяца июня в шестнадцатый день. А случилось это несчастье месяца мая в тридцатый день, на память святого мученика Ермия. Только десятая часть войска вернулась домой, а у некоторых половцы отняли коня, а у других одежду. Так за грехи наши Бог отнял у нас разум, и погибло бесчисленное множество людей. Татары же гнались за русскими до Новгорода-Святополча. Христиане, не зная коварства татар, выходили им навстречу с крестами, и все были избиты. Говорили, что одних киевлян погибло тогда тридцать тысяч.
И бысть плачь и вопль по всѣмъ градомъ и по селомъ. Татарове же възвратишася отъ рѣки Днѣпра, и не свѣдаемъ откуду были пришли, и камо ся дѣли. Единь Богь вѣсть, откуду приведе за грѣхы наша и за похвалу и гордость великого князя Мьстислава Романовича. Глаголють бо, яко прииде слухъ про сихъ татаръ, яко многы земли плѣнуютъ, а приближаются Рускимъ странамъ, и сповѣдаша ему о нихъ; онъ же отрече: «Дондеже есмь на Киевѣ, то по Яико, и по Понтийское море,[48] и по рѣку Дунай саблѣ не махивати». Василка же Костантиновича тогда Богъ съблюде, прииде бо съ полки ко Чернигову въ помочь. Слышавъ се зло, случившеся въ Руси, възвратися въ свой Ростовь, съхранень Богомъ. <...>	И был плач и вопль во всех городах и селах. Татары же повернули назад от реки Днепра, и мы не знаем, откуда они пришли и куда исчезли. Один только Бог знает, откуда он привел их за наши грехи, и за похвальбу, и высокомерие великого князя Мстислава Романовича. Говорят, что когда распространился слух про этих татар, что завоевывают они многие земли и приближаются к русским пределам, великому князю сказали о них; а он ответил: «Пока я нахожусь в Киеве — по эту сторону Яика, и Понтийского моря, и реки Дуная татарской сабле не махать». А Василька Константиновича, который пришел на помощь с войсками к Чернигову, тогда сохранил Бог. И услышав о несчастье, случившемся на Руси, он возвратился в свой Ростов, сохраненный Богом. <...>
Въ лѣто 6745. <...> О плѣнении Рускыа земля отъ Батиа. Слышано бысть на восточнѣй странѣ въ родѣ Измаиловѣ, сына Агарина, рабыни Авраамовы,[49] яко смири Господь Богъ Рускую землю нахождениемъ безбожныхъ иноплеменникъ, таурмень. Еже на Калкы и побѣждение рускыхъ князей прослу, и храбрыхъ онѣхъ 72 избиение вѣдомо тамо бысть, и межиусобныа брани Рускыа земля, и глады, и морѣ велицѣи, и оскудѣние рускаго воинства, и разньствие въ братии, и просто все земское неустроение. Наипаче же обнажися грѣховнаа злоба, и вопль грѣховный въ уши Господа Саваофа вънииде. Тѣмъ и попусти на землю нашу таковую всепагубную рану. Еще бо и сеа крови не отмыхомъ, Калкацкого бою, и пакы народися людий по велицѣмъ мору по всей земли, кромѣ Киева. Но киевьстии людие на Калкахъ съ великымъ княземь Мьстиславомъ Романовичомъ, и съ инѣми 10-ю князи и съ 72-ю храбрыми костию тамо падоша; новгородстии людие отъ гладныя смерти изъмроша, а живыи разыдошася по чюжимъ землямъ; тако же и смоленскаа, и вси просто гради столнии смерти тоа вкусивше, въскорѣ осиротѣша. Не много бо лѣтъ мину, отъ Калкатцкиа рати до потрясениа земли 8 лѣтъ, тогда же и гладъ бысть, а отъ потрясениа земли до Батыева прихождениа 8 лѣтъ. Того ради не исполнися земля наша, но и наипаче всѣмъ животнымъ опустѣ.	В год 6745 (1237). <...> О пленении Русской земли Батыем. Стало известно в восточных странах среди потомков Измаила, сына Агари, рабыни Авраама, что Бог смирил Русскую землю нашествием безбожных иноплеменников, таурмен. Распространились слухи о поражении русских князей на Калке, и стало известно о гибели семидесяти двух богатырей, и о междоусобных войнах в Русской земле, и о голоде, и о великом море, и об оскудении русских войск, и о ссорах между братьями — о всех этих бедах Русской земли. Особенно же обнаружилась греховная злоба, и дошел вопль греховный до ушей Господа Саваофа. Поэтому он напустил на нашу землю такое пагубное наказание. Не отмыли мы еще кровь после битвы на Калке, и снова народились люди после великого мора по всей земле, кроме Киева. А киевляне полегли костьми на Калке с великим князем Мстиславом Романовичем, и с другими десятью князьями, и с семьюдесятью двумя богатырями; так же и Смоленск, и все другие города постигла такая же смерть, и вскоре опустели они. От битвы на Калке до землетрясения прошло немного времени — восемь лет, и тогда случился голод, а от землетрясения до нашествия Батыя прошло восемь лет. Поэтому не разбогатела наша земля, но, напротив, еще более обезлюдела.
Мы же приведемъ слово къ повѣсти, како ублюде Богь великого князя Юриа Всеволодича, и Ярослава, брата его, и братанича ихъ Василка Ростовского Костантиновича от Калокъ, тако же и люди оставшая отъ мору, и како не угоньзнуша своеа смерти, обща бо есть всей Руской земли.	Мы же приложим к повести рассказ о тех, кого Бог спас при Калке — о великом князе Юрии Всеволодовиче, и брате его Ярославе, и племяннике их Васильке Константиновиче Ростовском, также и о людях, оставшихся после мора, и расскажем, как они не избегли смерти, постигшей всю Русскую землю.
Слышавше бо безбожнии татарове таковое смирение руское, и имѣние великое, многыми лѣты събраное, двигнушася съ восточныа страны, и поплѣниша прьвое Болгарскую землю.[50] А на третий годъ на Русскую землю приидоша бесчисленое множество, яко прузи траву поядающе, тако и сии сыроядци христианьский родъ потребляюще.	Узнали безбожные татары о таких невзгодах русских и о великом богатстве, собранном за многие годы, и двинулись они из восточных стран, и пленили сначала Булгарскую землю. А в третий год пришло их на Русскую землю бесчисленное множество — как саранча, пожирающая траву, так и эти варвары христианский род истребляли.
Въ лѣто 6746. Зимоваша окааныи татарове подъ Чернымъ лѣсомъ и оттолѣ приидоша безвѣстно на Рязаньскую землю лѣсомъ съ царемъ ихъ Батиемь. И прьвое приидоша и сташа о Нузлѣ,[51] и взяша ю, и сташа ту станомъ. И оттолѣ послаша посломъ жену чародѣицу, а съ нею два татарина, въ Рязань къ княземъ рязаньскымъ, просяще у нихъ десятыны: десятого въ князехь, десятого въ людехъ, и въ конехъ, десятаго въ бѣлыхъ, десятаго въ вороныхъ, десятаго въ бурыхъ, десятаго въ пѣгыхъ, и въ всемь десятого. Князи же рязаньстии, Юрий Иньгваревичь и брата его Олегь и Романь Иньговоровичи, и муромские князи, и проньские хотѣша съ ними брань сътворити, не вьпустячи въ свою землю. И выидоша противу ихъ въ Вороножь,[52] и ркоша посломъ Батыевымъ: «Коли насъ не будетъ всѣхъ, то все то ваше будеть». И оттолѣ послаша ихъ къ великому князю Юрию Всеволодичу въ Володимеръ, и оттолѣ пустиша татаре въ Воронажи. Послаша же рязаньстии князи пословъ своихъ въ Володимеръ къ великому князю Юрию, просяще помощи, или самому поити и вмѣстѣ постоати за землю Рускую. Князь великий же Юрий не послуша молбы рязаньскыхъ князей, самъ не поиде ни посла къ нимъ; но вьсхотѣ самъ о себѣ съ татары брань сътворити. Но уже бяше Божию гнѣву не възможно противитися, яко же древле речено бысть Господемь Исусу Навгину;[53] егда веде ихъ Господь въ землю обѣтованную, тогда рече: «Азъ послю во нихъ прежде въ васъ недоумѣнное, и грозу, и страхъ, и трепетъ». Тако же и у насъ отъятъ Господь преже силу, а за грѣхы наша вложи въ насъ грозу, и страхъ, и трепетъ, и недоумѣние.	В год 6746 (1237). Окаянные татары зимовали около Черного леса и отсюда пришли тайком лесами на Рязанскую землю во главе с царем их Батыем. И сначала пришли и остановились у Нузы, и взяли ее, и стали здесь станом. И оттуда послали своих послов, женщину-чародейку и двух татар с ней, к князьям рязанским в Рязань, требуя у них десятой части: каждого десятого из князей, десятого из людей и из коней: десятого из белых коней, десятого из вороных, десятого из бурых, десятого из пегих — и во всем десятого. Князья же рязанские, Юрий Ингваревич, и братья его Олег и Роман Ингваревичи, и муромские князья, и пронские решили сражаться с ними, не пуская их в свою землю. Вышли они против татар на Воронеж и так ответили послам Батыя: «Когда нас всех не будет в живых, то все это ваше будет». Потом они послали к великому князю Юрию Всеволодовичу во Владимир, и тогда отпустили татарских послов от Воронежа. А к великому князю Юрию во Владимир послали рязанские князья своих послов, прося помощи, или чтобы сам пришел вместе постоять за землю Русскую. Но великий князь Юрий не внял мольбе рязанских князей, сам не пошел и не прислал помощи; хотел он сам по себе биться с татарами. Но гневу Божьему уже невозможно было противиться, как в древности сказано было Господом Иисусу Навину; когда Господь вел иудеев в землю обетованную, тогда он сказал: «Я пошлю сначала на них недомыслие, и грозу, и страх, и трепет». Так и у нас Господь отнял сначала силы, а за наши грехи послал на нас грозу, и страх, и трепет, и недомыслие.
Погании же татарове начаша воевати землю Рязаньскую, и оступиша Рязань, мѣсяца декабря въ 16 день, на память святаго пророка Аггеа, и острогомъ оградиша его. Князь же Юрий Рязаньский затворися въ градѣ съ людми, а князь Романь отступи къ Коломнѣ съ своими людми. И взяша градъ татарове, в 21 день, приступивше, того мѣсяца, на память святыа мученицѣ Иулианы, князя Юриа Иньгваревича убиша и княгыню его, а люди изсѣкоша, мужа, и жены, и дѣти, и чрьнца, и чрънорызыца, иереа, овыхъ огнемъ, а иныхъ мечемъ; поругание чрьницамъ, и попадиамъ, и добрымъ женамъ, и дѣвицамъ предъ матереми и сестрами. А епископа же ублюде Богъ, отъиха въ то время прочь, егда татарове городъ оступиша. И изсѣкше люди, а иныхъ плѣнивше, зажгоша градъ. И кто, братие, отъ насъ не поплачется о семъ, кто насъ осталъ живыхъ, како они горкую и нужную смерть подъяша! Да и мы, то видѣвши, устрашилися быхомъ и плакалися грѣховъ своихъ день и нощь сь въздыханиемь; мы же творимъ съпротивное, пекущеся о имѣнии и о ненависти братни. Мы же на предлежащее възвратимся.	Поганые же татары начали завоевывать землю Рязанскую, и осадили Рязань, и огородили ее острогом месяца декабря в шестнадцатый день, на память святого пророка Аггея. Князь же Юрий Рязанский заперся в городе с жителями, а князь Роман отступил к Коломне со своими людьми. И взяли татары приступом город двадцать первого декабря, на память святой мученицы Ульяны, убили князя Юрия Ингваревича и его княгиню, а людей умертвили,— одних огнем, а других мечом, мужчин, и женщин, и детей, и монахов, и монахинь, и священников; и было бесчестие монахиням, и попадьям, и добрым женам, и девицам перед матерями и сестрами. Только епископа сохранил Бог, он уехал в то время, когда татары окружили город. И, перебив людей, а иных забрав в плен, татары зажгли город. И кто, братья, из оставшихся в живых не оплачет это,— какая горькая и мучительная смерть их постигла! И мы, видя это, должны устрашиться и оплакивать свои грехи с покаянием денно и нощно; а мы поступаем по-другому, заботимся о своем имуществе и ненавидим братьев. Но вернемся к прежнему рассказу.
Князь же великий Юрий Всеволодичь Володимерский посла въ сторожехъ Иеремѣя воеводою, и сняся съ Романомъ Ингваревичемъ. Татарове же, вземше Рязань, поидоша х Коломнѣ, и ту прииде противу ихь сынь великого князя Юриа Всеволодича изъ Володимера и Романъ Ингваревичь съ своими людми. И оступиша ихъ татарове, и ту бысть имъ бой, и бишася крѣпко, и пригониша ихъ къ надолобамъ, и ту убиша князя Романа Ингваревича и Еремеа Глѣбовича, воеводу Всеволожа, и ту паде много людей съ княземъ и съ Иеремѣемъ; а москвичи побѣгоша, ничего же не видѣвше. А Всеволодъ Юриевичь бѣжа в малѣ въ Володимеръ. А татарове пришедше взяша Москву, и князя Володимера, сына великого князя Юриа, поимаша. И поидоша къ Володимеру многое множество кровопролитецъ крови христианскыа.	Великий князь Юрий Всеволодович Владимирский послал передовое войско с воеводой Еремеем, и оно соединилось с Романом Ингваревичем. А татары, захватив Рязань, пошли к Коломне, и здесь вышел против них сын великого князя Юрия Всеволодовича Владимирского и Роман Ингваревич со своими людьми. Окружили их татары, и произошло сражение, и бились ожесточенно, и оттеснили русских к городским укреплениям, и убили здесь князя Романа Ингваревича и Еремея Глебовича, воеводу Всеволода, и убито было с князем и с Еремеем много народа; а москвичи обратились в бегство, ничего не видя кругом. А Всеволод Юрьевич с остатками войска убежал во Владимир. А татары пошли и захватили Москву, а князя Владимира, сына великого князя Юрия, взяли в плен. И пошли в несметной силе кровопускатели крови христианской к Владимиру.
