Слово нѣкоего калугера о чь<тении> книгъ[1]	Слово некоего старца о чтении книг
Аште къто имать очиштену душу отъ чловѣчьскыя прѣльсти и видить худость своего естьства, умаления же, и напрасную съмьрть сего жития, — въ грѣхъ гърдостьный не въпадеться, аште и въ сану есть высоцѣ.	Если кто-то имеет душу, свободную от страстей человеческих, и видит немощь своего естества, его увядание и скорый конец этой жизни, — в грех гордыни тот не впадет, даже будучи в чине высоком.
Въ извѣстьнѣмь сьрдьця твоего съвѣтѣ разумѣвай суштиихъ съ тобою норовы, да познаеши въ истину съ любъвью служяштиихъ ти или съ льстью ласкаюштиихъ. Мънози бо приязнию лицемѣрьною вельми извѣстьныимъ пакость творять.	По тщательном размышлении в сердце своем обдумай характер всех, с тобой пребывающих, и тогда наверное различишь ты тех, кто с любовью служит тебе, и кто только льстиво пресмыкается. Ибо многие лицемерной приязнью самым славным приносят беды.
Яко не достоить послушати клеветаря, сладъко ти глаголюшта, или слышати на ближьняаго, да не отъпадеши Божия лубъве и царьства.	Потому и не следует выслушивать клеветника, сладко тебе напевающего, или поклепы на ближнего, — и не оставит тебя Божья любовь и царствие небесное.
Въвъздьржи клевештуштааго въ ушию своею, да не купно съ нимь погынеши.	Останови нашептывающего тебе в уши — и не погибнешь с ним вместе.
Еже убо правовѣрьну вѣру имѣти основания добрыихъ дѣлъ есть,[3] тѣмьже отъ вѣры начьнеться слово къ тебѣ, брате, понеже бо вѣрою въстрѣбова, а нелукаво: ведѣ, яко въдасть ми Господь вѣры ради твоея написати ти словеса ключема спасению.	Поскольку иметь православную веру есть основание добрых дел, так от веры начинается слово к тебе, брат, ведь и ты просил с верой, а не с хитростью: знаю, что даст мне Господь ради веры твоей написать тебе эти слова, ключи ко спасению.
Вѣруй въ Отьца и Сына и Святааго Духа, въ Троицю нераздѣльну, Божьство едино, Отьця нерождена, Сына рожена, а не зъдана, Духа Стаа ни рождена и зъдана, нъ исходяштя: трие въ единой воли, едину славу, едину чьсть и едино поклонение отъ вьсея твари и отъ аггелъ и чловѣкъ приемлюштю, прѣвѣчьну и бесконьчьну прѣбываюштю въ вѣкы.	Веруй в Отца и Сына и Святого Духа, в Троицу нераздельную, Божество единое — Отца нерожденного, Сына рожденного, а не созданного, Духа Святого, не рожденного и не созданного, не исходящего: три — в единой воле, в славе одной, в чести; и единое поклонение от всей твари, от ангелов и людей приемлющую, превечно и бесконечно пребывающую во веки веков.
Въплъштение же Сына вѣруй истиньно суште, а не привидѣниемь: въ двѣ естьствѣ Божьство и чловѣчьство — Бога по Божьству, чловѣка по въчловѣчению, въ обоемь съвьршена.	Веруй в воплощение Сына как истинно бывшее, а не воображаемое: в двойную сущность его Божества и человечества — Бога по Божеству, человека по воочеловечиванию, но в обоих них — совершенного.
Крьсту Христову съ вѣрою покланяйся, яко на томь спасение вьсѣмъ чловѣкомъ съдѣла Господь.	Кресту Христову покланяйся с верою, ибо на нем сотворил Господь спасенье всем людям.
Иконѣ Христовѣ и прѣчистыя его матере и вьсѣхъ святыхъ его съ вѣрою чьсть въздавай, и яко къ самѣмъ любъвьно въ молитвѣ глаголи.	Иконе Христа и пречистой его матери и всех святых его с верою честь воздавай, точно к самим им с любовью обращайся в молитве.
Страхъ Божий имѣй въ срьдьци въину и память, акы ту сушта Бога съ тобою на вьсякомь мѣстѣ, идеже идеши или сядеши.	Имей всегда страх Божий в сердце и помни, что Бог здесь с тобою на всяком месте, где идешь иль сидишь.
Страхъмь же его, акы уздою обръти умъ свой и въстязай по вся часы, да не безъ въстягновения ходя пустошьныимъ научишися.	Страхом пред ним как уздой обороти свой ум и удерживай постоянно, ибо, блуждая безудержно, научишься лишь суетному.
Простѣйшааго въ всемь ишти — и въ брашьнѣ, и въ одежди, и не стыдися ништетою, понеже большяя чясть мира сего въ ништетѣ есть.	Ищи во всем самого простого — и в еде и в одежде, и не стыдись нищеты, ведь большая часть сего мира живет в нищете.
Не рьци: «Богата мужя сынъ есмь и срамъ ми есть» — никътоже бо богатѣй Христа, отьця твоего небесьнааго, родивъшааго тя въ купѣли святѣй, въ ништетѣ же ходивъшя и не имуштя, къде главы подъклонити.	Не говори: «Богатого мужа я сын, и потому мне то стыдно» — ибо никто не богаче Христа, отца твоего небесного, тебя родившего в святой купели, но нищим и он ходил, не зная, где преклонить голову.
Правьдою украшяйся и къ вьсякому тьщися истиньно глаголати, не мози ся лиця устыдѣвъ лъжи послухъ быти, яко губить Господь глаголюштяя лъжу, нъ съ покорениемь истиньно отъвѣштавай.	Правдою украшайся и старайся всем говорить истину, не свидетельствуй ложно с бесстыдным лицом, ибо губит Господь извергающих ложь, но кротко истину излагай.
Уне бо есть чловѣку отъ истины пользу приемлюштю възненавидѣну быти, паче, нежели оть лицемѣрия врѣжену възлюблену быти.	Ибо лучше правдивому человеку быть ненавидимым, чем испорченному лицемерием быть любимым.
Възненавидѣныя бо бес правьды въздвигнеть Господь, възлюбленыя же вьсуе уничьжить, клеветьници бо истиньни бывають безъ испытанья.	Ненавидимых в правде возвысит Господь, любимых во лжи — уничтожит, ибо и без проверки клеветникам знают цену.
И аште ти правьду изъглаголавъшу и въ гнѣвъ въпадеши отъ кого любо, не скърби о томь, нъ паче утѣшайся, реченыимъ отъ Бога: «Блажени възненавидѣнии правьды ради, яко тѣхъ есть царьствие небесьное».	Но если в ответ на правду твою во гневе обрушатся на тебя, не печалься, утешаясь сказанным Богом: «Блаженны возненавиденные за правду, ибо их есть царство небесное».
Кротькъ буди къ вьсякому чловѣку, къ старѣйшууму тебе и къ мьньшюуму, лицемѣрьная бо то кротость, еже большиихъ устыдѣвъшеся, а мьньшяя озълобити.	Кроток будь со всяким человеком, и кто выше тебя и кто ниже, ибо лицемерная кротость — стыдиться пред старшими и презирать низших.
Кротъко ступание, кротъко сѣдение, кротъкъ възоръ, кротъко слово, — вься си въ тебѣ да будуть; отъ сихъ бо истиньный хрьстьянъ явишися.	Кроткая походка, кроткое сидение, кроткий взор, кроткое слово — все это пусть в тебе будет; в том ты и явишься истинным христианином.
Кротость же есть, еже никомуже не досажати ни въ словеси, ни въ дѣлеси, ни въ повелѣньи, нъ вьсякому чловѣку норовы своими осладити срдце.	А кротость — это ведь не досаждать никому ни словом, ни делом, ни повелением, но каждому человеку нравом своим услаждать сердце.
Славы земельныя никоемьже дѣлѣ не похошти, слава бо земльная ругаеться любяштиимъ ю, припахнувъши бо въ мало время чловѣку, яко буря вѣтръняя и плодъ добрыихъ дѣлъ обронивъши, въскорѣ же отъшьдъши посмѣеть неразумию его.	Славы земной не желай ни в чем, ибо слава земная насмехается над привязанным к ней, точно буря ветренная, налетев на короткое время на человека и плод добрых дел обронив, тут же исчезнув, лишь посмеется его неразумию.
Иже хочеть славьнъ быти вь семь мирѣ, ть бештьстья не тьрпить, вѣру же дрьжяй беславие любить, помышляя реченое отъ Господа: «Како убо можете вѣровати, славу отъ чловѣкъ приемлюште, славы же, яже отъ Иночядааго, не ищете?»	Кто хочет быть славным в сем мире, тот бесчестья не терпит, кто держится веры — безвестность любит, размышляя о том, что сказал Господь: «Как можете веровать, от людей принимая славу, а славы, которая от Единого Бога, не ищете?».
Бештьстье люби акы чяшю пелына и приими е, аште и притрано ти есть, нъ на прогънание грѣхъвънуму недугу, иже бо грѣхъ сладостью въниде, горестию да проженеться.	Бесчестье терпи, точно чашу полыни прими ее, даже если тебе неприятно, или изгнанья недуга греховного, ведь грех через сладость входит, а горечью — изгоняется.
Желаюштюуму вѣчьныя жизни и худѣ земленыихъ причяштяюштюся и въину мысляштю о исходѣ своемь, не сътужить ему поношение чловѣчьско, яко гость бо, пришьдъ въ миръ сь, сътьрпить бештье господы своея, понеже утро надѣеться остити.	Того, кто мечтает о вечной жизни и худо с земным согласуется, всегда помышляя о кончине своей, не терзает поношенье людское, он как гость, пришедший в мир сей, — претерпит бесчестье от хозяев своих, поскольку завтра надеется отойти.
Съ мученыими Христа ради хотя ликъствовати, прѣдажь тѣло свое на наготу, волю на попьрание, утробу на постъ, срдце на крѣпость, кръвь же аште не на пролитие извъну, то вънутрь исучи ю сухотою яди, да приимеши обѣштяная.	С мучениками ради Христа желая общаться, наготе предай свое тело, волю свою — на попрание, утробу — на пост, сердце — на твердость, а кровь, если и не на пролитье извне, то изнутри иссуши ее пищею черствой — и примешь тогда желанное.
Вѣси, яко призываеши и князя, очищають храмы, и ты, аще желаеши Бога своего въ домъ тѣлесьный въселити на свѣтъ жизни твоей, очисти тѣло постъмъ, истрѣби жяждею, украси съмѣрениемь, накади благоуханьною молитвою.	Знаешь ты, что, приглашая князя, убирают хоромы, ты же, если желаешь Бога в дом свой телесный вселить на просвещение жизни твоей, тело очисти постом, жаждою истреби, смиреньем укрась, накади молитвою благоуханной.
Храни свѣштю отъ вѣтра и молитву же отъ юности украси, яко невѣсту, бъдѣниемь, трудъмь, тьрпѣниемь, да похоштеть еи царь небесьныи.	Храни от ветра свечу, молитву с юности укрась, точно невесту, бденьем, трудом, терпением — и тогда возжелает ее царь небесный.
Тайно мѣсто обрѣтъ и сѣдъ съ тихостию помяни грѣхы и отъпадение царьства, и умилися срдцьмь и образъмь, преклони главу и рьци съ стенанием: «Охъ, мънѣ, яко пришьльствие мое удалися, и къто дасть главѣ моей воду, и очима моима сльзы? увы мънѣ, увы мънѣ, яко близь дьнь Господень!»	Тайное место найдя и присев в тишине, помяни и грехи, и падения царств, и умились и сердцем, и взором, голову преклони и скажи со вздохом: «Ох мне, ох, пребыванье мое затянулось, кто ж даст воду главе моей и очам моим слезы? увы мне, увы мне, ибо близок день Господен!»
Сльзъ ли не имаши, нъ не отъчяйся, въздыхай же чясто и тяжько отъ вьсего срдця, сльзы бо суть даръ Божии, и помалу въздыханиемь и умилениемь испросиши у Бога: вьсякъ бо просяй прииметь.	А если нет слез, не отчаивайся, почаще вздыхай и тяжко от чистого сердца, ибо слезы — дар Божий, так мало-помалу умиленьем и вздохом выпросишь их у Бога, ибо всякий просящий получит.
Обрѣтъ сльзы, храни я вьсею силою своею отъ объядания и пияньства, паче же отъ осуждения вьсякого чловѣка; своему бо дѣлу зазирай, чловѣка же, егоже не съзъда, тому не суди.	Обретши слезы, охраняй их изо всей силы от обжорства и пьянства, но больше всего остерегайся осуждать других: делай дело свое, а не суди человека, ведь не ты его создал.
Не вѣруй ни очима своима, аште видиши кого съгрѣшяюштя, яко и тѣ невѣрьнѣ есте, ибо и пьрвое въ раи очи съблазнистася, и падениемъ онѣмъ отъ възора быста.	Не верь и очам своим, если видишь, что кто-то грешит, ибо и очи обманут: ведь и прежде в раю соблазнились очи, и свершилось падение их от взгляда.
Иже бо имѣеть на ребрѣхъ своихъ язву, гноя испълнену, прыштиемъ чюжимъ не съгнусить си и помышляя въину с мъножьствѣ грѣхъ своихъ, николиже о дружьни съблазнѣ бесѣды съставить коли.	Кто носит на ребрах своих рану, полную гноя, не гнушается чужими прыщами, всегда размышляя о множестве личных грехов и никогда не входя в беседы о соблазне других.
Чьрвь съмѣренъ зѣло и худъ, ты же славьнь и гръдь, нъ аще разумьнъ еси самъ, уничьжи гърдость свою, помышляя, яко крѣпость твоя и сила, чьрвьмъ покоиште бываеть.	Червь мелок и слаб, ты же славен и горд, но если разумен ты сам, смири гордыню свою, размышляя о том, что твердость твоя и сила будут червям приютом.
Помяни пьрвыя прослувъшая въ храбърьствѣ, въ богатьствѣ же и славѣ, и вьси яко без вѣсти отъидоша и беспамятьни бышя; худии же и убозии въ мирѣ семь, о души своеи подвигьшеися, како и на небеси прославлени и по земли хвалими, и на помошть призываеми.	Вспомни древних, прославленных храбростью, богатством, славой, ведь все они отошли безвестно и ныне забыты; слабые же и убогие в сем мире, о душе своей позаботившиеся, прославлены на небесах, и на земле их хвалят, призывая на помощь.
Възведи очи милостивьно на сѣдяя въ наготѣ и зимою съкърчивъшаагося, понуди естьство свое прикрыти одеждею, лежаштею у тобѣ, и Господь дасть ти пакы съторицею жизнь вѣчьную.	Милосердно очи свои возведи на сидящего в наготе и от холода скорченного, дай ему тело его прикрыть одеждой, лежащею у тебя, и Господь даст тебе сторицею вечную жизнь.
Простьри руку скытаюштюмуся по улицамъ, въведи таковыя въ свою обитѣль, общъ ти буди съ нимь хлѣбъ твой, обьштя чяшя, воды ли или пития, яко же ти Господь далъ есть.	Подай руку скитающемуся по улицам, введи его в дом свой, раздели с такими и хлеб твой, и чашу воды ли или питья, какого тебе дал Господь.
Страньна въведи въ домъ свой, бескровьнааго въ храмъ свой, даждь мокнуштюму сухоту, зимному теплоту, омый сквьрну тѣла его, яко убогъ есть зѣло и достоинъ помилования.	Странника в дом свой введи, в хоромы — бездомного, мокнущего осуши, замерзающего согрей, смой грязь тела его, ибо убог он весьма и достоин спасения.
Посѣти суштиихъ въ тьмьници, по Господню повелѣнию, вижь бѣду, вижь страсть и рьци: «Охъ мънѣ! си за едино съгрѣшение стражють! Азъ же по вься чясы владыцѣ моему Христу съгрѣшяю и въ льготѣ прѣбываемъ!»	Навести в темнице сидящих по воле Бога, взгляни на беду их, взгляни на страдания и скажи: «Ох мне! это они за одно согрешение только страдают! Я же все время пред владыкой моим Христом согрешаю, но нахожусь на свободе!»
Аште видиши кого отъ нихъ, по оклеветании стражюшта, помози ему, Христа ради, яви истину къ нимъже оклеветанъ есть: велико бо то спасение есть, еже обидимыя избавляти.	Если видишь кого-то из них по навету страдающим, помоги ему, ради Христа, яви истину к тем, кто был оклеветан, ибо весьма спасительное это дело, облегчать обиженных долю.
Сѣдящю ти надъ мъногоразличьною тряпезою, помяни сухъ хлѣбъ ядуштааго и не могуштааго си воды принести недуга ради.	Когда сидишь за обильным столом, вспомни о том, кто ест хлеб сухой и не может воды принести в недуге.
Насыштяяй тѣло свое, дажь чясть отъ тряпезы ты твоея души своей, яко та чьстьнѣиши тѣла есть, даждь же да душьную часть нищии хранять, да егда въстрѣбуеть, тьгда готово обряштеть. Будеть бо веремя на исходѣ и у вратъ небесьныихъ обряштеть, егда мъного трѣбовати имать.	Насыщая тело свое, отдай часть еды твоей ради души своей, ибо честней она тела, чтобы душевную часть сохранили нищие, так что когда потребуется, она в готовности. Время будет твое на исходе, а она окажется у врат небесных, тогда потребует много.
Насыштяяся многосластьнааго пития, помяни пиюштааго теплу воду, отъ слъньца въстопѣвъшу, и ту же пороха нападъшу отъ мѣста незавѣтръна.	Принимая сладостное питие, подумай о пьющем теплую воду, на солнце согревшуюся, полную сора от неприкрытого места.
Въ богатьствѣ сы и земльныихъ благъ изобиль имѣя, помьни въину слово Авраамле, еже къ богатому: «Въсприя ты благая въ животѣ своемъ, якоже и убогыи зълая, тѣмьже онъ веселиться, а ты стражеши».	Имеющий благ земных изобилье, помни всегда Авраамово слово к богатому: «Ты принял благое в жизни своей, как принял убогий — злое, потому веселится он, ты же — страдаешь».
Възлагъ на мъногомякъцѣ постели и пространо протягаяся, помяни наго лежаштааго подъ единѣмь рубъмь и не дрьзнуштя ногу своею прострѣти зимы дѣля.	Возлегши на мягкой постели, свободно потягиваясь, вспомни лежащего в наготе под единым рубищем, того, кто не может вытянуть ноги свои из-за холода.
Лежащю ти въ твьрдо покръвенѣ храминѣ, слышащю же ушима дъждевьное множъство, помысли о убогыхъ, како лежать ныня, дъждевьными каплями, яко стрѣлами, пронажяеми, а другыя отъ неусъновения сѣдяштя и водою пъдъяты.	Когда возлежишь ты под крепкою крышей в хоромах, слушая как шумит дождь, подумай и об убогих, что ныне лежат, пронзаемы точно стрелами дождевыми каплями, а другие без сна сидят, затопленные водою.
Сидяшту ти въ зиму въ теплѣ храминѣ и без боязни изнаживъшуся, въздъхни, помысливъ о убогыхъ, како клячять надъ малъмь огньцьмь съкърчивъшеся, большу же бѣду очима оть дыма имуште, руцѣ же тъкмо съгрѣвающе, плешти же и вьсе тѣло морозъмь измьрзъше.	Когда в мороз сидишь ты в теплых хоромах, без страха раздевшись, вздохни, об убогих вспомнив, как сгорбились над огоньком, согнувшись, с большой болью в глазах от дыма, чуть-чуть согревая руки, тогда как плечи и тело — все мерзнет на холоде.
Приклони ухо свое къ просяштюуму и обништавъшюуму въ житьи семь, заплати избываюштиимъ своимъ оного недостатъчьную диру его.	Ухо свое преклони к просителю, обнищавшему в жизни сей, поставь заплату избытком своим на зияние дыр его.
Духовьнааго и духовьная помышляй, а не земльная; вѣдый, яко по нетьлѣньному одѣнию крьштение вси равьни суть, и убозии, и богатии. Тѣмьже блюди, еда по земльному помышляя, прѣзриши убогааго, тьлѣньною одеждею съ тобою не равъно одѣна.	Помышляй о духовном, а не о земном; знай, что по нетленной одежде крещения все равны, и убогие, и богатые. Поэтому берегись, чтобы думая по-земному, не презирать убогого, не одинаково с тобою одетого тленной одеждой.
Святыихъ, угождьшиихъ Господу, моли, акы помоштьникы сушта и заступникы притѣкаюштиимъ къ нимъ, понеже прияшя дрьзновение къ Господу, акы угодьнии раби къ своему господину.	Святым, угодившим Богу, молись, ибо они помощники и заступники прибегающих к ним, поскольку они получили право обращаться к Господу, как рабы, угодные своему господину.
Мошти святыихъ съ вѣрою цѣлуй и чьсть въздажь имъ, яко чьстьномъ, понеже Христа дѣля пострадашя.	Мощи святых с верой целуй и честь им воздай как честным, ибо ради Христа пострадали они.
Тайнамъ Божиямъ вѣруй, тѣлу и кръви Его, съ страхъмъ причяштяяся, да причастьникъ будеши царьству Его.	Веруй в Божии тайны, телу и крови Его причащайся со страхом — и станешь причастником царству Его.
Невѣрьство же отъмѣтай, не рьци, како хлѣбъ тѣло и вино кръвь? но слыши, яже отъ чловѣкъ невъзможьна, отъ Бога възможьна.	Неверие же отметай, не говори: «как это, хлеб — тело, а вино — кровь?», но знай: что у людей невозможно, у Бога возможно.
Вѣруй въскрьсению мрьтвыиихъ и жизни будуштааго вѣка, по неиздреченьну словеси Господню, еже въ еуагглистѣмь слыши учении.	Верь в воскресение мертвых, в жизнь предстоящего века, по неизреченным словам Господня, которые слышишь у евангелистов.
Помни Судъ, чяи отъвѣта и въздаяния по дѣломъ, и вѣруй, яко будеть, будеть!	Помни о Страшном суде, ожидая ответа и воздаяния по делам — и верь: это будет, будет!
По семь же възлюби Господа Бога своего отъ всея души своея и отъ всея крѣпости и подвигнися вься твоя дѣла и добрыя норовы къ Его угождению творити лѣпо.	А еще: возлюби Господа Бога своего от всей души своей и со всею твердостью, и старайся угодить ему всеми делами твоими и добронравием.
Пакы же искрьняаго своего възлюби, съ нимьже въ единой купѣли породися, рекъше всякого хрьстьяна, паче же брата си: «Въсхожю бо, — рече Господь, — к Отцу моему и Отцю вашему».	Также и ближнего своего возлюби, с которым в одной породнился купели, то есть всякого христианина, а скорее — брата тебе, ибо, сказал Господь, «Восхожу к Отцу моему и Отцу нашему».
Поклоняй главу свою вьсякому старѣйшюму тебе, и врѣменьмъ и разумъмь, съмѣреныя бо въздвигнеть Господь.	Склоняй свою голову перед всяким, кто летами старше иль разумом, ибо возвысит смиренных Господь.
Другы своя и съравьныя тебѣ любъвию сърѣтай и съ обятиемь целование дай ему, акы Елисавефь и Мария.	Друзей же своих и равных тебе с любовью встречай, и, обнимая, целуй, как Елизавета и Мария.
Мьньшяя тебе малыя вьрстою любъвьно приими и помилуй, и къ Богу о нихъ въздъхни, яко не ново начьнъшя познавати Господа.	Меньших тебя и малых годами любовно прими и помилуй, и к Богу о них воздохни, ибо только что начали те познавать Господа.
Князя бойся вьсею силою своею, нѣсть бо страхъ его пагуба души, нъ паче научишися отъ того и Бога боятися.	Князя бойся всей силой своею, ибо страх перед ним — не пагуба для души, лишь вернее научишься Бога от того бояться.
Небрѣжение же о властьхъ — небрѣжение о самомь Бозѣ. Иже на власти земльнѣ поучения видимаго владыкы небояся, како невидимааго убоиться?	Пренебрежение властями — пренебрежение Богом. Ведь если кто власти земной не боится, поучения видимого владыки, то как устрашится невидимого?
Боиться ученикъ учителева слова, паче же самого учителя, такоже бояйся Бога боиться и князя, имьже казняться съгрѣшяюштии: князь бо есть Божий слуга къ чловѣкомъ, милостью и казнью зълыимъ.	Боится ученик учительского слова, но больше — самого учителя, так и страшащийся Бога боится и князя, через которого и наказываются согрешающие, ибо князь — перед людьми слуга Бога, милость иль наказанье преступных.
По семь же вьсякому богату главу свою покланяй и съмѣрения ради, древо бо многовѣтвьно: поклонениемь подъидеши и мимо идеши.	А кроме того, пред всяким богатым склоняй свою голову смирения ради, ибо у древа много ветвей: только склонившись, под ним пройдешь.
Приимъшеи бо власть и емѣние отъ князя своего, отъ другъ своихъ славы хотять, а отъ мьньшиихъ поклонения просять и чьсти.	Принявшие власть и именье от князя своего, хотят от друзей своих прославления, а от низших ждут поклонения и почитания.
Прѣдъ князьмь же бойся лъжю глаголати, яко губить Господь глаголюштяя лъжю, нъ съ покорениемь истиньно отъвѣштявай ему, акы къ самому Господу.	Пред князем страшись говорить неправду, ибо губит Господь изрекающих ложь, но покорно истину говори ему, словно Господу самому.
Аште бо въ врѣмя нѣкое неправо чьто възглаголеть ти, а тобѣ съвѣдуштю, блюдися, еда искушаеть тя, блюдеши ли своея душя? И аште явишися неистовьствуя, не можеши увѣритися ему, яко блудеши оного душя.	Если когда-нибудь неверно что скажет тебе, а ты это знаешь, вглядись, не искушает ли он тебя: бережешь ли душу свою? Если же явишь свое безумство, не сможешь доказать ему, что сохраняешь душу его.
Умъ свой присно отъ суетьныхъ мыслий въстягай, въспуштяй же къ Господу горѣ, симь бо на стьзю подвига въступаеши, душу же отъ раслабления свобажяеши.	Ум свой от суетных мыслей отринь, воспаряя высоко к Господу, ибо этим вступаешь на стезю добродетели, освобождаешь душу от слабости.
Нѣсть бо дивьно чловѣчьску естьству низъпадати къ земльныимъ, нъ еже падъшися не въстати? Къто бо заблудивъ съ пути не възиска пакы? Раслабленъ ли бысть отъчаяниемь пакы дньсь, утрѣшний пакы днь подвигу отдажь.	То не диво для естества человека — ниспадать к земному, но если, павши, не встать? Разве кто-нибудь, сбившись с пути, снова его не отыщет? Если разбит отчаяньем ты сегодня — завтрашний день посвяти подвигу.
Неразумие же убо есть, еже приходяштямъ благостынямъ вѣчьныимъ даръмь благааго Бога, ти не пожьдати трьпѣниемь и вѣрою, нъ о земльныихъ радоватися и тѣхъ приятися, акы невѣруюшту въскрьсению.	Неразумно, когда приходят вечные достояния — дары благого Бога, не дожидаться их с терпением и верой, но радоваться земному и к нему стремиться, словно не веря в воскресенье.
Аште бо бы слава сего мира приближилася славѣ небесьнѣй, не бышя сынове мира сего распяли Господа славы, то кый бо рабъ дрьзнеть въ томь дому обитати, идеже господина его не прияшя?	Если бы слава сего мира приближалась к славе небесной, не распяли бы славы Господа мира сего сыновья, ибо какой раб дерзнет жить в доме, где его господина не приняли?
Алкоту и жяжду Христа дѣля люби, елико бо пакость тѣлу твориши, души благодѣть зиждеши. Въздаяй бо судъ противу словомъ и помысломъ въздасть пакы благая и за малое, еже Его дѣля потрьпимъ.	Голод и жажду терпи Христа ради: насколько наносишь вред телу, настолько душе создаешь благо. Воздающий суд за слова и помыслы воздаст благом и за малое, которое ради него претерпим.
Молитвы же душьныя пищя не отълагай, якоже бо тужить тѣло и отънемагаеть пиштя лишяемо, тако душя молтвьныя сладости лишяема на раслабление и умьртвие умьное приближяеться.	Молитвы — пищи душевной — не откладывай, как тужит тело, изнемогая без пищи, так душа, лишаемая сладости молитвы, к слабости и душевной смерти приближается.
Свѣтъ убо въ храминѣ свѣштя, свѣтъ же въ чювьствѣ молитвьный разумъ; яснъ же свѣтъ от свѣштя, не суштю въмѣсу никоемуже, свѣтла же зѣло молитва непримѢсна мысли земьныихъ.	Свет в хоромах — свеча, свет же в чувстве — молитвенный разум; ясен свет от свечи, не знающей никаких примесей, но светла и молитва, не смешанная с земными помыслами.
Прѣдай хотѣние Богу, вѣдуштюуму вся прѣже бытия чловѣку, и не проси воли твоей быти: всякого бо чловѣка мысль о непользьныихъ, нъ глаголи къ Богу: «Да будеть воля твоя!» Тъ бо строить вься на пользю намъ, ихъже мы плътьнии не вѣмы.	Предай все желания Богу, ведающему все до бытия человека, и не проси о воле своей — у всякого человека мысль о ненужном, — но обращайся к Богу: «Да будет воля твоя!» Ибо строит он все нам на пользу, которой мы в нашей плоти не ведаем.
Въстени акы мытарь, прибѣгни акы блудьныи, умилися акы Ахаавъ, плачися акы Петръ, зови акы ханааныни, прѣдъстои яко въдовица, молися акы Иезекия, съмѣрися акы Манаси, — аште тако молишися, прииметь благый Господь молитву твою, акы мати младенца.	Стенай словно мытарь, вернись точно блудный сын, умились как Ахав, восплачь точно Петр, взывай как ханаанка, предстань как вдовица, молись как Иезекия, смирись как Манасия, — и если молишься так, примет благой Господь молитву твою, как мать — младенца.
