ТРЕТЬЯГО СЛОВА СУТЬ СТИХОВЕ ВСИ 1654	ВСЕГО В ТРЕТЬЕМ СЛОВЕ 1654 СТИХА
Се тебѣ притча конець сдѣ въсприятъ. Аще ли не мнить ти ся подобнѣ реченая рещися, яже рѣхом притча нынѣ въ словѣ, испытай, что ни что есть притча, — ни всячьскы имат, притча позънавай, госпоже, равное въсприемлет, зане и не бывала притча, якоже рѣхом, но тождьство паче.	Вот тебе смысл этой притчи. Если же тебе кажется, что нами здесь сказанное выражено неподобающим образом, ибо я говорила притчей, поинтересуйся тем, что такое притча, и знай, госпожа, что притча не во всем в равной мере точна; иначе она и не была бы притчей, но скорее тождеством.
Душа: Да коего глаголеши человѣка, рабыне, рци ми, имущаго якоже мощно еже по образу Божию и по подобию Его, — сам бо реклъ еси — тѣло се тлѣнное или душю самую? Моусии человѣка рече по образу Божию еже изначала первозданнаго быти.[16] И како наречеться человѣкъ безъдушное тѣло? И пакы же словесное души како наречеться, не сущу телу человѣка отнудь? Рече бо нѣгдѣ Моисий в Бытии тако: «И созда Богъ человѣка персть от земля». Се тѣло человѣка нарече, о рабыне. «И тако дуну на лице его дыханье животно, — якоже пишет, — словесно и божествено, и бысть человѣкъ въ душу живу тогда».[17] Еже по образу, рабыне моя, в чом отдамы — и в плоти ли, служителнице, или въ души самой?	Душа: А что в человеке, рабыня, скажи мне, имеет, насколько это возможно, образ Божий и подобие его, ты говоришь? Что он имел в виду — тело это тленное или же душу? Моисей сказал, что человек первозданный был создан по образу Божию. А можно ли назвать человеком бездушное тело? И опять же, можно ли назвать так словесную силу души, если не будет тела у человека совершенно? Сказал ведь, кажется, Моисей в Книге Бытия так: «И создал Бог человека из праха земного». Это он о теле человеческом сказал, рабыня. «И затем вдунул в лицо ему дыхание жизни, — как он пишет, — словесное и божественное, и стал человек душою живою тогда». То, что по образу, рабыня моя, в чем оно находится — в плоти ли, служительница, или в самой душе?
Плоть: Слыши, господыне моя, сдѣ речение Павлово и разумѣеши искомое удобь от сего: «Елико внѣшний нашь человѣкъ растлѣваеть, толико внутрений обнавляеться вяще».[18] И два убо человѣка наречена съединена, внутреняго и внѣшняго, человѣкы именует, си рѣх душа и тѣло — обоих тако. Но убо воистину человѣкъ душа глаголеться. Не смотряй, господыне моя, внешняго человѣка, ниже сумнися отнуд о создании его, то бо покрывало есть и одѣвало тоя. Еже по образу же — душа, и по подобию его. Не мни же, господыне моя, человѣка глаголитися тѣло се тлѣнное и человѣка внѣшняго. Но егда убо Писание услышиши, глаголющее: «Створим человѣка по образу Своему»,[19] — и внутреняго разумѣвай человѣка, душевное существо, не явлено се, но скровеное, си невидимое и незримое естеством. Истиннѣе же яко внутрь паче есмы. По внутренему бо человѣку «азъ» паче есмь, внѣшняя же не «азъ», но «моя» разумѣвай. Не рука бо «азъ», прочее, или нога «азъ» паки, но «азъ» — словесное души в лѣпоту. Рука же убо, и нога, и прочая части человѣчьскаго тѣла суть уди. Тѣло бо ссуд есть васнь, и колесница, и соузъ души человечестѣй. Воистину же человѣкъ душа глаголеться. А помыслъ убо — властник страстемъ и владыка. По властному убо бывати ту вѣмы и паки в помысленѣм стяжаньи быти ради истиннѣйшая части быти ума ея и премудрости, яже Богъ дарова тому.	Плоть: Послушай, госпожа моя, здесь изречение Павлово и уразумеешь искомое из него: «Насколько внешний наш человек истлевает, настолько внутренний больше обновляется». Двух соединенных человек упоминая, он называет так, внутренним и внешним человеком, душу и тело, обоих. Но ведь по-настоящему-то человеком душа называется. Не смотри, душа моя, на внешнего человека и не обманывайся относительно его сути, ибо это лишь покрывало и одежда той. А что касается образа и подобия, относится к душе. Не думай, госпожа моя, что человеком называется это тленное тело, человек внешний. Но когда слышишь Писание, говорящее: «Сотворим человека по образу Своему», — то внутреннего подразумевай человека, душевное существо, которое не явленно, но сокровенно, и невидимо, и незримо по природе. Больше правды в том, что мы преимущественно внутренней жизнью живем. Ибо ко внутреннему человеку более «я» относится, под внешним же — не «я», но «мое» подразумевай. Не рука ведь «я», стало быть, и не нога «я», опять же, но «я» — это, конечно же, разумность души. Рука же, и нога, и прочие части человеческого тела суть члены. В соответствии с этим тело есть орудие, колесница и союзник души человеческой. Воистину же человеком душа называется. А разум — господин страстей и владыка. Мы знаем, что она должна быть покорной владыке и пребывать в стяжании смысла, при помощи истиннейшей части ума ее и посредством мудрости, которую Бог тому даровал.
Подражаваеть бо нѣкако умъ человѣчьскы Бога, во мъгновеньи бо обтичет вся, и сообращаеться, — и вечерняя, вкупѣ и всточная, паки и ужная, и сѣверная, и яже под землею, и небесная же убо и невходимая она, — не сущьством своим, не непщюй се отнудь, — мечтаньем же единѣм помысленым, госпоже. Единъ бо Богъ существом и естеством, сице и премудростью Своею, и силою же паки, имат неописаное выше всякого естества. Еже по образу, владычице, обладателно знаменуеть. Якоже никтоже вышши на небеси есть Бога, всех Творца — видимых и невидимых, сице никтоже на земли вышши от человѣкъ есть. Но якоже имат Богъ всѣх владычьство, сице далъ есть и тебѣ бесловесных и животных, всѣми убо владем вкупѣ, скоты же и звѣрми, и всѣми господьствуем — птицами, и гады, и рыбами, всѣми и животными, ихже положилъ есть Богъ в сем мирѣ. Сим есмы, якоже показася, по образу Божию.	Походит ведь некоторым образом ум человеческий на Бога, ибо во мгновение обходит он все и охватывает — и запад, и восток, и юг, и север, и то, что под землей, и что на небесах, и то, куда нет входа, — но не существом своим — вовсе этого не подумай, — а представлением только мысленным, госпожа. Одному ведь Богу с его существом и естеством, а также премудростью и силой свойственна неописуемость, превышающая всякую природу. То, что по образу, владычица, обозначает властвующее. Как никого нет на небесах выше Бога, Творца всех, видимых и невидимых, так никого на земле нет выше человека. И как Бог владычествует всем, так и тебе подчинил бессловесных животных, чтобы мы вкупе всеми владели и над всеми скотами и зверями господствовали — над птицами также, и змеями, и рыбами, и всем живым, что поместил Бог в этот мир. Вот что у нас, как показано, по образу Божию.
А еже по подобию — мы исправляемъ от хотѣния нашего и произволенья же, на подобительное взводимся тому. Подобны быти тому далъ есть власть нам, вложивъ, прочее остави повелѣнию нас дѣлателя быти свѣтом и хотѣнием — еже к нему, госпоже моя, подобна глаголю — и яко да конець, прочее, будеть нашему труду, дѣланья мзда. Вонми, душе, и разумѣй, яко да всяко будет исправление твое, а не чюжо то, тебѣ остави се, еже по подобию быти, яко же рече: «Будите свершени, якоже свершенъ есть наш небесный Отець»[20] же и Владыка, яко солнце свое сияеть на вся, злыя же и благыя, и дождить паки сице. Аще же и ты, госпоже моя, злобоненавистна будешь, и непамятозлобна, и кротка, братолюбива и милостива, Богу поподобишися тѣм. Еже по образу убо Богъ дарова тебе — еже имѣти словесное, и обладателное тако же, и самовластное же в себѣ, господыне. Бываеши и по подобию — благостию, аще хощеши. Аще бо и по подобию тя бы Богъ створилъ, где ть благодать, страстна? Чесого ради венчалася бы? Царство небесное како отверзло ти ся бы? Добро есть душе спастися от подвигъ и от трудовъ, яко долж ы въздание, а не дар ы благодать, еже есть неразумѣва и лениваго раба.	А то, что по подобию, — то мы осуществляем в зависимости от желания нашего и произволения, путем уподобления возводясь к нему. Дал он нам, вложив, возможность уподобиться ему. И оставил нашему произволению, быть ли нам по своей воле и желанию создателями его, госпожа моя, подобия, чтобы это и было венцом нашего труда, платой за работу. Внимай, душа, и разумей: чтобы именно твоим был успех, а не чужим, тебе предоставил он это, быть по его подобию, о чем и сказал: «Будьте совершенны, как совершенен Отец ваш небесный» и Владыка, ибо солнце его сияет на всех, на злых и на добрых, и мочит дождь тоже так же. И если ты, госпожа моя, ненавистницей зла будешь, незлопамятной, кроткой, братолюбивой и милостивой, то Богу уподобишься. То, что по образу Бог даровал тебе, — иметь разум и власть, а также свободу своей воли, госпожа. Бываешь и подобной — благостью, если захочешь. Ведь если бы по подобию тебя Бог сотворил, на что тебе благодать, о страстная? За что венчалась бы? Царство небесное как открылось бы тебе? Прекрасно для души спастись за подвиги и труды, получив спасение как долг и награду, а не как подарок и милостыню, подобно неразумному и ленивому рабу.
Душа: Добрѣ и сия рекла еси и ктому не сумнюся. Обаче и еще ми сие скажи, о рабыне: тѣло праотца Адама, рци ми, како создано бысть убо — тлѣнно ли, или нетлѣнно, мертвено или не тако?	Душа: Хорошо и это ты сказала, и больше я не сомневаюсь. Однако вот что еще скажи мне, рабыня: тело праотца Адама, объясни мне, каким было создано — тленным или нетленным, смертным или же нет?
Плоть: И о сем, владычице, речем ти яже вѣмы: ни же тлѣнно, ни нетлѣнно, ни бесмертно паки. Посреде бо то созда тля и нетлѣнна, посреде мертвости, глаголю, и бесъмертия. Яко да аще изволит душа добрая и сладкая, бесмертна будет от дълъ лучьших, якоже убо и выше научило есть слово. Аще ли паки телесным страстемъ поведеться, тлѣненъ и мертвенъ будет, еже и пострада. Аще бо бы смертна Богъ створилъ того, не бы осудилъ есть смертью согрѣшша, смертному бо мертвость никтоже осужаеть. Аще ли паки бесмертъна, не бы пища требовал телесныя же и тлѣнныя и погибающая, ни аще покаялся бы о нихъже сдѣя, ниже паки бесмертное мертвено тѣм створилъ бы. Ниже бо являет о согрѣшших ангелѣх се створивъ Богъ же и Владыка, но естество имут еже исперва, паки бесмертни пребыша, обаче не свѣтоносни, и нужди ждут, прочее, о согрьшьши казнь.	Плоть: И об этом, владычица, скажем тебе, что знаем: ни тленным, ни нетленным, и не бессмертным. Ибо он создал его между тлением и нетлением, между смертностью и бессмертием. Чтобы, если решит душа его добрая и сладкая, бессмертным оно стало через добрые дела, как и разъяснено уже в сказанном выше слове. А если же телесным страстям предастся тленным и смертным будет, как с ним и случилось. Ведь если бы смертным Бог сотворил его, не осудил бы на смерть согрешившего, ибо смертному смертность никто не присуждает. А если бы бессмертным, не нуждался бы он в пище телесной, тленной и погибающей и не покаялся бы в содеянном, и смертным не сделал бы тем самым бессмертное. Ибо не видно, чтобы так поступил Бог и Владыка с согрешившими ангелами, ведь имеют они первоначальную свою природу, оставшись бессмертными, хотя и не светоносными, и вынужденными, стало быть, ожидать за согрешение наказания.
Душа: Надолго прострохом бесѣду, о рабыне, сирѣчь любопрѣние, еже любезнѣ речеся, не вражебнѣ — да не будет, — приятелна же паче. Прочее, и взисканья разрѣшила ми еси абье. Нынѣ же убо скажи ми, иже исперва впрашах, да некако и забытие будет и не въспомяну се. Обаче вся прости ми, яже преже глаголаная.	Душа: Долго мы беседуем, рабыня, спорим, но в хорошем смысле слова, можно сказать, по-дружески, не враждебно нисколько, скорее приятельски. Итак, вопросы мои ты хорошо разрешила. А теперь скажи-ка мне о том, о чем вначале я тебя спрашивала, чтобы не забыть нам как-нибудь и не упустить этого. А кроме того, прости мне прежде сказанное.
Плоть: Да убо что есть впрошенье твое, забыла есмь.	Плоть: А о чем вопрос твой — я забыла.
Душа: Въпросих, о рабыне моя, и суприжница, и другине, гдѣ препочивают душа праведных, подобнѣ и грѣшьных, и кое есть мѣсто их даже до вскресенья и Христова пришествия.	Душа: Я спрашивала, рабыня моя, соупряжница и подруга, где почивают души праведных, а также и грешных, и где пребывают они до всеобщего воскресения и Христова пришествия.
Плоть: Аще убо хощеши навыкнути еже впрашаеши, госпоже, и зде вонми разумно и навыкнеши сия.	Плоть: Если хочешь узнать то, о чем, госпожа, спросила, слушай меня теперь вдумчиво, узнаешь и это.
Якоже Писание учить мя, на небеси есть идеже препочивает всяка душа праведная. Но и имены многознаменито есть, страна бо живых наречеся, и земля кроткых, паки празднующихъ глас же и сѣнь праведных, пищи поток, исполненъ бесмертья. И слыши и увѣрися от глаголъ Павловых, ихже в Коринфѣ написа, таже и в Филиписих: «Вѣмы бо, вѣмы, — рече, — тѣла нашего сия храмина земная аще разориться, храмину имамъ нерукотворену же на небесѣхъ от Бога, вѣчную и лучшюю».[21] Тьмже, от тѣла исходяще, надѣемся еже внити къ Христу. Се есть любочестье. Добрѣ убо взываше Павелъ с дерзновеньем: «Желание ми есть, — рече, — отрѣшитися и со Христом моим и Богомъ на небесѣх быти».[22] И преже Павла Соломон вопиет сице: «Душа праведных в руцѣ Бога же и Владыкы на небесѣхъ пребывают и суть в мирѣ убо».[23] И Иоанъ Дамаскынъ подобная сим глаголеть: «Душа убо имате, — рече, — на небесѣх в руку Бога жива и того поите от земля, яко со ангелы преставистеся на небеса с славою».[24] Имам ины свѣдѣтеля, душе моя, вѣрнѣйша равно согласующим трием предреченым зѣло.	Как Писание учит меня, на небе находится место, где покоится всякая душа праведная. Названий же у него много, ибо и страной живых оно называется, и землей кротких, и празднующих воспеванием, и сенью праведных, и пищи потоком, наполненным бессмертия. Послушай и убедись словами Павловыми, написанными им в Коринфе и в Филиппах: «Ибо знаем, знаем, — сказал, — что, когда тела нашего этот земной дом разрушится, мы имеем дом нерукотворный на небесах от Бога, вечный и лучший». Потому, от тела отходя, мы надеемся войти к Христу. Это и есть любочестие. Хорошо взывал Павел, с дерзновением: «Желание у меня есть, — сказал, — разрешиться и со Христом моим и Богом на небесах быть». И раньше Павла так сказал Соломон: «Души праведных в руке Бога и Владыки на небесах пребывают и находятся в мире». И Иоанн Дамаскин подобное же говорит: «Души ваши, — сказал, — на небесах в руке Бога живого, и его воспевайте с ангелами, потому что с земли преставитесь на небеса со славою». Имею и других свидетелей, душа моя, вернейших и вполне согласных с тремя уже приведенными.
Душа: Да како си зовими суть и коея страны, глаголи.	Душа: А как они зовутся и из какой страны, скажи.
Плоть: Назианзу Григорие, Василие Великый и Златый во всем языкомъ Иоанъ,[25] и всебожественый ликъ отеческы — вси на небесих быти душамъ праведным глаголють: и мѣсто и число наполняют оно, отнуду же отпаде злѣ ангельское множьство вкупѣ и с первым тѣх отступником злѣйшим, — яко да исполнится вышьний миръ, любимая. Якоже Григорие Богословесный[26] пишеть: «Внегда бо испльнитьсе вышний мирь, глаголя, ожидай скончанья настоящего вѣка». Вси бо явственѣ о сем свѣдѣтельствуют. Елма же убо глава всѣм нам есть и глаголеться, и первы же от мертвыхъ вскреснути, но убо и первѣнець из мертвых вскресе, и первѣнець, душе, или первородны многых иных братей есть и первый — Христосъ, 2 Адамъ, конечнаго ради благоутробия и «предтеча о нас», по гласу Павлову,[27] на небеса убо взиде к своему Отцю и того убо сѣде одесную, господыне. Идеже убо глава, вмалѣ елико послѣдует и прочее все тѣло. Исполненье бо главѣ бывает тѣло, исполненье тѣлу глава бывает. Ни бо тѣлу мощно есть без главы быти, ниже паки главѣ, тѣлу не сущу.	Плоть: Назианзин Григорий, Василий Великий, Златоустый во всем Иоанн и всебожественный лик отеческий — все говорят, что на небесах находятся души праведных и что место они занимают и число восполняют, погибельно отпавшего ангельского множества во главе с первым из них злейшим отступником — чтобы наполнился вышний мир. Как и Григорий Богослов говорит: «Когда наполнится вышний мир, ожидай окончания настоящего века». Все ведь явственно об этом свидетельствуют. Главой же всех нас является и именуется, и первым из мертвых воскрес, и первенцем, душа, или первородным и первым среди других братьев является Христос, второй Адам; по причине крайней доброты и «предтеча за нас», по выражению Павла, на небеса он взошел к своему Отцу и сел от него по правую руку, госпожа. А ведь где голова, туда вскоре последует и прочее все тело. Ибо завершение головы — тело, завершение тела — голова. И ни телу невозможно без головы быть, ни также голове без тела.
Нынѣ же убо всходять вся душа точью спасаемых, владычице, святыхъ и праведных к своей убо главѣ, рекъше Христу. О чюдо! По воскресении же и с телесы убо. Дивство славы Христовы и чьсти, душе моя, и человеколюбия его и благыхъ всѣх, ихже всприяхомъ вкупѣ исперва, создани бывше, и паки же напослѣдок по благости его! Прочее, душе моя, вѣруй: сих свѣдѣтельство истиньно и извѣстно в вѣру сущее. И сия убо рекошася о душах праведных, еже от сея лютыя злобы очищешихся.	Ныне же возносятся лишь души всех спасаемых, владычица, святых и праведных, к своей голове, то есть ко Христу. О чудо! По воскресении же — взойдут и с телами. О чудо славы Христовой и чести, душа моя, и человеколюбия его и благ всех, которые все мы восприняли и с самого начала, будучи созданы, и напоследок вновь по благости его получили! Итак, душа моя, веруй: свидетельства эти истинны, надежны и заслуживают доверия. Сказано же это было о душах праведных, очистившихся от всей лютой злобы.
Аще же и грѣшных душа увѣдѣти хощеши, и кдѣ затворяються и суть, о душе моя, и о сих от Писания отвѣщаю тебѣ. Подо всею земьлею долу суть, господыне. И слыши, и рыдай преже конца зде: сѣнь смертную, преисподний ровъ ада сего нарече, тѣм же и взывает: «Взвелъ еси от ада душю мою»,[28] на мнозѣ не оставилъ еси тамо пребывати. О адѣ убо и Иовъ, плачася, глаголаше: «Земля темьная, и мрачная, и вѣчьная тма, животъ человѣчьскы не видѣти, свѣта бо тамо нѣсть». Адъ мѣсто убо есть долнѣйшее долних преисподних мрачных, болѣзнено естеством, во н же сниде Христосъ и, душа исхитивъ, ихже держаше исперва от первосозданаго, изиде яко побѣдитель. Благо же, Христе мой блаже!	Если же и о грешных душах узнать хочешь и где они затворяются и находятся, о душа моя, и о них от Писания отвечу тебе. Под всей землей внизу они пребывают, госпожа. Слушай и рыдай, пока не кончилась здешняя жизнь: сенью смертною Давид, преисподним рвом, адом то место назвал, почему и взывает: «Ты вывел из ада душу мою», надолго не оставил ее там пребывать. Об аде ведь и Иов, плача, говорил: «Земля темная и мрачная, и вечная тьма, жизни человеческой там не видно, ибо света там нет». Ад ведь есть место нижайшее из нижних преисподних, мрачных и мучительных по природе мест, куда сошел Христос и, захватив души, содержавшиеся там изначально, начиная с первозданного, вышел победителем. Прекрасно, Христос мой благой!
Но будущее слыши и встрепещи преже конца: во вторый приход и Христово пришествие и общее вскресенье исходят изъ ада; каяждо убо свое всприемлет тѣло и паки възвращается къ аду, — увы мнѣ, — якоже рече Пѣснопѣвець,[29] яже о них: «Тогда да възвратяться, — рече, — грѣшници въ адъ».[30] А еже «да възвратяться» являеть, отнуду же изидоша. Оттолѣ лютѣйше перваго и горше, горчайше и зѣлнѣйше, болѣзнуют и рыдают, сѣтуют же и плачют без успѣха, душе моя, бесконечнѣ и вѣчьнѣи. Пощади, Христе мой, пощади!	Но о будущем слушай и вострепещи прежде конца: во второе пришествие Христово и явление при общем воскресении выйдут все они из ада; каждый свое восприимет тело и вновь возвратится в ад, увы мне, как сказал Песнопевец о них: «Тогда да возвратятся, — сказал, — грешники в ад». Слова «да возвратятся» показывают, откуда они вышли. И с тех пор будет им еще хуже и горше, тяжелее и больнее, будут мучиться и рыдать, сетовать и плакать безнадежно, душа моя, вечно и бесконечно. Пощади, Христос мой, пощади!
Тогда, душе, отходиши убо к своему тѣлу, егоже преже мала отлучися, бернныя плоти, яко да внидеши в не, якоже Писанье учить. И видиши то смердящее все и осквернено, гнусно и мерьско и сгнившее до конца. И, тако то видящи, отвращаешися, ненавидяще, но от ангелъ страшных биема, увы мнѣ, немилостивно, нещадно, с лютостию многою, входиши паки в то, душе, и нехотящи.	Тогда ты, душа, отойдешь к своему телу, с которым незадолго до того рассталась, к бренной плоти, чтобы войти в нее, как учит Писание. И ты видишь его все смердящим и скверным, гнусным и мерзким и сгнившим до конца. И, таким его видя, отвращаешься с неприязнью, но под ударами грозных ангелов, увы мне, немилосердными, беспощадными, наносимыми с большой суровостью, вновь в него входишь, душа, поневоле.
Но не таковая телеса суть яже праведных, но яко блещайся бисеръ сияют с славою и якоже солнце, рече, но и множае сего. Аще ли не вѣруеши ми, о душе, воскресенье повѣдующи, приведу ти свѣдѣтеля вѣрны, имже не невѣруй.	Но не таковы суть тела праведных, но как сверкающий бисер сияют они со славой, словно солнце, и даже ярче него. Если же ты, о душа, не веришь моему рассказу о воскресении, я приведу тебе надежных свидетелей, которым поверь.
Душа: Да кто си суть, котораго племени и языка?	Душа: А кто они, какого племени и народа?
Плоть: В первых, Иезикил и Исайя, паки и Давидъ праотець и Пѣснопѣвець подобнѣ, иже преже Христа изрядни и велиции пророци; и по тѣх паки Христосъ от дѣлъ увѣряет, но убо и первороденъ от мертвых воскресе, якоже и Писание учит мя Иеуангельское; и Павелъ учит вселеную всю, о воскресении сущим в Коринфѣ пишет: «Падъ убо въ землю, сие вещестное тѣло в немощи и тлѣнии и безъдушно в гробѣ сгнивающе и разрушаемо, и в ничтоже бывшее, встает нетлѣнно и духовно в славѣ, бесмертно, и присноживотно, и обрадованно».[31] Да реку ти и притча, юже сам реклъ есть: яко зерно наго, в земную боку пад убо и сгнивъ, не наго въстает, яково же наго паде зерно, едино паки, но и зѣло благороднѣ и одѣяно бывает: стебль, листвие, колѣнца, осилия, — и иная зерна приносит многосугубна и красна видѣньем, — сице ми разумѣвай и вскресенье еже тогда человѣком всѣмъ убо, малымъ же и великымъ.	Плоть: Во-первых, Иезекииль и Исайя, затем Давид-праотец и Песнопевец он же, прежде Христа бывшие избранные и великие пророки; а после них также и Христос делами уверяет, ведь он первый из мертвых воскрес, как учит меня Евангельское Писание; и Павел учит всю вселенную, и коринфянам о воскресении пишет: «Пав в землю, это вещественное тело в немощи и тлении и бездушным в гробе сгнивая и разрушаясь и в ничто превращаясь, встает нетленным и духовным в славе, бессмертным, вечно живущим и обрадованным». Скажу тебе и притчу, которую он сказал: как одно зерно, нагое, в землю упав и сгнив, не нагим встает, каким оно пало, и одним лишь зерном, но весьма благородно одетым в стебель, листья, коленца, колосья и иное, и приносит зерна во множестве и прекрасные видом, — подобным тому представляй себе и тогдашнее воскресение всех людей, малых и великих.
И слыши и почюдися Божию смотренью: тогда ни долгъ, ни короток бывает, ниже чернъ, ни бѣлъ, ни тонок, ниже дебелъ паки, ни русъ, ни черменъ, ниже кудрявъ тамо есть; хром, сухорукъ не бывает, ниже бѣснуя кто; единоног, единоокъ, единорукъ, ниже прокаженъ, слукъ же, ни слеп, ни горбав, ни горкавъ, ни гугнив, ни травлуяй, ни премудръ, ниже буй, ни старець, ни отроча, ни рабъ, ни свободь, ни варваръ, ниже скифинъ. Ни мни, яковъ же бѣ умрый, таков и воскреснеть, но яков же первозданый от Бога созданъ бысть и яковъ же бѣ исперва преже ослушания. Тамо нѣсть мужьска полу, ни женьскаго естества, ни дѣтородни уди мужстии и женстии к смѣшенью блудному и скверному, ни убо! Но ино, странно ино, еже вѣсть Богъ единъ, бесмертно и присноживотно и нетлѣнно отнудь, непричастно суще печали же и скорби, попеченья всякого и тщания, к жизни сдѣлующаго. Бракъ никакоже бывает отнеле же воскреснем; ни посагают, прочее, не сущу ражженью тогда; естество женско никако, но ниже скопець есть; желанье телесное нѣсть, ни помыслъ блудный; но ниже бѣси тамо, ниже брань, ни свары, но яко аньгѣли Божии суть вси. Христосъ бо се рече нѣкогда к садукеим.[32]	Послушай и удивись Божьему устроению: тогда ни высоких, ни низких не будет, ни черных, ни белых, ни тонких, ни толстых, ни русых, ни рыжих, ни кудрявых там не будет, ни хромых, ни сухоруких, ни бесноватых, ни одноногих, одноглазых, одноруких, ни также прокаженных, согбенных, слепых, горбатых, картавых, косноязычных, шепелявых, ни мудрых, ни глупых, ни старых, ни юных, ни рабов, ни свободных, ни варваров, ни скифов. Не думай, что каким умер, таким и воскреснет человек, но — каким первозданный Богом был создан и каким был изначально, прежде ослушания. Там не будет ни мужчин, ни женщин, ни детородных органов мужских и женских для соития блудного и скверного, никаких! Но — иное все, совсем иное, что знает один Бог, бессмертное, вечно живое и нетленное, непричастное печали и скорби, всяких хлопот и забот, с жизнью связанных. Брака вовсе не будет по воскресении; не будут тогда выходить замуж по причине отсутствия влечения; естества женского не будет никакого, но также и скопцов не будет; ни желания телесного, ни помысла блудного; и ни бесов там, ни брани, ни свары, но все — словно ангелы Божий. Христос ведь это некогда сказал саддукеям.
