ИЗ ИПАТЬЕВСКОЙ ЛЕТОПИСИ	ИЗ ИПАТЬЕВСКОЙ ЛЕТОПИСИ
Се же избавление створи Господь в пятокъ в вечерѣ. И иде пѣшь 11 денъ до города Донця,[61] и оттолѣ иде во свой Новъгородъ, и обрадовашася ему. Из Новагорода иде ко брату Ярославу к Чернигову, помощи прося на Посемье. Ярослав же обрадовася ему и помощь ему... обѣща. Игорь же оттолѣ ѣха ко Киеву, к великому князю Святославу, и радъ бысть ему Святославъ, такъже и Рюрикъ, сватъ его.	Принес ему Господь избавление это в пятницу вечером. И шел Игорь пешком до города Донца одиннадцать дней, а оттуда — в свой Новгород, и все обрадовались ему. Из Новгорода отправился он к брату своему Ярославу в Чернигов, прося помочь ему в обороне Посемья. Обрадовался Игорю Ярослав и обещал помощь. Оттуда направился Игорь в Киев, к великому князю Святославу, и рад был Игорю Святослав, а также и Рюрик, сват его.
ИЗ ЛАВРЕНТЬЕВСКОЙ ЛЕТОПИСИ	ИЗ ЛАВРЕНТЬЕВСКОЙ ЛЕТОПИСИ
В то же лѣто[62] Богъ вложи... в сердце княземъ русскымъ; ходиша бо князи русстии вси на половци: Святославъ Всеволодичь, Рюрикъ Ростиславичь,[63] Володимеръ Глѣбовичь,[64] Святославичь Глѣбъ, Гюргевичь Глѣбъ Туровьскый, Романовичь Мстиславъ, Давыдовичь Изяславъ, Всеволодъ Мстиславичь и галичьская помочь и володимерьская и лучьская.[65] И поидоша к ним вкупѣ вси, и, перешедше Уголъ рѣку,[66] 5 дний искаша ихъ. Володимеръ же Глѣбовичь, внукъ Юргевъ,[67] ѣздяше напереду в сторожих с переяславци, и берендѣевъ было съ нимь 2000 и 100.	В то лето Бог вложил в сердце русским князьям мысль — ходили все князья русские на половцев: Святослав Всеволодич, Рюрик Ростиславич, Владимир Глебович, Глеб Святославич, Глеб Юрьевич Туровский, Мстислав Романович, Изяслав Давыдович, Всеволод Мстиславич и помощь из Галича, Владимира и Лучьска. И пошли все вместе на половцев, и перешли реку Угол, и пять дней искали их. Владимир же Глебович, внук Юрия, ездил впереди в сторожевом полку с переяславцами, и берендеев было с ним две тысячи сто.
Половци же услышавше русь, оже пришли на них, ради быша, надѣющеся на силу, рекоша: «Се Богъ вдалъ есть князи русскиѣ и полкы ихъ в руцѣ наши». Устремишася на бой, не вѣдуще глаголемаго, яко: «Нѣсть мужьства, ни есть думы противу Богови». Поидоша противу Володимеру, кличючи, яко пожрети хотяще. Володимеръ же Божьею помочью и святое Богородици и дѣда своего святою молитвою укрѣпляем и отца своего, поиде противу им. Испросилъся бяше у Святослава, рекъ: «Моя волость пуста от половець; пусти мя, отче Святославе, напередъ с сторожи». Князи же русстии не утягли бяху с Володимеромъ. Половци же, узрѣвше полкъ Володимерь крѣпко идущь на них, побѣгоша гоними гнѣвомъ Божьимъ и святое Богородици.	Половцы же, услышав, что русские пришли на них, обрадовались, надеясь на силу свою, и сказали: «Вот Бог отдал князей русских и полки их в руки наши». Бросились в битву, не ведая, что говорится: «Тщетно мужество и умысел, если Бог противится». Пошли они против Владимира, с кликами, словно пожрать его хотели. А Владимир, с помощью Божьей и святой Богородицы и укрепляем молитвой деда своего и отца своего, пошел им навстречу. Он упросил Святослава, говоря: «Волость моя опустошена половцами, пусти меня, отец мой Святослав, с передовым сторожевым полком». А князья русские не поспели за Владимиром. Половцы же, увидев полк Владимира, храбро на них идущий, побежали, гонимые гневом Божиим и святой Богородицы.
Наши же погнаша, сѣкуше я, 7 тысячь руками изъимаша ихъ, князий одинѣхъ было половецкихъ 400 и 17: Кобяка руками яша, Осолука, Барака, Тарга, Данила, Башкърта, Тарсука, Изу, Глѣба Тирьевича, Ексна, Алака и Толгыя, Давыдовича тести, с сыном, Тѣтия с сыном, Кобякова тьсти Турундая. И поможе Богъ и святая Богородиця Володимеру мѣсяца иуля въ 31 день в понедѣлник, на память святаго Евдокима Новаго.	Наши же погнали их, и рубили их, и семь тысяч взяли в полон, одних князей половецких было четыреста семнадцать, и Кобяка схватили, Осолука, Барака, Тарга, Данилу, Башкорта, Тарсука, Изу, Глеба Тириевича, Ексна, Алака и Толгыя, тестя Давыдова, с сыном, Тетия с сыном, Кобякова тестя Турундая. И помог Бог и святая Богородица Владимиру месяца июля в тридцать первый день, в понедельник, в день памяти святого Евдокима Нового.
Сдѣя Господь спасенье велико нашим князем и воемъ ихъ надъ врагы нашими, побѣжени быша иноплеменьници... кумани, рекше половци. И рече Володимеръ: «Сь день, иже створи Господь, възрадуемся и възвеселимся в онь, яко Господь избавил ны есть от врагъ наших и покори врагы наша под нозѣ наши, и скруши главы змиевыя». И бысть радость велика: дружина ополонишася и колодникы поведоша, оружья добыша и конь, и възвратишася домовь, славяще Бога и святую Богородицю, скорую помощницю роду хрестьяньску.	Даровал Господь победу великую нашим князьям и воинам их над врагами нашими, побеждены были иноплеменники куманы, или половцы. И сказал Владимир: «В этот день, дарованный нам Господом, возрадуемся и возвеселимся, ибо Господь избавил нас от врагов наших и поверг врагов наших под ноги наши, и сокрушил головы змиевы». И была радость великая: дружина обогатилась пленниками, и колодников повели, оружье добыли и коней, и возвратились домой, славя Бога и святую Богородицу, скорую на помощь роду христианскому.
В лѣто 6694. Мѣсяца мая въ 1 день на память святаго пророка Иеремия, в середу на вечерни бы знаменье въ солнци[68], и морочно бысть велми, яко и звѣзды видѣти человѣкомъ, въ очью, яко зелено бяше, и въ солнци учинися яко мѣсяць, из рогъ его яко угль жаровъ исхожаше. Страшно бѣ видѣти человѣкомъ знаменье Божье.	В год 6694 (1186). Месяца мая в первый день, в день памяти святаго пророка Иеремии, в среду, под вечер было знаменье на солнце, и так сильно потемнело, что можно было людям увидеть звезды, и в глазах все позеленело, а солнце превратилось как бы в месяц, а в рогах его словно горящие угли. Страшно было видеть людям знамение Божие.
В то же лѣто, того же мѣсяца мая въ 18 день на память святаго мученика Потапья в суботу родися сынъ у великаго князя Всеволода[69] и нарекоша имя ему в святѣмь крещении Костянтинъ.	В тот же год, того же месяца в восемнадцатый день, в день памяти святого мученика Потапия, в субботу, родился сын у великого князя Всеволода, и нарекли имя ему в святом крещении Константин.
Того же лѣта здумаша Олгови внуци на половци, занеже бяху не ходили томь лѣтѣ со всею князьею, но сами поидоша о собѣ, рекуще: «Мы есмы ци не князи же? Такыже собѣ хвалы добудем!». И сняшася у Переяславля Игорь съ двѣма сынома[70] из Новагорода Сѣверьскаго, ис Трубѣча Всеволодъ, братъ его, Олговичь Святославъ из Рыльска[71] и черниговьская помочь. И внидоша в землю ихъ. Половьци же, услышавше, поидоша, рекуще: «Братья наша избита и отци наши, а друзии изъимани, а се нонѣ на нас идут». Послашася по всей земли своей, а сами поидоша к симъ, и ждаша дружины своея, а си к ним идуть, к вежамъ ихъ. Они же не пустячи в вежѣ, срѣтоша ихъ, а дружины не дождавъше и сступишася. И побѣжени бывше половци, и биша и до вежь, множество полона взяша, жены и дѣти, и стояша на вежах 3 дни веселяся, а рекуще: «Братья наша ходили с Святославомъ, великим князем, и билися с ними, зря на Переяславль[72], а они сами к ним пришли, а в землю ихъ не смѣли по них ити. А мы в земли их есмы, и самѣхъ избили, а жены их полонены, и дѣти у насъ. А нонѣ поидемъ по них за Донъ[73] и до конця избьемъ ихъ. Оже ны будет ту побѣда, идем по них и луку моря, гдѣже не ходили ни дѣди наши, а возмем до конца свою славу и честь». А не вѣдуще Божья строенья.	В том же году надумали внуки Ольговы пойти на половцев, так как не ходили в прошлом году со всеми князьями, но сами по себе пошли, говоря: «А что, мы разве не князья? Такую же себе славу добудем!» И встретились у Переяславля Игорь с двумя сыновьями из Новгорода-Северского, брат его Всеволод из Трубчевска, Святослав Ольгович из Рыльска и пришедшие на помощь к ним из Чернигова. И вошли в землю половцев. Те же, услышав, пошли навстречу, говоря: «Братия наша перебита и отцы наши, а другие в плену, а теперь вот на нас идут». Послали весть по всей земле своей, а сами пошли навстречу и поджидали войска свои, а наши к ним идут, к вежам их. Половцы встретили их, не подпустив к вежам, и, не дожидаясь остальных войск, сошлись в битве. И побеждены были половцы, и гнали их до веж, и взяли русские полон — жен и детей, и стояли три дня в вежах их, веселясь и говоря: «Братия наша ходила со Святославом, великим князем, и бились с половцами на виду у Переяславля, те сами к ним пришли, а в землю Половецкую не посмели за ними пойти. А мы в земле их, и самих перебили, и жены их полонены, и дети их у нас. А теперь пойдем следом за ними за Дон и перебьем их всех без остатка. Если же и тут одержим победу, то пойдем вслед за ними и до лукоморья, куда не ходили и деды наши, а славу и честь свою всю возьмем до конца». Но не знали о предначертании Божьем.
А остатокъ бьеных тѣх бѣжаша дружинѣ своей, гдѣ бяху переже вѣсть послали, и сказаша имъ свою погыбель. Они же, слышавше, поидоша к ним, а по друзи послаша. И сняшася с ними стрѣлци, и бишася 3 дни стрѣлци, а копьи ся не снимали, а дружины ожидаючи, а к водѣ не дадуче имъ ити.	А остатки разбитых половцев бежали к войску своему, куда прежде весть посылали, и рассказали им о своем поражении. Те же, услышав, пришли к ним на помощь и за другими послали. И сошлись с русскими стрельцы, и бились три дня стрельцы, а в копийном бою не сходились, ожидая свою дружину, а к воде не дали им подойти.
И приспѣ к ним дружина вся, многое множство. Наши же, видѣвше ихъ, ужасошася, и величанья своего отпадоша, не вѣдуще глаголемаго пророкомъ: «Нѣсть человѣку мудрости, ни есть мужства, ни есть думы противу Господеви». Изнемогли бо ся бяху безводьемь и кони и сами, в знои и в тузѣ, и поступиша мало к водѣ, по 3 дни бо не пустили бяху ихъ к водѣ. Видѣвше ратнии, устремишася на нь, и притиснуша и к водѣ, и бишася с ними крѣпко и бысть сѣча зла велми. Друзии конѣ пустиша к нимъ съсѣдше, и кони бо бяху под ними изнемогли, и побѣжени быша наши гнѣвом Божьимъ. Князи вси изъимани быша, а боляре и велможа и вся дружина избита, а другая изъимана и та язвена. И възвратишася с побѣдою великою половци, а о наших не бысть кто и вѣсть принеса за наше согрѣшенье.	А подошло к ним войско все, бесчисленное множество. Наши же, увидев их, ужаснулись и забыли о похвальбе своей, ибо не ведали сказанного пророком: «Тщетны человеку и мудрость, и мужество, и замысел, если Бог противится». Изнемогли от безводия и кони и сами, в жаре и в муках, и наконец пробились к воде, а то три дня не подпускали их к воде. Видев это, враги устремились на них, и прижали их к воде, и яростно бились с ними, и лютая была битва. Сменили половцы коней своих, а у наших кони изнемогли, и были побеждены наши гневом Божьим. Князей всех в плен взяли, а из бояр и вельмож и дружины всей, — кто убит, другие в плен взяты или ранены. И возвратились с победой великой половцы, а о наших не ведомо кто и весть принес, а все за грехи наши.
Гдѣ бо бяше в нас радость — нонѣ же въздыханье и плачь распространися! Исайя бо пророкъ глаголеть: «Господи, в печали помянухом тя», и прочая.	Где же радость наша — теперь вздохи и плач повсюду! Исайя же пророк говорит: «Господи, в печали вспомнил тебя», и прочее.
И поиде путем гость, они же казаша, рекуще: «Поидѣте по свою братью, али мы идем по свою братью к вам». Князем же всѣм слышавше таку погыбель о братьѣ своей и до бояръ, возпиша вси, и бысть плачь и стенанье: овѣмъ бо братья избита и изъимана, а другымъ отци и ближикы. А князь Святославъ посла по сыны своѣ и по всѣ князи. И собрашася к нему г Кыеву и выступиша г Каневу.[74] Половци же, услышавше всю землю Русскую идуще, бѣжаша за Донъ. Святослав же, слышавъ ихъ бѣжавших, възвратися г Кыеву со всею князьею, и разидошася в страны своя.	Шел своей дорогой купец, и половцы приказали ему передать: «Идите за своей братией, или мы идем за своей братией к вам». Князья же все, услышав о таком несчастии с братией своей и с боярами, застенали все, и повсюду был плач и рыдания: у одних братья погибли или в плен попали, у других отцы или близкие. А князь Святослав послал за сыновьями своими и за всеми князьями. И собрались к нему в Киев, и выступили к Каневу. Половцы же, услышав, что вся земля Русская идет против них, бежали за Дон. Святослав же, узнав, что они бежали, возвратился со всеми князьями к Киеву, и разошлись все по своим землям.
Половци же, услышавше ихъ отшедших, гнаша отай к Переяславлю, и взяша всѣ городы по Сулѣ, и у Переяславля бишася весь день. Володимеръ же Глѣбовичь, видѣ острогъ взимаем, выѣха из города к ним в малѣ дружинѣ, и потче к ним, и бишася с ними крѣпко, и обиступиша князя злѣ. И видѣвше горожане изнемагающа своих и выринушася из города и бишася, одва изотяша князя, боденаго треми копьи. А дружины много избьено. И вбѣгоша в городъ и затворишася. А они възвратишася со многым полоном в вежѣ.	А половцы, услышав, что они отошли, внезапно напали на Переяславль, и взяли все города по Суле, и у Переяславля бились весь день. Владимир же Глебович, видя, что они сейчас захватят острог, выехал из города с небольшой дружиной, и напал на них, и смело сразился с ними, они же, на беду, окружили князя. Но горожане, видя, что свои изнемогают в бою, выскочили из города и в бою едва отняли князя, раненного тремя копьями. А из дружины его многие погибли. И поспешили в город, и затворились в нем. А половцы возвратились с большим полоном в вежи.
И по малых днѣхъ ускочи Игорь князь у половець — не оставить бо Господь праведнаго в руку грѣшничю: очи бо Господни на боящаяся его, а уши его в молитву ихъ! Гониша бо по нем и не обрѣтоша, якоже и Саулъ гони Давыда[75], но Богъ избави и́, тако и сего Богь избави из руку поганых. А они вси держими бяху твердо, и стрегоми, и потвержаеми многими желѣзы и казньми.	Вскоре бежал Игорь от половцев — ибо Господь не оставит праведника в руках грешников: взирает Господь на тех, кто боится его, и прислушивается к молитвам их! Гнались за ним и не догнали; как Саул преследовал Давида, но Бог избавил того, так и Игоря Бог избавил от рук поганых половцев. А остальных держали строго и сторожили, угрожая цепями и муками.
Се же... здѣяся грѣх ради наших, зане умножишася грѣси наши и неправды. Богъ бо казнить рабы своя напастьми различьными, огнемь и водою и ратью, и иными различными казньми, хрестьяномъ бо многыми напастьми внити въ царство небесное. Согрѣшихом — казними есмы, яко створихом, тако и прияхом, но кажет ны добрѣ Господь нашь, но да никтоже можеть рещи, яко ненавидит нас Богь — не буди такого! Тако любить, якоже ны възлюбилъ е, и страсть приятъ, нас ради, да ны избавить от неприязни.	Все это свершилось из-за грехов наших, так как умножились грехи наши и преступления. Бог ведь казнит рабов своих различными напастями, и огнем, и водой, и войной, и иными различными бедами; христианам, многое перенесшим, суждено будет войти в царство небесное. Согрешили и казнимы, как поступали, за то и получили, но наказывает нас справедливо Господь наш, и пусть никто не посмеет сказать, что ненавидит нас Бог — не будет этого! Так любит, как возлюбил нас, когда муки принял нас ради, чтобы избавить нас от дьявола.
