ОТ ПОТАЕННЫХ КЬНИГЪ О ВСХИЩЕНИИ ЕНОХОВѢ ПРАВЕДНАГО	ИЗ СОКРОВЕННЫХ КНИГ О ВОЗНЕСЕНИИ ПРАВЕДНОГО ЕНОХА
— Преже, даже все не бысть испръва, еликоже сотворих от небытиа в бытие,[39] и от невидимих въ видѣнии, и аггелом моимъ не възвестих тайны моеа, ни повѣдах имъ съставлениа их, ниже бесконечныа моа и неразумныа разумѣша твари, — и тебѣ възвѣщаю днесь. Преже, да иже не быша вся видимая, отвръзе ся свѣт, аз же срѣдѣ свѣта яко единъ прояждях в невидимых, якоже солнце яздитъ от востока до запада, от запада на востокы, солнце же обрящет покой, аз же не обрѣтохъ покоа, зане все бе-створя.[40]	— Прежде, когда не было всего в начале, что я сотворил из небытия в бытие, и из невидимого в видимое, и ангелам моим не возвестил я тайны моей, и не поведал им о создании (всего), и не постигли (они) бесконечного моего и непостижимого творения, — тебе же возвещаю ныне. Прежде, когда не было всего видимого, явился свет, я же среди света один проезжал в невидимом, подобно тому, как ездит солнце с востока на запад и с запада на восток, но солнце находит покой, я же не обрел покоя, поскольку все было несотворенным. 
Умышле же поставити основание, створити тварь видиму. Повелѣх въ преисподних, да взыдетъ едино невидимых видимо. Изыде Адоилъ, превелики зѣло,[41] и смотрих его, и се то имый въ чревѣ вѣка великаго.[42] И рѣх аз к нему: «Раздруши ся, Адоилъ, и буди видимое разрѣшаемое ис тобе». И разрѣши ся, и изыде из него великый вѣкъ, а тако носяща всю тварь, юже азъ хотѣх сотворити. И видѣх, яко благо.[43] И поставих себѣ прѣстолъ, и сѣдох на немъ, свѣтови же глаголахъ: «Взыди ты выше и утвръди ся,[44] буди основание вышнимъ». И нѣсть превыше свѣта ино ничтоже.	И помыслил я поставить основание, сотворить тварь видимую. И повелел я в преисподнях, да взойдет одно из невидимых в видимое. И вышел Адоил, огромный весьма, и увидел я, что во чреве (своем) содержит (он) век великий. И сказал я ему: «Разрешись, Адоил, и да будет видимое рождено из тебя». И разрешился (Адоил), и вышел из него век великий, несущий всю тварь, которую я хотел создать. И увидел я, что (это) хорошо. И поставил я себе престол, и сел на нем, свету же сказал: «Взойди ты выше, и утвердись, и будь основанием для высшего». И нет превыше света ничего иного.
И узрѣх, восклоних ся от прѣстола моего, и возвах во преисподних второе их — изыдете от невидимыхъ твердь и видимо.[45] Изыде Арухазъ[46] с твердию, тяжекъ и чрънъ зѣло. И видѣх, яко лѣпо. И рѣх к нему: «Сниде ты долу, и утвръди ся, и буди основание долнимъ». И сниде, и утвръди ся, и бысть основание долнимъ. И нѣсть подо тмою иного ничтоже.	И увидев (это), поднялся я с престола моего, и воззвал из преисподних второго из них — да выйдет твердь из невидимого в видимое. И вышел Арухаз с твердью, тяжел и черен весьма. И увидел я, что (так) должно. И сказал ему: «Сойди ты вниз, и утвердись, и будь основанием для нижнего». И сошел он и утвердился, и стал основанием для нижнего. И нет под тьмою ничего иного.
Обив же ефера свѣтомъ, утолстих, прострохъ връху тмы ея. А от вод утвръдих камение велико. Мглам же безднымъ повелѣх исхнути, наркох же «упадь до бездны». Море събравъ на едино мѣсто, связах е игомъ, дахъ море предѣлъ вѣченъ, не перетергнет ся от вод.[47] Твръду въдружих и основахъ връху вод.[48]	И обернул я эфир светом, уплотнил (его) и простер его над тьмою. А из вод утвердил камни великие. Водам же бездны повелел высохнуть, назвал (это место) «пропасть в бездну». Море же собрал в одно место, и связал его узами, и дал морю границу вечную, и не вырвется (оно) из вод (своих). Твердь (же таковую) водрузил и основал поверх вод.
Ко всим же воимъ образовахъ небесѣмъ солнце от свѣта великого, и поставих е на небеси, да свѣтит по земли.[49] От камениа усѣкох огнь великый и огня створих вся воа бесплотных и вся воя звѣздныа. И херувимы, и серафимы, и офанимъ — и се все от огня иссѣкохъ.	И помимо всех воинств (звездных) создал я на небесах солнце от света великого, и поставил его на небе, дабы светило на землю. Из камня высек огонь великий и из огня сотворил все воинства бесплотные и все воинства звезд. И херувимов, и серафимов, и офанимов — и это все из огня высек.
Земли же велѣх возрастити древа всяка, и гору всяку, и всяку траву животну, и всяко сѣмя живо, сѣай сѣмя,[50] — преже, да иже не сотворих душь живъ, пищу имъ уготовах.[51]	Земле же я повелел взрастить всякое дерево, и гору всякую, и всякую траву живую, и всякий плод живой, сеющий семя, — прежде, чем сотворить души живые, пищу им приготовил.
Морю же повелѣл: породитн своя рыбы и всяк гад, плазащи по земли, и всяку птицу парящую.[52]	Морю же повелел породить в себе рыб и всяких гадов, ползающих по земле, и всякую птицу парящую.
Егда скончах все, повелѣх моей прѣмудрости створити человѣка.[53]	И когда закончил все (это), повелел я премудрости своей сотворить человека.
Нынѣ же ти елика сказахъ, и елико видѣ на небесѣх, и елико видѣ на земли, и елико написа въ книгахъ — прѣмудростию моею и хитроствовах се, сътворихъ от нижнаго основаниа и до горняго.[54] И до конца ея нѣсть свѣтника, ни слѣдника. Азь самъ вѣченъ, нерукотворенъ.[55] Беспремѣнна мысль моя — съвѣтник есть, и слово мое дѣло есть, и очи мои съгладаета все: аще ли отвращу лице мое, то всеа потребят ся, аще ли призираю, то стоятъ.[56]	И вот, то, что я рассказал тебе ныне, и то, что ты видел на небесах, и то, что видел на земле, и то, что ты написал в книгах, — (все) это я создал премудростью своей, и сотворил от нижнего основания до высшего. И до скончания их нет (мне) советника, ни помощника. Сам я — вечен, нерукотворен. Неизменная мысль моя — советник (мой), и слово мое дело есть, и очи мои следят за всем: если отверну лицо мое — все погибнут, если же смотрю — все живут.
Положи умъ свой, Еноше, и познай глаголющаго ти, и возми книги, яже написа. И даю ти Сѣмеила и Расуила, възведшая тя ко мнѣ, и сниди на землю и скажи сыномъ своимъ, елико глаголахъ к тобѣ, елико видѣхъ от нижняго небесѣ и до прѣстола моего, — вся воинества аз сотворихъ, нѣсть противя ся мнѣ или не покоряа ся, и вси покаряют ся моему единовластию и работаютъ моей единой власти. И вдай же имъ книги рукотворениа твоего, и почтутъ и познаютъ Творца ихъ, и разумѣют и тѣ, яко нѣсть творца иного развѣе мене.[57] И раздай книги рукописаниа твоего чадомъ и чаду чадомъ, и поучи ужикы и род в род. Яко дам ти ходатаа, Еноше, архистратига моего Михаила, зане рукописание твое и рукописание отець твоих и Адама и Сифа не потребят ся до вѣка послѣдняго,[58] яко аз заповѣдах аггеломъ Ариоху и Мариоху, яже поставих на земли хранити ю и повелевати временным, да снабдятъ рукописание отець твоих, да не погибнетъ в будущий потопъ, иже азъ творю в родѣ твоемъ. Аз свѣдѣ злобу человѣческу: яко не понесут ярма, иже въздвигнух имъ, ниже сѣютъ сѣмя, яже дах имъ, но отвръгу яремъ мой, и яремъ инъ въсприимут, и всѣютъ сѣмена пустошнаа, и поклонят ся богомъ суетным, и отринутъ единовластье мое, и вся земля съгрѣшит неправдами, и обидами, и прелюбодѣйствы, идолослужении. Тогда потопъ наведу на землю, и земля сама съкрушит ся в тимѣние велико. И оставлю мужа правдива от племени твоего,[59] со всѣм домом его, иже сътвори по воли моей. И от сѣмени их востанетъ род послѣдний, многъ и несытъ зѣло. Тогда во изводѣ рода того явят ся книгы рукописаниа твоего и отецъ твоихъ, имже стражие земстеи покажуть я мужемъ вѣрнымъ, и скажут ся роду тому и прославят ся в послѣдокъ паче, неже в пѣрвое.	Охвати, Енох, (сказанное) умом своим, и осознай, кто говорил с тобой, и возьми книги, которые ты написал. Даю тебе Семеила и Расуила, поднявших тебя ко мне, сойди на землю и скажи сынам своим то, что я сказал тебе, и то, что видел ты от нижнего неба и до престола моего, — все воинства (небесные) я сотворил, и нет противящегося мне или не покоряющегося, все покоряются моему единовластию и служат одной моей власти. И дай им книги, написанные тобой, да прочтут и познают Творца своего, и да уразумеют и они, что нет (у них) иного творца, кроме меня. И передай книги, написанные тобой, детям и детям детей, и дай наставления близким, и (пусть передаются книги) из рода в род. И дам тебе ходатая, Енох, архистратига моего Михаила, чтобы написанное тобой и написанное праотцами твоими Адамом и Сифом не погибло до века последнего, как заповедал я ангелам (моим) Ариоху и Мариоху, которых поставил над землею, дабы хранили ее и повелевали временным, дабы сохранили (они) рукописание отцов твоих, и не погибло (оно) в грядущий потоп, который я сотворю в роде твоем. Ибо знаю пагубность человеческую: не вынесут бремени, которое я возложил на них, и не будут сеять семя, которое я дал им, но отвергнут бремя, (возложенное) мной, и иное бремя примут, и посеют семена пустошные, и поклонятся богам суетным, и отринут единовластие мое, и вся земля согрешит неправдами, оскорблениями, прелюбодеянием и идолослуже-нием. Тогда потоп наведу на землю, и земля сама сокрушится в грязь великую. И оставлю мужа праведного из племени твоего, со всем домом его, который делал (все) по воле моей. И от семени их поднимется род последний, многочисленный и не пресыщенный. И когда взойдет род тот, явятся книги, написанные тобой и твоими отцами, поскольку стражи земные покажут их мужам верным, и будут (те книги) рассказаны роду тому и будут почитаемы впоследствии более, чем в первый раз.
Нынѣ же, Еноше, даю ти рок прѣждания 30 дний, сътворити в дому твоемъ и глаголати сыномъ своимъ от мене и домъчадцѣмъ своимъ. И всякъ, иже есть храняй сердце свое, и да прочтутъ и разумѣютъ, яко нѣсть развѣе мене. И по три десяти днехъ аз пошлю аггелъ по тя, и возмут тя ко мнѣ от земля, и от сыновъ твоих; возмут тя ко мнѣ, яко мѣсто уготовано ти есть, и ты будеши пред лицемъ моимъ отселѣ и до вѣка. И будеши видя тайны моя, и будеши книжникъ рабом моимъ, зане будеши написая вся дѣла земная и сущих на земли и на небесѣх, и будеши ми въ свидѣтелство Суда Великаго Вѣка”. Все глагола Господь ко мнѣ, якоже глагола мужь къ искренему своему».	Ныне же, Енох, даю тебе срок ожидания тридцать дней, чтобы побывал ты в доме твоем и поведал (обо всем) сыновьям твоим и домочадцам твоим от (лица) моего. Всякий, кто блюдет сердце свое, да прочтет (книги твои) и уразумеет, что нет никого кроме меня. И спустя тридцать дней я пошлю ангелов за тобой, и возьмут тебя ко мне с земли, от сыновей твоих; возьмут тебя ко мне, ибо уготовано тебе место, и ты будешь перед лицом моим отныне и вечно. И будешь видеть тайны мои, и будешь книжником над рабами моими, ибо будешь записывать все дела земные и об обитающих на земле и на небесах, и будешь свидетелем моим (во время) Суда Великого Века". Все (это) говорил мне Господь, как говорит муж ближнему своему».
 	Поучение Еноха своим сыновьям
И нынѣ, чада моя, слышите глас отца своего, еликоже аз заповѣдаю вамъ днесь: да ходите пред лицемъ Господним, и елико ти сътворити есть по воли Господни. Аз бо есмь пущенъ от устъ Господень к вамъ глаголать к вамъ, елико есть и елико будетъ до Дни Суднаго. И нынѣ, чада моя, не от устъ моих вѣщаю вамъ днесь, но от устъ Господень, пущешаго мя к вамъ.	Теперь же, чада мои, услышьте голос отца вашего и то, что заповедаю вам ныне: ходите перед лицом Господним, (ибо) все, что должно произойти — по воле Господа. Я же послан от уст Господа к вам, дабы сказать вам, что есть и что будет до Дня Судного. И ныне, чада мои, не от уст моих вещаю вам сейчас, но от уст Господа, пославшего меня к вам.
Вы бо слышите глаголы моя из устъ моих, точно здана вамъ человѣка, аз же слышах от устъ Господень, огненъ, яко уста Господня пещь огнена, и глаголы его пламы огненый исходя. Вы же, чада моя, видите лице мое, подобно вама здана человѣка, аз же видѣх лице Господне, яко желѣзо от огня раждеженно, искры отпущающи.[60] Вы бо зрите очию точна вамъ здана человѣка, аз же зрѣх очию Господню, яко луча солнца свѣтяще ся, ужасающи очи человѣку. Вы же, чада, видите десницу мою, помавающи вамъ — равна творена вамъ человѣка, аз же видѣх десницу Господню, помавающи ми — исполняющи небо. Вы же видите обьятие тѣла моего, подобна вашему, аз же видѣх обьятие Господне, безмѣрно, бесприкладно, емуже нѣсть конца. Вы бо слышите словеса устъ моих, аз же слышах глаголы Господня, яко грома велика, непрестанным облаком мятение. Нынѣ, чада моя, слышите бесѣдующа о цесари земнемъ — боязнено и бѣдно стати же пред лицемъ цесари земнѣмѣ, страшно, зане воля цесаря — смерть, и воля цесаря — жизнь. Стати же пред лицемъ Цесаря, — кто постоитъ бесконечную боязнь или зноя велика? Но возва Господь от аггелъ своих старѣйших, грозна, постави у мене, и видѣние аггела того снѣгъ, а руцѣ его — лед, и устуди лице мое, зане не тръпяхъ страха, зноа огненаго. Ти тако глагола Господь вся глаголы своя ко мнѣ.	Вы слышите слова мои из уст моих, созданного, подобно вам, человека, я же слышал (слова) из уст Господа, огненных, ибо уста Господа, как печь огненная, и слова его, (как) пламя огненное исходят. Вы, чада мои, видите лицо мое подобно вам созданного человека, я же видел лицо Господа, подобное раскаленному огнем железу, испускающему искры. Вы видите глаза подобно вам, созданного человека, я же видел очи Господа, светящиеся, как лучи солнца, приводящие глаза человеческие в трепет. Вы, дети, видите руку мою, подающую вам знаки — (руку) равного вам сотворенного человека, я же видел руку Господа, подающую знак мне — заполняющую небо. Вы видите охват тела моего, подобного вашему, я же видел пространственность Господа, безграничную и несравнимую, которой нет конца. Вы слышите слова из уст моих, я же слышал глаголы Господа, как гром великий, (приводящие) в непрестанное движение облака. Теперь же, чада мои, услышьте говорящего о царе земном — страшно и претрудно стоять перед лицом царя земного, пугающе, ибо воля царя — смерть, и воля царя — жизнь. (Каково же) стать перед лицом Царя (Небесного), — кто выдержит этот безмерный страх и жар великий? Но призвал Господь одного из ангелов своих верховных, грозного, и поставил рядом со мной, был же ангел бел видом, как снег, а руки его — лед, и остудил лицо мое, поскольку не стерпел бы я страха и жара огненного. И (тогда) сказал мне Господь все слова свои.
Нынѣ убо, чада моа, аз всяческаа свѣмъ: ово от устъ Господень, ово очи мои видѣсте; от зачала до конца, и от конца до възвращениа[61] аз все свѣм. И написахъ книги до конца небесѣ и полности их, аз измѣрих хожениа их, и воинесътва ихъ аз сведѣ, исполних звѣзды много множество бесчислене. Который смыслитъ человѣкъ превратныа их обходы или шествиа их, или възвраты их, или водителя их, или водимыя? Ни аггели свѣдятъ ни чисмени ихъ, — аз же имена ихъ написах. И солнечный кругъ аз измѣрих, и луча ихъ изчтох, и входы его и исходы его, и вся шествиа его, имена их написах. И лунный круг аз измѣрих, и хожениа ихъ по вся дни изщтох, свѣта еа на всякъ день и час, и въ книгах имена ея же исписах. Облачная жилища и устав ихъ, и крила их, и дождя их, и капля ихъ аз ислѣдовах. И написах тутенъ громный и дивъ молниный, и указаша ми ключехранителя их, въсходы их; доже ходятъ в мѣру: узою въносят ся, узою спущают ся, да не тяжкою яростию сдергнутъ облакы, и погубят еже на земли. Яз написах сокровища снѣжнаа и хранилница голотнаа,[62] и въздухы студеныя, аз соглядахъ, на время како ключядръжца их наполняют облаки, и не истощат ся съкровища. Аз написах вѣтреняа ложнища, аз смотрих и видѣх, како ключарѣ их носятъ привесы и мѣры, первое же влагаютъ въ перевесы, второе же в мѣру, и мѣрою же испущает на всю землю, да не тяшкым въздыханиемъ землю въсколеблетъ.	Ныне, чада мои, я знаю все: одно из уст Господа (услышал), другое — глаза мои видели; от начала и до конца, и от окончания до нового обращения все я узнал. И записал в книгах обо всем наполняющем небеса до краев (их), и измерил путь их, и воинство их узнал, и записал звезд многое множество бесчисленное. Кто из людей знает о круговом движении их и пути их, и обращении их, или о тех, кто ведет их и (каким образом) ведомы? И ангелы не знают числа их, — я же имена их записал. И солнечный круг я измерил, и лучи сосчитал, и весь путь его, с входами и выходами его, и названия их написал. И лунный круг я измерил, и движение (луны) во все дни исчислил, и свет ее на всякий день и час, и в книгах имена ее записал. И жилища облаков, и порядок (движения) их, и крылья их, и дождь их, и капли (дождя) их я исследовал. И описал грохот грома и блеск молнии, и показали мне хранителей их, и восходы их; ходят же в (нужной) мере: на привязи поднимаются и на привязи опускаются, дабы тяжелым напором не обрушили облака, и (те) не погубили то, что (есть) на земле. И написал я о сокровищницах снега, и хранилищах льда и воздуха холодного, и наблюдал я, как время от времени хранители их наполняют (ими) облака, но не истощаются сокровищницы. И написал я об опочивальне ветров, смотрел я и увидел, как хранители их, носящие весы с собой и меры, на одну (чашу) весов кладут (сокровища), во вторую же — меру, и сообразно мере отпускают (их) на землю, дабы чрезмерным ветром не всколыхнуть землю.
Адъ. Оттудѣ сведенъ бых, и приидохъ на мѣсто судное, и видѣх ад отвръстъ, и видѣх ту нѣкоторые боле, яко ужницу, — суд без мѣры. И снидох, и написах вся суды судимиих, и вся впросы их увидѣх, и въздохнух, и плаках ся о погибели нечестивых. И ркох в сердцы моемъ: «Блаженъ, иже не родил ся, или рожешаа ся, не съгрѣшитъ пред лицемъ Господнимъ, да бы не пришелъ на мѣсто се, не бы понеслъ ярма мѣста сего». И видѣх ключныя стража адовы, стоаща у превеликых вратъ, яко аспиды великыи, и лица их, яко свѣща потухла, яко пламя помраченное очеса их, и зубѣ ихъ обнаженна до пръси их. И глаголах в лице их: «И отшел бы бых и не видил вас, иже во нь ради дѣаний вашихъ. И ни племени моего кто придет к вамъ».	Ад. Оттуда сведен я был вниз, и пришел на место судное, и увидел ад отверстый, и узрел там тех, кому хуже, чем узникам, — наказание безмерно. И спустился я, и написал о всяком наказании осужденных, и все вопрошения их узнал, и вздохнул, и плакал о погибели нечестивых. И сказал я в сердце своем: «Блажен, кто еще не родился, или родившийся, но не согрешивший перед лицом Господа, дабы не попал на место это и дабы не понес бремени места этого». И видел я стражей ада, стоящих у великих ворот и подобных аспидам огромным, лица их, как свечи потухшие, глаза их, как пламя померкшее, и зубы их обнажены до персей их. И сказал я в присутствии их (осужденным): «(Лучше) бы я ушел и не видел вас, ибо (попали) сюда за деяния ваши. И да не придет никто из племени моего к вам».
Рай. И оттуду възидох в рай и праведных, и видѣх ту мѣсто благословенно, и вся тварь благословенна есть, вси живущи в радости и въ веселии, и въ свѣтѣ безмѣрнѣ, и в жизни вѣчныа.	Рай. И оттуда взошел я в рай праведных, и видел там место благословенное, и вся тварь благословенна, и все живут в радости и веселии, и в свете безмерном, и в жизни вечной.
Тогда глаголахъ: Чада моя, — глаголю вамъ — блаженъ, иже боит ся имени Господни, пред лицѣм его послужитъ выину, и учинит дары, приносы[63], (...) и жизнию поживетъ, и умретъ. Блаженъ, иже сотворитъ суд праведный: нагаго одежетъ ризою и алчну дасть хлѣб.[64] Блаженъ, иже судитъ суд праведный: сиротѣ, и вдовицѣ, всему обидиму поможетъ.[65] Блаженъ, иже възразитъ ся от пути примѣнна и ходит путми праведными.[66] Блаженъ, сѣяй сѣмена праведнаа, яко и пожнет я седмерицею.[67] Блаженъ, в немже есть истинна, да глаголетъ истинну искренему.[68] Блаженъ есть, емуже въ устнах его милость истинна и кротость.[69] Блаженъ, иже вразумляетъ дѣла Господня, дѣл его ради познаютъ Художника.	Тогда сказал (Енох): Чада мои, — говорю вам, — блажен, кто боится имени Господа, и перед лицом его будет служить всегда, и совершать дары и приношения (Господу), (...) проживет жизнь (праведно), и умрет. Блажен, кто будет творить суд праведный: нагого облачит в одежды и голодному даст хлеб. Блажен, кто судит суд праведный: сироте, и вдовице, и всякому обиженному поможет. Блажен, кто сойдет с пути временного и ходит путями праведными. Блажен, кто сеет семена праведные, ибо и пожнет их всемеро. Блажен, в ком есть истина, и да глаголет истину ближнему (своему). Блажен, у кого в устах — милость истинная и кротость. Блажен, кто разумеет дела Господа, ибо благодаря делам его познается Создатель.
И се, чада моя, аз и краи по земли помѣтаа, написах аз; лѣта все складох, и от лѣт сложих мѣсяць, от мѣсяца разщтох днье, и от дни разочтох часы, аз часы измѣрихъ. Исписах и всяко сѣмя на земли, и разнествовахъ всяку мѣру, и всяку привесу праведну аз измѣрих, и исписахъ.	И вот, дети мои, я обозрел землю до краев ее, и (все) записал; все года сложил, и из лет разделил месяцы, и в месяце рассчитал дни, дни разделил на часы, часы же измерил. И описал всякое семя на земле, и определил каждую меру, и каждые весы правильные я измерил, и (все это) записал.
Якоже по лѣтѣх разнествие лѣта честь есть, тако человѣкъ человѣка честнѣе есть: овъ имѣниа ради многа, овъ же мудрости ради сердечныа, ов же разума ради хитрости и молчаниа устеннаго. Нѣсть же никтоже боле боящаго ся Господа, боящи бо ся Господа славнии будутъ в вѣк.[70] Господь рукама своима созда человѣка и в подобии лица своего, мала и велика створи Господь. Укаряа лице человѣче — укаряетъ лице Господне, гнушает ся лица человѣча — гнушает ся лица Господня, презря лица человѣча — презрить лице Господне; гнѣвъ и Суд Великъ, иже плюютъ на лице человѣку.	И как в различии между годами (каждый) год (своим) примечателен, так и (каждый) человек (в чем-то) достойнее другого: кто благодаря большому богатству, кто благодаря сердечной мудрости, кто благодаря остроте ума или молчанию уст. Но нет никого достойнее боящегося Господа, ибо боящиеся Господа славны будут во век. Господь руками своими создал человека в подобие лица своего, малого и великого сотворил Господь. И кто оскорбляет лицо человеческое — оскорбляет лицо Господа, кто гнушается лица человеческого — гнушается лица Господа, презирающий лицо человека — презирает лицо Господа; гнев (Господа) и Суд Великий (ждет) тех, кто плюет в лицо человеку.
Блаженъ, иже исправитъ свое на всякого человѣка: яко помощи судиму, и яко подъяти скрушима, и яко подати требующу, зане Суда Великаго все дѣло человѣческое писаниемъ обновит ся. Блаженъ, емуже будетъ мѣра праведна, и ставило праведно, превесы праведныи, зане в день Суда Великаго всяка мѣра, и всяко ставило, и всяка привеса, яко на купле преляжетъ, — и познаютъ кождо мѣру свою и в ту приимутъ мзду.[71] Иже творитъ присно пред лицемъ Господнимъ, управитъ Господь снисканиа его. Иже умножитъ свѣтилникъ пред лицемъ Господнимъ, умножитъ Господь хранилница его. Егда требуетъ Господь хлѣба или свѣща, или борова, или говяда, но тѣмъ искушаетъ Господь сердце человѣку. Яко тогда Господь послетъ свѣтъ свой великый и въ тму, будетъ Суд, да кто ту утаит ся?	Блажен, кто осуществит должное по отношению к каждому человеку: поможет осуждаемому, поднимет упавшего и подаст нуждающемуся, ибо (в день) Суда Великого всякое дело человека возобновится благодаря написанному. Блажен, у кого будет мера праведная, и весы праведные, и гири праведные, так как в день Суда Великого мера каждого, и весы (его), и гири словно при покупке приложатся, — и узнает каждый меру свою и соответственно ей примет мзду. (Тому), кто всегда творит перед лицом Господа, Господь добавит приобретений. (Тому), кто умножает светильники перед лицом Господа, Господь умножит то, что в хранилищах его. Разве нужны Господу хлеб или свечи, или боров, или бык, этим испытывает Господь сердце человека. Ибо когда Господь пошлет свой свет великий во тьму и будет Суд, кто тогда (сможет) утаиться?
Нынѣ, чада моя, положите мысль на сердцех ваших и внушите глаголы отца вашего, елико же вѣщаю к вамъ — от устъ Господень. Възмите книги сиа — книгы рукописаниа отца вашего, и почитайте их, и в них познаите дѣла Господня, яко нѣсть развѣе Господа единаго, иже поставилъ основаниа на безвѣстных, протяглъ небеса на невидимых, землю поставил, на водах основал ю на непостойных, иже бесщисленую тварь створи единъ[72] (кто ищелъ пръсть земную или пѣсокъ морскый, или капля облачныи?[73]), иже землю и море спряглъ неразрѣшенами узами, иже неразумную лѣпоту от огня исѣкохъ и украсилъ небо, иже от невидимых въ видении всяческых створи, самъ невидимъ сый. И раздайте книги сия чадомъ своимъ и чада чадомъ. И вся ужики ваша, и вси роды вашы, иже смыслятъ и боят ся Господа, и приимутъ я, и годѣ будетъ имъ паче всякого брашна блага, и прочтутъ, и преложат ся к ним! А несмыслении, не разумѣющеи Господа, не приимутъ, но отвръгут ся, отягчит бо иго ихъ. Блаженъ, иже понесетъ иго их, притягнетъ е, яко обрящетъ е въ день Суда Великаго. Аз бо кленю ся вамъ, чада моа, яко преже, даже не бысть человѣкъ, мѣсто Судное уготова ся ему, и мѣрило, и ставило, в немьже искушенъ будетъ человѣкъ, тамо преже уготовано есть. И аз же дѣло всякаго человѣка в писании положю, никтоже не может украсти ся.	Ныне же, чада мои, запечатлейте в душах своих и внемлите словам отца вашего, (ибо) то, что говорю вам — от уст Господних. Возьмите книги эти — книги, написанные рукой отца вашего, и прочтите их, и из них узнаете дела Господа, и что нет никого, кроме Господа единого, который поставил основания на неведомом, и простер небеса над невидимым, землю поставил, на водах ее основав непостоянных, который бесчисленную тварь сотворил один (а кто {может) сосчитать пыль земную или песок морской, или капли в облаках?), который землю и море соединил нерушимыми узами, который немыслимую красоту из огня высек и украсил небо, который из невидимого в видимое все сотворил, сам будучи невидимым. Раздайте эти книги чадам своим и чадам чад. И все близкие ваши, и все родные ваши, которые знают и боятся Господа, да примут их, и да будут они им нужнее всякой пищи благой, и да прочтут и будут верны им! А неразумные, не знающие Господа, (которые) не примут их, но отвергнут, тем отягчат бремя свое. Блажен, кто понесет бремя (книг этих), примет его, ибо обретет тот в день Суда Великого. Клянусь вам, чада мои, что еще до рождения человека место Судное уготовано ему, и мера, и весы, которыми будет испытан человек, там уже уготованы. Я же дело всякого человека на письме изложу, и никто не сможет укрыться.
Нынѣ убо, чада моя, в тръпѣнии, во кротости пребудите чисмя дний ваших,[74] — да бесконечный вѣк наслѣдуете будущий. И всяка рана, и всяка язва, и зной, и всяко слово зло, аще наидетъ, Господа ради претръпите. А могущии възданиа въздати, не воздайте искренему, зане Господь въздалъ есть, вам же будетъ местникъ в День Суда Великаго.[75] Злато и сребро погубите брата ради,[76] да приимите сокровище плотно въ День Судный. И сиротѣ, и вдовицѣ прострете руки ваша, и противу силѣ помозите бѣдному,[77] — и обрящут ся въ кров время тружениа всякого. Скорбь и тяжко, аще наидетъ на вы, и Господа ради отрѣшите,[78] — ти тако обрящете мъзду вашу въ День Судный.	Ныне же, чада мои, да пребудете в терпении и кротости число дней ваших, — да наследуете жизнь вечную в будущем. И всякое бедствие, и всякое страдание, и зной, и всякое слово злое, если сойдет (на вас), стерпите Господа ради. И хотя можете отплатить расплатой, не воздавайте ближнему, ибо один Господь воздает, и будет отмщающим за вас в День Суда Великого. Золотом и серебром пожертвуйте ради брата, дабы принять сокровище плотское в День Судный. Сироте и вдове протяните руки ваши, и по возможности (своей) помогите бедному, — и обретете покровительство во время всяких трудов. От скорби и печали, если найдет на вас, Господа ради отрешитесь, — и обретете воздаяние в День Судный.
Заутра, и полудни, и вечеръ (...) добро есть ходити въ храмъ Господень славити Творителя всѣх.[79] Блаженъ, иже отверзетъ сердце свое на хвалы и похваляа Господа. Проклятъ, иже отвръзаай сердце свое укорение и оклеветаниа искренему.[80] Блаженъ, иже отвръзаетъ уста своя, благословя и славя Господа. Проклятъ, отвръзая уста своя на клятву и на хульство в лице Господне. Блаженъ, славя вся дѣла Господня. Проклятъ, укаряа тварь Господню. Блаженъ, складая труды рукою своею въздвигнутиа. Проклятъ, глядаа потребити труды чюжаа. Блаженъ, храня основаниа отець идѣжеконечных. Проклятъ, раскажает уставы и предѣлы отецъ своих. Благословенъ, садя миръ. Проклятъ, разаряа мирнующаа. Благословенъ, глаголя «мир», имѣя мир въ сердце своем. Проклятъ, глаголя, и нѣсть мира въ сердци его.[81] Все се въ мерилѣ, въ книгахъ изообличает ся въ День Суда Гордаго.	Утром, и в полдень, и вечером (...) благо есть ходить в храм Господень славить Творца всех. Блажен, кто раскрывает сердце свое для хвалы и хвалит Господа. Проклят раскрывающий сердце свое для хулы и клеветы на ближнего. Блажен, кто раскрывает уста свои, благословляя и славя Господа. Проклят раскрывающий уста свои для проклятия и хулы перед лицом Господа. Блажен прославляющий все дела Господни. Проклят оскорбляющий творение Господа. Блажен создающий трудом рук своих. Проклят стремящийся уничтожить труды других. Блажен хранящий устои предков. Проклят нарушающий установление и законы предков своих. Благословен творящий мир. Проклят уничтожающий мирное. Благословен говорящий «мир (вам)» и имеющий мир в сердце своем. Проклят говорящий то, но не имеющий мира в сердце своем. Все это на весах и в книгах проявится в День Суда Высшего.
