I	I
Взыде убо Фетид[19] съ свѣтлыми побѣдами, увидѣ же бывшее, и ущедри Паламида, и тяжце проплака и поскорбѣ, а еллином поручи, да оставят братися и способствовати им.[20] От сего бысть дръзость Ектору и того пособником, и составляют со еллины брани крѣпкоратние: оттолѣ бывше убивства, и заклания, и пролитя кровемъ, мужеубивства, и воплеве, и езера кровавая. И падают, якоже класия, еллинская телеса, и смиряютца, и лютыми многими объяти бывше, в раскаяни бывша о прегрешение их. Иже первие высокоумнии словесы молебными моляху Фетида смилитися на них, но не внят Ахилей симъ, ни приклонися, дондеже пад Патраклие, егоже вельми любляше, из руку крѣпкую и доблою Екторовою, того принуди потещы на трояни. Изыде убо Ахилей на брань огнемъ дыхая; и разбивает полки, и побивает первоборца и с ними Ектора, столпа тройскаго, мужа тяжка и храбра, во оружих воспитана, язвы ношаща на персех безчисление, имиже соплеташася сь юнцы дивими, преже даже не бяху еллини пришли и составили брань.	И вот явился Фетид, овеянный славой победы, и узнал о случившемся, пожалел Паламеда, и горько оплакал его, скорбя, а эллинам заповедал, чтобы не выходили они биться и помогать. И с той поры преисполнились дерзостью Гектор и его союзники, и сходились они в жарких схватках с эллинами, и много было тогда убито и пало в бою, и кровопролитие было, и гибель мужей, и вопли, и озера крови. И падали как колосья эллины, и ослабели духом, и под градом напастей раскаивались в своих прегрешениях. И лучшие из высокоумных с мольбой обратились к Фетиду, чтобы простил он их, но не внимал им Ахиллес, не склонялся <к мольбам> до тех пор, пока не пал Патрокл, которого он очень любил, от руки могучего и доблестного Гектора, и это побудило Ахиллеса выйти на бой с троянцами. Вышел Ахиллес на битву, словно огнем распален; и громит полки, и избивает лучших из воинов и с ними Гектора, бывшего опорой троянцев, мужа могучего и храброго, выросшего в доспехах, носящего на груди шрамы бесчисленные с тех еще времен, когда до нашествия эллинов боролся он с дикими быками.
Убьену же бывшу Ектору дръзосръдому, призва Приям на помощь амазони, и паки брань крѣпка, и умирают вси. От всѣх убо пустъ бысть окаянный старець, къ Давыду, царю иудѣйскому, посылает, руку прося помощи от него. Но Давыдъ не дасть ему, или от сего спротивляяся языком иноплеменномъ, или ненавидя еллини и варвари, яко не вѣдущих Бога, но идолом служащих, и бояся, яко да не впаднуть в прелесть жидовѣ, аще послани будут от него на помощь сущимъ в Трои, на злобу имуще доброволная естества. Тавьтантия же, индѣйскаго царя, Приамъ умоли, и со множеством посылаетца Мемнон[21] бесчисльнаго числа. Войска же бѣ индѣяне все чернообразни, ихже видѣвше еллини во странных зрацех, и убоявшеся от зрака их и оружия, и от звѣри устрашившеся, ихже индѣя кормит, нощию бежати мысляху и оставити Трои. Но обаче ополчишася противу чермнообразным, и индийскими кровми очервишася нивиа, и скамандови струя оброщися кровми.	Когда же был убит Гектор, дерзкий сердцем, Приам обратился за помощью к амазонкам, и снова разгорелись ожесточенные бои, и многие погибли. Всеми оставлен был несчастный старец, и к Давиду, царю иудейскому, посылает, прося у него помощи. Но Давид не дал ему, либо потому что воевал с иноплеменниками, либо сторонясь эллинов и варваров, ибо они не знали Бога, а поклонялись идолам, и опасаясь, как бы не впали в тот же грех евреи, если будут посланы на помощь к <осажденным> троянцам, имеющим естественную склонность к пороку. Тавтания же, индийского царя, Приам умолил, и Мемнон явился с бесчисленным войском. Воины-индиане все были темнолики, так что эллины, увидев их необычный вид, испугались облика их и оружия, и испугались зверей, которых кормят индийцы, и задумали бежать под покровом ночи и снять осаду Трои. Но, однако, выступили против темноликих, и индийскою кровью обагрились поля, и струи Скамандра побагровели от крови.
В сих же наста жертовное еллином трьжество, паче же и варваром, и всѣмъ бѣ покой от ратей и трудов. И убо вои еллинстии и тройское множество въедино смешахуся, сьдѣяти ничтоже смѣяху. Бѣ же храмъ при станах добронырнаго Троя, идѣже часто приходя Ахилей видѣ Поликсению.[22] Он же увещеватися отаи творяшеся и сия лестию дѣяху Диифов и Парие. Якоже убо внидоша в церковь Аполона Алсеанина, клятвами связующе яже о Поликсении; Диифов убо приснѣе любляше Пилея, филея жениха сестрѣ своей нарицая его, близ же став, Александръ прободе его, и отскочив избеже з Диифовомъ.[23] Ахилей же паки на издыхании бѣ послѣднем. Ощюти же сиа, Дисевес, яздяше бо с нимъ, и с ннмъ Диоген Еа Теламонянин.[24] Вкупѣ же убо в церковь въскочивше, обрѣтоша ироа лежаще, кровми облиянна и угасша, дыхающа едва, и движуща языкъ, и хотящима очима его покрытися тмою. Якоже убо видѣста его, проплакаста, и нападь на перси его, Еа великий с плачем к Пилеу рече: «О ратем разрушителю и исполине крѣпкорукий, кто погубити тя возможе львояростънаго»! Он же, едва прогласив, рече: «Убиста мя Диифов и Парие лестию». И сия рек, и издыше толикий ирое. Ее же на рамо возложити тѣло Ахилеово горце, войску принесе плачася.	Вскоре после этого настало время, когда эллины, а также варвары торжественно приносили жертвы, и все отдыхали от ратного труда. И воины эллинские, и бесчисленное множество троянцев сошлись все вместе, не смея ничего злоумышлять. Был храм подле стен крепкобашенной Трои, где Ахиллес, не раз туда приходя, увидел Поликсену. Собрался он тайне с ней сговориться, а все хитростью подстроили Деифоб и Парис. Когда вошли они все в храм Аполлона Алсеанина, чтобы клятвами подтвердить все задуманное о Поликсене, Деифоб стал клясться в любви к Пелееву сыну, называя его милым женихом своей сестры, а Александр <Парис>, став рядом, пронзил его и, отскочив, выбежал вместе с Деифобом. Ахиллес же остался при последнем издыхании. Почувствовал недоброе Одиссей, приехавший с Ахиллесом, и с ним бывший благородный Аякс Теламонид. Вместе вбежали они в храм и увидели, что герой лежит, залитый кровью, угасает и едва может дышать и шевелить языком, и очи его вот-вот уже покроет тьма. Когда увидели это, то зарыдали, и упал ему на грудь Аякс Великий и с плачем обратился к Пелеиду: «О, завершитель сражений и исполин крепкорукий, кто смог одолеть тебя, яростью равного льву!» Тот же, едва прошептав, сказал: «Убили меня обманом Деифоб и Парис». И только это успел сказать герой, и умер. Аякс же, в горе положив на плечо тело Ахиллеса, с плачем принес его к войску.
Абие же принесе Пира Ахилеова, новаго Птоломѣя, сущаго от Диидамие.[25] И паки бѣша убивства и заклания, паки мужоубиения, и паки кровми облияся земля и тройска поля, и паки кровавлени быша скамандрови струя,[26] дондеже волхви им пророчеством изрекоша, яко нѣсть мощно по рати взяти Трои, ни руками, ни по мечю, но токмо лестию единою. И абие содѣяше коня древяна, и затворени в немъ мужа вложивше, отити творяху ко отечеству своему. И коня убо оставиша ту у пристанища, сами же творяхуся в Тенедскнй остров.[27] Видѣвше же трояне приключившееся, видѣша пристанища пуста. Коня же единаго видяще, недоумѣюще дивляхуся. И сперва убо мняще быти все прелесть, погубити коня покушающеся и огневи предати, или поврещи низ стѣну, или в глубину морскую. Та же, понеже приспѣло бѣ Трою взяти тогда, в дом увещаше внести коня, яко образ и корысть от супротивных, И ови убо внесоша его, и питием и играм себе вдавше, усыпаху глубоким сном. Мужие же крыющеися и на сие ловяще, изшед молкомъ, пламень воздвигоша велик, иже видѣвше еллине проотплувшеи воскоре пловущеи придоша ко Трою, и вратом отверстом бывшу от предвшедших, яко вода вольяшеся зело нѣкако наводнившиеся.	Тогда послали за Пирром, <сыном> Ахиллесовым, новым Птолемеем, рожденным от Деидамии. И снова начались убийства и гибель, снова истребления мужей, и снова кровь орошала землю и троянские поля, и снова обагрялись струи Скамандра, пока волхвы не изрекли, пророчествуя, что невозможно взять Трою в битве ни руками, ни оружием, но только одной хитростью. И тогда изготовили коня деревянного и поместили, затворив в нем, воинов, а сами сделали вид, будто вернулись в отечество свое. Коня же оставили возле стана, а сами будто бы отплыли к острову Тенедон. Троянцы увидели все это и опустевший стан. Видя там только одного коня, недоумевали они и дивились. И первоначально полагали, что все это обман, и собрались уничтожить коня, и предать его огню, или сбросить со стены, или погрузить в глубину моря. Однако же — так как настало уже время взятия Трои — порешили ввезти коня в город на память как трофей от врагов. И те, кто ввезли его, стали пировать и играть, а потом уснули глубоким сном. Мужи же, спрятавшиеся и того ожидавшие, тихо вышли и разожгли большое пламя, увидев которое отплывшие в море эллины тотчас же подошли к Трое, и, когда прежде проникшие <в город> отворили им ворота, влились в Трою, как вода во время половодья.
Твердонирьному же сице прияту бывшу Трою, жены восхищаеми бѣху ис чертогъ новонасажденных, земля наводняема бѣ кровми падающих, младенцы наперстни ударими бѣху о стену. И спроста рещи, яко вмале плачь вся содержаше, и все лютое и горкое изполняше град. Руце кровми капляху, и червляняхуся мечи, земля же оброщися, и попираеми бяху младенцы. И якоже убо нѣкогда насытившеся, восхищающе и убвивающи, огневи предают и попаляют от основание еже во градовох прекраснаго и преизряднаго, якоже убо о рати си имяше образ.	Когда таким образом была взята крепкобашенная Троя, женщин выволакивали из домов, недавно возведенных, земля пропиталась кровью убитых, младенцев грудных разбивали о стены. И, иначе говоря, тотчас же раздались повсюду рыдания, и страшные беды и горе наполнили город. С рук капала кровь, обагрились мечи, земля была <кровью> орошена, и потоптаны были тела младенцев. И когда пресытились эллины грабежом и убийством, предали огню и сожгли дотла все, что было в городе прекрасного и дорогого, как это обычно на войне.
Честь же претыкнувшися единою от Менелаа, другими новыми истает окаяннаго болѣзньми. И паки плавание должайшее, воевание морско другое, и болѣзни приемлют ветхи новии, корабли елиспонские египетские глубины. Отходит убо къ Египту, и лютая измѣряет море, и обурен быв и оволнен вѣтры крѣпкими и страшными едва приспѣ к нему. Вьзыде же кь Протеу царю и обрете и супружницу тамо въ Мѣмфе, и угощен и почьтен бысть, поемлет Елену, и с трудом довольнымъ приспевает ко отечеству си, и по тройсцем пленение осмому лѣту текущу по заблуждению еже къ Протеу. Обретает и сродника сии окаянне погибша лестию злыя жены, ехидны прелукавые, обретает братова си сына Ореста растаявша отчий посрамившаго род и сродство, и с ним безстудную матерь нареченную обручницу.[28] <...>	Судьба, отвернувшаяся раз от Менелая, подвергла несчастного другим новым испытаниям. И снова — долгое плавание, снова борьба с морской стихией, и снова встретились со старыми бедами новые, и направляются Геллеспонтом в Египетское море. Отплывает он к Египту, и пересекает жестокое море, и, терзаем бурями и волнами и ветрами сильными и страшными, едва достигает берегов. Явился же к Протею-царю и нашел супругу свою там, в Мемисе, и, приняв угощение и почести, берет Елену и не без трудностей достигает отечества, когда шел уже восьмой год после пленения Трои и после плавания к Протею. И узнает он, что родич его погиб страшной смертью по наущению злой жены, ехидны коварной, и что сын брата его, Орест, убил осквернителя отчего рода и родственных уз и с ним бесстыдную мать, нареченную супругой <отцу его>. <...>
III	III
ЦАРСТВО ФЕОДОСИЯ МАЛОВО	ЦАРСТВО ФЕОДОСИЯ МАЛОГО
Якоже убо персть Аркадие отдастъ телесную, на восточных странах Феодосѣе посаждаетца, егоже царь Аркадие зачат от Евдоксии.[29] Феодосие же убо свою дщерь посылает к Валентияну[30] на приобщение брака. Нъ сластолюбивое сего юноши и слабость неудръжаннаа плотолюбию и жизни лиши его и царства, и блуду обещьника низведе в поругание. Како же сеи бысть, сказати иматца вскоре.	Когда Аркадий вернул земле прах тела своего, в восточных провинциях сел на престол Феодосии, рожденный царем Аркадием от Евдокии. Феодосии дочь свою отправил к Валентиниану на бракосочетание. Но сластолюбие этого юноши и неудержимое пристрастие к плотскому и жизни его лишили, и царства, и обрекли на поругание как прелюбодея. Как же это случилось, будет сейчас рассказано.
Максим нѣкто бѣ ипать в Римѣ прьвый сьй. Сьй имѣшь жену прекрасну зраком, доброту безчислинну имущу, врьтограду супртивна добротою, украшаше же жену целомудрие наипаче. Юже видѣв, царь восхитися добротою и всяку кознь воздвизает, еже получити желание. И убо с мужем жены оное совозвращаася и превышьши явлься, не нося злата, взимает перстень златый его, на извещение быти ему хотению.[31] Посылает же перстень к женѣ знамением, приити веля ей кь царици. Вѣрова же симъ жена, познавши знамение, и приде въ царскаа. Что же по сих: поем ю царь, осрамоти нуждою. Увѣдѣв же сиа Максим и уязвися сердцем, на вражду вооружися, и лукавства всякаа сшиваше, и конечнѣе уморяет мечем царя,[32] от стражи и добрых вой того лишив, осрамоти же и жену его Евдоксию.[33] Царица же зжалиси о срамотѣ, и поскорбѣ, и посылает кь Гизериху уандалскому ризѣ, на Рим приити устремляет. Прииде убо Гизерих, и приат Рим, поработѣ горце, и пороби самую царицю и тое дѣвицю.	Был в Риме некий вельможа Максим — один из знатнейших патрициев. Была у него жена, прекрасная лицом и украшенная многими добродетелями, саду подобная достоинствами своими, и всего более украшало ту женщину целомудрие. Увидев ее, пришел царь в восхищение от красоты ее и на всякую хитрость решил пойти, лишь бы добиться желаемого. Как-то, <играя в кости> с мужем этой женщины и выиграв, он попросил у не имевшего с собой золота Максима его перстень золотой <в залог проигрыша>. Посылает же тот перстень к жене Максима, в знак того, что должна она явиться к царице. Поверила этому женщина, узнав перстень, и пришла в царские палаты. Что же далее: опозорил ее царь, насильно овладев ею. Узнав об этом, Максим был ранен в самое сердце, возненавидел царя и, плетя против него нити заговора, в конце концов убил его, когда остался тот без стражей и верных воинов, и осквернил жену царя Евдокию. Царица же, оплакивая свой позор, посылает к Гейзериху, вандальскому королю, призывая его прийти на Рим. Пришел Гейзерих, захватил Рим, покорил его и пленил саму царицу и дочь ее.
И убо Рим, вмале ещо царствовав, дръжавы царьские до конца лишися, и варварскимъ ригамъ повинуся и языконачалником дланми их люте смѣрися. Въцари бо ся Максимъ, иже тогда враждевавый; а по том Анфем, Олимврие великий, а по Олимврие дръжа Майоръ, а по том Клекерие, а по том паки Непотиан, таже Орестъ, и по Оресте сынъ его Ромил[34] власти причастися послѣдний сий. И град великий во градох Рим, Ромила имѣв в начале[35] узаконена царя, и паки приставльши дръжаву в Ромила, к тому правлениа не имѣ от царей, варваром же подклонився и попран бысть, и сих лютѣ оружием прѣетъ бывъ, риги видѣ князя в себѣ, странам владыки и сатрапи. И лишевсе злѣ ипать же, и дръжатель, и правитель, и совѣтник, еще же и патрикий, на рамо взем ярем варварский. И бысть первѣе вол чрѣдний невпражен, в покорѣ бысть силным орачем и земляными браздами мучитися осужден бысть.	С той поры недолго еще просуществовало Римское царство, а затем вышло оно из-под власти царской и стало повиноваться варварским королям и вождям, грубой рукою их принуждаемо к покорности. Стал царем Максим, который тогда враждовал <с Валентинианом>, за ним Авит, потом Олибрий Великий, а после Олибрия держал власть Майориан, а потом Глицерий, и потом еще Непот, затем Орест, и после Ореста сын его Ромул, последний, кто причастился власти. И город Рим, величайший из городов, имевший Ромула первым законным царем, снова с Ромулом же окончил свое существование, с тех пор уже не имев царского правления, подчинился варварам, и покорен был ими, и, оружием их терзаем, видел у себя королей их, наместников и сатрапов. И лишился на горе свое консулов и сенаторов, и правителей и советников, и даже патрициев, возложив на плечи ярмо варварское. И тот, кто в прошлом был подобен быку свободному, не знающему ярма, ныне стал покорен сильному пахарю и обречен страдать на пашне.
И сиа убо приключишася старому Риму, нашь же новий Цариград доить и растить, крѣпится и омлаждается, буди же ему и до конца расти, еи царю всѣми царьствуя и сицеваго приемшу свѣтла и свѣтоносца царя, великаго владыку и изрядного побѣдоносца, корене суща Иоанна, прѣизящнаго царя болгаром Асаня, Александра, глаголю, прекроткаго и милостиваго, и мнихолюбиваго, и нищим кормителя, и великаго царя болгаром, егоже дръжаву солнца бесчисльнаа да исьчтет![36]	И все это случилось со старым Римом, наш же новый Царьград цветет и растет, крепнет и молодеет, и да будет он вечно расти, о царь, всеми царствуя и такого получив светлого и светом сияющего царя, великого владыку и славного победоносца из рода Иоаннова, достойного царя болгарского, Асеня, — говорю я об Александре, кротком и милосердном, и мнихолюбивом, и нищих кормителе, великом царе болгарском, в его же царство утратят счет бесчисленным восходам солнца!
Но и паки слово на путь наставлено буди, и да скончаетца оставшее слово списанию.	Но пусть снова слово вернется на стезю свою, и да будет окончено наше повествование.
Новому Феодосию[37] ещо младу сущу, провождающу же юный прьвый возрастъ, Аркадиа посади на царских престолех и хранителя пристави егову царству, еже въ синклите пръвие и мудрѣйшее, и с ними князя перскаго Издигерда;[38] иже увѣдѣв навѣть на Феодосиа, от нѣкоих сшиваем мужии любомучитель, запрѣти им наити даже до Византиа со многими ратники крѣпкими и оружноносци. И убо навѣтовавше на царя сьтресшеся душами своими от страха варварова,[39] злоумие отвергаше и злонравие, и от совѣта отставшесе злаго и начинания. Якоже убо благообразное да би понѣ въ поганых, и дружество неврежденно и междусобную любовь вѣсть муж иноазычен без смущениа хранити, доброе бо от естества всѣмъ всѣяно бысть.	Когда Феодосии Новый был еще молод, опекая его юношеский возраст, Аркадий посадил на царском престоле и хранителями царства его сделал тех, кто были знатнейшими и мудрейшими в синклите, и с ними князя персидского Йездегерда, который, узнав о заговоре против Феодосия, сплетенном некими мужами, жаждущими злодеяний, со многими сильными вооруженными воинами не дал им даже приблизиться к Византии. И выступавшие против царя затрепетали в страхе перед варваром, отреклись от злоумышления своего и злонравия, и от замыслов отступили злых и намерений. Вот если бы добродетель всегда была бы среди иноверцев и нерушимую дружбу и взаимную любовь неколебимо хранили бы мужи иноязычные: ведь добро от природы всем присуще.
Бѣше же сестра сему Феодосию, чистообразна и чиста житием, именем Пулхѣриа,[40] добротою сиающе телеси доброобразнаго и совьтещися се дарми внутренего благолѣпиа, яже дѣвою соблюсти себе произволивши и чистотѣ некрадомо хранити сокровище, мужскаго отречеся всячески бесѣдованиа, чистому же радовашеся и красному житию, и теплоту являше на всяко благое дѣла. Не токмо же свое сице украшаше житие, но и брата своего всякими козньми на всяку добродѣтель и нрави добрие привлачаше, яже и приведе ему на приобщение браку добротами светящуюся всякими Евдокию, яже обилие имущи доброти личнии. Бѣше же от Атин великих, к византийскому же красному прииде граду, яко да опадает свою присную братию, яко от отчаа имѣниа не дающим ей ничесоже, много же паче користное безприкладное, обрете. А еже како сие бысть, словеси малими скажу.	Была у того Феодосия сестра, непорочна и чиста в жизни своей, по имени Пульхерия, сияющая телесной красотой и светящаяся дарами внутренней красоты, решившаяся свое девичество и сокровище чистоты сохранить нетронутыми, всячески избегала она бесед с мужчинами, радуясь целомудренной и тихой жизни и ревностно посвящая себя всяким благим делам. Не только свою так украшала жизнь, но и брата своего всякими способами побуждала к всякой добродетели и добронравию, она же и привела к нему на сочетание брака всякими добродетелями светящуюся Евдокию, отличавшуюся необыкновенной красотой лица. Происходила она из великих Афин и пришла в византийский город с жалобой на своих родных братьев, которые не оставили ей ничего из отцовского наследства, но много более ценное здесь обрела. А как это случилось, расскажу вкратце.
Биаше во Афинѣх нѣкто муж, Леонтие нарицаем, въ конец достиг всякие философие, и словесным, и естьствные, и звездочьтные. Сему от единие жены родишася три дѣти: двѣ же бѣста мужский пол, а третие дщи, дщи свѣтообразна и весела, Атина же наречена бысть отцем своим отроковица. Якоже убо житие хотяаше оставити всѣяви я, смертное оставль и конечное писание: отроком убо остави стяжаниа свое, елико в ризах и елико во злате, в домовох же и въ скотех, и в сосудех, и в рабѣх — бѣше бо вельми богат от многоимѣнниих. Дщери же повелѣ, и сие от любови, токмо единѣх 100 златник даровати в наслѣдие, часть прекрасну рек довольно ей быти, всяку превосходящую женскую доброту. И он убо, рек, испив смертную чашу; отроковице, братиа, злонравни явльшеся, все приаша отчее достоание и всячески без ждребиа оставиша юнотку. О них же сожалившися и душею уязвившися, к матере своей сестрѣ приступи Афина отроковица, сказает аже о себе, и беду авляет, болѣзньними воздыханми обличает страсть. Ущедри же отроковицу лелѣ ею плачющуся, о сестрине же дщере уазвися сердцемъ, и с нею, востав, отиде во град прьвий градом и град дръжавный. Къ Пулхерии же приступиста благодѣтми украшенѣй, посещениа от нея просита и помощи отроковици, от своих неправедно лишеной. Удиви же ся отроковичнѣй царица добротѣ, почюдися свѣтоносным даром лица еа, удивися благоразумию и великоумию еа, и вопроси, еда кто разтлил есть девъство еа. И увѣдѣвшу, яко неискусна есть ложу отроковица и доброту несквернну сохранила есть чистотѣ, абие банею очищает ю честною, сиречь крещаех, и имя ей прѣлагает, нарицает доброю отроковицу Евдокиа, припрязает же ю цареви и причитает на брак, способствовашу наипаче о сем и Павлину, иже в прьвых вочинен бысть царских другох. От сие убо Феодосие роди Евдоксию, юже Уалентиниану, скипетра дръжащу Рима старого, посла на припряжение житию.	Жил в Афинах некий муж по имени Леонтий, в совершенстве постигший философию и словесную, и естественную, и звездочетную науку. Родилось у него от одной жены трое детей: двое мужского пола, а третья дочь, дочь светлоликая и веселая, Афиной назвал отец свою отроковицу. Когда же собрался уйти из жизни зачавший их, то составил свое посмертное завещание: отрокам даровал имущество свое — все одежды, и все золото, и весь скот, и все сосуды, и всех рабов — был он богат и немалым владел имуществом. Дочери же завещал, любя ее, только сто золотых монет и предрек ей счастливую судьбу, <ибо есть у нее> все превосходящая женская прелесть. И, сказав так, испил он смертную чашу; братья же, оказавшись злодеями, забрали себе все отцовское богатство, всей доли лишили девушку. Пожалев о случившемся и огорчившись в душе, обратилась Афина-отроковица к сестре матери своей, рассказала ей о себе и своей беде, тяжелыми вздохами выражая свое горе. Утешила тетка плачущую девушку и, болея всем сердцем о дочери сестры своей, отправилась с нею в первый из городов и царствующий град. Обратилась она к Пульхерии, украшенной благодеяниями, испрашивая разрешения прийти к ней и прося помочь девушке, своими <родичами> несправедливо обобранной. Поразилась царица красоте девушки, удивилась светлости ее лица, восхитилась благоразумием и умом ее и спросила, не нарушил ли кто ее девственности. Узнав же, что неискушена в любви отроковица и неоскверненным сохранила благой дар чистоты, омывает ее в бане честной — то есть крестит ее и имя ей изменяет — называет прекрасную девицу Евдокией, приближает ее к царю и сочетает их браком; особенно же содействовал тому Павлин, один из ближайших друзей царя. От нее же родилась у Феодосия Евдоксия, которую он послал на бракосочетание с Валентинианом, державшим скипетр Рима старого.
