МАЛАЯ ЧЕЛОБИТНАЯ	МАЛАЯ ЧЕЛОБИТНАЯ
Тако говоритъ Петръ волоский воевода, про греческое царьство: «Велможи греческия при царе Констянтине Ивановиче царьством обладали[37] и крестное целование ни во чтоже ставили, и изменяли, и царьство измытарили своими неправедными суды, от слез и от крови християнския богатѣли и богатство свое наполнили нечистым собранием. А сами обленивели, за вѣру християнскую крѣпко не стояли и царя укротили от воинства своими вражбами, и прелестными путми, и ерестными чародѣйствы. И тѣмъ царьство греческое, и вѣру християнскую, и красоту церковную выдали иноплемянником турскимъ на поругание. А нынѣ сами греки за свою гордость и за беззаконие, и за ленивство свое вѣру християнскую у царя у турсково откупают: и великие оброки даютъ царю турскому, а сами в неволе у царя у турсково за свою гордость и за ленивство живут. Греки и сербы наймуются овецъ пасти и верблюдов у турского царя, и лутчие греки, и они торгуютъ».	Так говорит Петр, молдавский воевода, о греческом царстве: «При царе Константине Ивановиче управляли царством греческие вельможи и крестное целованье ставили ни во что, совершали измены, несправедливыми судами своими обобрали они царство, богатели на слезах и крови христиан, пополняли богатство свое бесчестным стяжаньем. Сами они обленились и не стояли крепко за веру христианскую и в царе укротили воинственность ворожбой, путями соблазна, еретическим чародейством. Таким образом отдали они иноплеменникам-туркам на поругание и греческое царство, и веру христианскую, и красоту церковную. А теперь сами же греки за гордость свою, за беззаконие, за свою лень откупают у турецкого царя веру христианскую: большой оброк платят они турецкому царю, а сами — за гордыню свою и за лень — в неволе живут у турецкого царя. Нанимаются греки и сербы пасти овец и верблюдов у турецкого царя, а знатные греки, так те торгуют».
Говорит Петръ, волоский воевода, с великими слезами про ту вѣру християнскую руского царьства. И просят у Бога всѣ, государь, во умножение вѣры християнския от восточнаго царьства, от рускаго царя благовѣрнаго и великого князя Ивана Васильевича всеа Русии. Тѣмъ царьством руским ныне и хвалится вся греческая вѣра, и надѣются от Бога великого милосердия и помощи Божии свободити руским царемъ от насильства турскаго царя-иноплемянника.[38]	С великим чувством говорит Петр, молдавский воевода, о вере христианской царства русского. И все просят Бога, государь, чтобы царство восточное и русский царь — благоверный и великий князь всея Руси Иван Васильевич — укрепили христианскую веру. Вся греческая вера гордится теперь этим русским царством, ожидая от Бога великого милосердия и помощи Божьей, чтобы освободиться с помощью русского царя от насилий турецкого царя-иноплеменника.
И говорит Петръ, волоский воевода: «Таковое силное, и славное, и всѣмъ богатое то царьство Московское! Есть ли в том царьстве правда?» Ино у него служит москвитинъ Васка Мерцалов, и он того спрашивал: «Ты гораздо знаешь про то царьство Московское, скажи ми подлинно!» И он стал сказывати Петру, волоскому воеводе: «Вѣра, государь, християнская добра, всѣмъ сполна и красота церковная велика, а правды нѣту».[39] Ктому Петръ волоский воевода заплакал и рекъ тако: «Коли правды нѣтъ, ино то и всего нѣту».	И говорит Петр, молдавский воевода: «Сильно и прославленно и всем богато это царство Московское! А есть ли в этом царстве правда?» А служит у него москвитянин Васька Мерцалов, и он спросил того: «Все ты знаешь о царстве том Московском, скажи мне истинно!» И стал тот говорить Петру, молдавскому воеводе: «Вера, государь, христианская добра, во всем совершенна, и красота церковная велика, а правды нет». Тогда Петр, молдавский воевода, заплакал и так сказал: «Коли правды нет, так ничего нет».
Тако говорит Петръ, волоский воевода: «Истинная правда Христос есть, сияет на всѣ небесныя высоты и на земныя ширины, на преисподния глубины многочисленно светлѣе солнца. Всѣ ему колѣна поклонилися небесныя и земныя, и преисподния, и всѣ его святое имя восхвалили и прославили, яко святъ Господь Богъ нашь, силен и крѣпок, и безсмертенъ, и велик Богъ християнский, и чюдна дѣла его, долготерпелив и многомилостивъ. И в котором царьстве правда, в том царстве и Богь пребывает и гнѣвъ Божий не воздвизается на то царьство. Нѣтъ сильнее правды в божественном Писании. Правда Богу сердечная радость, а царю великая мудрость и сила. Помилуй, Господь, вѣры християнския тоя от неправды. Тако боролся диявол всѣми неправдами з грѣки, не любячи вѣры християнския, для тово что вѣра християнская Богу люба; всѣхъ вѣръ лутчи, Богь ее любит, и диявол изборол всякою неправдою. Ино нынѣ на то надѣются, что пишут мудрыя философи и дохтуры о благовѣрном царѣ и великом князе Иване Васильевиче всеа Русии, что он будет мудръ и введет правду во свое царство».	И так еще говорит Петр, молдавский воевода: «Христос есть истинная правда, ярче солнца освещает он всю небесную высоту и земную ширину и бессчетные глубины преисподние. Поклонились ему все племена небесные, земные и преисподние, все восхвалили и восславили имя его святое, ибо свят Господь наш Бог, силен и крепок, и бессмертен, велик христианский Бог, и чудесны дела его, долготерпелив и многомилостив. В каком царстве правда, там и Бог пребывает, и не поднимается Божий гнев на это царство. Ничего нет сильнее правды в божественном Писании. Богу правда — сердечная радость, а царю — великая мудрость и сила. Помилуй, Господи, веру эту христианскую от их неправды. Так всею неправдою боролся с греками дьявол, ненавидя христианскую веру, потому что вера христианская Богу любезна: больше других вер любит ее Бог, а дьявол одолел всякой неправдой. Теперь только на то я надеюсь, что пишут мудрые философы и докторы о благоверном царе и великом князе всея Руси Иване Васильевиче, что будет он мудр и введет правду в свое царство».
И тако говорит Петръ, волоский воевода, и просит у Бога милости, моляся: «Боже, дай милосердие свое великое, чтобы та его мудрость не обинулася благовѣрнаго и великого царя, и толко бы по нашимъ грѣхом да не то царство руское осталося, и просияло вѣрою християнскою волное царство, и нам было нѣчим говорити греческой вѣре, яко жидом и ормяном нѣчим говорити, что нѣтъ у них волнаго царя и царства волнаго. А мы тѣмъ царством християнским руским греческой вѣре хвалимся». И тако говорит Петръ, волоский воевода: «Поблюди его, Господи, многолѣтно и на умножение вѣры християнской».	И так еще говорит Петр, молдавский воевода, и просит милости у Бога с молитвой: «Боже, дай милосердие свое великое, чтобы эта мудрость не покинула великого благоверного царя, и только бы, вопреки грехам нашим, устояло русское царство и просветилось верой христианской независимое царство, а нам не приходилось бы говорить греческой вере, как иудеям или армянам приходится говорить, что нет у них независимого царя и независимого царства. Мы же царством этим русским и христианским перед греческою верою гордимся». И так говорит Петр, молдавский воевода: «Сохрани его, Господи, на многие лета и на укрепление веры христианской».
Да о том добрѣ дивится Петръ, волоский воевода, и говорит так: «Великий государь, силный царь благовѣрный такия великия досады терпитъ от своего недруга от казанскаго царя.[40] Тот ему пущей недруг, казанской царь, не надобет ему тако много терпѣти. Так был Магмет-царь, салтан турской, к Царюграду дань давал, з благовѣрным царемъ жил в велии смирении и безбранно,[41] а отецъ его был разбойник на море и турскую землю осилел и засѣлъ,[42] и потом грѣх ради наших Магмет-салтан, турской царь, разбойнический род, асилел, Царьград взял и благовѣрнаго царя Констянтина потребил, и красоту церьковную обезчестил, и звон церковный поотнимал, и кресты с церквей поснимал, и образы чудотворные из церквей нечестно выносил, и в церквах мизгити подѣлал на свои скверныя молитвы».	И вот чему сильно удивляется Петр, молдавский воевода, и так говорит: «Великий государь, сильный и благоверный царь, столь большие терпит обиды от врага своего, царя казанского. Это ему самый злой враг, царь казанский, не надо ему столько терпеть. Так и царь Магомет, турецкий султан, платил дань Царьграду, с благоверным царем жил в полном мире без войн, но отец его был морской разбойник и землю Турецкую одолел и захватил, а после за грехи наши султан Магомет, царь турецкий, разбойничьего рода, накопил силы и занял Царьград, благоверного царя Константина погубил и красоту церквей обесчестил: истребил церковный звон, снял кресты с церквей, и с позором вынес он из церквей чудотворные иконы, а в церквах устроил мечети для своих скверных молитв».
И Петръ, волоский воевода, говорит и Бога молит: «Боже, поблюди и буди милостивъ над руским царем благовѣрным и великом княземъ Иваном Васильевичем всеа Русии, и над царством его, да не уловили бы его тако же велможи его вражбою от ереси своей и лукавъством своим, да не укротили бы его от воинства, бояйся смерти, чтобы имъ, богатым, не умирати. Якоже благовѣрнаго царя Констянтина Ивановича Царяграда велможи укротили от воинства вражбою ереси своея и ленивства ради лукавством своимъ, и онѣ царство вѣрное потеряли, царя благовѣрнаго потребили иноплемянническим мечем. Давно то не хвалят мудрыя философи, что которые велможеством к царю приближаются не от воинския выслуги и не от иныя которыя мудрости, ино про тѣ мудрыя философи говорят тако: «То есть чародѣи и еретики, у царя счастие отнимают и мудрость царьскую, и к себѣ царьское сердце зажигают ересью и чародѣйствомъ, и воинство кротят». И то говорит Петръ, волоский воевода: «Таковыхъ годится огнем жещи и иные лютые имъ смерти предавати, чтобы лиха не множилося. Без лица имъ вина, что воинство у царя кротят и мысль царьскую отнимают. А царю без воинства не мочно быти: ангели Божии, небесныя силы, и тѣ ни на един час пламенного оружия из рукъ своих не выпущают, стрегут рода християнского от Адама и до сего часа, да и тѣ службою своею не скучают. А царю как без воинъства быти? Воинником царь силенъ и славен. Царю быти благодатию Божиею и мудростию великою на царьстве своем, а до воинников быти аки отцу до детей своих щедру. Что царьская щедрость до воинников, то его и мудрость. Щедрая рука николиже не оскужает и славу себѣ великую збирает».	Так говорит Петр, молдавский воевода, и молит Бога: «Боже, сохрани и милостив будь к благоверному русскому царю великому князю всея Руси Ивану Васильевичу и к царству его, чтобы не уловили и его также вельможи еретической своей ворожбой и своим коварством, чтобы не укротили его воинственный дух, боясь смерти, чтобы им, богачам, не погибать. Вот ведь благоверного царя царьградского Константина Ивановича укротили вельможи воинственный дух еретической своей ворожбой и коварством от лени, так что потеряли они православное царство и царя благоверного сгубили мечом иноплеменника. Издавна не одобряют того мудрые философы, что иные становятся вельможами при царе не по своим военным заслугам, не по другим каким дарованьям, так что про таких так говорят мудрые философы: «Это чародеи и еретики, удачу отнимают у царя и царскую мудрость, ересью и чародейством распаляют на свою пользу царское сердце, а воинский дух укрощают». И еще говорит Петр, молдавский воевода: «Таких надо в огне сжигать и другим лютым смертям предавать, чтобы не умножились беды. Без меры и вина, что воинский дух царя укрощают и замыслы царские пресекают. А царю нельзя быть без воинского духа: ангелы Божьи, небесные силы, и те ни на один миг не выпускают из рук своих пламенное оружие, от Адама и доныне охраняют род христианский, — и те службой своей не томятся. А царю как без воинского духа быть? Воином силен и славен царь. Царь на престоле своем — благодать Божья и мудрость великая, а к воинам своим щедр, как отец к детям. Какова щедрость царя к воинам, такова и мудрость его. Щедрая рука никогда не оскудевает, а славу себе великую приобретает».
Да то говорит Петръ, волоский воевода: «У благовѣрного царя Констянтина во Царѣграде воинники оскужали и нищили, а мытари богатѣли. А иные воинники, видячи тот непризор благовѣрного царя к воинству, и онѣ оставивши воинство да на мытарствах прелщалися, и царьство Констянтиново оскужали и казну цареву. А сами мытари богатѣли: пошлют его гдѣ собрати царьския казны, ино на царя гдѣ взяти десять рублев, и онѣ на царя десять рублев возмутъ, а на себя по сту рублевъ. А хто их посылают, велможи царьския, и тѣ с ними, мытари, делилися, а царьство благовѣрного царя Констянтина оскужали и казну цареву, а сами богатѣли от крови от слез рода християнского. А велможи друг о друге печаловалися царю Констянтину о кормлениях, и о градѣхъ, и о намѣстничествѣ, яко голодны пси, хистяся на кровь и на слезы рода християнского. А царь все ихъ волю творилъ, во всемъ им сердце веселил и усобную войну на царство свое напущал велможъ своих, и всѣмъ Бога разгнѣвилъ».	И так еще говорит Петр, молдавский воевода: «У благоверного царя Константина беднели и нищали воины, а богатели сборщики налогов. И иные из воинов, видя это пренебрежение к воинству благоверного царя, оставляли военное дело и прельщались сбором налогов, разоряли царство царя Константина и царскую казну. Но сами сборщики богатели: пошлют его куда собирать в царскую казну, и где бы взять в пользу царя десять рублей, возьмет десять рублей в пользу царя, а сто рублей в свою пользу. А с теми, кто посылал их, с вельможами царскими, сборщики эти делились и разоряли царство благоверного царя Константина и царскую казну, и сами богатели на крови и слезах рода христианского. А вельможи друг перед другом выпрашивали у царя Константина кормления, города и наместничества, бросаясь, как голодные псы, на кровь и на слезы рода христианского. А царь во всем исполнял их волю, во всем веселил им сердце, так что впустил в свое царство междуусобную войну своих вельмож и во всем прогневил Бога».
Да тако рек Петръ, волоский воевода: «Суд был греческой неправеден, купля их была нечиста: купец не умѣл товару своему цены уставити. Первое душу продастъ, тоже и товаръ продастъ. Нечисто собрание их было. А велможи царьския на градѣхъ и на волостях домышлялися лукавством своим, дияволским прелщением: мертвых новопогребеных из гробов вынимали, да тѣ гробы порожни загребали, а того мертвеца рогатиною исколовши или саблею изсѣкши, да кровью вымажут, да богатому человѣку в дом подкинут. Да изца ему ябедника поставят, которой Бога не боится, да осудивши его неправеднымъ судом, да подворье его и богатество все разграбят. Нечисто богатѣли дияволским прелщением, а царьския грозы к ним не было. Всѣмъ Бога разгнѣвили. Ино про то Господь Богъ разгнѣвася на них неутолимым гнѣвом своим святымъ, посла на них плѣнъ иноплемянника Магметя салтана, турского царя, Амуратова сына от ниского колѣна разбойническаго роду, и Магмет-салтан потребивши Царьград и царя Констянтина вземши вѣру християнскую себѣ в мочь Богомъ выдана грѣхъ ради для их гордости, что они мир отбивали от царя жалобников к царю не припущали. А управы во царстве Констянтинове никому не было от велмож Констянтиновых. А они, велможи, сами обиду во царстве дѣлали и царство оскужали. То они не мир от царя отбивали и не жалобников, отбивали онѣ от царя Божие милосердие, да и отбили».	И так еще сказал Петр, молдавский воевода: «Суд был у греков неправедный, торговля у них была бесчестная: не мог купец товару своему назначить цену. Вперед душу свою продаст, потом и товар продаст. Бесчестно совершалось у них приобретение. А царские вельможи благодаря своему коварству и дьявольскому соблазну додумывались до того, что выкапывали только что захороненных покойников из могил, пустые могилы засыпали, а покойника, исколов рогатиной или разрубив саблей и измазав кровью, подбрасывали в дом богача. Потом выставят истца-клеветника, который Бога не боится, и, осудив неправедным судом, разграбят двор его и все богатство. По дьявольскому соблазну бесчестно они богатели, а царской власти над ними не было. Во всем гневили они Бога. Потому разгневался на них за это Господь Бог неутолимым и святым своим гневом, предал их в рабство иноплеменнику, турецкому царю султану Магомету, сыну Амурата, низкого разбойничьего рода, так что истребил султан Магомет Царьград и царя Константина и покорил своей власти веру христианскую, преданную Богом за грехи и за гордыню их, потому что отстраняли они от царя мир, не подпускали к нему жалобщиков. И никто не видел справедливости от вельмож в царстве Константина. Но сами они, вельможи, чинили в царстве притеснения и разоряли царство. Так что они не мир от царя отстраняли и не жалобщиков, отстраняли они от царя милосердие Божие, да и отстранили».
И тако рек Петръ, волоский воевода, со слезами радѣючи вѣре християнской: «По грѣхом по нашим сталося, что впали есми невѣрному в неволю иноплемяннику для беззакония великого греческаго, что греки тмы для да свѣтъ оставили, во всем вь ересь впали, Бога разгнѣвили неутолимым гнѣвом. И невѣрный иноплемянник, да познал силу Божию: Магмет-салтан, турской царь, взявши Царьград, да уставил правду и праведный суд, что Богъ любит, во всемъ царстве своем, и утѣшил Бога сердечною радостию. За то ему Богъ помогает: многия царства обладал Божиею помощию. А онъ великую правду во царство свое ввел и купцемъ куплю уставил купити и продати однѣм словом хотя на тысящу рублевъ. Да тако рек: «Дѣлайте правду во царстве моем богоданном. Видите вы то, иже Богъ любит правду, а за неправду гнѣвается неутолимым гнѣвом своим: како есть мнѣ, малому царю, выдал Богь великого царя. Держитеся заповеди Божии и наживайте в поте лица своего. Якоже отцу нашему первому приказал Богь Адаму, создав его и дав ему всю землю в мочь, и велѣлъ дѣлати землю и в поте лица ясти хлѣбъ, и Адам заповедь Божию исполнил, и нам такоже годится во всем Бога послушати, правдою сердечною ему радость воздати».	И так еще со слезами сказал Петр, молдавский воевода, радея о вере христианской: «И стало так по грехам нашим, что попали мы в рабство иноплеменнику за великое беззаконие греков, потому что оставили греки свет ради тьмы, впали в ересь во всем и прогневили Бога гневом неутолимым. А вот нехристь-иноплеменник, тот осознал Божью силу: султан Магомет, турецкий царь, захватив Царьград, во всем своем царстве установил справедливость и справедливый суд, какой любит Бог, и утешил Бога сердечной радостью. И за это помогает ему Бог: многими царствами завладел он с Божьей помощью. И вот он великую справедливость установил в своем царстве и снабдил уставом купеческий торг, так что только на слово можно и купить, и продать хоть на тысячу рублей. И так он сказал: «Творите правду в моем, Богом данном, царстве. Глядите же, как Бог любит правду, а за неправду гневается неутолимым гневом: ведь мне, невеликому царю, выдал Бог великого царя. Держитесь заповеди Божьей, наживайтесь в поте лица своего. Как наказал Бог нашему праотцу Адаму, когда создал его и дал ему во власть всю землю и велел обрабатывать землю и в поте лица своего есть хлеб, а Адам заповедь Божью исполнил, так и нам также нужно во всем слушаться Бога и правдою воздать ему сердечную радость».
И тако рек Петръ, волоский воевода: «Богъ не вѣру любит, правду. Истинная правда — Христосъ, Богь нашь, Сынъ Божий возлюбленный, в Троице едине божествѣ неразделимый, едино божество и сила. Да оставил нам Евангилие — правду, любячи вѣру християнскую надо всѣми вѣрами, указал путь Царства небеснаго. Греки Евангилие чли, а иныя слушали, а воли Божии не творили, на Бога хулу положили, вь ересь впали. И во всемъ диявол прелстил велмож Констянтиновых, всю его волю дияволскую творили и Бога прогнѣвали. И сами прелщалися, и царство Констянтиново все на прелщение привели, и потеряли вѣру християнскую. Тѣ же прелесники дияволскую волю творили. Коли Адама Господь Богъ из рая выгнал, а онъ заповедь Божию преступил и тогда диявол его искусил и запись на него взял,[43] — и Адам было во вѣки погинул. И Господь Богъ милосердие свое учинил волною страстию своею святою и Адама возвел изо ада, и рукописание растерзалъ. И един Богъ над всѣмъ свѣтом. То есть которыи записываются в работу во вѣки, прелщают, дияволу угожают, и которые прелщаются для свѣтлые ризы да во вѣки записываются в работу, — тѣмъ оба погибают во вѣки».	И так еще сказал Петр, молдавский воевода: «Не веру любит Бог, правду. Истинная правда — Христос, Бог наш, Сын Бога возлюбленный, нераздельный в божестве единой Троицы, едино божество и сила. И оставил он нам Евангелие — правду, а любя веру христианскую больше всех других вер, указал путь в Царство небесное. А греки читали Евангелие, иные же слушали, но Божьей воли не исполняли, возвели хулу на Бога и впали в ересь. Соблазнил дьявол вельмож Константина, исполнили они целиком дьявольскую волю, а Бога прогневили. Сами соблазнились и царство Константина на соблазн навели, а веру христианскую потеряли. Они же, прельстители, дьявольскую волю исполняли. Когда Господь Бог изгнал Адама из рая — ведь он заповедь Божью нарушил, а дьявол тогда подверг его искушению и расписку с него взял, — то навеки было погиб Адам. Но проявил свое милосердие Господь Бог своими добровольными страданиями, извел Адама из ада и расписку разорвал. Над всем миром один Бог. А есть такие, кто расписывается в рабстве навеки тем, что прельщают и дьяволу угождают, и такие, кто прельщается на блистательные одеяния и тоже расписывается в рабстве навеки, — и те и другие гибнут навеки».
И тако рек Петръ, волоский воевода: «Которая земля порабощена, в той землѣ все зло сотворяются: татба, и разбой, и обида, и всему царьству великое оскужение, всѣмъ Бога гнѣвят, дияволу угожают. Ино у благовѣрнаго царя Констянтина велможи его всѣмъ тѣмъ беззаконием исполнилися и Бога разгнѣвили, ино у нихъ живыи мертвым завидовали, а волные порабощенным от велмож Констянтиновых. А благовѣрнаго царя Констянтина осѣтили кудесы и уловили вражбами, и мудрость воинскую отлучили, и богатырство ево укротили, и меч царской воинской отъпустили, и учинили в беспутном его житие. Имянем было царьским немочно никому прожити, ни главы из дому выклонити, ни версты переѣхати от обиды от велмож его: все царство заложилося за велмож его[44] и слыли ихъ имянем для прожитку, ждучи мудрости царьския, и не дождалися. А того греки забыли, знамение Господь Богъ показал над фараоном, царем египетским, что морем потопил его и со всѣми велможи его для того, что он было поработил израилтян. Ино то есть знамение великое от Бога: гордости не любит Господь и порабощения. А греки за то же погибли — за гордость и за порабощение. А израилтян умножилося и загордѣли, и Бога забыли, и погинули в неволю, и в разсѣянии бысть, и царства волнаго нѣсть им. И не познали Сына Божия Христа, Царя небеснаго, и сердце ихъ окаменело з гордости».	И так еще сказал Петр, молдавский воевода: «Если какая земля находится в порабощении, все зло творится в этой земле: воровство, разбой, притеснения, великое разоренье всему царству, во всем там гневят Бога, а угождают дьяволу. Так и у царя благоверного Константина наполнились вельможи всеми этими беззакониями и прогневили Бога, так что из-за вельмож Константина живые у них завидовали мертвым, а свободные — рабам этих вельмож. А благоверного царя Константина опутали колдовством и изловили ворожбой, воинского духа его лишили и богатырскую силу его укротили, заставили выпустить царский воинский меч, а жизнь его сделали беспутной. Из-за утеснений вельмож царским именем никому нельзя было прожить, даже носу из дому высунуть или версты проехать: все царство пошло к вельможам его в закладники, чтобы выжить, их именами звались, ожидая царской мудрости, да не дождались. А забыли про то греки, что показал Господь Бог знамение на фараоне, египетском царе, когда его и вельмож его утопил в море за то, что обратил он в рабство израильтян. Так что великое это знаменье от Бога: не любит Господь гордыни и рабства. За это же и греки погибли: за гордыню и рабство. А израильтяне усилились и возгордились, забыли Бога и погибли в неволе и рассеянии, нет у них независимого царства. И Сына Божия — Христа, Царя небесного, не признали они, так окаменело в гордыни их сердце».
И тако рек Петръ, волоский воевода: «Видячи, да погибают, иже гордым Господь Богъ противляется и неутолимый на них гнѣвъ пущает за неправду их. А правду Господь любит, силнѣе всего правда. Турской царь Магмет-салтан правду великую во царство свое ввел, хотя иноплемянникъ, да сердечную радость Богу воздал. Аще бы к той правдѣ вѣра християнская, ино бы с ними ангели бесѣдовали».	И так еще сказал Петр, молдавский воевода: «Видим мы, как они гибнут, ибо враждебен Господь Бог гордым, обращает на них за неправду неутолимый гнев. А правду любит Господь, правда сильнее всего. Турецкий царь султан Магомет великую правду ввел в царстве своем, хоть иноплеменник, а доставил Богу сердечную радость. Вот если б к той правде да вера христианская, то бы и ангелы с ними в общении пребывали».
Да тако рек Петръ, волоский воевода, про Казанское царство: «Естьли хотѣлъ, взем Бога на помощь, Казанского царства добыти, ино себя не пощадити ни в чемъ, послати войско на Казань, возрастивши им сердца воиником своим царьским жалованьемъ и алафою, и привѣтом добрым, а иныя воиники удалыя послати на улусы казанския, да велѣти улусы жечи, а людей сѣчи и пленити, так Богъ помилует и помощь свою святую дает. Аще возмет ихъ, да крестит, то и крѣпко будет. Да слышал есми про ту землицу, про Казанское царьство у многих воинников, которые в том царстве в Казанском были, что про нее говорят, применяют ее под райской землѣ угодием великимъ. Да тому велми дивимся, что та земля не велика и угодна велми у таково у великово у силново царя под пазухою в недружбе, а онъ ей долго терпит и кручину от них великую приимает. Хотя бы та землица и в дружбе была, ино бы ей не мочно терпѣть за такое угодье».	А о Казанском царстве так сказал Петр, молдавский воевода: «Если хотеть с Божьей помощью добыть Казанское царство, нужно без снисхождения к себе послать к Казани войска, ободрив сердца им, воинам, царским жалованьем, дарами и доброй заботой, а других удалых воинов послать в казанские улусы с приказом улусы жечь, а людей рубить и в плен брать, тогда смилуется Бог и подаст свою святую помощь. А как захватит их, пусть крестит: это надежно. А слыхивал я про эту землицу, про царство Казанское, от многих воинов, которые в этом Казанском царстве бывали, что говорят они про нее и сравнивают ее с райской землей по большому плодородию. И мы сильно удивляемся тому, что столь небольшая и очень плодородная земля, почти за пазухой у такого великого и сильного царя, а не усмирена, и он все это терпит, а ему от них большие неудобства. А хоть бы такая землица и смирилась, все равно за ее плодородие нельзя было бы так оставить».
Государь, благовѣрный царь и великий князь Иванъ Васильевич всеа Русии! Был есми в Сочаеве у Петра, волосково воеводы, пять мѣсяць холоп твой Ивашко, Семенов сынъ, Пересвѣтов и видел есми мудрость великую. И тѣ рѣчи говорит от научения вѣры мудрости философьския, занеже государь сам Петръ ученый философъ и дохтур мудрый. Служили ему многия люди философи мудрыя и говорили про твое царское прирожение по небесному знамению, что быти тебѣ государю великому и покорит ти Богъ недруги твои тебѣ, государю. Божиею помощию, дочлися в книгахъ, что обладати тебѣ многии царства.	Государь благоверный царь и великий князь всея Руси Иван Васильевич! Был я, холоп твой, Ивашка, сын Семена, Пересветов, в Сочаве у Петра, молдавского воеводы, пять месяцев и насмотрелся я на великую мудрость. Изречения эти произносит он от наставлений веры и от философской мудрости, потому как, государь, Петр и сам ученый философ и мудрый доктор. А ему служили многие люди, мудрые философы, и прорекли они по небесным знаменьям про царственное твое предназначение, что будешь ты великим государем, и тебе, государь, Бог покорит врагов твоих. Вычитали они с Божьей помощью в книгах, что будешь ты владеть многими царствами.
Толко, государь, то начитают в своих мудрыхъ книгах в видоцѣях,[45] что будет на тебя на государя уловление, яко на царя на Констянтина царяградскаго от вражбы и от кудес, то знаменуется у них укрочение воинству твоему мудрому. Будут доходити велможи твои любви твоея царския с вражбами, и с кудесы, и с прелестными путми ни по роду, ни по вотчине, ни по воинству, ни по мудрости, которая бы мудрость пригодилося тебѣ, государю, и славе твоей царьской, и в твоем царстве государеве. И то они начитают, что тѣми кудесы и вражбамы твою мудрость, от Бога прироженную, и счастье отнимают, и воинство кротят, к чему тебя, благовѣрнаго царя, Богъ природил, а велможи твои к собѣ сердце твое разжигают и великую любовь, и не мошно от них часу отбыти. И видел есми государь, что Петръ, волоский воевода, стал пред образом пречистые Владычицы Богородицы молитися со слезами о твоем многолѣтном здравии, чтобы свершил Господь Богь твое царское прирожение к воинству счасливое во умножение вѣры християнской, во исполнение правды в твоем царьстве, как ихъ имъ книги указывают о твоем царском прирожении по небесному знамению, и от ловления вражбы, а твоихъ велмож и от кудесов всякихъ Богь избавит своею святою великою милостию, чтобы его не оминуло царьское от Бога мудрое прирожение и счастливому к воинъству, к чему его Бог природил. Тако рек Петръ, волоской воевода: «Толко его Богъ соблюдет от того уловления велмож его, ино таковаго под всею подсолничною не будетъ мудраго воина и счастливаго к воинству. Введет во царьство свое великую правду и утѣшит Бога сердечною радостию, и за то ему Господь Богъ многия царства покорит».	Однако, государь, прочитывают они в своих мудрых книгах и гороскопах, что будут тебя, государь, уловлять ворожбой и колдовством, как царьградского царя Константина, обозначено у них и укрощение воинского твоего духа. Будут добиваться твои вельможи твоей царской любви ворожбой, колдовством и путями соблазна, но ни родом, ни происхождением, ни воинским духом, ни мудростью, а мудрость бы эта понадобилась тебе, царю, и твоей славе царской в твоем царстве-государстве. Прочитывают они и то, что этим колдовством и ворожбой лишают тебя твоей мудрости, Богом данной, и удачи, укрощают дух твой воинский, для чего тебя, благоверного царя, создал Бог, а вельможи твои к себе склоняют твое сердце великой любовью, так что без них не можешь ты и часа быть. И видел я, государь, что Петр, молдавский воевода, встал перед образом пречистой Владычицы нашей Богородицы со слезами помолиться о многолетнем здравии твоем, чтобы исполнил Господь Бог твое царское счастливое и мудрое предназначение к воинским делам для укрепления христианской веры, для наполнения правдой твоего царства, как указывают им по небесным знакам их книги о царском твоем предназначении, чтобы избавил тебя Бог своей святой и великой милостью от вражеских уловок твоих вельмож и от всякого колдовства, чтобы не покинуло тебя мудрое от Бога царское предназначение к удачным военным делам, на что создал тебя Бог. Так сказал Петр, молдавский воевода: «Если только сохранит его Бог от уловок вельмож его, по всей вселенной не будет такого мудрого воина и счастливого в военных делах. Тогда введет он в царстве своем великую справедливость и утешит Бога сердечной радостью, а за это Господь Бог подчинит ему многие царства».
А меня, холопа твоего, Ивашка, Семенова сына, Пересвѣтова унимал у себя служити Петръ волоский воевода, а яз, холопъ твой государевъ, слышачи таковыя рѣчи мудрыхъ людей и у великихъ многихъ дохтуровъ и философовъ про тебя, великого государя, и про твое царьское от Бога мудрое прирожение и счастливое к воинству и, оставивши службы богатыя и безкручинныя, аз выехал к тебѣ, государю благовѣрному царю, служити с тѣми речми и з дѣлы с воинскими. Как тебѣ, государю, полюбится службишко мое холопа твоего?	И меня, холопа твоего, Ивашку, сына Семена, Пересветова, удерживал у себя на службе Петр, молдавский воевода, но я, твой государев холоп, услышав такие изречения мудрых людей и многих великих докторов и философов о тебе, великом государе, о твоем царственном и мудром божественном предназначении и удаче в военных делах, оставил доходную и беспечальную службу и прибыл к тебе, государь благоверный царь, послужить теми изречениями и военными бумагами. Как тебе, государь, нравится услуга моя, твоего холопа?
