СЪКАЗАНИЕ И СТРАСТЬ И ПОХВАЛА СВЯТЮЮ МУЧЕНИКУ БОРИСА ИГЛѢБА	СКАЗАНИЕ И СТРАДАНИЕ И ПОХВАЛА МУЧЕНИКАМ СВЯТЫМ БОРИСУ ИГЛЕБУ
Блаженаагоже Бориса обьртѣвъше въ шатьръ възложивъше на кола, повезоша. И яко быша набору, начатъ въскланяти святую главу свою. И се увѣдѣвъ Святоплъкъ, пославъ дваваряга и прободоста и́ мечьмь въ сьрдьце. И тако съконьчася и въсприятънеувядаемый вѣньць. И положиша тѣло его принесъше Вышегороду у цьркъве святаагоВасилия въ земли погребоша.	Блаженногоже Бориса, обернув в шатер, положили на телегу и повезли. И когда ехали бором,начал приподнимать он святую голову свою. Узнав об этом, Святополк послал двухварягов, и те пронзили Бориса мечом в сердце. И так скончался, воспринявнеувядаемый венец. И, принесши тело его, положили в Вышгороде и погребли вземле у церкви святого Василия.
И не досего остави убийства оканьный Святопълкъ, нъ и на большая неистовяся, начатъпростиратися. И яко видѣся желание сьрдьце своего уже улучивъ, абие невъспомяну зълааго своего убийства и многааго убо съблажнения, и ни малы понѣ напокаяние преклонися. Нъ ту абие въниде въ сьрдьце его сотона и начаты и́пострѣкати вящьша и горьша съдѣяти и множайша убийства. Глаголааше бо въ душисвоей оканьнѣй: «Что сътворю? Аще бо до сьде оставлю дѣло убийства моего, тодъвоего имамъ чаяти: яко аще услышать мя братия моя, си же варивъше въздадятьми и горьша сихъ. Аще ли и не сице, то да ижденуть мя и буду чюжь престолаотьца моего, и жалость землѣ моея сьнѣсть мя, и поношения поносящиихъ нападутьна мя, и къняжение мое прииметь инъ и въ дворѣхъ моихъ не будеть живущааго.Зане егоже Господь възлюби, а азъ погнахъ и къ болѣзни язву приложихъ, приложюкъ безаконию убо безаконие. Обаче и матере моея грѣхъ да не оцѣститься исъ правьдьныими не напишюся, нъ да потреблюся отъ книгъ живущиихъ». Якоже ибысть, еже послѣди съкажемъ. Нынѣ же нѣсть время, нъ на предълежащеевъзвратимъся.	И неостановился на этом убийстве окаянный Святополк, но в неистовстве своем сталготовиться на большее преступление. И увидев осуществление заветного желания своего,не думал о злодейском своем убийстве и о тяжести греха, и нимало не раскаивалсяв содеянном. И тогда вошел в сердце его сатана, начав подстрекать на ещебольшие злодеяния и новые убийства. Так говорил в душе своей окаянной: «Чтосделаю? Если остановлюсь на этом убийстве, то две участи ожидают меня: когдаузнают о случившемся братья мои, то, подстерегши меня, воздадут мне горшесодеянного мною. А если и не так, то изгонят меня и лишусь престола отца моего,и сожаление по утраченной земле моей изгложет меня, и поношения поносящихобрушатся на меня, и княжение мое захватит другой, и в жилищах моих неостанется живой души. Ибо я погубил возлюбленного Господом и к болезни добавилновую язву, добавлю же к беззаконию беззаконие. Ведь и грех матери моей не проститсяи с праведниками я не буду вписан, но изымется имя мое из книг жизни». Так ислучилось, о чем после поведаем. Сейчас же еще не время, а вернемся к нашемурассказу.
И си на умѣси положивъ, зълый съвѣтьникъ дияволь, посла по блаженааго Глѣба рекъ: «Придивъбързѣ. Отьць зоветь тя и несъдравить ти вельми».	И, замысливэто, злой дьявола сообщник послал за блаженным Глебом, говоря: «Приходи немедля. Отец зовет тебя, тяжко болен он».
Онъ жевъбързѣ, въ мале дружинѣ, въсѣдъ на конь поѣха. И пришедъ на Вългу, на полепотъчеся подъ нимь конь въ ровѣ, и наломи ногу малы. И яко приде Смолиньску ипоиде отъ Смолиньска, яко зьрѣимъ едино, ста на Смядинѣ[29] въ кораблици. И въ се время пришьлабяаше вѣсть отъ Передъславы[30]къ Ярославу о отьни съмьрти. И присла Ярославъ къ Глѣбу река: «Не ходи, брате!Отьць ти умьрлъ, а братъ ти убиенъ отъ Святопълка».	Глеб быстрособрался, сел на коня и отправился с небольшой дружиной. И когда пришли наВолгу, в поле оступился под ним конь в яме, и повредил слегка ногу. А какпришел Глеб в Смоленск, отошел от Смоленска недалеко и стал на Смядыни, владье. А в это время пришла весть от Предславы к Ярославу о смерти отца. ИЯрослав прислал к Глебу, говоря: «Не ходи, брат! Отец твой умер, а брат твойубит Святополком».
И сиуслышавъ блаженый възъпи плачьмь горькыимь и печалию сьрдьчьною и сицеглаголааше: «О увы мнѣ, господине мой, отъ двою плачю плачюся и стеню, дъвоюсѣтованию сѣтую и тужю. Увы мнѣ, увы мнѣ! Плачю зѣло по отьци, паче же плачюсяи отъчаяхъся по тебе, брате и господине Борисе. Како прободенъ еси, како безмилости прочее съмрьти предася, како не отъ врага, нъ отъ своего брата пагубувъсприялъ еси? Увы мнѣ! Уне бы съ тобою умрети ми, неже уединену и усирену отътебе въ семь житии пожити. Азъ мнѣхъ въбързѣ узьрѣти лице твое ангельское, тисе селика туга състиже мя, и уне бы ми съ тобою умрети, господине мой!Нынѣ же что сътворю азъ, умиленый, очюженый отъ твоея доброты и отъ отьца моегомъногааго разума? О милый мой брате и господине! Аще еси уполучилъ дрьзновениеу Господа, моли о моемь унынии, да быхъ азъ съподобленъ ту же страсть въсприятии съ тобою жити, неже въ свѣтѣ семь прельстьнѣмь».	И, услышавэто, блаженный возопил с плачем горьким и сердечной печалью, и так говорил: «О,увы мне, Господи! Вдвойне плачу и стенаю, вдвойне сетую и тужу. Увы мне, увымне! Плачу горько по отце, а еще горше плачу и горюю по тебе, брат и господинмой, Борис. Как пронзен был, как без жалости убит, как не от врага, но отсвоего брата смерть воспринял? Увы мне! Лучше бы мне умереть с тобою, нежелиодинокому и осиротевшему без тебя жить на этом свете. Я-то думал, что скороувижу лицо твое ангельское, а вот какая беда постигла меня, лучше бы мне стобой умереть, господин мой! Что же я буду делать теперь, несчастный, лишенныйтвоей доброты и многомудрия отца моего? О милый мой брат и господин! Если твоимолитвы доходят до Господа, — помолись о моей печали, чтобы и я сподобилсятакое же мучение восприять и быть с тобою, а не на этом суетном свете».
И сице емустенющю и плачющюся и сльзами землю омачающю съ въздыхании частыими Богапризывающю, приспѣша вънезапу посълании отъ Святопълка зълыя его слугы,немилостивии кръвопийцѣ, братоненавидьници люти зѣло, сверѣпа звѣри душю имущю.	И когда онтак стенал и плакал, орошая слезами землю и призывая Бога с частыми вздохами,внезапно появились посланные Святополком злые слуги его, безжалостныекровопийцы, лютые братоненавистники с душою свирепых зверей.
Святый жепоиде въ кораблици и сърѣтоша и́ устие Смядины. И яко узьрѣ я святый,въздрадовася душею, а они узьрѣвъше и омрачаахуся и гребяахуся к нему, а сьцѣлования чаяяше отъ нихъ прияти. И яко быша равьно пловуще, начаша скакатизълии они въ лодию его, обнажены меча имуще въ рукахъ своихъ, бльщащася, акывода. И абие вьсѣмъ весла отъ руку испадоша, и вьси отъ страха омьртвѣша. Си видѣвъблаженый, разумѣвъ яко хотять его убити, възьрѣвъ къ нимъ умиленама очима исльзами лице си умывая, съкрушенъмь срьдьцьмь, съмѣренъмь разумъмь и частыимьвъздыханиемь, вьсь сльзами разливаяся, а тѣлъмъ утьрпая, жалостьно гласъиспущааше: «Не дѣите мене, братия моя милая и драгая! Не дѣите мене, ни ничтоже вы зъла сътворивъша! Не брезѣте, братие и господье, не брезѣте! Кую обидусътворихъ брату моему и вамъ, братие и господье мои? Аще ли кая обида, ведѣтемя къ князю вашему, а къ брату моему и господину. Помилуйте уности моеѣ,помилуйте, господье мои! Вы ми будѣте господие мои, а азъ вамъ рабъ. Непожьнете мене отъ жития не съзьрѣла, не пожьнѣте класа, не у же съзьрѣвъша, нъмлеко безълобия носяща! Не порѣжете лозы не до коньца въздрастъша, а плодъимуща! Молю вы ся и милъ вы ся дѣю. Убойтеся рекъшааго усты апостольскы: “Недѣти бывайте умы, зълобиемь же младеньствуйте, а умы съвьршени бывайте”.[31] Азъ, братие, и зълобиемь ивъздрастъмь еще младеньствую. Се нѣсть убийство, нъ сырорѣзание! Чьто зълосътворихъ съвѣдѣтельствуйте ми, и не жалю си. Аще ли кръви моеѣ насытитисяхочете, уже въ руку вы есмь, братие, и брату моему, а вашему князю».	Святой жеплыл в это время в ладье, и они встретили его в устье Смядыни. И когда увиделих святой, то возрадовался душою, а они, увидев его, помрачнели и стали грестик нему, и подумал он — приветствовать его хотят. И, когда поплыли рядом, начализлодеи перескакивать в ладью его с блещущими, как вода, обнаженными мечами вруках. И сразу у всех весла из рук выпали, и все помертвели от страха. Увидевэто, блаженный понял, что хотят убить его. И, глядя на убийц кротким взором,омывая лицо свое слезами, смирившись, в сердечном сокрушении, трепетно вздыхая,заливаясь слезами и ослабев телом, стал жалостно умолять: «Не трогайте меня,братья мои милые и дорогие! Не трогайте меня, никакого зла вам не причинившего!Пощадите, братья и повелители мои, пощадите! Какую обиду нанес я брату моему ивам, братья и повелители мои? Если есть какая обида, то ведите меня к князювашему и к брату моему и господину. Пожалейте юность мою, смилуйтесь,повелители мои! Будьте господами моими, а я буду вашим рабом. Не губите меня, вжизни юного, не пожинайте колоса, еще не созревшего, соком беззлобия налитого!Не срезайте лозу, еще не выросшую, но плод имеющую! Умоляю вас и отдаюсь навашу милость. Побойтесь сказавшего устами апостола: “Не будьте детьми умом: надело злое будьте как младенцы, а по уму совершеннолетни будьте”. Я же, братья,и делом и возрастом молод еще. Это не убийство, но живодерство! Какое злосотворил я, скажите мне, и не буду тогда жаловаться. Если же кровью моейнасытиться хотите, то я, братья, в руках ваших и брата моего, а вашего князя».
И не понѣединого словесе постыдѣшася, нъ яко же убо сверѣпии звѣрие, тако въсхытиша его.Онъ же видѣвъ, яко не вънемлють словесъ его, начатъ глаголати сице: «Спасися,милый мой отьче и господине Василие, спасися, мати и госпоже моя, спасися и ты,брате Борисе, старѣйшино уности моея, спасися и ты, брате и поспѣшителюЯрославе, спасися и ты, брате и враже Святопълче, спасетеся и вы, братие идружино, вьси спасетеся! Уже не имамъ васъ видѣти въ житии семь, занеразлучаемъ есмь отъ васъ съ нужею». И глаголааше плачася: «Василие, Василие,отьче мой и господине! Приклони ухо твое и услыши гласъ мой, и призьри и вижьприключьшаяся чаду твоему, како без вины закалаемъ есмь. Увы мнѣ, увы мнѣ!Слыши небо и вънуши земле. И ты, Борисе брате, услыши гласа моего. Отьца моегоВасилия призъвахъ и не послуша мене, то ни ты не хочеши мене послушати? Вижьскьрбь сьрдьца моего и язву душа моея, вижь течение сльзъ моихъ, яко рѣку! Иниктоже не вънемлеть ми, нъ ты убо помяни мя о мнѣ къ обьщему Владыцѣ, яко имѣядьрзновение и престоя у престола его».	И ни единоеслово не устыдило их, но как свирепые звери напали на него. Он же, видя, что невнемлют словам его, стал говорить: «Да избавятся от вечных мук и любимый отецмой и господин Василий, и мать госпожа моя, и ты, брат Борис, — наставник юностимоей, и ты, брат и пособник Ярослав, и ты, брат и враг Святополк, и все вы,братья и дружина, пусть все спасутся! Уже не увижу вас в жизни сей, иборазлучают меня с вами насильно». И говорил плача: «Василий, Василий, отец мой игосподин! Преклони слух свой и услышь глас мой, посмотри и узри случившееся ссыном твоим, как ни за что убивают меня. Увы мне, увы мне! Услышь, небо, ивнемли, земля! И ты, Борис брат, услышь глас мой. Отца моего Василия призвал, ине внял он мне, неужели и ты не хочешь услышать меня? Погляди на скорбь сердцамоего и боль души моей, погляди на потоки слез моих, текущих как река! И никтоне внемлет мне, но ты помяни меня и помолись обо мне перед Владыкой всех, иботы угоден ему и предстоишь пред престолом его».
И начатъ,преклонь колѣнѣ, молитися сице: «Прещедрый и премилостиве Господи! Сльзъ моихъне премълчи, нъ умилися на мое уныние. Вижь съкрушение сьрдьца моего: се бозакалаемъ есмь, не вѣмь, чьто ради, или за котерую обиду не съвѣдѣ. Ты вѣси,Господи, Господи мой! Вѣмь тя рекъша къ своимъ апостоломъ яко: “За имя мое,мене ради възложать на вы рукы, и предани будете родъмь и другы, и братъ братапредасть на съмьрть и умьртвять вы имене моего ради”.[32] И пакы: “Въ тьрпѣнии вашемъ сътяжитедуша ваша”.[33]Вижь, Господи, и суди: се бо готова есть душа моя предъ тобою, Господи! И тебеславу въсылаемъ, Отьцю и Сыну и Святууму Духу, нынѣ и присно и въ вѣкы вѣкомъ.Аминь».	И,преклонив колени, стал молиться: «Прещедрый и премилостивый Господь! Не презрислез моих, смилуйся над моей печалью. Воззри на сокрушение сердца моего:убивают меня неведомо за что, неизвестно, за какую вину. Ты знаешь, ГосподиБоже мой! Помню слова, сказанные тобою своим апостолам: “За имя мое, меня радиподнимут на вас руки, и преданы будете родичами и друзьями, и брат братапредаст на смерть, и умертвят вас ради имени моего”. И еще: “Терпениемукрепляйте души свои”. Смотри, Господи, и суди: вот готова моя душа предстатьпред тобою, Господи! И тебе славу возносим, Отцу и Сыну и Святому Духу, ныне иприсно и во веки веков. Аминь».
Тачевъзьрѣвъ къ нимъ умиленъмь гласъмь и измълкъшьмь грьтаньмь рече: «То ужесътворивъше приступльше сътворите, на не же посълане есте!»	Потомвзглянул на убийц и промолвил жалобным и прерывающимся голосом: «Раз уж начали,приступивши, свершите то, на что посланы!»
Тъгдаоканьный Горясѣръ повелѣ зарѣзати и́ въбързѣ. Поваръ же Глѣбовъ, именьмьТърчинъ, изьмъ ножь и, имъ блаженааго, и закла ̀и яко агня непорочьно ибезлобиво, мѣсяца септября въ 5 дьнь, въ понеделникъ.	Тогдаокаянный Горясер приказал зарезать его без промедления. Повар же Глебов, поимени Торчин, взял нож и, схватив блаженного, заклал его, как агнца непорочногои невинного, месяца сентября в 5-й день, в понедельник.
И принесесяжьртва чиста Господеви и благовоньна, и възиде въ небесныя обители къ Господу,и узьрѣ желаемааго си брата и въсприяста вѣньца небесныя егоже ивъжелѣста, и въздрадовастася радостию великою неиздреченьною, юже и улучиста.	И былапринесена жертва Господу чистая и благоуханная, и поднялся в небесные обители кГосподу, и свиделся с любимым братом, и восприняли оба венец небесный, ккоторому стремились, и возрадовались радостью великой и неизреченной, которуюполучили.
Оканьнии жеони убойцѣ възвративъшеся к посълавъшюуму ̀я, якоже рече Давыдъ: «Възвратятьсягрѣшьници въ адъ и вьси забывающии Бога».[34]И пакы: «Оружие извлекоша грѣшьници, напрягоша лукъ свой заклати правыясьрдьцьмь и оружие ихъ вънидеть въ сьрдьца их, и луци ихъ съкрушаться,яко грѣшьници погыбънуть».[35]И яко съказаша Святопълку, яко «сътворихомъ повеленое тобою», и си слышавъ,възнесеся срьдьцьмь, и събысться реченое псалмопѣвьцемь Давыдъмь: «Чьто сяхвалиши сильный о зълобѣ? Безаконие вь сь дьнь неправьду умысли языкъ твой.Възлюбилъ еси зълобу паче благостынѣ, неправьду неже глаголаати правьду.Възлюбилъ еси вься глаголы потопьныя и языкъ льстьвъ. Сего ради раздрушить тяБогъ до коньца, въстьргнеть тя и преселить тя отъ села твоего, и корень твойотъ земля живущихъ».[36]	Окаянные жеубийцы возвратились к пославшему их, как говорил Давид: «Возвратятся нечестивыево ад и все забывающие Бога». И еще: «Обнажают меч нечестивые и натягивают луксвой, чтобы поразить идущих прямым путем, но меч их войдет в их же сердце, илуки их сокрушатся, а нечестивые погибнут». И когда сказали Святополку, что«исполнили повеление твое», то, услышав это, вознесся он сердцем, и сбылосьсказанное псалмопевцем Давидом: «Что хвалишься злодейством сильный? Беззакониев сей день, неправду замыслил язык твой. Ты возлюбил зло больше добра, большеложь, нежели говорить правду. Ты возлюбил всякие гибельные речи, и язык твойльстивый. Поэтому Бог сокрушит тебя до конца, изринет и исторгнет тебя изжилища твоего и род твой из земли живых».
Убиену жеГлѣбови и повьржену на пустѣ мѣстѣ межю дъвѣма колодама.[37] И Господь не оставляяй своихъ рабъ,якоже рече Давыдъ: «Хранить Господь вься кости ихъ, и ни едина отъ нихъсъкрушиться».[38]	Когда убилиГлеба, то бросили его в пустынном месте меж двух колод. Но Господь, неоставляющий своих рабов, как сказал Давид, «хранит все кости их, и ни одна изних не сокрушится».
И сему убосвятууму лежащю дълго время, не остави въ невѣдѣнии и небрежении отинудьпребыти неврежену, нъ показа: овогда бо видѣша стълпъ огньнъ, овогда свѣщѣгорущѣ и пакы пѣния ангельская слышааху мимоходящии же путьмь гостие, ини же,ловы дѣюще и пасуще.	И этогосвятого, лежавшего долгое время, не оставил Бог в неведении и небрежении, носохранил невредимым и явлениями ознаменовал: проходившие мимо этого местакупцы, охотники и пастухи иногда видели огненный столп, иногда горящие свечиили слышали ангельское пение.
Си жевидяще и слышаще, не бысть памяти ни единому же о възискании телесе святааго,дондеже Ярославъ, не тьрпя сего зълааго убийства, движеся на братоубийца оного,оканьньнааго Святоплъка и брани мъногы съ нимь съставивъ. И вьсегда пособиемьБожиемь и поспѣшениемь святою, побѣдивъ елико брани състави, оканьныйпосрамленъ и побѣженъ възвращаашеся.	И ниединому, видевшему и слышавшему это, не пришло на ум поискать тело святого,пока Ярослав, не стерпев сего злого убийства, не двинулся на братоубийцуокаянного Святополка и не начал с ним жестоко воевать. И всегда соизволениемБожьим и помощью святых побеждал в битвах Ярослав, а окаянный бывал посрамлен ивозвращался побежденным.
Прочее жесь трьклятый прииде съ множьствъмь печенѣгъ, и Ярославъ, съвъкупивъ воя, изидепротиву ему на Льто и ста на мѣстѣ, идеже бѣ убиенъ святый Борисъ. И въздѣвъруцѣ на небо и рече: «Се кръвь брата моего въпиеть къ тебе, Владыко, якоже и Авелевапреже.[39]И ты мьсти его, якоже и на ономь положи стонание и трясение[40] на братоубиици Каинѣ. Ей, молю тя,Господи, да въсприиметь противу тому». И помолися и рек: «О,брата моя, аще и тѣлъмь ошьла еста, нъ благодатию жива еста и Госповедипредъстоита и молитвою помозѣта ми!»	И вотоднажды этот треклятый пришел со множеством печенегов, и Ярослав, собраввойско, вышел навстречу ему на Альту и стал в том месте, где был убит святойБорис. И, воздев руки к небу, сказал: «Кровь брата моего, как прежде Авелева,вопиет к тебе, Владыка. И ты отомсти за него и, как братоубийцу Каина, повергниСвятополка в ужас и трепет. Молю тебя, Господи, — да воздается ему за это». Ипомолился и сказал: «О, братья мои, хотя телом вы и отошли отсюда, ноблагодатию живы и предстоите перед Господом и своей молитвой поможете мне!»
И си рекъ,и поидоша противу собѣ и покрыша поле Льтьское множьствъмь вои. И съступишася,въсходящю сълнцю, и бысть сѣча зла отинудь и съступашася тришьды, и бишасячересъ дьнь вьсь, и уже къ вечеру одолѣ Ярославъ, а сь оканьныий Святопълкъпобѣже. И нападе на нь бѣсъ, и раслабѣша кости его, яко не мощи ни на конисѣдѣти, и несяхуть его на носилѣхъ. И прибѣгоша Берестию[41] съ нимъ. Онъ же рече: «Побѣгнѣте,осе женуть по насъ!» И посылахуть противу, и не бѣ ни гонящааго, ни женущааговъ слѣдъ его. И, лежа въ немощи, въсхопивъся глаголааше: «Побѣгнѣмы еще,женуть! Охъ мнѣ!» И не можааше тьрпѣти на единомь мѣстѣ, и пробѣже Лядьскуземлю гонимъ гнѣвъмь Божиемь.	После этихслов сошлись противники друг с другом, и покрылось поле Альтское множествомвоинов. И на восходе солнца вступили в бой, и была сеча зла, трижды вступали всхватку и так бились целый день, и лишь к вечеру одолел Ярослав, а окаянныйСвятополк обратился в бегство. И обуяло его безумие, и так ослабели суставыего, что не мог сидеть на коне, и несли его на носилках. Прибежали с ним кБерестью. Он же говорит: «Бежим, ведь гонятся за нами!» И послали разведать, ине было ни преследующих, ни едущих по следам его. А он, лежа в бессилии и приподнимаясь,восклицал: «Бежим дальше, гонятся! Горе мне!» Невыносимо ему было оставаться наодном месте, и пробежал он через Польскую землю, гонимый гневом Божьим.
И прибѣжевъ пустыню межю Чехы и Ляхы,[42]и ту испроврьже животъ свой зълѣ. И приятъ възмьздие отъ Господа, якожепоказася посъланая на нь пагубьная рана и по съмьрти муку вѣчьную. И тако обоюживоту лихованъ бысть: и сьде не тъкъмо княжения, нъ и живота гонезе, и тамо нетъкъмо царствия небеснааго и еже съ ангелы жития погрѣши, нъ и муцѣ и огнюпредасться. И есть могыла его и до сего дьне, и исходить отъ неѣ смрадъ зълыйна показание чловѣкомъ. Да аще кто си сътворить слыша таковая, си же прииметь ивящьша сихъ. Якоже Каинъ, не вѣдый мьсти прияти и едину прия, а Ламехъ, заневѣдѣвъ на Каинѣ, тѣмь же седмьдесятицею мьстися ему.[43] Така ти суть отъмьстия зълыимъдѣлателемъ. Якоже бо Иулиянъ цесарь,[44]иже мъногы кръви святыихъ мученикъ пролиявъ, горькую и нечеловѣчьную съмьртьприя: не вѣдомо отъ кого прободенъ бысть копиемь въ сьрдьце въдруженъ.Тако и сь бѣгая не вѣдыйся отъ кого зълострастьну съмьрть прия.	И прибежалв пустынное место между Чехией и Польшей и тут бесчестно скончался. И принялотмщение от Господа: довел Святополка до гибели охвативший его недуг, и посмерти — муку вечную. И так потерял обе жизни: здесь не только княжения, но ижизни лишился, а там не только царства небесного и с ангелами пребывания неполучил, но мукам и огню был предан. И сохранилась могила его до наших дней, иисходит от нее ужасный смрад в назидание всем людям. Если кто-нибудь поступиттак же, зная об этом, то поплатится еще горше. Каин, не ведая об отмщении,единую кару принял, а Ламех, знавший о судьбе Каина, в семьдесят раз тяжелеенаказан был. Такова месть творящим зло. Вот Юлиан цесарь — пролил он многокрови святых мучеников, и постигла его страшная и бесчеловечная смерть:неведомо кем пронзен был копьем в сердце. Так же и этот — неизвестно от когобегая, позорной смертью скончался.
И оттолѣкрамола преста въ Русьскѣ земли, а Ярославъ прея вьсю волость Русьскую. Иначатъ въпрашати о тьльсьхъ святою, како или кде положена еста. И о святѣмьБорисѣ повѣдаша ему, яко Вышегородѣ положенъ есть. А о святѣмь Глѣбѣ не вьсисъвѣдяаху, яко Смолиньскѣ убиенъ есть. И тъгда съказаша ему, яже слышаша отприходящиихъ отътуду, како видѣша свѣтъ и свѣщѣ въ пустѣ мѣстѣ. И то слышавъ,посъла Смолиньску на възискание презвутеры, рекый, яко: «То есть братъ мой». Иобретоша и́ идеже бѣша видѣли, и шьдъше съ крьсты и съ свѣщами мънозѣми, и съкандилы, и съ чьстию многою и́ въложьше въ корабль,[45] и пришедъше положиша и́ Вышегородѣ,идеже лежить и тѣло преблаженааго Бориса и раскопавъше землю, и тако жеположиша ̀и, недоумѣюще, якоже бѣ лепо пречьстьнѣ.	И с тех порпрекратились усобицы в Русской земле, а Ярослав принял всю землю Русскую. Иначал он расспрашивать о телах святых — как и где похоронены? И о святом Борисеповедали ему, что похоронен в Вышгороде. А о святом Глебе не все знали, что уСмоленска был убит. И тогда рассказали Ярославу, что слышали от приходящихоттуда: как видели свет и свечи в пустынном месте. И, услышав это, Ярославпослал к Смоленску священников разузнать в чем дело, говоря: «Это брат мой». Инашли его, где были видения, и, придя туда с крестами, и свечами многими, и скадилами, торжественно положили Глеба в ладью и, возвратившись, похоронили егов Вышгороде, где лежит тело преблаженного Бориса; раскопав землю, тут и Глебаположили с подобающим почетом.
Се жепречюдьно бысть и дивьно и памяти достойно; како и колико лѣтъ лежавъ тѣлосвятаго, то же не врежено пребысть, ни отъ коегоже плътоядьца, ни бѣашепочьрнѣло, яко же обычай имуть телеса мьртвыхъ, нъ свѣтьло и красьно и цѣло иблагу воню имущю. Тако Богу съхранивъшю своего страстотьрпьца тѣло.	И вот чточудесно и дивно и памяти достойно: столько лет лежало тело святого Глеба иоставалось невредимым, не тронутым ни хищным зверем, ни червями, даже непочернело, как обычно случается с телами мертвых, но оставалось светлым икрасивым, целым и благоуханным. Так Бог сохранил тело своего страстотерпца.
И не вѣдяхумнози ту лежащю святою страстотьрпьцю телесу. Нъ якоже рече Господь: «Не можетьградъ укрытися врьху горы стоя, ни свѣщѣ въжьгъше спудъмь покрывають, нъ насвѣтилѣ поставляють, да свѣтить тьмьныя».[46]Тако и си святая постави свѣтити въ мирѣ, премногыими чюдесы сияти въ Русьскѣйсторонѣ велицѣй, идеже множьство стражющиихъ съпасени бывають: слѣпиипрозирають, хромии быстрѣе сьрны рищуть, сълуции простьрение приемлють.	И не зналимногие о лежащих тут мощах святых страстотерпцев. Но, как говорил Господь: «Неможет укрыться город, стоящий на верху горы, и, зажегши свечу, не ставят ее подспудом, но на подсвечнике выставляют, чтобы светила всем». Так и этих святыхпоставил Бог светить в мире, многочисленными чудесами сиять в великой Русскойземле, где многие страждущие исцеляются: слепые прозревают, хромые бегаютбыстрее серны, горбатые выпрямляются.
Нъ или могувься съповѣдати или съказаати творимая чюдесы, по истинѣ ни вьсь миръ можетьпонести, яже дѣються предивьная чюдеса и паче пѣсъка морьскааго. И не туединде, нъ и по вьсѣмъ сторонамъ и по вьсѣмъ зѣмлямъ преходяща, болѣзни вься инедугы отъгонита, сущиихъ въ тьмьницахъ и въ узахъ посѣщающа. И на мѣстѣхъидеже мученьчьскыимь вѣньцьмь увязостася, съзьданѣ быста цьркви въ имя ею. Да иту тако же многа чюдеса посѣщающа съдѣваета.	Невозможноописать или рассказать о творимых чудесах, воистину весь мир их не можетвместить, ибо дивных чудес больше песка морского. И не только здесь, но и вдругих странах, и по всем землям они проходят, отгоняя болезни и недуги,навещая заключенных в темницах и закованных в оковы. И в тех местах, где былиувенчаны они мученическими венцами, созданы были церкви в их имя. И много чудес совершается сприходящими сюда.
Тѣмьже ваюкако похвалити не съвѣмъ или чьто рещи недоумѣю и не възмогу. Ангела ли ванареку, иже въскорѣ обрѣтаетася близъ скърбящиихъ, нъ плътьскы на землипожила еста въ чловѣчьствѣ. Чловѣка ли ва именую, то паче всего чловѣчьска умапреходита множьствъмь чюдесъ и посѣщениемь немощьныихъ. Цесаря ли, князя ли вапроглаголю, нъ паче чловѣка убо проста и съмѣрена съмѣрение бо сътяжала еста,имьже высокая мѣста и жилища въселистася.	Не знаюпоэтому, какую похвалу воздать вам, и недоумеваю, и не могу решить, чтосказать? Нарек бы вас ангелами, ибо без промедления являетесь всем скорбящим,но жили вы на земле среди людей во плоти человеческой. Если же назову васлюдьми, то ведь своими бесчисленными чудесами и помощью немощным превосходитевы разум человеческий. Провозглашу ли вас цесарями или князьями, но самыхпростых и смиренных людей превзошли вы своим смирением, это и привело вас вгорние места и жилища.
По истинѣвы цесаря цесаремъ и князя къняземъ, ибо ваю пособиемь и защищениемь князи нашипротиву въстающая дьржавьно побѣжають, и ваю помощию хваляться. Вы бо тѣмъ инамъ оружие, земля Русьскыя забрала и утвьржение и меча обоюду остра, има жедьрзость поганьскую низълагаемъ и дияволя шатания въ земли попираемъ. По истинѣнесумьньнѣ рещи възмогу: вы убо небесьная чловѣка еста, земльная ангела, стълпаи утвьржение землѣ нашея. Тѣмьже и борета по своемь отьчьствѣ и пособита, якожеи великий Димитрий[47]по своемь отьчьствѣ. Рекъ: «Аще убо и веселящемъся имъ съ ними бѣхъ, тако же ипогыбающемъ имъ съ нимь умьру». Нъ обаче сий великый милъсьрдый Димитрий оединомь градѣ сице извѣща, а вы не о единомь бо градѣ, ни о дъву, ни о вьси попечениеи молитву въздаета, нъ о всей земли Русьскѣй!	Воистину выцесари цесарям и князья князьям, ибо вашей помощью и защитой князья наши всехпротивников побеждают и вашей помощью гордятся. Вы наше оружие, земли Русскойзащита и опора, мечи обоюдоострые, ими дерзость поганых низвергаем идьявольские козни на земле попираем. Воистину и без сомнений могу сказать: вынебесные люди и земные ангелы, столпы и опора земли нашей! Защищаете своеотечество и помогаете так же, как и великий Димитрий своему отечеству. Онсказал: «Как был с ними в радости, так и в погибели их с ними умру». Но есливеликий и милосердый Димитрий об одном лишь городе так сказал, то вы не оедином граде, не о двух, не о каком-то селении печетесь и молитесь, но о всейземле Русской!
