ПЕРВЫЙ СТЕПЕНЬ И ГРАНЬ 1, В НЕЙЖЕ ГЛАВ 75 И ТРИ МИТРОПОЛИТЫ, МИХАИЛ, ЛЕОНТЪ И ИОАН	ПЕРВАЯ СТУПЕНЬ И ГРАНЬ 1-Я, В КОТОРОЙ 75 ГЛАВ И ТРИ МИТРОПОЛИТА, МИХАИЛ, ЛЕОНТ И ИОАНН
Глава 40. Учение книжное отрочатом в Киевѣ.[41] Таже по сих благоволениемъ Божиим пресвященный митрополит Михаил купнотщателно съ сыном своим, богомудрым самодержцем Владимиром, умыслиша, како наипаче утвердити вѣру православную в Рустей земли: и повелѣ взимати у нарочитых людей младыя дѣти, и даяху учити их книжному писанию, азбукам и всякому написанному святых книг слову. И тогда матери чад своих, даемых учитися грамотѣ, плакахуся по них яко по мертвецѣх, еще бо не велми бяху тогда утвердилися вѣрою. И бысть множество училищ книжных. Богодухновенный же учитель, пресвященный митрополит Михаил, призываше к себѣ всѣх тѣх учителей грамотных и наказываше их правѣ и благочиннѣ учити юныя дѣти, якоже словесем книжнаго разума, такоже и благонравию, и правдѣ, и любви, и зачалу премудрости, страху Божию, и чистотѣ, и смиреномудрию; учити же их не яростию, ни жестостию, ни гнѣвом, но растовидным страхом и любовным обычаем и сладким проучением и ласковым утѣшением, да не унывают, ни ослабѣют, прилѣжно и часто прослушивати и наказывати их; предавати же комуждо их урок учения с рассуждением противу коегождо силы и со ослаблением, да не унывают же; наипаче же всегда прилагати имъ учение от закона Господня на ползу души же и тѣлу; от безумных же и неподобных словес всячески ошаятися.	Глава 40. Обучение детей книжной грамоте в Киеве. Вслед за тем по Божьему изволению придумал преосвященный митрополит Михаил вместе с сыном своим богомудрым самодержцем Владимиром, как еще больше укрепить православную веру в Земле русской: повелел он брать у лучших людей детей малых, и отдавать их стали учиться книжной грамоте, азбуке, и всему, что писано во святых книгах. Тогда матери плакали по своим чадам, отданным учиться, как по мертвым, ибо тогда они еще не совсем крепко утвердились в вере. И <учреждено> было много школ, где учили книжной грамоте. Богом же вдохновляемый учитель, преосвященный митрополит Михаил, призывал к себе всех, кто учил грамоте, и наставлял их учить молодежь справедливо и благочинно как книжному разумению, так и благонравному поведению, справедливости, любви, и началу всякой премудрости — страху Божию, и чистоте, и смиренной мудрости; учить их не с яростью, не с жестокостью, не с гневом, а с трепетным страхом, любовью, мягким наказанием и ласковым утешением, чтобы не впали они в уныние и не ослабли <духом>, прилежно и часто проверять и наставлять их; давать же каждому из них задание, сообразуясь со способностями каждого, и с послаблением, чтобы не унывали; всего же более — всегда учить их закону Господню для пользы души и тела; от неразумных же и непотребных слов всячески уклоняться.
И тако благодатию Божиею елицы научишася грамотѣ, от нихже бысть множество премудрых философовъ, яко сбытися пророчеству, глаголющему яко к лицу Руския земли: «Во дни оны услышат глусии словеса книжная, и ясенъ будет язык гугнивых».[42] Сии убо рустии людие прежде сего никогдаже не слышаша словес Божественых Писаний, но бяху, яко звѣрии, идолослужебни, безумнии и кровопролитливи; нынѣ же премилостиваго Христа Бога премудрымъ устроениемъ и благодатию его просвѣщени и евангельски живуще, и быша премудрии философи дивни, якоже рече пророкъ: «Помилую егоже аще помилую».[43] Тако бо помилова Богъ люди руския порожением банею паки бытия и обновлением Святаго Духа и научением премудрости разума книжнаго, имже мощи обрѣсти путь спасения. Мнози же и обрѣтоша, и совершенно Богу угодиша, и Небесное Царство получиша. Сих же ради всѣхъ и всяческих ради слава единому содѣтелю, всѣх благих подателю Богу! (...)	И так Божией благодатью из тех, кто научился грамоте, сделалось много премудрых философов, так что сбылось пророчество, будто для Русской земли сказанное: «Во дни оны услышат глухие книжное учение и ясен будет язык гугнивых». Ибо русские эти люди никогда прежде не слыхали слов Божественного Писания и, будто звери, были идолопоклонниками, безумцами и убийцами; ныне же по премудрому устроению премилостивого Христа Бога, просвещенные его благодатью, живя по <заповедям> евангельским, сделались они дивными премудрыми философами, ибо, как сказал пророк: «Кого помилую, того помилую». Так помиловал Бог людей русских через возрождение их баней новой жизни, <через> обновление Святым Духом, <через> обучение премудрости книжного знания, с помощью чего можно обрести путь спасения. Многие и обрели, и до конца Богу угодили, и получили Царствие Небесное. За все же это и за все прочее — слава единому создателю, подателю всего благого Богу! <...>
Преставление митрополита Михаила. Блаженный же и приснопамятный пресвященный митрополит Михаилъ в добродѣтелных исправлениих препроводи житие, преиде от мира в премирное блаженство к желаемому Христу Богу, в вѣчную жизнь с миром радостно преселися, пожив на земли крѣпкимъ житием добре и боголюбезне; многи труды о Господѣ показа, и многия идолския требища разори, и многия люди невѣрныя в вѣру Христову обрати, и вѣру православную в новокрещеных людех утверди, и всѣх богоразумию научи.	Преставление митрополита Михаила. А блаженный и приснопамятный преосвященный митрополит Михаил провел жизнь в добродетельных свершениях и перешел от мира <сего> к надмирному блаженству, к желанному Христу Богу, мирно и радостно в жизнь вечную переселился, прожив стойко и богоугодно земную жизнь; явил он много трудов для Господа, и много идольских капищ разорил, и много людей неверных обратил в Христову веру, и утвердил веру православную в новокрещеных людях, и научил всех богопознанию.
Святый же самодержец Владимир велми оскорбися о разлучении отца, бяху бо в духовной любви и во благих совѣтех всегда пребывающе, о исправлении благочестия подвизающеся. Епископи же Фотия патриарха многа словеса утѣшителна от Божественых Писаний на ползу предлагаху, еже утолити скорбь самодержца; такоже и князи и боляре и вси велможи его, благоразумно разсуждающе, утѣшаху его, и едва увѣщаваем бываше.	И скорбел сильно святой самодержец Владимир о разлуке с отцом, ибо всегда пребывали они в духовной любви и во благих совместных замыслах, подвизаясь на благо благочестия. И чтобы утолить скорбь самодержца, приводили епископы много утешительных слов патриарха Фотия из Святого Писания; утешали также его князья и бояре и все его вельможи с благоразумным рассуждением и едва его уговорили.
Глава 49. О митрополите Леонтии.[44] Блаженный же и равноапостольный великий князь Владимир, не терпя видѣти вдовствующаго престола великия руския митрополия, и немедлено посылает в Царствующий град ко вселенскому патриарху кир Николѣ Охрисовергису,[45] любезно прошаше себѣ и всей державе своей всея Земли руския люботрудна духовному учению преосвященна митрополита вмѣсто преставльшагося. И абие назнаменанием Святаго Духа избран бывает Леонтъ, поставлен на русскую митрополию, и вскоре отпущен на Русь, в лѣта 6499. Пришедшу же ему в Киев, его же боголюбивый князь Владимир и вси людие прияша честнѣ; и бысть радость велия в людех.	Глава 49. О митрополите Леонтии. И блаженный и равноапостольный великий князь Владимир, не в силах видеть вдовствующим престол великой русской митрополии, посылает без промедления в Царьград к вселенскому патриарху кир Николе Хрисовергу, прося с любовью для себя и для всей подвластной ему Земли русской усердного на труды духовного учения преосвященного митрополита на место преставившегося. И тотчас по знамению Святого Духа был избран Леонтий и поставлен на русскую митрополию, и отправлен вскоре на Русь, в год 6499 (991). И когда пришел он в Киев, приняли его боголюбивый князь Владимир и весь народ с честью; и была радость великая в народе.
Глава 50. Святый Владимир раздѣли грады сыновом своим.[46] Благоволением же Божиим помысли по сих преблаженный Владимир совѣт благ совѣщати со отцем своим, пресвященным митрополитом Леонтом всеа Руси, еже бы раздѣлити ему землю Руския его державы в наслѣдие сыновом своим и устроити во градѣх епископы во исполнение благочестия. И нача раздѣляти грады сыновом своим: Вышеславу — Великий Новград, Изяславу — Полотескъ, Свѣтополку — Туров, Ярославу — Ростов. Умершу же Вышеславу, и даде Ярославу Новград, Борису — Ростов, Глѣбу — Муром, Свѣтославу — Деревы, Всеволоду — Владимир, Мстиславу — Тмуторокань, Станиславу — Смоленескъ, Судиславу — Псков. Поучение. Посылая же их в тыя грады господьствовати, благословение дая имъ и любочадное о Христѣ цѣлование, вкупѣ же наказуя и поучая их, прежде же всего заповѣда им страх Божий имѣти и вѣру православную непорочно держати, злославныя же догматы до конца отвращати, болши же всего на всѣх царя и Бога вседушно имѣти надежу и тому единому покланятися, и того славити, и того вѣдѣти творца и содѣтеля всей твари; и ина многа такова. О всем же повелѣ им и со епископы совѣтовати: дабы како и поганые на благочестие обращати, и требища идолския разоряти, и всякое нечестие истребляти, и церкви Божия воздвизати, самѣм же им от всякия нечистоты и от всякого лукавства и неправды удалятися, и от всякого насилия и от лихоимства огребатися, и ко всякому малому и великому судъ нелицемѣрен предлагати, и о всем рассужати люди Божия в правду, и межу собою братолюбие и единомышление и мир имѣти, и ко всѣм людем, не токмо к любовным, но и ко врагом смиряющемся, милость и любов простирати, и во всем по воли Божии жити, надежи ради вѣчныя жизни.	Глава 50. Святой Владимир поделил сыновям своим города. И затем по Божьему благому изволению задумал блаженный Владимир обсудить благой замысел с отцом своим, преосвященным митрополитом всея Руси Леонтием, чтоб разделить ему всю землю Русской его державы в наследие сыновьям своим и учредить в городах епископов в довершение благочестия. И стал делить он сыновьям своим города: Вышеславу — Великий Новгород, Изяславу — Полоцк, Святополку — Туров, Ярославу — Ростов. После смерти же Вышеслава дал он Новгород Ярославу, Борису — Ростов, Глебу — Муром, Святославу — Деревы, Всеволоду — Владимир, Мстиславу — Тьмуторокань, Станиславу — Смоленск, Судиславу — Псков. Поучение. И послал их в те города править, дав им благословенье и чадолюбивое во Христе целованье, вместе с тем наставляя и поучая их, наказал им всего он прежде Божий страх иметь и держать веру православную непорочно, а зловерного учения инославного до конца отвращаться, более же всего на всех Царя и Бога всей душою иметь надежду и ему единому поклоняться, и его славить, и его исповедовать творцом и создателем всей твари; и другого много подобного. И повелел обо всем им с епископами советоваться: как язычников в благочестивую веру обращать, и как капища идольские разорять, и как всяческое нечестие истреблять, и как церкви Божии воздвигать, и как самим им от всякой нечистоты и от всякого обмана и неправды удаляться, и от всякого насилья и лихоимства удерживаться, и как всякого <человека>, малого и великого, невзирая на лица судить, и во всем судить людей Божиих по правде, и иметь между собой братскую любовь, единомыслие и мир, и на всех людей, не только на любимцев, но и на смиряющихся врагов, простирать любовь и милость, и во всем жить по воле Божией, надежды ради на жизнь вечную.
Глава 51. Поставление епископовъ по градомъ. Пресвященный же митрополит Леонтъ по данней ему благодати от Пресвятаго и Животворящаго Духа избрание сотворяет, якоже есть обычай, и поставляет епископы и посылает их в кииждо град Руския митрополия, коегождо на свой ему Богом порученный жребий, паствити Христово стадо словесных овецъ и имѣти попечение о тѣх единородных бесмертных душах, и душах же, запустѣвших невѣрием, всѣяти сѣмя благовѣрия и возрастити и умножити плод спасения, и церковь Божию всяческим благолѣпием благочиннѣ украсити, и исправити слово истинное. В Новград. Первое же посла в Великий Новград епископа Иоакима Корсунянина.[47] Он же, пришед в Новград, и досталная требища бѣсовская разори и идолы сокруши, а благочестие утверди. В Чернигов. Потом же митрополит Леонтъ посла во град Чернигов епископа Неофита.[48] Таже посла во град Ростов епископа Феодора.[49] Во Владимир и во иныя грады. По сих же посла во град Владимир епископа Стефана[50] и во иныя многия грады разсла епископы. И бысть слава Господня повсюду, и радовахуся людие, и сияше в них православие, и имя Христово величашеся, и слово Божие растяше и множашеся.	Глава 51. Поставление епископов по городам. Преосвященный же митрополит Леон по благодати, данной ему от Пресвятого и Животворящего Духа, избирает, как принято, и поставляет епископов и посылает их в каждый град Русской митрополии, каждого на свой, Богом порученный ему, жребий, пасти стадо Христово разумных овец и иметь попечение о их единородных бессмертных душах, также и о душах, опустошенных безверием, — семена сеять благой веры и растить и умножать плоды спасения, и благочинно украшать церковь Божью всяческим благолепием, и претворять в жизнь слово истины. В Новгород. И первым делом послал в Новгород Великий епископа Иоакима Корсунянина. А он, в Новгород придя, последние капища бесовские разорил и идолов сокрушил, и утвердил благочестие. В Чернигов. А потом послал митрополит Леон во град Чернигов епископа Нифонта. А затем послал во град Ростов епископа Феодора. Во Владимир и другие города. После же этого послал он во град Владимир епископа Стефана и в другие многие города разослал епископов. И стали славить Господа повсюду, и радовались люди, и сияло средь них православие, и возвеличивалось имя Христово, и слово Божие росло и приумножалось.
Глава 52. Начало церкви соборныя в Киевѣ.[51] И паки благоволением Божиим в четвертое лѣто по крещении блаженный Владимир совѣт благъ совѣща со отцемъ своим, преосвященным митрополитом Леонтом, и со епископы и з боляры, еже бы воздвигнути камениемъ поставлену великую церковь соборную Десятинную во имя Пречистыя владычица нашея Богородица и Приснодѣвы Мария в преименитом граде Киевѣ. Молитвовавше же доволно, яко да обрящут мѣсто удобно, идѣже благоволит Богъ и Пречистая Богородица таковѣй Божественей церкви созданѣ быти, и милостыню многую убозей чади повелѣша раздаяти, — и Божиимъ хотѣнием обрѣтоша мѣсто благопотребно, на немже мѣстѣ дом был прежереченнаго человѣка Божия, зовомаго варяга, и сына его Иванна, идѣже мученическими вѣнцы от Бога увязошася, и честною их кровию первѣе освятил есть Богъ дом той. И на том мѣсте начаша здати соборную церков Богоматери. Мастеры же бяху прежереченнии хитрецы.	Глава 52. Начало церкви соборной в Киеве. И еще в четвертый год по крещении благорассудил по воле Божьей блаженный Владимир со отцом своим, преосвященным митрополитом Леоном, с епископами и боярами воздвигнуть из камня великую соборную Десятинную церковь во имя Пречистой владычицы нашей Богородицы и Приснодевы Марии в славном граде Киеве. И долго молились, чтобы обрести подобающее место, где благоволил бы Бог и Пречистая Богородица таковой Божьей церкви воздвигнутою быть, и повелели много милостыни раздать убогим, — и по Божьей воле нашли место благопотребное, на том месте был дом прежде упомянутого человека Божия варяга и сына его Ивана, где мученическими венцами были они от Бога увенчаны, где в прежние времена освятил Бог тот дом их кровью! И на том месте стали возводить соборную церковь Богоматери. А мастерами были упоминавшиеся прежде искусные умельцы.
Глава 53. Начало Ростовстей церкви. Такоже и во градѣ Ростовѣ тогда вѣра благочестивая нача обновлятися пришествием святаго и праведнаго страстотерпца, боголюбиваго князя Бориса Владимирича,[52] идѣже тогда прежепомянутый епископъ Феодоръ люботрудно подвизаяся, проповѣдая слово Божие, и аще же и многа озлобления от невѣрных подят, но обаче помощию Божиею и Пречистыя Богоматери постави в Ростовѣ церковь, велми чюдну и прекрасну, дубовными древесы, во имя Пречистыя Богородицы, честнаго ея Успения, о нейже бяше писано, якоже до тоя не бысть така церкви, ниже потом имат быти. И о чюдотворце Леонтии. Пребысть же та дивная церкви лѣт 165.[53] При державѣ же благовѣрнаго великого князя Андрея Георгиевича Боголюбовскаго[54] Божиим попущением погорѣ град Ростов, и чюдная та церковь згорѣ. И на том мѣсте начаша здати церковь каменну. Ей же рвы копающе, обрѣтоша многочюдесныя мощи целы со всею одежею великаго святителя Леонтия,[55] иже бысть родом Царяграда, от Божия же анггела объявлен бысть патриарху, да его освятить во епископы граду Ростову, идѣже прежнии епископи Феодоръ и Ларионъ[56] изгнани быша из Ростова от невѣрных людий.* Святый же Леонтий прииде в Ростов и видѣ люди, состарѣвшася в невѣрии; и остави старыя люди, младенца же к церкви призываше, и сладостною кутьею кормяше их, и благочестию учаше их, и крещаше их. Родителие же их, вземше различная оружия, и устремишася не токмо изгнати святаго Леонтия, но и убити хотяху. Святый же изыде противу их с честным крестом и со всѣм освященным собором, — невѣрнии же ослѣпоша; святый же Леонтий всѣх их крести, — и прозрѣша вси. И оттоле в Ростове утвердися совершенно благочестие и донынѣ.	Глава 53. Начало Ростовской церкви. И во граде Ростове вера благочестивая тогда стала также возрождаться благодаря приходу святого и праведного страстотерпца боголюбивого князя Бориса Владимировича, там трудолюбиво тогда подвизался прежде упомянутый епископ Феодор, проповедуя слово Божие, и хоть он и много напастей понес от неверных, но все же с помощью Божией и Пречистой Богородицы поставил в Ростове церковь, весьма дивную и прекрасную, из дубовых бревен, во имя Пречистой Богородицы, честного ее Успения, о которой написано было, что до нее не было такой церкви и потом не будет. О чудотворце Леонтии. И простояла дивная та церковь сто шестьдесят пять лет. В правление же благоверного великого князя Андрея Георгиевича Боголюбского с Божьего попущения выгорел град Ростов, и та чудная церковь сгорела. И на том месте начали возводить церковь каменную. И когда стали для нее копать рвы, обрели творящие многие чудеса в целости сохранившиеся со всей одеждой мощи великого святителя Леонтия, что был родом из Царьграда, о ком Божьим ангелом возвещено было патриарху, чтоб освятил он его в епископы граду Ростову, откуда изгнаны были прежние епископы Федор и Иларион людьми неверующими. И пришел святой Леонтий в Ростов, и увидал людей, состарившихся в безверии; и оставил он стариков, а малых детей стал зазывать в церковь, и кормил их вкусной кутьею, и учил их благочестивой вере, и крестил их. Родители же их, взяв различное оружие, ринулись не просто прогонять святого Леонтия, но даже убить его хотели. А святой вышел навстречу им с честным крестом и со всем освященным собором — и неверные ослепли. Святой же Леонтий всех их окрестил, — и все прозрели. И с того времени и до наших дней утвердилась окончательно в Ростове благочестивая вера.
Глава 54. Начало Белаграда и в нем епископа.[57] И не токмо же тогда древния грады благочестиемъ просвѣщахуся, но и на пустынных мѣстех святый Владимир многия грады созидая и в них святыя церкви воздвизая и благочестием исполняя. Тогда же и Бѣлград постави, и церковь в нем Христова Преображения воздвиже, и возлюби град той паче инѣх градов, наполни же отвсюду множеством людий, в негоже епископа Никиту посла, егоже постави Леонтъ митрополит. (...)	Глава 54. Начало Белгорода и о <первом> в нем епископе. Тогда не только древние города просвещались благочестивой верой, — святой Владимир и на пустых местах много городов создал и воздвиг в них святые церкви, наполнив их благочестием. Тогда он и Белгород поставил, и возвел в нем церковь Христова Преображения, и полюбил тот город больше других городов, населил его изо всех мест множеством людей, и послал туда епископа Никиту, которого поставил митрополит Леон. <...>
Глава 65. О храбрых мужех. Елико же преблагий Богъ в телесных преспеяниих усугуби благородию его благодать мужества и смысла, тако же дарова ему и велможи премудры и разумны и во благосовѣтии дивны, мнози же и силни и храбростию удалы и нарочиты. Якоже нѣкогда Давыдъ царь имяше у себе силных муж тридесят и седмь[58] таковыи мужествены, яко меншему их могущу быти на сто мужей, вящшему же наипаче возможно, — и противу тысящи братися, тако и сей блаженный Владимер по благодати Божией имяше у себе, якоже вышереченно, мужи храбрыи, и удалы, и силны. Янъ. В них же бяше прежереченный Янъ Усмошвец,[59] иже убивый исполина печенѣжска, велика и силна. Рагдай. Такоже дивен бяше в побѣдах и Рагдай удалый, иже на бран един исходити могий противу триех сот супротивных. Александръ. Подобно же симъ мужество и храбрость имѣя и Александръ, рекомый Поповичь. Малвредъ. Таков же бѣ и Матвред силный. Андрих. Равен же мужеством и Андриох Добляйков,[60] и инии мнози. Храбрость Александрова.  Бысть же тогда нѣкто половчин, именуемый Володар, и сей дияволим научением, забывъ многое к себѣ благодѣяние государя своего святаго и великого князя Владимера, прииде бранию ко граду Киеву со братом си и со многими половцы, яко время удобно усмотрив своему зломыслию: великому бо князю Владимеру самому не сущу тогда в Киевѣ, но в Переславце на Дунаи. И бысть тогда в Киевѣ смятение велие; но обаче вѣры ради и благодѣяния блаженнаго Владимера вскорѣ разори Богъ неправедныя совѣты безумнаго Володаря, и не токмо не успѣ граду ничтоже зло сотворити, наипаче же — сам погибе и прочии с ним. На них же бо Богом подвизаем изыде нощию вышереченный Александръ Попович и абие победи их; самого же враждотворца Володаря оружию во снѣд сотвори и конечной пагубе предаде, с ним же вкупѣ и брата его и низложив и мертва сотвори и иных множество половец изби, овѣх же в поле прогна. Слышав же сия блаженный Владимер самодержец возрадовася зѣло и велие благодарение воздаваше Богу, на Александра же возложи гривну злату и сотвори его велможу честнѣй полате своей. Александрово и Яново мужество. И паки потом Александръ Попович и Ян Усмошвец, иже убивый печенѣжска исполина, и сия предивна храбра оба вкупе помощию Божиею многи побѣды показаша и многим сопротивным одолѣваша. Нѣкогда же множество печенѣг избиша и самого князя их Радмана и со трема сыны его живых изымаша и ко блаженному Владимеру в Киев приведоша. Боголюбивый же Владимер о всѣх Божиих благодѣяниих сугубо радовашеся и веселяшеся душею, купно же и тѣлом, в пространствии сердца со всѣми людми и творяше празнование свѣтло, в молитвах и во благодарениих и во псалмѣх и в пѣснех духовных выну хваляще и славяще Бога и Пречистую Богородицу и всѣх святых; и милостыню многу раздаяше по церквам Божиим и по монастыремъ, и нищим, яко да всегда на молитву подвижнѣйше будут к Богу. (...)	Глава 65. О храбрых мужах. Каким образом преблагой Бог усугубил благородие телесного совершенства <святого князя Владимира> благодатью мужества и разума, таким же образом даровал он ему вельмож мудрых и разумных, чудно благорассудных, многих славных богатырей и удалых храбрецов. Как некогда царь Давыд имел у себя тридцать семь мужей до того отважных, что самый слабый из них мог идти на сто человек, а самый сильный гораздо больше мог, — сражаться и с тысячей, так и сей блаженный Владимир по благодати Божией имел у себя, как и было выше сказано, мужей храбрых, удалых и сильных. Ян. Среди них был названный прежде Ян Кожевенных дел мастер, что убил печенежского исполина, огромного и сильного. Рогдай. Дивен также был на победы и удалой Рогдай, что один мог выходить на бой против трехсот противников. Александр. Им подобно имел храбрость и мужество и Александр, по прозвищу Попович. Малфред. Был таким же и сильный Малфред. Андрих. Равный мужеством был и Андрих Добрейкович, и других много. Храбрость Александра. Был тогда некий половец по имени Володарь, он, дьявольским наущением, забыв многие благодеяния государя своего святого и великого князя Владимира, пришел войной на град Киев со своим братом и множеством половцев, подыскав удобное время для своего злого замысла: ибо великий князь Владимир не был тогда сам в Киеве, а находился в Переяславце на Дунае. И сделалось тогда в Киеве великое смятение; но, однако, ради веры и благих дел блаженного Владимира разорил вскоре Бог неправый замысел безумного Володаря, и не только не успел он причинить городу никакого зла, но и более того — сам погиб и вместе с ним другие. Ибо вышел на них ночью, движимый Богом, названный выше Александр Попович и тотчас победил их; самого же содетеля вражды Володаря сделал он снедью оружия и предал на окончательную погибель, а с ним вместе и брата его поверг и предал смерти и других многих половцев побил, а иных в поле прогнал. И, услышав это, блаженный Владимир-самодержец сильно обрадовался и великое благодарение вознес Богу, на Александра же возложил златую гривну и сделал его вельможей при честном своем дворе. Мужество Александра и Яна. И еще потом Александр Попович и Ян Кожевенных дел мастер, что убил печенежского исполина, два дивных этих воина с Божьей помощью совершили вместе много побед и многих врагов одолевали. Раз множество печенегов они побили и самого князя их Радмана с тремя его сыновьями взяли в плен живыми и привели ко блаженному Владимиру в Киев. И боголюбивый Владимир о всех Божиих благодеяниях радовался сугубо и веселился душою, а вместе с ней и телом, в широте сердца вместе со всеми людьми творил светлое празднование, в молитвах и благодарении, во псалмах и духовных песнях непрестанно хваля и славя Бога и Пречистую Богородицу и всех святых; и много милостыни раздавал он по церквам Божиим, и по монастырям, и нищим, чтобы всегда подвизались они усердно на молитве пред Богом. <...>
