ЖИТИЕ СВЯТАГО ПРОРОКА МОИСИЯ. СКАЗАНИЕ БЫТЬЯ ЕГО	ЖИТИЕ СВЯТОГО ПРОРОКА МОИСЕЯ. СКАЗАНИЕ БЫТИЯ ЕГО
И посла Рагуилъ и поя и́ в домъ свой. И ѣде съ нимъ хлѣба, и повѣда ему Моисий, како избѣша изъ Егупта и како цьсарствова въ срачинѣхъ и како отяша у него цьсрство и пустиша и́. И бысть, яко услыша Рагуилъ рѣць его, и рече в сердци своемъ: «Всажю азъ сего в темницю и примилуюся имъ къ срачиномъ. Се бо есть бѣглець». Имше же его и въсадиша в темницю, бѣ же в темници 10 лѣт.	И послал за ним Рагуил и позвал его в дом свой. Он разделил с ним хлеб, и рассказал ему Моисей, как бежал из Египта и как царствовал у сарацин, и как отняли у него царство и отпустили его. И когда услышал рассказ его Рагуил, то воскликнул в сердце своем: «Посажу-ка я его в темницу и тем угожу сарацинам. Ведь это беглец». И вот схватили Моисея и посадили в темницу, и находился он в темнице 10 лет.
Тамо же помилова его Чифора,[13] дщи Рагуилова, и корми его хлѣбомъ и водою. И бысть на конець 10 лѣт, и рече Чифора ко отцю своему: «Мужь еврѣянинъ, егоже всади в темницю, се десятое лѣто и нѣсть взиская его, ни възмолвяшаго о немъ. Да аще тако годно предъ очима твоима, отче мой, да быхомъ послали и видили, живъ ли есть мужь ть или мртвъ». Отець же ея не вѣдаше, оже бяше кормила его. И рече Рагуилъ: «Не видахъ николиже на свѣтѣ, дабы человѣку, лежащю в темницѣ за десять лѣть безъ хлѣба и безъ воды, живу быти». И рече Чифора отцю своему: «Да не слышалъ ли еси, отче мой, яко Богъ великъ есть еврѣйскъ и грозѣнъ и удивляеть чюдеса на всякъ час? Не онъ ли избавилъ Аврама от пещи халдѣистѣй,[14] Исака от меча,[15] Иякова от рукы ангела, колиже боряшеся с нимъ на перевозѣ?[16] Яко Богъ пакы мужю сему много створивъ чюдесъ: избавилъ и́ от руку егупетьску и от меча Фараонова, и пакы и́ можеть избавити». И бысть люба рѣць си во очию Рагуилову. И створи ему, якоже рече дщи его, и посла к темници, что есть створилося о немъ. И узрѣша и́, молящася Богу отець своихъ. И изведоша и́ ис темьници, и остригоша и́, измѣниша ему порты темьничныя, и ѣдъ хлѣбъ съ Рагуиломъ.	Но сжалилась над ним Симфора, дочь Рагуила, она кормила его хлебом и водою. И когда кончались 10 лет, сказала Симфора отцу своему: «Этот еврей, которого ты посадил в темницу, уже десятый год там, и никто не ищет его и не спрашивает о нем. Если это угодно очам твоим, отец мой, следует послать посмотреть, жив ли муж тот, или умер». Отец же ее не знал, что она кормила его. И сказал Рагуил: «Не видел никогда на свете, чтобы человек, сидящий в темнице десять лет без хлеба и воды, был жив». И ответила Симфора отцу своему: «Разве ты не слышал, отец мой, что Бог еврейский велик и грозен и всегда удивляет чудесами? Не он ли избавил Авраама от печи халдейской, Исаака от меча, Иакова от руки ангела, когда боролся с ним на переправе? И ведь Бог мужу сему чудес много сотворил: освободил его от египтян, и от меча Фараона, и еще может его избавить». И были приятны эти слова Рагуилу. И сделал он так, как сказала дочь его: послал к темнице узнать, что случилось с Моисеем. И увидели, что он молится Богу своих отцов. И выпустили его из темницы, остригли его, сменили ему одежды тюремные, и ел Моисей хлеб с Рагуилом.
И приде Моисий въ оградъ Рагуиловъ, иже бяшеть за дворомъ его, и моляшется Богу своему, иже ему створиль чюдеса и избавилъ и́ изъ темници той. Моля же ся, возрѣ очима своима и видѣ, и се палица потчена средѣ ограда. И приступи к палицѣ, и бѣ написано на ней имя Господа Бога Саваофа. И приступивъ, исторже ю, и очютися палица в руку его трестата,[17] еюже суть чинена чюдеса Божия, егда створи небо и землю и вся дѣла ихъ, море и рѣкы и всю рыбу ихъ. Коли изгна Адама изъ ограда райскаго, взя палицю ту с собою в руку. И доиде палица та от Адама до Ноя, Ной же ю дасть Симови и родомъ его, дондеже доиде в руцѣ Авраамовѣ. Авраамъ же ю дасть Исакови, Исакъ же ю дасть Иякову. Ияковъ же егда бѣжа на поле арменьское, палицю же ту взя съ собою. Онъ же ю дасть Иосифови, часть едину излиха братия. И бысть по смерти Иосифовѣ разграбиша егуптянѣ домъ Иосифовъ, и попаде Рагуилъ палицю ту и посади ю въ оградѣ средѣ. И окушахуся вси храбрии, хотяще пояти дщерь его, и не могоша до пришествия Моисѣева, емуже сужена, тьже ю выторъже. И бысть якоже узрѣ ю Рагуилъ в руку Моисиеву и удивися. И вда ему Чифору дщерь свою женѣ.	И пришел Моисей в сад к Рагуилу, что был позади дворца его, и молился Богу своему, который сотворил чудеса и освободил его из темницы той. Когда он молился, поднял глаза свои и увидел, что посреди сада воткнута палица. И подошел к палице, а было на ней написано имя Господа Бога Саваофа. И подойдя, выдернул ее, и оказалось, что в его руках палица трестата, которою сотворены чудеса Божий, когда Он создал небо и землю и все, что в них, море и реки, и всю рыбу их. И когда изгнал Он Адама из райского сада, взял Адам ту палицу с собой в руки. И перешла та палица от Адама к Ною, Ной же передал ее Симу и его потомству и так, пока не дошла палица до рук Авраама. Авраам же дал ее Исааку, а Исаак дал ее Иакову. Иаков же, когда бежал в пределы арамейские, палицу ту взял с собой. Он же ее дал Иосифу, наследием минуя братьев. И когда после смерти Иосифа египтяне разорили дом Иосифа, оказалась палица эта у Рагуила, и тот посадил ее посреди сада. И хотели овладеть ею все богатыри, которые стремились получить дочь его (в жены), и не могли этого до тех пор, пока не пришел Моисей: кому суждена была, тот ее и вытащил. И случилось так, что увидел Рагуил палицу в руках Моисея и удивился. И отдал он ему дочь свою Симфору в жены.
Моисѣй же жил лѣт 70 и 6, коли вышелъ исъ темници, и поя Чифору мадианыню женѣ собѣ. И поиде Чифора в путь женъ дому Иаковля и не менши бысть нчимже от правды Саррины, и Ревецины, и Рахилины, и Лиины.[18]	Моисей же прожил 70 и 6 лет, когда он вышел из темницы и взял Симфору мадиамлянку себе в жены. И отправилась Симфора путем женщин рода Иакова, не меньший удел выпал ей, чем Сарре, и Ревекке, и Рахили, и Лии.
И заченши роди сынъ и нарече имя ему Герсанъ, глаголя, яко пусть быхъ в земли чюжей. Но не обрѣза плоти его по повелѣнью Рагуилову, тьстя своего. И бысть оть конець 3-яго лѣта зача и роди сынъ и нарче имя ему Елезаръ, глаголя, яко «Богь отца моего помощникъ ми бысть, избави мя от меча Фараонова». (...)	Зачав, родил Моисей сына и назвал его именем Герсан, говоря, что он пуст в земле чужой. Но не совершил обряд обрезания над ним, потому что так велел тесть его Рагуил. И на исходе третьего года зачал и родил сына и назвал его именем Елеазар, сказав, что «Бог отца моего помощником мне был, избавил меня от меча Фараона». (...)
Въ дни же ты бысть Моисий ходя по пустыни со овцами тестя своего, палица же Божия в руку его. И приде до горы Хоривьскы и видѣ Моисий, якоже грьзнъ купины стоящь, и пламенемъ огня горящи, но не изгараше от пламени купина. Рече же Моисий в собѣ: «Что убо вижю видѣнье се, да минувъ, усмотрю, что убо яко не изгараеть купина огнемъ горящи, почто ли неопалима пребысть?» Дивяся Моисий глаголаше: «Огню естьства вся попалити и снѣдати вься, почто убо купина неопалима пребысть? Огня естьство смотрю, купину же посредѣ огня злачну вижю». Начать же убо Моисий приступати, глаголя: «О чудо изрядно, огнь полящь вижю, купины же сея ни листа уторгьшася вижю! О чюдо се изрядьно, дива достойно». По сем же возва и́ Господь ис купины, глагола: «О Моисий, Моисий!» Съ же рече: «Что есть, Господи?» Рече Господь: «Не приступай сѣмо, но изуий онущю ногу твоею, мѣсто бо, на немже стоиши, земля свята есть».	В то время Моисей ходил по пустыне, (пася) овец тестя своего, с палицей Божией в руках. И дошел он до горы Хоривской и увидел, что стоит куст купины, объятой горящим пламенем, но не сгорает от пламени купина. И сказал себе Моисей: «Что за видение вижу, приближусь и разгляжу, почему не сгорает купина в горящем огне, почему неопалимой пребывает?» Говорил Моисей в удивлении: «Огонь все живое опаляет и съедает, отчего же купина неопалимой остается? Смотрю на огонь и посреди него вижу купину цветущую». Стал Моисей подходить к ней, говоря: «О чудо необычайное, вижу пылающий огонь, а ни одного листа от этой купины не оторвалось, вижу. О чудо это необычайное, удивленья достойное». Затем воззвал к нему Господь из купины и сказал: «О Моисей, Моисей!» Тот ответил: «Что это, Господи?» Ответил Господь: «Не подходи сюда, но сними обувь с ног твоих, ибо место, на котором ты стоишь, — это святая земля».
Слыши, яко говѣйнѣша его ствареть Владыка, и съ боязнью повелѣваеть ему послушати глаголемыхъ. Изутья бо онущи житийскихъ печалий отрѣванье являеть, но иже то глаголеть, яко освящение земли будеть, егда сам Владыка, въ плоть оболкъся человѣчьскаго естьства, самъ ногама начнеть ходити на земли.[19]	Слышишь, как делает его благоговейным Владыка и со страхом велит послушать сказанное. Ибо снятие обуви означает отречение от житейских печалей, но еще и то говорится, что освящение земли настанет, когда сам Владыка, облечен плотью человеческой, начнет пешком ходить по земле.
И рече ему Господь: «Азъ есмь Богъ отца твоего, Богъ Аврамовъ, Богъ Исаковъ, Богъ Ияковль». Моисий же отвращаше лице свое и бояше бо ся зрѣти предъ Богъ.	И еще сказал Моисею Господь: «Я есть Бог отца твоего, Бог Авраама, Бог Исаака, Бог Иакова». И отвратил Моисей лицо свое, страшась смотреть на Бога.
Смотри же и сего, оканьный жидовине, какоти купина, приимши огнь, не опалися чресъ естьство! Купина же образъ бѣ Девици: якоже бо онъ неугасимый огнь Божиею силою былья не сожже, тако и Божие слово неистлѣньно схрани ю по рожьствѣ девиицею. Разумѣй же, яко Богу вся възможна суть исполнити, елико хощеть. Тако убо и пречистая наша Госпожа Богородица, приимши во утробѣ Бога, неопалима пребысть, и по рожествѣ же паки пречистаа, девою пребысть. «Идеже бо хощеть Богъ, побѣжается естьства чинъ».[20] Рожий бо ся от нея Господь Богъ вѣру утверди и сверипыя языки укроти и всего мира умири яко человѣческь!	Видишь, окаянный иудей, как купина, приняв огонь, не опалилась, вопреки природе! Купина ведь — образ Девы, как этот неугасимый огонь по воле Бога не сжег растения, так и Божье слово сохранило нетленным ее девство и после родов. Пойми же, что Бог все может исполнить, что только пожелает. Так ведь и пречистая наша Госпожа, Богородица, приняв в утробу Бога, неопалимой оставалась, и после рожденья его снова пречистой девой пребывала. «Где захочет Бог, там отступает закон природы». Родившийся от нее Господь Бог веру утвердил и свирепые народы укротил, и весь мир усмирил как человек!
И паки рече Господь к Моисиови: «Видихъ бѣду людий моихъ въ Егуптѣ, но шедъ, изведи люди моя, яко измроша вси ищющеи душа твоея. Оставшии же по нихъ, не имуть силы что створити тобѣ». Рече же Моисий Господеви: «Что есмь азъ, Господи, яко мною изводиши люди своя? Но молю ти ся, Господи, избери иного могуща, или даси ми знаменье, да имуть ми вѣру людье твои, яко видѣх тя». И рече Господь к Моисиови: «Поверзи жезлъ твой на землю, иже имаши в руцѣ своей». Моисий же поверже жезлъ, и абие бысть змий великъ ползая. Егоже увидѣвъ, Моисий отскочи. Рече же ему Господь: «Не бойся Моисий, но ими и́ за опашь». Моисий же преклонивъся, ять и́ за опашь, и бысть опять жезлъ.	И снова сказал Господь Моисею: «Видел я страданья людей моих в Египте, но ты, отправившись туда, выведи людей моих, ибо умерли все, кто искал твоей души. А те, кто остался после них, уже не в силах тебе навредить». Сказал же Моисей Господу: «Кто же я, Господи, что ты хочешь, чтобы я вывел твой народ? Но прошу тебя, Господи, выбери другого, могущего (это сделать), или дай мне знак, чтобы поверили мне люди твои, что я видел тебя». И сказал Господь Моисею: «Брось жезл свой, что держишь в руке своей, на землю». Моисей бросил жезл, и тотчас сделался он огромным ползучим змеем. И увидев его, Моисей отскочил. И сказал ему Господь: «Не бойся, Моисей, возьми его за хвост». Моисей, наклонившись, схватил змея за хвост, и стал он снова жезлом.
Смотри же и сего, жидовине, како ли бывъ змий и в жезлъ претворися! Не вся ли есть възможна Богу створити, тако убо бысть и в Законѣ нашемъ. Въ лѣта цьсаря Костянтина чюдотворець Спиридонъ и епископ купрьский бысть. Въ единъ убо от дний и види нѣкоего заимодавца, влачаща нѣкоего нища. Сь же старець Спиридонъ видѣвъ змию ползающю, именемъ Христовымъ преложи ю въ гривну злату и вдасть ю заимодавцю. И по сем же паки искупивъся нищий, принесе залогь къ старцю. Спиридонъ же тъ блаженый претворивъ ю змиею, на землю и́ спусти.	Видишь и то, иудей, как змей превратился в жезл! Не все ли подвластно Богову свершению, так ведь и в Законе нашем. Во времена царя Константина был чудотворец Спиридон, епископ кипрский. Однажды он увидел некоего ростовщика, который тащил какого-то нищего. И этот старец Спиридон, увидев ползущую змею, превратил ее именем Христовым в золотую гривну и отдал ее ростовщику. И так снова выкупился нищий, принеся залог к старцу. Спиридон же тот блаженный превратил его снова в змею и на землю отпустил.
Рече Моисий къ Господу Богу: «Молю ти ся, Господи, худоглаголивъ есмь азъ, рабъ твой, отнелѣже начахъ глаголати!» Рече же Богъ к Моисиови, глаголя: «Кто дасть уста человѣку? Кто ли створилъ есть глуха или нѣма, или слѣпа видяща? Се азъ, Господь Богъ. Хощю тобою худоглаголивымъ срамити премудрыя егупетьския».	Сказал Моисей Господу Богу: «Прошу тебя, Господи, ведь косноязычен я, раб твой, с тех пор как начал говорить!» Господь сказал Моисею: «Кто дал уста человеку? Кто сделал его глухим, или немым, или слепым? Это я, Господь Бог. Хочу тобой, косноязычным, посрамить мудрецов египетских».
Смотри же, жидовине, словьсе его, что рече Господь Богъ Моисиови! То аще створи Господь нѣма и глуха и слѣпа и видяща, то уже вся възможна Богу створити, еже и бысть.	Посмотри же, иудей на слова его, что сказал Господь Бог Моисею! Если даже создал Господь немого, и глухого, и слепого, и зрячего, то все возможно Богу сотворить, как и бывало.
Моисий же възвратися в Мадиамъ и глагола во уши тестю своему вся си. Тесть же его Рагуилъ рече ему: «Иди с миромъ».	Моисей же возвратился в Мадиамскую землю и рассказал обо всем на ухо тестю своему. Тесть же его Рагуил ответил: «Иди с миром».
Въста же Моисий, поиде с женою своею и дѣтми. И быша на стану, и сниде Ангелъ Божий и хотѣ убити Моисия, понеже бяше не обрѣзалъ плоти сынома своима и преступилъ законъ, иже заповѣда Богъ Авраму. И ускори Чифора и взя скрижаль каменьну, и обрѣза сыны своя и избави мужа своего от рукы Ангела.	Поднялся Моисей и пошел с женою и детьми. И когда остановился, сошел ангел Божий и хотел убить Моисея, потому что тот не совершал обрезания плоти сынам своим, преступил закон, который положил Бог Аврааму. И поспешила Семфора, взяла пластину каменную и обрезала сыновей своих,и избавила мужа своего от руки ангела.
И явися Господь Арону и Левгию въ Егуптѣ, ходящю по брегу рѣкы, и рече ему: «Иди противу Моисѣева в пустыню». И иде Аронъ и стрѣте и в пустыни в горѣ Божии и цѣлова и. И въздвиже очи свои, и види жену его и дѣти и рече: «Кто суть си?» И рече Моисий: «Се жена моя и дѣти мои, яже ми есть далъ Богъ въ Мадиамѣ». И бѣ зло въ очию Аронови, и рече: «Пусти жену и дѣтие въ домъ отца ея». И створи Моисий тако. И отиде Семфора и два сына ея в домъ отца ея до годинъ, якоже помяну Богъ люди своя и изведе я изъ Егупта от руку Фараона.	Явился Господь Аарону и Левию в Египте, когда шли они по берегу реки, и сказал: «Иди навстречу Моисею в пустыню». И пошел Аарон и встретил того в пустыне, в горе Божией, и целовал его. И подняв очи свои, увидел жену его и детей и спросил: «Кто они?» И ответил Моисей: «Это жена моя и дети мои, которых дал мне Бог в Мадиаме». И сверкнуло зло в очах Аароновых, и сказал он: «Отпусти жену и детей в дом отца ее». И сделал так Моисей. И ушла Семфора и два сына ее в дом ее отца до времени, пока не вспомнил Бог о людях своих и не вывел их из Египта от руки Фараона.
И сказа Моисий вся Арону, еже глагола к нему Господь. И придоста въ Егупетъ, и явистася къ сбору сыновъ издраилевъ, и повѣдаста имъ вся рѣци Божия, и възрадовашася людие о словесѣ ихъ.	И рассказал Моисей Аарону обо всем, что говорил ему Господь. И пришли они в Египет, и явились в собрание сынов израилевых, и рассказали им обо всех речах Божиих, и обрадовались люди их словам.
И ураниша заутра и идоша в домъ Фараоновъ, и палицю Божию взяста с собою. И бысть егда придоста ко вратомъ дому цьсарева, и 2 лва стояща, привязана ужи желѣзными, и не можаше ни единъ человѣкъ ни прити, ни изити, развѣ и емуже цьсарь велить прити, и шедше кормилъци утолять львы и приведуть и. Моисий же и Аронъ придоста и въздвигоста палицю на львы и разъдрѣшистася лви. Приде же Моисий и Аронъ в домъ цьсаревъ, и лва внидоста с ними, радующася. Да якоже узьрѣ Фараонъ, удивися велми и ужасеся, бяше бо взоръ ихъ, яко сыновъ Божиихъ.	И назавтра рано отправились они в дом Фараона, взяв с собой палицу Божию. И когда подошли они к воротам царского дома, то стояли там два льва, привязанные железными цепями, так что ни один человек не мог ни войти, ни выйти, если только не велит ему сам царь прийти, и тогда придут кормильцы, накормят львов и проведут человека того. Моисей же и Аарон подошли и подняли палицу на львов, и освободились львы. И пришли Моисей и Аарон в дом царя, и львы вошли вместе с ними, радуясь. И как увидел это Фараон, то очень удивился и ужаснулся, ибо вид у них был, словно у сынов Божиих.
И рече к нима цьсарь: «Что хощета?» И ркоста ему: «Пусти ны в пустыню, да положимъ требу Господеви Богу нашему и послужимъ ему». И убояся Фараонъ велми и рече к нима: «Идета днесь в домъ свой, а утро придета ко мнѣ». И створиста якоже рече има цьсарь. И бысть, якоже отидоста, и посла цьсарь и призва Валаома волхва и сыны его Еноса и Акриса и вся чародѣя егупетьския. И придоша къ цьсарю и повѣда имъ цьсарь, еже глагола Моисий и Аронъ. И рѣша чародѣи к нему: «Но како суть пришли, скажи намъ?» И рече цьсарь: «Толико въздвигоста на ня жезлъ и раздрѣшистася и притекоста к нима, радующася». Отвѣщавъ же Валаомъ и рече: «Се, цьсарю, чародѣеве же суть, якоже и мы, а нынѣ посли по нихъ, да придуть, да икусимъ рѣць ею». И створи цьсарь тако и посла по нихъ. Они же взяста палицю Божию в руцѣ свои и придоста къ цьсареви и глаголаста ему словеса Божия, рекуще: «Отпусти люди издраилевы, да створять требу Господеви Богу своему». И рече има цьсарь: «Но кто вѣру иметь вама, яко еста посолника Божия и по слову его еста пришла? Да что знаменье створите предъ мною, да изъвѣриться рѣць ваю?» И поспѣши Аронъ и поверже палицю свою предъ цьсаремъ и предъ велможами его. И бысть змий великъ ползая. И створиша чародѣи такоже, пометаша жезлы своя, и быша змиеве. Того ради Богъ попусти волхвомъ егупетьскимъ жезлы своя въ змия претваряти, да не ркуть к Фараону, яко волхвъ есть Моисий и волшествомь си творить, но супротивленьемъ супротивльшеся ему и потомъ изнемогоша.	И сказал им царь: «Чего вы хотите?» И ответили ему: «Отпусти нас в пустыню принести жертву Господу Богу нашему и послужить ему». Фараон сильно испугался и сказал им: «Сейчас идите к себе домой, а завтра придете ко мне». И сделали они так, как велел им царь. А когда они ушли, царь послал и позвал Валаома-волхва и его сыновей Еноса и Акриса и всех чародеев египетских. И пришли они к царю, и рассказал им царь о том, что говорили Моисей и Аарон. И сказали ему чародеи: «Но как же они прошли, ответь нам?» И сказал царь: «Они только подняли на львов жезл, и освободились те, и прибежали к ним, радуясь». Отвечал же Валаом, сказав: «Это такие же чародеи, царь, как и мы, а теперь пошли за ними, пусть придут, и мы испытаем слова их». И поступил царь так, послал за ними. Они же взяли палицу Божию в руки свои и пришли к царю и проговорили ему слова Божий: «Отпусти людей израилевых, пусть принесут жертву Господу Богу своему». И сказал им царь: «Но кто поверит вам, что вы — посланники Божий и пришли, повинуясь словам Его? Какое знаменье вы сотворите предо мной, чтобы можно было поверить словам вашим?» И Аарон быстро бросил палицу свою перед царем и перед его вельможами. И сделался это большой ползучий змей. И поступили чародеи точно так же, кинули жезлы свои, и стали они змеями. Потому Бог позволил волхвам египетским превращать жезлы свои в змеев, чтобы не говорили Фараону, будто Моисей — это волхв и волшебством все это совершает, но сопротивленьем противились ему, а потом обессилели.
Въздвиже бо змий главу свою, иже в Моисиевѣ жезлѣ и пожре вся змия ихъ. И рече Валаомъ волъхвъ: «Уже створилосе еста от дний первыхъ, якоже пожиралъ есть змий друга своего, якоже и рыба морьская пожре дружину свою, а нынѣ сътвори палицю свою опять, якоже и преже была; да аще можеши, палицѣ будуть и наши палицѣ пожертыя, и да увѣдаемъ яко Духъ Божий в тобѣ. Аще ли не можеши, то чародѣй еси, якоже и мы». И простеръ Аронъ руку свою и ять за хвостъ змиевъ, и бысть палица в руцѣ его, и онѣхъ палицѣ якоже и преже.	Ибо поднял змей, который был из Моисеева жезла, голову свою и пожрал всех их змеев. И сказал волхв Валаом: «Уже бывало и в прежние дни, что поедал змей другого, как и рыба морская поедает других, а теперь сделай палицу свою, как она раньше была; если можешь, и наши съеденные палицы пусть станут прежними, тогда признаем, что Дух Божий в тебе. Если же не можешь, то чародей ты такой же, как и мы». И протянул Аарон руку свою и схватил змея за хвост, и оказалась в руке его палица, и их палицы стали такими, как и были.
И заповѣда Фараонъ принести грамоты всѣхъ боговъ егупетьскихъ, и чтоша предъ нимъ, и рече: «Се не обрѣтохомъ Бога вашего въ грамотахъ сихъ, ни имени его видѣ». Отвѣщаста же и рекоста к цьсарю: «Аданай Саваофъ есть имя Его». И рече Фараонъ: «Кдѣ есть Аданай, да быхъ видилъ его и глас его слышахъ и пустилъ быхъ издраиля? Не вѣдаю ли Аданая, не пущу издраиля!» И ркоша: «Бога еврѣйскаго имя возвася на нас от дний нашихъ, и нынѣ пусти ны, да идемъ в пустыню и пожремъ жертву Богу нашему. Отнелѣ же сниде издраиль въ Егупеть, оттолѣ не приялъ ничтоже от руку нашею. Аще ли нас не пустиши, вѣдая буди, яко разгнѣвается и избьеть землю егупетьскую моромъ или мечемь».	И повелел Фараон принести ему писания всех Богов египетских, и прочли их перед ними, и он сказал: «Не нашел я в писаниях этих Бога вашего, и имени его не увидел». Отвечав, сказали они царю: «Аданай Саваоф имя Его». И сказал Фараон: «Где же Аданай, чтобы я увидел его и голос его услышал, и отпустил бы израильтян? Если не знаю Аданая, не отпущу израильтян». И сказали они: «Имя еврейского Бога на нас с первых дней наших, а теперь отпусти нас, чтобы пошли мы в пустыню и сотворили жертву Богу нашему. С тех пор как пришел Израиль в Египет, не принял Он ничего из рук наших. Если не отпустишь нас, то знай, что Он разгневается и изничтожит землю египетскую мором или мечом».
И рче Фараонъ к нимъ: «Скажита ми силу его и храборьство его». И рѣша к нему: «Онъ есть сътворилъ небеса и всю силу ихъ, и землю и все, еже на ней, и море и всю рыбу ихъ. И родилъ есть свѣть и породилъ тму, и пущаеть дъждь и напаяеть землю. И створилъ человѣка, и скоты, и звѣри лѣсныя, и птица небесныя, и рыбы морьския. Тъ же створилъ есть тебе въ ложесьнѣхъ матери твоея. Тъ же вложилъ въ тя духъ животенъ и възрасти тя, и посади тя на престолѣ цьсарства твоего. Тъ же и отиметь душю твою от тебѣ и възвратить тя в землю, от неяже взят еси».	И сказал им Фараон: «Расскажите мне о силе и могуществе его». И отвечали они: «Он сотворил небеса и все могущество их, и землю со всем, что на ней, и море, и всех рыб. И создал свет, и породил тьму, и пускает дождь, и напояет землю. И сотворил человека, и скот, и диких зверей, и птиц небесных, и рыб морских. Он же создал и тебя в лоне матери твоей. Он же вложил в тебя дух жизни и взрастил тебя, и посадил на престоле царства твоего. Он же и отнимет душу твою у тебя и возвратит тебя в землю, от которой ты взят».
И разгнѣвася на нь Фараонъ и рече: «Но кто есть во всѣхъ бозѣхъ людьскихъ, иже можеть створити мнѣ тако? Рука же моя яже ся самъ створихъ». И объярися на ня велми и насилье имъ створити повелѣ. И томляхуть егуптянѣ издраильтянъ. Моисий же возпи ко Господу Богу, глаголя: «Почто преда люди своя, Господи?» И рече Господь к Моисиеви: «Се узриши, что створю Фараону рукою бо крѣпкою, испущю тя и мышцею высокою возведу тя от земля его. Азъ есмь Господь Богъ, явивыйся Аврааму, Исаку, Иякову и въдахъ завѣть мои к нимъ, яко дати имъ землю Хананѣйску, на нейже земли самъ хощю обитати».[21]	И разгневался Фараон и сказал: «Но кто же из всех человеческих богов может сделать со мной такое? Рукой своей все я сам сделал!» И крепко разъярился он на них и повелел насилье им сотворить. И мучили египтяне израильтян. Моисей же возопил к Господу Богу, говоря: «Зачем предал народ свой, Господи?» И сказал Господь Моисею: «Вот увидишь, что я сделаю Фараону рукою крепкой, отпущу тебя и мышцею высокой уведу тебя из земли его. Я есть Господь Бог, явившийся Аврааму, Иакову, Исааку, и положил им Завет мой, чтобы дать им землю Хананейскую, на той же земле хочу сам пребывать».
И въздвиже Богъ гнѣвъ свой на Фараона и на люди его. И удари язвою великою Фараона и егуптяны. Възврати воды ихъ въ кровь и наведе на землю ихъ жабы, и пьюще воду и внидяху въ чрева ихъ, и тамо в нихъ крехтаху. И в горньци же, и въ дъже тѣста ихъ лѣзяху, и в постеля ихъ, и нападоша на перси ихъ вши, възвыше дву лакоть, и на плоти ихъ бяхуть, яко пясти възвыше. И посла на ня Богъ звѣри польския растерзать ихъ, и змия, и скарпия, и мышца, и овады во очи ихъ.	И воздвиг Бог гнев свой на Фараона и на людей его. И поразил он язвой великой Фараона и египтян. Превратил воды их в кровь и навел жаб на землю их, и когда пили они воду, попадали жабы в чрево к ним, и там в них квакали. И в дома их, и в квашни, и постели их лезли, и напали на груди их вши, на высоту двух локтей, и на теле, и выше запястий. И послал на них Бог зверей диких, чтобы растерзать их, и змей, скорпионов и мышей, а в глаза им оводов.
И влезяхуть в храмы своя и въ кровы ихъ и замъкняхуся. И тамо внидяше Нилонифъ звѣрь, иже в мори живеть, а у него рукы 10 лакоть мужьскихъ; и взидяше на храмину, и раскрываше и, сягь рукою, отломляше замкы. И Богъ попускаше звѣри злыя на ня, и тамо лазяху, и измори скоты ихъ. И зажеже Богъ плоть ихъ огнем, и быша прыщьеве на нихъ от главы и до ногу, и въсмердѣ все тѣло ихъ. И зби град вино ихъ и все древо егупетьское и не остася ничтоже на нихъ.	Они забирались в дома и на крыши свои, закрывались там. И влез туда Нилониф зверь, который в море живет, а лапы его — по десять мужских локтей; и взбирался он на дом и раскрывал его, и, схватив лапой, ломал замки. И Бог напустил на них злых зверей, и они там рыскали, и изморил Бог весь скот их. И зажег Бог плоть их огнем, и появились прыщи на них от головы до ног, и засмердело все тело у них. Перебило градом виноград их и все деревья египетские, и ничего не осталось на них.
И посше трава польская, и человѣци, и скоти, иже бяху обрѣтани в ней, измроша гладом.	И иссохла трава полевая, и люди, и скот, который обретался на ней, умерли от голода.
И придоша на ня прузи и сънѣдоша я останкы града, и възрадовашася егуптянѣ, глаголюще: «То есть намъ кормля», и насолиша ихъ множество.	И напала на них саранча, и сожрала то, что осталось от града, и возрадовались египтяне, говоря: «Это пища наша», и насолили их множество!
И посла Богъ вѣтръ из моря силенъ, и взя пругы и въверже я в море и солоныя, и не оста ни единъ пругь во всеи земли егупетьстий.	И напустил Бог сильный ветер с моря, он схватил саранчу и ввергнул ее в море, и соленую тоже, и ни одной не осталось во всей земле египетской.
И посла на ня Господь тму за 7 дний, дондеже не видить мужь брата своего, яко ни рукы своея ко устомъ обратити.	И послал на них Господь тьму на семь дней, так что не мог видеть муж брата своего, ни руки своей ко рту поднести.
