Како Отапатъ взятъ бысть	Как была взята Иотапата
Иосифу же двоумующу, вои хотяху съ гнѣвомъ закурити пещеру. И сей увѣдѣвъ грозу их, въспомяну сны нощныя, имже Богъ показа ему будущаа на иудѣя бѣды. Бысть же на разрѣшение сномъ хитръ и мога разумѣти, яже Богъ кажеть с покровомъ, и священныхъ книгъ пророческыхъ не утаилося от него, зане иерѣй бысть и от иерѣйскаго племене родися. И въ той час духа исплънився, и рассуди страшнаа видѣниа соннаа, и принесе къ Богу тайную молитву глаголя: «Понеже иудѣйскъ род, зиждителю, осклаблено ми ся мнить прѣдъ твоима всевидящима очима и всю вазнь преводилъ еси на римляны и поручилъ еси имъ свою крѣпость, и мою душю избавилъ еси проповѣдати будущаа, и се твоимъ святымъ повелѣниемъ даю руцѣ римляномъ волею, и кленуся святымъ твоимъ именемъ, яко не живота дѣля въсхожю, ни предати хотя отечьство, но послужити твоей славѣ и силе, и проявити ми яже показа».	И поскольку Иосиф колебался, воины хотели в гневе поджечь пещеру. И он, узнав об этой угрозе, вспомнил ночные сны, в которых Бог показал ему несчастья, которые обрушатся на иудеян. Он же хорошо толковал сны и умел понимать то, что Бог показывал прикровенно, и ничто из священных пророческих книг не было для него тайной — ведь он был священник и происходил из рода священников. И в тот час преисполнился духа и растолковал страшные сонные видения и вознес к Богу тайную молитву, говоря: «Поскольку род иудейский, о творец, кажется мне лишившимся силы пред твоими всевидящими очами и всю удачу ты перенес на римлян и наделил их своею мощью, а мою душу спас, чтобы я возвещал о будущем, — и вот, по твоему святому повелению, я добровольно даю руку римлянам и клянусь твоим святым именем, что выхожу не ради спасения жизни и не желая предать отечество, но послужить твоей славе и силе, чтобы сделать явным то, что ты мне показал».
И тако рекъ, простре руку к Никонору. Иудѣи же иже с нимъ, очютивше его хотяща вылести, и обьступивше въпияху, яко велми постенеть отечьскый законъ, и дряхлъ будеть Богъ, иже създа иудѣомъ душа обидящаа смръти и непокориви. «Животъ ли любиши, Иосифе? Тръпиши ли видѣти свѣтъ работный? Велми ускорилъ еси на забыть, коликы научилъ еси умирати за свободу. А лжу славу приялъ еси о мужествѣ, и всуе еси былъ мудръ, оже уповаеши от них спастися, ихъже сердце раскровави. Но аще ты ума своего забылъ еси, но намъ подобаеть промыслити о отечьскомъ законѣ. Се ти мечь: аще въгрузиши въ свою утробу волею, то будеши вѣчный воевода июдѣйскъ; аще ли не хощеши, умреши от нашихъ рукъ, акы прѣдатель». Тако глаголюща обнажиша мечь на нь, аще дасться римляномъ.	И сказав так, протянул руку Никанору. А иудеяне, которые были с ним, узнав, что он хочет выйти, окружили его, крича, что сильно восстенает отеческий закон и опечалится Бог, который сотворил иудеянам души непокорные и презирающие смерть. «Или ты любишь жизнь, Иосиф? Но потерпишь ли ты видеть свет рабства? Ты слишком быстро забыл, скольких сам научил умирать за свободу! А лжива слава о твоем мужестве, и всуе был ты мудр, если надеешься спастись от тех, чье сердце раскровавил! Но если ты позабыл свой ум, то нам подобает позаботиться о законе отцов. Вот тебе меч: если вонзишь в свою утробу своею волей, то будешь вечно воеводой иудеян, если же не хочешь — умрешь от наших рук как предатель». С этими словами они обнажили на него меч <опасаясь, что> он предаст себя римлянам.
Иосифъ же убояся насилства их, и мня обиду Божественую, аще прежде повелѣниа Божиа умреть, начя мудрити къ нимъ яже при нужн, и рече: «Въскую на ся смръти ищемъ? Въскую възлюбленнаа разлучяемъ — душю и тѣло? Мните ли мене измѣнившася? Но не измѣнихся. Лѣпо при брани убиену быти от ратныхъ рукъ. Аще бо римскаго мечя боюся и крыюся, то достоинъ есмь въ истинну своею рукою и своимъ мечемъ умрети. Аще ли щадять насъ плѣнныхъ, то како намъ не достоить ли помиловати себе? Добро ли свободы ради умрѣти, то мнѣ любо прѣд полкомъ. Нынѣ кде плъкъ? Кто с нами биется? Страшивъ же есть вкупѣ иже не умираеть, егда достойно, и иже умираеть, егда не достойно. Что же боящеся не внидемъ к римляномъ? Смръти ли? Да въскую егоже ся боимъ чаемо от врагъ, сами на ся влечемъ нуждею? Работу ли кто поносить? Нынѣ же та велми есмы свободни. Храборъ ли мнится вамъ еже ся рѣжеть? Ни, нъ слабейши всѣхъ человѣкъ, якоже кръмникъ волнъ убояся, прежде бури потопи корабль. Саморѣзание же кромѣ естества есть, и вдано никоторому животну, ни можеть обрѣсти ниединого собою умирающаго. Естественый бо законъ крѣпокъ въ всѣхъ животу хотѣти. Того ради и отъимающихъ от насъ животъ врагъ мнимъ, и Бога прогнѣваеть человѣкъ, егда ся дару его поругаеть, и безаконствуеть прѣд очима его. Всяка плоть смрътна есть и от тлѣнна естества създанна, душа же безъсмрътна выину, и Божественымъ подобиемъ въ телеси пребываеть. Аще ли кто погубить чюжь кровъ, вданое ему на съхранение, то наречется лукавъ и невѣренъ, и всѣмъ непотребенъ. Аще же кто разлучить кровъ Божий от своего тѣла, какъ можеть утаитися от обидимаго? Аще работенъ убѣжить от господина, аще и лукавъ есть, достоинъ есть муцѣ. Сами же прекраснаго владыкы и предобраго, Бога бѣгающе, не будемъ ли нечтиви? Не вѣсте ли, яко выходять от сего жития по естественому закону, взятый от Бога длъгъ отплативше, егда хощеть взяти? То тѣмъ слава вѣчнаа, и доми тверди, и роди памятни, а душа ихъ чисты и непорочны пребывають у святаго небеснаго мѣста и чають оттуду въспять вселитися имъ въ своя телеса, егда възвратятся вѣци. И пакы, иже на ся възложивше руки, то душа ихъ адъ темный приемлеть, Отець же и Богъ и до правнукъ мучить ихъ. Тѣмъ възненавидѣно се прѣдъ Богомъ, и законодавець нашь повелѣ до запада солнечьнаго лежати безъ погребениа тѣлесомъ самоубийць; по инѣм же землямъ и десниця мрътвых отрѣзають. Достойны есмы, о друзи, съ правдою ходити, а не приложити къ напастемъ человѣческымъ гнѣва зиждителева. Се моея рѣчи конець. Не могу предатель собѣ быти. Иноплеменници зовуть на спасение — азъ ли хощю на мечь налечи? Не буди ми се. Аще же и по вдании рукы убиють мя, то яко вѣнцемъ побѣднымъ вѣнчянъ отъиду, имѣя невѣрство ихъ луче цѣсарства».	Иосиф же испугался, что они будут действовать силой, и считая пренебрежением по отношению к Богу, если он умрет прежде Божия повеления, начал хитрить с ними, потому что положение было безвыходное, и сказал: «Почему мы ищем себе смерти? Почему мы разлучаем возлюбленных — душу и тело? Вы считаете, что я изменился? Но я не изменился! Хорошо умереть в битве от рук врага. Если я боюсь римского меча и укрываюсь, то в самом деле я достоин умереть от своей руки и своего меча. Но если нас щадят, взяв в плен, то разве нам не должно помиловать себя самих? А что прекрасно умереть за свободу — то мне это любо перед войском. А сейчас — где войско? Кто с нами бьется? Равно труслив тот, кто не умирает, когда подобает, и кто умирает, когда не подобает. Так чего же мы боимся, что не выходим к римлянам? Смерти? Но почему то, чего мы боимся, ожидая этого от врагов, мы сами на себя навлекаем насильно? Если же кто поносит рабство, то теперь мы очень свободны?! Или же вам кажется храбрым тот, кто сам себя убивает? Напротив, это — слабейший из всех людей, подобный кормчему, который, испугавшись волн, прежде бури потопил корабль. Самоубийство же противоестественно и не дано ни одному животному — ведь ни одно из них себя не убивает. Во всех силен естественный закон — хотеть жить. Поэтому отнимающих у нас жизнь мы считаем врагами, и прогневает Бога человек, если дар его отдает на поругание, и творит беззаконие пред очами его. Всякая плоть смертна и создана из тленного естества, душа же вечно бессмертна и пребывает в теле по Божественному подобию. Если кто-нибудь погубит чужой залог, данный ему на сохранение, то его назовут коварным и вероломным, с которым никому нельзя иметь дело. Если же кто разлучит Божий залог от своего тела, то как может он укрыться от того, кому нанес обиду? Если раб убежит от господина, даже плохого, то он достоин кары. Но убегая сами от прекрасного и предоброго владыки — от Бога, не окажемся ли мы нечестивцами? Разве вы не знаете, что из этой жизни уходят по естественному закону, отплатив взятый у Бога долг, когда он захочет взять? И таким — слава вечная и дома крепкие и потомки не забывающие, а души их, чистые и непорочные, пребывают в месте святом и небесном и ждут, когда вернутся обратно и вселятся в свои тела после того, как обратятся века. Но те, кто на себя налагает руки, — их души темный ад принимает, а Отец и Бог мучит их до правнуков их. Потому ненавистно это пред Богом, и законодатель наш установил, чтобы до захода солнца тела самоубийц лежали без погребения; в других же странах и правую руку у мертвых отрезают. Мы достойны, о други, ходить с правдой, а не добавлять к человеческим бедам гнева творца! На этом свое слово кончаю. Не могу быть предателем самому себе. Иноплеменники зовут нас на спасение — и я ли захочу броситься на меч? Да не будет этого! Если же после того, как я дам им руку, они убьют меня, то я паду, как бы увенчанный победным венцом, предпочитая их вероломство царству».
Таковаа многа глагола Иосифъ к нимъ, браня имъ от саморѣзаниа. Они же заградивше уши отчаяниемъ, обьступиша и, убити хотяща, поругающе и хуляще на слабость. Онъ же ового именемъ нарицаа, на другаго же съ грозою зря, ового же за руку попадаа, различными рѣчми отреваше от себе. И тии еще стыдящеся от своего воеводы акы при плъку и срамляющеся, никтоже възложи рукы на него.	Много подобных слов говорил к ним Иосиф, удерживая их от самоубийства. Они же, заградив уши отчаянием, обступили его, собираясь убить, понося и хуля за слабость. А он, одного называя по имени, на другого глядя с угрозой, третьего хватая за руку, разными речами отталкивал их от себя. А их, еще сохранявших уважение к своему военачальнику, как в строю, удерживал стыд, и никто не поднял на него руку.
И сей, поручивъ спасение свое Богу строителю, рече: «Понеже благоволилъ Богъ умрѣти намъ, числомъ да убиени будемъ: на негоже конець числа будеть, да той будеть убиенъ от втораго». Тако рекъ, почте числа мудростию, и тѣмъ пребляди вся, и убиени быша вси другъ от друга, развѣи единого. И тъснася, да не осквернить десниця кровию сродническою, помолися тому, и оба вынидоста жива. И поведоша а къ Еуспасияну, а римляне вси течяху на позоръ, и бысть кличь разноличенъ, овѣмъ радующимся о Осифовѣ плѣнении, овѣмъ грозящимся, овѣм же велящимъ мучити и убити врага, овѣм же дивящимся премѣнению житийскому. Еуспасианъ же повелѣ утвердити и, да послеть и къ Нерону.	И он, предоставив спасение свое Богу-промыслителю, сказал: «Поскольку благая воля Бога — нам погибнуть, умрем по счету: на ком закончится счет, пусть будет убит следующим». И сказав так, рассчитал числа с хитростью, и тем обманул всех, и все были убиты друг другом, кроме одного. И он, стремясь не осквернить руки родственной кровью, упросил того, и оба вышли живыми. И повели их к Веспасиану, а римляне все устремились на зрелище, и поднялся разноголосый крик: одни радовались, что Иосифа взяли в плен, другие выкрикивали угрозы, третьи требовали пытать и убить врага, а иные дивились превратности жизни. Веспасиан же приказал взять его под стражу, чтобы послать к Нерону.
О градѣ Иерусалимѣ и о церкви и о катапѣтазмѣ	О городе Иерусалиме, и о храме, и о завесе
Како бѣ град Иерусалимъ	Каким был город Иерусалим
Град же бѣ ограженъ трѣми стѣнами, идеже не заидоша глубокы пропасти, въ тѣхъ бо мѣстех едино огражение бысть. Самъ же град създанъ бысть на двою гору, а между горама дебрь есть, в неиже чястии храми стояху. И от тою гору едина бысть вышьши и длъжши, на неиже стоить Горнии градъ, нареченъ Давыдом[16]цѣсаремъ Хранитель,[17] зане бысть утверженъ, иже бысть отець Соломоновъ,[18] создавшаго церкви пръвѣе. Втораа же нарицается Край,[19] на неиже създанъ град Длъний на дву горбу, пред нею дебрь глубока. Потомъ же в лѣта, в няже цѣсарствоваша Асамонѣи,[20] дебрь ту исплъниша, хотяща сравнати градъ церкви, а иную высоту желѣзы сѣкуще сътвориша ниже, да явится выше и церковьный връхъ. Сыротворенаа же дебрь,[21] юже рекохомъ межди градома, доидеть до Силуана,[22] идѣже бяше кладязь сладокъ и множаася. И окрестъ гору обыдоша пропасти страшны, имиже неприступно ниоткудуже.	Город был огражден тремя стенами там, куда не вдавались глубокие пропасти, а в этих местах было одно ограждение. Сам же город был построен на двух горах, а между этими горами — долина, в которой стояли теснящиеся друг к другу дома. Из этих двух гор одна была выше и длиннее — на ней стоит Верхний город, назвайный царем Давидом «Хранитель» за то, что был укреплен; этот царь был отцом Соломона, осуществившего первоначальную постройку храма. А вторая называется «Вершина»; на ней построен Нижний город на двух холмах, а перед ней — глубокое ущелье. Потом в годы, когда царствовали Хасмонеи, это ущелье засыпали, чтобы сравнять город с храмом, а другую вершину, иссекая железом, сделали ниже, чтобы выше казался верх храма. А Долина сыроделов между двумя городами, о которой мы сказали, доходит до Силоама, где был сладкий и обильный источник. А вокруг двух гор пролегли пропасти страшные, через которые нет приступа ни с какой стороны.
От трий же стѣнъ пръваа създана бысть Давидомъ и Соломономъ твердо велми и неприступно, и починается от Коннаго сына[23] и кончяется до Соломоновы купѣли[24] и до Офласа.[25]Втораа же починается от вратъ Генафь[26] и обиходить до Антония[27] и кончяется. Третьяя же идеть от Коннаго сына и до Мусиинаго[28] и кончяется до Елѣнинъ гробъ[29] и до Цѣсарьскых пещеръ,[30] идеже гробъ Синничь.[31] Агрипа[32] же придѣлалъ бяше къ острогу новы стѣны и нарече я Везефа,[33] наречемыи Новый градъ, но не кончя дѣла убоявся Клавдѣя,[34] да не мнить велика дѣла на разрачениа дѣлана. Не могли быша взяти града сего, аще бы Агрипа скончялъ стѣны акы почялъ: созда бо камениемъ по два десяти локотъ тлъстоты, а по десяти широта, ни желѣзы мощно сѣчи их, ни овны подвигаемо. Агрипѣ же прѣставшу от дѣла, якоже рекохомъ, страха дѣля, иудѣи же възвысиша до полутретиа десятъ лакотъ.	Из трех же стен первая была построена Давидом и Соломоном очень крепкой и неприступной; она начинается от Конной башни и кончается у Соломоновой купели и Офела. Вторая начинается от Геннафских ворот, идет кругом до Антониевой крепости и там кончается. Третья идет от Конной башни до Мозаичной и кончается у Елениной гробницы и Царских пещер, где могила Красильщика сукон. Агриппа пристроил к ограде новые стены и назвал их «Везефа», что значит «Новый город», но не завершил постройки, из-за страха перед Клавдием, как бы тот не заподозрил, что огромная постройка предпринята для <подготовки> мятежа. Этот город не смогли бы взять, если бы Агриппа закончил стены, как начал: ведь он строил из камней в двадцать локтей толщиной и в десять шириной — их нельзя было ни прорубить железом, ни поколебать бараном. После того, как Агриппа прекратил строительство — как мы сказали, из-за страха, — иудеяне достроили <стены> до двадцати пяти локтей в высоту.
Церкви[35] же създана бысть на горѣ высоцѣ на верху равнѣ, окрестъ же ея пропасти великы. Цѣсарю же Соломону стѣны създавшю на въсточную страну и приспу, сътвори на ней комары, по инѣм же странамъ гола бысть церкви. И въ послѣдняя времена людемъ выину присыпающимъ, сравнаша гору и разшириша, и просѣкше полуденьныя стѣны, оттуда объградиша окръстняя церкви. И оградивше около горы и трудившеся паче силы, съвершиша дѣло славно, на немже длъгы вѣкы искончяшася и священное съкровище исклочися, и посылаемо от всея вселенныя на честь Богови. А идеже глубока мѣста бяше, 300 лакотъ въздаяху камениемъ и по 40 лакотъ въ тлъцѣ. Множество бѣ имѣния и людско поспешение паче ума и слова съвершаше строение, и искончяша еже видящимъ вѣрно, а слышащимъ невѣрно.	Храм же был создан на высокой горе, на вершине, на ровной площадке, а вокруг него — огромные пропасти. Царь Соломон построил стены с восточной стороны и сделал насыпь, а на ней — крытую галерею; с другой же стороны храм был неогорожен. И люди, в последующее время постоянно возвышая насыпь, сравняли гору и расширили ее и, прорубив южные стены, огородили с этой стороны место вокруг храма. И, сделав ограду вокруг горы и трудясь свыше сил, завершили знаменитое сооружение — на это ушли долгие века и было истрачено священное сокровище, присылаемое со всей вселенной на почитание Бога. А где места были низкие, надстраивали на триста локтей камнями по сорок локтей толщиной. Множество средств и старание людей создавали строение превыше слова и ума и довершили то, в чем видящие могли удостовериться и чему слышащие не могли поверить.
Верху же сугубы комары създаша, стлъпи же камени в нихъ по полутретью десятъ въ высоту лакотъ, изъ единого мрамора, бѢли учинени; покровъ же бысть кедреными дсками, добрѣ тесаными. И многоукрашенно естествомъ, имже видѣць не можаше скоро отнести очи свои от видѣния; рукописаннаго же строения не бысть в немъ, ни рукодѣлания. Кругло же стѣнно бысть 6 връстъ, и дворъ же не покрытъ, украшенъ бѣ различными камении възидаеми и помощенъ. Оттудуже въсходъ бысть на вторую церковь, прѣд неюже прѣдграднии камение трилокотное высотою, а видѣниемъ весело зѣло; в нѣиже стояху стлъпи равни, и на нихъ титлы грамотами еллинскыми и римскыми и жидовскыми, проповѣдующе законъ чистотѣ и да не приидеть внутрь иноплеменникъ. То бо нарикаху святое, 14 степени проходимо, и на четыри углы създанъ верхъ. И над тѣми титлами четвертаа титла висяше, тѣми грамотами показаа Исуса, цѣсаря не цѣсарствовавша, распятаго от иудѣй, зане проповѣдаше разорѣние града и опустѣние церкви.[36]	А наверху они построили двойные крытые галереи, и колонны в них были каменные, по двадцать пять локтей в высоту, сделанные из цельного мрамора, белые; покрытие же было из кедровых досок, хорошо отесанных. И храм был великолепен благодаря естественной красоте, так что зритель не скоро мог отвести глаза свои от <этого> зрелища; росписи же и ничего сделанного руками не было в нем. Кругом была стена на шесть верст, а двор не был покрыт, но украшен и вымощен различными встроенными камнями. И оттуда была устроена лестница ко второму храму, а перед ним — перегородка из камней высотой в три локтя, очень приятная на вид; и за ней стояли одинаковые столбы с надписями греческими, латинскими и еврейскими буквами, возвещающие закон <соблюдения> чистоты и запрет иноплеменникам входить внутрь. Они называли это «святое»; в него проходили по 14 ступеням, и верх был сделан четырехугольным. А над теми надписями висела четвертая надпись, теми же буквами, возвещающая об Исусе, царе не царствовавшем, распятом иудеями за то, что он предсказывал разорение города и запустение храма.
И на въсточную страну врата быша и мѣсто отдано женамъ на службу и на молитву; инѣми бо дверми недостойно бѣ женамъ внити, ни въ своя двери прелазити огражения. Въ западнѣи же странѣ не бысть вратъ, но от краа и до краа загражено же бысть стѣнами. Комары же, иже межи враты быша, зряще внутрь от стѣнъ прѣд газофилакиемъ, над великыми стлъпы мраморяными стояху.	А на восточной стороне были ворота и место, отведенное женщинам для службы и молитвы, ибо через другие двери женщинам входить не подобало, так же как и переходить за ограду через свои двери. С западной же стороны не было ворот, но от края и до края было загорожено стенами. Крытые же галереи, которые были между воротами, обращенные внутрь от стен перед сокровищницей, стояли на больших мраморных колоннах.
От вратъ же 9 златом и сребромъ покованы быша, и с вереями и съ одверием, едина же внѣшняя коренфийскою мѣдию окована бяху, свѣтлѣйши и честнѣйши сребреныхъ и позлащенныхъ. По всѣм же вратомъ по двоя двери быша, кояждо же дверь имяше въ высоту 30 лакотъ, а в широту 15, от вратъ и до вратъ 30 лакотъ. Оград мраморянъ образомъ сынномъ, высота же его болѣ 40 лакотъ. И по два стлъпа мраморяна по коемждо оградѣ стояху, и величество всѣхъ бысть равно. Въсточнаа врата кореньфинскаа 50 лакотъ быша възвыше, а двери 40 лакотъ, на нихъже тлъстота злата и сребра бѣ паче. Всѣхъ бо инѣхъ 9 Александръ[37] покова, Тивериевъ[38] отець. Степений же 15 до великых вратъ от женскаго мѣста быша.	Из ворот девять были окованы золотом и серебром, с косяками и притолоками, а одни, внешние, окованные коринфской медью, были еще прекраснее и драгоценнее, чем серебряные и позолоченные. Во всех воротах было по две двери; каждая дверь имела в высоту тридцать локтей, а в ширину пятнадцать; от ворот и до ворот — тридцать локтей. Ограда — мраморная, башнеобразная, высота ее более сорока локтей; и у каждой ограды стояли по две мраморные колонны, и величина всех была одинакова. Восточные ворота — коринфские — были пятьдесят локтей высотой, а двери — сорок локтей, и толщина золота и серебра на них была больше. Все остальные девять поковал Александр, отец Тиберия. Ступеней же было пятнадцать до больших ворот от места для женщин.
Сама же церкви среди стояше, святое священое, двѣма на десять степенема непроходимо;[39] высота же ея прѣдняя 100 лакотъ възвыше, а вшире такожде, задняя же ея 40 лакотъ ужше. Пръваа же врата имяху въ высоту 70 лакотъ, а вшире полутретиа десят локотъ, дверий же не имѣяше по подобию невидѣния небеснаго. Позлащена быша чела вся, и приклонившимся к нимъ видѣнъ бысть внутрений весь домъ, сияемь златомъ. Си же церкви есть покрыта бысть сугубъ, а пръвый храмъ прѣдстояше, въздвиженъ великою высотою 90 лакотъ, а ширина до 50, а продлъжено до 20. Висяхуть же над тѣми враты лозы златы, а от нихъ грезни злати, възвыше мужеска възраста. Внутрь же и двери быша сухаго злата, 50 и 5 локотъ възвыше, а вширѣ 16. Прѣд тѣми же висяше катапетазма,[40] равна широтою и долготою, яже бѣ паволока вавилонскаа, устроена уакинфомъ, и виссомъ, и кокомъ, и перфиромъ, чюдно видѣниемъ, но не безъ мудрости видѣние имущи, но на ображение всѣмъ. Прообразовашет бо кокъ огнь, а усъ землю, а уакинфъ аиера, а порфиръ море: кокъ бо и уакинфъ подобитася прѣдреченнымъ образомъ, усъ же и перфира ражаниемъ приближаетася оно къ земли, оно къ морю. Написано же бѣ на той катапетазмѣ всяко небесное видѣние и мудрость, развѣ двою на десять поясъ небесныхъ.[41]	Сам же храм стоял посередине, священное святилище, имевшее двадцать две ступени, в которое нельзя было входить; высота его впереди сто локтей, а в ширину столько же; задняя его сторона на сорок локтей уже. Первые ворота имели в высоту семьдесят локтей, а в ширину двадцать пять локтей, дверей же они не имели — по подобию неба, недоступного взору. Все лицевые стороны были позолочены, и, приникнув к ним, можно было увидеть все внутреннее строение, сияющее золотом. Этот храм был перекрыт дважды, а первый храм стоял впереди, воздвигнутый на огромную высоту — девяносто локтей, а ширина — до пятидесяти, а в длину — до двадцати. Над этими воротами висели золотые лозы, а на них — золотые грозди, больше человеческого роста. Внутренняя отделка и двери были из чистого золота, пятьдесят пять локтей в высоту, а в ширину — шестнадцать. Перед ними висела завеса, равной ширины и длины; это была вавилонская пелена, сделанная из синей ткани и виссона, червленицы и багряницы — чудная видом, и вид ее был не без смысла, но заключал в себе образ всех вещей: ведь червленица служила образом огня, виссон — земли, синяя ткань — воздуха, а багряница — моря. Ведь червленица и синяя ткань видом подобны названным <стихиям>, виссон же и багряница по рождению близки один к земле, другая — к морю. Изображено же было на той завесе все, что видно на небе, согласно науке, кроме двенадцати небесных поясов.
Си же катапетазма прѣд симъ родомъ бысть цѣла, зане благочестиви быша людие; нынѣ же жалостно бысть зрѣти на ню: раздра бо ся внезаапу от верху и до долу, егда добродѣйца мужа, и не мужа дѣломъ, прѣдаша на убой мздою. И ина знамения многа страшна кажут бывша тогда. И того убиена и по погребении не обрѣтома въ гробѣ глаголаху — ови бо творяху въставша его, ови же украденна его своими другы. Не вѣм же, котории правѣйше глаголють: въстати бо мрътвый собою не можеть, но молитвою иного праведника поспѣшаемъ, развѣ аще аггелъ будеть или инъ от небесныхъ силъ, или самъ Богъ явится яко человѣкъ и сътворить елико хощеть, и ходить съ людми, и падеть и ляжеть и въстанеть, яко есть ему воля. Ови же рекоша, якоже немощно есть украсти его, понеже окрестъ его гроба посадиша стражи — 1000 римлянъ, а 1000 июдѣй. Таковаа о той катапетазмѣ глаголемаа суть, и противу вину раздрание ея есть.[42]	Эта завеса до нашего поколения была цела, потому что люди были благочестивы, а теперь — жалко было смотреть на нее: ведь она внезапно разорвалась сверху донизу, когда творившего добро человека — и не человека деяниями — предали на убийство за мзду. И рассказывают о многих других страшных знамениях, случившихся тогда. Говорили, что он был убит и после погребения не найден во гробе — одни утверждали, что он воскрес, а другие — что был украден своими друзьями. Не знаю, кто из них ближе к правде: ведь мертвый не может сам собою воскреснуть, но лишь с помощью молитвы другого праведника, если только это не будет ангел или кто-нибудь иной из небесных сил, или сам Бог явится в образе человека и сотворит все, что хочет, и ходит среди людей, и погибнет, и почиет, и воскреснет по своей воле. Другие же говорили, что украсть его невозможно, потому что вокруг его гроба посадили стражу: тысячу римлян и тысячу иудеян. Вот что рассказывают об этой завесе, и по этой причине разорвалась она.
