КНИГЫ «БЧЕЛА».	КНИГИ «ПЧЕЛА».
Златоустъ. Рьци ми, кто васъ, домовь шедъ, книгы взялъ крестьяньскыя въ руку и чтение челъ, и испыталъ писание? Никто же можеть того изрещи. Но тавлѣи и шахы въ многых васъ обрѣтаеми суть, а книгъ ни въ кого же, развѣ и въ малыхъ, но и ти таци же, якоже и не имѣюще: съгнувъше бо я, и кладуть въ лари — а въсе имъ тъщание на харатийную тонкоту и на грамотную красоту, а о чтеньи не пекуться. Не душевныя пользы ради стяжають книгы, но хотяще явити богатьство свое и гордость. Тако преумножися въ них тъщеславие, а никто же слыша рькуща: «Вѣмъ книжную силу!»	Златоуст. Скажи мне, кто из вас, домой возвратясь, книги взял христианские в руки, и прочел, и обдумал написанное? Никто не может этого сказать. Вот карты и шахматы у многих из вас можно найти, а книг ни у кого, разве что у немногих, но и те таковы же, как и не имущие книг: закрывши, кладут их в лари — вот и вся забота о книжной мудрости и письменной красоте, а о чтении и не заботятся. Не душевной пользы ради приобретают книги, но желая явить богатство свое и гордыню. Так преумножилось среди них тщеславие, и нет никого, кто сказал бы: «Знаю силу книги!»
Невозможно есть велика учения начати мало учивъся.	Невозможны обширные знанья при малом ученье.
Климий. Мудрость въслѣдуеть дѣянию, якоже и тѣлу стѣнь.	Климий. Мудрость сопровождает деянье, как тень тело.
Дѣлатели, видящи класы, клонящася к земъли, радуються, вѣдуще, яко исполнени суть жита; аще же прости стоять, печаль возложать дѣлателемъ, вѣдущимъ, яко тъщи суть. Такоже и уношѣ, тягости тъщеѣ и мудростьноѣ не имуще, с шатанием живуть, и образъ хожения, и лица ихъ буява, и обиды испольнена, имъ же не щадять всего. Наченше же съзирати и плодъ събирати от слова, тогда гордыньну укору отмѣтають. Якоже съсудъ тощь, въздуха исполнен есть, нальянъ же водою или виномъ, или инымъ чимъ исполненъ, воздухъ отходит, такоже и человѣци, исполнивъшеся истинънаго блага, отступаеть тщеславие.	Земледельцы, видя колосья, к земле склоняющиеся, радуются, зная, что наполнены зернами; если же колосья прямо стоят, тревожатся земледельцы, зная, что пусты они. Так же и юноши, тягости от отсутствия знаний не ощущая, живут в колебанье, и даже походка и лица их заносчивы, и вражды исполнены, и никого не щадят они. Начав же осматриваться и плоды собирать от ученья, от суровых попреков они избавляются. Как сосуд пустой, воздухом наполненный, наливаясь водою или вином, или иным чем наполняясь, воздух изгоняет, так же и люди, исполнившись истинного блага, изгоняют тщеславие.
Еронъ. Сь цесарь сикелиискыи въпроси Ксенофонта о творци Омирѣ, и, оному же хулившю его, пакы въпроси его: «Колико рабъ имѣеши?» А тому рекшу: «Два, и тою едва могу укормити»— и отвѣща ему Иеронъ: «Не стыдиши ли ся, охуляи Омира, иже по своеи смерти кормить боле ста тысячь своим творениемъ?!»	Гиерон. Этот царь сицилийский спросил Ксенофонта о поэте Гомере, и, когда тот стал порицать Гомера, снова спросил: «Сколько у тебя рабов?» И когда тот ответил: «Двое, и тех едва могу прокормить»,— отвечал ему Гиерон: «И ты не стыдишься порицать Гомера, который после своей смерти кормит более ста тысяч своим творением?!»
Лаосъ рече. Сь, въпросимъ, что есть мудрость, и рече: «Искушение».	Лаос сказал. Этот, спрошенный, что такое мудрость, ответил: «Опыт».
Чьто есть человѣку умну тяжелѣ всего работати? Отвѣтъ: А тяжелѣ всего человѣку умну работати глупа и упряма учити человѣка.	Что человеку умному тяжелее всего делать? Ответ: А тяжелее всего человеку умному глупого и упрямого учить человека.
О БОГАТЬСТВѣ И О УБОЖЬСТВѣ	О БОГАТСТВЕ И О БЕДНОСТИ
Сирахъ рече. Въспомяни гладъ въ время сытости, убожьство и скудьство во время богатьства: от утра и до вечера премѣняеться время.	Сирах сказал. Вспомни голод во время сытости, бедность и скудость во время богатства: от утра и до вечера пременяется время.
Вазнь, якоже стрѣлець, овогда улучаеть, стрѣляющи въ насъ яко въ начичь, овогда же на прилежащая ближняя.	Счастье, подобно стрелку: иногда попадает в нас, как в мишень, иногда же в ближайших соседей.
Димонаксъ. Кажеть побѣда храбраго, а напасть умнаго.	Демонакс. Выказывает победа храброго, а несчастье умного.
Димитрий. Иже не можеть крѣпъко держати печали, то радости не терпить.	Димитрий. Кто не умеет твердо держаться в печали, тот радости не перенесет.
Добровазнье мню, якоже и овощь: времени же минувшю исъхнеть.	Везенье сравню с овощем: как время настанет — засохнет.
О ЯРОСТИ И О ГНѣВѣ	О ЯРОСТИ И О ГНЕВЕ
Сирахъ. Ярость и гнѣвъ умаляеть дни.	Сирах. Ярость и гнев умаляют дни.
Плутархъ. Ярость подобна есть суцѣ: якоже она слѣпа ражаеть щенята, такоже и от ярости слѣпы вины исходять.	Плутарх. Ярость подобна суке: как та слепыми рождает щенят, так и слепые обвинения в ярости исходят.
Лютъ конь уздою въздержиться, а скоръ гнѣвъ умомъ обуздаеться.	Дикий конь уздой удержится, а скорый гнев умом обуздается.
Кротъко слово сазрушаетъ гнѣвъ.	Кроткое слово укрощает гнев.
Сотионъ. Сей рече: «Бѣста два мужа мудра, а гнѣвлива — Араклитъ и Димокрит. Единъ же, разгнѣвався, прослезися, а другый — смѣяшеться, и тѣмъ нравомъ отбѣгоста ярости».	Сотион. Этот сказал: «Было два мужа мудрых, но гневливых — Гераклит и Демокрит. Один, разгневавшись, прослезился, а другой — рассмеялся, и таким образом избавились от ярости».
О МОЛЧАНИИ И О ТАЙНѣ	О МОЛЧАНИИ И О ТАЙНЕ
Богословъ. Глаголи, когда чюеши слово луче молъчания, молчанье же люби, еже чюеши луче глаголанья.	Богослов. Говори, когда чувствуешь, что речь лучше молчанья, к молчанью же прибегай, если чувствуешь, что оно лучше речи.
Пупо риторъ. Не хотя слышати многы рѣчи, повелѣ рабомъ своимъ протива прашанья отвѣщевати бес приложения. Потомъ же, почтити хотя Клавдия князя обѣдомъ, и посла зватъ его и устроивъ свѣтелъ пиръ. Наставъшю же часу обѣдьнему, и инии звании все приехаша, а Клавдия вси чаяху, и многажды посылаше обычнаго зватая съ загляданиемъ, аще идеть. Вечеру же бывъшу, отчаянъ бывъ Клавдии и рече рабу, звавшему и́: «Звалъ ли еси?» — онъ же рече: «Ей!» И рече: «Како не приде?» — и онъ рече: «Яко не бѣ часъ». И онъ рече: «Въскую ми еси исперва не повѣдалъ?» И онъ рече: «О томъ бо еси мене не прашалъ».	Судья Пупо. Не желая слушать долгих речей, велел рабам своим на просьбы отвечать без разбирательства дел. Однажды, думая почтить правителя Клавдия обедом, послал звать его и устроил богатый пир. Когда же настало время обеда и прочие званые все собрались, Клавдия все еще ожидали и много раз посылали положенного дозорного поглядеть, не идет ли. Когда же наступил вечер, отчаялся судья дождаться Клавдия и спросил раба, приглашавшего того: «Звал ты его?»— тот же отвечал: «Нет, ибо нет времени». И сказал судья: «Почему ты мне не сказал об этом сразу же?» И раб ответил: «Об этом ты меня не просил».
Зинонъ философъ. Мучимъ цесаремъ Дмитром, да бы проявилъ которую тайну своего отечьства, и нудимъ сый, укуси языка своего и рождьвавъ, выплюну на нь.	Зенон-философ. Пытаемый тираном Димитрием и понуждаемый выдать какую-то тайну своей родины, откусил язык свой и, разжевав, выплюнул в него.
<Аристотель>. Сь, въпросимъ, что люто во всемъ житии, и отвѣща: «Молчати, яже льзѣ глаголати».	Аристотель. Этот, спрошенный, что в жизни труднее всего, ответил: «Молчать, если можно говорить».
<Сократ>. Сь, въпросимъ, кто тайну может хранити, и отвѣща: «Иже угль горячь можеть возложити на языкъ».	Сократ. Этот, спрошенный, кто тайну может хранить, отвечал: «Тот, кто уголь горячий держать на языке сумеет».
Нѣкому поносящю ему, яко воняеть ему душа, и отвѣща: «Многы бо тайны изъгнили суть въ моемъ горлѣ».	Когда кто-то поносил его за зловоние изо рта, он ответил: «Ибо многие тайны сгнили в горле моем».
О МНОГОПЫТАНИИ И О МОЛЧАНЬИ	О СУЕТНОСТИ И О СПОКОЙСТВИИ
Алькивиадъ. Сей имѣ пса красна; и седмь тысящь злата въдасть на немъ — и отрѣза ему хвостъ. Нѣкому въпрошьшю его, что ради тако сътвори, и рече: «Да быша о томъ молвили люди, а не о мнѣ».	Алкивиад. У этого был красивый пес; семь тысяч золотом отдал за него — и отрезал ему хвост. Когда кто-то спросил, зачем он так сделал, ответил: «Чтобы о том судачили люди, а не обо мне».
Мосхионъ. Нѣкому рекъшю к нему: «Чему села не брежеши, а собою печешися?» — и рече: «Того дѣля пекуся, его же дѣля и село стяжахъ».	Мосхион. Когда кто-то спросил его: «Почему поместьями пренебрегаешь, о себе же заботишься?»— ответил: «Потому же забочусь, ради чего и поместья приобретал».
Герионъ. Сь, узрѣвъ мужа, на небо зряща и звѣзды пытающа,— и въ пропасть въпадъшася, и рече: «По достоянью еси приялъ, иже, земнаго не свѣдая, и небесныхъ пытаеши!»	Герион. Этот, увидев человека, на небо взиравшего, вопрошавшего звезды и упавшего в пропасть, сказал: «Получил по заслугам, ибо, не разумея земного, у небес вопрошаешь».
О МНОГОИМАНЬИ И ОБИДѣ	О ГРАБЕЖЕ И ОБИДЕ
Иже, чюже грабяи, съзидаеть имъ домъ свои, то яко каменье собра въ рѣку зимьнюю.	Кто, грабя чужое, на том созидает дом свой, тот будто камни складывает на замерзшей реке.
Диогенъ. Се засталъ татя, крадуща каменье его, и, оному запирающуся и глаголющю, яко: «Не вѣдая, твоя суща, украдохъ»— и рече: «Аще не вѣдалъ еси, яко — не твоя суть?»	Диоген. Этот застал вора, крадущего камни его, и, когда тот стал запираться и говорить: «Не знал я, что твои камни я крал»— сказал: «А разве не знал ты, что они — не твои?»
Аще яже имѣемъ, не требуемъ, а яже не требуемъ, ищемъ, то от обоего лишени будемъ: овыхъ приклученья дѣля, а овыхъ — себе дѣля.	Если тем, что имеем, не пользуемся, а то, что не нужно, ищем, то и лишимся всего: того из-за случайности, а этого — по своей вине.
О ЧЬСТИ РОДИТЕЛЬ	О ПОЧИТАНИИ РОДИТЕЛЕЙ
Иже хотять промыслити своими отци, да позрять на стеркы. Они же, узрѣвше своего отца и старостью безъ крылъ суща, окрестъ его стояще, набьдять своими крылы и корьмлю без зависти подають, и, егда летѣти хочеть, помагають ему, по малу облегчающе своими крилы.	Кто думает позаботиться о родителях, пусть взглянет на аистов. Они ведь, видя родителя своего от старости ослабевшим, вокруг него стоя, охраняют своими крыльями и пищу щедро подают, и, когда тот захочет лететь, помогают ему, понемножку облегчая полет крылами своими.
Прокопий <софист>. Якоже удеса телесная наших дѣтии от рожьства повиваються, да быша крѣпка и права, и была дебела, такоже исперва подобаеть нам нравъ дѣтиный исправливати.	Прокопий <софист>. Как и члены телесные наших детей в час рождения повивают, чтобы крепче, прямее были и тверже, так изначала следует нам и детский характер направлять.
Такъ буди родителем своимъ[10], акъ бы молилъ быти дѣтемъ своим.	Таким будь для родителей своих, какими хотел бы видеть детей своих.
Никоклисъ. Женѣ его поносящи ему[11], зане сына своего, блудна суща, не прииметь, онъ же рече, плюнувъ: «И си слины от мене суть, но не на потребу ми есть!»	Никоклис. Когда жена порицала его за то, что не хочет принять своего непутевого сына, сказал он, сплюнув: «И эта слюна от меня, но мне не на пользу».
О СТРАСТИ	О СТРАХЕ
Лиственая трясанья устрашають заяци, а мужии некрѣпъкыхъ — стѣнь невещьный.	Шуршанье листвы устрашает зайцев, трусливых мужей — и бесплотная тень.
Виасъ. Сь, въпросимъ, что въ семъ житии без страха есть, и отвѣща: «Свѣсть права».	Виант. Этот, спрошенный, что в сей жизни свободно от страха, ответил: «Чистая совесть».
О СКОРОВОЗВРАЩАЮЩИМСЯ И О ПОКАЯНИИ	О НЕПОСТОЯННОМ И О РАСКАЯНИИ
Соломон. Мужь, ворочаяся языкомъ, падеть въ зло.	Соломон. Муж, склонный язык распускать, попадает в беду.
Имъ же простъ на измѣнение бываеть умъ, тѣхъ и житье бесщинъно есть.	У кого к переменам суждения склонны, тех и жизнь беспорядочна тоже.
Человѣци подобни суть облакомъ, иногда въ ино мѣсто воздухомъ носими.	Люди подобны облакам, все время в разное место влекомые ветром.
Тѣхъ мнимъ безумъныхъ, иже скоро преклоняться на обѣ странѣ, якоже вихръ вертимъ, и гворове воднии, и морьскыя волны нестаемы.	Тех признаем безрассудными, кто легко склоняется в обе стороны, как вертящийся смерч, прилив и отлив, как волны морские в бурю.
Садъ, часто пресажаем, плода не носить.	Сад, часто пересаживаемый, плода не приносит.
Епихаръ. Мудру мужу недостойно каятися, но промыслити.	Эпихарм. Мудрому пристало не каяться, но обдумать.
О ГРѣСѣ И О ИСПОВѣДАНЬИ	О ГРЕХЕ И ОБ ИСКУПЛЕНИИ
Плутархъ. Ни огня возможно покрыти ризою, ни скверна дѣла с лѣты.	Плутарх. Ни огня невозможно накрыть покрывалом, ни временем — скверных дел.
О ЧРЕСѣ СЫТОСТИ ЧРЕВУ УГАЖАЮЩЕ	О ЧРЕВУ УГОЖДАЮЩИХ ОБЖОРСТВОМ
Душа, насытившися, и медвена гнушаеться ста.	Душа, насытившись, и медвяного сота гнушается.
Стужающю чреву, съмѣряеться сердце, веселящю же ся ему — гордить умъ.	Когда беспокоит желудок, смиряется сердце, когда он доволен — заносится разум.
Сь, званъ на пиръ[12], не обѣщася, преже даже не въпроси, котории звани суть, и рече, яко въ одиномъ корабли плути можеть терпѣти, или въ одиномъ дому жити, а въ пиру съ злыми съсмѣситися — без ума есть.	Этот, званный на пир, не обещал, пока не узнал, кто еще приглашен, и сказал, что с дурными плыть в одном корабле еще можно стерпеть или в доме одном с ними жить, но с ними быть на пиру — безумье.
Катонъ. Сь рече: «Люто есть чревомъ повѣсти дѣяти, ушью не имѣющу».	Катон. Этот сказал: «Трудно с желудком вести разговор: ушей не имеет».
Волкъ, видѣвъ пастуха, ѣдуща чюжи овци отай въ кучѣ, и рече: «О, колико бысте голкы съставили, оже быхъ то я створилъ!»	Волк, увидев, что тайно пастух в шалаше поедает чужих овец, сказал: «О, сколько бы шуму подняли, если бы это сделал я!»
О ПЕЧАЛИ И О БЕСПЕЧАЛЬИ	О ЗАБОТЕ И О БЕЗЗАБОТНОСТИ
Соломонъ. Яко моль ризѣ и червь древу, тако и печаль мужеви пакостить сердцю.	Соломон. Как моль полотну и дереву червь, так мужу забота сердце сверлит.
Святаго Василья. Якоже черви въ изгнилѣ древѣ ражаються, такоже и печаль въ мякъкыя человѣкы входить.	Святой Василий. Как черви в гнилом дереве рождаются, так и забота в слабых входит людей.
Сократъ. Сеи, въпросимъ, что опечалить благыхъ, и рече: «Слава лукавыхъ».	Сократ. Этот, спрошенный, что заботит хороших, сказал: «Слава плохих».
Безумнии временем забудуть печали, а умнии — словомъ.	Безрассудные со временем забудут горести, а умные — с речами.
О СЪНѣ	О СНЕ
Плутархъ. Въ дни спящу Филипу цесарю, и властелемъ его приѣздившимъ къ нему и пред враты стоявше, и жалующим продолженья лежанья дѣля, Пармении же, выникъ, и рече имъ: «Не чюдитеся, еже нынѣ Филипъ спитъ: когда бо вы спасте, тогда онъ бьдяше!»	Плутарх. Однажды, когда спал царь Филипп, и подданные его прибыли к нему, и стояли у ворот, жалуясь на столь длительный сон, Парменид выглянул и сказал им: «Не удивляйтесь, что ныне он спит: ибо, когда вы спали, он бдел!»
О ПЬЯНЬСТВѣ	О ПЬЯНСТВЕ
Куръ цесарь, слышавъ, яко уноши, пьюще, много хулы изрекоша на нь, и, утру бывъшю, всѣ повели привести предъ ся и въпроси перваго, аще тако изъглаголаша о немъ. Онъ же отвѣща: «Тако рекохомъ, цесарю, и боле сихъ быхомъ изорькли, аще быхомъ боле имѣли вина!»	Царь Кир, прослышав, что юноши, выпив много, его бранили, когда наступило утро, велел привести пред собою и спросил первого, так ли рассказали о нем. Тот же отвечал: «Так говорили мы, царь, и больше еще сказали бы, если бы больше было вина!»
Диогенъ. Сему въдаша много вина въ пиру, и, въземъ, пролья. Инѣмъ же поносящимъ ему, занѣ губить вино, и се отвѣща: «Аще бы вино не погыбло мною, то азъ быхъ погыблъ виномъ».	Диоген. Этому дали много вина на пиру, и он, взяв его, пролил. Когда остальные стали выговаривать ему, зачем он губит вино, так отвечал: «Если б вино от меня не погибло, я бы погиб от вина».
Нахаръсосъ. Сеи рече: «Егда сядеши в пиру, первую чашю испьеши здоровью, а въторую сладости, а третиюю безумью, а послѣднюю — бѣсовьствию!»	Анахарсис. Так сказал: «Когда находишься на пиру, первую чашу ты пьешь на здоровье, вторую в удовольствие, а третью уже в безрассудство, последнюю же — в сумасшествие».
Софоклисъ. Сь, въпросимъ, рече: «Лоза три розгы ражаеть: первый съ сластью, вторый пьяньства, третьюю безумью».	Софокл. Этот, спрошенный, сказал: «Лоза три побега рождает: первый сладости, второй пьянства, третий безумья».
О ДЕРЗОСТИ И О ОБЛИЧЕНИИ	О ДЕРЗОСТИ И О ПОРИЦАНИИ
Сему древле послану от Афиней[13] къ Филипу цесарю и съ дерзновениемъ бесѣдующю, и Филипъ рече: «Не убоиши ли ся, занѣ повелю усѣкнути главу твою?» И онъ рече: «Ни, аще бо ты усѣкнеши ю, то мое отечьство бесмертиемъ почьстить ю».	Когда Демокрита в древности послали из Афин к царю Филиппу и он разговаривал дерзко, Филипп сказал: «Не боишься ли, что повелю отрубить голову твою?» И тот ответил: «Нет, ибо если ты ее отрубишь, мое отечество почтит ее бессмертием».
Врагъ, истину исповѣдавъ, луче лицемѣрна друга.	Враг, говорящий истину, лучше лицемерного друга.
О СТРАДАЛЮБИИ	О ТРУДОЛЮБИИ
Димостенъ. Сь, въпросимъ, како риторикию училъ, и рече: «Склочилъ масла боле вина».	Демосфен. Этот, спрошенный, как учился ораторскому искусству, ответил: «Истратил масла больше, чем вина».
О ТЩЕСЛАВИИ	О ТЩЕСЛАВИИ
Не хвались, егда ся явиши лучши злыхъ, но печалуйся, егда добрых не пристигнеши.	Не хвались, если кажешься лучше плохих, но печалься, когда не достигнешь хороших.
Буесть отнимаеть бытье мудрьное.	Тщеславие лишает разумного существованья.
Тать ненавидить солньца, а гордый — кроткаго.	Вор не выносит солнца, а надменный — кроткого.
Сей, узрѣвъ отрока[14], о многоцѣнне хламидѣ гордяща, и рече ему: «Престани гордя о овчии волнѣ!»	Этот, увидев юношу, дорогим плащом хвастающего, сказал тому: «Перестань хвалиться овечьей шерстью!»
О ИСТИНѣ И ЛЖИ	ОБ ИСТИНЕ И О ЛЖИ
Соломон. Иже ся утвержает лъжею, тотъ пасеть вѣтры и птицѣ крилатыя.	Соломон. Кто утверждается неправдою, тот пасет ветры и птиц крылатых.
Богословъ. Истина одина есть, а лъжи многомыслены.	Богослов. Истина всегда одна, а ложь многолика.
Осопъ. Сь, въпросимъ, что польза от лъжи лъжющимъ, и рече: «Аще и право молвять, не имуть имъ вѣры».	Эзоп. Этот, спрошенный, какая польза от лжи лжецам, сказал: «Если и правду скажут, им не поверят».
О ХВАЛЕНИИ	О ПОХВАЛЕ
Феофилактъ. Истинъная хула лучеи есть лицемѣрныя славы.	Феофилакт. Справедливая хула лучше лицемерной похвалы.
Исократъ. Вѣрных мни не тѣхъ, иже по твоему слову молвять, но иже противяться глаголемымъ тобою по криву.	Исократ. Верными считай не тех, кто по твоему слову говорит, но тех, кто противится сказанному тобой неверно.
О КРАСОТѣ	О КРАСОТЕ
Сирах. Не похвали мужа красоты его ради, красота человѣческая познаеться възрастомъ сѣдинъ.	Сирах. Не восхваляй мужчину за красоту: красота мужчины познается с сединами.
Плутархъ. Приникни къ зерцалу и смотри лица своего: да аще и красенъ ся явиши, твори протива своей красотѣ и не посрами еѣ злыми дѣлы; аще же злообразенъ еси, то личьное оскудѣние украси добродѣяньемъ.	Плутарх. Приникни к зеркалу и вглядись в лицо свое: если красивым окажешься, поступай по своей красоте и не посрами ее злыми делами; если же уродлив ты, то недостатки лица добрым делом укрась.
Красны жены лобзания блюдися, яко змиина ѣда злаго.	Поцелуя красивой женщины берегись, как змеиного яда.
О СЛАВѣ	О СЛАВЕ
Бещестье стерпѣти — велико и крѣпко, а еже славѣ причяститися — великы душѣ требуеть и зѣло умны, дабы не отпалъ славы приимый. Но оже хощеши славу обрѣсти,— отжени славу; аще ли гониши славу — отпадеши славы, та бо слава — стѣнь славѣ.	Снести бесчестье — большое и трудное дело, но для обладания славой необходимо величье души и высокая мудрость, чтобы, ее получив, не утратить. Но если хочешь ты славу найти — отгони эту славу; если гонишься за славой — утратишь ты славу, ибо такая слава — тень славы.
Никто же, на стѣнѣ вапомъ написана хлѣба зря, аще и велми гладенъ есть, и иде укуситъ его.	Видя на стене нарисованный краской хлеб, даже если и голоден очень, никто не пойдет откусить от него.
Александръ. Сь плѣнилъ индѣянина, славна стрѣлыда и нарочита. И онѣмъ рекшимъ: «Сь можеть сквозѣ перьстень прострѣлити» — повелѣ ему явити хытрость его пред собою. И не хотящу ему повелѣ посѣщи. Ведущимъ же его на посѣчение, глагола къ водящимъ, яко: «Много время минуло, яко въ руку лука не прияхъ и убояхся, еда, погрѣшивъ, погублю си славу». Слышавъ же, Александръ дивися и отпусти и съ дары, занѣ умрѣти изволи, нежели славу свою погубити.	Александр. Этот взял в плен индуса, знаменитого стрелка и знатного. И когда ему сказали: «Этот может и в перстень попасть», повелел ему явить искусство свое перед ним. И когда тот отказался, приказал зарубить его. Когда же повели его на казнь, сказал он провожавшим его: «Много времени прошло, как я лука не брал в руки, и побоялся, что, промахнувшись, загублю свою славу». Слышав это, изумился Александр и отпустил его с дарами, потому что предпочел он умереть, но славу свою не опорочить.
О МНОГОМОЛВЛЕНИИ	О БОЛТЛИВОСТИ
Евагрий. Молви, яже достойно, и егда достойно, и о нихъ же достойно — и не услышиши, яже не достойно.	Евагрий. Говори, что достойно, и когда достойно, и о тех, кто достоин,— и не услышишь того, что не достойно.
Мигдольный цвѣтъ мразомъ гыбнеть, занѣ ранѣи всѣхъ цвететь, человѣци же многымъ скоромолвлениемъ истляють. Подобаеть беспрестани умом възбраняти языку и въздержати струя его, да не будемъ безумнѣише гусии. Ти бо, егда прилетять от Киликия и къ Таурмении, вѣдуще, яко исъполнена мѣста та суть орлии, емлють въ уста каменье, яко замокъ гласу, и нощь прелетять.	Цветок миндаля от мороза гибнет, ибо раньше других расцветает; люди же от излишней болтливости погибают. Следует постоянно сдерживать язык разумом и пресекать потоки слов, чтобы не быть безрассуднее гусей. Ведь они, когда пролетают путь от Киликии до Тавра, зная, что изобилуют те места орлами, берут в клювы камни, будто замки для голоса, и ночью пролетают в безмолвии.
Сь, въпросимъ, како двѣ уши имѣемъ[15], а единъ языкъ, и рече: «Занѣ достойно сугубо слышати, а одиною молвити».	Этот, спрошенный, почему два уха имеем, но один язык, сказал: «Ибо следует дважды услышать и лишь раз сказать».
О СМИРЕНИИ	О СМИРЕНИИ
Нилъ. Блаженъ мужь, иже имѣеть житье высоко, умъ же смѣренъ.	Нил. Блажен муж, имеющий жизнь высокую, ум же — смиренный.
О ВРАЧѣХЪ	О ВРАЧАХ
Никоклий. Сь, слышавъ злаго лѣчьца, яко глаголаше, велику силу имѣеть, и рече: «Како бо не хощеши тако рещи, иже толико людий убивъ, и яко неповиненъ ходиши!»	Никоклий. Этот, услышав дурного врача, который говорил, что обладает большой силой, сказал: «Как же иначе тебе говорить, если, столько людей загубив, будто невинный ты ходишь!»
О ПАМЯТИ	О ПАМЯТИ
Платонъ рече. Дѣти и старѣи равно непамятиви суть: ови растуще, ови изнемагающе. Что есть память? Держание видимых и слышаныхъ, погонение же ихъ испоминание наречеться. Тѣмъ бо тупии памятиви суть, а хитрии въспоминаньливи.	Платон сказал. Дети и старики одинаково беспамятны: те развиваясь, а эти теряя силы. Что есть память? Сохранение виденного и слышанного, извлеченье же их называется воспоминанием. Потому-то бездарные так памятливы, а мудрые понятливы.
О ЗАВИСТИ	О ЗАВИСТИ
Якоже мухы сдравая удеса прелѣтають, а къ гнойнымъ мѣстомъ прилипають, тако же и завистивии.	Как мухи здоровые части тела облетают, а к гнойным местам прилипают, так и завистники.
Что стонеши, завистьливыи, о своей ли напасти, цили о чюжем блазѣ?	Что стонешь, завистник,— о своем ли несчастье или о благе чужом?
Анахарсъ рече. Сь скутьскый философъ, въпросимъ бысть, коеи вины дѣля человѣци печальни суть воину, и рече: «Яко не токмо о своихъ напастехъ пекуться, но и о чюжемъ добровазньствѣ».	Анахарсис сказал. Этот скифский мудрец, спрошенный, по какой причине люди всегда печальны, сказал: «Ибо не только о своих бедах печалятся, но и о чужих удачах».
Зависть — есть струпъ правьдѣ.	Зависть — язва на истине.
Агафонъ. Аще бы не была въ человѣцѣхъ зависть, то вси быхомъ равни были.	Агафон. Если бы не было в людях зависти, то все были бы равными.
О ВОЛЬНѣМ И НЕВОЛЬНѣМ	О СВОБОДНОМ И НЕСВОБОДНОМ
Уне ти есть волею печальну быти, нежели неволею радоватися.	Лучше добровольно печалиться, чем принужденно радоваться.
О РАЗУМѣ И О СОБѣ	О САМОПОЗНАНИИ
От Евангелия. Что зриши сучьца въ оцѣ брата своего, а въ своемъ бервьна не видиши!	Из Евангелия. Что зришь сучок в глазу брата своего, а в своем и бревна не видишь!
Платонъ. Начало разуму — разумѣнье невѣжьства своего; мы же, не вѣдуще ничтоже, мнимся всевѣдуще.	Платон. Начало знанию — сознание невежества своего; мы же, ничего не зная, представляемся всеведущими.
Ираклий. Сь, уноша сый, приведенъ бысть пред учителя, вънегда философью учаше, и, въпросимъ сы от него: «Что, уноше, училъ ся еси?», и онъ отвѣща: «Се училъ ся есмь, яко не вѣмъ ничтоже». Слышавъ же, учитель чюдися, и вси, окрестъ стоящеи учителя, кликоша: «Воистину сь уноша хитрѣе всѣхъ насъ есть!»	Гераклит. Этот, юношей представ перед учителем, философии его учившим, и спрошенный им: «Чему, юноша, ты научился?» — так отвечал: «Вот, познал я, что ничего не знаю». Слышав это, учитель дивился, и все, стоявшие вокруг учителя, воскликнули: «Воистину этот юноша умнее всех нас!»
О ЗАКОНѣ	О ЗАКОНЕ
Дионъ. Достойно лежащий законъ твердо хранити и ни единого ихъ не измѣняти, уне бо древний держати законъ, нежели новый, аще и лучии мнитъся.	Дион. Следует действующие законы соблюдать твердо и никакой из них не изменять, ибо лучше старому следовать закону, нежели новому, даже если он и кажется лучше.
3алевк. Законъ подобенъ есть паучинѣ, якоже паучина, яже въ ню вълетить муха или комаръ, то увязнеть въ ней, аще ли бчела или шершень, то, исторгавше, вылѣтають. Тако же и законъ: аще въпадеть убогъ и простый мужь, то увязнеть въ немъ, аще ли богатъ или силный, то, рѣчью исторгавше, отидуть.	Селевк. Закон подобен паутине, ибо, если влетит в нее муха или комар, то увязнет, если же пчела или шершень, то, разорвав, вылетают. Таков и закон: если попадется бедный и незнатный человек, то увязнет в нем, если же богатый и могущественный, то, словом разорвав, выберется.
О БЕЗУМЬИ	О НЕДОСТАТКЕ УМА
Пѣсокъ и соль, и желѣза крици удобь подъяти, нежели человѣка безумна.	Песок, и соль, и железа куски легче снести, чем безрассудного человека.
3инон. Нѣкто безумный уноша в Акадимии пряшеться о душѣ, Зинонъ же рече: «Что ся приши? Не омочивъ языка въ умѣ, много съгрѣшишь въ словѣ».	3енон. Один глупый юноша в Академии спорил о душе, Зенон же сказал: «Что споришь? Не омочив языка в уме, много напортишь в слове».
О БЛУЖЕНИИ	О ЗАБЛУЖДЕНИИ
Диогенъ рече. Сь, приступивъ къ нѣкоему уношѣ, испортивъшю отчю власть, и просяше у него десяти литръ злата. Уношѣ же рекшу: «Въскую въ инѣхъ по цятѣ просиши, а у мене десяти литръ?»— и отвѣща: «У инѣхъ бо чаю взяти что, а у тебе ничьтоже».	Диоген сказал. Этот, приступив к некоему юноше, растратившему отцовское наследство, просил десять золотых драхм. Когда же юноша спросил: «Почему у других по оболу просишь, а у меня десять драхм?»— отвечал тот: «У других я надеюсь что-нибудь получить, а с тебя ничего».
