В ЧЕТВЕРГ 3 НЕДѢЛИ ПОСТА СВЯТАГО ФЕОДОСИА СЛОВО О ТРЪПѢНИИ И О ЛЮБВИ И О ПОСТѢ	В ЧЕТВЕРГ ТРЕТЬЕЙ НЕДЕЛИ ПОСТА СЛОВО СВЯТОГО ФЕОДОСИЯ О ТЕРПЕНИИ, О ЛЮБВИ И ПОСТЕ
Брате, се от рукы Христовы и от престола славы его приемлеши сию службу. Имѣй страхъ его предъ очима си: потщися порученое тобе дѣло непорочно свершити, да и вѣнца от Христа достоинъ будеши. И да мнить ти ся онъ престолъ вышний, егоже видѣ Исая, к немуже единъ от серафимъ посланъ бысть, имѣяй угль, не опаляяй пророка, но просвѣщаяй.[28] Тако же и ты, брате, вземляй ключь, акы огнь, а се от престола, на немже жрѣться Христосъ по вся дни, аще сию службу, сыну имярек, в чинъ монастырьскый съ душевною приязнию исправиши, щадить ти ся правѣдный венець и будеть ти сий ключь просвѣщаяй и спасаяй душю твою. Аще ли уклониши сердце твое преобидети что монастырьское или окрадати что и себе притяжати и сбирати паче, а не манастыреви, и будеть ти сий ключь опаляяй душю твою, здѣ и въ будущий вѣкъ, геона тя прииметь и судъ Ананьинъ и Самфиринъ постигнѣтъ тя. Та бо, уемша у цены села своего, напрасно умроста,[29] ты же горцей муце достоинъ будеши, крадый чюжая или раздаваяй безъ чину своимъ. Геезино прокажьство[30] наидеть на тя, — не телесно, но душевно. Внимай себе, брате, и службѣ своей, да спасеть тя Господь ото всѣх сих молитвами святыя Богородица и всѣх святыхъ твоихъ, и нынѣ, и присно.	Брат, вот из рук Христовых, с престола славы его, ты принимаешь эту должность. Имей пред своими глазами страх Божий: старайся непорочно свершить порученное тебе дело, чтоб удостоиться венца у Христа. Пусть представляется тебе тот вышний престол, что видел Исайя, к кому был послан один из серафимов, носящий угль, не опаливший, но просветивший пророка. Так же и ты, брат, взявший ключ, как огонь от того престола, на котором всякий день приносится в жертву Христос, если ты, сын мой, имярек, соблюдешь эту службу по чину монастырскому с душевным прилежанием, то уготовится тебе праведный венец, и будет тебе сей ключ просвещающим и спасающим твою душу. Если же склонишь ты свое сердце пренебречь чем-либо монастырским, или что-то украсть, или стяжать и копить для себя, а не для монастыря, то будет тебе сей ключ опаляющим твою душу, здесь и в будущем веке: геенна тебя возьмет, и судьба Анании и Сампфиры постигнет тебя. Они, утаившие из цены имения своего, внезапною смертью погибли, а ты и горшей муке сподобишься, крадущий чужое или бесстыдно раздающий своим. Гиезиева проказа придет на тебя, — не телесно, но душевно. Блюди, брат, себя и служение свое, и от всего этого спасет тебя Господь молитвами святой Богородицы и всех святых своих, и ныне, и присно.
 	ПОСЛАНИЕ КНЯЗЮ ИЗЯСЛАВУ О НЕДЕЛЕ
ВЪПРАШАНЬЕ ИЗЯСЛАВА КНЯЗЯ, СЫНА ЯРОСЛАВЛЯ, ВНУКА ВОЛОДИМИРЯ, ИГУМЕНА ФЕДОСЬЯ ПЕЧЕРЬСКОГО МАНАСТЫРЯ	ВОПРОС К ИГУМЕНУ ПЕЧЕРСКОГО МОНАСТЫРЯ ФЕОДОСИЮ КНЯЗЯ ИЗЯСЛАВА, СЫНА ЯРОСЛАВА, ВНУКА ВЛАДИМИРА
Что възмыслилъ еси, боголюбивый княже, въпрашати мене, некнижьна и худа о таковей вѣщи, — въпрашалъ бо еси: аще есть подобно въ день въскресный, еже есть недѣля, заклати ли волъ, ли овьнъ, или птицю, или что от тѣхъ и аще подобно мяса ихъ ясти въ день въскресения, въ недѣлю!	Что вздумал, боголюбивый княже, вопрошать меня, некнижного и недостойного, о таковом деле: спросил меня, подобает ли в день воскресный, то есть в неделю, резать вола, либо барана, либо птицу, либо другое что, подобное им, и подобает ли есть их мясо в день воскресения, — в неделю!
Ибо недѣля не наричется недѣля, якоже вы глаголете, нъ пьрвый день всея недѣлѣ наричется. Понеже Христосъ Богь нашь в тотъ день въскресе из мертвыхъ, и наричется въскресный день. А понеделникъ наричется вторый день, а вторникъ — третий, а среда — четвертый, а четвертокъ — пятый, а пятница — шестый, а субота — седмый. В тѣхъ днехъ свѣршилъ Богъ вся дѣла, небо, и землю, и все, яже в нихъ; последи же створи человека, цесаря надо всѣмъ; въ семый день сконьча вся дѣла.	Неделя — это ведь не неделя, как вы говорите, но первый день всей недели. Потому что Христос Бог наш воскрес в этот день из мертвых, и называется он воскресным. А понедельник — это второй день, а вторник — третий, а среда — четвертый, а четверток — пятый, а пятница — шестой, а суббота — седьмой. В дни эти создал Бог все творение, небо и землю, и все, что на них; напоследок же сотворил человека, царя надо всем; в седьмой же день завершил все дела.
Исъходящемъ же израильтомъ изъ Египта от работы фараона и прошедшомъ древле Чьрьмное море посуху, и въведе ̀я въ пустыню и прѣпита ̀я ту лѣтъ 40 и законъ имъ да на дъсцѣ камянѣ — Божиимь пьрстомъ написано и дано Моисѣю — и суботу имъ хранити повелѣ: отинудь не дѣлати[31], ни огня възгнѣщати[32], ни закалати, нъ вечеръ в пятокъ все приготовити и заутра ясти, ни прѣходити исъ храмины в храмину, егоже хранять и до днешняго дне израильтяне. А понеже Господь Богъ наш съниде на землю, — жидовьская вся умолкоша. И нѣсмы чада Авраамля, нъ чада Христа Бога нашего святаго ради крещения, въ неже самъ ся крестилъ. Господне бо крещение очищаеть еже от рожьства грѣхы.	И во время исхода израильтян из Египта от работы фараоновой, когда прошли они древле Чермное море посуху, и Господь привел их в пустыню и сорок лет питал их там, дал он им закон на доске каменной — Божиим перстом написано и дано Моисею — и повелел почитать субботу: ничего отнюдь в этот день не делать, ни разводить огня, ни резать скотину (но все приготовить в пятницу с вечера и есть назавтра), ни ходить из дома в дом; и это блюдут израильтяне до нынешних дней. Но с тех пор как Господь Бог наш пришел на землю, иудейское все отступило. И мы не чада Авраамовы, но чада Христа Бога нашего благодаря святому крещению, которым он и сам крестился. Ибо Господне крещение очищает первородный грех.
А иже реклъ ти во недѣлю не рѣзати, ни того ясти, то не от Святаго Писания реклъ, нъ от своего сердца. Рече бо святый Павелъ апостолъ: «Иже кто благовѣстить вамъ паче насъ, еже мы благовѣстихомъ вамъ, проклятъ да будеть».[33] И нѣсть ти възбранено, ни грѣхъ, еже рѣзати въ недѣлю. Аще бо таковый нравъ приимемъ, еже въ суботу рѣзати, а въ недѣлю ясти, то явѣ жидовьствуемь.	Тот, кто сказал тебе не резать в неделю скотину, ни есть от той убоины мяса, сказал это не от Святого Писания, но по своему измышлению. Сказано святым апостолом Павлом: «Тот, кто благовестит вам больше того, что мы вам благовестили, да будет проклят». Не возбранено тебе и не грех резать скотину в неделю. Ибо если примем таков обычай, — в субботу резать, а в неделю есть, то мы явно жидовствуем.
Реклъ бо еси, благородне, аще отречется въ среду и в пятницю не ясти мясъ, добро ли есть. Добро вельми и полезно. И не я сего завѣщаю, нъ божьствении святии апостоли да тако бо законъ положиша: да всякъ крестьянинъ постится въ среду и в пятокъ, бѣлци — от мясъ, а черньци — от сыра, въ среду же понеже съвѣтъ створиша жидове на Христоса, а в пятокъ распяша Господа безаконьници. Ты же, княже мой, аще которыя ради вины отреклъся еси или напасти ради въ среду и въ пятокъ мясъ не ясти, — глаголетъ Давыдъ, пророкъ и царь: «Обѣщайтеся и въздадите»[34], — недостоить человеку крестьяну себе связати, оже не ясти, ни пити, нъ оже связанъ будеть от отца духовнаго. Обаче прѣдание имамы от святыхъ апостолъ и от святыхъ богоносныхъ отець: въ Господьскыхъ праздницѣхъ и святой Богородици въ всѣ празникы и въ память святыхъ апостолъ 12 празновати духовно, а от изъбытька вашего питати убогыя. И понеже еси мене въпрашалъ недостойнаго, — аще связанъ еси отцемь духовныимъ въ среду и в пятокъ мясъ не ясти, от того же и раздрѣшение приими; или самъ ся еси зареклъ, Богъ мене ради простить тя. Егда ся приключить въ среду или въ пятокъ Господьскый празникъ, любо святѣй Богородици, ли 12 апостолъ, то ѣжь мясо[35]. И Богъ мира буди с вами. Аминь.	Еще ты спрашивал, благородный княже, добро ли то, если кто заречется не есть мяса в среду и пяток. Добро и очень полезно. И этому не я научаю, но святые и божественные апостолы так законоположили: всяк християнин да постится в среду и пяток, бельцы — от мяса, а чернецы — от молочного, ибо в среду составили заговор жиды против Христа, а в пяток распяли Господа беззаконные. Ты же, мой княже, если по какой-то причине или беде зарекся не есть мяса в среду и пяток, — глаголет царь и пророк Давыд: «Обещайтеся и воздадите», — то знай, что не подобает христианину самому связывать себя обетом не есть или не пить чего-либо, но должен быть связан от отца духовного. Ибо имеем предание святых апостолов и святых отцов: Господские праздники и все праздники святой Богородици и дни памяти святых двенадцати апостолов праздновать духовно и от избытка нашего питать убогих. И раз уж вопросил ты меня, недостойного, то: если ты связан отцом духовным не есть мяса в среду и пяток <названных праздников>, тогда от него и разрешение прими; если же сам себя связал, то меня ради Бог простит тебя. Когда случится в среду или пяток Господский праздник или святой Богородицы, либо двенадцати апостолов, то ешь мясо. И Бог мира буди с вами. Аминь.
 	ПОСЛАНИЕ К КНЯЗЮ О ВЕРЕ ЛАТИНСКОЙ
ТОГО ЖЕ ФЕДОСИА К ТОМУ ЖЕ ИЗЯСЛАВУ	ТОГО ЖЕ ФЕОДОСИЯ К ТОМУ ЖЕ ИЗЯСЛАВУ
Азъ, Федосъ, худый мнихъ, рабъ есмь пресвятой Троицѣ, Отца и Сына и Святаго Духа, въ чистѣй и въ правовѣрнѣй вѣрѣ роженъ есмь и въспитанъ добрѣ въ законѣ правовѣрнымъ отцемь и матерью християною,[36] наказывающа мя добру закону и норовмъ правовѣрныхъ послѣдовати, вѣрѣ же латиньской не прилучатися, ни обычая ихъ дьржати, и комькания ихъ бѣгати, и всякого ученья ихъ не слушати, и всего ихъ обычая и норова гнушатися и блюстися, своихъ же дьчерѣй не даяти за нѣ, ни поимаите у нихъ, ни брататися с ними, ни поклонитися, ни цѣловати его, ни с нимь въ одиномъ съсудѣ ясти, ни пити, ни борошна ихъ приимати. Тѣм же пакы у насъ просящомъ Бога дѣля ясти и пити, дати имъ ясти и пити, нъ въ своихъ съсудех. Аще ли не буде съсудау нихъ, да въ своемь дати и потомъ, измывъши же, сътворити молитва. Занеже неправо вѣруют и нечисто живуть: ядять съ пьсы и съ кошьками,[37] пьють бо свой сьчь[38] и ядять жълвы, и дикѣи кони, и осьлы, и удавленину, и мертвьчину, и медвѣдину, и бобровину, и хвостъ бобровый ядять.[39] Въ говѣнье и мяса пущають пьрвоѣ недѣлѣ поста въ вторникъ.[40] И чьрьнци ихъ ядять лой и въ суботу постятся и, постившеся, вечеръ ядять молоко и яйця. А съгрѣшениемь не от Бога просять прощения, нъ пращають попове ихъ по дару.[41] А попове ихъ не женятся[42] законьною женою, нъ съ робами дѣтей добываюче и служать невъзбраньно. И пискупи ихъ наложьницъ дьржать и на войну ходять.[43] И опрѣснокомъ служать.[44] И иконъ не цѣлують, ни святыхъ мощей.[45] И крестъ цѣлують, лежаще, написавше на земли, а въставше, попирають ногами.[46] Мертвеча же кладуть на западъ ногами, а руцѣ положать, а не на перьсѣхъ.[47] Женящеся у нихъ поимають двѣ сестреницѣ.[48] А крещаются въ одино погруженье,[49] а мы въ три. Мы же, крещающеся, мажемься мюромъ и масломъ, а они соль сыплють крещаемому въ ротъ.[50] Имени же не нарицяють святаго, нъ како прозовуть родители, в то имя и крестять.[51] Се же пакы глаголють и Духа Святаго исходящаго от Отца и от Сына.[52] Мы же не глаголемъ: от Сына. И ина многа суть яже въ тѣхъ злая и неправая и развращеная, и погыбели полна вѣра ихъ и делеса ихъ; егоже ни жидове творять, то они творять, много же и въ Савьску ересь въступають.[53]	Я, Федос, худой монах, раб пресвятой Троицы, Отца и Сына и Святого Духа, в чистой и правоверной вере рожденный и воспитанный добре в законе правоверным отцом и матерью христианкою, учившими меня следовать доброму закону и нравам православных, вере же латынской не приобщаться, не соблюдать их обычаев, и от причастия их отвращаться, и никакого учения их не слушать, и всех их обычаев и нравов гнушаться и блюстись; дочерей своих не давать за них замуж, ни у них дочерей брать; ни брататься с ними, ни кланяться им, ни целовать его; и из одной посуды не есть, и не пить с ним, и не брать у них пищи. Им же, когда они просят у нас есть или пить Бога ради, давать есть и пить, но из их собственной посуды. Если же не будет у них посуды, давать и в своей, только потом, вымыв, сотворить над ней молитву. Ибо неправо они веруют и нечисто живут: едят со псами и кошками, пьют свою мочу и едят ящериц, и диких коней, и ослов, и удавленину, и мертвечину, и медвежатину, и бобровое мясо, и бобровый хвост. В говенье мясо разрешают во вторник первой недели поста. Чернецы их едят сало и постятся в субботу и, попостившись, вечером едят молоко и яйца. А за грехи не у Бога просят прощения, но прощают попы их за мзду. Попы же их законным браком не женятся, но со служанками детей приживают и служат при этом невозбранно. И епископы их наложниц держат и на войну ходят. И на опресноке служат <Божественную службу>. Икон не целуют, ни мощей святых. А крест целуют: простершись, чертят его на земле и потом, встав, попирают ногами. Мертвеца же кладут на запад ногами, а руки его <вдоль тела> полагают, а не складывают на груди. Два брата у них, женясь, берут двух сестер. А крестят в одно погружение, а мы — в три. Мы, крестясь, мажемся миром и маслом, а они соль сыплют крещаемому в рот. Младенцев именами святых не нарекают, но как прозовут родители, в то имя и крестят. Еще же называют Духа Святого исходящим от Отца и от Сына. Мы же не говорим: и от Сына. И много еще другого, что плохо у них, неправо и развращенно; погибели полны и вера их, и дела; чего и жиды не творят, то они делают, многажды и в Савелианскую ересь уклоняются.
Мнѣ же рече отець: «Ты же, чадо, блюдися кривовѣрныхъ и всѣхъ ихъ дѣлесъ, занеже исполнилася и наша земля злыя тоя вѣры людий. Да кто спасая и спасеть свою душю, въ правовѣрнѣй вѣрѣ жива. И нѣсть бо иноя вѣры, лучьши, якоже наша едина чистая и честная и святая си вѣра правовѣрная. Сею вѣрою живущи и грѣховъ избыти, и мукы вѣчьныя гонезнути, и жизни вѣчьнѣй причастникомъ быти и бес конця съ святыми радоватися. А сущему въ иной вѣрѣ — ли в латиньской, ли въ арменьской, ли въ срачиньской — нѣсть видѣти жизни вѣчьныя, ни части съ святыми.	Сказал мне отец: «Хранись, чадо мое, от кривоверных и от всех их затей, понеже наполнилась и наша земля людьми злой той веры. Да, спасая, спасет свою душу, кто в праведной вере живет. Нет другой такой веры лучше нашей единой чистой и честной святой православной веры. Сей верою живя — грехов избыть и вечной муки избегнуть, вечной жизни причастником стать и без конца со святыми радоваться. А сущему в иной вере, в латынской ли, в армейской или сарацинской — тому не увидеть вечной жизни, и со святыми части не получить.
Не подобаеть же хвалити чюжѣ вѣры. Аще ли хвалить кто чюжюю вѣру, то обрѣтается свою вѣру хуля Аще ли начьнеть непрѣстанно хвалити и свою и чюжюю, то обрѣтается таковый двовѣрье держа и близъ есть ереси. Ты же, чадо, такыхъ дѣяний блюдися, ни присвоися к нимъ, нъ бѣгай от нихъ, якоже можеши, и свою вѣру едину непрѣстанно хвали, подвизаяся въ ней добрыими дѣлы.	Не подобает хвалить чужой веры. Если кто чужую веру хвалит, то становится он свою веру хулящим. Если же начнет непрестанно хвалить и свою и чужую, то окажется держащим двоеверие и недалеко от ереси. Ты, чадо, блюдись от таких деяний, не свыкайся с ними, но бегай от них, сколько можешь, и одну свою веру непрестанно хвали, подвизаяся в ней добрыми делами.
Милостынею же милуй, не токмо своея вѣры, нъ и чюжея. Аще ли видиши нага, ли голодна, ли зимою, ли бѣдою одьржима, аще ти будеть ли жидовинъ, ли сорочининъ, ли болгаринъ, ли еретикъ, ли латининъ, ли от поганыхъ, — всякого помилуй и от бѣды избави, якоже можеши, и мьзды от Бога не погрѣшиши. Богъ бо и самъ нынѣ набьдить поганыя, якоже и крестьяныя. Поганымъ же и иновѣрнымъ въ семь вѣцѣ попечение от Бога, въ будущемь же чюжи будуть добрыя дѣтели. Мы же, живущеи въ правовѣрнѣй вѣрѣ, и сдѣ есмы набьдими Богомь, и въ будущемъ вѣцѣ спасаеми Господемь нашимъ Исусъ Христомь».	Милостыней же милуй всякого, не своей только веры, но и чужого. Когда видишь нагого или голодного, страждущего от зимней стужи или какой беды, будь он жидовин или сарацын, болгарин или еретик, латынин или язычник, — всякого, как можешь, помилуй и от беды избавь, и не останешься без Божьего воздаяния. Бог ведь и сам в этой жизни сохраняет и язычников, и христиан. Язычникам и иноверным в нынешнем веке дано попечение от Бога, в будущем же чужды они будут благого воздаяния. А мы, живущие в правой вере, и здесь пребываем Богом соблюдаемы, и в будущем веке будем спасаемы Господом нашим Исусом Христом».
Рече ми отець: «Чадо, аще ти ся лучить по вѣрѣ сей святѣй Господа ради умрети, то с дерьзновеньемь не останися правыя сея вѣры, нъ умри за Христову вѣру. И святии бо, — рече, — по вѣрѣ умроша, да и живи суть по Христѣ. Ты же, чадо, аще узриши нѣкыя иновѣрныя, съ вѣрными прю дѣюща и прѣльстию хотяща отвести от правыя вѣры, невѣжамъ сущемь вѣрнымъ, ты же, вѣдѣние имы, и не скрый въ собѣ, нъ помози правовѣрьныимъ на кривовѣрныя. И аще имъ поможещи, то яко овьця избавиши от устъ лвовъ. Аще ли умолчиши то яко отемь у Христоса, прѣдаеши ихъ сотонѣ, тъ бо есть кривовѣрныя кривѣй вѣрѣ научилъ».	Сказал мне отец: «Чадо, если придется тебе умирать за эту святую веру Господа ради, то не оставь правой сей веры, но с дерзновеньем умри за веру Христову. Ибо святые, — сказал он, — умерли за веру, а теперь вот живут во Христе. И ты, чадо, если узришь каких-нибудь иноверцев, стязающихся с православными о вере и стремящихся соблазном отвести от правой веры несведущих верных, то ты, многосведущий, не скрой в себе своего знания, а помоги правоверным против кривоверных. Если поможешь им, то как овец избавишь их от уст львиных. Если же промолчишь, это равносильно тому, как если бы, отняв у Христа, предал ты их сатане, ибо тот научил кривоверных кривой их вере».
И аще ти речеть прьць: «Сию вѣру и ону Богъ далъ есть», ты же, чадо, рци: «То ты, кривовѣрне, мниши ли Бога двовѣрна! Не слыши ли, оканьне и развращене злою вѣрою, Писанье тако глаголеть: “Единъ Богъ, едина вѣра, едино крещенье”,[54] и Господь рече: “Тако бо лѣпо есть намъ исполнити волю”, да сее все исполнивъ, толи възнесеся, а ученикы посла на проповѣданье. Ты по проповѣдании апостольстѣмъ толико лѣтъ дѣржавъ правую вѣру, съвратилъся еси на зловѣрье по научению сотонину. Не слышите ли Павла глаголюща: «Аще и ангелъ пришедъ с небесе благовѣстить вамъ не якоже мы благовѣстихомъ, да будеть проклятъ».[55] Вы же отринувше проповѣдание апостольское и святыхъ отець исправления, приясте неправедное ученье и вѣру развращену и исполнену многыя погыбели. Того ради и от нас бысте отвѣржени. Да того ради и намъ с вами недостоить сужатия имѣти, ни къ Божьствьнамъ Тайнамъ обьще с вами намъ не приступати, ни вамъ к нашей службѣ, ни намъ къ вашей, занеже мертвымъ тѣломъ служите,[56] акы мертва Господа мняще. А мы службу творимъ живымъ тѣломъ, самого Господа жива видяще и одесную Отця сѣдяща, и пакы приидеть судить живымь и мертвымъ. Вы же есте, о латинине, мрьтви иже мрьтву жертву съдѣваете. Намъ живу Богу живу жрьтву чисту и непорочну приносяще, животъ вѣчьный обрѣсти. Тако бо и писано есть: «Въздасться комуждо по дѣломъ ихъ о Христѣ».[57]	И если скажет тебе спорящий с тобой: «Бог дал и ту, и другую веру», ты ему, чадо, скажи: «Ты, кажется, мнишь, кривоверный, что Бог двоеверен! Не слышал ли, окаянный, развращенный злой верою, как гласит Писание: “Един Бог, едина вера, едино крещение”. И Господь сказал: “Так надлежит нам исполнить всю волю”, и только когда он исполнил все, тогда вознесся, а учеников послал на проповедь. Ты, столько лет по апостольской проповеди державший православную веру, совратился в зловерие наущением сатаны. Не слышал разве Павла, глаголющего: «Если и ангел, придя с небес, благовестит вам иначе, чем мы благовестили, да будет проклят». А вы, отринувши апостольские заповеди и предание святых отцов, приняли неправедное учение и веру развращенную, исполненную многой погибели. Потому и от нас отвержены. Потому и не подобает нам иметь с вами общения, ни к Божественным Тайнам сообща приступать, ни вам к нашей службе, ни нам к вашей, ибо на мертвом теле служите, будто мертвым Господа помышляюще. А мы совершаем службу телом живым, видя самого Господа, живого и одесную Отца сидящего; и снова приидет судити живым и мертвым. Мертвые вы, о латыняне, мертвую жертву совершаете. Мы же, Богу принося жертву живую, чистую и непорочную, сподобимся обрести живот вечный. Так ведь и писано: «Воздается каждому по их делам о Христе».
 	МОЛИТВА ЗА ВСЕХ ХРИСТИАН
МОЛИТВА СВЯТАГО ФЕОДОСИЯ ПЕЧЕРЬСКАГО ЗА ВСЯ КРЕСТЬЯНЫ	МОЛИТВА СВЯТОГО ФЕОДОСИЯ ПЕЧЕРСКОГО ЗА ВСЕХ ХРИСТИАН.
Владыко Господи человѣколюбче! Иже суть вѣрнии, Господи, утверди ̀я, да будуть вѣрнѣйши того; иже суть неразумливии, ты, Владыко, вразуми я. Иже суть погани, Господи, обрати ̀я на крестьянство, и ти будуть братья наша, Иже суть в темьницахъ, или въ оковѣхъ, или в нужи, ты, Господи, избави ̀я от всякоя печали. Иже суть в затворѣхъ, и въ столпѣхъ[58], и в печерахъ, и въ пустыни, братья наша, ты, Господи, подажь имъ крѣпость к подвигу.	Владыко Господи человеколюбче! Того, кто верен, укрепи, Господи, да будут вернейшими; того, кто неразумен, вразуми, Владыко. Язычников, Господи, обрати в христианство, и будут нам братьями. В темницах сущих, в оковах и беде — избави, Господи, от всякия печали. И братьям нашим в затворах и столпах, пещерах и пустынях дай силы, Господи, на подвиг их.
Помилуй, Господи, князя нашего, имярек, и град сь, и вся сущая люди в немь. Милостью своею помилуй и мене, раба твоего грѣшнаго, имярек, аще и многогрѣшенъ есмь, но правою вѣрою рабъ твой есмь.	Помилуй, Господи, князя нашего, имярек, и град сей, и всех людей в нем. Помилуй милостью своей и меня, грешного раба твоего, имярек, хоть я и многогрешен, но правой верою раб твой.
Спаси и помилуй, Господи, епископа нашего, имярек, и весь чинъ мнишьскый съ иерѣи и дьяконы, и вся правовѣрныя крестьяны, имярек.	Спаси и помилуй, Господи, епископа нашего, имярек, и весь чин монашеский, иереев и дьяконов, и всех православных христиан.
Помилуй, Господи, сущихъ в недостаточьствѣ и озлобленыя нищетою, подажь имъ богатую милость, моления ради святыя Богородица, и силою честьнаго креста и святаго тридньвнаго въскресения твоего, и славнаго пророка и предотеча ради Иоана, и всѣхъ пророкъ и апостолъ твоихъ, святитель и мученикъ, и преподобныхъ отець, и святыхъ женъ, и всѣхъ святыхъ твоихъ, и святыхъ отець 300 и 18, иже в Никѣи,[59] и святыхъ отец, поручникъ нашего покаяния: Василья, Григорья Богословця, Иоана Златоустаго, и Николы, и святаго отца нашего Антония[60] всея Руси свѣтилника, обѣщавшаго молитися за ны.	Помилуй, Господи, того, кто беден и замучен нищетой, подай богатую им милость, моленья ради святой Богородицы, силою честного креста и святого тридневного воскресения твоего, и славного ради пророка и предотечи Иоанна, и всех ради твоих пророков и апостолов, святителей, и мучеников, и преподобных отцов, и святых жен, и всех святых твоих, собравшихся в Никее святых отцов трехсот и восемнадцати, и святых отцов, поручителей о нашем покаянии — Василия, Григория Богослова, Иоанна Златоуста, Николы, и святого отца нашего Антония, светильника всей Руси, обещавшегося молиться за нас.
И покой, Господи, душа рабъ своихъ, правовѣрныхъ князь нашихъ и епископъ, имярек, и вся сродникы наша по плоти, имярек.	Покой, Господи, души рабов своих, правоверных князей наших и епископов, имярек, и всех наших сродников по плоти, имярек.
И покой, Господи, душа рабъ своихъ, всѣхъ правовѣрныхъ крестьянъ, умершая въ градѣхъ, и в селѣхъ, и в пустыняхъ, и на путихъ, и на мори.	Покой, Господи, души рабов своих, всех православных христиан, умерших по городам и селам и в пустынных местах, в пути и на море.
Покой я на мѣстѣ свѣтлѣ, в лици святыхъ, въ оплотѣ благаго рая и жизни бесконечной и неизглаголанѣмъ и немерцаемѣмъ свѣтѣ лица твоего.	Покой их в месте светлом, с сонмом святых, в ограде благого рая, в жизни бесконечной, в неизглаголанном и немерцающем свете лица твоего.
Яко ты еси покой и въскресение усопшимъ рабомъ твоимъ, Христе Боже нашь, и тебе славимъ съ Отцемь и Святымь Духомь, и ныня и присно.	Ибо ты — покой и воскресение усопшим рабам твоим, Христе Боже наш, и славим тебя со Отцом и Святым Духом, и ныне, и присно.
